cligs-idno,author,title,year of author's death,year of first publication,year of (print) edition used,copyright,expiration
nh0001,"Villaverde, Cirilo",El guajiro,1894,1842,1977,open domain,-
nh0002,"Payró, Roberto",Divertidas aventuras del nieto de Juan Moreira,1928,1910,unknown,open domain,-
nh0003,"Altamirano, Ignacio Manuel",Antonia,1893,1872,2009,ancillary,2034
nh0004,"Payró, Roberto",El falso Inca,1928,1905,1905,open domain,-
nh0005,"Altamirano, Ignacio Manuel",La Navidad en las montañas,1893,1871,1891,open domain,-
nh0006,"Altamirano, Ignacio Manuel",Clemencia,1893,1869,unknown,open domain,-
nh0007,"Altamirano, Ignacio Manuel",El Zarco,1893,1901,1943,open domain,-
nh0008,"Rivarola, Enrique E.",Amar al vuelo,1931,1884,1885,open domain,-
nh0009,"Gutiérrez, Eduardo",El rastreador,1889,1886,unknown,open domain,-
nh0010,"Meza, Ramón",Mi tío el empleado,1911,1887,unknown,open domain,-
nh0011,"Cambaceres, Eugenio",Sin rumbo,1888,1885,unknown,open domain,-
nh0012,"Cambaceres, Eugenio",En la sangre,1888,1887,unknown,open domain,-
nh0013,"Meza, Ramón",Carmela,1911,1887,1887,open domain,-
nh0014,"Auber de Noya, Virginia Felicia",Leoncio,1897,1844,1844,open domain,-
nh0015,"Salado Álvarez, Victoriano",Puebla,1931,1903,1903,open domain,-
nh0016,"Calcagno, Francisco",Romualdo,1903,1881,1974,open domain,-
nh0017,"Mármol, José",Amalia,1871,1855,unknown,open domain,-
nh0018,"Iglesia, Álvaro de la",Adoración,1940,1894,1906,open domain,-
nh0019,"Gamboa, Federico",¡Vendía Cerillos!,1939,1889,2009,ancillary,2034
nh0020,"Calcagno, Francisco",S. Y.,1903,1895,1896,open domain,-
nh0021,"Ocantos, Carlos María",La cruz de la falta,1949,1883,1883,open domain,-
nh0022,"Frías, Heriberto",Tomóchic,1925,1894,unknown,open domain,-
nh0023,"Rabasa, Emilio",La bola,1930,1887,1888,open domain,-
nh0024,"Mansilla, Eduarda",El médico de San Luis,1892,1860,1879,open domain,-
nh0025,"Mansilla, Eduarda",Lucía Miranda,1892,1860,1882,open domain,-
nh0026,"Ancona, Eligio",La cruz y la espada,1893,1866,1950,open domain,-
nh0027,"López, Lucio Vicente",La gran aldea,1894,1884,1884,open domain,-
nh0028,"Mohr, Luis Alberto",Alberto Trejo,1929,1884,1888,open domain,-
nh0029,"Sicardi, Francisco",Libro extraño,1927,1894,1894,open domain,-
nh0030,"Sicardi, Francisco",Genaro,1927,1895,1895,open domain,-
nh0031,"Sicardi, Francisco",Don Manuel de Paloche,1927,1899,1899,open domain,-
nh0032,"Sicardi, Francisco",Méndez,1927,1897,1897,open domain,-
nh0033,"Sicardi, Francisco",Hacia la justicia,1927,1902,1902,open domain,-
nh0034,"Cambaceres, Eugenio",Música sentimental,1888,1884,1884,open domain,-
nh0035,"López, Vicente Fidel",La novia del hereje o La Inquisición de Lima,1903,1855,1870,open domain,-
nh0036,"López Portillo y Rojas, José",La parcela,1923,1898,1945,open domain,-
nh0037,"López, Vicente Fidel",La loca de la guardia,1903,1896,1987,open domain,-
nh0038,"Argerich, Juan Antonio",Inocentes o culpables,1924,1884,1884,open domain,-
nh0039,"Cantilo, José Luis",Quimera,1944,1899,1899,open domain,-
nh0040,"Gutiérrez, Juan María",El capitán de patricios,1878,1864,1928,open domain,-
nh0041,"Gorriti, Juana Manuela",El pozo del Yocci,1892,1876,1929,open domain,-
nh0042,"Álvarez, José Sixto",En el mar austral,1903,1897,unknown,open domain,-
nh0043,"Gorriti, Juana Manuela",Juez y verdugo,1892,1876,1876,open domain,-
nh0044,"Castellanos, Jesús",La Conjura,1912,1909,1909,open domain,-
nh0045,"Machali, Ramón","Emilia, o los efectos del coquetismo",unknown,1862,1862,open domain,-
nh0046,"Ocantos, Carlos María",Promisión,1949,1897,1897,open domain,-
nh0047,"Ocantos, Carlos María",Quilito,1949,1891,1913,open domain,-
nh0048,"Ocantos, Carlos María",Don Perfecto,1949,1902,1915,open domain,-
nh0049,"Riva Palacio, Vicente",Martín Garatuza,1896,1868,1868,open domain,-
nh0050,"Cuéllar, José Tomás de",Ensalada de pollos,1894,1871,1871,open domain,-
nh0051,"Barra, Emma de la",Stella,1947,1905,2011,ancillary,2036
nh0052,"Delgado, Rafael",Los parientes ricos,1914,1901,1986,open domain,-
nh0053,"Gutiérrez, Eduardo",Juan Moreira,1889,1880,1888,open domain,-
nh0054,"Gutiérrez, Eduardo",El Chacho,1889,1884,unknown,open domain,-
nh0055,"Gutiérrez, Eduardo",Los montoneros,1889,1886,unknown,open domain,-
nh0056,"Gutiérrez, Eduardo",La muerte de un héroe,1889,1886,unknown,open domain,-
nh0057,"Cambaceres, Eugenio",Pot-pourri,1888,1882,1984,open domain,-
nh0058,"Domínguez, Silverio",Palomas y gavilanes,unknown,1886,1886,open domain,-
nh0059,"Podestá, Manuel T.",Irresponsable,1920,1889,1924,open domain,-
nh0060,"Miró, José María",La Bolsa,1896,1891,1898,open domain,-
nh0061,"Echagüe, Pedro",La Chapanay,1889,1884,1924,open domain,-
nh0062,"Cantilo, José María",La familia Quillango,1891,1880,1929,open domain,-
nh0063,"Zayas Guarneros, Pablo",Herencias de bienes robados,1902,1899,1899,open domain,-
nh0064,"Díaz Covarrubias, Juan","Gil Gómez, el insurgente o la hija del médico",1859,1858,1902,open domain,-
nh0065,"Díaz Covarrubias, Juan",La clase media,1859,1858,1859,open domain,-
