idno,speech-encoded,author-short,title-short,year,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0042,yes,AlvarezJS,Austral,1897,Argentina,unknown,autodiegetic,novela de costumbres,unknown
nh0043,no,GorritiJM,JuezVerdugo,1876,Argentina,modern,heterodiegetic,novela sentimental,novela romántica
nh0044,yes,CastellanosJ,Conjura,1909,Cuba,first,heterodiegetic,novela social,novela realista
nh0045,no,MachaliR,EmiliaCoquetismo,1862,Argentina,historical,heterodiegetic,novela sentimental,novela romántica
nh0046,no,OcantosCM,Promision,1897,Argentina,first,heterodiegetic,novela social,novela realista
nh0047,no,OcantosCM,Quilito,1891,Argentina,modern,heterodiegetic,novela social,novela realista
nh0048,yes,OcantosCM,Perfecto,1902,Argentina,modern,autodiegetic,novela de costumbres,novela realista
nh0049,yes,RivaPalacioV,Garatuza,1868,Mexico,first,heterodiegetic,novela histórica,novela romántica
nh0050,no,CuellarJT,EnsaladaPollos,1871,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0051,no,BarraE,Stella,1905,Argentina,modern,heterodiegetic,novela de costumbres,unknown
nh0052,no,DelgadoR,ParientesRicos,1901,Mexico,modern,heterodiegetic,novela social,novela realista
nh0053,no,GutierrezE,JuanMoreira,1880,Argentina,historical,heterodiegetic,novela gauchesca,novela romántica
nh0054,yes,GutierrezE,Chacho,1884,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0055,yes,GutierrezE,Montoneros,1886,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0056,yes,GutierrezE,MuerteHeroe,1886,Argentina,historical,heterodiegetic,novela histórica,novela romántica
nh0057,yes,CambaceresE,Potpourri,1882,Argentina,modern,autodiegetic,novela de costumbres,novela naturalista
nh0058,yes,DominguezS,Palomas,1886,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0059,yes,PodestaMT,Irresponsable,1889,Argentina,modern,autodiegetic,novela social,novela naturalista
nh0060,yes,MiroJM,Bolsa,1891,Argentina,historical,heterodiegetic,novela social,novela naturalista
nh0061,yes,EchagueP,Chapanay,1884,Argentina,modern,heterodiegetic,novela de costumbres,novela romántica
nh0062,yes,CantiloJM,Quillango,1880,Argentina,modern,heterodiegetic,novela de costumbres,novela realista
nh0063,no,ZayasGuarnerosP,Herencias,1899,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0064,no,DiazCovarrubiasJ,Gomez,1858,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0065,yes,DiazCovarrubiasJ,ClaseMedia,1858,Mexico,historical,heterodiegetic,novela de costumbres,novela romántica
nh0066,no,MartinezVillergasJ,VidaChaleco,1859,Cuba,first,heterodiegetic,novela de costumbres,unknown
nh0067,no,FriasH,UltimoDuelo,1896,Mexico,modern,heterodiegetic,novela social,novela realista
nh0068,no,DelgadoR,Calandria,1890,Mexico,historical,heterodiegetic,novela sentimental,novela realista
nh0069,no,MateosJA,CerroCampanas,1868,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0070,yes,MezaR,DonAniceto,1889,Cuba,modern,heterodiegetic,novela de costumbres,unknown
nh0071,no,MezaR,UltimasPaginas,1891,Cuba,modern,heterodiegetic,novela de costumbres,novela romántica
nh0072,no,BarredaR,MisteriosCorazon,1875,Argentina,historical,heterodiegetic,novela sentimental,novela romántica
nh0073,yes,DiazCovarrubiasJ,Diablo,1858,Mexico,unknown,heterodiegetic,novela de costumbres,novela romántica
nh0074,no,GamboaF,UnoTantos,1889,Mexico,modern,heterodiegetic,novela social,novela naturalista
nh0075,no,DelgadoR,HistoriaVulgar,1904,Mexico,historical,heterodiegetic,novela social,novela realista
nh0076,no,HerediaN,Leonela,1893,Cuba,first,heterodiegetic,novela sentimental,novela naturalista
nh0077,yes,ZayasGuarnerosP,AmorSublime,1899,Mexico,historical,heterodiegetic,novela de costumbres,unknown
nh0078,no,AlvarezJS,ViajeMatreros,1897,Argentina,historical,homodiegetic,novela de costumbres,unknown
nh0079,yes,AlvarezJS,MemoriasVigilante,1897,Argentina,modern,autodiegetic,novela de costumbres,unknown
nh0080,no,GamboaF,Santa,1903,Mexico,unknown,heterodiegetic,novela social,novela naturalista
nh0081,no,BungeCO,Sangre,1903,Argentina,historical,heterodiegetic,novela histórica,unknown
nh0082,no,PodestaMT,AlmaNina,1892,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0083,yes,HolmbergEL,PartidosLucha,1875,Argentina,modern,autodiegetic,novela científica,unknown
nh0084,no,LarretaE,GloriaRamiro,1908,Argentina,modern,heterodiegetic,novela histórica,novela modernista
