idno,sources_medium,sources_filetype,sources_institution,sources_edition,institution_type
nh0073,digital,image,Biblioteca Digital del ILCE,unknown,scholarly
nh0074,print,image,University library,modern,scholarly
nh0075,digital,image,La novela corta: una biblioteca virtual,historical,scholarly
nh0076,digital,image,Internet Archive,first,general
nh0077,digital,text,iBooks Store,historical,general
nh0078,digital,text,Biblioteca Virtual Miguel de Cervantes,historical,scholarly
nh0079,digital,text,Project Gutenberg,modern,general
nh0080,digital,text,Biblioteca Virtual Antorcha,unknown,general
nh0081,digital,text,El Libro Total,historical,general
nh0082,digital,image,Wikimedia Commons,first,general
nh0083,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0084,digital,text,Project Gutenberg,modern,general
nh0085,print,image,University library,modern,scholarly
nh0086,digital,text,Wikisource,unknown,general
nh0087,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0088,digital,image,Wikimedia Commons,first,general
nh0089,digital,text,Project Gutenberg,modern,general
nh0090,digital,text,El Libro Total,unknown,general
nh0091,print,image,Internet Archive,first,general
nh0092,digital,image,Google Books,first,general
nh0093,digital,image,Google Books,first,general
nh0094,digital,text,Biblioteca Virtual Miguel de Cervantes,modern,scholarly
nh0095,digital,text,Individual website,unknown,general
nh0096,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0097,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0098,digital,image,Google Books,modern,general
nh0099,digital,text,El Libro Total,unknown,general
nh0100,digital,text,Project Gutenberg,first,general
nh0101,print,image,HathiTrust Digital Library,first,scholarly
nh0102,digital,text,Ibero-Amerikanisches Institut,first,scholarly
nh0103,print,image,Colección Digital UANL,first,scholarly
nh0104,digital,image,Fondo antiguo,historical,scholarly
nh0105,digital,text,iBooks Store,first,general
nh0106,print,image,University library,modern,scholarly
nh0107,digital,image,HathiTrust Digital Library,first,scholarly
nh0108,digital,image,Fondo de Cultura Económica,modern,scholarly
nh0109,digital,text,Biblioteca Digital de la Biblioteca Nacional de Cuba José Martí,first,scholarly
nh0110,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0111,print,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0112,digital,image,HathiTrust Digital Library,first,scholarly
nh0113,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0114,digital,text,Biblioteca Virtual Miguel de Cervantes,modern,scholarly
nh0115,digital,text,Biblioteca Virtual Miguel de Cervantes,historical,scholarly
nh0116,digital,text,Biblioteca Virtual Miguel de Cervantes,historical,scholarly
nh0117,digital,text,Biblioteca Virtual Miguel de Cervantes,historical,scholarly
nh0118,digital,text,Project Gutenberg,historical,general
nh0119,digital,text,Biblioteca Virtual Miguel de Cervantes,modern,scholarly
nh0120,print,image,HathiTrust Digital Library,historical,scholarly
nh0121,digital,text,Biblioteca Virtual Miguel de Cervantes,modern,scholarly
nh0122,digital,image,Internet Archive,first,general
nh0123,digital,image,Wikimedia Commons,historical,general
nh0124,digital,image,Internet Archive,modern,general
nh0125,digital,image,Biblioteca Digital Hispánica,historical,scholarly
nh0126,print,image,University library,modern,scholarly
nh0127,digital,image,HathiTrust Digital Library,modern,scholarly
nh0128,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0129,digital,image,La novela corta: una biblioteca virtual,first,scholarly
nh0130,digital,image,HathiTrust Digital Library,historical,scholarly
nh0131,digital,image,Internet Archive,historical,general
nh0132,digital,image,Google Books,historical,general
nh0133,digital,image,Biblioteca Digital del ILCE,unknown,scholarly
nh0134,digital,image,Colección Digital UANL,first,scholarly
nh0135,digital,text,Biblioteca Digital de la Biblioteca Nacional de Cuba José Martí,modern,scholarly
nh0136,digital,image,Colección Digital UANL,first,scholarly
nh0137,digital,image,Digital Library of the Caribbean,first,scholarly
nh0138,digital,image,Colección Digital UANL,historical,scholarly
nh0139,digital,text,Biblioteca Virtual Antorcha,unknown,general
nh0140,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0141,digital,image,Colección Digital UANL,first,scholarly
nh0142,digital,image,HathiTrust Digital Library,first,scholarly
nh0143,digital,image,HathiTrust Digital Library,first,scholarly
nh0144,digital,image,Colección Digital UANL,historical,scholarly
nh0145,digital,image,HathiTrust Digital Library,first,scholarly
nh0146,digital,image,Libros México,modern,general
nh0147,digital,image,Biblioteca Digital Hispánica,first,scholarly
nh0148,digital,image,Wikimedia Commons,first,general
nh0149,print,image,Ibero-Amerikanisches Institut,first,scholarly
nh0150,digital,image,Wikimedia Commons,first,general
nh0151,digital,image,HathiTrust Digital Library,modern,scholarly
nh0152,digital,image,Colección Digital UANL,first,scholarly
nh0153,digital,text,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0154,digital,image,HathiTrust Digital Library,first,scholarly
nh0155,digital,image,Wikimedia Commons,first,scholarly
nh0156,digital,image,HathiTrust Digital Library,first,scholarly
nh0157,digital,image,La novela corta: una biblioteca virtual,first,scholarly
nh0158,digital,image,Fondo antiguo,first,scholarly
nh0159,print,image,Ibero-Amerikanisches Institut,first,scholarly
nh0160,digital,image,Ibero-Amerikanisches Institut,first,scholarly
nh0161,digital,text,Biblioteca Digital Argentina,first,general
nh0162,print,image,University library,modern,scholarly
nh0163,digital,image,Internet Archive,first,general
nh0164,digital,image,Biblioteca Digital Trapalanda,historical,scholarly
nh0165,digital,image,Internet Archive,first,general
nh0166,digital,image,EnCaribe,modern,scholarly
nh0167,digital,image,Biblioteca Digital Hispánica,historical,scholarly
nh0168,digital,image,HathiTrust Digital Library,first,scholarly
nh0169,digital,image,HathiTrust Digital Library,historical,scholarly
nh0170,digital,image,HathiTrust Digital Library,first,scholarly
nh0171,digital,image,HathiTrust Digital Library,historical,scholarly
nh0172,digital,image,Biblioteca Digital Hispánica,first,scholarly
nh0173,digital,image,HathiTrust Digital Library,first,scholarly
nh0174,print,image,University library,modern,scholarly
nh0175,print,image,University library,modern,scholarly
nh0176,digital,image,Wikimedia Commons,first,general
nh0177,digital,image,Internet Archive,first,general
nh0178,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0179,digital,image,Wikimedia Commons,first,general
nh0180,print,image,University library,modern,scholarly
nh0181,print,image,University library,modern,scholarly
nh0182,print,image,University library,modern,scholarly
nh0183,digital,image,Conaculta,first,scholarly
nh0184,print,image,University library,modern,scholarly
nh0185,digital,text,Wikisource,first,general
nh0186,digital,text,Wikisource,first,general
nh0187,digital,image,Internet Archive,historical,general
nh0188,digital,image,Google Books,historical,general
nh0189,print,image,University library,modern,scholarly
nh0190,print,image,University library,modern,scholarly
nh0191,print,image,University library,modern,scholarly
nh0192,print,image,University library,modern,scholarly
nh0193,print,image,University library,modern,scholarly
nh0194,print,image,University library,modern,scholarly
nh0195,digital,image,Bayerische Staatsbibliothek digital,first,scholarly
nh0196,print,image,University library,modern,scholarly
nh0197,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0198,print,image,University library,modern,scholarly
nh0199,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0200,digital,image,University library,modern,scholarly
nh0201,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0202,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0203,digital,text,Biblioteca Virtual Antorcha,unknown,general
nh0204,print,image,University library,modern,scholarly
nh0205,print,image,University library,modern,scholarly
nh0206,print,image,University library,modern,scholarly
nh0207,digital,image,HathiTrust Digital Library,historical,scholarly
nh0208,digital,image,University library,modern,scholarly
nh0209,digital,image,University library,first,scholarly
nh0210,digital,image,HathiTrust Digital Library,modern,scholarly
nh0211,digital,image,University library,modern,scholarly
nh0212,digital,image,University library,modern,scholarly
nh0213,digital,image,Wikimedia Commons,modern,general
nh0214,digital,image,Biblioteca Digital Mexicana del Bicentenario,modern,scholarly
nh0215,print,image,University library,modern,scholarly
nh0216,print,image,University library,modern,scholarly
nh0217,print,image,University library,modern,scholarly
nh0218,digital,image,Internet Archive,modern,general
nh0219,digital,text,El Libro Total,unknown,general
nh0220,digital,image,Internet Archive,first,general
nh0221,digital,image,Internet Archive,first,general
nh0222,digital,image,Internet Archive,first,general
nh0223,digital,text,Wikisource,unknown,general
nh0224,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0225,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0226,digital,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0227,print,image,University library,modern,scholarly
nh0228,digital,image,Internet Archive,first,general
nh0229,digital,image,Internet Archive,first,general
nh0230,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0231,digital,image,Internet Archive,first,general
nh0232,digital,image,Colección Digital UANL,first,scholarly
nh0233,digital,image,Fondo antiguo,first,scholarly
nh0234,digital,image,Biblioteca Virtual Miguel de Cervantes,first,scholarly
nh0235,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0236,digital,image,University library,modern,scholarly
nh0237,digital,image,University library,modern,scholarly
nh0238,digital,image,Google Books,historical,general
nh0239,digital,image,Fondo antiguo,first,scholarly
nh0240,digital,image,La novela corta: una biblioteca virtual,unknown,scholarly
nh0241,print,image,Ibero-Amerikanisches Institut,modern,scholarly
nh0242,digital,image,Internet Archive,first,general
nh0243,digital,image,Biblioteca Digital Hispánica,first,scholarly
nh0244,print,image,Ibero-Amerikanisches Institut,historical,scholarly
nh0245,digital,image,Internet Archive,first,general
nh0246,digital,image,Internet Archive,first,general
nh0247,digital,image,Wikimedia Commons,first,general
nh0248,digital,image,Internet Archive,historical,general
nh0249,digital,image,Internet Archive,first,general
nh0250,digital,image,Wikimedia Commons,first,general
nh0251,digital,image,HathiTrust Digital Library,first,scholarly
nh0252,digital,image,HathiTrust Digital Library,first,scholarly
nh0253,digital,image,Colección Digital UANL,first,scholarly
nh0254,digital,image,Wikimedia Commons,first,general
nh0255,digital,image,Wikimedia Commons,first,general
nh0256,digital,image,Wikimedia Commons,first,general
