idno,enclitics,adjective,conjunction,determiner,noun,pronoun,adverb,adposition,verb,number,date,interjection,common,proper
nh0055,2,0,0,0,2,0,0,0,0,0,0,0,1,1
nh0056,7,0,0,0,4,0,0,0,3,0,0,0,4,0
nh0057,60,5,0,0,31,0,3,0,21,0,0,0,12,19
nh0058,2,1,0,0,1,0,0,0,0,0,0,0,1,0
nh0059,7,0,0,0,5,0,0,0,2,0,0,0,3,2
nh0060,60,6,0,0,48,0,0,0,6,0,0,0,13,35
nh0061,20,2,0,0,16,0,0,0,2,0,0,0,4,12
nh0062,6,1,0,0,4,0,1,0,0,0,0,0,1,3
nh0063,11,1,0,0,5,0,1,0,4,0,0,0,2,3
nh0064,6,0,0,0,3,0,0,0,3,0,0,0,0,3
nh0065,3,0,0,0,2,0,0,0,1,0,0,0,0,2
nh0066,18,2,0,0,15,0,0,0,1,0,0,0,6,9
nh0067,162,33,0,0,75,0,1,0,53,0,0,0,46,29
nh0068,85,5,0,0,57,0,1,0,22,0,0,0,24,33
nh0069,184,5,0,0,169,0,0,0,10,0,0,0,21,148
nh0070,238,60,0,0,123,0,1,0,54,0,0,0,82,41
nh0071,2,1,0,0,1,0,0,0,0,0,0,0,0,1
nh0072,182,36,0,0,68,0,6,0,72,0,0,0,32,36
nh0073,1,0,0,0,1,0,0,0,0,0,0,0,1,0
nh0074,107,11,0,0,80,0,0,0,16,0,0,0,24,56
nh0075,9,1,0,0,6,0,1,0,1,0,0,0,5,1
nh0076,17,4,0,0,9,0,0,0,4,0,0,0,6,3
nh0077,6,0,0,0,5,0,0,0,1,0,0,0,5,0
nh0078,12,1,0,0,9,0,0,0,2,0,0,0,6,3
nh0079,6,0,0,0,5,0,0,0,1,0,0,0,0,5
nh0080,21,1,0,0,9,0,0,0,10,1,0,0,7,2
nh0081,7,0,0,0,4,0,0,0,3,0,0,0,3,1
nh0082,58,6,0,0,39,0,0,0,13,0,0,0,13,26
nh0083,16,3,0,0,13,0,0,0,0,0,0,0,8,5
nh0084,479,22,0,0,226,0,0,0,231,0,0,0,94,132
nh0085,429,40,0,0,285,0,6,0,98,0,0,0,95,190
nh0086,679,190,0,0,333,0,21,0,135,0,0,0,175,158
