0,counts
díjole,345
habíase,324
hallábase,196
púsose,189
sentíase,158
habíale,135
veíase,134
Levantóse,118
veíanse,115
habíanse,110
preguntóle,105
Acercóse,102
Habíase,102
Diríase,98
diríase,97
parecíale,96
quedóse,95
acercóse,93
detúvose,92
Detúvose,91
parecióle,89
contestóle,83
sentóse,82
volvióse,82
sintióse,81
Púsose,76
levantóse,75
dirigióse,73
Oyóse,73
Quedóse,73
decíale,69
Hallábase,68
Sentóse,65
dejóse,62
oyóse,58
Dirigióse,58
Parecíale,58
Volvióse,57
echóse,57
Sentíase,54
hallábanse,54
poníase,51
hízole,50
hacíase,50
Veíanse,47
habíala,46
Oíase,46
hízose,45
díjome,43
Hubiérase,42
decíase,42
hubiérase,40
oíase,40
diose,40
Presentóse,39
viose,38
levantábase,38
encontróse,37
presentóse,37
Veíase,37
Dejóse,36
alzábase,35
notábase,35
llegóse,35
mostrábase,35
habíanle,34
Abrióse,34
habíalo,33
respondióle,33
dábale,33
pusiéronse,33
quedose,32
apresuróse,32
hacíale,31
hallóse,31
abrióse,31
Componíase,30
Decíase,30
Echóse,30
Sentáronse,30
Oíanse,30
volvíase,30
Hízose,29
encontrábase,29
tornóse,28
parecíame,28
Hízolo,27
Detuviéronse,27
creíase,27
Habíale,27
dióle,26
volviose,26
oíanse,26
dejábase,26
Parecióle,25
Diose,25
paróse,25
Entróse,25
pasábase,25
gañote,25
oyose,24
destacábase,24
habíame,24
entróse,24
vióse,23
quedábase,23
Hallábanse,23
sentáronse,23
lanzóse,23
levantose,23
Despidióse,23
dióse,23
bastábale,22
propúsose,22
llevóse,22
fijóse,22
Habíanse,22
Notábase,22
dábase,22
Llamábase,22
Adelantóse,22
Alzóse,21
tornábase,21
dábanle,21
Abasólo,21
ose,21
sentose,21
sintiose,21
despidióse,21
escuchábase,21
díjoles,20
Oyéronse,20
paseábase,20
díjose,20
Llegóse,20
inclinóse,20
mirábase,20
fuéronse,20
Hízole,20
teníalo,20
dirigiose,20
metióse,19
echábase,19
habíasele,19
Siguióse,19
manteníase,19
Sintióse,19
faltábale,19
diéronse,19
acercábase,19
hallose,19
hacíalo,19
sentábase,18
ocurriósele,18
Pasóse,18
pasóse,18
Conocíase,18
distinguíase,18
Tratábase,18
erguíase,18
dirigiéronse,18
veíalo,18
hacíanse,18
antojábasele,18
Hallábame,18
arrodillóse,18
asome,17
marchóse,17
poníanse,17
percibíase,17
sentíanse,17
presentose,17
Acercose,17
volviéronse,17
creeríase,17
hízolo,17
oyéronse,17
encaminóse,17
presentábase,16
veíala,16
viéronse,16
habíalos,16
toos,16
mezclábanse,16
hablóle,16
Sentose,16
habríase,16
hízome,16
quedáronse,15
Ocurriósele,15
ocupábase,15
arrojóse,15
mantúvose,15
asomóse,15
limitábase,15
acercáronse,15
abríase,15
hízola,15
preguntábase,15
hacíanle,15
habíanla,15
dejose,15
deteníanse,15
deteníase,15
escuchóse,15
disponíase,15
mostrábanse,15
cubrióse,15
sentábanse,15
Incorporóse,15
retiróse,15
sabíase,15
trocóse,15
tomóla,15
Levantose,14
Arrodillóse,14
Retiróse,14
decidióse,14
hacíala,14
habíanlo,14
extendíase,14
dijérase,14
dijóle,14
Asomóse,14
Parecióme,14
echose,14
Despertóse,14
Despidiéronse,14
lanzose,14
abriose,14
díjola,14
apoyóse,14
Estremecióse,14
mirábanse,14
calóse,14
mostróse,13
tomóle,13
Dirigiéronse,13
esforzábase,13
decíanse,13
gritóle,13
Acercáronse,13
detuviéronse,13
Apeáronse,13
embrome,13
quitóse,13
complacíase,13
Hablábase,13
Habíala,13
llamábase,13
pidióle,13
acercose,13
convirtióse,13
corruptela,13
Sabíase,13
desprendíase,12
llamóle,12
encontráronse,12
Paseábase,12
alejóse,12
mirábala,12
Oyose,12
Viose,12
incorporóse,12
replicóle,12
Díjole,12
Volviéronse,12
Dióse,12
antojósele,12
descubríase,12
Levantáronse,12
Miráronse,12
adelantóse,12
Escuchóse,12
Pusiéronse,12
hallábame,12
debíase,12
sintiéronse,11
entreteníase,11
