idno,precision,recall,accuracy,F1
nh0243,0.7538852,0.88167995,0.8374438,0.81279
nh0202,0.86021626,0.95243156,0.93583196,0.9039783
nh0186,0.9964814,0.9782214,0.9833036,0.987267
nh0235,0.9950769,0.95199823,0.97181135,0.973061
nh0229,0.953606,0.8055349,0.9638578,0.87333864
nh0220.0.9172545,0.78412515,0.93498236,0.8454813
nh0187,0.99990666,0.58622956,0.7084635,0.7391229
nh0241,0.85702556,0.9104161,0.9349184,0.8829144
nh0244,0.9797237,0.66101694,0.9198757,0.7894166
nh0247,0.8390458,0.7891409,0.8639785,0.8133285
nh0219,0.9189984,0.87153995,0.89682937,0.89464027
nh0147,0.45327148,0.37140444,0.43193316,0.40827444
nh0238,0.7434364,0.7665904,0.6561442,0.7548359
nh0242,0.95252645,0.8861983,0.94480526,0.91816604
nh0152,0.9178706,0.94242364,0.949162,0.9299851
nh0239,0.9348442,0.86529005,0.92899764,0.8987234
nh0246,0.9340201,0.953776,0.95030737,0.94379467
nh0223,0.9169231,0.8756511,0.9751968,0.895812
nh0191,0.89677733,0.79607767,0.9545318,0.8434324
nh0232,0.95955116,0.91672415,0.96992743,0.9376489
nh0213,0.9390411,0.76039934,0.9567024,0.84033096
nh0236,0.8712702,0.8324724,0.87308073,0.8514296
nh0165,0.95729417,0.54220617,0.8161234,0.69229835
nh0148,0.56076163,0.07601728,0.6323413,0.13388501
nh0172,0.99041885,0.7556391,0.95032156,0.8572444
nh0237,0.98963594,0.94503105,0.966249,0.9668193
nh0149,0.4902588,0.4955633,0.5081438,0.4928968
nh0248,0.93052983,0.6935496,0.87649184,0.79475
nh0163,0.9679094,0.85039043,0.9676454,0.90535223
nh0253,0.87710214,0.89248186,0.9008722,0.8847252
nh0245,0.913702,0.97547656,0.93679893,0.9435793
nh0208,0.98938805,0.94910085,0.98205775,0.96882576
nh0005,0.9877514,0.7058569,0.86248344,0.8233441
nh0020.0.9496629,0.902413,0.9786794,0.92543525
nh0017,0.35663518,0.3412008,0.32944816,0.3487473
nh0018,0.99598753,0.93462735,0.9809013,0.96433234
nh0008,0.95002705,0.95140016,0.9783191,0.95071304
nh0014,0.89949965,0.9541719,0.94532466,0.9260295
nh0001,0.07092135,0.07057876,0.087354176,0.07074963
nh0010.0.9929379,0.9554593,0.9869065,0.97383815
nh0019,0.9047244,1,0.993911,0.94997936
nh0003,0.98715097,0.9292859,0.98315114,0.95734483
nh0011,0.9898137,0.8420752,0.96501434,0.90998703
nh0012,0.9952966,0.76902884,0.9772714,0.8676538
nh0016,0.9952568,0.9573631,0.9916618,0.97594225
nh0002,0.101846136,0.09595551,0.22616796,0.09881312
nh0004,0.99131745,0.95133877,0.98097533,0.9709167
nh0013,0.8819593,0.99054706,0.9696975,0.9331047
nh0015,0.2749459,0.24102591,0.18100229,0.25687096
nh0007,0.11033275,0.10940999,0.07896694,0.10986943
nh0006,0.9946562,0.95245576,0.9781624,0.9730987
nh0009,0.97970116,0.58499223,0.899034,0.73256207
nh0058,0.98463017,0.9200251,0.9770464,0.951232
nh0037,0.9947866,0.9821409,0.98950475,0.9884233
nh0024,0.89226854,0.68341905,0.89191127,0.7740028
nh0040.0.9941942,0.74397004,0.9057126,0.8510712
nh0026,0.98840666,0.9361532,0.96946865,0.9615705
nh0057,0.90545833,0.22016892,0.7896191,0.3542092
nh0042,0.99463177,0.8866418,0.93599117,0.9375373
nh0027,0.31220207,0.29130983,0.2578213,0.3013943
nh0055,0.9860579,0.6754934,0.9203703,0.8017515
nh0021,0.85687006,0.9862885,0.9303186,0.9170357
nh0044,0.9811138,0.98158914,0.9919061,0.9813514
nh0048,0.91606665,0.9670978,0.98586345,0.94089085
nh0056,0.8659097,0.63948923,0.89803964,0.73567194
nh0049,0.9947806,0.99690974,0.9956715,0.995844
nh0025,1,0.88269836,0.9706277,0.93769497
nh0029,0.88323605,0.5969276,0.8124931,0.71239144
nh0028,0.83533084,0.40137973,0.762667,0.5422204
nh0022,0.9945195,0.9564235,0.9931677,0.97509956
nh0054,0.98454785,0.9490591,0.98420995,0.9664778
nh0023,0.99041873,0.9583381,0.99011904,0.97411436
nh0096,0.9812212,0.92465824,0.9641164,0.95210034
nh0070.0.9814847,0.97073424,0.9943868,0.9760798
nh0110.0.9717105,0.8438192,0.95070887,0.9032603
nh0097,0.8948468,0.9607515,0.91816074,0.92662877
nh0112,0.8752788,0.87166876,0.9474397,0.87347007
nh0102,0.99892724,0.98772585,0.9944547,0.99329495
nh0135,0.98393315,0.92641896,0.9828546,0.95431024
nh0119,0.9861168,0.8193239,0.9607802,0.8950159
nh0061,0.99603176,0.72798383,0.9006984,0.84116995
nh0091,0.93095905,0.86052555,0.95496416,0.8943577
nh0060.0.96801066,0.88670385,0.9590653,0.9255751
nh0062,0.93731815,0.9334702,0.94996953,0.93539023
nh0077,0.9982588,0.9225696,0.96568066,0.958923
nh0073,0.9977143,0.8036824,0.95819575,0.89024854
nh0083,0.90869516,0.4977722,0.7396508,0.6432047
nh0079,0.98806244,0.99930346,0.99790674,0.99365115
nh0059,0.9825657,0.29743993,0.83442354,0.45664525
nh0065,0.44431058,0.23221157,0.31832168,0.30501312
nh0127,0.9916863,0.9207208,0.96836317,0.95488685
nh0140.0.989413,0.8874138,0.9586466,0.9356418
