"subgenre label", "frequency absolute", "frequency relative"
"novela romántica",269,0.324487334137515078
"novela realista",122,0.147165259348612786
"novela naturalista",81,0.097708082026537998
"novela modernista",8,0.009650180940892642
"novela verista",5,0.006031363088057901
"novela clasicista",3,0.003618817852834741
