"subgenre label", "frequency absolute", "frequency relative", "frequency absolute normalized", "frequency relative normalized"
"novela",398,0.480096501809408926,403,0.486127864897466828
"novela histórica",73,0.088057901085645356,133,0.160434258142340169
"novela original",97,0.117008443908323281,113,0.136308805790108565
"novela mexicana",6,0.007237635705669481,67,0.080820265379975875
"novela de costumbres",25,0.030156815440289505,57,0.068757539203860072
"episodios",64,0.077201447527141134,54,0.065138721351025332
"memorias",49,0.059107358262967431,54,0.065138721351025332
"leyenda",42,0.050663449939686369,44,0.05307599517490953
"novela cubana",18,0.021712907117008444,35,0.042219541616405308
"drama",25,0.030156815440289505,28,0.033775633293124246
"novela nacional",0,0,26,0.031363088057901086
"historia",22,0.026537997587454765,25,0.030156815440289505
"cuento",15,0.018094089264173703,15,0.018094089264173703
"novela argentina",5,0.006031363088057901,15,0.018094089264173703
"novela social",2,0.00241254523522316,13,0.015681544028950543
"novela americana",4,0.004825090470446321,12,0.014475271411338963
"escenas",11,0.013268998793727382,12,0.014475271411338963
"novela policial",0,0,11,0.013268998793727382
"ensayo",8,0.009650180940892642,8,0.009650180940892642
"novela fantástica",2,0.00241254523522316,8,0.009650180940892642
"páginas",6,0.007237635705669481,8,0.009650180940892642
"novela contemporánea",1,0.00120627261761158,7,0.008443908323281062
"novela de viajes",0,0,7,0.008443908323281062
"novela militar",2,0.00241254523522316,7,0.008443908323281062
"estudio",6,0.007237635705669481,6,0.007237635705669481
"relato",6,0.007237635705669481,6,0.007237635705669481
"narración",4,0.004825090470446321,6,0.007237635705669481
"crónica",4,0.004825090470446321,6,0.007237635705669481
"recuerdos",5,0.006031363088057901,5,0.006031363088057901
"novela anecdótica",0,0,5,0.006031363088057901
"novela criolla",2,0.00241254523522316,4,0.004825090470446321
"novela de aventuras",0,0,4,0.004825090470446321
"cuadros",2,0.00241254523522316,4,0.004825090470446321
"novela bonaerense",0,0,4,0.004825090470446321
"novela moralista",0,0,4,0.004825090470446321
"novela política",2,0.00241254523522316,4,0.004825090470446321
"tragedia",2,0.00241254523522316,4,0.004825090470446321
"novela naturalista",2,0.00241254523522316,3,0.003618817852834741
"esbozos",3,0.003618817852834741,3,0.003618817852834741
"romance",2,0.00241254523522316,3,0.003618817852834741
"confesiones",3,0.003618817852834741,3,0.003618817852834741
"apuntes",3,0.003618817852834741,3,0.003618817852834741
"perfiles",2,0.00241254523522316,3,0.003618817852834741
"novela regional",2,0.00241254523522316,3,0.003618817852834741
"novela porteña",1,0.00120627261761158,3,0.003618817852834741
"novela criminal",0,0,3,0.003618817852834741
"novela humorística",2,0.00241254523522316,3,0.003618817852834741
"novela corta",0,0,3,0.003618817852834741
"tradición",3,0.003618817852834741,3,0.003618817852834741
"novela de actualidad",0,0,2,0.00241254523522316
"novela popular",0,0,2,0.00241254523522316
"novela filosófica",1,0.00120627261761158,2,0.00241254523522316
"novela habanera",1,0.00120627261761158,2,0.00241254523522316
"reflexiones",2,0.00241254523522316,2,0.00241254523522316
"boceto",2,0.00241254523522316,2,0.00241254523522316
"relación",2,0.00241254523522316,2,0.00241254523522316
"novela epistolar",0,0,2,0.00241254523522316
"novela yucateca",2,0.00241254523522316,2,0.00241254523522316
"novela suriana",1,0.00120627261761158,2,0.00241254523522316
"novela de propaganda",2,0.00241254523522316,2,0.00241254523522316
"novela cómica",0,0,2,0.00241254523522316
"novela romana",0,0,2,0.00241254523522316
"fragmentos",1,0.00120627261761158,2,0.00241254523522316
"entretenimientos",2,0.00241254523522316,2,0.00241254523522316
"novela jurídica",2,0.00241254523522316,2,0.00241254523522316
"croquis",1,0.00120627261761158,1,0.00120627261761158
"cinematógrafo",1,0.00120627261761158,1,0.00120627261761158
"auto-novela",1,0.00120627261761158,1,0.00120627261761158
"novela tapatía",0,0,1,0.00120627261761158
"apuntamientos",1,0.00120627261761158,1,0.00120627261761158
"lecturas",1,0.00120627261761158,1,0.00120627261761158
"novela patriótica",0,0,1,0.00120627261761158
"panorama",1,0.00120627261761158,1,0.00120627261761158
"medallones",0,0,1,0.00120627261761158
"novela india",1,0.00120627261761158,1,0.00120627261761158
"novela franco-argentina",0,0,1,0.00120627261761158
"novela didáctica",1,0.00120627261761158,1,0.00120627261761158
"novela curiosa",0,0,1,0.00120627261761158
"epopeya",1,0.00120627261761158,1,0.00120627261761158
"novela científica",0,0,1,0.00120627261761158
"novela espiritista",0,0,1,0.00120627261761158
"capricho",1,0.00120627261761158,1,0.00120627261761158
"novela enciclopédica",0,0,1,0.00120627261761158
"novela sentimental",1,0.00120627261761158,1,0.00120627261761158
"novela de crímenes",0,0,1,0.00120627261761158
"novela de horrores",0,0,1,0.00120627261761158
"contornos",1,0.00120627261761158,1,0.00120627261761158
"novela en acción",1,0.00120627261761158,1,0.00120627261761158
"reseña",0,0,1,0.00120627261761158
"novela mixteca",0,0,1,0.00120627261761158
"impresiones",1,0.00120627261761158,1,0.00120627261761158
"novela de Tabasco",0,0,1,0.00120627261761158
"bosquejo",0,0,1,0.00120627261761158
"novela azteca",0,0,1,0.00120627261761158
"silueta",1,0.00120627261761158,1,0.00120627261761158
"novela camagüeyana",0,0,1,0.00120627261761158
"novela festiva",1,0.00120627261761158,1,0.00120627261761158
"novela siciliana",0,0,1,0.00120627261761158
"novela doméstica",0,0,1,0.00120627261761158
"novela realista",1,0.00120627261761158,1,0.00120627261761158
"elegía",1,0.00120627261761158,1,0.00120627261761158
"notas",1,0.00120627261761158,1,0.00120627261761158
"novela kantabro-americana",0,0,1,0.00120627261761158
"novela andaluza",0,0,1,0.00120627261761158
