idno,author-short,title-short,year,country,narrative-perspective,subgenre-theme,subgenre-current,subgenre-novela,tokens
nh0002,PayroR,Moreira,1910,Argentina,autodiegetic,novela política,novela realista,none,98903
nh0005,AltamiranoIM,Navidad,1871,Mexico,autodiegetic,novela de costumbres,other,none,17404
nh0008,RivarolaEE,AmarVuelo,1884,Argentina,heterodiegetic,novela de costumbres,novela realista,none,41611
nh0010,MezaR,TioEmpleado,1887,Cuba,homodiegetic,novela de costumbres,novela realista,novela,93573
nh0013,MezaR,Carmela,1887,Cuba,heterodiegetic,novela sentimental,other,none,50455
nh0015,SaladoAlvarezV,Puebla,1903,Mexico,heterodiegetic,novela histórica,novela realista,none,90242
nh0023,RabasaE,Bola,1887,Mexico,autodiegetic,novela política,novela realista,novela,38681
nh0027,LopezLV,GranAldea,1884,Argentina,autodiegetic,novela de costumbres,novela realista,none,50497
nh0029,SicardiF,Extrano,1894,Argentina,heterodiegetic,novela social,other,none,99767
nh0032,SicardiF,Mendez,1897,Argentina,heterodiegetic,novela social,other,none,72121
nh0036,LopezPortilloJ,Parcela,1898,Mexico,heterodiegetic,novela de costumbres,novela realista,novela,90800
nh0040,GutierrezJM,CapitanPatricios,1864,Argentina,heterodiegetic,novela histórica,other,none,16253
nh0044,CastellanosJ,Conjura,1909,Cuba,heterodiegetic,novela social,novela realista,novela,22991
nh0046,OcantosCM,Promision,1897,Argentina,heterodiegetic,novela social,novela realista,novela,65026
nh0047,OcantosCM,Quilito,1891,Argentina,heterodiegetic,novela social,novela realista,none,83234
nh0048,OcantosCM,Perfecto,1902,Argentina,autodiegetic,novela de costumbres,novela realista,novela,64894
nh0052,DelgadoR,ParientesRicos,1901,Mexico,heterodiegetic,novela social,novela realista,none,105418
nh0053,GutierrezE,JuanMoreira,1880,Argentina,heterodiegetic,novela gauchesca,other,none,81953
nh0059,PodestaMT,Irresponsable,1889,Argentina,autodiegetic,novela social,other,none,45987
nh0060,MiroJM,Bolsa,1891,Argentina,heterodiegetic,novela social,other,none,59537
nh0062,CantiloJM,Quillango,1880,Argentina,heterodiegetic,novela de costumbres,novela realista,none,17162
nh0067,FriasH,UltimoDuelo,1896,Mexico,heterodiegetic,novela social,novela realista,novela,51837
nh0068,DelgadoR,Calandria,1890,Mexico,heterodiegetic,novela sentimental,novela realista,novela,89456
nh0075,DelgadoR,HistoriaVulgar,1904,Mexico,heterodiegetic,novela social,novela realista,none,23172
nh0082,PodestaMT,AlmaNina,1892,Argentina,heterodiegetic,novela sentimental,other,none,35006
nh0089,DelgadoR,Angelina,1893,Mexico,autodiegetic,novela sentimental,novela realista,novela,89231
nh0094,MansoJP,MisteriosPlata,1868,Argentina,heterodiegetic,novela histórica,other,novela,42919
nh0097,PazI,Corregidora,1887,Mexico,heterodiegetic,novela histórica,other,none,91038
nh0099,NajeraM,Cielo,1882,Mexico,heterodiegetic,novela sentimental,other,novela,33182
nh0113,GomezAvellanedaG,Sab,1841,Cuba,heterodiegetic,novela abolicionista,other,novela,53129
nh0114,BobadillaE,Fuego,1903,Cuba,heterodiegetic,novela social,other,novela,63807
nh0126,CaneMI,Sconner,1858,Argentina,heterodiegetic,novela social,other,none,24010
nh0127,OcantosCM,Candidato,1893,Argentina,heterodiegetic,novela política,novela realista,none,72592
nh0129,CuellarJT,Fuerenos,1883,Mexico,heterodiegetic,novela de costumbres,other,novela,25032
nh0133,CampoValleA,Rumba,1891,Mexico,heterodiegetic,novela de costumbres,novela realista,none,33506
