,o de,a de,s de,e la,de l,e el,de e,a el,ente,ando,e de,o qu,a la,para,ment,os d,a co,n la,a qu,esta,s qu,ento,e ha,e lo,de s,la c,e su,ción,el c,n el,a en,en l,ante,ient,ue e,en e,o en,e es,como,o se,e se,e co,n de,ue s,abía,as d,a ca,e en,o co,ue l,habí,e qu,el p,do e,s co,cont,r la,enci,entr,a su,e un,ncia,es d,endo,la m,iend,pero,r se,a es,ella,aban,amen,os p,os a,aque,la p,o la,taba,todo,os c,ar l,ntes,quel,o es,do d,do l,o el,n su,de a,el m,do a,r de,a se,do s,ació,s en,idad,e no,a un,ombr,el a,ones,enta,n qu,os e,ue n,ntra,o ha,ar s,mbre,o po,a pa,ados,a po,estr,uest,a lo,de m,el s,s pa,de u,as c,de c,el d,se a,quie,a ma,ue a,cuan,as p,n un,en s,espe,e le,mien,comp,r lo,obre,on l,n lo,esto,reci,os s,y de,to d,a ve,o un,pres,desp,r el,ione,pues,ue h,s se,a re,e re,e di,e pa,la s,sent,se d,se e,os m,on e,ra d,no s,rado,iera,a no,o lo,se l,os l,tado,tant,a pr,de p,s la,ón d,uell,la v,lo q,uste,acer,la d,la e,n es,or l,cion,n co,ra e,seño,eñor,raba,dijo,te d,l co,sted,uand,stab,os q,anto,ue t,os y,l de,aron,sobr,ue p,rque,pare,uert,asta,de t,or e,a mi,o pa,no d,el e,ar a,as a,n en,ntos,o no,e pr,o me,s es,s ca,cien,es e,iemp,orqu,cons,a ha,e me,do c,la a,er l,ores,ntre,l ca,do p,s po,hace,as e,se h,es q,homb,a mu,e po,a in,a vi,toda,mpre,el t,e mi,ue d,able,su c,o le,raci,eron,casa,caba,mano,bien,much,no e,erta,stra,as m,otro,a me,r qu,inte,ía e,nter,ello,segu,iero,ue m,ontr,tras,os h,e ca,arec,llos,fuer,mism,a si,s pr,y la,rada,as y,adre,ar e,ía d,no p,stro,an a,o su,ue c,amos,echo,a pe,e to,nada,leva,adas,onde,y co,emos,iene,sper,a so,ador,de q,se p,uier,onte,no h,rand,part,r un,te a,anta,or d,el r,da d,de d,en c,ba e,illa,tien,r le,s lo,medi,ba a,r en,este,le d,enía,ía a,as s,ible,te e,ta d,omen,e in,a sa,ro d,eran,ener,s re,n se,esen,e te,es y,endi,r su,en a,y qu,se c,odos,ismo,hast,ecía,pera,o si,as l,ensa,la f,algu,acio,ra q,ales,en q,hora,on s,s ha,prim,vida,eros,espu,as q,ra l,stan,s in,es c,cono,dado,o te,er s,es p,uien,su p,an e,ra c,ería,deci,ía s,y se
nh0001,0.23846198397139923,0.21246849756693392,0.20003683015610269,0.18157768763698962,0.19287920346501802,0.21397536634400435,0.1778105156943135,0.16914602022615838,0.09719303612104424,0.13561818993634078,0.13561818993634078,0.13486475554780558,0.11828919900003058,0.09116556101276242,0.052740407197465866,0.0960628845382414,0.08551480309874822,0.09945333928664991,0.09794647050957947,0.07948732799046641,0.0960628845382414,0.05198697280893064,0.0960628845382414,0.10698768317200218,0.07760374201912834,0.0760968732420579,0.07232970129938175,0.05236369000319825,0.0851380859044806,0.07760374201912834,0.06366520583122665,0.08325449993314255,0.08965869223569196,0.051233538420395415,0.0990766220923823,0.06780909496817039,0.07308313568791698,0.06065146827708574,0.05763773072294484,0.08363121712741016,0.07496672165925505,0.05914459950001529,0.06102818547135336,0.07835717640766357,0.07082283252231131,0.06705566057963518,0.06102818547135336,0.06856252935670562,0.06253505424842382,0.07873389360193118,0.06404192302549426,0.06667894338536756,0.09794647050957947,0.06441864021976187,0.0508568212261278,0.06856252935670562,0.05349384158600109,0.034657981872620425,0.05424727597453632,0.05010338683759257,0.06404192302549426,0.026370203598732933,0.04934995244905734,0.05763773072294484,0.06253505424842382,0.05537742755733916,0.03880187100956417,0.0538705587802687,0.050480104031860186,0.03202096151274713,0.05161025561466302,0.027500355181535773,0.048219800866254506,0.04859651806052212,0.02599348640446532,0.048973235254789735,0.050480104031860186,0.05688429633440961,0.048973235254789735,0.05349384158600109,0.048219800866254506,0.04482934611784598,0.022979748850324413,0.057261013528677226,0.04934995244905734,0.05236369000319825,0.06027475108281813,0.039178588203831785,0.04106217417516985,0.06102818547135336,0.04934995244905734,0.045959497700648826,0.030137375541409064,0.04708964928345166,0.03277439590128236,0.04934995244905734,0.033904547484085196,0.0538705587802687,0.04106217417516985,0.07232970129938175,0.045959497700648826,0.03428126467835281,0.022226314461789187,0.038425153815296556,0.039932022592367014,0.05010338683759257,0.045959497700648826,0.0452060633121136,0.0395553053980994,0.06667894338536756,0.04482934611784598,0.04106217417516985,0.03051409273567668,0.04482934611784598,0.034657981872620425,0.040685456980902236,0.034657981872620425,0.03729500223249372,0.04407591172931076,0.039932022592367014,0.042945760146507916,0.03578813345542327,0.05198697280893064,0.03428126467835281,0.04030873978663463,0.04407591172931076,0.03804843662102895,0.0425690429522403,0.034657981872620425,0.042945760146507916,0.024486617627394867,0.028630506764338613,0.030137375541409064,0.05537742755733916,0.02373318323885964,0.030137375541409064,0.048973235254789735,0.025616769210197708,0.039178588203831785,0.04482934611784598,0.043699194535043145,0.03428126467835281,0.03503469906688804,0.030890809929944293,0.03051409273567668,0.025616769210197708,0.034657981872620425,0.022979748850324413,0.018082425324845438,0.04746636647771928,0.018082425324845438,0.05537742755733916,0.042945760146507916,0.030137375541409064,0.017328990936310212,0.019212576907648278,0.03202096151274713,0.04106217417516985,0.028630506764338613,0.021472880073253958,0.03202096151274713,0.03729500223249372,0.024486617627394867,0.034657981872620425,0.03277439590128236,0.044452628923578374,0.03277439590128236,0.03578813345542327,0.03126752712421191,0.034657981872620425,0.03804843662102895,0.030890809929944293,0.039932022592367014,0.033904547484085196,0.026370203598732933,0.039932022592367014,0.02599348640446532,0.021849597267521573,0.018459142519113052,0.037671719426761334,0.033151113095549974,0.037937789646127644,0.024109900433127253,0.030137375541409064,0.018082425324845438,0.024486617627394867,0.0395553053980994,0.016952273742042598,0.028253789570071,0.034657981872620425,0.013185101799366467,0.013185101799366467,0.021096162878986347,0.021096162878986347,0.04106217417516985,0.021096162878986347,0.0405956016739943,0.028630506764338613,0.03164424431847952,0.033904547484085196,0.02373318323885964,0.03352783028981759,0.032397678707014745,0.03202096151274713,0.039178588203831785,0.022226314461789187,0.036164850649690876,0.048973235254789735,0.030137375541409064,0.02712363798726816,0.03051409273567668,0.032397678707014745,0.038425153815296556,0.017705708130577827,0.028630506764338613,0.030890809929944293,0.02486333482166248,0.015068687770704532,0.026370203598732933,0.028630506764338613,0.015068687770704532,0.036918285038226105,0.02373318323885964,0.025240052015930093,0.02712363798726816,0.033904547484085196,0.01582212215923976,0.027500355181535773,0.023356466044592027,0.04708964928345166,0.013185101799366467,0.02486333482166248,0.02712363798726816,0.02486333482166248,0.019966011296183507,0.024486617627394867,0.024486617627394867,0.02373318323885964,0.033151113095549974,0.019212576907648278,0.021849597267521573,0.022226314461789187,0.026370203598732933,0.033151113095549974,0.030890809929944293,0.04934995244905734,0.030890809929944293,0.033904547484085196,0.010924798633760786,0.01243166741083124,0.021849597267521573,0.012054950216563626,0.028630506764338613,0.010924798633760786,0.034657981872620425,0.011678233022296014,0.025616769210197708,0.036918285038226105,0.023356466044592027,0.03578813345542327,0.035411416261155654,0.0425690429522403,0.024109900433127253,0.033904547484085196,0.042192325757972694,0.02712363798726816,0.017328990936310212,0.01582212215923976,0.026370203598732933,0.03729500223249372,0.018082425324845438,0.022226314461789187,0.021096162878986347,0.023356466044592027,0.037671719426761334,0.019212576907648278,0.022979748850324413,0.033904547484085196,0.022226314461789187,0.03277439590128236,0.020719445684718733,0.025240052015930093,0.037671719426761334,0.02486333482166248,0.045959497700648826,0.026746920793000544,0.02599348640446532,0.017705708130577827,0.015068687770704532,0.021849597267521573,0.013938536187901692,0.030890809929944293,0.01777473631988353,0.021849597267521573,0.028630506764338613,0.02486333482166248,0.025616769210197708,0.021096162878986347,0.016952273742042598,0.03051409273567668,0.02599348640446532,0.024109900433127253,0.029760658347141453,0.022226314461789187,0.0226030316560568,0.020342728490451118,0.025240052015930093,0.020342728490451118,0.017328990936310212,0.025616769210197708,0.018835859713380667,0.019966011296183507,0.01356181899363408,0.022226314461789187,0.022226314461789187,0.027877072375803384,0.029760658347141453,0.035411416261155654,0.03126752712421191,0.018082425324845438,0.026370203598732933,0.017705708130577827,0.022226314461789187,0.028630506764338613,0.027500355181535773,0.02712363798726816,0.015445404964972147,0.019212576907648278,0.022979748850324413,0.023356466044592027,0.025240052015930093,0.019589294101915893,0.021849597267521573,0.022979748850324413,0.0226030316560568,0.01582212215923976,0.016198839353507372,0.018082425324845438,0.02599348640446532,0.024486617627394867,0.023356466044592027,0.018082425324845438,0.011678233022296014,0.018459142519113052,0.018835859713380667,0.01356181899363408,0.01469197057643692,0.022979748850324413,0.027877072375803384,0.015445404964972147,0.010171364245225559,0.013185101799366467,0.01582212215923976,0.018459142519113052,0.020342728490451118,0.016952273742042598,0.018082425324845438,0.019212576907648278,0.023356466044592027,0.020342728490451118,0.010548081439493174,0.021096162878986347,0.019966011296183507,0.023356466044592027,0.019589294101915893,0.013185101799366467,0.018459142519113052,0.019589294101915893,0.010171364245225559,0.016952273742042598,0.009794647050957946,0.01243166741083124,0.021096162878986347,0.022226314461789187,0.021472880073253958,0.020719445684718733,0.02373318323885964,0.01469197057643692,0.028630506764338613,0.009041212662422719,0.0226030316560568,0.01469197057643692,0.018835859713380667,0.022979748850324413,0.030890809929944293,0.009417929856690333,0.019212576907648278,0.016575556547774987,0.021096162878986347,0.020719445684718733,0.01582212215923976,0.018835859713380667,0.020719445684718733,0.018835859713380667,0.020342728490451118,0.020719445684718733,0.028253789570071,0.023356466044592027,0.01356181899363408,0.017328990936310212
nh0002,0.22346251036898074,0.21118595649651875,0.19247882678610048,0.16339508606443456,0.16807186849203914,0.12101174531426818,0.10712754748231712,0.12422703323324633,0.1829791124800287,0.13635743765484568,0.13051145962033997,0.12408088378238367,0.10069697164436084,0.11297352551682283,0.1395727255738238,0.08900501557534943,0.09178185514173963,0.10113541999694878,0.08096679577790407,0.08958961337879999,0.08228214083566786,0.08739737161586035,0.07950530126927764,0.07804380676065122,0.055829090229529525,0.06518265508473865,0.04457558251310603,0.11501961782889983,0.057436734189018596,0.07102863311924437,0.07614386389943686,0.08593587710723392,0.07950530126927764,0.07073633421751908,0.06722874739681566,0.06313656277266166,0.07292857598045872,0.05992127485368352,0.1166272617883889,0.06342886167438695,0.06649800014250244,0.0803821979744535,0.0683979430037168,0.061236619911447306,0.06415960892870017,0.055244492426078956,0.05465989462262838,0.06489035618301338,0.060798171558859374,0.04837546823553474,0.05933667705023295,0.07409777158735986,0.07088248366838172,0.05509834297521631,0.06927483970889266,0.05392914736831517,0.05948282650109559,0.06810564410199152,0.05378299791745252,0.036098914363072755,0.056852136385568026,0.09982007493918499,0.06167506826403523,0.058605929795919734,0.04837546823553474,0.057436734189018596,0.09017421118225057,0.05275995176141403,0.047498571530358885,0.03858345502773768,0.045306329767419246,0.0803821979744535,0.05919052759937031,0.05246765285968874,0.04004494953636411,0.04896006603898532,0.043406386906204894,0.0533445495648646,0.06605955178991452,0.045598628669144534,0.05378299791745252,0.048229318784672105,0.037268109969973894,0.05919052759937031,0.04077569679067732,0.041798742946715824,0.03639121326479804,0.03580661546134747,0.04428328361138075,0.0492523649407106,0.040483397888952034,0.03902190338032561,0.0362450638139354,0.0321528791897814,0.05992127485368352,0.04808316933380946,0.05992127485368352,0.0533445495648646,0.05290610121227667,0.04121414514326525,0.026160751704413048,0.06620570124077715,0.053198400114001954,0.03361437369840783,0.04238334075016639,0.053636848466589886,0.03916805283118825,0.052321503408826096,0.035075868207034254,0.040921846241539966,0.04676782427604567,0.04428328361138075,0.03405282205099576,0.04603707702173246,0.03916805283118825,0.046913973726908316,0.04223719129930375,0.06869024190544208,0.01987632531731941,0.037998857224287114,0.03595276491221011,0.047498571530358885,0.045598628669144534,0.033322074796682546,0.02718379786045155,0.051006158351062314,0.03361437369840783,0.029668338525116474,0.05597523968039217,0.035075868207034254,0.04223719129930375,0.032591327542369326,0.04194489239757847,0.020022474768182055,0.039314202282050896,0.04442943306224339,0.046913973726908316,0.026453050606138336,0.03434512095272104,0.036683512166523324,0.05275995176141403,0.03580661546134747,0.03186058028805611,0.03156828138633083,0.04077569679067732,0.04019109898722675,0.04998311219502381,0.035075868207034254,0.03595276491221011,0.030691384681154975,0.05275995176141403,0.03536816710875954,0.02996063742684176,0.025430004450099835,0.038875753929462964,0.037268109969973894,0.03902190338032561,0.04267563965189168,0.02835299346735269,0.03054523523029233,0.021045520924220552,0.023676211039748124,0.039314202282050896,0.029083740721665904,0.043114088004479606,0.041506444044990536,0.02835299346735269,0.06006742430454616,0.03639121326479804,0.03595276491221011,0.019584026415594126,0.029814487975979118,0.03872960447860033,0.03960650118377618,0.04954466384243589,0.04603707702173246,0.028499142918215332,0.03244517809150669,0.025868452802687764,0.02893759127080326,0.03639121326479804,0.030938190826158344,0.037998857224287114,0.028645292369077976,0.026014602253550408,0.029083740721665904,0.02893759127080326,0.05539064187694159,0.026599200057000977,0.033906672600133116,0.00803821979744535,0.008184369248307993,0.02732994731131419,0.013738048381088417,0.03098368358288026,0.022799314334572267,0.033006471560540374,0.035514316559622186,0.03098368358288026,0.029668338525116474,0.04808316933380946,0.025868452802687764,0.030399085779429687,0.024114659392336053,0.016368738496615985,0.02133781982594584,0.02893759127080326,0.03858345502773768,0.03302977589495726,0.016661037398341273,0.04252949020102904,0.02937603962339119,0.02937603962339119,0.0451601803165566,0.03142213193546819,0.036683512166523324,0.01870712971041827,0.023237762687160195,0.03741425942083654,0.02557615390096248,0.029814487975979118,0.045014030865693964,0.04019109898722675,0.0885665672227615,0.022214716531121694,0.025430004450099835,0.029668338525116474,0.025430004450099835,0.04252949020102904,0.03858345502773768,0.03434512095272104,0.025868452802687764,0.04896006603898532,0.02572230335182512,0.02309161323629755,0.029083740721665904,0.03434512095272104,0.02513770554837455,0.020753222022495268,0.02718379786045155,0.0331759253458199,0.04121414514326525,0.027476096762176834,0.022214716531121694,0.020607072571632624,0.028499142918215332,0.027622246213039478,0.030252936328567046,0.03682966161738597,0.028645292369077976,0.03946035173291354,0.039314202282050896,0.01929172751386884,0.056852136385568026,0.020460923120769983,0.037998857224287114,0.015053393438852201,0.022799314334572267,0.026014602253550408,0.011838105519874062,0.026014602253550408,0.020753222022495268,0.01826868135783034,0.028499142918215332,0.04779087043208417,0.037268109969973894,0.02353006158888548,0.02996063742684176,0.03142213193546819,0.02879144181994062,0.030106786877704402,0.02879144181994062,0.03843730557687504,0.02396850994147341,0.032883626444094614,0.022068567080259054,0.025430004450099835,0.015053393438852201,0.04077569679067732,0.02309161323629755,0.033906672600133116,0.021776268178533766,0.02674534950786362,0.02572230335182512,0.020022474768182055,0.030252936328567046,0.03098368358288026,0.035075868207034254,0.03682966161738597,0.02133781982594584,0.020753222022495268,0.020899371473357912,0.01951365825746076,0.022945463785434907,0.025868452802687764,0.024991556097511906,0.022214716531121694,0.020753222022495268,0.01929172751386884,0.022799314334572267,0.031714430837193476,0.022507015432846982,0.021191670375083196,0.03361437369840783,0.031129833033742903,0.016807186849203914,0.022653164883709623,0.01286115167591256,0.024845406646649266,0.018560980259555628,0.02309161323629755,0.02031477366990734,0.022360865981984338,0.02718379786045155,0.024260808843198693,0.020607072571632624,0.03434512095272104,0.016807186849203914,0.029522189074253833,0.029083740721665904,0.03478356930530897,0.025283854999237194,0.02396850994147341,0.01973017586645677,0.018999428612143557,0.012130404421599347,0.017976382456105056,0.027914545114764763,0.03682966161738597,0.01929172751386884,0.019437876964731482,0.02133781982594584,0.0201686242190447,0.02309161323629755,0.026014602253550408,0.026599200057000977,0.021045520924220552,0.015930290144028057,0.017537934103517127,0.023676211039748124,0.020607072571632624,0.015053393438852201,0.025868452802687764,0.024845406646649266,0.021630118727671125,0.0331759253458199,0.0341989715018584,0.015784140693165416,0.021630118727671125,0.030399085779429687,0.02309161323629755,0.021776268178533766,0.021191670375083196,0.017245635201791842,0.02031477366990734,0.02353006158888548,0.01651488794747863,0.015199542889714843,0.01973017586645677,0.028499142918215332,0.016953336300066558,0.024553107744923978,0.03361437369840783,0.028206844016490047,0.02148396927680848,0.017830233005242415,0.033322074796682546,0.02192241762939641,0.025430004450099835,0.01651488794747863,0.02879144181994062,0.029229890172528545,0.017245635201791842,0.02309161323629755,0.015053393438852201,0.022214716531121694,0.014030347282813702,0.016661037398341273,0.024699257195786622,0.02572230335182512,0.020753222022495268,0.02192241762939641,0.019145578063006197,0.022360865981984338,0.021045520924220552,0.026306901155275692,0.022214716531121694,0.01286115167591256,0.015053393438852201,0.02557615390096248,0.01768408355437977,0.024114659392336053,0.02192241762939641,0.013738048381088417,0.017391784652654486,0.024406958294061337,0.029668338525116474,0.028499142918215332,0.018414830808692984,0.013591898930225775
nh0003,0.19713282348667646,0.20173514621399186,0.18255880151684434,0.16491656439546862,0.146507273486207,0.15724602651660963,0.14343905833466342,0.1265638750011736,0.1580130803044955,0.15034254242563652,0.12502976742540178,0.1150580681828851,0.1227286060617441,0.10278520757671068,0.10892163787979789,0.06673367954607336,0.1442061121225493,0.09511466969785168,0.10585342272825428,0.10201815378882478,0.10508636894036838,0.08974529318265037,0.1242627136375159,0.07056894848550285,0.060597249242986144,0.10125110000093888,0.060597249242986144,0.06519957197030155,0.09051234697053627,0.059830195455100245,0.07517127121281826,0.07210305606127465,0.08284180909167727,0.06519957197030155,0.09127940075842217,0.059830195455100245,0.07977359394013366,0.07747243257647596,0.07517127121281826,0.06903484090973105,0.08360886287956316,0.08667707803110676,0.05292671136412714,0.07440421742493236,0.10048404621305297,0.06366546439452975,0.08054064772801957,0.07517127121281826,0.08284180909167727,0.05292671136412714,0.09511466969785168,0.059063141667214346,0.059063141667214346,0.07133600227338875,0.06903484090973105,0.06673367954607336,0.059830195455100245,0.049858496212583536,0.04832438863681174,0.04218795833372453,0.05752903409144255,0.04295501212161043,0.05139260378835534,0.05139260378835534,0.06750073333395926,0.04832438863681174,0.08207475530379137,0.04909144242469764,0.05369376515201304,0.08514297045533496,0.04142090454583863,0.05369376515201304,0.05369376515201304,0.05139260378835534,0.060597249242986144,0.03835268939429503,0.045256173485268135,0.059063141667214346,0.049858496212583536,0.04679028106103993,0.04372206590949634,0.04218795833372453,0.05676198030355664,0.05599492651567074,0.049858496212583536,0.036051528030637325,0.044489119697382236,0.03988679697006683,0.04372206590949634,0.044489119697382236,0.04218795833372453,0.04295501212161043,0.054460818939898945,0.03221625909120782,0.03911974318218093,0.03835268939429503,0.046023227273154034,0.04372206590949634,0.06443251818241565,0.03451742045486553,0.04372206590949634,0.03221625909120782,0.035284474242751426,0.04142090454583863,0.027613936363892422,0.045256173485268135,0.044489119697382236,0.03375036666697963,0.03911974318218093,0.02531277500023472,0.036051528030637325,0.044489119697382236,0.03911974318218093,0.03988679697006683,0.02684688257600652,0.03451742045486553,0.035284474242751426,0.08360886287956316,0.029915097727550122,0.029148043939664223,0.03451742045486553,0.04832438863681174,0.04755733484892584,0.036051528030637325,0.02684688257600652,0.03911974318218093,0.03758563560640913,0.03911974318218093,0.04218795833372453,0.027613936363892422,0.05369376515201304,0.02838099015177832,0.035284474242751426,0.022244559848691118,0.02684688257600652,0.03758563560640913,0.02838099015177832,0.029915097727550122,0.03375036666697963,0.02607982878812062,0.03835268939429503,0.03758563560640913,0.02838099015177832,0.04832438863681174,0.031449205303321924,0.049858496212583536,0.040653850757952734,0.02377866742446292,0.045256173485268135,0.03758563560640913,0.027613936363892422,0.036051528030637325,0.03681858181852323,0.029148043939664223,0.02454572121234882,0.03835268939429503,0.04755733484892584,0.05369376515201304,0.06289841060664385,0.03988679697006683,0.02684688257600652,0.02838099015177832,0.02377866742446292,0.02838099015177832,0.035284474242751426,0.03298331287909372,0.03221625909120782,0.02607982878812062,0.031449205303321924,0.02684688257600652,0.021477506060805215,0.030682151515436025,0.031449205303321924,0.023011613636577017,0.03911974318218093,0.030682151515436025,0.031449205303321924,0.020710452272919316,0.04218795833372453,0.02684688257600652,0.036051528030637325,0.05044711080714526,0.02838099015177832,0.029148043939664223,0.023011613636577017,0.03451742045486553,0.02838099015177832,0.020710452272919316,0.031449205303321924,0.02838099015177832,0.029915097727550122,0.029915097727550122,0.03298331287909372,0.019176344697147515,0.030682151515436025,0.05752903409144255,0.05364031752245504,0.03911974318218093,0.03988679697006683,0.027613936363892422,0.016875183333489814,0.03758563560640913,0.03298331287909372,0.02377866742446292,0.010738753030402608,0.019943398485033414,0.029915097727550122,0.03451742045486553,0.03988679697006683,0.014574021969832112,0.030682151515436025,0.02684688257600652,0.036051528030637325,0.05062555000046944,0.03221625909120782,0.019176344697147515,0.017642237121375713,0.02838099015177832,0.029915097727550122,0.02607982878812062,0.022244559848691118,0.035284474242751426,0.02684688257600652,0.07133600227338875,0.02377866742446292,0.03221625909120782,0.019943398485033414,0.020710452272919316,0.02838099015177832,0.03221625909120782,0.022244559848691118,0.02531277500023472,0.05062555000046944,0.03681858181852323,0.022244559848691118,0.021477506060805215,0.02838099015177832,0.027613936363892422,0.02607982878812062,0.02684688257600652,0.020710452272919316,0.03221625909120782,0.02377866742446292,0.035284474242751426,0.03451742045486553,0.018409290909261616,0.05599492651567074,0.029915097727550122,0.02607982878812062,0.029915097727550122,0.029148043939664223,0.03221625909120782,0.020710452272919316,0.07287010984916055,0.02607982878812062,0.020710452272919316,0.02531277500023472,0.014574021969832112,0.02377866742446292,0.04372206590949634,0.04295501212161043,0.036051528030637325,0.018409290909261616,0.023011613636577017,0.04909144242469764,0.02838099015177832,0.02531277500023472,0.01610812954560391,0.02838099015177832,0.023011613636577017,0.03835268939429503,0.029148043939664223,0.009971699242516707,0.027613936363892422,0.019176344697147515,0.029915097727550122,0.029915097727550122,0.020710452272919316,0.04218795833372453,0.035284474242751426,0.013806968181946211,0.019943398485033414,0.019943398485033414,0.03375036666697963,0.029148043939664223,0.015341075757718012,0.017642237121375713,0.029915097727550122,0.02454572121234882,0.014574021969832112,0.021477506060805215,0.02838099015177832,0.0346519914652951,0.02684688257600652,0.02454572121234882,0.02454572121234882,0.010738753030402608,0.019176344697147515,0.021477506060805215,0.019176344697147515,0.023011613636577017,0.015341075757718012,0.023011613636577017,0.019176344697147515,0.016875183333489814,0.018409290909261616,0.01227286060617441,0.015341075757718012,0.022244559848691118,0.013806968181946211,0.019176344697147515,0.02454572121234882,0.054460818939898945,0.02684688257600652,0.020710452272919316,0.017642237121375713,0.02531277500023472,0.02454572121234882,0.019176344697147515,0.029148043939664223,0.020710452272919316,0.029915097727550122,0.02531277500023472,0.022244559848691118,0.015341075757718012,0.019943398485033414,0.02377866742446292,0.019176344697147515,0.01610812954560391,0.014574021969832112,0.03298331287909372,0.019176344697147515,0.01610812954560391,0.023011613636577017,0.01610812954560391,0.02377866742446292,0.02531277500023472,0.016875183333489814,0.018409290909261616,0.04142090454583863,0.030682151515436025,0.020710452272919316,0.03835268939429503,0.02607982878812062,0.013806968181946211,0.02684688257600652,0.021477506060805215,0.021477506060805215,0.01610812954560391,0.01227286060617441,0.02377866742446292,0.016875183333489814,0.016875183333489814,0.018409290909261616,0.027613936363892422,0.023011613636577017,0.009204645454630808,0.020710452272919316,0.023011613636577017,0.03298331287909372,0.021477506060805215,0.016875183333489814,0.01227286060617441,0.023011613636577017,0.02531277500023472,0.013806968181946211,0.019943398485033414,0.01227286060617441,0.020710452272919316,0.01303991439406031,0.03451742045486553,0.019943398485033414,0.027613936363892422,0.021477506060805215,0.020710452272919316,0.020710452272919316,0.02377866742446292,0.02377866742446292,0.03835268939429503,0.014574021969832112,0.013806968181946211,0.03221625909120782,0.029148043939664223,0.020710452272919316,0.017642237121375713,0.009971699242516707,0.01303991439406031,0.027613936363892422,0.022244559848691118,0.02607982878812062,0.019943398485033414,0.018409290909261616,0.013806968181946211,0.009971699242516707,0.017642237121375713,0.036051528030637325,0.016875183333489814,0.020710452272919316,0.030682151515436025,0.020710452272919316
