, a el, a la, aque, como, con , cont, de a, de e, de l, de s, de u, el a, el c, el m, el p, el s, en e, en l, entr, era , esta, habí, la c, la m, la p, las , los , más , para, pero, por , que , sin , sus , todo, una ,", que",a con,a de ,a el ,a en ,a la ,a que,aban ,abía ,ación,ament,ando ,aquel,as de,ción ,como ,de el,de la,de lo,de su,do de,e con,e de ,e el ,e hab,e la ,e las,e los,e que,e se ,e su ,en el,en la,encia,endo ,ente ,es de,había,iendo,mente,n de ,n el ,n la ,n que,o con,o de ,o el ,o en ,o la ,o que,o se ,os de,para ,pero ,que e,que l,que n,que s,r de ,r la ,r se ,s de ,s que,ue se
nh0001,-0.0011907287016763937,-0.641161894511332,-1.06817178613022,-1.033028260394045,-1.0129004717669,0.0953760445536852,-1.0488913335338237,-0.3771587714153518,-0.48428250378157284,-0.7800022669392985,-0.41705402657310764,-0.38062339234394343,-0.19834885066405084,0.4271236313145052,1.055722424845384,-0.07370248595101545,-0.8265233142302267,-0.3220293080905401,-0.6051044281973931,-0.8337691210086697,-0.7253678579305948,-0.3947722636952324,-0.7071800477097022,-0.32774733178865645,-0.7070490846689986,-0.5171985125916717,-0.263141515804986,-0.14674988699470196,-0.9346757452435959,-1.2972200037699873,0.15451992866151767,0.10086581809181511,-0.5055736231854093,-1.0431313413213341,-0.6168703189090985,-1.1862700534921045,1.1251972888404456,-1.3271381329207168,-0.6999236693705094,-0.016801193797217086,-0.9939906252626846,-0.8423186460574085,-0.4187908563026517,-0.35366773313013905,-0.5084995309418351,-1.2147104816536274,-1.5370950204988416,-0.3417401773461256,-1.0789464208842572,-0.36902118477749457,-1.4040715285205558,-1.0577713300556313,-0.13822595029702447,-0.5570402336766022,0.010482626313857763,-0.6331343047172062,-0.5871785490839039,-1.8642119865944549,-0.14765505430983403,0.21048295347075902,-0.34199282734522,-0.8304891744842942,-0.42366930386129475,0.1200344395611909,-0.6537177609758945,-0.1262058878277403,-0.6521689911177173,-0.6891610929915379,-0.3798482031508386,-1.766281851523021,-0.43067800295352815,-1.4179533827333537,-0.8983315879043098,-0.40159763357580786,-0.4351132085991478,-1.448828103700994,-1.0447161648624175,-0.4840115197252048,-0.4893783664208387,-1.296237690896415,-0.3536929428934988,-0.40481294084941066,0.2961096282949232,-0.6913356654486228,-0.7012386324790332,0.09183243418960031,0.16488725193517717,-0.5926524514436572,-1.0558460892160093,-1.3819399104281338,1.0627051057995773,0.22416998201843621,0.21219535507948561,-0.20079978502629006,-0.7747196538097159,-0.9363662662572143,-0.772477931738935,-0.5485794436932402,-0.4153363081069181,-0.06650035160153128
nh0002,-0.5202208145962899,-0.39622226869589144,-0.4172615856006624,1.6169136176373196,-0.02739885481187412,-0.08256730900120793,-0.37363477561063074,-1.1401827221616954,-0.2526038766945712,-0.9608352891337792,-0.3639523786962257,-1.226199573486148,-0.839737666418668,0.2957934640964222,0.5637710913819873,-1.3489377432559728,-0.4193734124041644,0.40108757760241165,-0.48537231964747973,0.4172046532334881,0.10072665479512505,-0.1244217225302405,-0.6143984615310769,-0.4540891270777614,-0.08878493272351459,-0.07831196894418457,-0.06333267647880883,2.1571594687566464,0.76683051730036,2.2190660958472623,-0.025538523263638285,0.10086581809181511,1.9072837445534312,-0.864857986549343,1.1134611516763742,0.28371214652398574,0.10616884968735936,-0.75048729566096,-0.26504217989156714,-0.5962576193042395,-0.06671345965432256,-0.49823526687253566,-0.8166338299258271,-0.28091683929082867,-0.08897540828877955,0.7972080628192914,1.3918934254854356,0.19868308048807232,-0.41971641501080165,-0.45156142351850004,0.9209141061826148,1.6576462426502399,-1.0148942213232282,-0.310153106116497,-0.03501976334600681,-1.2049826627108537,-0.5421924004961635,0.8675787740230378,0.17356453073398018,-0.890184707639708,-0.3636512806454272,-0.5144648051525742,-0.2822668752126038,-0.21166794275237663,1.2260866139069235,-0.7921414388422702,-1.3173740861982945,-0.3596353546389998,0.5310311036814896,0.6071874892296881,0.12886981154726315,1.0268899520309396,0.24039352664036856,-0.10980085386081075,0.3220945180841978,1.3694191673057683,-0.09787135301966131,-0.36702798626958516,0.2953860784004426,-1.168195215950612,-0.4768802821392141,-0.12552328389922005,-0.7173986824610856,0.10250918879940409,-0.6541370655037301,0.8773324242955115,-0.5973533014488996,-0.2206033617504357,0.9041603139447695,1.883641790700935,-0.049431197899999495,-1.1611221675839942,1.9716200626500024,-0.2859622908774208,-0.8613002449322807,-0.4055928360002269,-0.24495705833285736,-0.36357642193693007,-0.07282190738053022,-0.5462936014291384
nh0003,-0.652126711630941,-0.05664211329613597,0.03743916124278217,-0.28152817927497203,0.381469229634486,-0.4550811083166428,-0.7370824346559746,-0.7924122971061439,-0.9084383884225947,-1.0010994825083654,-0.7235656111730191,-0.5060734299851483,-0.015591682640313213,-0.5740086626550338,-0.4963034739246366,-1.1818085255436936,-0.8965854804920942,-0.4316479289576017,-0.49143747986087194,0.41686711398502924,0.8860756624623276,0.7901030248554617,0.4144843788591857,0.03253168160008825,-1.4589007863118166,-0.5896489213795706,-0.7282068251285769,-0.9529475526320985,-0.17981226764334785,1.2834689332991944,-0.6167354727835523,0.10086581809181511,-1.2919116628697647,-0.5615789409089257,-0.3141612527287904,0.3062044174606466,-0.5493184593756445,0.6601524295505548,-0.7419899650805526,-0.7801099300625528,-0.8543771046325894,-0.2537511576925258,0.542912369181275,-0.4931360712059038,1.0454271279943386,-0.7683457230708727,-0.2493515992194672,0.09620309777691757,0.033184265580969596,-0.22711579158836004,-0.8010804667669544,-0.24824487033741743,-0.7697765983343335,-0.753415217803161,-0.8900310866933001,-0.9466732584317545,-0.5018867432944376,0.2744300753938339,-0.4723077315229932,-0.7489156485012499,1.1809855129396944,-0.6918545123141508,-0.8536318967700869,-0.6121669003429628,-0.614627758531001,0.10044018317156962,-1.207932892937621,-1.051714059554882,-0.2692908773807954,-0.6351192501879926,-0.557119803339562,-0.15209056026583806,-0.6661928733724306,0.8046502188721876,-0.5591448689382233,0.04830823585256441,-1.4487425810942565,-1.3099523170642842,-0.867389796303642,-0.14947241540524123,0.233654507668087,-0.9266098172923766,-0.9661953288749205,-0.2269566483029911,-0.8088890701521001,-0.5293436112974633,-0.8647479225787628,-1.1964262418284488,-0.11698997071190914,1.2739463614592792,1.2858546152591581,-1.5302664245207078,0.019478048585043557,0.07605997903329209,-1.1724182988379341,-0.5760653835640388,-0.6151361764535582,-0.6981500521561783,0.42384749166335034,1.3928229003365387
nh0004,1.2147814477920484,0.31927789040813176,-0.8353655726954603,0.16445228302599899,1.1574986025640464,0.7480845813460842,0.050450318968918634,1.352889135445858,0.5145324714982471,-0.3952608237136854,-0.1782483522461458,0.8422399563782619,0.06185144388849058,-0.0315193705792209,1.4382954914092196,0.5932022497043609,0.28888511555120167,0.1189402951685571,2.1317778851735136,-0.50694980748062,0.7152860311876035,-0.3759134519124934,-0.042378995052725146,-0.24679163774084326,-0.5418035496764843,0.5691081518531826,3.16806975713388,0.7370419414802716,1.5538081759962084,1.2448108867074592,1.1074474517338284,0.10086581809181511,1.4159650094353746,0.7139251347511042,-0.0862804115543158,-0.34161998320274556,0.3747891767814831,1.0010408473438668,0.3072851460713888,1.2158982377616911,0.3878680171702769,-0.08232103774206949,-1.1709518276861175,1.6681329760458745,-0.3430078349784089,0.5521890271310804,1.5477067717658126,1.2170875594969317,-0.8086659637755345,0.3553525609424907,0.8261554687597291,0.17075080562556932,1.4072509353069047,-0.4402288083696125,3.0752159236389884,-0.3054717288287033,0.6473288686605484,0.5152427902489558,1.0769468384969672,1.3353160108295317,0.5728899370051815,-0.8931894864505099,0.37333363158658783,3.508022724015951,0.6845350981491564,-0.3736635811573237,-0.8909845638265605,-0.37694926151500063,0.2595886565120846,2.6305943303741097,0.700059046981123,2.0965716918424655,1.2000340358533221,-0.382808434573083,0.5929352095036499,1.5452530448976596,1.2041640080846414,0.14792308921536326,0.28077447622924,0.1451461458894093,2.0404283287166147,1.3141532291789422,0.6116789344971972,0.5170960101123403,0.10342117251935755,0.7154770505896704,1.663735249415162,1.464658641374451,1.5186752795272498,1.1343893442368524,-0.08095229161724532,0.5558549149756945,-0.32315204477561915,-0.16721958182873095,0.7079127206205271,-0.316242695627505,1.3900605359495872,1.029685685562809,0.5581595941866059,-0.25805559918420146
nh0005,0.29790591024777496,-0.12655469520424217,-0.28566216340886513,0.4529039535151323,-0.013543450376702874,-0.7644852860713561,-0.11660357985444265,0.2916591145594166,-0.37386275530496055,-0.6947682264634498,0.38815247035028116,0.4756216752417884,0.7738865063032764,-0.8216592954094486,1.3490703464761313,-0.2133418932102185,-0.12366212055369447,-0.2111894932705226,-0.9191185269827956,0.6459562098961352,0.24310868348058098,0.5957024620289061,-1.0542556879653886,-0.16024011547391437,-0.4924330387397259,-0.1609692557558707,0.1425227201448729,0.3638772549863038,0.19167445936396454,1.0943075991757913,0.6465436266913802,0.10086581809181511,-1.4635692384561758,0.4834884998935617,0.12257206012400337,0.038039383266102664,0.43491457652865434,-0.8427531663157652,-0.25791155905251856,0.13934605988288074,-0.95718960670714,-0.24085266091815596,-2.747142052308303,0.0897324026439508,0.6272024048632205,0.546531920808965,-0.36209605930383315,-0.4541593894809478,-0.28863796772452555,0.06020059906621243,-0.005637105144699433,0.42904878193957563,-0.13892114585956056,-0.4968374139619092,0.12034165948376924,-0.8372972268121835,0.2227513445874743,1.6044999738427779,-0.3850597327303198,-0.36091735860833746,0.9874885571138806,-0.7702309416554749,-0.2698616321722106,0.18958752103599824,-0.27035429614888323,-0.20930129354123397,-1.0390965260397562,-0.5678150923623848,-0.3766801706381872,-0.9840472256525613,0.09651501749933837,-0.38139535449630846,-0.6379663397321662,0.5852209922844719,0.03835088681612521,-0.1855849741039269,-0.9024900637325017,-0.5857865788475981,-1.3161931760163241,-0.4828712754208899,0.26718977200087835,-0.2597441932318526,0.13757430040724122,-0.06789629043239787,-0.5060238246416482,0.3439841676646997,-0.9390258426145702,0.09299473239098989,0.2139066340820469,0.8900766365659295,-0.17270208267639287,-0.5154384827643765,-0.23376117690833145,-0.08961727911133348,-0.02447363000728755,0.11059081442389938,-0.3796235660098905,-0.0712629573068584,0.376892419701023,-0.16689726719798
nh0006,-0.9024902583283154,-0.8172632201028558,-0.6160812887585658,0.009095565562889997,-0.5208884022599012,-1.190264684880417,-0.6996246102956137,-0.39996432622503614,-1.0449447068246045,-0.543487974690052,0.18895897916571192,-0.5946938441734497,0.46475055098552714,-1.3318637750602502,-0.7693208862615649,-0.5817578883855206,-0.35718431638651243,-0.8622112837298201,-1.2804594207173756,0.40104730573606967,0.6711963889455828,0.11581109999303593,-1.3867867389773192,-1.0158200347521562,-0.41316734523125065,-0.7483633776686849,-0.8962811245729004,-0.33426845575288133,-0.060824974089243436,1.4224045279947943,-0.7260110198353273,0.10086581809181511,-1.5035924857537861,-0.4293545194166907,-0.7560131668300633,0.12583970561697735,-0.29366956285849444,-0.2626615469450473,-0.6277322644284108,-1.0352220158779932,-0.49678442883468277,-1.1716234796572484,0.13049868975313947,-0.8046742916037015,0.22979745258996415,-0.3013713268701642,-0.08621571975908612,-1.0926342813039374,-0.6177490320679966,-0.5353645291473207,-0.32440443843420413,0.007000696102749733,-0.5114764003367461,-1.082400544184716,-0.7891366830812235,-0.42464296746581687,-1.0112928864675623,0.19721165309589014,-0.5491998204830283,-0.7154545842462976,0.25822740613165823,-1.2887431238339406,-0.8876883082800772,-0.8264922903604097,0.3980296281943203,-0.13208382363627977,-0.4839556079545134,-0.540172183609663,-0.9888192766249242,-0.7606520313488709,-0.9308934481146396,-0.045560030979977136,-0.26389217097392126,0.10710103409954162,-0.9197879111228655,0.06824847312577419,-0.2797679918990643,-0.6729109171814379,-1.134032323485621,-0.47774217017634735,-0.34993967900550527,-0.8926507008329323,-0.5103299247660692,-0.35973381622260026,-0.8430839746880031,-0.38377153681239845,-1.256925723344835,-0.8461984608269061,0.06851138492899095,1.3238001426178039,0.31896836058583233,-0.7226236318846853,0.28945851788931865,0.36973297621191303,-0.8037800549922632,-1.533931585531599,0.1606949616165639,-0.5386278759848816,-0.3243155334069419,0.15571158621926817
nh0007,-0.9113039327492839,-0.9765349982544513,0.28439979494346035,-0.211364108977644,-0.23009965152756898,-1.0551908274140176,0.25812138888532626,-1.0695632825553314,-0.9046022929915585,-0.6809485554130223,-0.6619966464199183,-0.9346679400233027,-1.0661066380351159,-1.7870195242873894,-1.020031024053382,-1.0705302887274535,-0.83269413967111,-0.3665870709351554,-0.9703932758241862,0.2382189678382349,0.31069328563423426,0.9467711480104442,-1.0882641354370366,-1.508168972676837,-1.040681329628021,-0.4618560022869801,-0.2441391959515763,-0.5481259325027206,-0.34380685163219893,1.4435426754691265,-0.34235517119823483,0.10086581809181511,-1.30819329155629,-0.43779907503507404,-0.1070923888991953,-0.6841603665255678,0.20025669556950326,-0.8331474559988309,-0.9338303689716297,-0.990662035563189,-0.9222457688181928,-1.2304033607659348,-1.0856826419420398,-0.21797832815083337,0.7759274978894507,-0.8283586033777813,0.15468716460740667,-0.2883707374917174,0.2791672331896026,-0.5355983897481416,-0.851177122951463,-0.22111701213486096,-1.0739181752144251,-0.8689564341396621,-0.7919126786267161,-0.5190049804639074,-0.43419670213535266,-0.4486933851380368,-0.8037734040598185,-1.1422670945801559,1.2434988043820823,-1.0100545986151022,-0.502477212350466,-0.560062303070635,-0.3578207865771844,0.23163536531161505,-0.4333952926879465,-1.1662231813058905,-0.4854985446678629,-1.2469196147102757,-0.17040513611793656,-0.47914441774957484,-0.4480351837774624,0.9696974809630102,-0.10041225060756385,-0.04179865507035417,-0.9844964086829686,-1.0842252446733656,-1.0865608139855283,-0.03532559472459267,-0.5286095565835204,-0.823636356668682,-0.8021786657309338,0.21555147131142285,-0.5830180140144838,-0.5017182149326395,-0.45627084983556027,-0.46498555060916896,-0.24676160329331984,1.3207039643363387,0.12485075930001541,0.2370190536227354,0.0743673465680818,0.8764544015082071,-1.4009837129301326,-0.8590953563398877,0.09841672623154397,-0.5287467246076936,0.4102303660428668,0.8197949320945922
nh0008,-0.18733754792253776,1.061570063784146,1.1621635569290458,1.756991701612066,-0.766567120693898,-0.8603102577027988,0.2549980916506414,1.0136398321430362,1.357782282420262,1.0990618847386862,1.7453163122870667,0.6166834597730468,0.17565429222854861,0.23286549113845048,-0.11555917117244438,0.6114533210421713,0.5175577400700879,0.7268128419390636,1.266798803139675,1.409296277176149,-0.2028412699076604,0.6580259009659266,1.5256247148910709,1.272066955655968,1.0134217408353285,1.3097373048413534,0.8588773961993948,-0.08937634218852085,1.0635537491558908,0.22240788617311757,0.5396090325129236,0.10086581809181511,-0.23011675550181585,1.1410226914282422,0.6602590468955897,1.2163875063173748,-0.0026188183995744544,-0.4180551765483867,1.615444345879986,-0.13535636988814637,1.0446479289555692,0.6211163377696753,0.5503200664644005,1.1832095342447508,0.4670667217654157,-0.055453975669965565,0.3864410957451336,0.6792602113726284,1.1534561099108451,1.2765505610370123,-0.23748959863656746,1.6874827405404007,0.9237549802023399,1.3981290200641734,1.090754365637786,1.0099221028617673,0.1916304539667899,-1.1379090530857818,-0.12551819986936116,0.8982853490319164,0.5433203958146307,1.3800028313695034,1.131877260222715,0.7257220201941248,-0.5081696321216033,0.30640059105087303,0.38044708581205855,0.6127431713001458,0.5001236450657196,-0.33549294257347945,0.8206995811222029,-0.1229062746526652,1.0175228106983756,0.6473143791962414,1.0768475067007728,0.3262649870454602,0.02362488812903023,0.5076813712763494,0.19807243955123183,1.071360577011648,-1.5962128609809125,1.0067009908577969,0.11081839321478519,0.3946519762013636,0.7007018676233799,-0.0038544745515781673,0.31044002959178346,1.4804285773566106,1.232578594673941,-0.9342209135358214,-0.38949472605458635,1.2907044446030767,-0.19715277274957155,0.45725742050147195,1.1303539399622429,-0.19031105695787934,0.44339894172719096,1.3619512357789305,0.9162516952473166,0.3986739753445334
nh0009,-0.7657237295886807,-1.6443742580796266,0.7905220253171357,-0.8483090982311616,-1.2271195941064377,-2.060653363441729,-0.44692988340814943,-1.1582491748901789,-1.5367285279062013,-1.038909255276578,-0.604291095093692,-1.0315605112072435,-0.09425973384762805,-0.12416999622001486,-1.3880276883400262,-1.0658093735762142,-1.431420764954217,-1.410251410519231,-0.8336516116346223,0.9840829826671004,0.4077801443548397,1.9235262404412237,-1.7085799178470584,-0.40736950065203753,-1.2406408246787242,-1.1073078224867077,-0.7852674047318314,0.272087787613246,0.5318930049504054,-0.0309725112594998,-0.7188956292605515,0.10086581809181511,0.13544979868530177,-0.9472399980641135,0.7607023946643532,-0.748948718216377,-0.4906827441615046,-1.4843869084592467,-1.3847092981633318,-0.7574837938953202,-1.1422560736802734,-1.2862643513507859,0.7763452943741581,-0.27290068259411027,1.9492976270683808,-0.8589338044813459,0.43760165319760147,-0.34533309681135604,0.7708174437879265,-1.1377186478094548,-0.5016536410943035,-0.8742308891782992,-0.9595003247802611,-1.636303511862002,-1.065532011064231,-0.9768756776517091,-0.45948386725347995,-1.3732631939076554,-1.4038968035430046,-0.9436110042928946,1.5481233593089139,-1.6399225637339772,-1.108700631098224,-0.9798642746940895,0.10450232389798246,0.8027472119201944,-1.0082369222102807,-1.1196704073650556,-1.3591455688063316,-1.0848500610659166,0.3067330280531407,-0.141329381007408,-1.2761000541798508,1.912599888112131,0.22541758011774032,-0.1259536653766762,-0.7676900281824452,-1.083885683241877,-1.3476227022864826,-0.24281420877713564,-1.418564753636843,-0.9881540918585733,-0.6701774297489006,-1.1107084120702984,-1.2982478934632695,1.6092434515901,0.3987410283036096,-1.1754542688995389,0.2230945003772016,0.044679717560647085,-0.3965736650823334,0.17721764913698634,1.5089781548243524,0.7661498086069266,-0.5102523376996823,-0.657083005288435,0.8729251731818959,-1.3185223992227564,0.22393257668861583,0.769276173229237
nh0010,-0.2622314932921944,-1.4645295135215992,0.8032163133387581,-0.6688374348093271,0.5101979293774018,1.121014855576308,0.21771684348421907,0.043866343229930375,-0.5044541340017582,-0.8673030372642762,-0.9258062071594366,-0.9489911291996317,1.6980578622557765,-0.1854052731082977,-0.1450128489198874,0.7307592231356992,-0.9020839866930869,-0.8999950195014763,-0.015562579626536175,-0.4884299096335628,0.19211489233607001,0.24675414117281547,-0.29710441396156456,-0.7939600079194754,-1.171250070487204,-0.16898840854724026,-0.15772324239964222,0.5712473930183323,-1.2079163254219185,-0.6049043801688148,0.3805453047307291,0.10086581809181511,-0.6872745119610825,-0.6223416890479936,0.8362942366212396,-0.5043550444284273,-0.25762912484137807,0.019566741676160324,-0.5846212284850205,-0.2626090154687569,-0.958767600608317,-1.0890887830917564,-0.2394076810581234,0.9528034504144655,0.16956616031869826,-0.6339086132910692,0.6481351126645128,0.24112434129923413,0.8060476744676578,0.40937033261955746,-0.4990108093842747,-0.6760749071660976,0.06311684200396783,-0.5769769668455088,-0.4507787439943206,-0.6935738231231807,0.14082469219172475,0.6498948355652341,-0.2743269490124232,0.08708938115211959,0.3595068928218478,-0.9233854658479457,0.22211629125521037,-0.328301447141566,0.4716414127060233,-0.02643597747865715,-0.7827850371902931,-0.7862891050279045,-0.9977630507948307,-0.5740088403824133,-0.04314408895354736,0.34085627737970114,0.07668148602052355,0.2592586239707938,0.020408380724602347,0.5066768625870627,-0.7372253323671704,-0.6595461324848843,-0.7450999705202551,-0.0220529498477308,0.2026873841360048,-0.24236674195956312,0.2280247212243022,-0.6885121136768513,-1.1158301341841503,0.4330540438627558,0.45828091014204675,0.700361479889142,-1.1373663576901012,-0.8592100904288044,-1.549541549024346,-0.39985891314848404,0.37741738633894434,-0.8766235396145027,-0.22849950772516964,-0.7729051086638054,-0.013540479202453931,0.3431937040497828,0.5464658314086988,-0.31141486703165566
