,classifier,feature_type,num_topics,oi,subgenre_level,class_1,class_2,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,SVM,topics,90,250,themes,novela histórica,other,500,1.0,0.8200329670329671,0.0984055785591396,1.0,0.8245512618616334,0.09360417745318472
1,SVM,topics,90,250,themes,novela sentimental,other,500,1.0,0.810909090909091,0.11900413215966235,1.0,0.8037318903318903,0.12996218545886135
2,SVM,topics,90,250,themes,novela de costumbres,other,500,1.0,0.7115999999999999,0.14347626981490705,1.0,0.7161287767563072,0.16082697633920426
3,SVM,topics,90,250,themes,novela histórica,novela sentimental,500,1.0,0.8870909090909093,0.10568298142077309,1.0,0.8871839604839606,0.10124148337692078
4,SVM,topics,90,250,themes,novela histórica,novela de costumbres,500,1.0,0.8458000000000001,0.09758258041269458,1.0,0.8419932955932958,0.10461008433477206
5,SVM,topics,90,250,themes,novela sentimental,novela de costumbres,500,1.0,0.7692,0.13330926449425787,1.0,0.7519800532800534,0.15890723175281599
