,y_true,true_abs,true_rel,false_abs,false_rel
nh0163,other,9,0.9,1,0.1
nh0164,novela de costumbres,96,0.96,4,0.04
nh0165,other,10,1.0,0,0.0
nh0166,other,30,1.0,0,0.0
nh0167,other,30,0.75,10,0.25
nh0168,other,40,1.0,0,0.0
nh0169,other,28,0.9333333333333333,2,0.06666666666666667
nh0170,other,48,0.96,2,0.04
nh0171,other,20,1.0,0,0.0
nh0172,novela de costumbres,71,0.71,29,0.29
nh0173,other,10,1.0,0,0.0
nh0174,other,10,1.0,0,0.0
nh0175,other,10,1.0,0,0.0
nh0176,other,29,0.9666666666666667,1,0.03333333333333333
nh0177,other,2,0.06666666666666667,28,0.9333333333333333
nh0179,novela de costumbres,100,1.0,0,0.0
nh0180,other,20,1.0,0,0.0
nh0181,other,40,1.0,0,0.0
nh0182,other,20,1.0,0,0.0
nh0183,other,30,1.0,0,0.0
nh0184,other,16,0.5333333333333333,14,0.4666666666666667
nh0185,other,30,1.0,0,0.0
nh0186,other,10,1.0,0,0.0
nh0187,other,39,0.975,1,0.025
nh0189,other,19,0.95,1,0.05
nh0190,other,30,1.0,0,0.0
nh0191,other,10,1.0,0,0.0
nh0192,other,10,1.0,0,0.0
nh0193,other,30,1.0,0,0.0
nh0194,other,20,1.0,0,0.0
nh0195,other,30,1.0,0,0.0
nh0196,other,30,1.0,0,0.0
nh0197,novela de costumbres,100,1.0,0,0.0
nh0198,other,30,1.0,0,0.0
nh0199,novela de costumbres,100,1.0,0,0.0
nh0200,other,20,1.0,0,0.0
nh0201,other,19,0.95,1,0.05
nh0202,other,20,1.0,0,0.0
nh0203,other,20,1.0,0,0.0
nh0204,other,35,0.875,5,0.125
nh0205,other,28,0.9333333333333333,2,0.06666666666666667
nh0206,other,20,1.0,0,0.0
nh0207,other,50,1.0,0,0.0
nh0208,other,30,1.0,0,0.0
nh0209,other,40,1.0,0,0.0
nh0210,other,19,0.95,1,0.05
nh0211,other,37,0.925,3,0.075
nh0212,other,30,1.0,0,0.0
nh0213,novela de costumbres,72,0.72,28,0.28
nh0214,novela de costumbres,99,0.99,1,0.01
nh0215,other,10,1.0,0,0.0
nh0216,other,17,0.85,3,0.15
nh0217,novela de costumbres,93,0.93,7,0.07
nh0218,other,10,1.0,0,0.0
nh0219,other,30,1.0,0,0.0
nh0220,novela de costumbres,82,0.82,18,0.18
nh0221,other,30,1.0,0,0.0
nh0222,other,30,1.0,0,0.0
nh0223,other,13,0.325,27,0.675
nh0224,other,30,1.0,0,0.0
nh0225,other,20,1.0,0,0.0
nh0226,other,30,1.0,0,0.0
nh0227,other,50,1.0,0,0.0
nh0228,other,10,1.0,0,0.0
nh0229,other,19,0.95,1,0.05
nh0230,other,0,0.0,10,1.0
nh0231,other,10,1.0,0,0.0
nh0232,other,0,0.0,30,1.0
nh0233,other,19,0.95,1,0.05
nh0234,other,0,0.0,20,1.0
nh0235,other,19,0.95,1,0.05
nh0236,other,1,0.1,9,0.9
nh0237,other,24,0.8,6,0.2
nh0238,novela de costumbres,100,1.0,0,0.0
nh0239,other,19,0.95,1,0.05
nh0240,other,20,1.0,0,0.0
nh0241,other,30,1.0,0,0.0
nh0242,novela de costumbres,94,0.94,6,0.06
nh0243,other,29,0.9666666666666667,1,0.03333333333333333
nh0244,other,5,0.5,5,0.5
nh0245,other,20,1.0,0,0.0
nh0246,novela de costumbres,100,1.0,0,0.0
nh0247,other,18,0.9,2,0.1
nh0248,other,10,1.0,0,0.0
nh0249,other,30,1.0,0,0.0
nh0250,other,40,1.0,0,0.0
nh0251,other,28,0.9333333333333333,2,0.06666666666666667
nh0252,other,19,0.95,1,0.05
nh0253,other,0,0.0,50,1.0
nh0254,other,9,0.9,1,0.1
nh0255,other,0,0.0,20,1.0
nh0256,other,1,0.1,9,0.9
