,y_true,true_abs,true_rel,false_abs,false_rel
nh0001,other,36,0.9,4,0.1
nh0002,other,36,0.9,4,0.1
nh0003,other,56,0.9333333333333333,4,0.06666666666666667
nh0004,novela histórica,100,1.0,0,0.0
nh0005,other,36,0.9,4,0.1
nh0006,other,29,0.725,11,0.275
nh0007,novela histórica,96,0.96,4,0.04
nh0008,other,20,1.0,0,0.0
nh0009,novela histórica,100,1.0,0,0.0
nh0010,other,40,1.0,0,0.0
nh0011,other,20,1.0,0,0.0
nh0012,other,30,1.0,0,0.0
nh0013,other,30,1.0,0,0.0
nh0014,other,30,0.75,10,0.25
nh0015,novela histórica,100,1.0,0,0.0
nh0016,other,38,0.95,2,0.05
nh0017,novela histórica,100,1.0,0,0.0
nh0018,other,39,0.975,1,0.025
nh0019,other,40,1.0,0,0.0
nh0020,novela histórica,73,0.73,27,0.27
nh0021,other,50,1.0,0,0.0
nh0022,novela histórica,100,1.0,0,0.0
nh0023,other,19,0.6333333333333333,11,0.36666666666666664
nh0024,other,29,0.9666666666666667,1,0.03333333333333333
nh0025,novela histórica,89,0.89,11,0.11
nh0026,novela histórica,100,1.0,0,0.0
nh0027,other,60,1.0,0,0.0
nh0028,other,50,1.0,0,0.0
nh0029,other,9,0.9,1,0.1
nh0030,other,19,0.95,1,0.05
nh0031,other,57,0.95,3,0.05
nh0032,other,48,0.96,2,0.04
nh0033,other,47,0.94,3,0.06
nh0034,other,47,0.94,3,0.06
nh0035,novela histórica,100,1.0,0,0.0
nh0036,other,43,0.5375,37,0.4625
nh0037,novela histórica,100,1.0,0,0.0
nh0038,other,50,1.0,0,0.0
nh0039,other,20,1.0,0,0.0
nh0040,novela histórica,53,0.53,47,0.47
nh0041,novela histórica,100,1.0,0,0.0
nh0042,other,39,0.975,1,0.025
nh0043,other,20,1.0,0,0.0
nh0044,other,20,1.0,0,0.0
nh0045,other,40,1.0,0,0.0
nh0046,other,40,1.0,0,0.0
nh0047,other,40,1.0,0,0.0
nh0048,other,40,1.0,0,0.0
nh0049,novela histórica,100,1.0,0,0.0
nh0050,other,10,1.0,0,0.0
nh0051,other,30,1.0,0,0.0
nh0052,other,20,1.0,0,0.0
nh0053,other,27,0.675,13,0.325
nh0054,novela histórica,100,1.0,0,0.0
