,classifier,feature_type,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,KNN,topics,144000,1.0,0.7689857996170496,0.14488918662838987,1.0,0.77711129859105,0.14193112015018128
1,SVM,topics,144000,1.0,0.7990703636641137,0.13273584545487743,1.0,0.7939432087436739,0.14314804086030647
2,RF,topics,144000,1.0,0.7994425033300033,0.14384128107196592,1.0,0.7961273408998787,0.15470886695011096
