,y_true,true_abs,true_rel,false_abs,false_rel
nh0167,other,40,1.0,0,0.0
nh0168,other,9,0.9,1,0.1
nh0169,other,25,0.8333333333333334,5,0.16666666666666666
nh0170,other,30,1.0,0,0.0
nh0171,novela sentimental,100,1.0,0,0.0
nh0172,other,0,0.0,10,1.0
nh0173,other,46,0.92,4,0.08
nh0174,other,9,0.9,1,0.1
nh0175,other,39,0.975,1,0.025
nh0176,other,50,1.0,0,0.0
nh0177,other,30,1.0,0,0.0
nh0178,other,29,0.9666666666666667,1,0.03333333333333333
nh0179,other,1,0.05,19,0.95
nh0180,other,20,1.0,0,0.0
nh0181,other,30,1.0,0,0.0
nh0182,other,20,1.0,0,0.0
nh0183,novela sentimental,100,1.0,0,0.0
nh0184,other,40,1.0,0,0.0
nh0185,other,20,1.0,0,0.0
nh0186,other,30,1.0,0,0.0
nh0187,novela sentimental,93,0.93,7,0.07
nh0188,novela sentimental,100,1.0,0,0.0
nh0189,other,20,1.0,0,0.0
nh0190,other,20,1.0,0,0.0
nh0191,other,30,1.0,0,0.0
nh0192,other,30,1.0,0,0.0
nh0193,other,20,1.0,0,0.0
nh0194,other,30,1.0,0,0.0
nh0195,novela sentimental,100,1.0,0,0.0
nh0196,other,40,1.0,0,0.0
nh0197,other,9,0.9,1,0.1
nh0198,other,30,1.0,0,0.0
nh0199,other,40,1.0,0,0.0
nh0200,other,20,1.0,0,0.0
nh0201,other,20,1.0,0,0.0
nh0202,novela sentimental,69,0.69,31,0.31
nh0203,other,10,1.0,0,0.0
nh0205,other,10,1.0,0,0.0
nh0206,other,17,0.85,3,0.15
nh0207,novela sentimental,100,1.0,0,0.0
nh0208,other,30,1.0,0,0.0
nh0209,novela sentimental,92,0.92,8,0.08
nh0210,other,20,1.0,0,0.0
nh0211,other,40,1.0,0,0.0
nh0212,novela sentimental,99,0.99,1,0.01
nh0213,other,20,1.0,0,0.0
nh0214,other,20,1.0,0,0.0
nh0215,other,40,1.0,0,0.0
nh0216,novela sentimental,82,0.82,18,0.18
nh0217,other,10,1.0,0,0.0
nh0218,novela sentimental,100,1.0,0,0.0
nh0219,novela sentimental,100,1.0,0,0.0
nh0220,other,19,0.95,1,0.05
nh0221,other,13,0.43333333333333335,17,0.5666666666666667
nh0222,other,50,1.0,0,0.0
nh0223,other,43,0.7166666666666667,17,0.2833333333333333
nh0224,other,10,1.0,0,0.0
nh0225,other,30,1.0,0,0.0
nh0227,other,40,1.0,0,0.0
nh0228,novela sentimental,100,1.0,0,0.0
nh0229,other,0,0.0,10,1.0
nh0230,novela sentimental,96,0.96,4,0.04
nh0231,other,20,1.0,0,0.0
nh0232,other,37,0.74,13,0.26
nh0233,novela sentimental,100,1.0,0,0.0
nh0234,other,29,0.9666666666666667,1,0.03333333333333333
nh0235,other,29,0.9666666666666667,1,0.03333333333333333
nh0236,other,17,0.85,3,0.15
nh0237,novela sentimental,98,0.98,2,0.02
nh0238,other,19,0.95,1,0.05
nh0239,other,40,1.0,0,0.0
nh0240,other,27,0.9,3,0.1
nh0241,novela sentimental,100,1.0,0,0.0
nh0243,other,40,1.0,0,0.0
nh0244,other,40,1.0,0,0.0
nh0245,novela sentimental,100,1.0,0,0.0
nh0246,other,48,0.96,2,0.04
nh0247,other,19,0.95,1,0.05
nh0248,other,45,0.9,5,0.1
nh0249,other,9,0.9,1,0.1
nh0250,novela sentimental,100,1.0,0,0.0
nh0251,novela sentimental,100,1.0,0,0.0
nh0252,novela sentimental,100,1.0,0,0.0
nh0253,other,50,1.0,0,0.0
nh0254,novela sentimental,100,1.0,0,0.0
nh0255,other,7,0.7,3,0.3
nh0256,other,40,1.0,0,0.0
