,mean_fit_time,mean_score_time,mean_test_score,param_C,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,mfw,token_unit,normalization,repetition,num_topics,optimize_interval,topic_repetition
0,0.0030157089233398436,0.0007543087005615235,0.7,1,{'C': 1},4,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,3.805593714519342e-05,2.9878100376441125e-05,0.0850401899694174,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
1,0.0026483058929443358,0.0006927967071533204,0.8352941176470587,10,{'C': 10},3,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,1.0,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.9411764705882353,6.162950100200417e-05,1.0677745820830082e-05,0.09036642056316008,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
2,0.0023844242095947266,0.0006354570388793946,0.8647058823529411,100,{'C': 100},1,0.9411764705882353,0.8235294117647058,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.8823529411764706,6.626535492682853e-05,1.4955155775983204e-05,0.07913896498278652,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
3,0.0031118869781494142,0.0006099700927734375,0.8470588235294118,1000,{'C': 1000},2,0.8235294117647058,0.7647058823529411,1.0,0.9411764705882353,1.0,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.7647058823529411,0.00025399340755024544,9.797350194063436e-06,0.09913117380207483,subgenre-current,novela romántica,other,100.0,word,tfidf,0,,,
0,0.0030199289321899414,0.0007593870162963867,0.7235294117647058,1,{'C': 1},4,0.7647058823529411,0.7647058823529411,0.6470588235294118,0.9411764705882353,0.5882352941176471,0.8823529411764706,0.4117647058823529,0.5882352941176471,0.7647058823529411,0.8823529411764706,3.815654545119417e-05,2.1953017781011338e-05,0.15574355641027912,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
1,0.002645587921142578,0.0007579803466796875,0.8294117647058823,10,{'C': 10},1,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.5882352941176471,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.0001522911882623175,0.00018376950219493475,0.10340232841909969,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
2,0.002384519577026367,0.0006469488143920898,0.8294117647058823,100,{'C': 100},1,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.9411764705882353,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.00011477665529070221,1.9775595951817232e-05,0.0554940066591565,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
3,0.0035997867584228516,0.0006165504455566406,0.788235294117647,1000,{'C': 1000},3,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.0002871113546301793,1.0669864071037939e-05,0.0655031101509414,subgenre-current,novela romántica,other,100.0,word,tfidf,1,,,
0,0.002994060516357422,0.0007600545883178711,0.7058823529411764,1,{'C': 1},4,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.5294117647058824,0.5882352941176471,0.6470588235294118,0.8235294117647058,0.7647058823529411,4.481432207550881e-05,1.9012427947097542e-05,0.09112901991076272,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
1,0.0025950908660888673,0.000695037841796875,0.8352941176470587,10,{'C': 10},2,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.9411764705882353,0.7647058823529411,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,4.874574988230981e-05,1.0250779012803626e-05,0.07347056468703997,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
2,0.0024118423461914062,0.0006414413452148438,0.8529411764705882,100,{'C': 100},1,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,6.751810423692126e-05,1.5932784241473644e-05,0.04742504557822677,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
3,0.003208303451538086,0.0006128072738647461,0.8235294117647058,1000,{'C': 1000},3,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.0001769731889775351,7.0694626596800844e-06,0.04556450995538139,subgenre-current,novela romántica,other,100.0,word,tfidf,2,,,
0,0.003033137321472168,0.000751495361328125,0.6117647058823531,1,{'C': 1},4,0.7058823529411765,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.5294117647058824,0.6470588235294118,0.47058823529411764,0.5294117647058824,0.7058823529411765,0.6470588235294118,3.5708298499676885e-05,1.2505048791831355e-05,0.07533087338156295,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
1,0.0026208162307739258,0.000698709487915039,0.8176470588235294,10,{'C': 10},2,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.8235294117647058,6.53780305606596e-05,1.2631325417202677e-05,0.05549400665915648,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
2,0.0024103403091430666,0.0006413936614990234,0.8411764705882352,100,{'C': 100},1,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,9.037982930704186e-05,1.4960381134375924e-05,0.045942645152392096,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
3,0.0034477710723876953,0.0006162405014038086,0.7999999999999999,1000,{'C': 1000},3,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.6470588235294118,0.5882352941176471,0.00026041224963787153,7.660660158634294e-06,0.10588235294117646,subgenre-current,novela romántica,other,100.0,word,tfidf,3,,,
0,0.003071904182434082,0.0007838964462280274,0.6941176470588235,1,{'C': 1},4,0.7058823529411765,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.7058823529411765,0.5294117647058824,0.7058823529411765,0.7647058823529411,4.8519235266772766e-05,3.0541122190883366e-05,0.07803823036130351,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
1,0.0026146411895751954,0.000693655014038086,0.7882352941176471,10,{'C': 10},3,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8823529411764706,3.955078948243079e-05,5.146970655238959e-06,0.05998846486579743,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
2,0.0024082422256469726,0.0006431102752685547,0.8117647058823529,100,{'C': 100},1,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.9411764705882353,6.37311592640253e-05,1.1223515043528252e-05,0.06335488008393533,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
3,0.0037682294845581056,0.0006192922592163086,0.8,1000,{'C': 1000},2,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.00037316798079252807,4.8290798903773055e-06,0.08401680504168056,subgenre-current,novela romántica,other,100.0,word,tfidf,4,,,
