,mean_fit_time,mean_score_time,mean_test_score,param_C,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,mfw,token_unit,normalization,repetition,num_topics,optimize_interval,topic_repetition
0,0.0030227422714233397,0.0007466793060302735,0.7,1,{'C': 1},4,0.7058823529411765,0.7647058823529411,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.5882352941176471,0.7647058823529411,0.8235294117647058,2.8194556989515624e-05,7.3862060413888465e-06,0.07180326832784528,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
1,0.002591514587402344,0.000697636604309082,0.8117647058823529,10,{'C': 10},2,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.7647058823529411,0.8823529411764706,3.726890411053964e-05,9.59050403391213e-06,0.0780382303613035,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
2,0.0023773670196533202,0.0006396770477294922,0.8352941176470587,100,{'C': 100},1,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.7647058823529411,0.8235294117647058,7.093809781266214e-05,7.988267772999543e-06,0.057635052771368905,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
3,0.0036745071411132812,0.0006185293197631836,0.7999999999999999,1000,{'C': 1000},3,0.7058823529411765,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.5882352941176471,0.00019123396541695335,5.210468815961815e-06,0.09557692240748186,subgenre-current,novela romántica,other,100.0,word,tfidf,5,,,
0,0.0030087709426879885,0.0007632970809936523,0.7117647058823529,1,{'C': 1},4,0.8235294117647058,0.7058823529411765,0.6470588235294118,0.8235294117647058,0.5882352941176471,0.7647058823529411,0.47058823529411764,0.7647058823529411,0.7058823529411765,0.8235294117647058,1.828129550344896e-05,2.332514893353328e-05,0.10989142171923176,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
1,0.0025914907455444336,0.0006925106048583984,0.8352941176470587,10,{'C': 10},2,0.9411764705882353,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.8235294117647058,0.9411764705882353,0.5882352941176471,0.8235294117647058,0.8235294117647058,0.9411764705882353,3.269261246280529e-05,1.3302047510315004e-05,0.10782531046954917,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
2,0.002363896369934082,0.0006343603134155273,0.8411764705882352,100,{'C': 100},1,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8823529411764706,6.438638848475816e-05,6.616749174691674e-06,0.03766543669078147,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
3,0.003398299217224121,0.0006113529205322265,0.8117647058823529,1000,{'C': 1000},3,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.0001492077585539098,8.939138912544623e-06,0.057635052771368885,subgenre-current,novela romántica,other,100.0,word,tfidf,6,,,
0,0.003103899955749512,0.0007944345474243164,0.6823529411764706,1,{'C': 1},4,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.6470588235294118,0.6470588235294118,0.7647058823529411,0.7647058823529411,9.051589222858466e-05,5.8263027757210065e-05,0.0655031101509414,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
1,0.0026125192642211916,0.0006983041763305664,0.8,10,{'C': 10},3,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,4.633191995781649e-05,1.0276062027038102e-05,0.07058823529411762,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
2,0.0024670839309692385,0.0006466150283813476,0.8470588235294116,100,{'C': 100},1,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.7058823529411765,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.9411764705882353,0.8235294117647058,0.7647058823529411,7.429637465697457e-05,1.198676526091488e-05,0.07979211744853257,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
3,0.0037950992584228514,0.0006230831146240235,0.8176470588235294,1000,{'C': 1000},2,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.6470588235294118,0.00032643369149006085,1.1622117089145439e-05,0.08086898285216186,subgenre-current,novela romántica,other,100.0,word,tfidf,7,,,
0,0.003024768829345703,0.0007655620574951172,0.711764705882353,1,{'C': 1},4,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.7058823529411765,0.6470588235294118,0.8235294117647058,2.6828987506312743e-05,1.8655244507467892e-05,0.06681068642117965,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
1,0.0026648283004760743,0.000774383544921875,0.8176470588235294,10,{'C': 10},3,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.5882352941176471,0.8235294117647058,0.6470588235294118,0.9411764705882353,0.00010296152368614671,0.00022610301221154662,0.10989142171923177,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
2,0.002387213706970215,0.0006422519683837891,0.8529411764705882,100,{'C': 100},1,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.7058823529411765,0.9411764705882353,7.139552134370492e-05,1.8460065610224403e-05,0.08000865005138495,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
3,0.0032845497131347655,0.0006176233291625977,0.8235294117647058,1000,{'C': 1000},2,0.7647058823529411,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.00020229060423599082,1.4662354937134721e-05,0.08724939396583133,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
0,0.002999424934387207,0.0007560014724731446,0.7352941176470588,1,{'C': 1},4,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.7647058823529411,0.5882352941176471,0.7058823529411765,0.5882352941176471,0.8235294117647058,0.7647058823529411,0.8235294117647058,1.8926666350627703e-05,1.3003520663691698e-05,0.09207338730881484,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
1,0.002602386474609375,0.0007062673568725586,0.8294117647058823,10,{'C': 10},2,0.9411764705882353,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8235294117647058,0.7058823529411765,0.8823529411764706,0.7647058823529411,0.9411764705882353,5.619347370825185e-05,1.7273767473204626e-05,0.07647058823529412,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
2,0.002335047721862793,0.0006387710571289062,0.8411764705882352,100,{'C': 100},1,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.8823529411764706,5.262881006987281e-05,7.003015640161796e-06,0.045942645152392096,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
3,0.0037164926528930665,0.0006305456161499023,0.776470588235294,1000,{'C': 1000},3,0.7647058823529411,0.6470588235294118,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.00027699696768435745,2.4538600294774922e-05,0.0685994340570035,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
0,0.002699542045593262,0.0006141901016235351,0.8411764705882352,1,{'C': 1},1,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.8235294117647058,1.0,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.0003211683582673789,2.4003304789071762e-05,0.07463869141440896,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
1,0.0026766061782836914,0.0006057024002075195,0.8411764705882352,10,{'C': 10},1,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.8235294117647058,1.0,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.00029260560113408357,5.331468053111361e-06,0.07463869141440896,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
2,0.002672410011291504,0.0006081581115722657,0.8411764705882352,100,{'C': 100},1,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.8235294117647058,1.0,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.0003059268710776957,1.1438527343895867e-05,0.07463869141440896,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
3,0.0026898860931396486,0.0006118297576904296,0.8411764705882352,1000,{'C': 1000},1,0.7647058823529411,0.7647058823529411,0.9411764705882353,0.8235294117647058,1.0,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.7647058823529411,0.00031019642173696577,1.5312636254547375e-05,0.07463869141440896,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
0,0.0030885934829711914,0.0006218910217285156,0.723529411764706,1,{'C': 1},1,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.00023145120742371596,1.9032374420585767e-05,0.05911691541835815,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
1,0.003060460090637207,0.0006233692169189453,0.723529411764706,10,{'C': 10},1,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.00022641921567583917,1.190814286221517e-05,0.05911691541835815,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
2,0.0030814647674560548,0.0006704330444335938,0.723529411764706,100,{'C': 100},1,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.00024443256443390055,0.0001346991545439877,0.05911691541835815,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
3,0.003076457977294922,0.0006150245666503906,0.723529411764706,1000,{'C': 1000},1,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7058823529411765,0.6470588235294118,0.00023230425804828778,6.979762438684206e-06,0.05911691541835815,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
0,0.0028518915176391603,0.0006178855895996094,0.7588235294117647,1,{'C': 1},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.00024748402173127804,1.7389264639676654e-05,0.061413567699473794,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
1,0.002830171585083008,0.0006193876266479492,0.7588235294117647,10,{'C': 10},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.0002374318973167638,1.2952274458554146e-05,0.061413567699473794,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
2,0.0028103113174438475,0.0006100654602050782,0.7588235294117647,100,{'C': 100},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.00022802341064113413,1.1851969581131835e-05,0.061413567699473794,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
3,0.002820587158203125,0.000612640380859375,0.7588235294117647,1000,{'C': 1000},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.00022896959192064838,8.72768325560897e-06,0.061413567699473794,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
0,0.003365230560302734,0.0006425142288208008,0.7235294117647058,1,{'C': 1},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.7647058823529411,0.5882352941176471,0.5882352941176471,0.0004722496105434423,2.064887968144631e-05,0.08339674634563424,subgenre-current,novela romántica,other,100.0,word,zscore,3,,,
1,0.0032785654067993162,0.000628972053527832,0.7235294117647058,10,{'C': 10},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.7647058823529411,0.5882352941176471,0.5882352941176471,0.00038606361654264617,1.0589892003051754e-05,0.08339674634563424,subgenre-current,novela romántica,other,100.0,word,zscore,3,,,
2,0.0032087326049804687,0.0006150245666503906,0.7235294117647058,100,{'C': 100},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.7647058823529411,0.5882352941176471,0.5882352941176471,0.00037850473703644413,4.390010561555444e-06,0.08339674634563424,subgenre-current,novela romántica,other,100.0,word,zscore,3,,,
3,0.0032639503479003906,0.000629878044128418,0.7235294117647058,1000,{'C': 1000},1,0.7058823529411765,0.8235294117647058,0.7647058823529411,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.7647058823529411,0.5882352941176471,0.5882352941176471,0.00044555495403489874,4.0582238995379685e-05,0.08339674634563424,subgenre-current,novela romántica,other,100.0,word,zscore,3,,,
0,0.0031819820404052736,0.0006208181381225586,0.7588235294117648,1,{'C': 1},1,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.6470588235294118,0.00031229506380882864,1.0126167826419971e-05,0.08901615264953854,subgenre-current,novela romántica,other,100.0,word,zscore,4,,,
1,0.003177309036254883,0.0006356239318847656,0.7588235294117648,10,{'C': 10},1,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.6470588235294118,0.000316519843524322,3.7177859060677974e-05,0.08901615264953854,subgenre-current,novela romántica,other,100.0,word,zscore,4,,,
2,0.003162574768066406,0.0006300687789916992,0.7588235294117648,100,{'C': 100},1,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.6470588235294118,0.0003121390169311571,3.491266244597359e-05,0.08901615264953854,subgenre-current,novela romántica,other,100.0,word,zscore,4,,,
3,0.0031635284423828123,0.0006165981292724609,0.7588235294117648,1000,{'C': 1000},1,0.7058823529411765,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.6470588235294118,0.0003086937440567971,5.826200821025664e-06,0.08901615264953854,subgenre-current,novela romántica,other,100.0,word,zscore,4,,,
0,0.003091120719909668,0.0006268978118896485,0.7647058823529412,1,{'C': 1},1,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.0001990903191860429,1.3252384715556173e-05,0.08318903308077026,subgenre-current,novela romántica,other,100.0,word,zscore,5,,,
1,0.003070211410522461,0.0006210565567016602,0.7647058823529412,10,{'C': 10},1,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.000190921936085781,9.358316462091794e-06,0.08318903308077026,subgenre-current,novela romántica,other,100.0,word,zscore,5,,,
2,0.003131723403930664,0.0007412433624267578,0.7647058823529412,100,{'C': 100},1,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.0002786542109515292,0.00032582803258953357,0.08318903308077026,subgenre-current,novela romántica,other,100.0,word,zscore,5,,,
3,0.0030632972717285155,0.0006204843521118164,0.7647058823529412,1000,{'C': 1000},1,0.6470588235294118,0.8235294117647058,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.8235294117647058,0.7647058823529411,0.6470588235294118,0.00021510396396282218,7.600468697211781e-06,0.08318903308077026,subgenre-current,novela romántica,other,100.0,word,zscore,5,,,
0,0.003010129928588867,0.0006133079528808594,0.7,1,{'C': 1},1,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.0002546970946118327,7.66967036931305e-06,0.0850401899694174,subgenre-current,novela romántica,other,100.0,word,zscore,6,,,
1,0.00298004150390625,0.0006085395812988281,0.7,10,{'C': 10},1,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.0002533374567007539,4.907254422402888e-06,0.0850401899694174,subgenre-current,novela romántica,other,100.0,word,zscore,6,,,
2,0.0029729604721069336,0.0006144762039184571,0.7,100,{'C': 100},1,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.00024714944741259916,1.0764301809223842e-05,0.0850401899694174,subgenre-current,novela romántica,other,100.0,word,zscore,6,,,
3,0.0030150413513183594,0.000618600845336914,0.7,1000,{'C': 1000},1,0.6470588235294118,0.5882352941176471,0.7058823529411765,0.8823529411764706,0.6470588235294118,0.7647058823529411,0.7058823529411765,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.00030111090470254676,1.2842863306259821e-05,0.0850401899694174,subgenre-current,novela romántica,other,100.0,word,zscore,6,,,
0,0.003381085395812988,0.0006587982177734375,0.7529411764705882,1,{'C': 1},1,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8823529411764706,0.4117647058823529,0.0003160224379944629,6.782141581471361e-05,0.13100622030188286,subgenre-current,novela romántica,other,100.0,word,zscore,7,,,
1,0.003271937370300293,0.0006300687789916992,0.7529411764705882,10,{'C': 10},1,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8823529411764706,0.4117647058823529,0.0002381362972499215,1.6756280958353012e-05,0.13100622030188286,subgenre-current,novela romántica,other,100.0,word,zscore,7,,,
2,0.003258037567138672,0.0006320476531982422,0.7529411764705882,100,{'C': 100},1,0.8235294117647058,0.8235294117647058,0.7058823529411765,0.7058823529411765,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.7647058823529411,0.8823529411764706,0.4117647058823529,0.0002527317414711844,1.275037952148527e-05,0.13100622030188286,subgenre-current,novela romántica,other,100.0,word,zscore,7,,,
