,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,ente,ando,para,ment,esta,ento,ante,como,habí,cont,enci,entr,endo,pero,ella,aban,amen,aque,taba,todo,quel,ació,ombr,ones,enta,ados,estr,quie,cuan,espe,mien,comp,obre,esto,reci,pres,desp,pues,sent,rado,tado,tant,uell,uste,acer,cion,seño,eñor,raba,dijo,stab,anto,aron,sobr,pare,uert,asta,cien,iemp,orqu,cons,porq,hace,homb,toda,raci,casa,caba,mano,bien,much,stra,otro,inte,ello,segu,ontr,tras,fuer,mism,rada,adre,"nte,",amos,echo,nada,leva,onde,sper,ador,rand,part,anta,tien,medi,este,eran,ener,esen,endi,ismo,hast,pera,ensa,algu,acio,ales,hora,prim,vida,eros,espu,cono,dado,deci,tros,lleg,"ado,",ista,mira,está,bier,once,acia,lado,lega,resp,oche,ario,tura,pasa,erra,rime,gran,rese,tení,pués,rend,ambi,desc,buen,volv,razó,esti,enti,pren,alle,corr,nera,otra,ende,echa,lant,empr,rece,conv,"ión,",abra,cier,pued,pens,nado,poco,nues,espo,noch,habl,amor,empo,serv,muje,qued,tiem,oven,arte,reco,esca,padr,trar,pala,dese,dond,llev,jove,prec,deja,anci,olvi,aber,come,quer,sali,pers,alab,lama,cual,esar,cond,cabe,espa,amig,edad,herm,form,cora,tran,conf,rent,rios,cuen,anda,desd,nece,mome,"nto,",sabe,emen,tene,laba,enco,abla,mand,regu,alta,conc,alma,mina,escu,alla,cias,labr,tonc,gado,terr,haci,tand,daba,rido,tend,test,spec,meno,cuer,cada,llam,siem,osas,unto,vist,"dos,",remo,undo,nte.,esde,trab,perd,muer,rida,verd,prop,apar,nunc,star,dien,vent,posi,hech,preg,indi,cosa,unos,abal,tamb,bajo,"ada,","res,",resi,vien,mane,grac,rien,gunt,bién,puer,sino,"dad,",toma,hubi,ión.,blan,desa,arti,dade,ado.,esco,ande,ball,unta,sigu,tame
0,subgenre-current,novela romántica,other,300,4gram_chars_affix-punct,tf,0,0,novela romántica,other,0.0009762551851041912,-0.13157077012733248,-0.2757227702245656,0.1306125449958292,-0.12023216953387614,-0.0912595898655945,0.24863801385285372,0.1898229904628907,-0.2337032454955208,-0.16549887019347642,-0.31253497990118073,0.20441347129782483,-0.13713733350868262,-0.05325130598122842,-0.10725914186615614,-0.19972976889735783,-0.09279601979769327,-0.17597159517766892,0.1290718028240506,-0.12454817937925784,-0.15744871639206925,0.12478570161386174,-0.23468497898267587,-0.008660986300031703,0.3676449724180022,0.054332570663364485,-0.2577380812249622,0.2991174981903378,-0.03725215134159367,-0.1759046221013819,-0.2682236790556747,0.4365137151632311,0.012760783392872802,-0.33638529153635766,-0.06435902711264922,-0.41962514496949216,0.09656540979865232,-0.27980133710659794,-0.26290873731339837,0.5680902099259749,0.08798946241338479,0.016546956603836607,-0.24071249037256945,-0.27186364398063617,-0.1095013942551182,0.046768946032316294,0.08648413293386585,0.09461752891582507,0.3624421754788228,-0.24214555857918998,-0.20797175241439464,-0.3795719161391896,-0.40003261625654807,0.23397101934875258,-0.011731720021273203,0.1408294058564783,0.18359863967408188,0.30332224942760044,-0.07770325291021196,-0.11840008324341127,0.13660904133510338,-0.12659781574710224,-0.0645788296650632,-0.26567524335429177,-0.48671972563744315,-0.5219256868056047,-0.13550336928624218,-0.15097584953333937,-0.34404780936930474,0.29872175978718774,-0.08085407660763028,0.16998633666838472,-0.1348291415734072,0.5322388197436559,-0.0764305135897367,0.1270417891238221,-0.17227854105721357,-0.22150980718887123,-0.07432252401933996,-0.26018811008631854,-0.40981376135382847,-0.2971146125512629,0.5174503896593828,-0.12774833896798232,0.3023900463386403,-0.01980164783512539,0.158503038117488,0.15637273570516855,-0.18324534361428405,0.15428222407334402,0.0665289782501427,-0.06393307271457138,0.2980345066990917,0.24513859760760734,-0.22448074491460115,-0.2454045319959999,-0.1194223947202768,-0.08031266761209742,-0.5969645269466891,0.1470588010761555,0.1222349507064275,0.1153676133563243,-0.15364785975178577,0.19183088895830777,-0.3958094680968474,-0.0970263320606796,-0.044870353384088034,-0.27835103549714557,-0.07893545034420552,-0.19738231365289985,-0.19319963543253776,0.10408848791839875,-0.12663439060214302,-0.029028755255711317,-0.2673047617736469,-0.27263158351635686,0.617413887807343,0.10142741216297604,0.47109920070838973,0.05123774218598562,-0.04157290777790035,-0.20217811057117754,-0.013348242724135845,-0.10348253287401983,0.2833323802129694,0.8356901988394524,-0.5278322765147316,0.14620763572221876,0.2154017542610212,0.055854786729134284,0.4575593116103014,-0.24182650916031614,0.08164664283753831,0.707756969297317,-0.5412694299181993,0.2293173748254702,0.08552033736989065,0.10820559596198831,0.06351246828997736,0.12409621460922016,0.07825638247639438,-0.2818409950522813,-0.05774735210365925,0.033703843678089936,0.24651096894195185,0.2519043061827792,0.3177164324200067,-0.06585138636714008,-0.1863511409202624,-0.07301129016055342,-0.004450944121430357,0.19662087545332552,-0.677369224559978,-0.13042057595711282,-0.20588348622844183,0.0998409480856155,0.026616981222751565,-0.1847490079511956,0.2502183250833236,-0.06345330578144323,0.20639294955088183,0.04438907713161049,0.334642029949602,-0.4071970100576715,-0.08537830698677557,-0.0459345641229152,0.4435903076531443,-0.2404150475887687,-0.29458789048198264,0.3720906478393532,-0.3889395137530716,0.04408927185115785,-0.2670535537925191,-0.3016026295614686,-0.0216806053258074,0.0012982239655525973,0.19969637208034557,-0.29232339866280216,0.303481422179089,-0.08423891796981953,-0.17560749776190565,-0.13341297325506907,-0.012951583363649398,-0.29748955554624074,-0.2377752480079029,0.14775107007085572,-0.17527022607707954,-0.3424266223333244,-0.01744707426975565,0.45235205327207656,-0.06024776435415792,0.21036311331456592,-0.36694181793407676,-0.2183989562497022,-0.44524173800073524,-0.17818037948991375,-0.22160453730666546,0.09941889360406703,0.053960748466304616,-0.07484980845176516,-0.09404114427548202,0.5214895857968314,0.04514286471679628,-0.13715184347297435,-0.18669079396790125,0.07647067054248358,0.035878218814844785,-0.13161875717060656,0.046545244093958785,0.24329228711389778,0.14445000464547328,0.07879386013058334,-0.09697759651976898,0.25816826088675704,0.3102379437574852,0.17936475535197083,0.5530376224290756,-0.08329558328433878,0.16457970437878527,0.5155740227608488,0.4225917106687953,-0.14058766186568086,0.22248554844132956,-0.49240629497521227,0.1168195977337589,-0.008276269336707172,0.25379196373488366,0.4020432902349067,0.32043650961438835,0.04689328724208047,-0.013374745160349283,-0.21516119797640818,0.2549034281122132,-0.005514958721463577,0.019759213823375685,0.010028309448027906,0.5815344783853974,-0.09770821320544507,0.1624920263465509,0.13851181393559314,-0.1017340271543648,0.10526657561048797,-0.12172132756665924,0.15246158948070757,-0.24921109643870587,0.22385761073691945,-0.14963976805014798,0.3123717090586298,0.0033698596711463497,0.0839316016212705,-0.33497445245611746,-0.3300980028168423,0.4460346864040223,-0.02991988255101495,0.2805331393252315,-0.6244015964217796,0.1382690103940723,0.09971583560914728,0.43585638049444597,0.17779180867173067,-0.07184995813802514,-0.13795113158354574,-0.17790166892424833,-0.3339113381213499,-0.3562286897940401,-0.07491057950855871,-0.20087751965953277,0.034915640611689634,0.06927800614722285,0.19824315845132998,-0.2443951747632272,-0.17967894362781434,-0.17958395783903192,0.28531609897368626,-0.15191163813000497,-0.24506289961969258,0.07297960563761381,-0.30841359914074007,-0.18522083004427822,-0.41465777091399947,0.2767447535123319,0.14215127791757953,-0.18648160577639697,0.0792494485941708,-0.06918775009819433,0.1785217108553906,-0.28488136726166197,-0.3505275381454199,-0.26360381655971277,-0.2943776209155863,0.08268091250520276,0.3874432517963756,-0.16765331244791176,0.36502850464406,0.4906144176064148,0.5403366004536102,-0.246373954225504,0.07902962618919215,0.25081531654027134,-0.536269011933849
1,subgenre-current,novela romántica,other,300,4gram_chars_affix-punct,tf,0,1,novela romántica,other,0.35239384436672805,-0.15510917184571285,-0.41783257076788083,0.22171058649154524,-0.028159183213757905,-0.14273409901421885,0.33127868907347235,0.3114328331100192,-0.38960952612388444,-0.19082703235897988,-0.30273665139720773,0.22993153905715297,-0.015168839116975377,-0.07137209792042476,-0.08094662952696044,-0.06622358677402473,0.08523983428558644,-0.16122856129565044,0.34829736340078427,-0.06996013664681484,-0.1309361494080699,0.029433333184706947,-0.2810728781920842,-0.013172333080131673,0.3670181389523154,-0.064125129662545,-0.29155191087922705,0.2997550989320732,0.12496746218055613,-0.1614653039313893,-0.13385321203811396,0.4846469948578392,-0.13235672031251422,-0.30076457817417324,-0.06944863264877668,-0.39529593824192116,0.11512426524180062,-0.2635918813870828,-0.3387054184896047,0.4112056422877661,-0.0158247489245925,0.016902328433076014,-0.17986612857194975,-0.2882149757879677,-0.06823317384193844,-0.06978850413998783,0.11829418003587176,0.12692218585273546,0.3260248998999279,-0.16472264013979773,-0.023564205570743943,-0.07921613420872643,-0.2755770172107803,0.03622921538879466,-0.008513599904898733,3.21642585166676e-06,0.33111738863856655,0.22507582478040297,-0.13183969411051724,-0.2544169570496759,0.18853911953842956,-0.26091407940306427,-0.06164857685661608,-0.3082031601547231,-0.48610993887680126,-0.5726832901658228,-0.21807005671825613,-0.149647078860081,0.008003216844879223,0.14030156098923796,-0.007829294910982082,0.016418207487846507,-0.2275639735561348,0.28559280750814114,-0.09216704602782239,-0.037949574367276175,-0.1972884523332843,-0.04047419628026641,-0.06254104106654527,-0.20618457300458942,-0.19131974401354265,-0.3141077163245324,0.5013780072165124,-0.22714628514446641,0.2190342517594163,-0.025820390809476443,-0.05159818381563051,0.10268220194597315,-0.2217582556597718,0.241125404661828,0.17063897279268547,-0.07221042122531349,0.26372625540559047,0.19682610646224954,-0.2375162089761683,-0.16388189631238792,-0.08245720653630581,-0.16673360055992292,-0.4042961102563283,0.32501338173343375,0.21802113698015022,0.07428448504426585,-0.1498666582217249,0.25154058205746666,-0.311999339009179,-0.1553091915558057,-0.07448122085572398,-0.25473988327145763,-0.16841969619170338,-0.2068778202891228,-0.026879021016003035,0.2159873231936356,-0.2670517371133052,-0.14284184281848578,-0.050407325841143824,-0.29716061707121155,0.5918184556798073,0.098110304125891,0.4946266330589941,0.13646008475361762,-0.10424906539816094,-0.09854459333990252,-0.2502777679131449,-0.1520021695370502,0.17802453039510313,0.7124015461972629,-0.3818693493065354,0.156354032835123,0.2813786355950988,0.11829715833693687,0.2866784748654064,-0.030828981529451953,-0.051689154600785804,0.6647790449200102,-0.5814605371153254,0.012396135002149075,0.1556150612862658,0.13404499074955126,0.008977812032727475,0.015701675372662573,0.0753852989057169,-0.14491162121063883,-0.1386696735279569,0.11201027684896894,0.11768499240838633,0.1986496144072827,0.3606282125025204,-0.18331157608715665,-0.29944139340709985,-0.05038407065494275,0.11693035884235728,0.19420317994231906,-0.5870426845422821,-0.21115012291053148,-0.1615365543333144,0.04851976822236964,-0.02412301971408047,-0.21981242595376527,0.0934191684509859,0.03451760666304452,0.23912882126080448,0.054854691554917887,0.20039082088771665,-0.44238873696022246,-0.13912363324096041,0.0006828620282584921,0.44510373614790066,-0.18246064714845456,-0.1956054074050863,0.295976989816622,-0.4033861584522992,-0.08003341253949775,-0.184084678176711,-0.2943643979840439,-0.05820960294387072,0.0038810400056855376,0.18050265324243692,-0.334236936995779,0.3026676124936613,-0.05523895633098505,-0.11174836290348508,-0.0716870027105622,-0.052306461534753594,-0.28436316091603736,-0.29299521192529754,0.31400313286537396,-0.2553402717151355,-0.286354878431266,0.016168457359905263,0.4419661910605726,-0.013400303386947407,0.1509665097139285,-0.3477097932615594,-0.17524383128819623,-0.36838114723599324,0.051569298551682165,-0.3400251620958052,0.07728054059808584,-0.007008373718510409,-0.051191243046438156,0.047700216125764486,0.41503319525566906,0.016411631595393064,-0.14626665321732257,-0.18307539667356953,0.05788833440515573,-0.1036275719672091,-0.12625595824940564,0.1503138448778789,0.005005967667259137,0.16866117891101048,0.1757945246781844,-0.2417727818735954,0.11410982006802553,0.1377200175537772,0.11795940152197348,0.5437563833579769,-0.03448473242110454,0.30418033720940546,0.47917782772674017,0.33965020897484005,-0.18677571478690272,0.2634384537696244,-0.25633496016765694,0.057286546231844634,-0.006054538326701792,0.21629762311359405,0.1991373521476207,0.18327344389558242,-0.040682699053003306,-0.11404114241378588,-0.444507378032331,0.2075745241591117,0.12150134832802278,-0.09014869796146688,0.10645857780267381,0.6527287310900816,-0.1253216207445379,0.31072542532454106,-0.03145002940339563,-0.03932705492539508,0.14310022730190664,-0.26524092595629695,0.3004454796656383,-0.08957653107844632,0.04586216773258109,-0.14814971614453287,0.494700885786461,0.001173219420003327,0.09933179285394511,-0.25780890976537163,-0.2798701606402378,0.4601720568368378,0.024332972986770132,0.21834913509092432,-0.5939694323013531,0.10870639756459922,-0.002605375999991083,0.2770638710155173,0.055257883610991765,-0.011106480896529186,0.1149218906199564,-0.08085226629521723,-0.22127180375993138,-0.32164899116944395,0.06666929724549572,-0.11505818133463636,0.03183069564467824,0.09197338561323665,0.16364850448752968,-0.2425468639363463,-0.14703970611966272,-0.14859160713781694,0.2376144598268066,-0.22900459466429185,-0.11382121825049032,-0.11740863025606739,-0.13579930039416527,-0.25063396518667524,-0.39120943253357815,0.3633604870813192,0.13261150106034947,-0.11948758120142988,-0.014055041415272532,-0.061177262870829405,-0.13044003414268698,-0.19478308602039016,-0.05168992500319695,-0.14776690954090427,-0.44692981552515115,0.0833195796915776,0.3270911632618945,-0.009905106658902357,0.39198095392147325,0.28691011689855045,0.6544016279055586,-0.1278299418903729,0.0629577375925956,0.32274296532505997,-0.4500111377895098
2,subgenre-current,novela romántica,other,300,4gram_chars_affix-punct,tf,0,2,novela romántica,other,-0.17992362191886913,0.0005153351378138771,-0.03685676289143225,0.1715146865990832,-0.15950408102596253,0.007543628177200085,0.11746311076731936,0.2675908333378605,-0.007609906363277755,-0.05172860542728183,-0.249759097038183,0.18770232170847453,-0.17168902774895772,-0.23652894249618867,-0.002294490171755925,-0.18061088295708272,-0.023462881509042466,-0.2708689087680819,0.16406072288432505,-0.10298739996165679,-0.2733720555693705,0.08400050160781575,-0.25419392495395154,0.08442073772570857,0.47014328886310536,0.042291565877268844,-0.36618975671070564,0.3082597794310754,0.06624046680465556,-0.12051226446716234,-0.06541819196656574,0.3514796386712834,0.0964918256351239,-0.1775522252374395,-0.18763967531888295,-0.09605687790951845,0.09664402950918266,-0.33786766761075365,-0.27045826338179424,0.39413247789777905,0.15740778440877096,0.1115520742856922,-0.22360806734420025,-0.1775179527315216,-0.0722771577467054,0.14555522384108832,0.14910274477506552,0.15169082044296123,0.34770177924334733,-0.29015934298756313,-0.21639250058749485,-0.23800049413585608,-0.4649573718617549,0.26491692245297255,0.09163006922246744,-0.016413990948577928,0.023994384332095553,0.2708797156056889,-0.11806470343438147,-0.25529813903160137,0.016319744670849234,-0.2866322766269238,-0.13731786352883946,-0.1835182772308385,-0.4846476183543176,-0.48824980156856634,-0.03008756790471398,-0.10281620514723314,-0.3153762001965295,0.05371668845648786,-0.03976691766365703,0.053469962935594084,-0.2043374257794326,0.6086247222496068,-0.02430722291425068,-0.10952089244158864,-0.08747332065436969,0.0008516434777136872,0.051654641579234606,-0.2858672289020054,-0.2711548887966633,-0.39371607579433643,0.48715909604015906,-0.1795754364828993,0.1482480187165557,0.08607726708540847,0.24213100196603632,0.08503723247201081,-0.08207897181310997,0.17484234507318255,0.06316947117146354,-0.1748274873001922,0.4122297522580804,0.1978537967792104,-0.2794796923705165,-0.29139542846082755,-0.07407128966276447,-0.12878193878481806,-0.44553475934315917,0.1982719058640779,-0.050016150686374244,0.055692873947774724,-0.04814170412217922,0.07287264083563975,-0.492866482155507,-0.05345688073727656,-0.11915746237190072,-0.08523286309105399,0.13129456617285296,-0.13150894985507933,-0.16622905877195843,0.17818620596675772,-0.28431350513210796,-0.029267446036838923,-0.19155340866273834,-0.412004064436146,0.4645223496565552,0.21709652594371082,0.3196757669645909,0.029779848211553606,0.05748622438932477,-0.03476689880900828,-0.20597685529360218,-0.1637909330165957,0.3303597107001147,0.6122815851163392,-0.391966792389276,0.13591638429102776,0.2283663709018799,0.015140222831219269,0.5027047764557259,-0.19328891628882178,0.024410972480380433,0.569476857120897,-0.2993063801218054,0.3082818549338451,0.16930391992894023,0.2834699739026274,0.06382364413299296,0.053259291635945366,0.154540782565477,-0.3879054856156637,-0.2627954323441258,-0.02333559710578681,0.10528590308644925,0.3937221789688128,0.227671032777213,-0.04663022388493686,-0.32474972440634475,-0.06947832569673698,-0.17752474063215645,0.15365815069443245,-0.5556508823062838,-0.19526323204673324,-0.27118045655971923,0.043905860118765,0.09693023495381362,-0.21994573198823392,0.25920058147439895,0.0214858083227919,0.15093140582198278,0.08627788936539094,0.3150262941403813,-0.44193415062761804,-0.17575872778442797,-0.06186102220847073,0.3265584645794543,-0.2785242750827246,-0.16041442855911103,0.5156977863571788,-0.4322525561868009,0.05570819419519407,-0.125315128071609,-0.2166952972466373,-0.10426243306174482,0.10257640776067553,0.21382698305101877,-0.3143146834184808,0.1478351083525694,-0.11454290364731964,-0.2016117193517147,-0.16241136937042822,0.1352861056714172,-0.21677243200223864,-0.39204854839918,0.13848094915204556,-0.04645382541938374,-0.2401047928693329,-0.1124548438586494,0.3483515912766247,-0.1331459833993701,0.27178158750396914,-0.04930651412548864,-0.1331450967002667,-0.3794578286785189,-0.14608479536054658,-0.3185434415297988,0.0839652552566747,0.22778382869938524,-0.12448845247224444,-0.14618152432619902,0.226999555242238,-0.026972734091636155,-0.08531011906778635,-0.36483188265138566,0.001782672440565597,0.010440886456511561,0.025625122382270354,0.0865208604136633,0.2201999038710048,-0.023228517413221017,0.06653676760833471,0.010091843031434511,0.2653629303830117,0.4173986564861496,0.07116309328843551,0.33262464665964653,0.06903074145270319,0.12012954828393502,0.2996209163950455,0.2504572307516517,-0.18606154085893992,0.19693662150958893,-0.13440168301904423,-0.16285950022697268,-0.06374246088520026,0.2710715681182011,0.2709909252668513,0.20469829476483398,0.026355010729402772,-0.04660608294946342,-0.21810066132728,0.010817215171446015,0.058444512229259504,0.057629461126819215,-0.045667543665277865,0.3633459370414587,-0.1488735805494497,-0.008468959674614002,0.17288404643774052,-0.15722142355724072,-0.15228058307473738,0.12498531203334556,0.22829863156602875,-0.31794952642873675,-0.012970902951866259,-0.06313172233775827,0.3640855347367714,-0.22769429413624281,0.13099802536573216,-0.3037294116927587,-0.3729547418371105,0.4208526660409447,-0.046276350572473424,0.3501164437924747,-0.46362079575866866,0.030656013998590775,0.29175525811850517,0.3281969432090287,0.23252421855176192,-0.026626668758227195,-0.07051314253128646,-0.08092850687096603,-0.3736762261661188,-0.34355670755662426,0.1516644740156924,-0.2679641614242727,0.06569517333424851,0.11959878734458954,0.07087129553053165,-0.23856263285790236,-0.1039216590880139,-0.25247737987702756,0.1514037413157572,-0.0259612882845274,-0.11994815424027452,0.2782285788062534,-0.239418215216361,-0.13823359491257842,-0.4546483309658289,0.04871922814736876,0.11852959032673299,-0.18281905698897188,0.06154568740726074,-0.13258157302704165,0.24107703267106828,-0.20864269119444045,-0.12181786284423698,-0.20292537493953922,-0.37933647012826777,0.0015141048608405122,0.2546248708719999,-0.22499928496330954,0.45169098026977506,0.28866947818628774,0.2938906460075132,-0.1355656493795696,0.06667273798754522,0.08270441351225707,-0.32145072023376126
3,subgenre-current,novela romántica,other,300,4gram_chars_affix-punct,tf,0,3,novela romántica,other,0.1241016250345629,-0.31718526592467483,-0.3071726698373769,0.08359909281766445,-0.1115764569432637,-0.08765276423382853,0.20012738234730254,0.11485716485111688,-0.3801351251223205,-0.10833184454139326,-0.14288925674215527,0.18772229457653056,-0.07150379127348998,-0.18423798157553567,-0.23803548418958725,-0.13561724559082952,-0.15285007483951082,-0.1324657724475658,0.25701918354330966,-0.04384986742738901,-0.10224760305488703,0.05710244357299048,-0.18246917876066374,-0.020310810105038917,0.4874517254631939,0.008222494717329352,-0.3491222791409049,0.2772591945844284,-0.14891931448267942,-0.11702083589733078,-0.21179526266523624,0.4560680794529046,-0.0717203864431986,-0.2550049407075012,-0.17507379880675306,-0.29751632566603714,0.013649023039760212,-0.3130259987451732,-0.24787248939433917,0.519750126475352,-0.015246099458534293,0.10299435708585,-0.15818063386761327,-0.32082984987216273,-0.15641853299797642,-0.03794384111064683,0.02130630383870898,0.030283135924268584,0.3914706852700784,-0.26745172597698086,-0.1330130689912602,-0.17295818712088262,-0.4137856915219248,0.1938050904983405,-0.03899027723799698,0.12145198062431847,0.13000736967460236,0.26210034333911014,-0.08861025124764627,-0.12452275359703527,0.16817940149581984,-0.14491930653921162,-0.1061670543109362,-0.14970164466712957,-0.47110167565696276,-0.5311835715928659,-0.18220633778810905,-0.25265123443051246,-0.2924956748242154,0.2623490732899306,-0.17146107980780628,0.013236416072756645,0.01712684034821714,0.624537561233703,-0.07708473095189457,0.10043631892475938,-0.1619890140757178,-0.07432546579982979,-0.0148950193303124,-0.2448133942490131,-0.40626135435110766,-0.3118656723442556,0.42064674711733613,-0.18311525775098278,0.19799993174059494,-0.05956100712694726,0.15291685327698562,0.1122581113746286,-0.14864360859178735,0.21349346631856236,-0.0038432481123717825,-0.011777846628664237,0.28383544406966144,0.2158575952083409,-0.19508392425113946,-0.15892127238526943,0.07241772666939222,-0.2420117250176621,-0.5665044468902539,0.09143405921387203,0.1708885767368864,-0.04855713693418218,-0.11700837793066779,0.19247535968796853,-0.28494964734464767,-0.2013865898783144,-0.2075648428513569,-0.31350557531563494,-0.037634688862710645,-0.08465521413813672,-0.10238061896966683,0.17234515463404199,-0.2558435872008318,0.0020992459604812636,-0.1805043269292836,-0.27076397748835734,0.6774577281175663,0.19247129488826495,0.36274000907164433,0.02862729665640716,-0.05752774582440845,-0.23103541156976623,-0.14657727594443976,-0.16555857064075036,0.38692268967974697,0.7861282893218898,-0.4211068655759843,0.09682029122639271,0.4072867653493176,0.16039578649703704,0.5115088487136666,-0.06046426544091438,0.022224878919328936,0.6378977104941793,-0.5803333427956062,0.1849472635284111,0.13832301151464094,0.11481101300520569,0.03590550817698527,0.15567019712866256,0.11261746902837882,-0.22827201025563001,-0.0739272864533038,0.14583544713875105,0.2605744740403315,0.22587772968478545,0.3545222015039078,-0.12781922890301234,-0.36973488866931215,-0.050886220353934156,-0.0022059442061964224,0.19396525438771925,-0.8057994025557536,-0.053593608613705115,-0.2267375801891539,0.10131027577061276,-0.05283284431075376,-0.16220300251555947,0.18892125452012695,0.04332201862285057,0.18283202477443294,0.06611828998817498,0.25496972954690034,-0.432241114719679,-0.026032993251091645,-0.10440496532305973,0.41636735570699546,-0.20960681590946778,-0.2841551769458505,0.38685408285988426,-0.4726185122299199,0.019395889351362487,-0.2752627489545744,-0.2350233836881435,-0.05554116317774099,-0.11932001918501997,0.15283533821571,-0.307004815546009,0.37685855041252053,-0.015197565122927796,-0.15427374534293065,-0.20485507281480486,0.088034403393842,-0.23137303972388182,-0.38260534836266075,0.18587281941315786,-0.26919418169346454,-0.2695050765328109,-0.013448822523621454,0.40899351285832214,-0.12482568494131846,0.15027358243930167,-0.36171502704704517,-0.06283484251644333,-0.4284185193717602,-0.0898375265675023,-0.24475663235028342,0.1001259934707351,0.1872486156724571,-0.05154928166783486,-0.18220192236654922,0.3822647856155278,-0.05707089860645174,-0.1938298646222799,-0.1321657622524976,0.10147642990099173,0.0210289861762762,-0.02261477124705485,0.09201845763081451,0.15470895470696674,0.11291188217178534,0.11162274385427487,-0.08806566333181644,0.24628526702453002,0.24668363952479697,0.2171988032909014,0.45683985343139133,-0.16577092549748762,0.26181485647144426,0.5036283142463505,0.3313263420817591,-0.11843624340778243,0.27336469001811037,-0.19059923455015443,0.0022329206571709004,0.021739462243385212,0.26001835069698803,0.26327085541197576,0.19111128741165512,0.04048975900832897,0.028673388772461922,-0.28061355416314404,0.24537199585772043,0.032527773054866135,-0.09026376567308687,0.056823567304001295,0.6494586929128254,-0.15090985881861474,0.14087075254929515,0.1276506071191772,-0.13706192375907023,0.178510922298867,-0.1865632375233091,0.24312546236490673,-0.14435336914136707,0.22239898130332153,-0.07335466168850917,0.36878751045225777,0.06174550000425884,0.09875345460628199,-0.301723534512484,-0.3039760845383847,0.32775907431814305,-0.04063882357640356,0.2771231300275029,-0.7579910367863744,0.2087500460293983,0.1709477416161413,0.38995424213618235,0.19230319130624723,-0.08206660107005224,0.006323647573549869,-0.1629262742524948,-0.35830184861879427,-0.2429128179967707,0.11421152318372951,-0.14490261913216812,0.03292700046191,0.15543586070428622,0.20547083506576652,-0.18782472178259152,-0.2420701805670778,-0.22037943952081682,0.22429064249778777,-0.22222393308576338,-0.24922944126040167,-0.027416978693204593,-0.1601472881200443,-0.24353911604256254,-0.42483951301352957,0.17030502931598113,0.14559774155071042,-0.18060532390090192,0.07273870791191529,-0.09887507503819913,0.0073814924421343395,-0.17346770886915494,-0.3252230813198932,-0.29325449003963583,-0.4683980713211126,0.07776587300333435,0.30418047848959384,-0.11026561942118396,0.36564160071005064,0.2946088484810806,0.48033416930401224,-0.18662472244574563,0.07290869400829819,0.32087050203433665,-0.6062452316177729
