,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,o de,a de,s de,e la,de l,e el,de e,a el,ente,ando,e de,o qu,a la,para,ment,os d,a co,n la,a qu,esta,s qu,ento,e ha,e lo,de s,la c,e su,ción,el c,n el,a en,en l,ante,ient,ue e,en e,o en,e es,como,o se,e se,e co,n de,ue s,abía,as d,a ca,e en,o co,ue l,habí,e qu,el p,do e,s co,cont,r la,enci,entr,a su,e un,ncia,es d,endo,la m,iend,pero,r se,a es,ella,aban,amen,os p,os a,aque,la p,o la,taba,todo,os c,ar l,ntes,quel,o es,do d,do l,o el,n su,de a,el m,do a,r de,a se,do s,ació,s en,idad,e no,a un,ombr,el a,ones,enta,n qu,os e,ue n,ntra,o ha,ar s,mbre,o po,a pa,ados,a po,estr,uest,a lo,de m,el s,s pa,de u,as c,de c,el d,se a,quie,a ma,ue a,cuan,as p,n un,en s,espe,e le,mien,comp,r lo,obre,on l,n lo,esto,reci,os s,y de,to d,a ve,o un,pres,desp,r el,ione,pues,ue h,s se,a re,e re,e di,e pa,la s,sent,se d,se e,os m,on e,ra d,no s,rado,iera,a no,o lo,se l,os l,tado,tant,a pr,de p,s la,ón d,uell,la v,lo q,uste,acer,la d,la e,n es,or l,cion,n co,ra e,seño,eñor,raba,dijo,te d,l co,sted,uand,stab,os q
0,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,0,novela romántica,other,0.10314930770702561,0.11546864442974514,0.07362111638367339,-0.0798812806517836,-0.10683827614337775,-0.032228775747677116,-0.0763287952868897,0.13286437214105126,0.08722697999085698,-0.005970638158514459,-0.06153175954780394,-0.023080418126206603,-0.10776468533722737,-0.13119960855538526,0.04369826445112647,-0.10072760121877977,0.026857761168769912,0.05431392168139707,0.08835342508476024,0.06592221857510723,-0.1941104667343971,-0.04388655235158117,-0.01801598704227473,-0.005796488402094053,0.006125195771545255,-0.01565020808369035,-0.029415197543681264,0.05734900942372976,-0.053811194289298765,0.07289987895370172,-0.06679516042773176,0.12353454226030909,0.052834929513291135,0.08217505540877465,-0.007797963092851155,0.009626119621279496,-0.12068439818020973,-0.07235539841575392,0.110786148391553,-0.05861775002069465,-0.0743560275662353,0.05734072354010129,0.0019031543187769603,-0.07949223732776628,-0.041999014125103054,-0.062022191548363914,0.012113739720720358,0.023826067374041367,-0.10644561733779857,-0.052165089658423834,-0.062400495352130464,0.057498964647906825,-0.033263143456208344,0.17543328955663443,0.019069857458090513,-0.02836729120310278,-0.05311588572904115,-0.010724013143416006,0.025546855055832846,-0.16473991150322603,-0.0318394283910058,-0.014416850971550918,0.05997717840786684,-0.08097536439971703,-0.020798219442503714,-0.06145378676000872,-0.1273103263169075,-0.09588860448795294,0.03362464200023493,-0.051019259905145456,0.02534842444699041,0.048245299066935254,-0.021298802191932316,-0.09599771026659841,-0.04367086376056527,0.022820617554919154,-0.03597004959967359,0.013803598592308605,0.02538417079565657,-0.2069213453744146,-0.059267335393365275,0.18138455400816478,-0.019962704182324695,-0.13280375744149192,-0.07638395637300222,-0.005470276186191456,-0.03770989778473872,0.01325867602884273,-0.03409702966715063,-0.04155594518018765,0.0010745147285611753,0.0506492047389184,-0.05049962980552068,0.09265632342037658,0.03342757829686568,0.06374342908984565,-0.08961578145594257,0.03245265289800018,-0.07677582348835703,-0.03401178772509537,0.08840097408147149,0.0812365251435876,0.07715510609514654,0.005984490189644032,0.05870165417856883,0.028153481296165087,0.07728503276951398,-0.017004162264543057,-0.07386291877494662,-0.06989627259083889,-0.006356162548453129,-0.1364393933393184,0.12914977360189983,-0.018612412891581137,-0.13448741109484888,-0.0687439136094917,0.2727192529706853,-0.04538047648321694,0.0481178977013979,0.09478075455656108,-0.043208387059990014,0.03461497207149617,0.03839352349335458,0.1594436955205189,-0.03437546346205042,0.014538077642362746,-0.12338501164605631,-0.04256480238437649,0.0005812013571815586,-0.050649202075401425,0.017700336300886393,-0.016409068867082842,-0.15300150716782965,0.10836533362301667,-0.1336484133667265,0.18314116069048553,0.042368965875071135,0.14011872155671387,-0.21871193225101773,0.06317254303966754,-0.13184627964027584,-0.11647703624227937,-0.12752336081496973,-0.22825127094036785,0.04174755995832085,0.011441781112406213,-0.02573131145998711,-0.12957303136763101,0.07094066995024133,-0.005814455200231203,-0.053161165903782656,-0.007417675405591838,-0.012875114535820194,-0.1675154947955011,-0.03214575488539709,0.037658234382591325,0.040075610711091114,-0.09469618144531305,0.0702838803201736,-0.09848458838795611,0.09640362325924695,-0.010054409638080719,0.04766614031175044,0.04988486614987774,0.2087109212519154,0.12162940095662514,0.08802297470134533,0.024717036711507972,0.034666235645492136,0.11620882625996608,-0.005531320250889272,0.055544303448386415,0.10352987605688382,0.09009199001565009,-0.0741992258622817,0.14640404455947195,0.09037013076835855,0.08820552198002186,-0.0598493079612351,0.04266006480111035,0.17824881050582433,0.027815457574466587,-0.10287442557198963,0.00601878146957717,0.12656153675660126,0.08186717214153982,0.0326872848599044,0.029655834623551487,-0.07217345535484218,0.029322230883140954,-0.0064441232231445475,-0.002268359749032667,0.1894477043737752,-0.005624580465496513,-0.1449205941502864,-0.005564038223998674,0.025743117528306703,0.05666330134037094,-0.04753105101563672,-0.04837625519241383
1,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,1,novela romántica,other,0.14339134395066877,0.11414409100445116,0.07484815113852131,-0.07369544370927544,-0.06891967870834385,-0.03187791000109163,0.011567051349960673,0.10743811090089914,0.1513305307049905,-0.031508755583182106,-0.07948210701168607,-0.019218630844569904,-0.15271798853341514,-0.19277565928436693,0.03900802273891057,-0.05950199609243142,0.036053525423482995,-0.03149631200822264,0.05243716714483387,0.09826513310665697,-0.1596419870298586,-0.057670429295673814,-0.045445247079207954,0.034221358779915736,-0.03646346957233287,-0.016272627962162504,-0.1007686337210755,-0.021890296769835293,-0.156314972890417,0.07644316427087922,-0.004713951339103933,0.015276246688437928,0.029417640156977683,0.1201842274083327,-0.030710998799780224,0.08269197973631219,-0.10726115639598958,-0.04117413900792652,0.12814430020917353,-0.008227561723975197,-0.08633115682909216,0.08766407235864299,-0.034933100742059416,-0.11823085504767997,-0.028102805761174555,-0.07067031221509748,0.01546706041859552,0.06882802589713297,-0.08947038932194663,-0.029134045741142322,-0.05512834378303975,0.08385732041238336,-0.0007227637372903533,0.10465277031344913,0.06762679827451393,-0.04208105637286877,-0.047012261965617044,-0.06584090465148132,0.026299896552153323,-0.17250518437489018,-0.014294451357023483,-0.04234930564433163,0.01231691822295377,-0.05516290161518167,-0.03791022631838972,-0.03358228621711362,-0.12654389625805368,-0.04993242779645077,0.022518120705211163,-0.03804209129254885,0.07807895452345687,0.07871233698618635,-0.05854438981577263,-0.16287158190373321,-0.08009804015554364,0.06405821958373964,-0.013237985299031259,0.020335616247830115,0.03248748860730337,-0.10890072462075595,0.03336887548837571,0.09634029117648527,-0.05904554568572144,-0.13258503518803516,-0.09277347204850014,-0.08287158307013114,-0.0180686068794252,0.04382131250898608,0.03914637794304881,-0.042972694038516536,0.009858311606034738,-0.04292994050099803,-0.018137799729977803,0.081218256819384,-0.054313379428759245,0.048656947592702886,-0.04895719128404359,0.0735850668262634,-0.11497214167688248,-0.06399900825838742,0.20275525604549668,0.052817476675366244,0.139606538813456,0.05042682782857451,0.04059655444636076,0.07513562692823922,0.05410250305634776,0.022135296951063158,-0.05730788545381795,-0.07940638804636946,-0.0009728394233410702,-0.18540723540453263,0.15301235014141654,0.02463229782064304,-0.1298331088912743,-0.0707707569414538,0.2255292065178214,-0.08837128993036106,0.03961488000338125,0.01696327511415462,-0.03027775816561479,0.03571056604862956,0.03331350092083621,0.16524448648210588,-0.03203119447664545,0.005197574333672348,-0.11109656506175415,-0.060393528073900526,0.07572546481139197,-0.022314182492564356,-0.06759230041597564,-0.03709948798822009,-0.1088704081346677,0.08608368661224107,-0.023454200070929666,0.1999113313975279,0.026050170842025933,0.04706522449468833,-0.20415114708792326,0.023967075066806322,-0.13431147433581206,-0.13588081149679107,-0.15571126709943456,-0.1979535372555631,0.1284205143761615,0.0053987232437161005,0.002621521357617951,-0.0991838218476905,0.12399323708763864,0.05087829015469425,-0.02247339869841792,-0.015874342160964172,-0.06450154913236207,-0.17005585531046213,0.0015833011428603855,0.08692674640356501,-0.029623208447681924,-0.04039341467491378,0.05473217046304121,-0.11231686009791565,0.03401241151786826,0.09516848425244727,0.08592332750502625,0.04597949174091249,0.045099006709126185,0.1062242377593801,0.0543457519938753,0.035999890939720974,-0.04820206266004247,0.08442220428324972,-0.010893142089547378,-0.029258308116905506,0.03401272960677833,0.09831578650207616,-0.08922466481391611,0.17222919123177882,0.04886774807589027,0.018133015973422595,-0.057558431045318874,-0.048337466999823026,0.12181756088842,0.04853849718645534,-0.0839907930735174,-0.029050688097785944,0.13837590750871148,0.09671466317986348,-0.02136759227313877,0.030024145165598374,0.03041717318622339,0.019114897318886426,-0.02175482531505636,-0.017704413964532567,0.15029421661421474,0.017458872948141965,-0.12899352789445376,-0.029574199176347998,0.045114486034541684,0.02626615334640106,-0.017386206110471696,-0.04449926415536854
2,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,2,novela romántica,other,0.08843092530776958,0.05807634016887257,0.14782965825352026,-0.007692807325269356,-0.03495508236053394,0.005319159856853516,-0.008282501412215995,0.08203805064567457,0.035336509165035376,-0.0077785619476434704,-0.08579423387204267,-0.023205458937334108,-0.12505524750591346,-0.1658352252604602,-0.013990230617992965,-0.09090626924078321,0.09436646846573435,0.0206738781478555,0.03925094644306131,0.05730356152752967,-0.17550253947972608,-0.025119962611588727,0.009990922183958929,-0.005858153692630902,-0.0012940534122762946,0.021501747612599695,-0.041340929406104954,0.042935804512466064,-0.10409174321528632,0.035535660650026495,-0.056685990121159324,0.019787608043221747,0.011275128623748652,0.14537439811838035,-0.05746411140124544,-0.016492436756537096,-0.09526701092620574,-0.03876387922366083,0.07540322273162646,-0.031488264626722995,-0.05544808062915682,0.05444809719201717,-0.0035201602249175165,-0.09627198510643786,-0.03254413693239133,0.04018397423617197,0.03622661958591581,0.03704868768178605,-0.0641726273506533,-0.041603840801726924,-0.05397488039378704,0.07969479892369626,0.023539570789254435,0.16443900975432701,0.025154091128157016,0.062443487461589994,0.02540370088175472,-0.07445945422908994,0.012656186283938439,-0.16794385594243674,0.008443081293201572,0.006278092574581739,0.0719930988792752,-0.06021075500806639,-0.08083674615481329,-0.06411953389148556,-0.15024733812195398,-0.05053408518217532,0.0019480589917894812,-0.0006750591529142147,0.03054365691472188,0.01788179955695764,-0.06762046282534077,-0.12969065114185022,-0.07363785179926893,0.05254807681162807,0.0028920264677687896,-0.0011598893325007152,-0.06321822795116229,-0.1481539806900857,0.01644942778043542,0.1137769140984861,-0.06611213101832189,-0.10417251888276442,-0.018340370243466297,-0.0014948685170288675,-0.0209484626977271,-0.03160185333147983,-0.024916602477660494,-0.10085002766410497,-0.004704357185837761,-0.021824046181424646,-0.00911268435362353,0.047066017208509704,-0.019356492382255532,-0.049609074871115225,-0.025503925290082465,0.008865752064724886,-0.11740476498892181,-0.06163388047672949,0.10684170536817623,0.08708416149365052,0.127670500765232,0.025210401606502536,-0.032708476720193995,0.02519867019320224,0.12913445637180704,0.013796435476780214,-0.04166386360339399,-0.07014235244457978,-0.027664429540029213,-0.12475089209816341,0.1252104300785076,0.009448309907465124,-0.12643105527525003,-0.12377231093737207,0.21047166338355786,-0.09864475476823252,0.053799158610177644,0.030052658612987858,-0.015624666766925796,-0.0190436205613427,0.03765725287515862,0.15080967349539603,-0.05772511670624593,-0.015278931261088334,-0.06177748175634174,-0.05246295813292005,0.09063688542799085,-0.07045913639629865,-0.026498894597242677,-0.08359799076363211,-0.10514413597931506,0.07392034850272072,-0.021995873967847225,0.20185208165915672,0.018286506815971746,0.10202249325594273,-0.18215112730807378,0.02161409901703643,-0.13319642389524414,-0.15675179652404547,-0.08647839448487367,-0.24724998620861433,0.019506847188507252,0.05311961628753062,0.05727986150913462,-0.08666972759956237,0.07204181979445654,-0.014916142440501372,-0.04360318599780523,0.0056212976084648245,-0.05779838181881898,-0.17014009229100358,0.0015272192691276852,0.03978264508910546,0.009179288672416134,-0.10231431165345131,0.0348878106344777,-0.1492459666330236,0.02632808617601939,0.10495569858160604,0.018721690833269314,0.04161007566686551,0.18373165125634794,0.08563080232297404,0.11046438369223639,0.03414336496354724,0.04976670167790196,0.0865747346319829,0.005232079013895898,0.07971282045337796,0.1045951220610117,0.08235073915240845,-0.04935714543338412,0.2155438944125084,0.1008014368047424,0.08454867259004832,-0.06927442188154734,0.14935485620117817,0.10095492863932434,0.04986650269101498,-0.011767608483164074,-0.05833625646021137,0.0741458791522359,0.05686027263564936,0.009062927362269957,0.080639605606149,0.03037746218835404,-0.017105248954045506,-0.02039449864862877,-0.01684812736354913,0.20764234725540473,-0.010236423498473491,-0.16378530840679287,-0.023990025987568078,0.043314253574315925,0.05686156806602662,-0.04593455843981544,-0.040020775832721574
3,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,3,novela romántica,other,0.09735543947581268,0.06834925874887195,0.13236978082928488,-0.03977999407618359,-0.034297041958210935,-0.014210138717129953,-0.017099885520396412,0.12709539272950224,0.12556784726315437,-0.014818566827246606,-0.13966073309372512,-0.009805513005563933,-0.18036477768323025,-0.19447304609775792,0.02738682254547455,-0.06100195526021381,0.09159509433301188,0.01856225767344956,0.07505526681418377,0.07743493558897463,-0.19166501438735536,-0.01105254674695878,-0.03178672163241824,0.036411545343608576,-0.007648126240643529,0.04889366533136923,-0.09445006923603223,-0.005032726119604458,-0.16046887663152118,0.05631552586244412,-0.029781454254850695,0.0826559263613472,0.030646065023379354,0.1140342426659634,-0.02009916072728511,0.012105975800384625,-0.10682797283260015,-0.03292075447943532,0.04605980226063886,0.0032762779162334547,-0.09857948335917527,0.08553424640351016,0.005233264617144028,-0.15539729195506902,-0.03241625593521753,-0.04685973456469848,0.04688026845498234,0.0388382289648269,-0.11657674170799857,-0.038567004213806405,-0.06432578954418411,0.04064668305894102,0.008204020593876905,0.15469329104220153,0.02240827362275392,0.015422626247454956,-0.019064124324396078,-0.07414943466224815,0.023993202756284464,-0.15944396859182736,-0.00350915049845843,-0.03788774824812818,0.077319598455085,-0.006677045366138725,-0.03697344290398188,-0.057693797430342406,-0.10152913717440624,-0.07563450576095274,0.04333215407379931,-0.0025704971137607037,0.024720682851708066,-0.0014864258646691778,-0.0244105036696172,-0.1377086898398427,-0.04724294114771462,0.033338547944763125,-0.026445601935399136,-0.008614158385738813,0.008127448192327798,-0.1802957900368448,-0.05032293357169497,0.1108240102825571,-0.021733325170879284,-0.14820906051420157,-0.03512387202366779,0.013159813798875179,-0.05595449825394359,-0.01987767267297058,-0.0016758414219648042,-0.012553341894958495,-0.004122545916470224,0.014572723464547174,-0.049335678580304076,0.08093610058628564,-0.02809946532554626,-0.0012626409275797428,-0.07278338077127346,0.08624392002702405,-0.1136271319432376,-0.08312968380416531,0.13775952651994006,0.0690302043916693,0.1161210086515858,0.05250812996780119,0.014879189760088729,0.07298709441855794,0.15661206176930023,-0.016930130756748946,-0.04468013015612669,-0.08406109402738218,0.018016259157703295,-0.17399600639816212,0.13151658121903204,-0.025518713651011084,-0.147664736466347,-0.11173579041680003,0.2518406399095544,-0.057485724802599156,0.060757191341700115,0.11952822624697955,-0.028199690640565267,-0.0024741434337462323,0.04744984987709007,0.21540768815861078,-0.03977560653002757,0.05279655640045004,-0.07610401635567693,-0.07373672043048105,0.025749163018006806,-0.05164100674980519,-0.03220161338705073,-0.07201440864241601,-0.11904161614042101,0.09129015522533221,-0.060531933884358055,0.21607837338292954,-0.0062463187985738276,0.02745805364552036,-0.22359369372556104,0.0767519327004536,-0.1747206636588742,-0.148978531921865,-0.06226633865801744,-0.19911246609224365,0.07270709639404155,0.017730565476208028,-0.08770604099200245,-0.15488465568226065,0.11365158353748243,-0.040448428655919674,-0.030299865500316617,-0.032195950234889505,-0.07560967695718038,-0.16113096977088914,-0.04387709156716095,0.06782068846510549,0.002666609259676444,-0.10322561800187263,0.03611035168844369,-0.07834822826064991,0.0005824925677854103,0.08834061636506324,0.05064984963560464,0.042106096188981826,0.17666004203144212,0.14034794211838097,0.05351077747513621,0.02059382534240292,0.04125943363477897,0.10899644554643712,-0.024683327756426038,0.02605899793031459,0.07275311401294099,0.1402278361850106,-0.06882986398549429,0.19670829932884948,0.07491046058228054,0.11215915874409982,-0.03868366242410718,0.06665208180156248,0.18561238343536238,0.02082030854459098,-0.05145868169280326,-0.05995737587469352,0.13116743318435264,0.08516535581343702,-0.03655267793035567,0.07362714475196717,0.014011263674893672,0.019989943104800234,-0.003490108888433812,0.0011232888270472138,0.21215665862901772,0.03256282316047158,-0.16055964761466224,-0.011284682735554007,0.017911218793352494,-0.024138118099423622,-0.042599900830368076,-0.04766677273625806
4,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,4,novela romántica,other,0.12855042246920598,0.10272858925702355,0.13632336549563162,-0.03535203645720081,-0.0029650524998571324,-0.03730616290942543,-0.01622943728726991,0.03749397629221318,0.07786189484798081,0.030264487613672855,-0.09124054164730692,0.00869423360537334,-0.17982462982811376,-0.11521186075454333,0.009764734772135228,-0.14014344963856168,0.10712389198070321,0.05549179249200227,0.05931651658753743,0.06957316083617648,-0.19310253162327032,-0.04254028306661532,-0.03525688249972535,0.023997579497494502,-0.009264720755451322,0.10508829371779167,-0.10291059742849362,-0.0229449263857089,-0.14209582011654834,0.10528378765389966,-0.029638828078310274,0.08384258962196893,0.04909389390358987,0.10703920661197897,-0.08718072162162555,0.056674186714305276,-0.012987232731988086,-0.06911344463280134,0.018712720463852132,0.029694795042033234,-0.01748450364219167,0.07919164757666208,-0.01937132404411302,-0.14352586554103766,-0.012618408388271753,-0.030376263792487306,0.028056403814940463,-0.012442757171446136,-0.07859470641518856,-0.07063091419447194,-0.04190773772604074,0.010448738814934208,-0.019482763804172964,0.1727785164114261,0.05795641680266351,-0.02248717530379013,-0.0033199380909541484,-0.04538136673134768,-0.010198085418887587,-0.15284699405467567,-0.02595006376487033,-0.054701134840416867,0.07880474588889955,0.011659834067486014,-0.03741623994634279,-0.03932758958009383,-0.15461836366594067,-0.08591797407071161,0.04244928455588145,-0.05479699150535539,0.0537055102466655,0.006125166851877252,-0.027253293765589718,-0.12430010960187199,-0.054025809628776074,0.07793944294858854,-0.060438082340352924,-0.00718757109711241,-0.04787163427344965,-0.13157985647842227,-0.04017503251299684,0.10586412943841096,-0.03760652425871543,-0.12375014430535668,-0.04547135852851277,-0.02491791766811732,-0.13543085179578288,0.00110679684448807,0.06307340834753422,-0.030675558627927455,0.014989502225283967,-0.0021301457321719654,-0.06312553218742643,0.08301235392262402,-0.03952782022029375,0.033411385928981324,-0.06285942455898134,0.10243078328190663,-0.10691384749623833,-0.044462146426940116,0.13232839281136458,0.0543038207091477,0.09955725149320643,0.04145012914679303,0.06697198887366357,0.05815509187165564,0.1039330470642015,-0.02048670694892242,-0.053304402605908276,-0.06504484354681123,0.05197618396118099,-0.07920081645843065,0.1543804916207492,-0.0025045669898249093,-0.10305510603367413,-0.03594879234441545,0.21390632394453526,-0.0089214765712574,0.0026166139096199525,0.08519546808814127,-0.03332869381583013,-0.0369994896527623,0.10135785552802763,0.19901712370028024,-0.1078812255792054,0.004552957401175033,-0.09058057530590619,-0.09774618690089174,-0.0036806383366503603,-0.04855136193534596,-0.029919071560107494,-0.1278800915814648,-0.10305669494839748,0.13172345914874756,-0.057886340818167424,0.21930282328123007,-0.04783844337481297,0.0008560820112730912,-0.1564218625518957,0.04948014761819628,-0.1217946562034157,-0.14285741210171093,-0.14288512063465067,-0.23416021915802263,0.06087230350027455,0.07350001496427358,-0.07800098088164711,-0.15497647276118529,0.053849037131402405,0.03498172253801976,-0.048788679274857846,0.014398583671961928,-0.08097435672197387,-0.14330458073431168,-0.010345109636968847,0.066365873048365,0.0017226804914938047,-0.055796888607425946,-0.007343259862469221,-0.08514822439562987,0.03499226069226962,0.03342481681559255,0.01449611295100827,0.024270459800387095,0.13195782738428813,0.09442005904396272,0.05206157852069483,-0.03447098018448515,-0.07267255472682371,0.11391229635569286,-0.0032706740712619437,-0.030858850019370852,0.05280116446902786,0.09017746215812994,-0.07523934817050112,0.18887481163211223,0.10816388712876303,0.0826951477946113,-0.0701251957532116,0.03688263326044484,0.21612991678992083,0.018175380643919065,-0.07949565584684563,0.019321879502712934,0.17949788588988158,0.10021841285928168,-0.0074215477118468485,0.05186531862399367,-0.04852449005945601,0.029245699412848873,0.010766762659002626,0.008227109259611905,0.22226197538335618,0.04433537810866177,-0.09803156163904626,-0.04974886168834037,0.01290119624075384,-0.009874407003754242,-0.013075337962457766,-0.0658268239838174
5,subgenre-current,novela romántica,other,200,4gram_chars_word,zscore,0,5,novela romántica,other,0.06493892562784483,0.08501772014153598,0.11635860711758036,-0.05370591352688618,-0.017966251324936348,-0.01653118757840793,-0.056603108717766346,0.0902277037315704,0.07469384681124544,0.011310130322340885,-0.1218095652783202,-0.002184988144537486,-0.15966957814255073,-0.09598509860142784,0.014477588696800672,-0.11221077924807424,0.10075519343787862,0.01968548787398908,0.08633107491893222,0.06747163890635419,-0.1562213935438057,-0.0012138290711639459,-0.009964345017318764,0.053926955650938496,0.024363425711753255,0.029158661989596286,-0.04815805635459031,0.005126081329800568,-0.12404682120590507,0.0583711610462822,-0.05459013679278563,0.0629811684822831,0.012086489934215943,0.08758398398090894,-0.020252127125361338,-0.00523703988112088,-0.1459098685026792,-0.0422328949002431,0.05712304217180947,-0.010229623661529878,-0.12352921954468375,0.05134321027089324,-0.09455056016418271,-0.17435544670078007,-0.028561465596289887,-0.04702789836437153,0.028663721404594403,0.06448792920027459,-0.11845797131040968,-0.046532808736039426,-0.05826878890958511,0.08672823052546492,-0.02756066582142554,0.1447495224880277,0.021595121663783412,0.005250433481505765,-0.0630980922496415,-0.019452016590665012,-0.01040285249577335,-0.2045373976773388,-0.01474679107066841,-0.02053362381055509,0.1403069403975847,-0.04694396061060695,-0.006127796336990329,-0.07448364664698277,-0.10981116004881404,-0.08442723520320072,-0.006959328965992086,-0.06839619265339053,0.0590688240250467,0.04040443397031291,-0.03442234098885792,-0.1148203032717677,-0.061016924781632745,0.04750495873162534,-0.010231900707605233,0.021964569213125867,0.018117576011119525,-0.2011653271085685,-0.021042135829967442,0.16037596478784164,-0.034443200058968976,-0.11354884147273553,0.036869041650416365,-0.0064764079092689275,0.0015518788793732474,-0.06052415839819375,-0.008409500483475118,-0.025238748129007386,-0.06289089444545293,0.006122429838572259,-0.06589781838788925,0.11679007542251052,-0.0024075783781407796,0.029208097344327773,-0.028481078084417216,0.06654266205787744,-0.10998718260031981,-0.04763021389101035,0.2064593615273881,0.09646577488502366,0.12125221697734903,0.0062577762810685465,0.04661433584895212,0.06374011656164595,0.14747531065555253,-0.018711490849841958,-0.06873288348627998,-0.07347303980256946,0.05286878731500109,-0.17901076246840403,0.12181302867600247,0.015889032288934755,-0.12310248824114407,-0.07128108757685606,0.26715272532077805,-0.05455875945504516,0.03518997706981244,0.1395810091092231,-0.03885124282468738,-0.0004990982850944931,0.05729729645724321,0.046841103014821965,-0.06886364834718131,0.018580795086754476,-0.11500660293127898,-0.0079098951328387,0.008596311099061685,-0.0903158466862939,-0.04484242624152206,-0.10747398844794115,-0.09995449273967486,0.12972752540497945,-0.08876398182622405,0.22337124280952686,0.006119825166976315,0.09149536550360403,-0.21904304085095158,0.04450947283547585,-0.13240716833626848,-0.13668062722669425,-0.1636992025342662,-0.2064608008455645,0.08384970357513905,0.01522493304365937,-0.02411351693075936,-0.15275653240333137,0.08663133153972016,-0.008560965952012108,-0.02354975465143655,-0.022601494091968335,-0.004012018387955936,-0.14474958167453778,-0.03027517538455299,0.07535715195517399,-0.006316517540435367,-0.07846439903239309,0.029174950919401598,-0.077891648893556,0.03233935396577497,0.1021687528696188,0.06167476668324464,0.018929069221338482,0.17623818312938408,0.12233333700976909,0.13080590891414126,0.005488574758136928,0.029327874148298065,0.058815471093519964,-0.022773442329841555,-0.020152985038256507,0.05911415826793191,0.04137428247604685,-0.09914009142626289,0.1486917844344512,0.06438213545411968,0.07590466594787766,-0.05483433652879712,0.024333809967981793,0.15081552321363764,0.026499336102504354,-0.07164110126339569,-0.06353185441707995,0.10585782375460204,0.06614894817463575,-0.024133424581615392,0.040297185604036806,0.003970205566286633,-0.014933890094014803,0.008070256578221916,0.011928045291952558,0.26214864688170897,0.042495699329620926,-0.0768888495129054,-0.020460052500538638,0.020426926411813453,0.024098128012099332,-0.04719756878275634,0.0022382519861538965
