,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,cv_call
0,subgenre-current,novela romántica,other,60,,0,2,0.12781510966737342,0.4575749896243923,-0.6676635697886055,-0.2908819007000168,-0.8774898920016995,0.2470513536167614,-0.5739823287127027,-0.33556944133573924,0.8318686227561791,0.6369829810889649,0.018939053356734296,-0.43080833274083663,0.8132601479993038,-0.12995653034194807,1.0642397408598891,1.4782836672372492,0.9786356459841355,0.0157867479943751,-0.8955336188418552,-0.20758081651500165,-0.6224838208211199,-0.19907503052392053,-0.7227081847829475,0.2186847526543161,0.9632434153943495,0.7103900600171633,0.5044601263234103,0.0245067600221444,-0.07354283423706934,-0.4137345297930925,-1.057281605117675,-0.35626497523662953,0.6073006717392623,-0.43418787425958855,-0.3333641022598525,-0.3478694754345322,0.026642098507288714,-0.3947278846770185,-1.4381413762209665,-0.23597823487110264,-0.5653032261064725,-0.5500589846829911,1.8655718434049429,0.06476275269347975,-0.03308117300450996,0.4725061121602336,0.0567280257201838,-0.6228204225359424,0.3573488874483889,-0.2285582863944944,1.005310569484506,0.8625220219898109,-0.4147705414826566,0.976447598301832,2.07331639682618,-1.5410585555132237,-0.4051845173331736,0.0213692134672072,0.4499540959990679,-0.11914068205962572,0.0
1,subgenre-current,novela romántica,other,60,,0,2,-0.062361218952977464,0.4056219934762053,-0.7549975517266638,-0.2472859980575399,-0.4280204045731594,0.5175929662031554,-0.5947657508348554,-0.40415190405985857,0.898592628018288,0.7024321684032635,-0.2532813260244597,-0.6304344168732833,0.9396832020287584,0.007451135044973309,1.1151639790110413,1.843925004036404,0.9173762170077236,-0.248534383288238,-0.8904096322562273,-0.18176483078109287,-0.5151712699350754,-0.2767971834567933,-0.883640205673119,0.3534269709421832,0.13647905143936756,0.9325232364813676,0.2626197670095096,0.03048207193384567,0.850782429713327,-0.4393793036340678,-0.7293554399445032,0.06848801366317636,0.4233544950880916,-0.4360534995713347,-0.4833411036400425,-0.06527716455968202,-0.2060874437779676,-0.2824431956263185,-1.4729405859633258,0.08466078451834044,-0.6376921120618277,-0.3843827812937475,1.7706334492902016,0.04703449780789682,0.019735215168961547,0.5570224285266419,0.08888823347780371,-0.5952365700722393,0.2849698094410021,-0.2894370497121616,1.1608798202358983,0.915290393746084,-0.08303556925291823,1.0441988332759595,2.2231616570587085,-1.8134274234954084,-0.4164917670849013,0.005443554683728296,0.05839068314481255,-0.01954292458055891,1.0
2,subgenre-current,novela romántica,other,60,,0,2,-0.2052406942548656,0.4995617617698627,-0.5926801025411295,-0.27595554429589386,-0.6864012677330074,0.11838208866605515,-0.581512980408075,-0.3538418308679669,0.6492261026105003,0.5632019062840488,-0.4368230891231049,-0.7029116048768433,0.7381775756105868,0.034158018443339294,0.8788651953080894,1.6563517152836293,0.8521630248948814,-0.3863828082023208,-0.8937244560785694,-0.18053896715587248,-0.50687303887505,-0.07605002967834087,-0.9733142612979192,0.22484942428362065,0.8951553869329201,0.7988708573780633,0.2949222128805793,0.03121535838975633,0.7672006973528457,-0.4911572574197503,-0.8853030823681479,0.2140989195685437,0.4537270309040711,-0.35925902310760544,-0.21028254696009555,-0.13918604957825365,-0.3180156136648956,-0.3431750868671839,-1.5647235780998918,-0.2552886475212116,-0.5563288425749526,-0.42113618921049417,1.8038879635375211,-0.18633571365431464,0.04095861251135915,0.4074369144309776,0.0018022005414551343,-0.5183102702627157,-0.06561726725022687,-0.41270728873086204,1.2396330179626025,0.8116196747914254,-0.3780206953195832,1.0061635503346078,2.711954927782694,-1.4711389881700856,-0.0247007709876772,-0.001300689630005823,0.3273613352233879,-0.13914881666445986,2.0
3,subgenre-current,novela romántica,other,60,,0,2,-0.2247025476691586,0.4548241388354543,-0.8145460631069185,-0.2610012619359477,-0.6747878705143535,0.050809201239847515,-0.5782594081058582,-0.31616210873942463,0.7683840167016296,0.6379911159226247,-0.17259979976935858,-0.7832841047221083,0.972203033086108,-0.06605574870063934,1.0829809426555983,1.6601288268217964,0.9493728469582056,-0.12044862690288655,-0.8995771203669864,-0.17945506786425486,-0.4624453990705269,-0.15958338296725008,-0.9009489806360588,0.3075039660668317,0.9442355276971198,0.8839602335277091,0.2495109205424767,0.033847696434521464,0.7953766949921528,-0.4874951982508288,-0.97928033958282,0.18137824088621507,0.2670831992969712,-0.3904349622498449,-0.36005821065355953,-0.20513592603801256,-0.21129406448145333,-0.24953660883559006,-1.4947523624518222,-0.12459565589397033,-0.6692723086743871,-0.4801938127894888,1.842223524573535,-0.10460412543384222,0.01924709945951789,0.4986925845098947,0.06679206667383197,-0.5410334114250721,0.180503630568152,-0.25090857003032896,1.1920532797286292,1.0711770814549193,-0.3612325821343947,1.0107529791170824,2.2333240135035877,-1.7648856371343569,-0.11801421960562908,-0.0017924612522450774,0.09592791130020806,-0.09017925052946353,3.0
4,subgenre-current,novela romántica,other,60,,0,2,-0.186693068499546,0.5355781425618895,-0.8534301313049244,-0.2650586773237176,-0.7074511712002348,0.275763491007791,-0.5735303236267827,-0.1890015775345972,0.8148277623731388,0.7064457088227453,0.3957632080583708,-0.7370883295931137,0.9054700416560791,-0.8075405173300677,1.2186939898084657,1.7981773117038222,-0.012498020327263331,-0.43718268375379377,-0.8122079052340191,-0.16154165631835465,-0.5603217345949407,-0.20425608465992295,-1.0203674876103128,0.2788435066789401,0.9667308340878776,0.9282333224901584,0.2025208701076865,0.024195094499971842,0.8039984988595159,-0.5303205960444028,-0.5185446766671433,0.21607150625232585,0.4287287602346044,-0.4909049058704722,-0.5964079009157633,-0.32739515095834504,-0.1722970144309007,-0.2573637231173356,-1.3679836932398803,-0.01988921195318533,-0.6504688418128187,-0.39733604682790896,1.7841857188768642,0.09792665833825633,0.012938859026993994,0.3843624867992668,0.34403207253763346,-0.5572657052657026,0.32246310737639416,-0.3334594960815443,1.2195052841789216,1.0136672678775014,-0.2766727684943313,1.0276517559140657,2.03039739074346,-1.6262616863171253,-0.15200331613879034,0.003608027099535896,0.0986471623405858,-0.08196020006078708,4.0
5,subgenre-current,novela romántica,other,60,,0,2,-0.35423055610065496,0.15675269107421713,-0.8356807699437419,-0.30750954379928225,-0.6405760965476991,0.22332224925951266,-0.5864753628361895,-0.2849782742207603,0.6968556811215315,0.7802497365191391,0.037842451131720925,-0.7567219734494698,0.9095271974735236,0.0014674617795464725,1.08271455905821,1.6614681729708285,0.9315212013099976,-0.08511001984658467,-0.8233625360403304,-0.29414532482473466,-0.6429066082517056,-0.4024890875350841,-0.9709525703975844,0.3092310068779188,0.9961540430514504,0.5746857454679163,0.3249944199175772,0.028044864833591712,0.8022141984516501,-0.5374288581508978,-1.2018744504668888,0.2007963151549701,0.29631073394990376,-0.3920138089640264,-0.43883188981126653,-0.3625216302874136,-0.05704408524972133,-0.3122689857791408,-1.2076409423321486,0.1368869565843348,-0.4397709887422164,-0.5174257379388768,1.7446949339630593,-0.1863311468964172,0.0405250310417206,0.5284589375152157,0.13966082405518776,-0.5630840576602513,0.2064309201617576,-0.3313155419051765,1.2154848918001486,1.1226336093955822,-0.3820400534571635,1.064034064411038,2.063703645384682,-1.5946665243146616,-0.061902564788197,-0.00027007714928832527,0.19353589523939008,-0.20818135468349497,5.0
6,subgenre-current,novela romántica,other,60,,0,2,-0.07130161851647299,0.4548008241102457,-0.8811807346770554,-0.2294921836524013,-0.7499718135396742,0.3916294969761941,-0.6872461752194012,-0.36381389008149456,0.3462156123348921,0.7028278515874804,-0.14552903131086992,-0.8651555151310468,0.8400872630604087,-0.10718128994389599,1.1792663300699529,1.5989640940020609,0.9538010723030096,-0.3131468861873353,-0.1984394177967756,-0.33804162357707984,-0.6109148684858378,-0.23294668354759016,-0.7537103190404801,0.2794792774180847,0.8880145960224556,0.8569560621698235,0.2678735142841606,0.022795519772727216,0.6830958441471562,-0.3328099355227121,-0.9022808796640591,0.2097177195966027,0.4659087375927527,-0.2325571548834763,-0.4626564657539555,-0.3614286691536982,-0.2083644072059099,-0.2958081798651181,-1.523973762960064,0.1240037464317756,-0.6916633100720945,-0.4018536115779894,1.7743211399041268,-0.13360411859879787,0.0020606104002127285,0.4601718730552731,0.10393252017285803,-0.6591349528572314,0.3627870138978668,-0.2949726975794913,1.1412372032575726,1.0263793891544373,-0.29603058276684296,1.0661103835983978,2.03737610028607,-1.7889138276698384,-0.26409235709936674,0.0030157439719529387,0.0857715271049182,-0.09791388157618254,6.0
7,subgenre-current,novela romántica,other,60,,0,2,-0.04866690488614494,0.6057405311079983,-0.8701492431610699,-0.301592670981907,-0.5281524198256243,0.28560926958777616,-0.6148240000833421,-0.2803041407993653,0.7576874207345788,0.5808361241325932,-0.21062347834574707,-0.7734663864330124,0.9844179661792009,0.010697972083870888,1.2429650705027562,1.5981454432619449,0.967032199470426,-0.18192310211010587,-0.6150999440250919,-0.1998024073443979,-0.5568954870682603,-0.29236672382567275,-0.9407533838556954,-0.009032008457406406,0.9476506838587988,0.7645541347027524,0.2275083826223244,0.032748564274457714,0.7870647442692873,-0.5414318170453939,-0.9746085509428872,0.1835508428955516,0.4502328667400817,-0.4071895848971513,-0.3813994126048603,-0.5136665178919779,-0.19673782036790136,-0.1316343065007694,-1.5656003995416254,-0.1030705487447964,-0.618433538186995,-0.5008166766213247,1.5950481782297148,-0.09763872824699824,0.05753035744135526,0.5321965324694807,0.04915264592245694,-0.5365752535044594,0.11729722688231807,-0.3420610635372745,1.1462202512479231,0.9756343292823166,-0.4170149673167252,0.998154260616415,2.2621486619662265,-1.7586196540168086,-0.2079315458787022,-0.0006213434193435324,0.2298912492894853,-0.10680120227385327,7.0
8,subgenre-current,novela romántica,other,60,,0,2,-0.17853628434935906,0.4634776436942528,-0.8067312213969713,-0.40833739692407545,-0.8150588305971759,0.3571821636063198,0.11071664480474472,-0.25868424086547304,0.7034807833803279,0.6193298506453968,-0.7039854488294893,-0.8249558925449069,0.730654043524282,-0.019979581965702733,1.0095770546335168,1.7309199864209717,0.9472354750306746,-0.42046787715203493,-0.8490483153634363,-0.14941620791641952,-0.7276044142523087,-0.05868562942265448,-1.0820905901448137,0.44578037282549227,0.947265857615064,0.7943820892000878,0.3506777403756689,0.01780104416434148,0.7600322992748123,-0.5138156252354125,-0.9445714963523704,0.008170494807291978,0.4627424641499432,-0.4539909963032372,-0.3880761331653551,-0.2856255049279722,-0.2628712097887922,-0.4090670033548423,-1.0747894559903497,0.23303900160134094,0.23468988051500106,-0.4311054943824326,1.7698378171589093,-0.15724841706126005,0.005420411342273728,-0.18193153028313472,-0.07425075601927345,-0.6058367669976421,0.2920405952719625,-0.32747995552455594,0.8630597387919218,0.8204383410506243,-0.3631286767154791,1.0519765810432478,1.9354853656411009,-1.624106982115471,-0.09278317696054422,0.016608378552434404,0.19696605722940824,-0.09573974892658399,8.0
9,subgenre-current,novela romántica,other,60,,0,2,-0.22312050106565526,0.4682982220715202,-0.8028087572554709,-0.39850716156094734,-0.7681396014975196,0.4340265885790293,-0.5959795685633202,-0.3331744580058621,0.6560953843923465,0.27093550582700177,-0.15693011908041746,-0.595935645536434,0.8840482063800901,-0.06728202839293451,1.1307089651659346,1.8567443409778208,0.9174969199549629,-0.17978729815171313,-0.9188933720352844,-0.20856747720221144,-0.6436903996496586,-0.1807167048895681,-0.8911718859470881,0.2880736448496157,0.9057553672554636,0.8313908123169438,0.6419684877565529,0.007406511989442452,0.87739370715699,-0.6601956431819985,-0.6605079350004953,0.14474391013234322,0.4553370717973233,-0.3515167957768998,-0.3037759022750799,-0.40511923826611895,-0.19200111653079502,-0.2445249904375963,-1.5479220337049786,-0.04317975666445323,-0.6768221673916144,-0.36391228433141865,1.727547308902656,-0.18172164758133372,-0.035382450302939614,0.5205494536359192,0.0648361738236497,-0.5727241355671088,-0.09618938667616872,-0.3366380779526728,1.2090051441718686,0.9814505957483116,-0.36498268466065104,1.0430027005859457,2.002711482012134,-1.6094441704505933,-0.08491218983709092,0.00043848291914998233,0.3121498395578911,-0.13443809622183173,9.0
