,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a e, a l, a s, aqu, car, cas, com, con, cor, cua, de , des, dij, el , ell, en , ent, era, es , esp, est, fue, hab, hac, la , las, le , lle, lo , los, man, me , mi , mis, más, no , otr, par, pas, per, por, pre, pro, pue, que, qui, rec, res, sal, se , ser, señ, si , sin, su , sus, tan, ten, tie, tod, tra, un , una, ver, y a, y c, y d, y e, y l, y s, yo ,", co",", de",", en",", po",", qu",", se",", y ",. — ,... ,....,? — ,a a ,a ca,a co,a de,a el,a en,a es,a la,a lo,a ma,a pa,a po,a qu,a re,a se,a su,a un,a ve,a y ,aba ,aban,abía,ació,ada ,ado ,ados,amen,ando,ante,aque,ar l,ar s,ara ,as c,as d,as p,"as, ",ban ,bre ,bía ,cia ,ción,como,comp,con ,cont,cuan,dad ,das ,de a,de c,de e,de l,de m,de s,de u,desp,do a,do d,do e,do l,do s,"do, ",dos ,e a ,e co,e de,e di,e el,e en,e es,e ha,e la,e le,e lo,e no,e pa,e qu,e re,e se,e su,e un,el a,el c,el d,el m,el p,el s,ella,en e,en l,en s,enci,endo,enta,ente,ento,entr,era ,ero ,es d,"es, ",espe,esta,esto,estr,habí,idad,ido ,iend,ient,ione,ión ,la c,la m,la p,la s,las ,les ,lla ,los ,mbre,ment,mien,mos ,más ,n de,n el,n la,n lo,n qu,n su,n un,ncia,ndo ,nes ,nos ,nte ,ntes,nto ,ntra,o a ,o co,o de,o el,o en,o es,o ha,o la,o po,o qu,o se,o un,o y ,obre,ombr,omo ,on l,ones,os a,os c,os d,os e,os p,os s,"os, ",os. ,para,pero,por ,pres,pues,que ,quel,quie,qué ,r a ,r de,r el,r la,r lo,r se,ras ,reci,res ,ron ,ría ,s a ,s co,s de,s en,s pa,s qu,s se,s y ,se a,sin ,sta ,sus ,taba,tar ,"te, ",tes ,to d,"to, ",todo,tos ,tro ,ue a,ue e,ue h,ue l,ue n,ue s,uest,una ,y de,ían 
0,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0,0.0,0.20896794987362255,-0.32405646301897617,-0.292054124052745,-0.08827884528525098,0.3713009324094698,-0.06515324924523203,0.14991766553953378,-0.11863898362632574,-0.26974344479353085,0.11181684549036208,0.02384847409067259,-0.09711649374245773,-0.013064905895671164,0.2289256032327437,0.004186459742903104,-0.19770628110674704,-0.23375903019067368,0.424578907052702,-0.14250580772105437,-0.06582054144438931,-0.41731115732677604,-0.22789507580564106,0.07150248854501973,0.0974805941987873,-0.016094976698572516,-0.11710410583006126,-0.050062999725609236,0.7830341719533412,0.4580663756709025,0.019006080850644425,-0.23804431568249773,-0.041361863314886727,-0.32176036979366474,-0.3217702907546695,0.19042020403500437,0.22945184501597804,-0.07908075300326767,-0.07066232380411996,0.5356530021339976,-0.21250299163293895,-0.3138232984055309,-0.08375072122924387,0.002628639958463963,0.10732616671882317,-0.11373378686049262,0.16200799308223807,0.2372153775707858,-0.5018146085989887,0.21337489693162226,-0.09589286413073328,0.4099700291543029,-0.3868430269308206,-0.23078965547010294,0.11380051327150653,-0.09593637539767963,-0.07517448010448113,-0.11410257797722478,0.22698454792677802,-0.06639374503355178,-0.31109415587437583,0.23799801953378197,0.29413616099218054,-0.16341097573603203,0.013827849059960595,0.4587823874901893,0.09070174800064618,-0.4036808566541992,0.026781578666826178,0.15785488353524685,-0.15342755773070593,-0.16170806253543046,0.2789441945537784,0.32492061643189907,0.7450345270350442,0.045156006522774336,-0.419543574290197,0.08816190502141397,-0.2820454623079157,0.021455236215458695,0.2607405799000186,-0.2077197381336256,-0.03416023057024298,0.4099024560528419,0.11123743614267945,0.14876259110260986,0.37457972356580493,0.49042275550762016,-0.3605836411531156,0.5754251993203311,-0.1386119646284235,0.7625195923208248,-0.43410529094779327,0.09039305664606129,-0.14387324996237383,0.4421442235667452,-0.28555660640002833,0.06354019474875094,-0.17088292438133557,-0.060882397530498844,0.07570512028829784,0.0746438573571816,0.615672003716154,-0.14548360036818442,0.012892026120302047,0.055595724239551225,-0.06243691543330909,0.0004328731653672202,0.3212542759971863,-0.018489747899937514,0.15051609308779884,0.1967381017045925,-0.019757514342391924,-0.3651549487309758,-0.03633169491689314,0.15224401219238926,0.3877201217491151,-0.4813868025888717,-0.13500584199289534,-0.2107593719650529,-0.03827453193047192,-0.31457563035817304,0.20757700422150527,-0.04263293681251934,0.02789606657169419,-0.015034258676793977,0.07458986431681652,-0.06243791296840828,-0.01047140958922299,0.36531574366894104,0.11426075454675866,-0.11958863302946843,-0.4505014979918962,0.5167644283412818,0.07822194791257797,-0.3280878953850336,-0.5052376062428452,-0.14290551982341737,-0.29614357070817954,0.17170794229439124,0.06219497957415565,-0.44881158907611574,0.5865254816270308,0.015754843174942912,0.16695429600317402,0.22592090804440368,-0.23475261880362608,-0.4438518828349358,0.14929068919111654,-0.5633248916969993,0.19955904204674452,0.13865207169225446,0.02960689123980187,-0.1356907813244509,-0.24456123437470756,-0.31556550583761556,0.06686044172424244,-0.10428175636142889,0.251667194741193,-0.34851935569974235,0.055514740831790865,0.4706976926644584,-0.0941879549588941,-0.4039789629334155,-0.13393640954804575,0.3848212940718537,-0.7910386183743521,0.45420977724613343,0.21253833647002152,0.1514924386134378,0.24298850955079937,-0.021995390631953105,-0.098164708743959,0.3713832886133466,-0.13439064353931374,0.017820177294370243,-0.05154387186343312,0.007985541002304974,0.29846119723058673,-0.2995766873719172,0.15895693756661267,0.22293547191553592,-0.4716627395460604,0.051943986669453435,-0.23771607365932956,-0.6220611771540885,-0.05885582175935977,-0.3403689162625263,-0.41256660043812243,-0.09016168691121207,-0.2939292557487816,0.27645245712670863,0.008791269057277229,0.3910600391670623,-0.012472379696001457,0.1842230049131725,-0.16310983076407926,-0.22090499228799038,-0.011863672679657489,-0.16565741807008239,-0.112035440051513,-0.1598413405734186,-0.20381053106638725,0.006012167823812198,-0.12582658784834477,0.1062868000977949,0.08801504144345296,-0.182872361509532,0.07179255782000415,-0.2363471225143624,0.3100732263366738,0.2776446347709754,0.07885022512529205,-0.08603172150267535,0.17908310700028596,-0.08226712904410727,0.052844082279001614,0.10812192099580775,0.21455590636890132,-0.5073132366046683,-0.07081799722458026,0.3521643068045619,-0.13627133515537715,0.08675486940098001,-0.16189023328830104,-0.18768835905179157,-0.05750942458652797,-0.07587401542147343,-0.2922133073457269,-0.2912586274384898,-0.014371274485359686,-0.07023456128560973,0.02961423087955406,0.08035509842922939,0.19673143288802541,-0.26516893499216965,0.291390695916268,-0.0658414675174942,-0.028942167382659645,-0.033557625289913795,-0.3727071956761472,0.20899064943950557,-0.2937448039316344,-0.1554471695041767,-0.2670915855999638,0.2670837072274528,-0.14593727939489298,-0.2892904580838428,-0.045009232348049766,0.27757369150877886,-0.09329010823255435,-0.2586978211370692,-0.007207654525881679,-0.5189594332008935,0.043793933620280834,-0.1129965244048855,0.04706649216553671,0.32430636936413515,0.7506447143295236,-0.40695231226931683,-0.03637015640836483,0.2776808133055212,-0.021516344788138353,0.07179685064524227,-0.21879526989689602,-0.16594440469916094,-0.4364424125006719,-0.32872185105260165,-0.2720662352200576,0.561309903319269,-0.4671393893310156,0.11141936327303836,0.015485553419620324,0.16026201585423705,0.2727950929793733,-0.1593014638386132,-0.45371412366329,0.3971868314052376,-0.16623565075640734,0.22148686424996422,-0.3298273323843798,-0.047605920460160656,0.025525018293739876,-0.18516767727183014,0.2495739068805739,0.5684871570690109,-0.002844178958746557,0.008549111404889342,0.09263787338827667,0.1362610436352657,-0.11265750859565549,-0.042182938227565026,0.16679089922321122,-0.08367401257555207,-0.19683163759960665,0.09313107259801656,-0.22317285531084918,-0.3645427036370531,-0.143079627936387,-0.4870080112998888,-0.21551729096461184
1,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0,1.0,0.21254390005646523,-0.2910125805124021,-0.2316706888536178,-0.16524112931085316,0.1888371212036727,-0.14708826475434575,0.24256213049070388,0.07565166856100414,-0.5643824266298829,0.2728584461134169,0.02275009385757787,-0.09621891775593461,0.12343624934631905,0.184484354521626,0.017930136567747376,-0.20690405919085902,0.009273807502361842,0.1390616501929373,-0.33331672652236155,-0.16214594308159277,-0.16481843806146956,0.045371088198878085,0.11533920002187609,0.14986183463266456,-0.06803144354729139,-0.08681613772395105,0.06375352874574813,0.6002907391378847,0.30737430306730285,0.004515727721918356,0.08985287241243647,-0.11284771742175985,-0.3395891111258323,-0.254010450031304,0.2692722021035765,0.2706774059843702,-0.06605283625004382,-0.14825337313950654,0.4486825051069714,-0.3584208849932285,-0.5259005880214163,-0.32429660480897204,0.04497582229095365,-0.051267007523778635,-0.14313059022350372,0.1466734007333243,0.04040915528801481,-0.510231324494089,-0.04639633434587914,-0.25643635014414545,0.44148878012923587,-0.2406787743886808,-0.4348063956816485,0.17642470507171676,-0.33327812737101725,-0.11212551042439978,0.11796539349289495,0.24144209811147038,0.16557403880439486,-0.1438762410573794,0.3240168728770202,0.3159844652293742,-0.08249367479964492,-0.01927607969376692,0.376478928599993,0.32508962155104076,-0.37209783416239917,-0.06308733506741199,0.2099650749454292,-0.23349958418731048,-0.24423258868573686,0.27494075162247045,0.3584079303669433,0.4697296195511261,-0.1439321149895545,-0.3552380232484573,0.031154125025997792,-0.33946289914732286,0.1386126397658614,0.24796860158837375,0.004985064958110755,-0.013515770921553597,0.38082005645521577,0.11715251281710698,0.008036369672619864,0.3990814731804706,0.32542657185471124,-0.23257539375848335,0.46097818241514393,-0.3258832868495679,0.7579131022295857,-0.41701103392145483,-0.20136335577130102,-0.055313258766188145,0.26394059230957845,-0.149158431201324,0.16030761786582942,-0.31606888727540533,-0.06530386676712555,0.14208255667826647,-0.05838252229825297,0.6169451886135096,-0.008727792112245475,-0.12804080301593823,0.06531590585516271,-0.04638921944586899,-0.2015330076960284,0.2996818254627514,0.2388670917189174,-0.009049938110076094,0.07584111883836847,-0.0695238168381907,-0.21739411965976496,-0.0074304878643893235,-0.1768471069171315,0.4349936989266051,-0.697592810717831,-0.09997584327005943,-0.15020624228881058,0.10877439398429933,-0.2417514270668517,-0.029565943869639122,-0.040822867755658354,0.021432037566152973,0.14803347017618756,0.17343243282895332,-0.1407608421947344,-0.09842841596880608,0.5731411892649381,0.18015059642190986,-0.026446174530582067,-0.22852516860731034,0.38882235702822104,0.15440053472083878,-0.28263695348020157,-0.599533909184116,-0.10203357009700953,-0.2892314331789221,0.258806526597654,-0.040031145825667136,-0.3418825000713957,0.45795181770673243,-0.12201283600694571,-0.03640415964402305,0.24871406618544384,-0.004152148580212622,-0.12956731952332634,0.4136041456069113,-0.533038184945819,0.11645049936887748,-0.047189081739376595,0.02907117378211871,-0.04293667669016732,-0.2791095222632984,-0.31919710922642774,-0.00355011257799398,-0.08540228615868434,0.37159876792228386,-0.24166817671188384,0.133859261030288,0.4701977725350112,-0.08412607806769457,-0.38717403470461526,-0.11377607816880825,0.3937796935660035,-0.718183763878488,0.45621650925813895,0.1618649645128648,-0.1503470462659463,0.3154587158414884,0.010132739828527026,0.1892189013070159,0.11982974303351496,-0.24396615971767577,0.15793072508382722,-0.046181624779665614,0.27764412463597304,0.6311015632642591,-0.2278082628257575,0.3461098513302939,-0.09787638017401276,-0.42670667411895497,-0.13895936513876284,-0.18703984584508776,-0.44869728379016716,0.16090760293325357,-0.18843686899250905,-0.4775277227342433,-0.20061080003652126,-0.4026000508576615,0.2544628697600464,-0.03769498419106038,0.5365531038367883,-0.00664662384310899,0.19673089236160396,-0.07912383038051285,-0.15359457240599156,-0.02914664628099875,0.040100400788775,-0.08902632118997866,0.03618309190546912,-0.03091401984466105,-0.02968654603363194,-0.3291530699471269,0.23757622025737388,0.13559632667957033,-0.3408734313157299,0.16919255505883712,-0.2538318491322709,0.5104693456824926,0.11530051106006853,-0.17358533579737417,0.06727131315276663,0.1612254882233507,-0.12883570632653862,0.07988310242874391,-0.005990755398246506,0.23407251726151074,-0.3061336693326117,0.07269569358542399,0.44024409954720306,0.079141997856495,0.04948818516164588,-0.04201884146737467,-0.2580347944332507,0.06465881076734153,0.130804560184847,-0.3234319730312992,-0.34731480826329447,-0.09877712133013167,-0.08637932005242108,-0.07124792858086876,0.07865854155824495,-0.0013889229470601117,-0.3195255876360434,0.29523618150448383,0.010333223583544326,-0.16740012388317077,0.1456225867171422,-0.3209810082503772,0.16047619443313121,-0.36350562386942553,-0.001375748476188987,-0.38369989361645307,0.4096395834676319,-0.1916774308829134,-0.47550867767857846,0.010108446552125006,0.0596942800095257,-0.2955250719300312,-0.3289895369478554,-0.10093710146161522,-0.6744720367074186,-0.04625915607983702,-0.187106417577168,0.0035434691759039794,0.2302696914570752,0.8161344446287386,-0.36989644953300693,-0.06951234878818857,0.14749022909348286,0.03555707273966911,-0.06103274502022332,-0.1919260480476832,-0.019339238936827874,-0.5474412713196055,-0.47475123078432274,-0.07239566001566738,0.433043480010955,-0.27120757498626274,0.3897168307296572,-0.13924462771296536,0.28908492067017116,0.30269929874413787,-0.36232017694063107,-0.5795629138205954,0.32815558287099444,-0.14399155478179304,0.27464747098762293,-0.12789641075189462,-0.01548968379766813,0.07814308558527172,-0.0513128611990811,0.2256077130342969,0.7172473178659191,0.07276217520185102,-0.2500195790810288,0.22416617084684398,0.17825294826670507,-0.3163430574717927,0.11630094314872685,-0.1065146262247644,-0.15725864719790367,-0.21254646892678414,0.27817598702349966,-0.35715926114964847,-0.3435467859862301,-0.03712888583434926,-0.46109524362214005,-0.0620914207472853
2,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0,2.0,0.07986073235184477,-0.09179590069574095,-0.32020059453412164,-0.2126457365407884,0.38546268435953956,-0.1506267479600372,0.27138256888231316,0.07553661647040455,-0.448967046288203,0.21801840291960273,9.992007221626409e-16,-0.12290613554401844,0.08153694860538392,0.12993282083285318,0.2779300094377203,-0.350564596297401,-0.07994438296987438,0.07894774568373386,-0.11566154898925407,-0.08796472714816264,-0.2141037786855487,-0.1328754021877051,0.09131036802759471,0.02438898574300974,0.11437250015724554,0.024061243268737653,0.1233423277348199,0.9425097330907368,0.29688011101934697,0.014781388272116835,0.06333984024450895,0.08326517225794577,-0.2166959439444301,-0.4876561458908887,0.1168463137488035,0.2879494063201979,-0.10589519918190254,-0.012438062173419362,0.5300541189268341,-0.38266659300134975,-0.3221523078290296,-0.16937987696481105,0.3218042208402132,0.04538111398936548,-0.13986647822959208,-0.013738297596205429,0.09836260664290933,-0.2309264537699381,0.09499793077376245,0.0222300753158462,0.3318843380153793,-0.3166969248807004,-0.32746902317056537,-0.03211004419514368,-0.25373011878597296,-0.08406359547768577,0.04546406002645176,0.25814545003709316,0.20305340415065803,-0.45634031676057096,0.5537997648903501,0.2871778676786395,-0.02149421910876731,-0.03396741614347931,0.22350081550806372,0.2597896030698991,-0.37361465712005315,0.03154437788003456,0.1342456978017621,-0.20729172651940375,0.07010432753207443,0.3096545187830422,0.4644987112426445,0.7084777725810533,-0.39080182009005204,-0.45821699485950507,0.10543782656686762,-0.2629026894064058,0.3042641294340045,0.3594121478639974,-0.02790648491071771,0.062357199089644044,0.4756120973600817,0.23280412207701684,0.27396084529599446,0.3515537967543689,0.3540236979283439,-0.07974539823312726,0.402222892376155,-0.039557965868975226,0.6040904266745242,-0.48513016366335565,-0.051251983927001865,0.03060499829942165,0.30084245405869964,0.044267259762456324,0.036929918409870754,-0.3244580759113932,-0.09267697494857141,-0.026003884987693848,0.12451868856360046,0.5858791493998967,-0.08857565536752482,-0.002867211824984034,0.20151308689602906,-0.10011188898158793,-0.024662215076123317,0.527762565442143,0.22239879397451115,0.04904275978008024,0.12368763086981777,-0.11854148599713171,-0.1476429122224998,-0.048556514250274824,-0.02661256380440641,0.3344934246125341,-0.3460616487176815,-0.11073886348012185,-0.07312521031100677,-0.012751281436789219,-0.2594014584004954,0.1135326810556998,0.046403766708803695,0.24094025116496037,0.11598359639859007,0.17035350555557124,0.003032322873612825,0.029644264877016907,0.5308903309827787,0.06935954507531128,-0.014296900311377425,-0.28099510176346054,0.3069293258083535,0.10169319172531,-0.15749177129510417,-0.6189693146008362,-0.03609855767697573,-0.35983672636874653,0.21605981922935297,-0.013095231726075574,-0.27233659121822196,0.5626429759108686,0.013172504896864043,0.06613969850028295,0.21746612452295974,-0.12179812752612532,-0.26989019877356285,-0.0008163951971415784,-0.5929467292826621,0.08474793037493908,0.2637431245412103,-0.054753349798448536,-0.09458987290368515,-0.09602594186171642,-0.07182035843172926,0.06251944309287238,-0.14654941328875754,0.26738234123127913,-0.20367604327515798,0.06637741765101329,0.5417116983024969,-0.07259534112026883,-0.35917206930756407,-0.15678726565024453,0.10449510080113085,-0.6690618890517798,0.4081145583414504,-0.03872170772729766,0.0363619425125567,0.2689594646139505,0.1334607070723978,-0.10812161635954004,0.10380102580466594,-0.42995228431708116,0.017336135135788133,-0.12344147338826153,0.2537084737121807,0.25061909128629184,-0.1484712073651483,0.3225355315663611,-0.08903259721796189,-0.6768248577095277,0.0011303300429244545,-0.11196789405775326,-0.46329126083344474,-0.03367981089197619,-0.08311541581514992,-0.4742505271324606,-0.054406960679411365,-0.23567574615741407,0.1567756909255908,-0.08000944806228022,0.496928499786602,0.11364076847261992,0.33694698137369894,0.13144151273632065,-0.49929209457167495,-0.04694676792630001,-0.14808175303309806,0.03367475987240523,-0.1414880972984188,-0.08792772296379409,-0.02231415456288277,-0.2840248342203794,0.1307201775769842,0.1983261453587225,-0.19611765464288963,-0.03602732271319764,-0.005771348399668641,0.17102040956730963,0.08981728729114291,-0.13258821434041385,0.05303013571577109,-0.04322420078126776,-0.035680761791604065,0.14796839276165297,0.03262325498334026,0.2228909948103084,-0.2348913912121211,-0.2796410013281483,0.41210025366720016,0.08036632902407936,0.18387105664267128,-0.10900310556577869,-0.29075551343752515,-0.18501849234866863,0.10625113885588246,-0.36787320755571984,-0.19075001897538119,-0.05327245626121996,0.14740014020763606,-0.04767224103419079,0.1356332831917726,0.04156906800623267,0.13710825331892607,0.267000045992021,0.10780277918491091,-0.147815461860001,0.09950765730965638,-0.3948481482919022,0.269276287758511,-0.26021266112576735,-0.1172389111840712,-0.3336424363164711,0.15228348015376134,-0.2982363086670641,-0.18483446033089612,-0.07374985390392363,0.34223611805886966,-0.08284344312825614,-0.5105536320543357,0.08932758599244922,-0.39347151729575636,-0.05473142791244298,-0.18789035641253415,-0.11703081661426273,0.06988421323323696,0.6339365146156969,-0.514467008955555,-0.11679557116025158,0.09801892153273431,0.3197315202206328,0.01942734989080777,-0.2093639095559916,-0.021020512901897048,-0.6403782411144489,-0.4207739846757117,-0.26491660060996813,0.5085217106011938,-0.5330729857063483,0.1260040761549828,0.04825897760318221,-0.10620847430462088,-0.07477880272298087,-0.24579675398933865,-0.45691514709693837,0.373212851138801,-0.1931679386932418,0.06786778828647691,-0.3108174559191704,-0.04017250019298613,0.06262079324319211,-0.11747229923165448,0.42258482077579357,0.6329778231919785,0.08956330675731583,0.14678431385148044,-0.007285238719633325,0.2814207966736788,-0.09699772875889934,0.0798123208378464,-0.08599644636667736,-0.26325331658909373,-0.10921708683679882,0.1349267068400456,-0.34011481338353744,-0.454477302506752,-0.07250477887488906,-0.5194567090179979,-0.11584365412926673
3,subgenre-current,novela romántica,other,300,4gram_chars,zscore,0,3.0,0.21890288864443208,-0.37098335729768933,-0.21768032461632258,-0.10725565423439165,0.385823154648811,-0.07975447198269675,0.1451395932737956,0.06364882134656114,-0.4388202474255375,0.12173863448821953,0.009018585035297733,-0.16726279214082135,0.0744549026328069,0.0876304132158009,0.06694481893999216,-0.27987652657724826,-0.13576932587735502,0.24253828269231087,-0.21892782805965733,-0.06351928394333622,-0.2551970601635771,-0.17641255619844898,0.09030411223171814,0.09464441472181234,0.05567957542795399,-0.07852834824634891,0.0903649554165773,1.074329827317263,0.4201235074710484,0.0031632272432642883,-0.05757321291862899,0.013377946084434877,-0.254442367284064,-0.3531793211272046,0.27102643595817066,0.31873094391536316,-0.05906303472098384,0.010413452593156347,0.5993413865239244,-0.38034290530751247,-0.47491153048299284,-0.1352133651548541,0.16906738916355002,0.11337517733783561,-0.18209369686726845,0.14409118021685463,0.024779318419898222,-0.37412410409193353,-0.009166003021208624,-0.20154699315154523,0.33035621304855234,-0.23771788314732664,-0.5049658191116755,0.16356121001815793,-0.19659372370340766,-0.09697750487307144,-0.013099367089334069,0.2575206711630673,0.07442911511710643,-0.19555501642156226,0.3443105418427133,0.2734654616603419,-0.04731808590988318,0.07481940172195256,0.5142013284662483,0.22690090352981634,-0.5215096726113597,-0.06593789296315888,0.22604031377173472,-0.22247343629210026,-0.2293035287056548,0.1542283017094197,0.3997392903524024,0.9630944431928874,-0.03058822621930346,-0.47688545960815165,-0.02194267863515842,-0.29814098080123924,0.16874037383994483,0.20672107134458031,-0.1554603640875386,0.06151622763463055,0.5835754264580402,0.22000307831988897,0.20759129910647467,0.24926499891591158,0.41179256133747694,-0.26015073007823974,0.5159077613595587,-0.2854976107038131,0.8210132297950533,-0.40507233175580093,-0.1035138903084758,-0.1321892213524165,0.3526003458771449,-0.24272129579079293,0.15609873853929512,-0.20926153529314406,-0.05039160769309814,0.1415811161677814,0.010045641831462837,0.6781870217222161,-0.0876405061978775,-0.07616465470091233,0.09832037349523351,-0.09954966687970801,-0.16152369591049753,0.38770068746715075,0.10749252006581922,0.13579934640361258,0.031769493182286834,0.018283842947901974,-0.30272064434042145,-0.032969683747685885,-0.0406689204921703,0.39640766208010236,-0.5956280588342362,-0.1714788683692502,-0.2810596917311644,0.03899215911655468,-0.3375715072125153,0.04385521065156439,0.06564641345645783,0.04557978521532094,-0.09219604810271542,0.0914000942515445,-0.11536748920694911,-0.02801441559009077,0.48478517027276385,0.11684529648276587,-0.04774549722988841,-0.3858836639714187,0.32926240973645293,0.2094160586740113,-0.1756752346255312,-0.6589368584403621,-0.03633727776609896,-0.3113465012672264,0.240967635008962,-0.058023771434398075,-0.3055301434264042,0.5280596897813917,0.032903068428203064,0.09778635428631899,0.20322979170232358,-0.02591885337422406,-0.2410996533088417,0.3426902400530313,-0.6975541091892536,0.20101025693680608,0.04720045123691902,0.026972033669326934,0.051827264083037616,-0.2426870258848518,-0.1388927559381619,0.08885606734127005,-0.16082266511584464,0.46105354239819013,-0.387080967543547,0.10381220270785607,0.6416939678450871,-0.06727108492664435,-0.3970739669397366,-0.13517423608705548,0.3088501895592104,-0.7070349786912881,0.5365585922736043,0.12581773374798322,0.14411796020847062,0.14342928360615587,0.05117471175375682,0.008617458748103712,0.2562604753560155,-0.3887052983814979,0.07942867707435025,0.011696647210972744,0.15817481447348114,0.36208492063349346,-0.24359889395816436,0.28867146550644085,-0.008648293582567634,-0.44684602030494136,0.13805312335933095,-0.1958307358802021,-0.5834050237106556,0.024749097093476835,-0.26516740476085465,-0.5280707231322808,-0.1562201482269206,-0.36068064049057913,0.11375627454413806,0.05593439024251795,0.4779662264249356,0.05345398466097806,0.3040320444290649,0.033464238523682854,-0.21379356194969037,0.00117525226565246,0.033468726464768395,-0.12238526045830328,-0.003403545359190574,-0.1264170419806412,-0.02480971738509119,-0.31322921923767205,0.11432830235813529,0.1462025121278645,-0.1957275637533214,0.1059278709267289,-0.13866356715736133,0.38048455414672133,0.2003924442792863,-0.18136267033569087,0.03772302350603973,0.11755822535618654,0.0354068571074353,0.13964723393790912,0.1387860183445418,0.2546206315577963,-0.19147952804858803,-0.12394431831892239,0.40199802004234675,-0.10608044330781158,0.21597888031268603,-0.21956516925657643,-0.25844833354460917,-0.09874399353552954,-0.020087978279731022,-0.38343079988002504,-0.4164003031512621,-0.13225334696718877,-0.05128827483849249,0.01570295140206235,0.03127418232100854,0.14622805518165244,-0.31888065096735113,0.26308138668511283,-0.021760459942690602,-0.2123728682613777,-0.10697057734972859,-0.45333159411067303,0.21505389356098786,-0.2840909398371535,-0.14922274927920437,-0.33933604573217824,0.34678724584286647,-0.050050646098052765,-0.26881548353342305,-0.1346562027952538,0.1183105896611022,-0.1427500557564449,-0.21246459102084103,-0.094782953229265,-0.6235329727357722,-0.017097420754337345,-0.19914113177307402,0.08741589206437622,0.24246968989342965,0.8407228457844486,-0.4487194347746552,-0.05471444502908557,0.12047893096811135,0.21503279597777947,-0.07901495437838782,-0.24082097472448266,-0.029724202475278516,-0.5778101841276976,-0.2940069917130104,-0.22083178557389277,0.5634232184772368,-0.3844620916609701,0.2196941832147134,0.032106150047753634,0.13959025854391705,0.34010562634199454,-0.2709754948450489,-0.4552183809693586,0.3563630837449685,-0.2817573536731717,0.2686252299290408,-0.29336998208802156,-0.04252198324089529,0.009705358786567975,-0.12332201932633202,0.24565683162143515,0.659361577259267,0.04355739195084629,-0.012550677929548948,0.14736594937422987,0.06688962998053838,-0.1956808194698827,0.026626490223217725,-0.06401155213637322,-0.24320511940639833,-0.21720670309250578,0.2831582347305115,-0.3764150473971021,-0.43212656267531846,-0.018158030306098916,-0.680968205869503,-0.15951604050497095
