,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl, a , ca, co, de, di, el, en, es, ha, la, le, lo, me, mi, no, pa, pe, po, pr, qu, re, se, si, su, un, y , — ,", y",. —,a a,a c,a d,a e,a l,a m,a p,a s,"a, ",aba,ado,an ,and,ant,ar ,as ,con,de ,des,do ,e a,e d,e e,e l,e s,el ,en ,ent,er ,era,ero,es ,est,ien,la ,las,lo ,los,n e,n l,na ,ndo,no ,nte,nto,o a,o d,o e,o s,"o, ",on ,or ,os ,par,per,por,que,ra ,res,ro ,s d,"s, ",se ,sta,su ,te ,to ,tra,ue ,un ,ía 
0,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,0,novela romántica,other,0.0188341402546218,0.011906499528494692,0.006182032917017751,0.010698854076836984,0.004831894393481327,0.004956359835236418,0.025622232941696955,0.013058740165405385,0.013302418430459902,0.008852417757614818,0.009560987410366865,0.009490729625562062,0.006482122210728366,0.03769957702112563,0.004028961353896995,0.007032189426291216,0.0049930277972896975,0.009930320466047832,0.007495979728737949,0.007428784659179775,0.007415444509095726,0.007123370955009144,0.008937042181401924,0.011057955146860582,0.004594992823252602,0.006257573420034473,0.005800435770880389,0.006265226993925153,0.006895120684230472,0.0028082352272879602,0.01473947264168744,0.009715986771443723,0.006904064601315347,0.02886453492813818,0.005484705273744501,0.0031454591958138623,0.0058511332850666046,0.009029900692357424,0.02054307116793852,0.005778309637607535,0.006599916101645585,0.00712617178678544,0.009960844747208817,0.018418857995748085,0.006914535135017104,0.005173994419267846,0.011230839364094906,0.002298161925167676,0.009553091739581345,0.015294575308710607,0.013857602406672833,0.006516920050293116,0.009451955666232918,0.009392350011432852,0.0032812268315216037,0.004333021108361591,0.00349653845717935,0.02780732187524311,0.009216900731244055,0.012687324650108179,0.006229682178704683,0.03061669137127814,0.004805994179061912,0.004345690372268869,0.01071104343655676,0.010478873618923867,0.009193945286470571,0.004868400056162285,0.03728097105292674,0.0028893618783721285,0.007745312323594155,0.005376876611034154,0.005785686260269769,0.008191957748311553,0.009027748994359963,0.006337657137534916,0.009142994987165573,0.003937771168726019,0.019003653319695148,0.005798660729851492,0.005902819947154119,0.009551447476869958,0.002202652951841864,0.014020302000640307,0.007023114826136046,0.023845115191393887,0.006540229208440289,0.020763821182067113,0.012652354240876247,0.003586170998131758,0.00778143213912943,0.006025054264090656,0.005739542443018573,0.013469484813073276,0.007357243431456987,0.006889387626057434,0.008693299176386476,0.034579660113322384,0.00446602524304337,0.004929413796900092
1,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,1,novela romántica,other,0.012913309616099428,0.015167819470931281,0.005162436374218106,0.01413486240741337,0.004165004596862083,0.003193838636502395,0.009258281085260731,0.014057087409795046,0.014966165688378982,0.01130219106595914,0.012454591874120924,0.0077146765912561865,0.004197010738548227,0.029824326792778893,0.0046159896673333145,0.003656595941313968,0.0029423793350005518,0.01256254250581943,0.005971948154578257,0.010130511240549108,0.003579471613649629,0.006727557269840601,0.007673196289253751,0.014867637728896571,0.005198992462126629,0.004528737684659866,0.005590466360500405,0.006368081153333043,0.00798641619740074,0.004372762992037603,0.014089178226831646,0.008435286527692007,0.007906683081364203,0.024058509120759058,0.006771038465682466,0.006768508953861639,0.005007249671966339,0.011806507051688913,0.02836698114668123,0.005544071775608475,0.00623399772277293,0.00930775284125627,0.012092984709201763,0.004860239802768479,0.011651617716997603,0.004931162804395994,0.013687562024668932,0.0029542388847667404,0.004959736358707783,0.02072135166193647,0.010558937283905917,0.0059964289840298245,0.009465947144327929,0.018051769125639966,0.0028578108362103836,0.005217681895717274,0.0038948006746496286,0.038281907204295196,0.006172654129724797,0.01881127232586059,0.006024201532896504,0.036712327907379584,0.004080035211753949,0.005887938549551982,0.013901319496599642,0.0035852645363737327,0.008881739230796933,0.002659546964527889,0.03965241084055078,0.004439114709887508,0.00450992534744572,0.004408525188596827,0.008649587420284599,0.004234530872068788,0.005607690493074168,0.008326489862212313,0.009547154961609896,0.003779077807047066,0.02291778316689643,0.007914079259131908,0.008448027246242844,0.008171191527386878,0.0029855161259701828,0.02017345482282712,0.007524197001663037,0.02093155248070644,0.007890248131075753,0.014821254302270626,0.012120396963069787,0.002187018842003132,0.0131393724303331,0.005681951547326841,0.002993947611709105,0.013290906298153868,0.00788579679127446,0.002276949404129125,0.009455308010323292,0.02555747276003928,0.005961379068362754,0.008036558178057608
2,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,2,novela romántica,other,0.011268993272472733,0.017562140888050966,0.0032694468243452263,0.010111514703592292,0.007823524448775841,0.006035128667006572,0.006788735042213946,0.020129078928995976,0.01181541783522552,0.010546698957392431,0.007788513752031104,0.005810016279173617,0.0070085162110388646,0.03788207089251117,0.0033448883070683133,0.0034407395871687723,0.004471350701834735,0.013462529870197961,0.004606932862063479,0.009342283516955756,0.0024402758100962357,0.004395726943509419,0.005005227087212441,0.01869520341866547,0.0029279949226140743,0.007585750901613043,0.005384346835143721,0.010295913644549279,0.011141266936494849,0.004224609353977145,0.015120895069155385,0.0035727524652592224,0.00393519356014299,0.021833108320656876,0.0028105910143409567,0.008810259658625775,0.0052897892695125395,0.008101643589290261,0.033030383249480044,0.00424293708722574,0.011752295583365501,0.01001310023347153,0.01041737340925924,0.011132386349591994,0.01961107543907628,0.005337708147012324,0.009899816382049708,0.0027916527629631466,0.004620880222846097,0.02390336686447534,0.01395283621423564,0.00985172651795852,0.008988629799906235,0.0119081400136769,0.002291042244959672,0.005858359816393012,0.006889828341089259,0.030070895780365873,0.0066118763424333725,0.015792643651031193,0.009974622039485348,0.04174251075649142,0.004942565658185429,0.0023182827086691204,0.03064183586980532,0.007324691368756016,0.013293324361772321,0.005452554751709648,0.02892037902921445,0.00290062221703068,0.001850148667903334,0.004085601691323323,0.004410580120246083,0.0048459110912111025,0.012945592536608286,0.005504464286972228,0.010400531050836048,0.005480174029829745,0.01718756117319374,0.004826389485256509,0.0027484554651444034,0.005541155214003796,0.0030730759376047623,0.016130699503921906,0.009640847068783168,0.016235551685526865,0.005234515153969014,0.013951208558471196,0.012876368887768098,0.005314704273754048,0.011941599328277526,0.00383901354893282,0.0020691918826484194,0.01250122018307899,0.008608873413495068,0.0065815943292153655,0.0009856367777549828,0.0321896500566237,0.0032191447125030836,0.0052211263221810696
3,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,3,novela romántica,other,0.009149337533928867,0.01220683462139318,0.0016406942292532698,0.013226021839183333,0.007810102229838508,0.006968248695062346,0.008812458802296254,0.015118288294489957,0.015815579763856256,0.012173944867351263,0.012136847760348114,0.011801857762881587,0.008973809778159796,0.03196177238166945,0.004086486614872676,0.004665492373340032,0.005676082560298068,0.015458945251370766,0.006348087837040995,0.008835532576600594,0.0026547278563682224,0.0051811288022004165,0.008289698243689162,0.014811675232850319,0.005437577290827174,0.00873734741520595,0.004824754679586169,0.00718519854441927,0.009285914847203766,0.00374958499670558,0.014825017679927506,0.007260489017725121,0.004184184526280514,0.026701474936497566,0.0030692569874199334,0.003369542377847526,0.005689432475945999,0.008663525568853515,0.0315314341455685,0.0036809984175301363,0.00940399523906487,0.006709945251697746,0.01004938307727259,0.008369734051302412,0.009059608441613087,0.008746549306664252,0.00819835045913974,0.003940465874842224,0.007307347081019978,0.026439026688895296,0.012273664967950156,0.0066967471429081275,0.011304450920356873,0.016810014361100606,0.0030590066317732253,0.006324383290706543,0.006135700988248264,0.027107082239307925,0.009997811372038656,0.01538171992051137,0.005386081535160809,0.03431455992691186,0.002489808136558405,0.005532758621587993,0.016355819156903352,0.006107047230131561,0.004478960338212896,0.0038781804064934,0.033025161039617335,0.0023786707272053474,0.0015142987261536434,0.009283716982066538,0.006089514695654825,0.009367981367814741,0.011500475079637296,0.0064102810623893405,0.008055513132744435,0.006079273975397383,0.014756155655808924,0.007805394043333045,0.008014719829696423,0.006237137137102516,0.0033228206108267804,0.026466778587180512,0.009413683745149684,0.021775626023809308,0.00558853239653587,0.021017301602152438,0.01421385640051491,0.00391692347665479,0.009069047755777543,0.006391979911536189,0.006588315035077306,0.013760418680354089,0.007965175673288867,0.004005409624055713,0.0024723257624146176,0.01941888112279023,0.004409399105373185,0.005827638557624296
4,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,4,novela romántica,other,0.011701102879012099,0.012071778347027797,0.0036098451079003544,0.012404113693106232,0.0040102595757964075,0.005760540789238215,0.008693780868839728,0.010491144747938198,0.023797297329724607,0.007793125504719555,0.006059001097395533,0.019171232033835726,0.006727132485794223,0.022860297554421923,0.0030546020595393656,0.0047881386761708476,0.004442038312856492,0.011173209533923813,0.004538501960793508,0.01087824331080053,0.002401718136994751,0.00781125093708883,0.012979109717986803,0.012071765686971275,0.005168283635345963,0.007748705473470849,0.004235322385235076,0.010097823015733677,0.007873096028573178,0.0014304599320787655,0.010007100235895551,0.005312471405164688,0.003005244334386285,0.024429252972921856,0.006642418041985156,0.004601800124417151,0.006607149697863865,0.008804321369037249,0.021755059788368468,0.00631967282892051,0.0070363955057382455,0.008005539847737827,0.006629355482822505,0.009660192236954308,0.009301982134837414,0.008043818248464266,0.01590097659748806,0.00527979052635213,0.005588073743206141,0.020654597868847335,0.00739241924865267,0.0055169744299998665,0.016715479046222153,0.014452707835273833,0.0036373901553155923,0.004355200374088458,0.002229961428017629,0.028344095395098433,0.017558148503453715,0.014036385122761034,0.002704534037293796,0.029302452530371063,0.004978450661148664,0.0019431403206790427,0.0173767472909622,0.0064161085295772816,0.007814866744619713,0.004421963889121291,0.04597239539007589,0.0031705963915854576,0.002224242018618748,0.005039585483134029,0.00959208760234498,0.008619465117383708,0.008316437680918476,0.011029343232455621,0.0069720667275294055,0.004439501490347048,0.03426411982859806,0.011427175521386786,0.006719980736569351,0.004514849634948096,0.006531207145133551,0.015873609776391896,0.007428916458448348,0.030307917772727445,0.007743052423155908,0.013447218966204886,0.014022739394989311,0.0049900259882119935,0.011054632265904132,0.006680910991595893,0.004266235278300289,0.012226888072358286,0.006948560820699845,0.003798833920222197,0.004712589077618403,0.029255477231497542,0.0024469500953711583,0.007337228112893479
5,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,5,novela romántica,other,0.010076168246698795,0.009850126484443177,0.0025710012210422586,0.019797938030064376,0.0039151884365217285,0.0061264694361204235,0.008310252315485111,0.020068582976813527,0.010855877268021985,0.006888924399916696,0.006543456968263899,0.015407111741650874,0.006961512276722127,0.023014981311277275,0.0042886965525869136,0.0053366125351171885,0.004786824164717065,0.005072043592567883,0.008147913181819153,0.010193003986280815,0.005635001301313664,0.004846827827387543,0.012508109062055007,0.013669877545945112,0.003819864896100274,0.005493101286639879,0.0031696077754382376,0.011989490262289529,0.0053147080674886835,0.004089750934188514,0.01997058789166188,0.0057169401248738936,0.004811514276353116,0.019969426178101102,0.005243113361714808,0.007967088716101668,0.008364244877579127,0.004590742724341117,0.03136070476580751,0.0039038459671551797,0.014136750574627979,0.006234791854761004,0.0071698119029534576,0.007569648870621139,0.012582021608681843,0.004470743257220745,0.011381290060532224,0.005818017490071401,0.008401972007740274,0.015153087373660407,0.015106791288686316,0.012521563908943427,0.01873823625453222,0.01610486015531819,0.004669969324240155,0.003964646300582757,0.006507437632895899,0.027515561072959306,0.003980813521747545,0.01022584613852198,0.005986444049798221,0.037997606018053146,0.0060075451240435415,0.0051597350662109485,0.009003209020375706,0.0066039517426840924,0.005573981642549972,0.003125960239740596,0.04228915379030247,0.0016298887928655609,0.003574196525983088,0.006051730506915371,0.010838484764789609,0.010405356630659801,0.008904705410101785,0.007997294895460312,0.007890147900212521,0.006818882118350003,0.023745836798030728,0.006549971875068668,0.005167392508982186,0.004583856366555133,0.007768482174551026,0.01584783897058174,0.005873331056167457,0.024514067578177343,0.004903529720434057,0.014861957885267169,0.011661411558664118,0.007467618972816887,0.018446814232596392,0.004431770059838883,0.006681715419296161,0.01313492283310178,0.005827276250468675,0.0048361916173923205,0.006254903370685443,0.033323008813777116,0.0022129562408284304,0.003145777889656172
6,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,6,novela romántica,other,0.009253809189359693,0.0068515224308342716,0.0044610881053453915,0.007266147932362097,0.004281683847136946,0.00412004181949146,0.009900770463069796,0.013107701458051998,0.01163839777140194,0.00547256955911335,0.012137373704796414,0.017388802291135135,0.006668705634857657,0.048502584809138785,0.005230802925439325,0.003947129738267345,0.0033252453855609934,0.006117786845388856,0.008391071559724591,0.009019756874545837,0.004133758330884599,0.003394510138181805,0.00809853663481345,0.01000365645972392,0.005173251157696002,0.008147376081396717,0.005226078338335913,0.012255223563724542,0.009122013024871993,0.0038351345737982303,0.012737928341697128,0.00613033538347721,0.005287120715132112,0.02315176744210772,0.006791301077376468,0.0044157116205614105,0.007016602932325776,0.011906905744682486,0.024811777892037208,0.0025326650572329505,0.01616761808566174,0.007737769254855084,0.010294093216196223,0.0055235616404131094,0.01278120286785823,0.0051941259892731425,0.008500990975309432,0.0034693346745681367,0.009413670951795947,0.01436975154451482,0.014982636733938294,0.010409435669271624,0.013364810244238282,0.010223402166608135,0.0022850431446530184,0.005991308246425099,0.004441199429916316,0.0357500161564302,0.008459460810810431,0.00633215397519965,0.00293208498331442,0.03325576623475841,0.007708928567324212,0.005141555944633665,0.01326841571938073,0.00706005917080456,0.007379017147539976,0.006371322779862398,0.062414388725574185,0.0034156914736392127,0.002984136152120543,0.012326728181506263,0.005975475183854246,0.007109925178408722,0.008678646596665708,0.006745798674515758,0.003237155403445229,0.005208923817262476,0.011712700564604203,0.005302277224558098,0.005882073569408992,0.0028631195110986637,0.0038966222002646193,0.015003089612971405,0.006431265537139016,0.0313880580612658,0.0036106174654887443,0.010510420483606373,0.017592920798752496,0.008246309281546967,0.01565197609092574,0.00641223284094478,0.007763174378444031,0.0037707155430903847,0.00869221982904633,0.002553933212417596,0.004735893409390455,0.04092297065524086,0.0043722683422869986,0.004524888819880418
7,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,7,novela romántica,other,0.01797081414616264,0.016037563324329554,0.004841547043615721,0.011733770625789407,0.0026917699269643045,0.006698000255468207,0.012427695730671892,0.024535082133893948,0.010757583076942414,0.006448119062417265,0.01241151084063945,0.01070314015275929,0.004801784366788568,0.01693551393694897,0.0024356219417758984,0.007889277354575083,0.010804441594542186,0.012033448402395232,0.00833140173747955,0.012763949696135403,0.006081266248991063,0.0038208771912130765,0.009742177675610919,0.008093199424803573,0.0029980731763440075,0.008217415167382542,0.0045895941445145295,0.016170655789574367,0.008036353603563529,0.003619682943885785,0.02220149155227055,0.004755528086182609,0.004996590142147954,0.021208515705988844,0.002037426253655719,0.006470337841787591,0.002020223033429634,0.010240349236520209,0.02627424835484466,0.0030204602319815455,0.007881027139689875,0.009198187411299498,0.01019566469421578,0.009927165731342858,0.009735495139708193,0.005920042368399005,0.010525073216413305,0.0031762852735191935,0.006834284399805791,0.023530316278477712,0.007068197133947531,0.012822666097435745,0.011475583356656239,0.014148000749525403,0.004226786743388319,0.001739421738832971,0.003294148205007022,0.025018161864789577,0.0075515613078559725,0.018607218825192135,0.0058970011350197625,0.03270069229522214,0.006880967046800264,0.002186301986036364,0.01383184487416272,0.0066396489696944495,0.006487921319395082,0.003796158484019773,0.038087599181421586,0.004024367011282828,0.002571699864881777,0.007024679044667146,0.005139093931952348,0.009261707036434494,0.007262910909319334,0.006065791507086655,0.0037953147441197664,0.006708110621089632,0.02002030988685003,0.006987098704249054,0.004170272576637756,0.007946941247768475,0.0062813737609548614,0.019545699681832427,0.008689644330061289,0.019618597587489756,0.00435141538114785,0.024588867286054188,0.017792965544996212,0.0027514816435688203,0.020010251489348096,0.006749195878661151,0.0043858631683896376,0.008175919326287239,0.00881795985934709,0.0025850000256314276,0.0032560424630896675,0.031132181436859144,0.006393351314861645,0.006665968612818387
8,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,8,novela romántica,other,0.010750460212671637,0.012298544259116253,0.0045401053790334435,0.022286664895697823,0.0045193850655764235,0.00455298174719313,0.016445035139170134,0.018736795726850258,0.009334858542530085,0.007504827858240219,0.007827943573558678,0.014029671798710681,0.005787520658583396,0.027275034477365637,0.005292142193750647,0.006021389305583953,0.003952695483535432,0.011771839971871433,0.006556242865028516,0.010124240077384815,0.005367948799165662,0.007718004152107333,0.015820775834755434,0.013993741418562035,0.0051582048240198216,0.004481211729571857,0.004790118883400737,0.013559977739365415,0.006178279859275438,0.0023046460793523173,0.025854345362974217,0.01055487976020989,0.0038287837272723843,0.023213747765596402,0.0059032967366983175,0.0047235189694694825,0.005381466086975052,0.008869434738095133,0.03588347931937922,0.003847310586703284,0.009977919167810798,0.009083828790484895,0.009139709951381839,0.006443574309658199,0.013189207468223775,0.0018744828376732567,0.010732020272566232,0.003596186542394635,0.0030792284582883476,0.026810431388672916,0.007594331123096457,0.009895319543735423,0.011260919110131782,0.016610641794752492,0.006165967283866143,0.0011135593444281592,0.003306689094744799,0.018207422367625313,0.009407736109389223,0.011966263681085252,0.005263850311215117,0.030530025946078107,0.00992208294417072,0.007051472206242587,0.009506557278839367,0.007091715386288287,0.008082553853875098,0.00520976431540873,0.04914139980251102,0.0026284118868052622,0.004949078363153979,0.0074492713553759565,0.007414437882273687,0.005343576214353108,0.012328879446277188,0.007552400250072489,0.005685638693212678,0.006361761352568429,0.01470908279806068,0.004216611741389624,0.004175151479049767,0.008889940412188432,0.005070557183432512,0.011873552732450336,0.005850394813818351,0.014834475759356569,0.0010778928238326963,0.011216681206455376,0.015557571912377083,0.0043698298725421,0.017530499886561284,0.0029221512433643625,0.009830761960992031,0.012246223466554225,0.007993042724828278,0.00501881860833291,0.0034116538574837205,0.028063936966565766,0.005682679688956555,0.00744862112827375
9,subgenre-current,novela romántica,other,100,3gram_chars,tfidf,0,9,novela romántica,other,0.01264160247532745,0.016127102833767514,0.00379186043389854,0.01815663081007775,0.006705438918460058,0.006640910379049681,0.021395324957109448,0.024996271621156158,0.01635464505409668,0.01005257453659323,0.010963099922957848,0.015493872291079768,0.004779258151571367,0.03163840916012045,0.0045671699305051,0.0029998111205129783,0.00777712553513309,0.010917658509163167,0.005966355427513737,0.004853316721677863,0.0049198939419454945,0.004038590336574181,0.013672998268700741,0.009460676616031675,0.005280964164247348,0.0063548979678196,0.005313465094322353,0.016176227382243308,0.007933180855301432,0.0026888375151417694,0.01803438280594652,0.0036634680271935183,0.004105726045470411,0.024631706371085055,0.005593966600585348,0.004083586092550112,0.0060382334606789234,0.0074044645839709,0.02872059640505116,0.003075956311213645,0.008165134224378383,0.0052119033100905795,0.010158456757471608,0.008039810222262305,0.012306777912775013,0.005896969616113729,0.009965837635478226,0.0034812231807065837,0.0029018963121304393,0.012371154630319781,0.009682479456810007,0.012108810196555025,0.011969304855247682,0.02355440305543499,0.004104966484202871,0.003442881806620355,0.004580087160592568,0.018883067629668123,0.007615847660486156,0.007444034038756629,0.0066359847711551685,0.04223435413172463,0.006014616256054155,0.005509336634041863,0.01087152279950662,0.014483394763415858,0.005175319685610883,0.005690156692720728,0.04238533500912403,0.003010030358780015,0.007556341308330759,0.005164747110781195,0.0051456280659007425,0.007083824407277314,0.008352540187687628,0.007784444440863041,0.003622545915942488,0.003666223728198876,0.014273414664887225,0.00849392271673675,0.006714267236849872,0.003985050116368975,0.003817920908691734,0.014066646546254492,0.011179144870335951,0.011475323420846999,0.004460004776980122,0.0106893466461307,0.020180575803938762,0.0036576508889192933,0.019628260539998464,0.005430201342150807,0.007472547402986894,0.015497353513562689,0.005346218744226907,0.004969087295627999,0.004334850458871831,0.020488188420408976,0.004943050581217047,0.008615323054945046
