,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,de la,de el,o que,s que,a que,os de,que e,que s,mente,que l,de su,e los,as de,a con,en la,e que,es de,en el,iendo,ament,aquel,ación,de lo,do de,e con,o con,que n,ue se,n que,e hab,encia,e las,la ca,de un,iento,que a,mient,e est,ombre,ue no,que h,to de,iones,ndo s,ndo l,lo qu,ar se,ón de,s con,señor,os qu,cuand,n los,por l,quell,o por,que t,estab,con l,ra de,staba,que p,a los,orque,ue ha,de es,do se,do en,entre,el co,es qu,hombr,te de,el ca,con e,iente,ión d,en su,no de,contr,ue la,que d,cione,e una,ue es,uestr,por e,que m,on la,parec,se de,n las,los d,de qu,mento,a par,ar la,os co,los c,la co,que c,antes,ue el,a por,e sus,quier,do la,la de,se ha,uella,aba e,ontra,la ma,o par,los p,ado d,do el,os en,hasta,esper,entra,ra qu,en qu,da de,as qu,do co,e des,or la,ndo e,on el,s par,las c,conte,a est,e aqu,a com,ta de,ro de,e par,ieron,as co,o est,imien,el de,ado e,se en,a des,or de,ía de,en un,entos,ue de,no ha,no se,a una,a las,ue le,despu,r que,tenía,espué,n con,nte d,e tod,conoc,el pa,aba a,hacer,o hab,io de,s por,mismo,ado a,spera,y que,ndo a,razón,ia de,ellos,or el,n una,las p,en lo,inter,a cas,prend,a man,n sus,con s,de mi,nuest,na de,acion,o com,noche,entes,tiene,resen,mujer,ar de,lo de,ue lo,prese,do po,la vi,nto d,empre,compa,de co,prime,estro,on un,r los,ciend,las m,los m,ue me,tiemp,iempo,rimer,s los,sa de,ue en,os pa,tante,oment,on su,quien,os lo,ad de,padre,llega,los a,s com,ar lo,donde,e com,en es,una c,nte a,estra,r con,las d,n est,as pa,el se,enton,nte e,e pre,e por,o una,ue co,l que,do qu,con u,os se,o des,onces,una m,do lo,se le,tanto,s des,ntonc,tonce,puest,se co,ra el,rando,coraz,pensa,y con,que v,s ojo,tando,ancia,e hac,el pr,labra,er se,de aq,siemp,iempr,to qu,la es,esent,habla,alabr,a ver,ra co,ba de,an de,ba en,de se,preci,palab,uerte,no es,ara e,dad d
0,subgenre-current,novela romántica,other,300,5gram_chars_word,zscore,0,0.0,-0.12734004171264318,0.6871111641126948,0.009693808997907227,0.019734775738836752,0.7237979679235498,0.26530356597004295,0.05586710021823432,-0.06815802278970645,0.1549140450218204,-0.09953020010543653,-0.30244593405802844,-0.2173346559043257,-0.11528850039710475,0.1262561983273437,0.6212650676308249,-0.12316992923895315,0.1401506377543908,0.3488734780425493,-0.07126576464065111,0.060497453784522426,0.04443906191299421,0.1138382364919373,-0.15958348108644183,-0.019426542570989885,-0.22437272491155896,-0.1910202018381059,0.33734294378935464,-0.11693227450704716,-0.12493375260132455,-0.10084698553638567,0.22011136119096472,-0.15226222888454272,0.2757276415557358,-0.13767495164145094,-0.06218704517356177,0.18818364062703397,0.04672795675493939,-0.6280038445180663,-0.300189730335937,0.4791633736602213,-0.141525305044532,0.230674368151092,0.1525904034464197,0.016720255842540804,0.15084581952863416,0.41005008791250325,-0.34655155110417624,0.3243032913403647,0.01541312296759334,-0.450444801731537,0.07926507181021947,0.26416308943900446,0.050321514314505794,-0.01268091497790974,-0.050573888477828094,0.10652428240033893,-0.3291331752291705,-0.32644787749984433,-0.24432209318430603,0.2945198906572081,-0.2258085809306405,-0.07086663796423476,0.12178457877245841,-0.6006759143218681,-0.08816673755832682,-0.4006566777517845,0.0764709290382998,0.2344280149145504,-0.06626158637534835,-0.3594306064381676,-0.11021027492333996,-0.23219495276454993,-0.46802332678321856,-0.6132934350983773,0.11677400125171429,0.7267091427960745,0.1300981270126286,-0.04957941054522383,-0.2205035565335632,-0.010741281132344349,-0.19904192350606498,-0.1394927182815013,0.1823377267127586,-0.4717131386453087,-0.06418586226301232,-0.27728171294038867,-0.1567473110821121,-0.060032715245654816,-0.23425185634294274,-0.08154608135801894,-0.3554147675081738,-0.06860892026850107,0.232652963801533,-0.2548657368097145,0.0789587352918441,0.16651084505397137,-0.2291834859335049,0.023537370991590284,-0.0039996205543046115,-0.08707878927503179,-0.10677982919475126,0.12148491857794058,-0.030922654859303123,-0.05467623622143941,-0.24179280298262976,0.16205198415280608,0.1258328954805426,-0.0523812917198551,-0.3675142931640564,0.04670026637785486,0.2542984199310532,0.020865154887158205,-0.07044117446063627,-0.3869361201466074,0.06769443973093875,-0.054716973726608845,0.2233101739461897,0.4896242066205245,-0.02047290252944614,-0.23388171438264893,0.23753747971804245,0.23645340208525142,-0.006921163060936167,-0.2278908922537551,-0.19266125216828622,-0.056409144866091,0.20837105959976004,0.11135152777656104,0.30962021296729736,0.45940535629899837,-0.135305183696055,0.29618846144243527,0.016957313367739535,-0.04565328894834424,-0.5169509887795923,0.536343821276816,0.4672821331172399,0.11693830467697097,-0.23220250875473536,-0.1225648285692853,0.3836904178713456,-0.1820483184295658,-0.010900344236047348,0.12980515451541846,-0.05478471085314403,-0.15346713265796091,-0.02083917793155339,-0.17842123751314382,0.262253910555464,0.2106216515245481,-0.04134450177251327,-0.07382198619349092,0.2980153595103552,0.2541549486776307,0.08562748926556382,-0.19627352015618926,0.10408961217824336,-0.10969840879540475,0.20968789222869708,0.19758480108971418,-0.11740003236963927,-0.20634394254184907,-0.2000492071069652,-0.1019490057822614,0.17338114084744263,0.04778499791542904,0.5706274554703179,-0.3313897399029885,0.15655872843583152,0.15688838482584486,-6.770287229465599e-05,-0.22983917963203104,-0.09128096796057406,-0.2338164181153124,-0.2801590691541035,-0.2509595925045463,-0.32365678046664537,-0.18632713032087087,-0.4850114478548472,0.035054479360621796,-0.14611903804010976,0.2207845550982649,-0.19879571918273603,0.6045834462656047,-0.12431346048697442,0.17727316414735556,0.03442512438689912,-0.03778561854945664,0.06780556317991782,0.0035436880365986856,-0.4374398933182878,0.09104065977692363,0.1373408632929819,0.205119554841065,0.288423700390928,0.27326309308665286,0.2275848129507811,-0.5469410390117387,-0.038708231299720175,0.23686644843572685,0.6453534962394429,-0.07050192290576698,-0.5650859970407865,0.4599977375136967,-0.1815262043876465,-0.2131377555091441,0.034973781243623825,0.3723190520085735,0.3847267575594013,-0.15806969052060535,-0.26517707229464643,-0.05794376910559834,-0.016985872670200422,-0.10217578268214297,-0.26389984635648933,-0.23647652780454478,-0.21182277246982584,-0.05924834450044347,-0.05924834450044378,-0.18840370177666318,0.03919107185344711,0.33395408071564625,0.12503094765831618,-0.0829665910317241,0.17966494918490267,0.14939117940834085,-0.04127102233213725,0.05867614442045155,0.1697366076524742,0.13401589757092466,-0.306266789645063,0.8104622394907888,-0.005317675075429712,0.13738245532918714,-0.1465022931907907,-0.17897839132240936,0.2697693518423455,-0.015306421802441753,-0.27121919303655484,-0.28148006818112514,-0.22735798669709112,0.06557009409480516,-0.10175710688400397,-0.28000513089176815,0.07595854396081239,0.2981760559216386,-0.055280605880236755,-0.1856846417590132,-0.2176994537353951,-0.6492070974803941,-0.2433313145308895,-0.02757584476101138,-0.17159646501301884,0.02459805074409746,-0.038691684845936325,-0.36467719117252967,0.17038709332182977,-0.05287682850738218,-0.4249616321290187,0.2100719273835099,0.09137526900690418,-0.05937816530110361,0.09796081934693851,-0.0886284670100129,-0.10894773226449714,-0.13264579543975108,-0.1191779411766741,0.26117080789150837,0.12676692977756726,-0.3784675889310718,0.13887117640830574,-0.25210869812982784,0.004840370172275149,0.0784134622657805,0.2917613922656906,0.001087270946887188,-0.040852905437401554,-0.16658852228971477,-0.0479819877714511,-0.3201728087438324,-0.40112345581224074,0.2009257976251486,0.20234614678678375,0.1223488549499652,0.8012573355692125,-0.5414650339501402,0.1739782091097357,-0.09875559390177972,0.061554238481153434,0.20981913930739504,0.5783539755466514,-0.05597885502107755,-0.13663623548082202,-0.005668722285979866,-0.5924904822705804,-0.08538655627478477,-0.21011540071438528,0.06832375542915378,-0.06481949444481074,0.07896391417718057
1,subgenre-current,novela romántica,other,300,5gram_chars_word,zscore,0,1.0,-0.14261657884122234,0.7987261392270553,0.13083503892062442,-0.18460117526360328,0.5810697982710188,0.1526730417989276,-0.020250532664875226,-0.1694876700992661,0.25169770849522344,-0.13421129776357488,-0.27290867488758763,-0.23839124184429414,-0.1770921568844212,-0.031724248354476736,0.46726309651089554,-0.17463697332214673,-0.012487083031022667,0.4667668566366926,-0.011987735531102738,0.20900916480885376,0.004028411320407779,-0.06300351013494299,-0.19018003314936088,-0.08565597833730706,-0.1647886915279846,-0.3386554857770711,0.3394287994724673,-0.10059751581921422,-0.02425639231389909,-0.0913645950544471,0.1156834999485306,-0.17679528350844462,0.2981844889705815,-0.09937336437968586,0.14652788012924095,0.22816273655043326,0.15994787089461687,-0.39987405918468183,-0.39398246545178195,0.47164342301434564,-0.18370827127599273,0.32371073957542884,0.11307805868877804,0.039603151641852095,0.08518524310979175,0.4915567270827211,-0.24072187888384752,0.19152228524766393,-0.010075684662724765,-0.29540052179907283,-0.1367787065452744,0.3463478716523572,-0.00021508031345343626,-0.007359714765044212,-0.012416878540098236,-0.14121560293702726,-0.20496010579190693,-0.24476923058910752,-0.2509112164411382,0.1978153226387454,-0.10732425617998362,-0.11577281877745593,0.14234895916323176,-0.8928987231979768,-0.09403218676642812,-0.3400073007951837,0.0949935540372514,0.02319713467986062,0.08693383393478468,-0.44771571832853785,-0.18999297361232056,-0.32702119056318846,-0.3167437193905782,-0.8655803964727345,0.21079049121205504,0.744255059107741,0.08453793016743005,-0.048843369554883,-0.044727890966624634,-0.11663593123811417,-0.16364128093745234,0.010479616911667766,0.04920299290147177,-0.269082820977779,-0.08325297728819533,-0.30647625314654797,-0.2706053417482474,-0.07486211623647393,-0.2435318319343064,-0.10496923938674474,-0.39357354808870415,-0.025926014370892286,0.22980502601901642,-0.1546781514377459,0.04833939462450779,-0.07052213543681403,-0.06565940531845464,0.176817894534496,0.19448048813406646,-0.0959028498293542,-0.15579825153036805,0.2851345741780814,-0.06574561575960025,-0.05046754529418879,-0.22932903168843083,0.3502872849160628,-0.07562222037284638,-0.13347745608992276,-0.37874799031822826,0.11097760258707254,0.15307171759226523,-0.1131230354601983,-0.1326841405152856,-0.5050895412623052,0.16803339526572678,-0.06099442585004833,0.2176347882712531,0.3873940956251951,0.1556772060098977,-0.15178104364411846,0.1474449068797621,0.25449719330213194,0.18625705882944893,-0.13559828185490017,-0.4455317020404457,-0.03398056399357327,0.14665134204262478,0.1356955331527357,0.16430204907962032,0.40566810252000696,-0.13167630386725332,0.46027345261711333,-0.1619636421795944,0.009156260682880356,-0.5277922785967051,0.493897083195422,0.4069029722334917,0.1400613199798022,-0.38277677857344755,-0.03598701988976087,0.28804465695905607,-0.16900361508168232,0.12240278331937131,0.1298948101971213,-0.11383328917491128,0.08063430814220005,-0.12297728943040583,-0.1756896484081914,0.24366513522792305,0.18163875299605886,0.1097609211424978,0.13344918100306435,0.27853525318599165,0.12782758714086215,0.06461266006889618,-0.2282173561496726,0.12669929353933723,-0.02648873445362976,0.1018590455391748,0.22902178472315254,-0.031163317662942294,-0.06548525871255437,0.04840280204029827,0.014470821268353709,0.04917650915029292,0.10197214167057933,0.5521693628085751,-0.1697447806612553,-0.013554184246196359,-0.07784324086500904,0.021816707992055998,-0.16369636700947465,-0.0758317193266457,-0.2176195526060948,-0.09276692749056181,-0.09355496922104405,-0.3206363737542942,-0.06921869970864639,-0.3221560773928021,-0.1128050216071849,-0.1552046631098425,0.2308655207237679,-0.291475921068329,0.47459173486389206,-0.09683492853920349,0.1108721789816347,0.19011704521007464,0.13335387407173294,0.11679900380542023,-0.04279455815723504,-0.5230829778183259,0.08602201848566488,0.13797945865153768,0.3572983883489994,0.28321764997141086,0.21078169586204018,0.14204776335667643,-0.5078477259507979,-0.11437264606653696,0.2781885045901349,0.6617991545891712,-0.16021246419477278,-0.5284933344896708,0.14532405760139905,-0.31355752399996484,-0.22061723232800073,0.0926932341308214,0.5304944571285196,0.42633812075363076,-0.18504036236441096,-0.3585359097177716,-0.22968244818692368,0.025665368441018632,0.03634361848054615,-0.05613053825775463,-0.10681296736240352,-0.16166698817256764,0.09060068926444823,0.09060068926444928,-0.2293055377884482,0.05339286710042375,0.3078104035627126,0.1726266257556141,0.02562312568424097,0.16748617720037584,0.10458516893598648,-0.007672527051579309,-0.09479031679396789,0.020595629619259065,0.04315510743034559,-0.3712547463069988,0.725255426331112,-0.004464118557943514,0.245950690170753,-0.15013933881204314,-0.26378198931703195,0.23759531112070675,0.12662803797064875,-0.07220408635350312,-0.09685120245841336,-0.2231666052774497,0.050018750056027905,-0.12893345082145646,-0.1428081604792174,0.058045738349021686,0.28359508194931005,-0.12584731781653896,-0.23383482971162942,-0.24891084211179842,-0.43129446125607884,-0.04562449634889863,0.12799114613292376,-0.11848719837302676,-0.04741896574893621,-0.1650136623268868,-0.34212641613033024,0.1890363384243177,-0.13366838673669296,-0.30992643568545775,0.12095901162451578,-0.07182978124719197,0.10478805216526413,0.11758139157755218,-0.16089635238694014,-0.17261020219628403,-0.02843882407651413,-0.11446100745211193,0.13064551179774242,-0.009661765736471803,-0.2876964216809689,0.1331887561066052,-0.3047441859868732,-0.022314855757797625,0.2331298644441804,0.1416004708862734,-0.03486389268531189,-0.10687168096679238,-0.16897030350262462,-0.07986621964723208,-0.3407098847983597,-0.45349411926625105,0.2152604358831501,0.2167278697499654,0.1316610568091371,0.7496976249562933,-0.5103901237506091,0.22072444665254737,-0.10315661102397752,0.20895734383898987,-0.08146283179811378,0.5255111917361468,0.12327569590673287,-0.11600615182012247,0.2585530612836473,-0.6583883535436728,-0.09678497833073345,-0.19081212624962374,0.15867985828566092,0.15001002475421069,0.07919588875758699
2,subgenre-current,novela romántica,other,300,5gram_chars_word,zscore,0,2.0,-0.07974118065693903,0.6397906537874383,0.16340372363783529,-0.09362824024629979,0.5577631315849029,0.2510313502297078,-0.05407016214918747,-0.15630471765521636,0.12541163533505928,-0.11323483786768818,-0.32521657683377536,-0.24701440871507496,0.046945530658512036,0.14914713611868324,0.3036693414952029,-0.2058542135359953,0.19996766725887127,0.3505358729101282,-0.09096852012108025,0.2828712166167364,-0.019574213548005703,0.06275123219370793,-0.15075681832110233,-0.025544999906772614,-0.15558668745025306,-0.26703359045528924,0.32248330313255846,-0.13449649100746042,-0.049652236910660896,-0.0731107336049337,0.23174380300291175,-0.09841526046300597,0.30547193940986284,-0.18754151531496666,0.12758469482602236,0.26067087854045384,0.22028902420172514,-0.4987088466524578,-0.29498872697128387,0.4562903730585881,-0.2919876286742674,0.18803672633933388,0.11332647438048224,0.006358605450066446,0.14795668452429622,0.41152379899778685,-0.24933584507474443,0.2543346208669748,0.0656639924115619,-0.35709380746050834,-0.061355640786711185,0.25856581492193875,0.1132689380110049,-0.012175599100703316,0.0017109711552885098,-0.08608495430672858,-0.16045608251548504,-0.3293044943029222,-0.2139564499240647,0.18543653770712537,-0.23118685128813476,-0.2224394274669106,0.0842143461707936,-0.8664646058846359,-0.22621731884078033,-0.44553868463958096,0.018027016462458023,0.04872928631652407,0.050515387630193476,-0.372039417990912,-0.27204125866770923,-0.2063621294122735,-0.39470036188265606,-0.5674029420810152,0.1469630628473968,0.6674157301700359,0.15974612433389024,-0.3124640518089129,-0.35243683830034167,0.0620574903136033,-0.14218251822183547,-0.0960294720643261,0.1379746894027285,-0.29349545979090774,-0.002203235884481569,-0.40809830771441025,-0.29746013012282924,0.014242106214389039,-0.1823099629914504,0.004967288335913866,-0.23908716875226999,-0.026546734693569052,0.336679772767025,-0.24760729748406307,0.020968107025887472,-0.24831020325697828,-0.08818085169354667,0.04070552660428678,0.14034758960392812,0.06787475978419039,-0.03439950734811936,0.12916032897907925,-0.0122811715305563,0.04459680279425138,-0.25956997588205455,0.09503747281480024,0.12339995675717835,-0.07943591139845785,-0.16192454556114522,0.06255947381066335,0.2669131936679341,0.08988523725295883,-0.11922355531013362,-0.2636292332742672,-0.1491890235665999,-0.10351364362252014,0.40985754221750925,0.27818543857713673,0.032855519026127045,-0.09315271249188539,0.3284777017308183,0.2184106396752341,0.024525616063408084,-0.23000229270296124,-0.1158655434864917,-0.03112295888737432,0.19552185912749298,0.07253679820114389,0.19312523932499998,0.34873200527182996,-0.19460133070794772,0.37495863534680746,0.10513111835157363,0.004935856691864998,-0.4779330684959272,0.6849539496944934,0.31170058002145207,0.20697170263478948,-0.2123768061736938,-0.07649739570417324,0.3796631457131291,0.04155204036893245,0.08100405807096633,0.20180299900186727,-0.018507532362058376,-0.12145173124979214,0.006721064397398113,-0.242966298910734,0.19198224375947154,0.10430469423555762,0.10864135417468457,0.05692992800366847,0.17855526732208404,0.2359882264765542,-0.04198784037093939,-0.22362036419778775,0.08411696555072529,-0.05251563638209322,0.025617720480598516,0.19402636959808106,-0.05686251182526314,-0.1852896777401658,-0.19116752139728993,-0.2144688688625313,-0.14794470335295928,0.14062401295503113,0.4575731698169452,-0.36079591189737603,0.00873369029545823,0.0832253137132617,-0.046560054314884525,-0.34040413311114726,0.15156143423375673,-0.18785367377615503,-0.2435000247391611,-0.3848695318037777,-0.3319938903227198,4.300177639648961e-05,-0.3685429359759401,-0.027803718769762176,-0.20666607852854435,0.26262716713762335,-0.1729709088316862,0.7383359374145719,-0.16846440513948185,0.4348587983405128,0.20797345699193515,-0.0502676715001279,0.17742549294124488,0.05045904600006848,-0.5723791098986812,0.05560929143732718,0.2341981769414722,0.19589230392779783,0.333190755183578,0.05112604931933418,0.3685626064349138,-0.47210733685689044,-0.1329393415057431,0.24743379024000767,0.2969946211081186,-0.17843919019543597,-0.47969780489931413,0.2525965379288315,-0.10595321749986097,-0.13458848703752396,-0.004548976299972751,0.30136749811378194,0.27623769292308775,-0.1956783020772599,-0.4779743671732723,-0.1091567702824543,0.19707106309873523,-0.13309705905511537,-0.3085793380321943,-0.2726970242642897,-0.15758433786647463,0.17021363546418372,0.17021363546418394,-0.24530771505961507,-0.05631486273201758,0.42918793344229544,0.043633276753502766,-0.12326782221163055,-0.05496696272811527,0.07277133765284627,0.09730187666218265,-0.0784672441878772,0.038166641911913046,0.12330353478362577,-0.4782081091579113,0.6592713318405418,0.10529285927179544,0.039452418917644394,-0.176114236820599,-0.15368763302811783,0.16007732659331453,-0.06744649287713755,-0.08342910785558943,-0.0770699017353248,-0.22425939445736107,0.11370745216311506,-0.19091657144375618,-0.37063805739253686,-0.13331145574047182,0.12340630724404553,-0.05537851914717784,-0.14422466316306815,-0.024502197927722347,-0.4851644049733511,0.09311726302562362,-0.057424075261570784,-0.3066484444126679,-0.0069879926960783045,-0.017435770105858617,-0.28638954557278584,0.21248956614984166,-0.02383488029998382,-0.35628719927938046,0.19750740199846167,0.02188774614452571,0.15469016754095832,0.04724893810159203,-0.060703099394944005,-0.07744549977026183,-0.18187680119510508,-0.10856020480952777,0.1144635275081689,0.13415700518452722,-0.3678644328226975,0.008777769614995545,-0.21478147524255953,-0.11792793258430634,-0.03956893461889022,0.12156535783398936,0.10074378292569292,-0.1880598646243068,0.0330657473875518,-0.14332833199979272,-0.1785929348789123,-0.4053061575294412,0.014889071322376712,0.014889071322376712,0.14401398665297094,0.5672524369235593,-0.44934564347043326,0.01731165361231618,-0.1412571658599091,0.207645194024637,0.033757738330873976,0.3764235265397633,0.04698927520933299,-0.005096069677745785,0.12648013328405883,-0.8356823675243241,-0.1382139271013887,-0.32825889405619835,0.22384557503074715,0.14794351223113744,0.11110057724252417
3,subgenre-current,novela romántica,other,300,5gram_chars_word,zscore,0,3.0,-0.019247318389571777,0.8911791717795217,0.04582855569622546,0.02850556189584641,0.5751840960775438,0.22397581032188196,-0.03288924260460682,-0.19872742436069804,0.06417640056826435,-0.15404962343342316,-0.1972155228245595,-0.21189687096452717,-0.19977231291919573,0.11703602168324179,0.47227966775214975,0.044888169764680685,0.1623216832574739,0.23748375191066348,-0.11291737030945337,-0.011023494003968987,0.07964809904814397,-0.047419342181703225,-0.1583372395826722,-0.045789953207695244,-0.13749502729883434,-0.19258417880471096,0.36339122048741856,-0.15088032315997862,-0.04538037822965843,-0.024759788730066068,0.315239662101466,-0.2061238936907089,0.4051484545008146,-0.08229969259551767,0.008097458872066962,0.14128204239883652,0.10068270098185944,-0.5025393486104771,-0.39656810134325726,0.5113788532147653,-0.24241942028901337,0.25910227475121694,0.21561143421167625,0.025874007451989263,0.15383338494183474,0.6025216310963212,-0.19447779897838646,0.2627109554392967,0.013258130249158062,-0.3186624424146875,0.01028395894615855,0.28529822675453653,-0.12540666698304131,0.05294082842793946,-0.02121272093934179,-0.022496595105981357,-0.24486017011065658,-0.27589616171523446,-0.22610195077818088,0.08683441475269241,-0.16742038761558597,-0.18583873665830095,0.07081708477308316,-0.7848706043995851,-0.1579848295534768,-0.4286075590010998,0.027926996358770342,0.28343139455563676,0.021129996320506605,-0.20308792130222938,-0.12531727534805706,-0.20661521453220433,-0.3978825876692175,-0.7086746674270517,0.07940981484029604,0.5931862776585923,0.17698982538103308,-0.211886807834906,-0.16787383344417364,0.045030923108658805,-0.2091971566379166,-0.0789973037865069,0.18077372099494998,-0.24654270045992774,-0.018648306926297806,-0.2922303112170524,-0.22918481599341095,-0.11295259890263312,-0.2816454089376915,-0.17895697369297336,-0.39332084574062787,-0.14367980644463255,0.21739895986402596,-0.24847645959369707,0.0888228304941159,0.05049106178144212,-0.12956727011762992,0.10812734969375065,0.20996693560623217,-0.05584845187513908,-0.10410223211467923,0.08365104066108188,-0.21904908873699028,-0.022060406008439726,-0.09002560704223016,0.2829600413527172,0.017296483066292195,-0.1872500107366008,-0.4078084853096303,0.11360493516577652,0.3289149774733731,-0.01902938904824336,-0.06627516859177257,-0.2609675690982291,0.1821687917062629,-0.1477802552044987,0.29683755501222375,0.373527021382759,0.02546162470044111,-0.09524313689530807,0.2898670850231899,0.10134516101905408,0.06594394118613685,-0.3297351229101423,-0.15517224974237107,-0.12155168055015511,0.10308886390008037,0.2578287724619084,0.3950447900714562,0.3916398002284869,-0.14111376345870325,0.33193659687463684,0.04662720057134084,0.03147917917161777,-0.46116100299398577,0.49865431213264555,0.23399006300755282,-0.0072389032356202365,-0.40752834012516465,-0.06483882436530833,0.4177789291042285,-0.09963994895808728,-0.020086447705589296,-0.07945696928117581,-0.06382058430979541,0.12302530143407357,-0.18756152385353803,-0.37297289780111054,0.24358693545131788,0.17984797802215163,0.0139592890523179,-0.06612580637312593,0.10771498340513189,0.36061134485706536,-0.018379345756708104,-0.1840449720542749,0.16991400799642953,-0.08328320485554527,0.12200584526707879,0.18259358586919774,-0.08813306527746936,0.0466213949849516,-0.081424092946666,-0.0595979330164154,-0.004687227516040504,0.1433022067894118,0.5557615405519483,-0.2096010987494415,0.027345456396149638,-0.10323557248379696,-0.08956444426510599,-0.46830574648674006,-0.17243824311841394,-0.14303449910410188,-0.2883258455206846,-0.08399847357669118,-0.31730079969128516,-0.02846359034095186,-0.44819881410485607,-0.05711539063885668,-0.0980281997814356,0.07970844261136795,-0.18228886953912699,0.6246314743547459,-0.04993365187801452,-0.05615874905567236,0.1568220226848714,0.06386014286705921,0.15346368827148743,-0.13970931047757437,-0.4866096263338343,0.10382280022964441,0.17200611481751238,0.07169428472421213,0.30169682721968616,0.41499205541811984,0.2041298081081475,-0.5578054176176366,-0.07310449460471063,0.5131105462935718,0.6029990404923184,-0.24038546851683265,-0.5865854812633352,0.3733636904135411,-0.2249818344082611,-0.1072778996729225,-0.03932392018456138,0.31592328755016985,0.3020002278390164,-0.164353673444369,-0.30848303164746194,0.008492705238535375,-0.11996376764225355,-0.007577370847221883,-0.18203219078249688,-0.26562007116563746,-0.09276743808697302,-0.0001801905982279084,-0.0010249872629890244,-0.20407369552707583,0.04125345359076715,0.3055756745061069,0.16368926528199945,0.10946230446601588,0.214831797109166,0.19699612717045403,0.10622115989331388,-0.16293671878236657,0.15950560276319675,0.07131661064808295,-0.30769969241171197,0.8798931685121028,0.030289714622211777,0.18644349603998445,-0.17728482490183406,-0.23613594127182924,0.28884619984593685,0.09932397730702613,-0.2802970878432511,-0.16041263441987658,-0.24174044129570285,0.0147824739786378,-0.22181589108525762,-0.3226868590815679,0.00973013472883355,0.13081941024802213,-0.053629576034951554,-0.2987332189353716,-0.26516879806767224,-0.6534111025398767,-0.36101202284965905,-0.06863533965796145,-0.3641908069700402,-0.05482050144712597,-0.05508113276382118,-0.22598837458949134,0.28781533785478547,-0.054014283911834965,-0.18671446177035447,0.3441351622499318,-0.015429072665380239,0.09543165787044969,0.08502432736886126,-0.09117232460298239,-0.11141291205175596,-0.03099120583253029,-0.030460428075202634,0.1123356082795562,-0.051984992650108,-0.3278818435113989,0.37675851970263985,-0.3944074339206346,0.05173379610684889,0.16042241506061872,0.20676271585131778,-0.10637059478199093,-0.13318933698693267,-0.1904126044640519,-0.09466533147700183,-0.2471808773218769,-0.410596281303241,0.026869478306659283,0.02848614963557486,0.271694798243972,0.5978449062913013,-0.5748404453599035,0.1245008886113591,-0.10139966151732652,0.11391781721962796,0.051476154105885075,0.3459214630936675,-0.12449624703547452,-0.004246749233825828,0.16409450839572604,-0.5113466350434714,-0.09984110729618131,-0.18406813632593122,0.013532885229999264,-0.0044255580780030584,0.08225768172612424
