,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,cv_call
0,subgenre-current,novela romántica,other,90,,0,1,0.025790161541943482,0.03844771075941962,0.0024148291706020853,0.0025780667471041224,0.0064913147517337046,0.008377940131647993,0.006332712666727898,0.00529944395960485,0.004739405461992868,0.0049386331880532505,0.09075691293046363,0.004256961710987025,0.0009777158613213472,0.015026990623223385,0.0035230886130555006,0.003752646391225065,0.0020857565453184426,0.013223675816917082,0.005474767843537775,0.004487993079035218,0.0042095620105144504,0.0021202368296927877,0.0034653559758346443,0.004450826460657239,0.003412908637686511,0.002148027709090405,0.04827040660109714,0.009274038275792628,0.00515382935874171,0.006621840373147414,0.004377973048396596,0.07603266877015531,0.004567464838585437,0.005951430488412717,0.006602340869932774,0.003159180922790738,0.013277002305252066,0.006897786053209138,0.0058917098992235075,0.0360836005434376,0.004697626400852608,0.0037941146298822908,0.04061186876853978,0.0031484330325641068,0.006913812066010644,0.005158781270192723,0.006026549907617085,0.0027285569214808678,0.012579338681592049,0.002746009274873611,0.0051928438111552115,0.0017567096958559314,0.008947024165983865,0.019514079986238442,0.0052818592752873796,0.003764035218778483,0.001984422936806023,0.0034190636477276137,0.00983513397355792,0.005949226019816028,0.008685847322500419,0.0035387646357874143,0.010658299238435035,0.03675606082008751,0.015960027672561588,0.022216775361005223,0.004539548470987978,0.014807287083116188,0.0039800123233967935,0.002858329462305006,0.0052410608606026565,0.0054304696391863074,0.017197163728932582,0.013261256527947294,0.0041036767927526115,0.00339752106924818,0.011394767267382259,0.0030276975178628327,0.0018368190626723816,0.005642986057945235,0.006224404387415653,0.006679874554845695,0.005340052650752611,0.004169040687405157,0.016677099293744318,0.004915763993223201,0.047860154111296974,0.046349134286124895,0.008154329257358784,0.0041013684127393524,0.0
1,subgenre-current,novela romántica,other,90,,0,1,0.041099420019752426,0.04048716063486546,0.004127875206829597,0.0037267505599593506,0.007074386683031037,0.01194601507846899,0.008115719500894594,0.005763889611780136,0.004284919847892968,0.0033123534680537447,0.08828304390956714,0.0014376434201452124,0.0032851508167753363,0.008801085251902513,0.0047726376624056405,0.0020432313496729637,0.004307898009229034,0.01643573212408634,0.007857430569491083,0.0032760740535128464,0.0030476545077529104,0.0010571484803374226,0.003143313573340094,0.004277958163447593,0.0035893234524689357,0.01175364873004568,0.06570111664822008,0.017595759282095225,0.005864384779577933,0.0071002773837519515,0.0015310335233379093,0.07630028434934694,0.005119030895939515,0.006278855890039506,0.0059585264861589824,0.003984498008462216,0.017853909272376126,0.005016235710430943,0.00471646122610151,0.019488874680408646,0.0032081224669120198,0.0026988279222451496,0.028707022370355818,0.004977813019478234,0.010054953321855152,0.004693925180382496,0.00947212141503007,0.003287887557902721,0.010444210586065787,0.0021063234260435336,0.0034155751842003877,0.0036846863980308227,0.007877009755862672,0.01585619379037136,0.006588802726483574,0.003552994100604747,0.0027937227992500093,0.0016040022468490815,0.002536785742821952,0.007471931995754644,0.004983316629837318,0.0015436518425214086,0.0031357028049787067,0.03023525158564565,0.0016730671122765425,0.0259222669152649,0.005313863480248485,0.009209806458342377,0.00468593969736915,0.00101673185779092,0.009674041547922427,0.005684556076484767,0.01913784348622773,0.007189260756917374,0.006446977413384266,0.007629179461425444,0.002266921189310917,0.005438033120019379,0.0017096905293271648,0.005273907086897892,0.005513633140026699,0.003290013123335498,0.003366119985815178,0.0034061485879401648,0.019120995276922827,0.004250900392738582,0.06018925653512708,0.06118274638384817,0.003975127741899942,0.002685424951696129,1.0
2,subgenre-current,novela romántica,other,90,,0,1,0.028896248331576207,0.04404546481398389,0.0029111913094500732,0.008394394979326524,0.0052329315347762395,0.010184425942162758,0.00650059950862522,0.0022419195851908088,0.007222817975146497,0.006072095703110347,0.10022603490547373,0.00174107112493705,0.004495807991259709,0.016407070283280166,0.004209405152349904,0.003309937865090907,0.005742123239008879,0.009860170516739573,0.006994948795399946,0.0025976481888794404,0.0019601405635997333,0.003721707685302278,0.005941630189515418,0.002307191703534217,0.003747609320771373,0.00771485124997237,0.043620031053145485,0.006792491866962984,0.0076506215951948064,0.002971298583458749,0.005316817340224243,0.06621128408370774,0.003183738888432361,0.008417721878805396,0.005509760552016799,0.006807953450419302,0.015135542108336184,0.005119518765459433,0.008475241523018609,0.028515357119372888,0.005168240613102595,0.0019089260475167,0.0569104080796877,0.002220552407953198,0.007394816907530899,0.008616157978236456,0.004353282116289096,0.007240791662972597,0.014736731584852182,0.001562078832798214,0.0059487981496872885,0.002859528690967711,0.004420133801808674,0.016538728124196246,0.006070635915629059,0.003308925967901116,0.0012094565326076885,0.0064048638073018384,0.003863754411437318,0.003583249448666606,0.0022091034795337604,0.002844054262090363,0.012561731598975284,0.03221719491167641,0.011426122130044632,0.02308995686116333,0.003073631454610682,0.006183103564817345,0.005313368854991228,0.0022578457799625525,0.005847699983615585,0.004977824323347813,0.011153523998076374,0.015403403707581215,0.005747628768239249,0.005757270326655172,0.006159667098075937,0.002846611873144649,0.003239196240412029,0.005058093156975917,0.006749020105433455,0.0031733897527652,0.0054654931235407715,0.004865474657514943,0.013749174255009202,0.005281895569519492,0.05756865194224114,0.04490915832077042,0.006121787537576261,0.0040220440134781975,2.0
3,subgenre-current,novela romántica,other,90,,0,1,0.02633683957516396,0.040696469831737934,0.002852263493198756,0.007387809441722908,0.007962589166827922,0.008790578436470875,0.009482025854096288,0.0025776382956790287,0.004945528664546275,0.0031784373516351837,0.07321198186194146,0.003126752750712703,0.0017797147890390593,0.015769162320653233,0.002869649571360145,0.0016402647277353275,0.006256901471611157,0.008231748006950644,0.004481929475196722,0.002673668671965381,0.003068735418339318,0.0022864485105757674,0.0039074139116956254,0.003377998526803358,0.002914926647643602,0.01290495313231891,0.06489735754452114,0.0095718691778554,0.00769526950649004,0.002901989493676244,0.0028639102768412607,0.05366911351971807,0.0036362356057794655,0.0038258671536208592,0.007978805837400259,0.003261231705244948,0.018972910068409392,0.005351029321895905,0.005128179317042985,0.03356714836272879,0.0010035503076021924,0.0025213909824134306,0.060877591512956415,0.004799267176017511,0.00828549578898387,0.004703858097497609,0.003154063160994564,0.012882776716787234,0.009532188462527524,0.003603654914868793,0.004668910469413696,0.005111597707620502,0.006195420470456918,0.013942553677314468,0.0022333815923476787,0.0019178213421620863,0.0019584258635463093,0.004592136082846416,0.0055162926727485816,0.003852013625338515,0.005683370590772361,0.0031793247402069178,0.008854474668508612,0.03187208476015332,0.010385403851541162,0.03070012931537004,0.004616410872101911,0.007653456054233492,0.0019498834691690332,0.004121793606757547,0.007630462701528131,0.007894559687772952,0.024378757742172564,0.01644659125668501,0.00697282526512202,0.00996788179284245,0.004558171170281944,0.00702133030956878,0.0019506934693003391,0.003569898961180965,0.0053917729112720105,0.004496971520747335,0.004918450900002508,0.004995150837118315,0.0166337829152829,0.0076082468978219625,0.061248420840616775,0.037963020884174366,0.006848547092505616,0.003102393493898073,3.0
4,subgenre-current,novela romántica,other,90,,0,1,0.02573366023918966,0.052524028016160657,0.003899268702359153,0.004722696280328628,0.006069243921139936,0.011015535163200968,0.010882131540927329,0.004319518800370997,0.005324826413005361,0.005676015989480996,0.07925731113013977,0.0016653898135351069,0.002008719497378941,0.01121058705818446,0.0041846534528061675,0.004170627560116504,0.00259274570985548,0.011888150734169958,0.00638129792726772,0.0018896354005445625,0.003980408628933297,0.002479629851142637,0.0034457666131432274,0.003185965909389729,0.001855566254255784,0.008239838096684503,0.06765150987943343,0.011331883459108422,0.006776016093767411,0.007730893865767126,0.001625337065281256,0.05610261098990084,0.0015778790966885165,0.005121677486483983,0.0034335691513527893,0.004053161755747885,0.019698933526106747,0.005485711588380028,0.007189581123980055,0.02233595294960912,0.0019391181715871515,0.0045126555273957356,0.04101162281256068,0.003145397377063161,0.010673543199946909,0.010033812672633455,0.0036154750217630384,0.009109563902957418,0.008694848829879883,0.003777357985483904,0.007652044951574131,0.003384452990198749,0.0036134466758474147,0.01526725339712391,0.002641185219415026,0.003245502863917025,0.003479033584715201,0.002623460646362289,0.004983557662319265,0.007094381729903073,0.008010588831963428,0.0032049623570732373,0.009575962681368243,0.0433659973722893,0.011658177516458751,0.02893695349195443,0.003272147181594152,0.009406701690183884,0.003174137286021115,0.0019427341477281028,0.0039948119403834205,0.007036249121062794,0.017878542613860012,0.016820192104004872,0.0025841579287859216,0.007671236039160223,0.006327112226482297,0.004896583641355134,0.003707231860138772,0.003784667718481739,0.006576160458764436,0.002879639199903993,0.006739675368009108,0.0016337997201210039,0.01302183517470267,0.002491157743717081,0.06216357653688938,0.047896091561654,0.005332221598782184,0.004801042929139718,4.0
5,subgenre-current,novela romántica,other,90,,0,1,0.03142816607118243,0.04473806049772526,0.0015256652779781284,0.0011217917602309854,0.003044913560528805,0.008523430743750109,0.004682538955639796,0.0043454209716502715,0.005876953656889204,0.0035117810530171604,0.08363491065987587,0.005489790426867525,0.0012282259349320464,0.011915716550276336,0.0045679349102979855,0.005922137889807817,0.007721800814611267,0.009551066453067737,0.007080458186982897,0.003510230549418341,0.001724244201440495,0.0020336948107974443,0.00755962731158926,0.0012264057134799273,0.005149947791859753,0.010325059767232251,0.061115368398974426,0.011348378108682404,0.006015440185863495,0.006942806108577893,0.0031694892817144076,0.055763282901769316,0.005402784100873513,0.003307251774196671,0.0042509678242446895,0.004844521429321743,0.023757776064037027,0.005576126172227066,0.005060255493022536,0.02874857365947078,0.0039617490648084855,0.00731956281502983,0.04849907084380774,0.002158459785728257,0.0069824347226814295,0.008201374012069025,0.007606388342729141,0.009420535549096885,0.006665022075024576,0.004164611677287085,0.007226140623467041,0.004298449859675304,0.004430990197789984,0.014305358805957031,0.0026279811815725397,0.002693670856240984,0.0014581450596513345,0.00391742435627347,0.003944470093442015,0.002146559183501268,0.005204654097428193,0.0038025920817696783,0.012222831071814324,0.037418724215414916,0.00874166166715761,0.025841503101920026,0.0038209964548460017,0.010638401569046977,0.002938699159504077,0.005241585360971241,0.006898216559909247,0.00980694900559187,0.01304915270096209,0.01676130411328266,0.0050788026820598325,0.00813463506642979,0.010395425052054858,0.0022347455561085422,0.002666981187713652,0.004623731779526934,0.00989029498820409,0.0018560618240957218,0.005650919379501613,0.006042391727135775,0.0119723829236855,0.005571186578612754,0.05321201606361008,0.04619909074575518,0.0059304407857429,0.003382227370205341,5.0
6,subgenre-current,novela romántica,other,90,,0,1,0.038462217414775415,0.03815575428013633,0.0040633376421798035,0.0035158925952228416,0.006300761579740431,0.007990598383440808,0.007535596995712586,0.004264980140129344,0.0031254935380950373,0.004533926862944139,0.06825079505033264,0.004244719941676754,0.0014153144538303465,0.018861999308799803,0.0026945752684548684,0.003575507437754928,0.0033250488651240624,0.008792087390275422,0.00694164845157669,0.0008439058200566238,0.004406195723418434,0.004637576851834036,0.007096484669401973,0.003038019228802625,0.005097818653347215,0.007448457291305223,0.06281577982867599,0.009269361872689709,0.0018099146544273141,0.003989416334270552,0.001277089633396296,0.07228201578477664,0.00570139321711418,0.0049123211692201655,0.002377953597240411,0.006783303431354284,0.01820625954878944,0.003320740795619557,0.0069203777747976845,0.033465622549061984,0.000849476593284903,0.0046218403899837175,0.03900527880471175,0.005833374564023611,0.005813440137123073,0.012635490044515816,0.009149944713740856,0.0046069274970764774,0.0031300924590941673,0.0036333735961664743,0.008286751166421424,0.006127416827032872,0.004961314738892819,0.008667626993778817,0.002759468385440065,0.004745592350608362,0.001375880688274122,0.0061281713269422606,0.004604910358162507,0.004085615867433002,0.005536196523436928,0.003460691461201957,0.0068678689857672795,0.05373132865282751,0.010175136084517429,0.013647061634316004,0.0023846884112502954,0.007350127294696019,0.002329585375449679,0.004311397094037068,0.007637854007841641,0.010840292505574521,0.018896593896603184,0.013277488489734514,0.005738436754255146,0.006073174262420056,0.009817130835466523,0.00519006592833549,0.0025034643222770748,0.0020993109042254463,0.009108018602619129,0.002696645093228849,0.004240299311716326,0.006725266200558295,0.013598311129211218,0.0012590607767685447,0.07810474456195171,0.039919103717361945,0.006702421977847289,0.003005983671993262,6.0
7,subgenre-current,novela romántica,other,90,,0,1,0.0321260492970705,0.035115758132005535,0.0032710600970757664,0.0020255993276465933,0.0064490880513002865,0.008076852697174394,0.007240168774023174,0.003057919043386156,0.005702560783686979,0.0029487957730216148,0.08494555410547606,0.003631749136829811,0.003797193838856719,0.01065332998148756,0.0039321642248939526,0.0049871300891546145,0.0025739209461163627,0.00879190770950741,0.006619983256023341,0.002684735305302915,0.0016617061293294425,0.0025943934651652518,0.005794190028225384,0.0019189386044135585,0.0012186794736668278,0.0074140486272812655,0.05696744261441495,0.008588993318736728,0.005150703732539974,0.0070560214535773345,0.0022925533562962825,0.07377614041056088,0.002105231446158855,0.005109977873665322,0.004264385996726947,0.006507504773729097,0.017608063994557097,0.0018310834643967442,0.005700919574434804,0.02963353829585044,0.0020363912350166795,0.0030712068653165987,0.040827721758215335,0.003656423997278004,0.017501239939568057,0.014865652560910419,0.008709691580054612,0.00838761303673683,0.012210643358828894,0.0035598828775469022,0.006323876324911428,0.004414604916772238,0.010772081550604098,0.012512984049183948,0.0033633270230336693,0.0023250404803461856,0.003924925476666126,0.003232685013281637,0.003550168682501761,0.006890191128418421,0.0026910262087527577,0.004499275148008337,0.010566731205913027,0.03970894008208356,0.009088717557271041,0.01929709346814676,0.004773859601046713,0.002816781169394311,0.003533041589415513,0.004019741079783083,0.0047819760141274885,0.006577957075330167,0.016090204891627567,0.02619580093871173,0.004656260773606511,0.008954955689044397,0.0089413457405211,0.00521488307861521,0.0016048879790081865,0.002743496006841305,0.007493028976711854,0.006236948081440231,0.007132098707493571,0.005787296027891352,0.01643612077111462,0.004706583104603669,0.0512805616061561,0.04730086367905016,0.00507963725024297,0.0038274974390879336,7.0
8,subgenre-current,novela romántica,other,90,,0,1,0.022594353780953397,0.04007282885002949,0.001520750652195381,0.00575218069125655,0.00540950270081185,0.010129616501300613,0.00532655752193936,0.003982408249343078,0.0028447900781937594,0.005269748658779408,0.06798279249009108,0.003563299121528013,0.003147725758085721,0.012937302831432362,0.002362841453689409,0.002994998169732792,0.0033978841509033748,0.017071677436897425,0.008292260405905652,0.0009706710419253246,0.003623888313089049,0.002712112695539973,0.006316990695356547,0.0014817354141698571,0.002334934049470002,0.008320308907240875,0.0626851806030165,0.01623837338606075,0.0026048741315282662,0.006738662024373122,0.00028014220015001005,0.0850898653060443,0.003392394450669644,0.002921179473331687,0.003079423430168918,0.0030378761835073357,0.011960315065420968,0.005500364631266463,0.002038279926202355,0.03541937517552423,0.004784854247787435,0.003604307594999344,0.04399352741100231,0.002906611863185565,0.003371891010039473,0.011772911498314805,0.0027201804428061875,0.00820890262804934,0.005427274125247297,0.0032904334351766405,0.004990472357231325,0.002529147215550042,0.006049373310369849,0.009325296437591677,0.0028809750695811226,0.0026596316480493602,0.0038334932223939382,0.008429043461981837,0.0014399007308877527,0.004015742006047717,0.0037409871589979037,0.0031438658359550305,0.01127940997312098,0.06053253205786487,0.010909605022952452,0.027368448034051196,0.00649645813062627,0.00786814528535117,0.0023313715471039178,0.005490828458533721,0.007926331953154966,0.00952294352574542,0.016808715619713942,0.021717103759330704,0.0033996355472088197,0.008065261977749436,0.010514172871618441,0.005740319388703582,0.002246229610526391,0.002707268803797723,0.009419084398342574,0.004613592256308203,0.005654794466620895,0.003348599788552169,0.017835730844890648,0.002648448405425348,0.05396381079348382,0.039951114735742935,0.0039662578446933135,0.0031544955804153176,8.0
9,subgenre-current,novela romántica,other,90,,0,1,0.033732347475266565,0.031832341525791064,0.004160139896964175,0.001879130456756179,0.007093406344718048,0.014031341761298423,0.00962185133855588,0.004752646124809299,0.003223102239675655,0.0025222116880333693,0.06282861429300901,0.0023290640750918733,0.0020395297159474237,0.012901722864219126,0.002669904451679756,0.001384494557738111,0.001963439212924369,0.011229811350419849,0.0031626812841467357,0.0028705903992111113,0.00407649115464387,0.0007353626144790805,0.006303378571085263,0.003844364999766223,0.004836125422635853,0.009351456773673423,0.053897204821156085,0.00948369250892825,0.004383875794877751,0.006307777491030711,0.002507026879118688,0.07274295397257645,0.00414897070379419,0.006441966220288225,0.00516991727280548,0.0022236483768264675,0.011673102426618556,0.0034752225083753085,0.004102225085179698,0.03394954438485439,0.002517819615182733,0.006777196487562013,0.05550351921653665,0.004491395572892567,0.011289445681758924,0.01194602785027264,0.002900795103889396,0.006416621437501352,0.007992067097330021,0.005150403834720729,0.006275065868054586,0.00828743776108943,0.007942761058411994,0.010345078778279356,0.0045635633922799755,0.00274883557243844,0.004179344467543091,0.0077948383756955295,0.004803362755625371,0.005316906917573304,0.0026213038014190893,0.004379996983431636,0.010036217847161943,0.042118230815108515,0.005617247529391586,0.01682043144019286,0.004731899260798336,0.00746204728983777,0.0039899907154647505,0.0030955654872711264,0.0064207713071098,0.005133732677989725,0.01661933310533569,0.022129487972378428,0.004538944984055905,0.006951621966842619,0.007595608913237661,0.003184184153222995,0.004137490709842412,0.004761915166137947,0.012117860962234194,0.0043189863488700495,0.008294095164431012,0.0042992493145061796,0.017563288940038325,0.005633040929883161,0.07452308311689776,0.037596900171828165,0.007717955134417777,0.002464351907054684,9.0
