,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,a el día,a el fin,a el lado,a el mismo,a el que,a el ver,a la calle,a la casa,a la puerta,a los que,a su casa,a su lado,a y a,así es que,de el cielo,de el día,de el mundo,de el pueblo,de el que,de el y,de la calle,de la casa,de la ciudad,de la joven,de la noche,de la que,de la vida,de lo que,de los que,de que no,de que se,de todos los,de una manera,de y de,dirigiendo se a,el corazón de,el de la,el día siguiente,el fondo de,el lado de,el mismo tiempo,el nombre de,en aquel momento,en el fondo,en el mundo,en la calle,en la casa,en la mano,en la puerta,en que se,es lo que,la calle de,la casa de,la de el,la hora de,la idea de,la luz de,la mano de,la muerte de,la puerta de,la vida de,la voz de,lo mismo que,lo que es,lo que le,lo que me,lo que se,los ojos de,para que no,por lo que,por qué no,puerta de la,que a el,que en el,que iba a,que le había,que no me,que no se,que se había,que se le,se a el,se a la,se de el,se de la,se dirigió a,se en el,se en la,todo el mundo,todo lo que,una de las,una especie de,uno de los,y a el,y a la,y de el,y de la,y de los,y en el,y en la,y sin embargo
0,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,0,novela romántica,other,0.009393333158937514,0.011609059368246112,0.004782169524148331,0.013617971930631564,0.006329640169236395,0.009384856467265178,0.019972059860156998,0.009084360165037808,0.008002717427667139,0.0050795628421482905,0.007128156973539305,0.008328520964189033,0.0072902544459480636,0.020441039759098435,0.007167157544231779,0.011097146263463203,0.00785241593891762,0.0034210923476670524,0.007062949757916753,0.007113417596186144,0.020971335235681857,0.008895653484777437,0.00566076186463205,0.007522447865271402,0.007230160034582433,0.006734870177185999,0.00956952126070075,0.006765278308163511,0.00670918466794274,0.005294768727533541,0.004565516067073095,0.003553812235174629,0.011004044216101844,0.008444361067575111,0.012998516927770987,0.007211635452417961,0.009329566844377062,0.007538585872905842,0.006879417963271081,0.007388094948404874,0.008973881652401771,0.004273739335390403,0.007736637197394531,0.016976778028071383,0.008844679581555895,0.02696524984169656,0.008452088337955998,0.011999932109554586,0.01721457283656465,0.006605738237835044,0.008670921582561036,0.008993883011768237,0.006829725604827275,0.004276809139020214,0.02178342235593575,0.013075611569022247,0.00497667391438613,0.014076900497086686,0.004259741591780117,0.007879612083106183,0.005822980876692208,0.009546701283294991,0.00721721585114943,0.01220680063893733,0.01439579586277939,0.008027806926879152,0.009168816543920261,0.009417985644798966,0.007982628761202717,0.005151370349814634,0.03150174043760465,0.008219088879144862,0.0038649907038775634,0.007471453473451146,0.005001570388886524,0.010153058817718948,0.00632390181615704,0.007003635744338772,0.013988882746856175,0.005918444770446218,0.004920274120431151,0.010965096548363024,0.008932847380506509,0.012528833215475292,0.017984019204011922,0.019368523770044988,0.014243482131906505,0.006822971812942854,0.010391255095478618,0.013965130570139934,0.016293117369869933,0.008892197560407343,0.01215893535052947,0.005219325995498519,0.008100534794819512,0.002731515445297517,0.005532994237658454,0.053500506695569834,0.008995333949236966,0.00877621999976905
1,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,1,novela romántica,other,0.006852519591349015,0.01999459727439377,0.0054502077446067386,0.008470868402076098,0.009264071374664767,0.011921161458550123,0.014563703069412948,0.004920338940015095,0.006871185615570901,0.006381420407531274,0.005597136439041956,0.005315883116313758,0.00746011882490251,0.031195752595223007,0.002131685342658198,0.007937266228536374,0.005377540947903174,0.005681277695140323,0.004012645924599304,0.006841569731764574,0.027440623663671827,0.00821981192510008,0.007579841704109285,0.007601127291724008,0.00791354384920642,0.0066977108401644215,0.008370350730707812,0.0021727577817707137,0.005526192841512699,0.004457598564922433,0.005670599540577596,0.005506781174245922,0.01535120098082433,0.0063757969575301745,0.0055229498193351935,0.01765421807946165,0.007369090094858834,0.008022078392624555,0.016319578717874407,0.005787959989306003,0.008536102017048235,0.007786985581275915,0.008973730706353216,0.03144428939273613,0.009979085724827837,0.024818346031403694,0.008536312080812408,0.014912598822860633,0.009636646200447697,0.005354907599403429,0.014201793923343165,0.013289290924786397,0.009734962596470928,0.007194871219650445,0.024685482891593558,0.009545655463159901,0.008902297035946935,0.007358619684774321,0.007669769803037791,0.009992763473220456,0.004665183258910884,0.006676731182237864,0.007569066770546608,0.00999943704422544,0.02115164201755202,0.006777669787927171,0.012428165909896783,0.00463385981963772,0.007138164948170175,0.006096025227371344,0.03730665486976661,0.008966963312614295,0.004349096631057326,0.004206569413046209,0.004001570025256327,0.0027819686393678257,0.0037294157293550293,0.010469120368148354,0.011297063809785386,0.007002012363328493,0.003325520967365946,0.005430487925845988,0.009946174260279802,0.0066538682800926395,0.01817113162547577,0.012019797030685073,0.02025690676374023,0.008780768191856995,0.010246786310515048,0.004854338666830052,0.013688722490001795,0.007412484547917822,0.020501825748073618,0.005201542523493671,0.002968885063436002,0.0041409973810012995,0.010088308677176451,0.03958128875130955,0.0103511703196289,0.0067773385101361295
2,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,2,novela romántica,other,0.010881942341948773,0.01811966736972595,0.005525384621117922,0.016975070927460305,0.009435441714273537,0.010117415088219698,0.02256141563926303,0.010544302957726976,0.013746934386558694,0.0059770213014356775,0.007836988098572431,0.00429350737986251,0.00416504065584526,0.03504050600102307,0.0075400486598151805,0.00995599300932909,0.006515119847622105,0.008184762245002832,0.00642028398648924,0.008573826938258287,0.027151595667859338,0.005002554324832248,0.010534067369595349,0.008500775848176816,0.003249203603235695,0.003142988154192581,0.010543135290153221,0.004191556598424185,0.014115257960925916,0.0054515249220092425,0.0050383479282527345,0.006630499657826023,0.010846892049792896,0.0078198652965724,0.009826802612187106,0.02643993004423844,0.009975446789850772,0.008549272840128267,0.007631443795741119,0.005394952633340978,0.012362054828939368,0.006330464059481903,0.011981220394346195,0.029277269843899983,0.010572941243472822,0.020694715893063133,0.008248108212148022,0.008743678859507527,0.005897698347148096,0.008062192759334374,0.022481110266549163,0.005269880426365383,0.006723844498702848,0.00720674341927243,0.014502844078396259,0.0071548310904529355,0.0073260327730008444,0.008190204528574538,0.009076589692897388,0.008719128482586594,0.0009250440082906415,0.007321701258827506,0.005201988644376417,0.012078958189392768,0.010677352095345854,0.006136639922150093,0.011586192402625227,0.008857996110577922,0.0030231353739796074,0.0024169610626094025,0.032932792721289336,0.013098660378020774,0.006596259138218026,0.004454194441327587,0.009448148274795067,0.0024502879842642593,0.005764704657996069,0.011483493625929653,0.004611659803296107,0.008612126899251213,0.005719054311409777,0.006465475724478009,0.005984848636274111,0.00535584311069565,0.021277046784696763,0.009941950939463989,0.01913884964154221,0.0070017871875510986,0.010356298757143943,0.007498622725771786,0.01764135359435393,0.005250951617911752,0.013825938330084912,0.005105084338147295,0.006441182850945344,0.0010839162425451906,0.00989745076064457,0.02968098486288649,0.006123384736020091,0.007263337599843866
3,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,3,novela romántica,other,0.011376157098204312,0.019465388765894123,0.005929321397071048,0.01138647966620682,0.01137137888361737,0.015240823782782045,0.017320086158096784,0.007569279943450874,0.008934957177966977,0.0028530366668098415,0.005406367057153679,0.0077839251099061325,0.0028064718352858796,0.03077896752456874,0.0067911230307948186,0.010644458045799016,0.007930464266496648,0.006461766814679809,0.004970399416401975,0.00882736981200923,0.026329906762821525,0.009845948952183551,0.005444099023309515,0.012163658464484504,0.006246582536223301,0.0030189246674022685,0.009037012479077957,0.005044994113866802,0.011216981163700387,0.0051788411146682966,0.006942325652535423,0.004292324120713415,0.020080205583585666,0.004994964555616957,0.006292831074973909,0.010927409513845687,0.008583342793539424,0.009674012237183944,0.01001990716086692,0.0033389743654973873,0.009442583824986231,0.0086677692128181,0.006832313200053875,0.021018871159328982,0.00561697553664466,0.02789975396217905,0.0100496149235946,0.015675168185723346,0.008803172373387052,0.007017668484678188,0.016028444802216168,0.00974262060370444,0.009039018486277133,0.005591305041369024,0.02032785733037663,0.009581133280318687,0.008911163817783757,0.01145483509025526,0.006414383701953086,0.009215353945394895,0.0028923965868241906,0.0057950633873256885,0.005570232784903393,0.007057495563744195,0.024942025460126367,0.00575128161953027,0.010002091662584102,0.007714226744437478,0.006628000488944226,0.0039289107196938105,0.022173796003208224,0.00876961179993015,0.004853064259105002,0.007677659028758016,0.01173425647032047,0.009397891553814822,0.003903439138415996,0.01011158749906479,0.0074512585584620055,0.007197996740714446,0.004966653610641733,0.008033971558359285,0.005358787972565633,0.009095446642246189,0.01963394411188763,0.013087069275945508,0.018394067353247737,0.004571284319958346,0.005070479390309123,0.006969460743229272,0.021277033679406226,0.00384819025570185,0.016061015936854543,0.007031260782935535,0.005165308621875435,0.006244870160870759,0.009827836351907817,0.032036082400278075,0.009577280443809006,0.01034619456572668
4,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,4,novela romántica,other,0.004901017881825431,0.011677820600509639,0.00739487706779507,0.015163812233858416,0.009256177356480575,0.010267038436587203,0.018045156447337823,0.01088436354404902,0.010099588252774395,0.005681739202181086,0.0027199366647187003,0.009837053896963753,0.005289821885830263,0.024345679734351647,0.013159605874171967,0.01491774549137696,0.004849259798397581,0.004770291397550144,0.003944526106770758,0.007093178432895891,0.030361969861667233,0.0077626818419569265,0.010913949125627018,0.008885056949160157,0.008714128304947074,0.005637410421995972,0.009188257244500042,0.006515456917258797,0.01415341364781604,0.002459055240446224,0.002606237385490349,0.005052394213871489,0.011781720536982145,0.0033822228730748566,0.012393979454011241,0.013612083961852223,0.009778832852126362,0.009586587509195136,0.011395228841223015,0.0038199809918442245,0.008210839456795231,0.004742706212198866,0.0032956416306490948,0.02395369385853666,0.0118901643156569,0.03618352127617969,0.0068834161325801065,0.012292627051300364,0.008826487939221347,0.006967364621814509,0.009240898691625416,0.012514784831292565,0.00580792457598829,0.005941048458508413,0.02822360056640165,0.0072305229344395185,0.012852299683953319,0.008202798966581272,0.0051204088425914175,0.008916858810016089,0.0046478459334318295,0.00896596274558941,0.0071902632971167744,0.011059276451204454,0.014872143080715742,0.0043510659666734074,0.004635921808244916,0.004253098571700179,0.002107532751796813,0.00730243505488121,0.032296221784928136,0.010200124647170928,0.006459640205878891,0.006000667560916467,0.007465972576276709,0.00859366373364149,0.008127387535054943,0.009754346112782135,0.008333606538402217,0.010115676091851211,0.005017649809272311,0.012124838569725557,0.007496915825006984,0.00802447237352256,0.02238207321549062,0.006822128654005898,0.010516694286647879,0.00472180841884354,0.004562678343626536,0.004796731735072641,0.019958126728448072,0.009382120172823779,0.01815161982045036,0.005151048968095923,0.008396393829063861,0.00395373345057311,0.004436031719392595,0.03724089207545986,0.011984020474834019,0.008550221743582498
5,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,5,novela romántica,other,0.00922101687149588,0.021722573254371224,0.0031897553765367188,0.009095595321717059,0.006603426129340681,0.009130256306395211,0.022066587931046877,0.006565424241951356,0.014236739519947594,0.006443629575285246,0.0046159255415357614,0.008236638906426123,0.00778211035368554,0.034367728015159776,0.006169639093699516,0.011806409970207746,0.009422882138703409,0.0058504274977572825,0.004044536460217219,0.005495713209495945,0.01706052557847509,0.014623594985076826,0.005953860030010942,0.011173512765155987,0.00462354898636314,0.008794340156362875,0.010136581415816656,0.005646970365189341,0.016907459978581507,0.006092848266628506,0.004677119460838859,0.004808918719005724,0.01091613363978636,0.005739388956892208,0.00467519060678305,0.010041844923553278,0.012114713591704846,0.0080208308470773,0.009102237776529723,0.005869914703993099,0.004776645325308338,0.004885606029916877,0.012022296975250632,0.0271286185723706,0.007627035273197285,0.029273615785157595,0.008679028000196912,0.011618496161105293,0.011564509169087465,0.00806531559714867,0.01280345959467017,0.010161012632774776,0.007706762502327589,0.0054634553123227994,0.02299675459178918,0.009200586671879785,0.010263962883725247,0.007628457780774368,0.005586825528949757,0.005100819222545802,0.0032223424438813045,0.0060186600282842355,0.00678445529205586,0.009756130564318889,0.013892210395724348,0.00729732557836819,0.005793480674730816,0.006715474461103839,0.005899732864424437,0.003964685566779355,0.045239077484261286,0.009716232195715623,0.006313551586798877,0.0063649726117643215,0.008429058248580845,0.005554268719340651,0.0024786184142625224,0.007481927349361954,0.008782834400914577,0.004845979668435771,0.007984908714101683,0.006636710092053483,0.0078407818833958,0.00538861267140727,0.02339045702599288,0.007978046119996586,0.021311432763097653,0.0072118592572925815,0.0075578198052638716,0.004835504156558026,0.009691399699486338,0.0055549902965410305,0.014671565240536888,0.005750826577441161,0.009664423534375582,0.00992449565060205,0.006829527068281847,0.0360814270474547,0.01189370330880707,0.00965067545890498
6,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,6,novela romántica,other,0.008419546357456066,0.011660585917296518,0.003628146080955305,0.015562811271213797,0.011165286218897641,0.007321172635377172,0.026948385765805206,0.006624763055954029,0.007607480168300208,0.004475660118702813,0.0037826640752156217,0.0103261045875714,0.004091972984998853,0.031445826620537694,0.006987242670038259,0.010205413324161871,0.005675377346755472,0.00451992733146212,0.007543466279740694,0.010555500773273862,0.028165277474874406,0.009902924118058275,0.0055581131769464245,0.007250337800464808,0.005104233917952791,0.005242452823465119,0.004406024881679931,0.004308446469237267,0.00720447834120576,0.00760833215438808,0.006622871846754208,0.0055461381296481715,0.01953238403509489,0.005155673385607765,0.011787868974460032,0.017118634519188537,0.01511569909526863,0.007013641094296275,0.019382967291952307,0.0057897015405924575,0.011366641703356944,0.0066941232139527025,0.008124291209657842,0.043553158050389514,0.00725388507828682,0.014761170103986936,0.007317134147667044,0.010092959937150583,0.0067281141471801885,0.008070624997460429,0.011799051878175947,0.004787064913468731,0.004494796325009456,0.0036282066590053886,0.02495272296092474,0.007065630300965231,0.0074117482018501105,0.008270218275970171,0.003144927625590267,0.004959802723711922,0.005178847318351383,0.004730276948956971,0.00317452059344308,0.011401286629167139,0.0134940265791634,0.005656573379064235,0.011863559489971446,0.005202815909708205,0.009175097657193626,0.005955505436972843,0.038264789801300166,0.011309451195362467,0.0056570162199740285,0.009375761163041679,0.010071110225633586,0.00200496911728101,0.006756714499449143,0.009244354968299113,0.008863621492683917,0.007444714118562382,0.006087672809673952,0.009770608199006757,0.007238359517880008,0.0025340556953935946,0.014163014284464526,0.015119738630178245,0.017998458310637903,0.0033838907632059456,0.009362342367767224,0.008332940058879053,0.008004725062296346,0.00760297425218245,0.017377282080733553,0.005681645343238305,0.0041431134147563,0.006481713183686438,0.006411142083864773,0.0393666886327016,0.016131442227471367,0.009143373229790116
7,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,7,novela romántica,other,0.005672750434379013,0.01684277243350617,0.0046749447291111286,0.008953012178044053,0.007634637335859912,0.008410533781757427,0.015214745021318827,0.004162657505128015,0.01195109792683273,0.005962751234294316,0.0037267797892797266,0.008365379440086642,0.007149202808967567,0.026108123683282608,0.008590875428386623,0.008589489360580122,0.0061109520595826,0.002537649668313921,0.005422151270272448,0.009488364942324941,0.03044135309153764,0.008443526854858512,0.007548528755294781,0.010294677462062782,0.007024075109160261,0.004831628893502174,0.005003731791693135,0.005956170599567077,0.00951857242691562,0.007301197949062871,0.006562871889193729,0.004573555608391703,0.01320820767305167,0.004736283169865824,0.008234625153824908,0.008411741695330537,0.007003980082052156,0.009803323507247651,0.011472009103018288,0.009059157487416166,0.012452214086621657,0.00711134946482746,0.009900027225622669,0.026842315124242056,0.006243010168390716,0.03316221949368444,0.009189839596022261,0.012817834651873368,0.010133830478382299,0.008476887144018131,0.014567137173624928,0.007320427519210012,0.006865741036688713,0.008974315159743479,0.025114495632622788,0.009981999256355253,0.011803579147069984,0.0064892991893481,0.008565434213063276,0.009339063397876494,0.0031559646576840242,0.0037489381603066905,0.005603629452009671,0.008660588943141109,0.017232855999876145,0.008489455432940413,0.005012810036808261,0.004619595543990266,0.011336122187349203,0.003727062126845307,0.042180909773109544,0.009714019540032228,0.0057343748622140185,0.007466796166069184,0.007317975655737813,0.005552146462147215,0.00438160800384693,0.009813735143252789,0.008710045979973963,0.010132245520741637,0.00626092533329967,0.01515052945091523,0.008980775983510889,0.007370589258212256,0.01875862788197813,0.013152338329485315,0.0193831955769523,0.00764069364839087,0.0066929027757830495,0.01344674842587794,0.015237370826118757,0.006823388295352642,0.017925371827537395,0.004958476388218482,0.005033867904153711,0.005528633948687187,0.005641947358732827,0.022652032694601032,0.012494225684835937,0.003927370265635761
8,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,8,novela romántica,other,0.008243657887792055,0.01634083661554071,0.005619333260238617,0.013575514893391769,0.008811830089421536,0.007645120192388227,0.024236492174455587,0.0028029781323601934,0.006981571722515616,0.006456509597739718,0.0042189791074003025,0.007566011077290983,0.004335035695940862,0.025742149362174685,0.004815495849859489,0.008337246099090647,0.006424559082206484,0.003669975097402471,0.006080426468535347,0.006041539590675414,0.035700810916665,0.007903975179011693,0.008036584784925797,0.011185967207386318,0.009809480899524426,0.0026340426261556734,0.0076625350050688,0.006294272446592245,0.010569637755343156,0.002682790573070445,0.006141805328809055,0.00378703011366301,0.01451829399011165,0.006477843148715561,0.01051825133589016,0.012363851153565218,0.004801972235041313,0.009253853074801987,0.008677514134532566,0.00818199350100706,0.011976832661723993,0.0028871087093635746,0.007668709004391403,0.02440199444412194,0.013599338161345342,0.05361755847025598,0.0077111103658931215,0.014532518813022217,0.003029837610929072,0.004789354488595802,0.00910334882196721,0.009020953797986812,0.0028935412089180325,0.007491518257692731,0.023535083800244983,0.008524989693745523,0.008517698970535755,0.009343182120653914,0.008848749722460171,0.004556263870632257,0.003995395352792574,0.0035735616598646038,0.005182387705815754,0.006806496118140327,0.00960629533718243,0.008894244728353809,0.005815889631157196,0.006652109277395592,0.009487082207607703,0.000777214583008144,0.032514003157777506,0.011351137586779605,0.004904899407831783,0.00456521708452237,0.01026168235681296,0.006351054392306503,0.0022285228697154547,0.007294357512866232,0.008407222791286046,0.007215097969313364,0.0051676077347385455,0.010375033952030934,0.00572839501980124,0.011495199449046544,0.016100435258583692,0.016210900032771328,0.024471854443672086,0.008398024321322934,0.010321524630782307,0.003438015545529247,0.008045542750667371,0.010379367397409333,0.021472187528383452,0.004876496720939391,0.007458834367014628,0.006006722797442372,0.004997936725918608,0.04345683318398057,0.01844203244969572,0.006075723558958045
9,subgenre-current,novela romántica,other,100,3gram_words,tfidf,0,9,novela romántica,other,0.0037538305202295917,0.017805501701896084,0.005942687354207228,0.016633568245815637,0.0070358827747643345,0.009481814160262034,0.024891496401751815,0.0027710861879506,0.007578633816090481,0.004863940710433325,0.003623535929531269,0.00759357100443454,0.007708482343681668,0.021598992793691516,0.004238160019857577,0.010135112867541499,0.002180590305967299,0.0034796846056838887,0.005108699587115315,0.007045862423439286,0.036559162582193674,0.010476806884314304,0.006561980908461316,0.013271873387737422,0.00631285294308984,0.007902557260764892,0.004825118673562705,0.0038295420259130543,0.0050923286444501436,0.007610230616554858,0.008555921556305383,0.005554640690843104,0.008866287707730765,0.009555090371647364,0.006078552236563649,0.013514306716968738,0.013512330456058017,0.00935227232693506,0.01138288978019213,0.009216391332238342,0.014313750908014853,0.005251870692053433,0.006843346122623566,0.032037081304365375,0.01711543509214817,0.02976133112251823,0.008999666315655842,0.004232051036523618,0.005935695581346265,0.006015947920395345,0.01736662566961471,0.006007838095690512,0.006079328145432288,0.005529157978575205,0.014519188687308162,0.007525176368495963,0.008592389782303717,0.007298899977736464,0.007955208237900323,0.008037421403290492,0.004236160177146209,0.0074989431162499065,0.005036921705851959,0.020798829054700308,0.014131657743042782,0.007885387411823123,0.00973397035448121,0.004965875456726226,0.006935766358448978,0.0066137995227723645,0.020562973543545412,0.009296548994114636,0.006366465834221553,0.006379590457341691,0.012115594061875854,0.006769351882766889,0.0015065001726793754,0.005756156754183943,0.012827799877648031,0.010656283316804844,0.004912588900938864,0.010524936338206085,0.004981693732838854,0.010157498081769602,0.02108849352682179,0.012517543481619185,0.016596354205159577,0.00816888837521962,0.012040343565243701,0.005867817391322086,0.010835413947627626,0.0076434030026539135,0.027172507799124248,0.0044013378442307564,0.005172686830241083,0.00432470660213673,0.008370063848733615,0.03649248225510353,0.01176442879971416,0.0059725543760073855
