,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a e, a l, aqu, com, con, cua, de , des, el , en , ent, era, es , esp, est, hab, hac, la , las, le , lo , los, man, me , mi , mis, más, no , par, per, por, pre, pro, pue, que, qui, se , sin, su , sus, ten, tod, tra, un , una, y a, y e, y l, y s,", co",", qu",", se",", y ",. — ,... ,a a ,a ca,a co,a de,a el,a en,a es,a la,a qu,a se,a su,a un,a y ,aba ,aban,abía,ació,ada ,ado ,amen,ando,ante,aque,ar l,ara ,as d,"as, ",bre ,bía ,ción,como,con ,cont,de a,de e,de l,de s,do a,do d,do e,do l,do s,"do, ",dos ,e a ,e co,e de,e el,e en,e es,e ha,e la,e lo,e no,e qu,e se,e su,e un,el a,el c,el m,el p,ella,en e,en l,enci,endo,enta,ente,ento,entr,era ,ero ,es d,"es, ",esta,habí,idad,ido ,iend,ient,ión ,la c,la m,la p,las ,los ,ment,mos ,más ,n de,n el,n la,n qu,n su,ncia,ndo ,nos ,nte ,ntes,nto ,o a ,o co,o de,o el,o en,o es,o la,o qu,o se,o y ,ombr,omo ,ones,os a,os c,os d,os p,"os, ",para,pero,por ,que ,quel,r de,r la,r se,ras ,res ,ron ,s co,s de,s en,s qu,s y ,sta ,sus ,taba,todo,tos ,ue e,ue l,ue s,una ,ían 
0,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,0.0,0.3497237034050719,-0.1458782721060098,-0.13195865547424873,0.3300278895472535,-0.3424932424373918,0.340301668479437,0.0918078091287271,-0.41536868744815314,0.442743761909449,-0.03490979988847931,0.015623861722900478,0.6399779046793881,-0.09972496128176778,-0.4946409532136371,-0.7690911778917262,-0.05255693150050034,0.17193608967986718,-0.09821765568357063,-0.2498703860322325,0.3560616416213092,0.6817637461658637,0.18044665687122433,-0.35866890809172125,0.13413516942699688,-0.8162010526279508,-0.7054672752842167,0.4425972740837327,0.3696852974485051,0.00522326959437297,-0.1977804560985244,-0.26565635058659254,-0.25311657573834845,-0.05076325289667938,-0.17433889898830388,-0.23637675379882572,0.06443062975635608,-0.03282070849380109,0.07809666481050992,-0.2439839493244601,-0.2691901601454796,0.2693925395088226,-0.5188971557245803,0.4135966949414007,0.763879267645302,-0.26572623685729024,0.7049647584601058,-0.3073364117242523,0.1677924791899893,-0.2372970842044817,0.6948250832624545,-0.7704218550586563,0.043413951147727836,-0.5195920772996012,0.1634988962268401,0.22567370549501084,0.7740102700165412,0.23308341266654614,0.22594429083995776,0.45671872270157915,0.8580263731639053,-0.14820071725447193,0.8455889383575261,-0.044733084077657914,0.6537253075260006,-0.018448907718579877,-0.2903646675921321,0.042108764541778226,0.005629724665414282,0.9751749345886415,-0.20642159883396446,-0.023133207570803282,-0.08392750865983356,0.11758556976224704,-0.09539330145472114,-0.10919648087009248,0.22754577269412307,0.5322795248550625,-0.08155491144253707,-0.7501774284829086,0.1329823628388363,-0.6041119122896089,-0.044793706519216825,-0.6047223861566924,0.250646314934709,-0.14866474951762992,-0.052857596275316054,-0.3174310933344522,0.25704648670173413,-0.44708592781078615,-0.2307245286070088,-0.4609031370231511,-0.29656828549819303,0.1288370001957595,-0.5493962566806845,0.6978964537152658,-0.03751597094091616,-0.06868336972176642,0.4023848418738645,-0.15998405175977004,-0.49897943329798566,-0.0969196314898943,-0.8004575706723192,0.11788188557089854,0.19379881702784912,-0.3770731104225391,-0.5339924306603357,-0.4652579407027639,-0.14452248093629544,0.8179435322837261,0.14849225708222002,-0.04420093194490182,-0.7479834012415492,-0.18297537999923652,0.4978354948814118,-0.9484687180633858,0.1657578494442803,0.08851199514079452,-0.3445645715952003,-0.33117573598395794,0.6874574928059783,0.0002453828860473073,-0.2350560343337263,0.5235998355986623,0.49093974242930855,-0.3612732698277189,0.32495251748636833,0.3112056070642897,-0.5816790792964055,0.22054315016536208,-0.22273250017682045,-0.3218038264637362,-0.15931976522937763,-0.6487433629368446,0.0734320923621577,-0.09587099367340379,0.8307762706752735,0.10205173617760141,-0.21329983289909416,-0.49536953552789553,-0.09623866014853025,-0.3192418020398043,0.1937917597515945,0.2068299228308983,-0.33547807168901944,0.18100938245203602,-0.37023282479295994,0.4640536956798132,0.42103892473525467,-0.08911168039587591,0.22516705930931746,0.3582944603390025,0.10424802651723594,-1.0855453305066813,-0.36050233351090966,0.8002479971203633,-0.14489803922880923,-0.2132212844622502,-0.5034142396576851,0.045682430195634005,-0.20866884864315793,-0.15271247830500456,-0.3561109095155949,-0.2038150577066217,0.15708217324344698,0.3481024494266445,0.2890600361536034,0.043148087918625566,-0.05754421182321823,0.4043467533020353,-0.3029192082155869,0.08913855915007651,-0.34139129640030796,-0.3545826855286059,0.46028500968956787,-0.22386431184049377,-0.18145348580884268,0.31546937502268946,-0.23806787875377172,-0.046521819997817904,-0.3760799439374871,-0.13804403936703838,-0.33112840182549264,-0.2708964123044771,-0.36633536462564886,-0.3461431314849547,0.2628525095086803,0.21497303839950127,0.0957096091175709,-0.2631452565458433,0.5858388203316416,-0.7833304224704931,-0.17503837786424536,0.053715558649581885,0.11026735668720578,0.3833558593667498,0.08759666701033741,-0.09130569350569584,-0.5650206928798587,-0.1974547324024382,-0.22442546429029897
1,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,1.0,0.37226216725958405,-0.08272811139371439,-0.17697088042493808,0.4661038578388702,0.06694022669744737,0.42188433155619826,0.08626532909008922,-0.36706435585495706,0.33128303772714973,-0.12815698628638494,0.1672356708502169,0.20512886583695483,-0.3015427910993873,-0.29967088568461664,-0.47408581656445425,0.036881880574965775,0.20688556415276488,-0.22828210031657836,-0.0698481576635343,0.7009181711077803,0.4252918830748622,0.07379640958063494,-0.11434445608122012,0.008685767469171851,-0.7808730093351177,-0.765837882867046,0.5110799459757941,0.3341316649035754,-0.10883591447816743,-0.5079316305941712,-0.6377728308605249,-0.345964849530052,-0.06471140932569225,-0.3480435113016943,-0.1793876940298732,-0.005908080087102752,-0.27996477258969865,-0.03765140357671626,-0.5936372543015738,-0.3297474466173912,0.2621407423358241,-0.293198495966692,0.5432044707013524,0.48003898229398695,-0.10920776581703112,0.579323622708735,-0.4646985605992425,0.2748533762571997,-0.03589293919322045,0.4991120458234085,-0.6044754579076818,-0.01943878325896986,-0.6535956936718355,0.2996864799035148,0.13012896060345341,0.7232607961724112,0.21332243951558066,0.002115873194344031,0.6050924431855733,0.474927048021274,-0.15321602074007523,0.439855537479521,-0.45631126114959913,0.48561499086338045,0.1444916198493389,-0.6003422936327278,-0.14002112380762338,-0.07347537468471999,1.0972156198322702,0.13952060891666002,-0.1950285823914657,-0.05800061759363373,0.08209268795174585,-0.21318619176695996,0.26434478298179037,0.006410806366482891,0.3412498283652315,-0.03571315423233379,-0.5761294178427284,-0.20314669376724315,-0.7038967164811115,-0.051714601850398,-0.6622897240604131,-0.0828350946407812,-0.12433811015259105,0.4080842724024031,-0.3212775247346925,-0.15310823382764738,-0.09194875597740226,0.05051412265264574,-0.34679730019177135,-0.15763756828477649,0.20935441119760578,-0.4989042236451592,0.4915001309820779,-0.14188817233009537,-0.02048379967711611,0.48057749014972084,0.24132029812008765,-0.13188102584078465,0.32865241882213153,-0.8031650258617314,-0.1339419340039703,0.05425864138603126,-0.15300094041032636,-0.5249714899303229,-0.5576478346729643,-0.08203501204385433,1.1306189617657405,0.19658393467225044,0.10472946128325406,-0.5865519552550543,-0.08038746172582964,0.5000771399024505,-0.8600500314970554,0.13118287889464764,-0.30496292192500785,-0.2853024559450853,0.08002215580969102,0.23696247795167225,0.30125263874346747,-0.0520506379984102,0.712513715006652,0.8241561225780161,-0.29526421492684096,0.47603443079824237,-0.32713384738762114,-0.4891612177381617,0.2525292804999381,-0.07839453723858941,-0.07844201183629118,-0.3006291043357071,-0.7417541640678524,-0.05254832890137229,0.0025232671936575857,0.8913368326374683,0.23989911381882972,0.052789321119463384,-0.47471752074588286,-0.09729946088622463,-0.08459850040957106,0.06140374237841917,0.26821029391144297,-0.600284649476355,0.23854483733962895,-0.42457847113825165,0.752781087625334,0.23470804324124206,-0.01716182459495369,0.28944054669397357,0.28552332885767195,0.02812480692369801,-0.6286373319961294,-0.17729848972521112,0.8593598840306368,0.1407616069922567,0.041437666195824785,-0.5620155958973065,-0.009371193795926214,0.25479770424303927,-0.13472000802746364,-0.4593705310502606,-0.09982194557396423,0.19911537207621072,0.11706539664508053,0.25333471887342873,-0.30377579367502106,0.4184953585915942,0.34578699443014693,-0.3576805014130526,0.1262749531777328,-0.5290811260429048,-0.39478610756608823,0.37436395832408514,-0.3729110693673182,-0.22498377280536808,0.01036087583571621,-0.2185499816510345,-0.014922473477098075,-0.38142945900285574,-0.08528110142213671,-0.3129556089188174,-0.10950957638174275,-0.6312172820151343,0.04570403594590827,0.5080003377987007,0.08687202482709189,0.4084668989306236,-0.3622425046138735,0.4779660027727738,-0.6787246370445319,-0.10465492296405865,0.17272238741273138,0.22724315221543007,0.36130016572545665,-0.3330254283555808,-0.10523704062893718,-0.5519795570476989,0.03842924742712167,0.11266970389553821
2,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,2.0,0.22147601764259112,-0.1568413547239461,-0.21100385109908365,0.41126889280876416,-0.01546921743388241,0.45991786511131927,0.04138867725698192,-0.4252395590100591,0.3278861380171441,-0.27003672411514074,0.0376587137719579,0.0845156578433518,-0.1636920343155342,-0.2917864352992654,-0.4270025490051458,-0.03126804003344791,0.13419056346108232,0.00393713016483091,-0.03852247288251254,0.4959257793736074,0.3722104329594683,0.06322059904716146,0.0709043922770123,0.285611460605067,-0.464162686081049,-0.891179380038232,0.35046782749781724,0.38846463302712747,0.18881128725920776,-0.4317823195558356,-0.5330968065075465,-0.40402557746014867,0.25377177289310326,-0.2459579506132555,-0.18529932337118699,-0.1393082094154418,0.1009480010815571,-0.24141464806481572,-0.41901248414713776,-0.011241018036562744,0.3116289978820155,-0.5970415386040606,0.7787123105273605,0.768959619492432,-0.08357805522984252,0.42879247687220307,-0.16742922534975746,0.29875420175255774,-0.2573580722674724,0.8163390061145792,-0.6672020127625149,-0.084774517993366,-0.3770046596194668,0.3348190641111116,0.33804220509900085,0.6994399430063809,0.4298483225964323,0.2621215932723143,0.41074544080959724,0.6700725604258121,-0.03894694424369305,0.7178236921806589,0.013781836736267039,0.5592124410805934,0.211220365200196,-0.5412904722273743,0.02798490415611518,0.022275743957981542,1.0753990856931261,0.06217788150756437,-0.07746299372559962,0.13224729397238874,0.12267630994633,-0.16719417625684968,0.41587010044434675,0.20035997463945476,0.4157967643447024,-0.12359213301812533,-0.43338734955969305,-0.026120405530202284,-0.4274473651670862,0.021764514877308072,-0.6088078677731198,0.12237894442561831,0.09363002055738745,0.1313433765677593,-0.09759448056247083,0.12499042973332775,-0.2756948250712908,0.031325372263223836,-0.3077889422124376,-0.16331169048899036,-0.10881909467761908,-0.3756622261308959,0.843185348509988,-0.0011145609192724226,0.03517995573507693,0.4221687260358161,0.12537937638859742,-0.5025441135897806,-0.09416623848287514,-0.9816078174986396,0.3575054154377939,-0.03192839374076539,-0.31154766562730213,-0.46439071860459963,-0.2721795616676935,-0.3238959082947838,0.818771285666213,0.08273307355479453,0.07131512129901005,-0.6521673008075656,-0.2546371345843879,0.10417490538508976,-1.0350479034726208,-0.11752987134169929,-0.0900523838760535,-0.06425889799705684,-0.23427322554017707,0.2979711332090912,0.0651913840390877,-0.2060356024693102,0.8306068342357793,0.5204573312361908,-0.26087282649815235,0.5178136176523768,-0.26356942758772905,-0.7143766963123025,0.3848230945074516,-0.10263328011153083,-0.14468380324337582,-0.16107254235702495,-0.542196698259612,-0.14417444227177884,-0.004862074254975923,0.9838874044893209,0.2965682009034075,0.16271557394085817,-0.9355942396601293,-0.1840759077638072,-0.06959483441712533,0.08539143940577923,0.28748832297662824,-0.344633904900741,0.13215528202915006,-0.21547142071590342,0.28258272464213063,0.22131510486823264,0.07028758140658048,0.04505608598483568,0.4303082198959186,0.11902977938418752,-0.6198064130976403,-0.40969610449830385,0.8328187242234922,0.09315802751839752,-0.16189633174926876,-0.5807587852854581,-0.3517108076188858,0.10012720711912873,-0.2048455034892932,-0.32730339526458746,0.10292253377574725,0.1840555474974674,0.1979721127319819,0.28345834910139306,-0.11513238120561606,0.0922712744283335,0.5301187059469976,-0.22261631073278754,0.13469474645321305,-0.4880819269601473,-0.4780008241424642,0.2824382444572827,-0.11707516405619195,-0.3774640314333329,0.2819147590188748,-0.24821373577995887,-0.2001296034948039,-0.3460818872887077,0.29851898917615227,-0.2902633154673454,-0.20038155106691702,-0.8633977467594932,-0.2624983591411317,0.23834179825462365,0.2509873834113433,-0.19053112540143613,-0.3424517814290212,0.5069523096879184,-0.7141989426508007,0.12236869917801652,0.1978053665136013,-0.002315395538742937,0.3618678166544102,-0.23408592081575455,-0.1804993918375402,-0.6947772269732742,-0.07287287367848216,-0.012023358867814304
3,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,3.0,0.3237772212368557,-0.23562891926436713,-0.14948282909388022,0.31277955474969854,-0.10455796368770698,0.33305109276122324,0.07622003748276285,-0.4178761366926449,0.2692480884679235,-0.18306476162387741,0.18742542844242638,0.36375438514513847,-0.23313499670126936,-0.41734775635318544,-0.6008845836271622,-0.05997613421230197,0.2899620639262195,-0.09150021189053803,-0.12567717304649095,0.594431955215443,0.7004953305510262,0.024274862316489898,-0.247376580392979,0.26742531953215876,-0.699347025288354,-0.8024534589199306,0.428728241736574,0.3897016245099738,0.1148561782661367,-0.46762284238637375,-0.4417532769438366,-0.39916947786805324,0.03278151317887368,-0.2326591670840653,-0.24187205626085728,0.03704440157248079,-0.12597674147113813,-0.09827659176051962,-0.3867852992307115,-0.2473409703543732,0.42298237149106077,-0.33103571486629746,0.5892117036333547,0.6927124305244095,-0.13609949803722543,0.7756781339810862,-0.40692807914313534,0.18885925773748669,-0.2721147174801053,0.429710868740135,-0.7736876733936828,0.05067711004189679,-0.49456875318914983,0.40080776698627707,0.1636642872172902,0.7756145010322815,0.43173334611773406,0.04256478263433472,0.3452465349823981,0.6175462128451363,-0.12444060572014304,0.585736090732816,-0.30507103409825254,0.5543375053383278,0.07971908441319209,-0.2940563174392352,-0.12849191345331812,-0.015677920875874052,1.1234195749304823,0.02663507277016164,-0.119577996857269,-0.1064491435904586,-0.06397023319369022,-0.2428973198842943,0.3270113911246152,0.20533581507513676,0.3389329676476105,-0.008388820412581932,-0.643239753614321,-0.057373829663925235,-0.6886602018160535,-0.2046308266598873,-0.6663809142200169,0.06121648408927427,-0.2025854906964396,0.12320760725902158,-0.41991112939550757,0.04795624130535869,-0.2495454559121939,0.0058467318221695486,-0.27094294482710146,-0.12441720473162121,0.11800450938353801,-0.47138718205012387,0.6524342959431921,-0.061766549047204855,-0.004382636923880301,0.5702514040958359,0.17762378240457305,-0.28000682302524604,0.020788150507238035,-0.8019301076799175,0.012222595974256623,0.1529829249971304,-0.2212009952526769,-0.4545917972495338,-0.27320640793898265,-0.24519420434840455,1.1220399843627566,0.1593375354268881,0.026945799694742534,-0.6581906785598748,-0.20425037675702362,0.3052506923185436,-0.9586985969673762,0.14131456215418237,-0.038482301493938276,-0.27527805132914285,-0.20031972600604275,0.49830181498662807,0.1917221824867117,-0.13978436626598267,0.6218269590903236,0.6974935426454594,-0.338402497371325,0.4956945071997303,-0.13694251271400804,-0.6754591654662319,0.3656885300939965,-0.050052007173391866,-0.2425404970257965,-0.22856697003940996,-0.7142177539252648,-0.16035087213181343,-0.01106302338282994,0.8955834261542401,0.20171490314174345,0.06930502381001014,-0.6012532707244284,-0.030217108725782843,-0.23499272636455726,0.03269286487420231,0.326330573736449,-0.3913570679668801,0.15980644535996325,-0.4508866421917215,0.5434479733200374,0.3851117271016557,0.028208908831443447,0.2130329853967866,0.3566595601108167,0.139550362961389,-0.570905672983001,-0.32512445193722717,0.8250123541398489,-0.1909150572804863,-0.09021450938854803,-0.4758037970901645,-0.022325486044693754,-0.023959634605252467,-0.04800379766923757,-0.5445190315081181,-0.12202717459727486,0.2128312343564569,0.31935792669078666,0.2659985827527265,-0.20006820010893311,0.11254126841444767,0.4761979398723643,-0.2162789997054475,0.0010520156396907065,-0.3896693672087139,-0.29234133022331854,0.3758171772512575,-0.24403811941345543,-0.2095956210289176,0.24087509962788944,-0.28846811798683414,-0.0163772033693923,-0.22080386179458644,-0.04734614364891565,-0.3237694472242969,-0.09295547558376915,-0.5918338335134146,-0.19284769463903573,0.2786596095439736,0.2883641496527036,0.15425705793810074,-0.2923136091316516,0.47968649067392627,-0.7346655236723945,-0.11062327712346254,0.07253823197839449,0.1673368838105802,0.29122133802910055,-0.23381375136519744,-0.16963688844659242,-0.8315873820416535,-0.06020782058794172,0.009216404440672121
4,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,4.0,0.2395460068966374,-0.20195430237868695,-0.05014863855758517,0.2153039978559193,-0.0025561078330338938,0.3610880123636362,0.07143049968200654,-0.40765852548574194,0.225056040175136,-0.31840316749434705,0.11341969599332791,0.3223029168160715,-0.24325178272487513,-0.45248388852957966,-0.5985580419428526,-0.12781062490754747,0.10409791603294838,-0.0516309157381796,-0.15662210046477165,0.5912399895015472,0.6594970818248711,0.09374571711105673,-0.2781751083943249,0.16842264901841625,-0.6876207186610392,-0.8281894155606924,0.41445511542010693,0.44973893595025916,0.01851612848630052,-0.43901455851030013,-0.41891271056268975,-0.2871777199015959,0.02118278902126447,-0.3283729734272623,-0.2729691531270238,0.084588683522102,-0.19610797125426804,0.11518034979284125,-0.3712202315716051,-0.37097391748849007,0.3839498298293105,-0.3953219897182235,0.5822729378496058,0.5908742761843545,-0.25066357426687524,0.5747868010097437,-0.513100661041128,0.2766982798971851,-0.27625638837843347,0.5605074981370676,-0.8191119747135222,0.1129673869950572,-0.3700829096335645,0.23886680267851593,-0.08126738751238653,0.8683214742100013,0.47297888850992936,0.16760543288862523,0.29541775481980603,0.5815760492911308,-0.05159242944897391,0.6816752371078797,-0.23406774792389706,0.5621353259794295,0.04793464626216032,-0.3892045515711766,-0.045444284308153116,-0.05684826063761872,1.0412049159855568,-0.0777963356345247,-0.14424186538293238,-0.13481238435460524,0.12264758456430913,-0.2355940736589166,0.24931255103759983,0.22966384737981185,0.5426887620325801,0.008939430342151666,-0.5209540138708911,-0.10083311497442182,-0.5879567805780873,-0.2831648617291598,-0.8054583174475201,0.10540543337204811,-0.2946662830482295,-0.0783250185272355,-0.2949253139421137,0.05852735192259467,-0.1953372341392412,-0.03811839294078283,-0.22493974185554355,-0.19633585575518525,0.01577205993277242,-0.4279860917309024,0.6357069560640534,-0.0183167269889265,0.022140837556624438,0.4248754893030443,-0.02469998439350285,-0.5302506424227305,0.2036325141619028,-0.8967810937649683,0.012278700542185685,-0.1686966232475896,-0.23908813003913854,-0.5060450221669417,-0.293680682486393,-0.14829165659074928,1.0218089483034518,0.050052992613340785,0.09338850105390673,-0.7509000304358496,-0.3544599716943689,0.202224387716011,-0.8480066391993674,0.31338289627937105,-0.059766849459029686,-0.1995842808232518,-0.22347189043753166,0.5261414840065125,0.06608389986294783,-0.017320378909700784,0.6177835755017629,0.665110986289394,-0.24847619647216157,0.4584992668922913,-0.1703276819099968,-0.6236596615159122,0.3881192590637621,-0.12084618762991528,-0.21877704454654312,-0.2687116753316854,-0.6821518405149687,-0.17131677347470375,0.0923988544320683,0.8740323339046635,0.18895199212256836,0.0977123565971495,-0.451016570087257,0.0059349475608888105,-0.2935495299765284,0.10291601606533321,0.3682100671601548,-0.4031484888409665,0.1290328424670537,-0.4732123625395967,0.47000673934310716,0.4963966169484938,0.06060858811416264,0.1250148640801193,0.38360012459837667,0.22477615936958695,-0.7312312988862553,-0.2030525389249735,0.8552186871040273,-0.07625459364535248,-0.21193547289879155,-0.3252726465403951,-0.002360954635921342,0.0003971183474015816,0.022446699033755957,-0.46657481537193246,-0.024019489630345114,0.16731241621097317,0.3214331221714112,0.23624275721626914,-0.2239045583395714,-0.07897649351049685,0.3889842060808669,-0.21504517656972333,0.061671344545697504,-0.3127271900960016,-0.2813138687003924,0.3204766500856041,-0.3104008029129985,-0.2545978188999102,0.2633560625163498,-0.317057342263104,0.009516289294510538,-0.32269806389409816,0.05641304628524321,-0.23075162440007635,-0.05501441739059121,-0.6149991679490165,-0.3062737204623487,0.21250175229008772,0.26233214667938587,0.14246222223163985,-0.30642161504457344,0.3727794128418529,-0.7107591752441624,-0.25372578912853216,0.06088707717202224,0.05124059554050031,0.42113228683276666,-0.29171789200335296,0.02891337867765431,-0.724257145946581,-0.136478581743799,-0.08949909074822426
5,subgenre-current,novela romántica,other,200,4gram_chars,zscore,0,5.0,0.41151672611862317,-0.31501091646154145,-0.06544889181095737,0.34327748655031176,-0.0743518634142486,0.24713314727328778,0.05766993333400394,-0.5292505508095463,0.17407316815803575,-0.12871251970012376,0.16048688076717305,0.265306135054918,-0.2755062769165407,-0.3136675927368103,-0.45587500505034495,-0.07923572952091384,0.4056338794366514,-0.1421291681446381,-0.050422549677667294,0.5178708836612904,0.6368029950503636,-0.041841792303874775,-0.38746247191695704,0.16761675856630287,-0.5126232530832411,-0.9382250762812643,0.3418106904514474,0.3057557528630067,-0.019029985872954958,-0.6267869284457297,-0.1833155279136467,-0.1897110287809381,0.034171347601676116,-0.35652263532548345,-0.18909596569943288,-0.26578530268609024,-0.1378024450244193,-0.09450849910583109,-0.43403268742341883,-0.2370257731180362,0.18238819551334612,-0.2925495194279961,0.5895191549301066,0.5509321019285722,-0.1623257244719839,0.6885624039676951,-0.28163992106704927,0.2483895540852591,-0.24992971071413217,0.5525079936811336,-0.7034899530666616,-0.1316737878937379,-0.4605576987705191,0.4773734217153484,0.19487192679103438,0.9170672122151933,0.6101439458532159,0.042818296492484975,0.18117793462117648,0.5691948240126262,-0.09971340115911853,0.5011607934703657,-0.36267748903981895,0.32010578925419697,-0.21276432196933043,-0.24926282219030393,0.008654429151119913,0.012190828673403598,1.1343777575249874,0.07583998667713776,-0.1979051754180271,-0.12697038371849273,-0.22099650709825103,-0.22520807874425552,0.6240789178602189,0.21363111390853118,0.2405061986504281,0.07766186251013651,-0.3870038522408003,-0.13693198828424707,-0.5512246789236992,-0.23530382243814846,-0.7532279191402792,-0.013922642897580495,-0.18536168746782974,0.15078251995457836,-0.28726395514835507,-0.16345758479342082,-0.3066035473311302,0.07916142677599328,-0.3019029449766129,-0.31425187230650076,0.18227792120455366,-0.38160922880357806,0.6722918590226572,0.07175536868939425,0.1347717138208856,0.47271353025724316,0.08413600284766504,-0.26589898946484714,-0.031362208285584225,-0.6910002900845518,0.002065984071523891,0.0677164135517685,-0.14052957972957525,-0.43411421241426873,-0.33815817608355,-0.03460930591362532,1.056239413072513,0.19677111924538848,0.007246708325953394,-0.8252278347760162,-0.36838230321904286,0.02697930535339732,-0.9974907175554507,0.30220854571183375,-0.10420778704935305,-0.45145122916623254,-0.2165750343155093,0.38753889120806284,0.26348042449939046,-0.0464688811864874,0.6889743933294286,0.8089757353483755,-0.4614773290714044,0.6085818073106076,-0.30080136702462845,-0.651758839579883,0.25853356916733017,-0.06304246598440971,-0.19146757652126523,-0.3079274171568612,-0.5064152105898503,0.00010165422806529545,0.08843825835001873,0.7876107779201049,0.2975488203177188,0.22473833700914386,-0.6979894980580008,0.06793977052111444,-0.09234489706197502,-0.030025462796888558,0.3997477593554457,-0.5115046531408111,0.031370582007868464,-0.263742977310991,0.4464919411189192,0.4460935408907715,-0.217219149384834,0.2611918353165785,0.24271731023604137,0.22032684794939184,-0.596355008483136,-0.15300720854554317,0.8449760764240459,-0.2570671225516581,-0.2581552973663265,-0.4940487741660634,-0.06290222218958719,0.052221666216517526,0.06612863150323234,-0.562047187300557,-0.04513964371094645,0.20395216898046786,0.22037463393847123,0.33103745856954186,-0.09781088344651134,0.11032069276267409,0.4453914848442528,-0.31234527656897265,-0.24017888288831618,-0.4091999077211867,-0.33997369459263704,0.31480421752053767,-0.3483243398531899,-0.2096066184663724,0.36871583003459185,-0.263098176452585,0.05568977773636202,-0.1865986939594959,0.046559897896937125,-0.3116048691754339,-0.04507928211418222,-0.5124244986946429,-0.06186666351046585,0.3223488683847601,0.14645384458640587,0.013627458813350951,-0.2645646108144233,0.47665850653336445,-0.6848070631434506,-0.1370565204627857,-0.07303355215271162,0.14825304630400393,0.261975531401917,-0.2793089871642467,-0.04421758769801265,-0.7499803498991762,-0.07100579175263683,0.047589043345689364
