,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,idno,y_true,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9
0,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0001,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
1,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0002,other,other,other,other,other,other,other,other,other,other,other
2,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0003,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
3,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0005,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
4,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0006,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
5,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0007,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
6,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0008,other,other,other,other,other,other,other,other,other,other,other
7,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0009,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
8,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0010,other,other,other,other,other,other,other,other,other,other,other
9,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0011,other,other,other,other,other,other,other,other,other,other,other
10,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0012,other,other,other,other,other,other,other,other,other,other,other
11,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0013,other,other,other,other,other,other,other,other,other,other,other
12,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0015,other,other,other,other,other,other,other,other,other,other,other
13,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0016,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
14,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0017,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
15,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0019,other,other,other,other,other,other,other,other,other,other,other
16,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0022,other,other,other,other,other,other,other,other,other,other,other
17,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0023,other,other,other,other,other,other,other,other,other,other,other
18,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0024,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
19,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0025,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
20,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0026,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
21,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0027,other,other,other,other,other,other,other,other,other,other,other
22,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0028,other,other,novela romántica,other,other,other,other,other,other,other,other
23,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0029,other,other,novela romántica,other,other,other,other,other,other,other,other
24,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0030,other,other,other,other,other,other,other,other,other,other,other
25,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0031,other,other,other,other,other,other,other,other,other,other,other
26,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0032,other,other,other,other,other,other,other,other,other,other,other
27,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0033,other,other,other,other,other,other,other,other,other,other,other
28,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0034,other,other,other,other,other,other,other,other,other,other,other
29,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0035,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica,novela romántica
30,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0036,other,other,other,other,other,other,other,other,other,other,other
31,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0038,other,other,other,other,other,other,other,other,other,other,other
32,subgenre-current,novela romántica,other,500,5gram_chars_affix-punct,zscore,0,nh0039,other,other,other,other,other,other,other,other,other,other,other
