,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,a el,a la,a las,a los,a mi,a que,a quien,a su,a sus,a un,a una,a usted,a ver,a y,casa de,como el,como la,como si,como un,como una,con el,con la,con las,con los,con que,con su,con sus,con un,con una,de aquel,de aquella,de el,de la,de las,de lo,de los,de mi,de no,de que,de ser,de su,de sus,de un,de una,de y,dijo el,el alma,el amor,el cielo,el corazón,el de,el día,el fin,el general,el hombre,el joven,el mismo,el mundo,el otro,el que,el señor,el y,en aquel,en el,en la,en las,en los,en mi,en que,en su,en sus,en un,en una,entre los,era el,era un,es el,es la,es que,es un,hasta el,iba a,la cabeza,la calle,la casa,la ciudad,la de,la joven,la mano,la misma,la muerte,la noche,la puerta,la que,la vida,la y,las manos,le dijo,le había,lo mismo,lo que,los dos,los ojos,los que,me ha,más de,más que,no era,no es,no había,no hay,no le,no lo,no me,no se,para el,para que,pero no,por el,por la,por las,por los,por qué,por su,por un,por una,que a,que de,que el,que en,que era,que es,que estaba,que ha,que había,que la,que las,que le,que lo,que los,que me,que no,que nos,que por,que se,que su,que te,que ya,que yo,se a,se con,se de,se en,se ha,se había,se la,se le,se lo,se y,si no,sin embargo,sobre el,sobre la,su casa,sus ojos,toda la,todas las,todo el,todo lo,todos los,un hombre,un momento,una de,uno de,volvió a,voy a,y a,y como,y con,y de,y el,y en,y la,y las,y le,y lo,y los,y me,y no,y por,y que,y se,y si,y sin,y su,y sus,y un,y yo,ya no,yo no
0,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,0.0,0.24779984999870205,-0.43115103958915507,0.01632134009778819,0.09570347346946004,-0.1349098950997084,0.09212373477882546,-0.40133456423085445,-0.25092215519991656,-0.44059930505456746,0.4063308208830512,-0.09264523578159835,-0.15001602108148077,-0.2897920618301122,-0.05746817504159235,-0.1499436797557413,-0.09446779421483556,-0.08514697771733162,1.2260241813851156,0.23337743106537712,-0.037082079119505916,0.2935691400502401,-0.1607118422385726,-0.3473475114123914,-0.4878896248133805,-1.0119130068738609,0.11890956328298162,0.7033450824237251,0.17053448353652492,-0.16968396566820704,-0.5367303947219795,-0.2731862807506694,0.23274235664542944,0.15589468308027402,-0.7320504528515092,0.02846264852782765,0.025409156714743072,-0.514512853436082,0.8087447609676751,-0.4468387677166488,0.28448149639568854,-0.05306803116156174,-0.19341614474205304,0.40471381744467566,-0.6165759474828565,0.4268193603797127,-0.30297478029390457,-0.038891096375800446,0.008737294503452309,-0.7034302432861423,-0.585293771349435,0.10670514524341199,-0.24294370016868216,-0.19917771612210136,-0.42219085195423006,-0.3369945850953751,-0.13106115779568495,-0.27628303440714064,0.020209073460974836,0.4556613060557655,0.031523282566016095,0.09409837568590804,0.556618162852198,-0.24122928947579833,0.09389685340812455,0.9391652837151353,0.1547168968842752,0.2355964656777714,-0.469978558198851,0.4666231940636869,-0.10116590052981969,0.009444521938517803,0.9261926418899817,0.3760294191497705,-0.6345627061964709,0.16377435200403628,0.5990266158005946,0.16210032931838841,-0.06919914317874618,-0.7716154566296646,0.3796778163977809,-0.027921707317714026,-0.33196505047983493,0.24982740251106872,0.7735649966396214,-0.23683108504036612,-0.5458323900261477,-0.3477614220648291,-0.46951293241700376,-0.006379133970612676,0.20100346994121243,-0.5523648361087818,-0.3445606890932214,-0.09405333442671271,-0.22040575827275538,0.4162575894933156,-0.22587155349112864,-0.5563897057654101,-0.7383724869327233,0.5600432820512545,-0.24709047327000833,0.3875691181715846,-0.29099919446068195,0.7327580109999512,0.36297202428454395,-0.9972000549175231,-0.4485355291581081,0.1628679446921626,0.861745610341252,-0.3369503548385384,0.012754630791717236,0.09581561307384329,-0.5440581708210244,0.5083665182279562,0.23719780363920023,0.16061196059315952,0.347519050197011,-0.1268093692565683,0.3318295793801418,0.393272451419738,1.3290080093226706,-0.33090918774661143,0.6184959430082233,0.22186726606329812,0.2302261370720861,0.13752893619771955,0.09753523534031969,0.36038328373819667,0.4867768893683033,-0.2809735159579337,0.21400466607338106,0.01017753281315853,-0.029491987662166597,0.02086391136258541,0.2899363809743024,-0.2793701425366653,-0.41272561643410166,0.00027970771339458356,0.040700244619304424,-0.2449805597490936,0.27052031413089006,-0.21223132057751837,0.18214150670640725,-0.6449041668928509,-0.2714356158319703,-0.04962738448400305,-0.20168099598051492,0.04502304694498367,-0.3958141754658942,-0.2964978634843648,0.170283517881441,-0.5734211312082962,-0.5390860188302296,0.028158533634296476,-0.8864356574263499,-0.17132082846698954,-0.21147348474832206,0.24833934269305602,0.3026384096710663,-0.06807425400384842,-0.033721148373572714,-0.02158575630938761,0.27102103413462564,0.04516402581527079,0.07266502352575863,-0.13429517267889396,-0.15868297763035905,-0.3465559690871901,-0.3198575776778141,-0.30022535771400083,-0.7159213603304986,-0.9714949003062382,0.25508139488322024,-0.4729967090111757,-0.8990686805664659,0.298325302324704,0.16716235766835694,0.1453593655267703,0.11269285204062149,-0.3886700786906814,-0.06688794670734474,-0.17500276419497693,0.7885176140240839,-0.33615706377735943,0.20172679992566261,0.24964046478284582,0.47071066578235643,-0.17159213916823893,0.31792459317651617,0.5203311353990243,-0.3684738421267663,-0.619230852902045,-0.3332843756414529,-0.17591265966659037,0.02257922998462856,0.4324749375641927,-0.10114575287628194,-0.2289578228328475,0.07533579519586892,-0.3080073880271843,-0.5069456188250409
1,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,1.0,0.12125851005437877,-0.5340939382494128,0.0403620979985556,0.15690408005641238,-0.1771513772426634,0.007637440351773883,-0.5785908799417375,-0.29151567670133,-0.5931918754029273,0.7549588219072756,-0.07831208711896291,-0.3048532664936618,-0.24863185523279074,-0.04965828713264646,-0.025020070314088524,0.1459940234737658,-0.14259839337399174,1.160192904584292,0.32112406103937663,0.168704822402371,0.5199899907528712,0.008931585651101609,-0.4393803099654005,-0.41530828996841174,-1.0145011710829528,0.04908523124236264,0.45562673062933673,0.13279266713394355,-0.3806442661341313,-0.5200648485996467,0.05449699235953419,0.31415100018146647,0.035203368020508524,-0.7545377644537149,0.15954107004517354,-0.2280541590922596,-0.5386785621826502,0.8627127722824651,-0.14281536676737144,0.7509767891724343,-0.261718577565553,-0.0823673368623547,0.40509147377275434,-0.4781023867911108,0.23574731309961755,-0.16173109354742998,0.05835218176755373,0.043543978391669125,-0.6024353011048051,-0.9366973750493023,0.21342414020574296,-0.16273380189372202,-0.0760066469435037,-0.17882482971988933,-0.315320274666769,0.12120210344711706,-0.21614669192102212,-0.14821725149836346,0.4139774319551763,-0.30052718513143606,0.10705140142579193,0.6388891530989182,-0.2794875076241583,0.16963779251233707,0.49121582362194066,0.23131913058200748,-0.08432013437027258,-0.5904522618586904,0.416587208669706,-0.011726919023556992,0.22723322004697283,0.7176453882673179,0.5434478426627561,-0.37326271973109454,0.04743642597171235,0.21578624047654138,-0.3336011921233054,-0.15476179893217326,-0.7166599581116418,0.41127979215825083,0.06348041008141328,-0.24757387234300468,0.14331851570216816,0.7578401898479825,-0.15916918199715974,-0.5303132614423652,-0.2957576842012134,-0.364508774984861,-0.14357239597929716,0.1989630777320095,-0.6798342957148527,-0.23695026696796856,-0.32624208288606943,-0.18136069232423593,0.2459165599737582,-0.25678244719867543,-0.36837176063997956,-0.5848727557464836,0.6972775054487121,-0.37411895571975456,0.33890409655004317,-0.27054616832783374,0.7063476117969465,0.21311170742504437,-0.9562192464201369,-0.36299858749344016,0.11300294351133802,0.8511003813128125,-0.16781267772901953,-0.07704825482427055,0.038411971189086194,-0.6007138574616053,0.48778046908969197,0.4460052842023525,0.05989955922918512,0.2666219751039941,-0.052046996597666206,0.6601939214390473,-0.02129152497487012,1.1024007316215312,-0.23821197539746697,0.40434861534641586,-0.013239814377939363,-0.4330210522432412,0.4153541365311702,0.12687456287128068,0.5696038133751524,0.49227202865499753,-0.1258772532768292,0.05901395824203607,-0.12850065855339482,-0.329669702520462,0.12023558295673664,-0.01685271033412697,-0.40361926705069795,-0.24932887486799218,-0.0928543447712632,0.2643868273203632,-0.42686368910335104,0.25791072250297387,-0.3184832145802672,0.48588409271380895,-0.020935013278499934,0.11370649232983435,0.027739072158092293,-0.4367662012594151,0.18180720839469766,-0.5911928404122601,-0.3502472200715948,0.1671174617366892,-0.3125431150658341,-0.48515873925020087,0.26005537703815734,-0.8181632548631051,-0.4259442646340208,0.014071947109094082,0.3553338222250047,0.2570125780946072,-0.07359077731191366,-0.05067068938153092,-0.3709148110269552,0.09623486136878401,0.05739548767946531,0.14958056851135865,0.07611133586738075,-0.20421920360325907,-0.012620430443488456,-0.13455167600677728,-0.35656878245593965,-0.5130419719111776,-0.7008673851618711,0.2943622210719826,-0.4408295879114136,-1.018651816600592,0.300348588304495,0.30503463437691913,0.3343754797915268,0.5590922054472995,-0.3847226877224616,-0.09460760540092288,-0.2159614549075248,0.6559683328419341,-0.26397586469534023,0.5046146246478221,0.1477172741369628,0.14202418839899394,-0.18949068980998593,0.38873845363046383,0.22901545821664335,-0.40381488246004105,-0.8162464431315254,-0.18023296668152985,-0.38995749561204096,0.44536998595581784,0.06956387002941236,0.04628442496487006,0.16517335338178046,-0.030676319264761595,-0.3975369385254429,-0.5655790165034914
2,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,2.0,0.033886429520127215,-0.5597520349642766,0.040783974106869625,0.08688096834389573,0.08038496279518717,-0.003668296660181397,-0.3879721590919396,-0.11311963787139406,-0.30228675092393475,0.5011487836050899,-0.05576016836214883,-0.2591656477725111,-0.467609430250721,0.044195753238800047,-0.11395485975558531,-0.26953383437809275,-0.31146763574578923,1.3332084476166097,0.5446841720304683,0.15783600466797698,0.2309291941517918,0.00565943564673177,-0.3303526874080356,-0.3599379856744197,-0.9411544675818511,0.026903637622069293,0.6278630889795167,0.2790854751566051,-0.21342696955179138,-0.6192654533122987,0.057483593691901355,0.10066287904163959,0.38160322200465646,-0.7288578541236092,0.37310560468241516,-0.319851682299209,-0.49980534675271376,0.7654458577714289,-0.21059221464359745,0.4839170352804301,-0.16446433286471998,-0.1405391381375724,0.03734366329323517,-0.5532642148405955,0.17405442312654434,-0.1229090185156485,-0.20953622215091505,-0.13798148621803438,-0.9359464044674226,-0.9645931633758391,0.30003437730895377,0.06515269637636958,-0.1473121454602323,-0.44595505014072384,-0.17566335974878894,0.051858203324672746,-0.27945219258537013,-0.019168776084145987,0.3514482725300732,-0.25454954004727137,0.15505602822844058,0.5202520969229139,-0.32271415691141553,0.10586339575570416,0.714459652875057,0.106068671300544,0.10688631998104108,-0.5009836752451184,0.40441731580748913,-0.4466503078228081,0.1431788169893399,1.0061953987520247,0.34081343592498015,-0.6388375354654907,-0.10310200913134016,0.3645813957595673,-0.14226118799893483,-0.04887009300993093,-0.9318624260497377,0.3708885946552759,-0.015317381115175957,-0.4253107462631049,0.30011363126458307,0.6331954923902441,-0.30952086421882713,-0.31682420817099216,-0.30831640007264893,-0.443144326127398,-0.12240939527803024,0.44701469999401533,-0.724613199694421,-0.14400423312515637,-0.4319897096864324,0.0793849959203056,0.335437347341874,-0.15025692776450048,-0.30782392100776157,-0.36076801603063846,0.7506769192310557,-0.3929440540115535,0.3812244391316556,-0.3732539648086649,0.4866607271174134,0.24496047658609918,-0.6995003493217921,-0.322470604382581,-0.006754546178244773,0.8078367686717108,-0.36746904425675897,-0.12185294521621831,-0.07297768269292305,-0.6797028977051283,0.2250022558718772,0.41262847331056746,0.28660400855398027,0.19754495149877715,-0.24262864028956255,0.34248983061594857,0.23576212683212852,1.2531565688761663,-0.034060841453413704,0.623246038421444,0.03926658727229293,0.08921224832862347,0.5624043483247623,0.2792867668278611,0.46497300249706114,0.4510131901772693,-0.25205656239083135,-0.0294906341166971,-0.3320561987306474,-4.126759437034916e-05,-0.011399843524717124,0.15027274837166266,-0.4371576800632069,-0.2538535068320837,0.03684480740768549,0.4087086996228358,-0.38765942669642994,0.09342178105612739,-0.14481438759060128,0.24798635779830144,-0.16413147753029858,-0.10287459698943986,0.08969621317648124,-0.415241855781345,0.25131543413437774,-0.3175727048749507,-0.054776384643906245,0.3519907277226036,-0.053077562371569395,-0.543736445149689,0.08548239141250036,-0.6626712028677326,-0.010847515734543012,-0.18155336633465563,0.23655309368288768,0.08877445216246219,-0.19780179647733664,-0.13327195626781738,-0.801924706079914,0.3889502130570246,0.06512633072576003,-0.06732108934728101,-0.15705186887478054,-0.390448699347201,-0.22957830678007835,-0.21140330855076228,-0.42938231639440466,-0.5400164958863678,-0.6290987752405393,0.20104381766662088,-0.551811915615247,-0.9166953811015752,0.3004336499575382,0.23106456300560346,0.28165233744058316,0.1796347004789839,-0.45537585340292314,-0.1480356731188071,-0.03528426452822632,0.6107735272929231,-0.17180427318268632,0.5052524860929467,-0.0345699174459629,0.2650345037108845,-0.07658290596342104,0.6241909956005753,0.2885506915635218,-0.353874610332977,-0.8326990212258656,-0.22025521761810674,-0.2450325166493021,0.13322448922176097,0.23117511082566172,0.01941496471418988,0.03773599240287785,0.12245110788999378,-0.25882998240853533,-0.625028277094257
3,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,3.0,0.18992715098515625,-0.6098039343616127,0.15488438780665756,0.09233554438170562,0.10496952201044218,-0.03473289030157975,-0.8380923322991631,-0.23656454639950397,-0.443082007230975,0.32378247960991297,0.2563417370105181,-0.29971584482169716,-0.3906146380284615,0.03818692968814773,-0.38213133974594654,-0.40909965313148366,-0.28628509896166454,1.0980633615256243,0.3385148307048026,0.1361438315247424,0.2885673923582223,-0.09393633787714045,-0.46960832489262216,-0.5023442761736512,-0.8233093387083877,0.22374452606405673,0.7771917158152033,0.26948253581573406,-0.17232636047666042,-0.3613359285908024,-0.018466892335505337,0.09540836395921612,0.4840998037066975,-0.6533173607922901,0.3373080212544188,-0.2041676854218312,-0.7884529693689635,0.3840074714980851,-0.16059168246326888,0.3929313541972191,-0.2619565316655457,-0.26812823417843745,-0.03827686657502047,-0.33746851874732503,0.14893019651499068,-0.2515743878010291,0.012158664057358087,0.08117090639410292,-0.7672147665604254,-0.666629094252212,0.02781098615474163,-0.14653663023729088,0.08760897197215252,-0.6648821746912769,-0.357084912874012,0.03850524804173697,-0.4909290207207464,-0.12997489478882363,0.6202175699235769,-0.505958284349001,0.03327736704316362,0.5721452862603033,-0.03708520352405851,-0.08746828711684207,0.7721663291260186,0.24739630827898945,0.044886895128119414,-0.44034138952508217,0.3138204314427585,-0.41712471912704707,0.07229470449785524,1.0633645340781874,0.3527401601772807,-0.36436915775392986,0.04679848611214756,0.432209086310372,-0.10953268573605618,0.051477397711171366,-0.9067608863360257,0.2918381678445293,0.24561481005816488,-0.20009641412839535,0.21117708762944146,0.8148643067370563,-0.23368989891922376,-0.3292571410856846,-0.1293817605563555,-0.5437492180734673,-0.03403420718552902,0.061085358937496434,-0.8346689571544169,-0.2559513397682001,-0.00825872126204864,-0.20413776782346024,0.399337700583204,-0.16284139141840495,-0.4375389604088561,-0.3065628866080867,0.48686635370360765,-0.404753111567102,0.4744506731855753,-0.5309314117656605,0.6246082057387555,0.4095904183060516,-0.9657006146290485,-0.22787022515846062,0.09212577313713063,0.9439853882868529,-0.4100471607014398,-0.29926819709619984,0.013467981706021521,-0.5279380757835044,0.39911211855422757,0.3173108756212552,0.36227185164435294,0.3297538665030433,-0.04592811869771854,0.3379307282463243,0.20429074951188672,1.199649042855834,-0.3849362564277115,0.38632108432184825,0.13934781336459542,0.06646665585091135,0.5351205728417003,0.10172139841430612,0.3832225365752232,0.4339048627490138,-0.5997253624995648,0.01695205767916343,-0.45684422646629363,0.002571601880568361,0.11422895141025158,0.08584308586488693,-0.551700673788122,-0.47846316498433805,0.04142484749778155,0.1959169434756479,-0.3005938666622606,0.2539766621125931,-0.13390201824932357,0.19304222477522887,-0.11779379997581046,-0.04635873640439614,-0.01487561259031258,-0.47227473585023305,0.27020611098186265,-0.2881824768641473,-0.4539903372718017,0.4150712666023186,-0.11853509164452256,-0.33728518422982473,0.1594141992013819,-0.6938099505124853,-0.03649492444999895,-0.026240827969707038,0.3886239881540682,0.28613478650007435,-0.28356187370677644,0.0685717853294536,-0.2786577158652898,0.0783223390365488,-0.0998250604698743,0.21068634195680602,-0.2803066110125405,-0.44382632461985805,-0.013687365569764041,-0.26363746388735176,-0.17745024335324167,-0.3986444580801768,-0.8954425967725144,0.1464854293927395,-0.544118701099373,-0.6922937688492469,0.5758375049331798,0.17206421683650344,0.22064762716064604,0.33800187373960183,-0.5294839511924251,-0.2460817758213444,-0.46110660778440965,0.36156829992476036,-0.2406053083658855,0.26467241417329346,0.030253670527864956,0.2914264443051863,-0.11283698445744804,0.4817057392529438,0.37068596549240806,-0.2514217379820383,-0.793032139144662,-0.260822702294591,-0.0647998377443991,0.2966009557531508,0.10468172500179301,-0.0614064047415849,-0.01732665482822701,0.05993016825003233,-0.2599947081414674,-0.6694972316900475
4,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,4.0,0.23410693478108535,-0.6230455216784965,-0.13423854711485006,0.041792857476799505,0.013888167067084733,-0.1551811951398414,-0.6707708810726951,-0.2752738365004326,-0.3273411950918388,0.27983109036174714,-0.013429965244540432,-0.4219400200981827,-0.31764259249469584,0.02005439524734326,0.09324942768184635,-0.25888113934883,-0.31323396726051356,1.0419304611840041,0.30302413800405725,0.10665135458078664,0.3479392547756398,0.052560362607993905,-0.46744693108827473,-0.17578704326949257,-0.6317186742919061,-0.09807461953330193,0.6769184462988665,0.2213290899823097,-0.28620143551865673,-0.3473707477500578,-0.15161840558970424,0.19943242425000385,0.19504383529275926,-0.8368240599944197,0.30503622943147574,-0.16456116564841927,-0.5654633066472918,0.8432610985614297,-0.15838559061194402,0.6149050169104026,-0.08709451145293257,-0.05402798727752256,-0.00747858168268789,-0.5783738526501951,0.36967475615841683,-0.23582866883259962,-0.006309689506110522,-0.10577464119439522,-0.9101308403680389,-0.886822088677372,0.17336583750814583,0.12064307596404678,-0.17373962348623745,-0.4884161319910125,-0.26356544875637916,0.09776880481248718,-0.19759067096770144,-0.23046811899729924,0.44984061020000277,-0.2245514235348347,0.048232775854600785,0.23743932125374345,0.005613664851689848,0.0708470979331175,0.8148127709072723,0.25700723201791564,0.241154888512648,-0.5968137883500468,0.22382224914791993,-0.21401562846986066,0.22445960469481885,0.7191294866458301,0.4268416743755993,-0.5658056900323107,-0.08977573883181933,0.19372957133095725,-0.19266607239169675,0.17465387728972087,-0.8573966960581005,0.2546609944220049,0.07599462815047708,-0.0518725170240521,0.09024767077293938,1.0219538459279867,-0.013517309214634288,-0.5885910504469156,-0.2660457993465451,-0.4560270870625917,-0.05976332772913201,0.3999658795337597,-0.8818170467834855,-0.28014118748325545,-0.4501182266641881,0.15343216139153792,0.34886960378303605,-0.19541108919712502,-0.5004502975069036,-0.5764814077425023,0.6263913722007685,-0.1800811184930562,0.5192865593951302,0.1380990074838051,0.6071391726338952,0.26074395233021375,-0.7067829551901947,-0.1534338646640443,0.16371487327220746,0.7574042519163371,-0.20159503393093037,-0.021363548533074345,-0.11833126192765797,-0.3876088591923452,0.451238764154737,0.5563340941808479,0.22385319380375168,0.07517284466261842,-0.5237892117582071,0.30898266376385175,0.2201869925464659,1.53129591735952,-0.170194299352183,0.42397300845436636,0.10524444164628816,-0.04052987636398764,0.521252394079274,0.33885319905175837,0.15913408501225895,0.2638859467387224,-0.4265372266920333,0.05914212596502505,-0.10355403732148255,0.056442803077662806,0.024327642482256884,0.15204505237393784,-0.46530833065842486,-0.44498844631192835,-0.0607106196401227,0.6518536195295257,-0.16818661663064927,0.024910691494852588,-0.24081415579419557,0.43540433506136106,-0.30953668943271084,-0.1965418063394232,-0.022307015973071498,-0.6747409958887817,0.059133368731290326,-0.42817492799903095,-0.32083489060475656,0.0013907713863639676,-0.28008049414682806,-0.579496747436698,0.12401435991351784,-0.6309446960892446,-0.2613508970274664,-0.03328507323918495,0.3610747423778178,0.26864835989961344,-0.32360066186757797,0.12484573000811061,-0.2048855067241403,-0.1253249430157365,-0.06573790691898468,-0.018650699519466407,-0.2686596276483653,-0.6651258424836101,-0.16450406307047405,-0.26301910015873164,-0.3182033859332678,-0.7159088060387078,-0.7722235618560941,0.23880912220158806,-0.5964570772659538,-1.0468019181608672,0.17079068308077722,0.2869343278165276,0.2610483951663912,0.32222054048685034,-0.5126639598781391,-0.01157218265202653,-0.042354202680904396,0.49202087110275206,-0.3053438922917447,0.5084496028807802,0.11441004326437942,0.48353870401866883,0.05677220197559163,0.3632507270585699,0.29007902203080227,-0.5556017732863164,-0.5818217625405775,-0.2745311489914034,-0.5197209751806313,0.417025033871377,0.1555099223924894,-0.1552336820059802,0.031989351407187394,0.09516555242666389,-0.5296067899812799,-0.6152278496485151
5,subgenre-current,novela romántica,other,200,2gram_words,zscore,0,5.0,0.13822538490997727,-0.6379949100426556,-0.02252228071678919,0.04688434674009312,0.008141934898427287,-0.12914496735821202,-0.4664710172401772,-0.1751679161293243,-0.4929595689336046,0.496714298860472,-0.032715413075929095,-0.3678171454087718,-0.27258445269724185,-0.05854903327383834,0.018242921545943425,-0.12360724196716771,-0.019969660990315774,1.021701223751765,0.29554315541846093,0.018687176203073946,0.5951905310272821,0.09871297839697574,-0.3882139035680696,-0.4882924769738767,-1.1398295362574036,-0.0313644748449875,0.7584186521110111,0.4028782005043532,-0.27831745561848875,-0.34071557480363046,0.011130350423700502,0.05391922308340158,0.3466638458601321,-0.6377440847534175,0.2616569283932367,0.012015248512354137,-0.5795931972170199,0.6276415975243194,-0.12627829641624255,0.6779434087845275,-0.08076945398408775,-0.0011406847328400138,-0.08419655662073566,-0.5581835322960844,0.2541656512849057,-0.2439012944899525,-0.16570094906133961,0.0755949876590798,-0.926447410566751,-0.9909195763826056,0.26087179867013965,-0.12456645983617926,-0.10604683539262003,-0.5282563471018895,-0.2507786871205989,-0.11310698329509543,-0.1557028316385171,-0.09305936225484926,0.35075919709874726,-0.22635478809058684,-0.0010959028215926508,0.4459188917513611,-0.24150253280216355,0.006133668366824274,1.0598143971096026,0.30872714488219555,-0.08605753565662377,-0.4952461290217815,0.3574968425476416,-0.4366715364257838,0.012286950160696974,0.9408033006936957,0.41485491539254127,-0.657485402090281,-0.07968773232985715,0.3120462705717847,-0.026897025091798976,0.09455676219451908,-0.893003111306546,0.1129547345399875,0.15431727833433176,-0.04904086417728798,0.15352740840816173,0.9640902662281164,-0.17802006771574225,-0.5344714113501267,-0.29255235897493526,-0.4623720605817587,-0.27875575251822765,0.14308927358444354,-0.8306783136687372,-0.3332378817506527,-0.39609322498907673,-0.02962436779730855,0.39924953725722,-0.3534734503285191,-0.46113380532431847,-0.5333278643919235,0.551971659951275,-0.4474253437605095,0.49668988321295804,-0.2550800659630951,0.6672601181507096,0.17507387479554773,-0.8001477707262477,-0.20756315417556626,0.053207257139610664,0.8038746369361822,-0.34355068251219933,-0.02065225745619359,0.08105846304375863,-0.5851241070290856,0.248379509773911,0.36868111467410936,0.05266125268380151,0.08727221480867797,-0.1844080624821324,0.3584720687425991,0.09001587082694773,1.404694359194725,-0.28777671901450524,0.48836776837939144,0.15705915210046506,-0.20940091401742766,0.4139605775583404,0.32453890417056747,0.4665898857030705,0.47632433288495224,-0.31992822180859026,0.007694645625611896,-0.25723301540113636,0.12188560019330258,-0.11051584976733092,0.23942354687458983,-0.43116792784333335,-0.3883334480077446,0.22184083183424896,0.41228587236154884,-0.29553953151223844,0.007857617077076107,-0.2778968200884162,0.37092831695865214,-0.16741074955118995,-0.24785487729508393,-0.009383210544339327,-0.4343783286302746,0.1750401499311079,-0.18155308200051934,-0.2744536321109395,0.27258174227521736,-0.33063485707312307,-0.542231623329384,0.144762879652447,-0.7234395928156385,-0.017806301140748493,-0.09201835668845221,0.3307953957629207,0.17205862649107923,-0.15330879133543923,-0.057898357774154814,-0.4219719754442066,0.23732536845689056,-0.024969180754329023,-0.048902150564938796,-0.2877501034702037,-0.40245557229971873,0.0032032461114011035,-0.19538186401540714,-0.31854731343949483,-0.5827986258549831,-0.9016469963335674,0.24770642839663976,-0.424845101197606,-0.9441143396147362,0.6951902359971355,0.42456126420732315,0.1106547636665769,0.5307723882474639,-0.4424785751733367,-0.17307866777432457,-0.10938760564583327,0.6498747267636659,-0.2836011879303183,0.3077174730792597,0.18760663411492118,0.46262804676075386,-0.08217293681259852,0.4731692738529685,0.3049120116956277,-0.3824651032974069,-0.8995420156583311,-0.48984624748178607,-0.5718021742943976,0.20430984553170659,0.4761015718512315,-0.15647079290025157,0.08469474585109149,0.08467064901955287,-0.35589464272129073,-0.6558173194900826
