,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl, a e, a l, aqu, com, con, cua, de , des, el , en , ent, era, es , esp, est, hab, hac, la , las, le , lo , los, man, me , mi , mis, más, no , par, per, por, pre, pro, pue, que, qui, se , sin, su , sus, ten, tod, tra, un , una, y a, y e, y l, y s,", co",", qu",", se",", y ",. — ,... ,a a ,a ca,a co,a de,a el,a en,a es,a la,a qu,a se,a su,a un,a y ,aba ,aban,abía,ació,ada ,ado ,amen,ando,ante,aque,ar l,ara ,as d,"as, ",bre ,bía ,ción,como,con ,cont,de a,de e,de l,de s,do a,do d,do e,do l,do s,"do, ",dos ,e a ,e co,e de,e el,e en,e es,e ha,e la,e lo,e no,e qu,e se,e su,e un,el a,el c,el m,el p,ella,en e,en l,enci,endo,enta,ente,ento,entr,era ,ero ,es d,"es, ",esta,habí,idad,ido ,iend,ient,ión ,la c,la m,la p,las ,los ,ment,mos ,más ,n de,n el,n la,n qu,n su,ncia,ndo ,nos ,nte ,ntes,nto ,o a ,o co,o de,o el,o en,o es,o la,o qu,o se,o y ,ombr,omo ,ones,os a,os c,os d,os p,"os, ",para,pero,por ,que ,quel,r de,r la,r se,ras ,res ,ron ,s co,s de,s en,s qu,s y ,sta ,sus ,taba,todo,tos ,ue e,ue l,ue s,una ,ían 
0,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,0,novela romántica,other,1.4748836343523202,-0.23282138221239224,-0.5083747129491275,1.4321598126241961,-0.4762455631570689,-0.34330238517977585,0.17622117933845138,0.025865397748027874,0.22409506802574583,0.20327176264012325,-0.13235775173365016,0.6758490252735657,-0.41526485236531907,-0.10940311300004119,-1.2456272049290975,0.22258416449181373,0.04229383543060283,0.25404352036699673,-0.13745539612283902,-0.22667122749748203,1.8647309039816111,0.5200129593143251,-0.14907988609714184,0.4453098929549148,-0.7809272869953515,-0.5727839365381113,0.46458121345923137,0.5397862510188587,-0.25738865169763736,-0.29163079873817066,-0.9397720196584971,-0.9048886013948167,-0.1903406449218542,0.11038297180625037,-0.16876222897823956,-0.037862792591351946,-0.13484090386292402,0.016239553086798475,-0.6336064284853806,0.045639307974105536,0.34049773843631215,-0.6469519284746144,1.158375269134782,0.7696295379641092,-0.3700184864048099,1.3227253108914359,-0.7381441223669793,0.8094642206148126,-1.1080741474867601,0.7477343311719222,-0.46695253866767816,0.3976219304487717,-0.36383768739042033,0.8935191068884402,0.7068422586892937,0.8817664525604287,0.3060769514580819,0.09369087288642985,0.6303039158552077,1.6655315182874406,-0.6799812653264963,0.2995404202981573,-0.29396583596823544,1.065911290681489,0.1912290832111807,-0.8015956601419012,-0.3620837252957037,-0.5309252190040463,1.5021188767064357,-0.0755331698902641,0.09521688096970582,0.30597951200184637,-0.17399864269442178,0.2350578216608702,-0.306299704528601,-0.005831860084778762,0.004751601823224982,-0.18521785193539853,-0.9831265970459647,0.5165141738747743,-0.8545626354595308,0.03537887894124958,0.8092155663282818,0.21360810241613581,0.35870765441308666,-0.1587591550305304,-0.5765651553859024,0.23038696280585938,-0.16881461179442525,-0.36584297487375594,-1.1742318672494028,-0.5831194014860313,0.2571374326333278,-1.4164740630443111,1.497499811335033,-0.015529290294296005,0.8003385477513484,0.25022445793297954,-0.8372355356822339,-1.6585302695765143,-0.00046970250400335534,-1.5050235012147897,-0.36340611714003146,0.7061421807281343,0.1305368568155275,-0.7964340460863304,-0.348053451624952,-0.290783912866853,1.1454357367395542,0.7019992900161041,0.016186005619040544,-0.9233854869076882,-0.4466930192063359,1.1116812628215702,-1.4824046356073932,0.3096521092861304,-0.5332850885600998,-0.5186654808730262,0.17023913275315816,1.200789368787978,0.14382870817579507,-0.15490855718663,0.2624882557968139,0.18232731508770084,-0.2732094689181198,0.228004914724792,-0.03209844305808973,-0.8603576127538691,0.11998218841398245,-0.19973793275676088,-0.08411405774213399,-0.270044144732815,-0.9816024034423636,0.943833936754146,-0.4021254784449656,1.087994256161661,0.7066644713942831,-0.3404940822340373,-0.4544017217909478,-0.2188945598210294,-0.36341862703847383,0.5463689817267049,0.02782433345043067,-0.6038926827481804,-0.03579056345389853,0.03575142240502471,0.40610907595822293,0.4783838893094721,-0.2536122528251449,0.8017091700720888,0.1706329859196033,-0.09573711267224505,-1.331999362145389,-0.39828997027430535,0.6157050191403457,0.48731036844003783,-0.44335142627866353,-0.9267962824480891,-0.1603663103851677,-0.45751161086978775,-0.45564290715390277,-1.3917558457072376,-0.14480877391470065,-0.3946874867339193,0.6621406651994125,-0.2497911948575896,-0.4412475410111673,-0.1394231465368836,0.6239023140775929,-0.08695404115297778,-1.4487779657472473,-0.6777225429566689,0.22668486963846124,0.4934107228945902,-0.8183841978009804,0.4681777617388857,0.3002094617010791,-0.2472154237164007,0.08602564112278543,-0.20178680695716178,-0.24059526047353458,-0.600353723351191,-0.4688306046682085,0.11971903628402203,-0.04325440425529831,0.3878487765188129,0.3422575844480913,0.20412974574597276,-0.784340427390905,1.1537995823386953,-0.8462717653626799,0.0751806438278424,-0.3008396419989131,0.5744545943556139,0.35905192693237276,0.2128600318107111,-0.16766120433521048,-0.5450111130779782,-0.39664258306204747,-0.23929841374648053
1,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,1,novela romántica,other,1.1598870846232123,-0.26672298779826287,-0.5395579298632907,0.9974339353227862,0.05310245905530797,0.7589862414676589,0.15926772273393164,-0.023089268263493667,0.37992896775482654,-0.20200431239106154,-0.25656390918815575,0.11092415294605107,-0.6228344510717474,-0.21954784269555389,-0.7074966457381067,0.3976223454266581,0.29706490922822426,-0.19692388760239293,-0.04667780853100356,0.26420139953438637,1.2185118507197172,0.17291685814693847,0.3666595666281196,-0.4171481755177853,-0.9651690519619816,-0.9189221831314478,0.24226566913637904,0.9401157012299296,-0.4227082239145512,-0.6654064066904848,-1.2043144780723265,-1.3509896137791193,0.16162827233907728,0.09486574571967182,-0.15438392416176772,-0.2600930909662508,-0.24626932062782636,-0.4300498461300737,-1.0997095093542208,-0.2233822280642992,0.19282234916794938,-0.7534390889777332,0.9674177589740272,0.29209866079753766,-0.27434156967546786,1.346092299360461,-0.7309116053559199,0.5405723366277493,-0.815675319382676,0.592089385690979,-0.396451949370329,0.23854781632007493,-0.5151508441851995,0.8117741693196137,0.5629625704256431,0.6555610702762447,-0.10994476021839272,-0.15231541823639927,0.7988452081211765,1.0459503858464352,-0.20975104848997717,0.6060734166453132,-0.5475565097984261,0.42888611386754083,-0.051694601105600535,-1.1397670080556574,-0.1737940559399096,-0.6937633048645144,1.978965108004656,0.48817052311006714,-0.026928312597790605,0.08718679765975507,-0.11966113742277695,-0.11246638718817037,0.28926815166558517,-0.29723098464361186,0.14736945795890477,-0.23644813792075725,-0.3859912878279489,-0.492942788831774,-1.0103148254614538,0.3658699754530974,0.18938833316039716,-0.04963473039510369,-0.016762966215721486,0.3074078502810802,-0.020797276456071323,0.08389663735297836,0.3817102773675545,0.02162698347755787,-1.0037096725990655,-0.4391582579424158,0.06055028010215424,-0.924796504340015,1.177169036260004,-0.6670563197957616,0.24772786471156993,0.14540656404321806,-0.1618520732805594,-0.2533238298410565,0.35063420641273446,-1.5930716323819492,-0.4526769059235708,0.6955034439319614,0.14095007545168203,-0.9332055020642922,-0.4735086867589807,-0.3258575173825815,1.556523847980924,1.0099333853628818,-0.07945189574859124,-0.8038147924778993,-0.5914988815529392,1.1186182027181193,-1.1427503943057695,0.2394767819545266,-0.4866118694528405,-0.35461827892080644,0.5345568034906523,0.03861290562901343,-0.09932288285652446,-0.3182953338165475,0.9981051114143438,0.9401310805715938,-0.6112231429731805,0.4499426262061137,-0.6158735687925843,-0.5902556045063083,0.12051245703203606,-0.1433695383046406,0.31813813946753244,-0.3096794323744789,-0.5806380616624887,0.40792908894715696,-0.4040921831354909,1.187408782179899,0.22335982199151727,-0.5240814633837172,-0.20239061171776074,-0.2655471646539139,-0.0005938615456181351,0.14409920444725322,0.22722468707122068,-0.9280380214825409,0.07366028807953151,-0.4082135754363835,0.43219994913300264,-0.32374988637045565,-0.07382147987131138,0.5203224597652394,0.1811833192298915,-0.3507592977952827,-0.4896212840879285,0.08932517672505891,0.6170906093332107,1.1193206897577441,-0.03194069753690343,-0.522276925281902,0.3735692452605218,0.36272815002127345,-0.5916349770381226,-0.6784972954015608,-0.7268738592040368,-0.1472551553415664,0.5886216844263896,-0.39550992305074795,-0.6073086534157202,0.4081443295400532,0.34187323404870384,-0.4861737607381035,-0.7886097295788271,-0.6180161554959817,-0.2386783363462226,0.2579848555051365,-1.1150872874725624,0.045049372591888126,0.2613095342356464,-0.2766268233101954,-0.026432831591488237,-0.25009575864560984,-0.20460947103734534,-0.2969556203924897,-0.2985584774057217,-0.37629431426043736,-0.02979935960871538,0.7036308876395148,0.33484531941954976,0.5088488138959664,-0.7560531486476024,0.6930686456957255,-1.0888905919205105,-0.10397728321067534,0.5250926131770517,0.4773314239691633,0.7015372473814607,-0.008317313869101062,0.1284128285783357,-0.6835089095849691,-0.17203793605059875,0.41559493050608143
2,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,2,novela romántica,other,0.7094890284239583,-0.34612618648695287,-0.3801132722414369,1.202872958018261,0.01686813768463552,0.2966324921208933,0.016127035511955712,0.12012950359723204,0.20679340443446753,-0.4377697944199901,-0.19598946504042225,-0.27907524619753304,-0.48849299649606026,0.01601473268254172,-0.35892754675191035,0.45002812076739296,0.11463494929566675,0.2863227816117334,-0.043016825192537356,0.1878384711356164,1.5015272221154694,0.37789489437478196,0.7942367287380588,0.7917404783459773,-0.1809217486779653,-0.959430009247905,0.19162747178905937,0.5809330666298067,-0.11642745583432063,-0.38748184447365175,-1.180474237450681,-0.9250615931985455,0.8409726001168789,0.4963224671211839,-0.08985631663401106,-0.10433208326914228,0.3805113327551696,-0.2762760737492,-0.4840513895748272,0.04873898482172645,0.5587746800487652,-1.2899953430923983,1.8233280583459368,0.8707508578555606,-0.14724411575303728,1.056612884549014,-0.7512984619794926,0.6112367693289129,-1.317907596488747,1.098864138113143,-0.33332488809521876,0.33094350854349625,-0.6456063269939977,0.9117614414837003,0.9107129351902298,0.8510991836529166,0.31516226167774786,0.40883230226420286,0.5939989999617924,1.2701743384020443,-0.5645711492985612,0.24051949157840535,0.16948459572207714,0.661958406905337,0.1107303369869782,-0.6395753604270636,-0.6129142888948945,-0.5427467360668012,1.6319602126272408,0.22554608645616417,0.09198407593574331,0.2990182939720387,-0.059625679173496426,0.3104673819187099,0.22501100042831196,0.09799760189060286,-0.17477667165008137,-0.31378390832802644,-0.4126790595351938,0.0005706191490768009,-0.47121421585057766,0.43444372855341146,0.8695821949252958,0.33000873195887037,0.3602109288140143,-0.09091498388844471,-0.24500461627717263,0.6250311253278387,0.2725666606992011,-0.4525022989764166,-0.615571038741345,-0.4823108469206385,-0.1874678777190839,-0.5944233829124932,1.3883399281401032,-0.10884790992257976,0.3192683663349722,0.1004516797828437,0.029816859947636387,-1.3016395572563004,-0.2516900649854265,-1.8931400079091478,0.12493624217405447,0.4129459887566037,0.059086480197516444,-0.40403467172326113,0.01944209526877172,-0.055797463124281965,0.7787510323202687,0.6075651756592917,0.011831628879332312,-1.0489417159100585,-0.3857536051314218,0.05086829185939162,-1.1618102335840361,-0.33978354017687995,0.26597496546177024,0.011207512368042627,-0.23862246763038475,0.2332252051060899,-0.24471192106902623,-0.5078310521029858,1.34886155345204,0.3030717475692885,-0.32754202529521903,0.5825656372772524,-0.5123100960200766,-0.7916155385805748,0.21801420280253736,-0.6900366530578343,0.03998111807142557,-0.12403268683465074,-0.19256683264905572,0.626533175458672,-0.5188335261109756,1.8611070843571826,0.5640038216413068,-0.10206896569087465,-1.0881970542012556,-0.1768342695540385,-0.29441477659349774,0.422071597302924,0.03552634342868949,-0.761085448760419,-0.022417661377371056,0.15215479370940993,-0.1241815772304049,0.0375895822849453,0.31081722517674676,0.353677636880994,0.19092781453591723,-0.20245117665226658,-0.6879084314499618,-0.8259547921752604,1.073403600672592,0.5959234045759703,-0.5915923524644826,-0.8366998846218268,-0.26486818526583716,-0.34635732840735256,-0.5680416822165423,-0.861328130740553,-0.041504683456093455,-0.08908005388070295,0.7086014455037142,-0.2868001395191165,-0.466353112327407,0.01630268389424616,0.8392384806610262,-0.22044055393698503,-0.91607118107802,-0.6599501546850494,-0.25771764465633634,0.3611840880473543,-0.7801911554067542,-0.00852044840040933,0.4348608328773973,-0.3684398584818586,-0.31190614811369516,-0.1944438198817438,-0.11364080942619698,-0.7731616808761497,0.010568224693783546,-0.3159317901515187,-0.20791748425988768,-0.12864023028023758,0.7848432616116295,-0.4379065356135115,-0.7994484719898526,0.8820380289479304,-0.9195140484029766,-0.0036003493477012594,0.14118729834378263,-0.30621444919655844,0.6278904040247831,-0.1316636398099828,-0.12387042393585734,-0.9915203840651984,-0.35250379559482553,-0.10336228618888421
3,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,3,novela romántica,other,1.3580793624558103,-0.7145017531165969,-0.5591217394942416,1.2578702811091709,-0.08679010381016061,0.13169223300079258,0.03511061839127194,0.3906199195901119,0.06641519972115617,-0.6540906743494124,0.056545468419908484,0.33901825647011186,-0.2922672925361207,-0.028458358489605207,-0.7318099097127435,0.21455372673287254,-0.037355164671600605,0.0794966423110417,0.061238518100111605,0.2471569753153704,2.1380680639836367,0.5008379590201255,0.33907291143365326,0.5815283426151974,-0.8731706699468984,-1.0261818279203312,0.6047985577975736,0.9050609684277284,-0.1094989545894709,-1.0134018578770432,-1.3065036280890427,-0.9982916499608994,0.2468575653676368,0.16651883698718517,-0.29151376700617115,-0.22911488597129193,-0.42001294112773024,-0.5929292434759503,-0.5751816199390096,-0.23727092449963605,0.48429469142107995,-0.8198789502865376,1.528068608425243,0.6358885634236351,-0.37662850664346914,1.6081959767123775,-1.2238148668367503,0.7683437715276349,-1.2700476507428453,0.937302392306809,-0.7247806494970446,0.19692501425248254,-0.4988610268421554,1.071015259028537,0.28990823534873394,0.9451281258096187,0.5617195413733278,0.14809080851157397,0.27058395653380884,1.5088105232289108,-0.815030234507585,0.1614349565520392,-0.5412988309111135,1.049611435438207,0.5565371889910051,-0.8472235438325062,-0.4144631547844453,-0.6477540005236575,2.2606363330028416,0.11129573890582667,0.13094475791308957,0.266222309815641,-0.30307327826517394,0.17180188426557175,-0.0026886488893043126,-0.10010286285380232,0.01248047463316082,-0.15684881747574164,-1.0310360439179944,0.05267787777166966,-1.0256063889015876,0.11010208857614079,0.7449575353759976,0.24039383257101354,0.29201868038928547,-0.3086622620893582,-0.7362378522111004,0.48391845893430574,0.13106486652480953,-0.035879613639726804,-0.8632803851971214,-0.3437732222723151,0.2635751588245121,-1.391879682798447,1.381718647026616,-0.11983918862859189,0.7949870467627136,0.26315883852676025,-0.23940808238249,-1.1578089331478023,0.17216431766454177,-2.0616539903762336,-0.2422309708017254,0.6663315458700407,0.3519050320073758,-0.716057773564152,0.05052979776287603,-0.3712153432763259,1.7608384490522315,0.8532097594455457,0.061373526097378894,-0.9077506090565652,-0.4380139675300412,0.9890718047960148,-1.397830569977439,0.6715544530835442,-0.036873840943589364,-0.3158473405174107,-0.048896667619192646,0.9073469779116352,0.15540939817513522,-0.0816648944282159,0.6932349009518233,0.4312731391245892,-0.1130539930104375,0.40002469504610705,-0.5320831796307446,-0.9657300271627887,0.25504244454886815,0.13480808099632569,0.43641836175064963,-0.2332096788650917,-0.8297662074536787,0.5092205339289397,-0.3670993179020261,1.4974694028803675,0.8499244635533365,-0.032370955190734296,-0.5216545998663431,-0.5597365757223594,-0.31584143733223513,0.5708383866334097,0.12902022687831627,-1.065779190136006,0.05757690948941363,-0.16775793216876878,0.11867173860418134,0.3717656127690685,-0.4486432818316112,0.4936326416568817,0.0024798879248715266,-0.10785155327409801,-0.33733745407706106,-0.3667457659593225,0.5595356177137274,0.5552452331973097,-0.4030056954218373,-1.0080552464154644,-0.06223030579797406,-0.4067656501247463,-0.2697541069668432,-1.486142206745762,-0.25983426603552173,-0.12115339044012297,0.7039489767386296,-0.08621936381988293,-0.09363200124439608,-0.2805744338610756,1.0053416604425431,-0.3029780169056835,-1.5854640840550416,-0.5654323141197826,0.6618861518107391,0.4408149710575662,-1.0841629731190414,0.23905345823989932,0.1869449677500552,-0.3520484535368147,0.08591066483423493,-0.0617999065483672,-0.5475061812860269,-0.7332167306386743,-0.2726785014707658,-0.053888742849237614,-0.20429269902073743,0.27628253910667455,0.7413595283244296,-0.2531869606917856,-0.8249398591192909,1.0228694113903267,-1.2303368337905642,-0.22024600308327358,0.07686090854746475,0.2724441063244427,0.421490035095605,-0.06031452313674546,-0.06226980301339102,-0.9704219736358519,-0.4119791590769165,-0.0515207350848923
4,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,4,novela romántica,other,0.5343031219836885,-0.542283163065181,-0.491798953579226,0.9818434528253444,-0.060644962636039246,-0.38575645403967784,-1.1546319456101628e-14,-0.13031960927616115,0.020471470819462878,-0.5659583997334618,-0.3828000944982939,0.1550652574649678,-0.34013468696236115,-0.33953053465094507,-0.6187868054324392,0.27067746098509504,-0.10222262497734191,0.17684938212043777,-0.1735849465482473,0.16585725011004815,1.6765390254903874,0.2821951280839077,-0.23591037298058803,0.7069202352984152,-0.6530643564542542,-0.7763723651692143,0.806986172019504,1.1414603416210336,-0.009162030339013194,-1.2895451229324053,-0.696918842790327,-0.8846172241323706,-0.0783743284819205,0.3740987952114835,-0.3094192859974312,0.033779726689785794,-0.17698060523933146,-0.43562964944538374,-0.6896031904205713,-0.004193658423269575,0.2684307906523611,-1.1061711166620354,1.3888561239732753,0.1995332744838496,-0.32608136681900013,1.4628698816274237,-1.695528566493142,0.5266647782733487,-0.6316361379134607,1.1443184274673706,-0.800806505878616,-0.1950723743908922,-0.7329708362500527,0.9256668367249561,0.5031025260434105,1.204101028601337,0.24794482947656293,0.007534100027210222,0.4576188209423817,1.1435025179202332,-0.42413597763933275,0.6437265431826251,-0.4909016116946161,0.5896389988089354,-0.128839242696406,-0.6387647157959715,-0.31009996789998806,-0.4579965459320814,2.011847110718007,-0.013533392463146665,0.22456411160988066,0.05524668462258964,-0.014976728838553832,0.17884773104016327,-0.0015031813523864734,-0.03444442293622774,0.5150263136835065,-0.08587752908033197,-0.9451511607397494,0.2566990883311928,-0.8348085225255142,-0.05501723051885188,0.38812013442277293,0.25050173523364316,0.018895327545980445,-0.7056249907466341,-0.4226239773320226,0.24599212855626695,-0.011905628967708193,-0.12162640422493365,-0.35990333331320934,-0.3416844250527866,0.38892368994035076,-0.781997561095588,1.435305642839833,-0.25742176487707125,0.3269479312755965,-0.20293507436116998,-0.5484273851909565,-1.1379085603488452,0.35813028136013814,-1.545089836785872,-0.5855411708492149,-0.2811467422634082,0.43633818845061345,-0.5160542390175613,-0.04182181455920575,-0.20502752658468681,1.9636741995261975,0.4486219199523478,0.7036451390602395,-1.1696211669696353,-0.9303185873943915,0.6390866307553719,-1.1436013383496677,0.9766783832355448,0.2244118129983006,-0.2592082185658633,0.31585988191613756,0.8390370768788231,-0.13779629291135898,-0.01656625493673136,0.7322191008014332,0.3590406334020737,-0.3315251408535467,0.2013095531139828,-0.7958140899464414,-1.044891458866713,0.2372252277025999,0.11320762073607638,0.05840621716742822,-0.10579764736414132,-0.7431648249294054,0.26325966612289253,-0.4665708252831622,0.9669442805066333,0.5444347823563316,0.48438584191364287,-0.2190544221157067,-0.3590097636865701,-0.4652201368347333,0.32376724404218815,0.11731159739930352,-0.9868185805681505,0.44032697103313456,-0.23904642550919664,0.3144419138007941,0.719905409378387,-0.26892504965531105,0.5077540153277775,-0.011875024882284979,0.017153299186243753,-0.47413114660788436,-0.31599665531886756,1.0881880208287384,0.585540261836256,-0.6757653897785338,-0.5598034115787458,0.4171267888747743,-0.3194766616936856,0.1336706781110255,-0.9191106579534754,-0.27808149432690754,0.14756654777809874,0.9155334444946057,-0.31449101321777806,0.15079523595011635,-0.5749282629028061,0.5493905084893425,-0.40125348409127914,-1.112848138032792,-0.4123833563982353,-0.004355578638337576,0.8829290674619292,-0.6187926011597449,-0.20917935690858758,0.6077220104560419,-0.47763357088099645,0.0707458320069334,-0.5164616316923312,-0.17452406888917293,-0.9065943773911598,-0.2954416733679943,-0.5597011694417524,0.02499719398333,0.6043601968516059,0.8832338899733521,0.10130971087329055,-0.7991528819007601,0.5252663356512013,-0.9843903445889683,0.033781753826173766,-0.29809956188949416,-0.1643851688401008,0.6151749094762584,-0.5669614045982849,-0.07113552867456852,-0.9050548825136475,-0.27247154351809477,0.010181159068836654
5,subgenre-current,novela romántica,other,200,4gram_chars,tf,0,5,novela romántica,other,1.1933595633810388,-0.33301768219199057,-0.19270044353767068,0.7767034496733198,-0.026851632187731234,-0.3618486944406387,0.029381013072970585,-0.16479736982525134,0.35087946893233524,-0.6395067000223471,0.1771010421560637,0.05458427035727931,-0.386961883446036,-0.33485446077387837,-0.4305279717809719,0.3189146878401079,-0.027104802155235808,0.1629724017288106,-0.0492983809902694,0.08277576268842068,1.3251360663002374,0.4290246224037206,0.09440362032743455,0.31979050563114675,-0.6289353202255576,-0.8199170341298572,0.14847981231988105,1.2003307232454183,-0.04455362039365984,-0.7496859091392359,-1.010559814932228,-1.2338507926071978,0.34318369966377493,0.040017814146815434,0.04234251548309398,-0.1449186501509766,-0.06596088997541827,-0.13645073796230522,-0.6380817059419177,-0.07859249456897732,0.6785047692006638,-0.8080399469010118,0.8869885871105574,0.5043944879581144,-0.4694366513093452,1.3498710598303485,-0.41705580062149195,1.2019861721076741,-2.0623704811039225,0.7201757897204122,-0.5009774287977404,0.4131231480784129,-0.5181133255680281,0.6151650726475716,0.36021588796387527,1.3857465289062483,0.3174753939006355,0.2989517996897893,0.7302192061758519,1.0881660763899546,-1.1376558602263778,0.01788520457737386,-0.342974953497585,1.3398313874643426,-0.27073303613596,-1.1637046083600613,-0.17478415735414443,-0.7659500010819961,1.814717285005049,0.1657297370348853,-0.02357364871781842,0.4020832848062434,0.4008585088631489,0.1809153971717643,0.28011911525586664,0.1969083416372861,-0.14366745332333763,-0.13712003993991995,-0.6749865037543914,0.3610226272103539,-0.9831502061330257,-0.1221973367886856,0.5725554614161664,0.08535735050922844,0.18546296379289418,-0.3479683276499218,-0.8687729653032424,0.3731100410732363,-0.07489002331230654,-0.801503902048089,-0.6183399260160782,-0.12316418788999972,-0.3489327729011995,-0.591718348434094,1.177601652550249,-0.2679642283774456,0.9688144337504686,0.2655042110404746,-0.14858891092241333,-1.2204640225333518,0.2940440064791181,-1.5644368336897614,-0.5938907603520106,0.5675952411696327,0.0633404965683132,-0.7034079126749131,-0.2818904695003501,-0.115142600995916,1.7904727994539469,0.5754210442998604,-0.30908193898131886,-0.468141546172383,-0.5224447816750595,1.0834079700996777,-1.1042017713721761,0.23073375639712845,-0.31452408868025855,-0.5586238280099871,-0.13459429494328617,0.5148931163579674,0.46818900547216036,-0.328875381483549,1.1302822302252125,0.36480612128400736,-0.2535099422111904,0.3967272240740928,-0.42826677160515747,-0.5385114161198845,0.8801718320883162,0.0747381489206067,0.1869402549685566,-0.3653866855249608,-0.4990330833305724,0.3787619373619131,-0.35469733258681047,1.1033908366201863,0.6310308530150738,-0.16092650305272027,0.13545032610945043,-0.27796501945063157,-0.33706484107089896,0.4253436118051083,0.06846136345164056,-0.7561257351544638,-0.17928073974054193,-1.129545829597014,-0.06859848871348184,0.13273188565774008,-0.5208889232929146,0.3664216575145194,0.04374487366211799,0.01939489888434298,-0.5505321391912815,-0.6658552600232034,1.4822649737601992,0.6920341545216693,-0.49481570092557114,-0.9492105926279277,0.2769180125157529,0.16912157695131858,-0.5124054057927141,-0.8158290745541315,0.003786520018849049,0.004772561503630701,0.8461480482756341,0.04148028783418056,-0.23018380000753869,-0.515337481054866,0.5454564957951721,-0.07099482945372315,-1.328537615760355,-0.42446282558340764,0.24650764440776707,0.19211259690561933,-0.8949930582464111,0.18943760327038384,0.23577334154453966,-0.024573154122543683,0.09749254211929248,0.08553435939677678,-0.503985954746511,-0.604020730383025,-0.06759701716103206,0.0308654888355413,-0.3539622383925941,0.19295307470803152,0.7280954042673032,0.08416376243203572,-0.6915545950749319,1.0862207513683046,-1.2321170842166524,-0.0024315202132059177,0.10881847360905816,0.08732580435074278,0.46806590587346364,-0.027925645535335053,-0.06968796998617921,-0.9184030448562188,-0.3076941573606814,-0.17551058989673496
