,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl, a el, a la, aque, como, con , cont, de a, de e, de l, de s, de u, el a, el c, el m, el p, el s, en e, en l, entr, era , esta, habí, la c, la m, la p, las , los , más , para, pero, por , que , sin , sus , todo, una ,", que",a con,a de ,a el ,a en ,a la ,a que,aban ,abía ,ación,ament,ando ,aquel,as de,ción ,como ,de el,de la,de lo,de su,do de,e con,e de ,e el ,e hab,e la ,e las,e los,e que,e se ,e su ,en el,en la,encia,endo ,ente ,es de,había,iendo,mente,n de ,n el ,n la ,n que,o con,o de ,o el ,o en ,o la ,o que,o se ,os de,para ,pero ,que e,que l,que n,que s,r de ,r la ,r se ,s de ,s que,ue se
0,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,0,novela romántica,other,6.834794491117833,-2.90253713404105,-3.0204139906731218,1.6730831818079928,0.3081567716491094,0.4447032130799826,0.4163322842829178,-0.8324088960934688,-1.5053432400187088,-0.9734799274186345,-2.3047626368866405,5.070487963981719,-7.880236596826953,-0.14133358503797044,-0.7039094559047472,1.5676522597402198,-0.15053203914745072,2.096000342135185,-0.6266529821145905,2.393177967818197,-1.7941318009144354,0.06024455077627344,-1.2420250118587521,1.665453965797945,-2.7933119182537243,1.0790038727291158,1.4064799092477953,0.19409491453347982,-2.8021406140705007,2.259830202341245,2.781733528541265,-2.4513724383723456e-13,1.8794139053214352,-0.25927959408016577,-0.5033767223072267,-0.4216293863479894,2.6819550256992377,3.6553721928782688,4.666304520751076,5.70529618169029,0.552489685176905,-1.1005516578060162,4.879039548815033,1.3342539505395408,3.8310457173363766,-0.8584463561620441,0.618271780833707,1.4948112832200549,-2.9689397795033976,0.2925757925016761,7.449025675654424,1.655748549251669,-0.9498935281056937,-4.249360604778616,1.0726676965307904,-2.3505563872264172,-1.5709970859810127,-3.435221557024647,-0.8392834330878962,-3.044115744404602,-1.7608281086370123,-0.46180457581431433,-2.988406426543458,-1.192183718936846,0.6800984968658099,-1.380164214552841,-4.66585278828274,0.09129768235588553,3.3346619281324648,0.1835292741345107,-3.34371851731888,-2.59799206283696,5.399299572762462,0.15488615867128175,0.5854707872865745,0.09585102760513742,-1.7979448314448518,4.33442867450649,0.6194689205089077,-0.26655477748274414,-4.329048238638876,5.002501971028973,0.4997917260303044,1.1608982946213473,-3.1037298945516083,-1.2032877683252696,1.7357579461795947,-2.7786887814045897,-0.14200436882160794,-4.122806440567237,-1.7172564836730828,0.5368108253108197,-0.48702117631871644,-1.6600646524899707,0.8454747928707533,-1.3124852677863554,-4.693404023914676,2.7131725988362154,-5.878418502205188,2.0616098520371966
1,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,1,novela romántica,other,6.5681836346376965,-4.695267120410179,-2.8542935740038633,0.7129484979393581,2.89481137216203,0.25893968714488214,0.21594960641912486,0.49695834271936157,-0.8424898814214092,0.3691473224664099,-2.3815001809517162,4.902056284503758,-5.837032365188952,-0.5499018902725927,-0.5076869691124068,1.610609251991395,0.48346076381795644,0.15235589979176734,0.5524328205839648,-0.028739118842166178,-1.4524511786465872,0.47246807607243113,0.992933007278106,2.0247008130209565,-2.423199364559005,0.49147635268521483,2.3673923160857866,1.2100345210807646,-3.177900158687658,2.5480240330023793,3.651239976749622,-5.3290705182007514e-14,0.8121649736680618,-2.6357408427820026,-0.9244850016401607,0.08079065779607397,3.288090710854622,4.9677187859148395,5.085204741474213,4.6988083917506644,1.2814346369416176,-1.1474663636706541,2.5323235173608047,2.242065619039303,3.9561197558426535,1.0105210299422334,1.4355397668010959,0.907780237905536,-2.790755291408975,-0.14868460961991126,5.993178444944618,1.2769015438326878,-0.44992740257616326,-2.2661793141442974,-0.2812038409267128,-2.877098297792667,-3.701019837045802,-2.6077574445096285,-3.8989778527785024,-1.9584076558256807,-1.5572580033612375,0.3812826597448131,-4.400581339473223,-0.3469016255892008,1.143790360637574,-1.5018708571869857,-3.8202248450989327,1.3300163689482938,2.523897600389761,-1.6453455297858168,-2.6487882162457606,-0.5598178389034683,5.679074489207112,0.5534373006534548,0.8577110780825201,-1.0666847644280715,-2.6194491491117606,4.331693043976084,-0.6152854901686116,-0.05691808172183066,-4.634900522707435,5.15049576645434,2.5595992882213485,-0.21978464972141865,-3.9455240207760225,-1.176517390242509,1.4198514334341485,-1.4144883531700057,-1.0418273796322097,-3.476587657852127,-2.7252544704205803,1.276100511334068,0.31694650085149156,-4.445628844545333,-0.9427261556977289,-5.210615916839293,-1.026462552297299,1.989109849434012,-3.768591688935028,3.7673922484038735
2,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,2,novela romántica,other,3.318621026556503,-2.281579839115839,-2.7787774315895923,1.5127142357218517,0.18806273917583383,2.5215794421490916,2.013993732057468,1.5808864108078131,-1.4439437699277633,-1.299374441078088,-1.9729057174034121,4.060664553816964,-5.515205935363536,-0.42240373234873196,0.4085704052899519,2.7119753320753133,0.12829341272948724,0.3226639966650815,-0.807716854954867,1.3399254562896576,-1.013414949841927,1.1496225496887646,-1.54153381358081,0.3660654376098993,-2.098829808003451,0.92264968832691,1.7427930438546433,0.2625347047084414,-2.532244050373478,1.2958521976832635,2.774602906616412,4.973799150320701e-14,2.5050539968724834,0.7613878594085097,-0.9594854924208569,-0.3807741667984512,3.2355134197866757,3.963766996561274,4.433887426298925,0.711704881012011,-0.8479512149103865,-3.3650082644831425,4.092159670438731,1.0032738795675549,3.3025891872156397,-0.1538644211755269,2.5228328214001117,2.7936906343705132,-2.8959383265099063,2.806916762513117,7.875228464701053,1.745421452880251,0.2467158976450703,-2.631062351766566,-0.955313210603153,-4.451558783908398,0.3360784060289994,-2.766040093591842,-2.3788665541905445,-1.291674253057506,-1.5503109736746765,1.989417911278843,-4.771783330903851,-1.7822830845803423,1.2387862550624398,1.0804542061502875,-5.047864418959957,0.12166997155030401,1.90149122756646,-0.9124397994944147,-1.9686706904312103,-3.0040165424228764,3.4522317815951986,1.1668906441996256,0.6184871811035908,-0.5720613481106192,-0.7341000457819948,3.7625614212454668,2.637775468372891,-0.2759774927972103,-4.6716576017753955,2.98305709782775,0.8422069707210955,-0.42589905000923345,-2.951964612011464,-2.142438059695124,2.0594864527370316,-3.070383037698212,-1.1088818415324457,-4.43443327727557,-2.852474716961545,1.517149832470647,-0.4181432586655127,-4.365180345161923,2.6277766125180815,-1.9508519834912104,-3.630215174318952,3.4368217638181324,-5.0001456948537495,1.7667903507461507
3,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,3,novela romántica,other,7.513029122508863,-5.176427364041359,-4.176002041648134,0.5224388901421406,1.6965919478071054,2.5228942750307386,3.4291766949084135,2.495080847341118,-0.1898439087405155,0.39461902887298805,-1.7495930467761278,6.286548887850956,-6.777561605544186,0.26080034285945075,0.33102422822092237,2.118542350916165,-0.14640424230090954,-0.20353892654104122,0.8633181513537878,3.0744923145207697,0.527870965186473,0.10982542816170948,2.1538469961497286,1.4640527486214365,-3.9425683368075553,-0.9856168976636681,0.9348573399447258,1.5746047600928712,-4.127091976589892,2.6434835492067172,2.526629697552636,2.1316282072803006e-14,1.0359977002169174,-1.4340839303060555,-1.0177788611919354,-1.151539142492977,3.4783208868478095,6.357413947836047,2.6817024882469145,3.8266506386424073,0.8954557163739789,-0.4305509714145277,2.6469535634596184,2.390444541144982,3.52365517655649,-0.55385019761128,2.1800274276290867,2.6757115677681185,-3.9771422833335315,-1.872877757218033,7.006051264875305,1.2025955284216785,1.245768802258846,-3.5728930999428483,1.509560726415863,-1.8046199700513768,-3.9001931783038426,-2.500761320714979,-3.571134528948683,-0.6270213343406379,-0.09330574476817866,0.48751501586257096,-4.1920690169941945,-1.455509081292547,1.638978970269772,-0.30338704678830997,-4.557818851044411,-1.2050304874814115,2.78362452085104,-0.32555377216884374,-2.897049170105463,-2.753126062991175,4.311429627038051,0.01814175192844658,1.2119703240459305,-1.8839186437258828,-1.7583002232817062,4.326501945191358,0.4955106622407053,-0.4559034207652495,-6.690753151417933,3.87277801657128,-1.010127517478283,0.6066163077471174,-2.9946633890491725,-0.9661411869824299,0.7954280316103199,-0.8970046119728199,-0.5221873878915329,-4.961330581225901,-2.7363024284921362,-0.3189987548387361,0.7331743770693038,-4.5577886161095265,1.4655879340503581,-3.726973290074601,-1.3573970445481276,2.7428209913913353,-3.3838059328954007,3.2072524440575343
4,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,4,novela romántica,other,5.3689715448891615,-5.754839928802154,-2.8523334040471084,-0.010530670437702838,1.898720341453462,1.7971319233969254,0.09110523079162469,2.375520298732508,0.0777136780466563,-1.367870824571039,-2.8819874137144907,4.322590751175967,-3.9849653379937156,1.8654066872340618,-2.2530430799929366,-1.9005852564977146,1.7557134835482389,0.7200714746007773,-0.9093034268830547,1.382513130153832,-0.8313367292078766,-0.3052591511101852,2.7179567262918845,-1.05464942316455,-1.5245683102341983,-0.4621272306764155,-0.13289094955068137,1.1919810175827514,-2.064424137204565,2.990915150301488,1.7608959166502505,-5.684341886080802e-14,-0.7916815100103474,0.24804729596856312,-1.843652415993196,-0.5003308490932294,3.678616270388006,5.354216409679736,3.789767893653149,3.9732643697920267,0.9716025607954801,-1.9761680968201052,3.628915214652574,2.933193559974037,4.461255168470883,-0.5443686254134628,1.7884126553712836,3.0338621221998903,-2.7447294473632144,1.4424257091787478,5.769996310515638,-0.29603503034455336,0.550416716133185,-3.181280026813816,3.190178112704144,-3.237640621084749,-0.773057515143341,-2.5137222320755335,-2.5846299373588124,-0.5866428442627623,-2.9929331414773976,0.64133715172773,-3.5565944071195617,-1.6718530216157,1.3839732575839747,1.7137354105160023,-4.108048557814966,-0.06066831044894627,1.8364044602684135,-2.3124124591498276,-3.6915007296789213,-3.658251510058152,6.056827482090112,-0.122687131242321,0.5547779168725189,0.5137416760255853,-2.280846036541254,5.628283434593031,0.38792252238005975,0.3984619473584772,-5.222534107804931,4.577811071643178,-1.2299508530078338,1.600866426802586,-3.095879352436846,0.16064537952112445,2.449422867108497,-3.147972337361214,0.39599168972895527,-3.760204887730584,-4.0339904312974095,0.33279324827025647,1.6120704357628135,-2.0302817334805825,-0.4496852919268406,-1.3295940493334575,-4.249243166145657,3.3918848214304393,-4.872226716436627,1.1507264896623015
5,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,5,novela romántica,other,6.647936784915107,-6.041860005629975,-2.6603680704564594,0.9897270005143302,-0.15373433572083783,1.3343195327533461,0.1524513941913952,-1.0507116261358398,-0.12057763536097266,0.017241912129428272,-1.8627390143284144,4.966218810384352,-6.035263984718096,-0.06055954465600877,-1.1339063591723342,3.6946877429784335,-1.805498305682427,1.2447789512258938,-1.7646113509961268,1.1958238009203672,0.2887384323174551,-0.16062176314381915,0.4173295894856217,1.6145745795181385,-1.8448923475935355,0.09792332726665087,0.9895015665732787,-1.0391884250969898,-3.057516816475381,2.1968778455509526,4.259392079326862,2.842170943040401e-14,2.444607829018798,-1.9149464232130615,-0.8044745113158722,0.612706412949704,4.067983286000159,5.43046023383547,4.231502537360857,5.4475780937354905,-1.0967206627973312,0.7334758790038567,4.256574334117401,3.6199533278143687,3.8330784796984556,0.8331025245059638,-0.13378281564009598,2.4958935097896884,-2.495221054790446,-0.7521282273069865,6.427454385395922,1.056239178544427,0.11220065506622401,-3.013372284298846,1.3679195964859385,-1.3403628208056233,-1.579700004429129,-1.5285942114958004,-2.73293286253425,-1.2493333885234463,-1.4343583371915312,-0.6782247006108717,-2.6519195930060038,-0.9654609918889445,1.560355263637467,0.7684907142934234,-4.692661082363685,1.1008422335286632,2.4441436902649407,-1.790453948758656,-3.896704233198239,-2.465018624102818,6.725951241777381,-0.009621813409994573,0.66167688066888,-1.2432947634456504,-2.762531011859533,2.9739126550318655,-1.4297707259537038,-1.3362460175106854,-5.64277805421335,6.107476783509601,0.5727015141757974,0.49584922793695796,-2.5546110356360456,-0.6126866850698534,1.4473602771191416,-1.796872014127585,-0.6587540814268351,-2.9720247857586575,-4.735830989761906,0.7590985131280394,1.2107727236707468,-3.813978719324086,1.5279063500912056,-2.867279477596809,-3.095339683837512,2.3614725225251973,-4.429976046011828,1.9419693485190024
6,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,6,novela romántica,other,3.7597395451411755,-3.6555539615230312,-2.2887493937387466,0.38691350440603944,1.0461684908193876,0.6411096501815932,0.09270785697259942,-0.018971244976999646,-1.8546932123715285,0.8772823532876828,-3.087545651899373,3.4575290284217552,-4.243993294872333,0.8950894392491291,-1.803305596760084,2.3972660539719737,-0.05837234413518466,1.536038666325755,0.0701209249168322,1.743093817734409,-0.0069266868970920825,-0.07707895422657352,0.7316664348149313,0.3940037173738906,-0.9772218462641038,2.3699190190498527,1.2133040729673334,0.8952868270670251,-2.0097050141042985,0.9226173356543281,2.135927148247278,7.105427357601002e-14,2.61436433497125,-2.9240062086413765,-0.9033257118603064,0.5339845171957229,2.39160856404811,3.425970731452183,1.4933496603768397,1.2536659278489024,-1.1331906601681396,-0.42118283458638484,2.875807151305244,2.065891122981247,3.3848159089466368,1.9980175187877491,0.2307863056730799,4.662262017175241,-2.16807311028961,0.26129200470321656,2.663267503004313,1.0703732991374313,0.13644412332039924,-2.8539253297780425,-0.678663136511636,-0.5724611774884689,-2.0150209121797253,-1.059009537577495,-3.7918490384090706,-0.38632505357155456,-2.9691860392423672,-1.5479008737674045,-4.055702194654408,-1.1548310965616393,1.6712732948903177,1.452094962395198,-2.033247783171543,0.9231424697466446,3.612229785935863,0.6845612140882915,-1.0643312692979379,-0.9768465112262721,4.912830341257866,-0.07112442583818357,-0.433166124400568,1.0847005272161763,-1.7078186416466643,4.404500602599728,1.9555692713296153,0.1934701985102567,-3.8604771288333133,1.247408560735633,2.909813295494348,-1.2909032928422022,-2.8945595151439925,-1.0104143839978512,2.4352983465237603,-0.5623515957317817,0.14984859237663173,-3.1522469121621715,-0.4844822931325581,1.7448541173530803,0.7197910748887697,-4.38692842896954,1.2783589989962643,-0.6316070812522407,-1.9909818256912546,2.5406422962128907,-2.4626631062633155,1.6811627942291016
7,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,7,novela romántica,other,5.6527659419085765,-4.836557664081191,-3.36509628911384,0.0898007483033254,0.9146574002381698,1.961524458108503,0.19833887201345668,-1.481196881409108,-0.25469205284994345,-0.40047352501297695,-1.9649541173144431,3.422358689711139,-4.943270366512159,2.221319960570085,0.8251758206817872,0.601257691663724,1.252996972502757,1.597140432562293,0.5694641463726526,3.495867017463084,-0.9819762907491025,0.19549841809525148,1.9137748692536007,0.10359143657215242,-2.715963282865827,0.5288927067805673,-0.5043772913284279,0.308689175342856,-4.0496238714766655,1.4337937034682753,1.3403561778679212,0.0,3.5973614830900953,-1.4695223819442234,-0.4576236374838629,-0.25993297848474484,2.8872637460365063,4.53619534892748,3.0837361741263685,5.167539684251839,0.5190843935409255,3.0317725888905294,3.4202599819729578,1.6604376236311085,2.815042368846008,0.00023664076984708515,3.00757670975678,3.4574609604229494,-3.2169282518847844,-0.8306613198282662,6.028444024441345,0.5813702895887971,-0.993139001926771,-3.2925938115560776,1.3198143808853153,-1.955374214714972,-2.171980037560443,-2.424163831647931,-3.901937226439717,-1.579863364620909,-0.17937912784275056,0.0032030788935131227,-0.80415301067349,-2.833886793926297,1.774250856813282,1.2026991086181855,-3.9669450821801107,1.578613093825446,3.152168394100192,0.6157376875806513,-2.4881996245135944,-3.134865242664972,6.266884880248817,0.18379872880517212,0.6562958066937057,-1.2604703770142685,-2.1657230352220225,3.4064868861493682,-1.099053126186167,-1.0377799582471532,-4.357303052278439,3.725987593277978,-0.04889653241377623,-0.45837629544029923,-3.772380108713854,-2.5309844953614586,0.9391017370853323,-1.0243803380567655,-0.7100925652639383,-4.5372534364465125,-3.1030505835423483,1.2981002099699488,1.9399072281715348,-6.265169633734072,2.3953591142711907,-5.529117574482708,-3.97032278819667,2.2728877185210017,-3.1575709221055845,5.213386013142088
8,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,8,novela romántica,other,3.7321176008706187,-3.0336437333480912,-2.4590187631615463,1.37782056510733,3.9875748547709033,0.5634563412904248,1.2050800146018905,0.6837883224464323,0.5435905558688638,0.784232756928573,-3.3065798826921204,0.7329656134039784,-4.6685807002085475,-1.671064992476627,-0.07967861230232254,0.8927606479086624,0.24057612717774646,2.558571016359494,0.6678964708177779,1.787755449924997,-1.7775512475006021,-0.011027661293629087,4.898567378199711,-1.7249131289453192,-0.9765750641759202,-1.4171132891194986,0.9637418876136237,0.23821991652452024,-2.9886812787430843,2.3705590000566437,-0.7569809324735033,6.394884621840902e-14,-0.20110324438911809,-2.5595456717087366,1.3689733389534728,1.2473060115526151,3.9104840493436157,1.1960996395804053,3.8682010313909836,2.8258893525797024,0.7234260737566722,0.17907836061829707,2.547917719893295,1.240240014460906,3.5858876928925607,1.773117010619416,-1.2377993578768094,1.035841248416728,-2.3811204021074768,-0.5608134906122499,3.294701373148464,1.0186788203161794,-0.6456166248015198,-1.592747266485757,-0.03140617850694083,-0.7619650015049264,-2.2637521633076663,0.4520096326528087,-4.946577953189935,-0.7077039214263932,-1.5117330886461477,-0.8717792578365684,-2.531550903773366,-1.9446361264204826,0.2681219726225317,0.4994940185759056,-1.7258873964238766,-1.0473520863310948,1.856725158244564,0.8869738594080863,-1.4231911448423786,-1.6984299429890761,4.727395845073113,0.19871511535573028,1.324025661983519,-0.1643425022500593,-0.5846875124271644,2.311447656805069,1.0385746359321262,-0.27866172752626284,-2.003473304472397,2.977673619772004,-2.5592324532778883,0.41507835689094197,-3.6362079939681617,1.1776133208074056,2.6142798282529145,-0.24898896726511488,-1.6041941800166573,-3.7719554414079157,-2.2741206728832872,-0.6534593736804641,2.3941817640143013,-2.4919660018870196,2.511464946214703,-1.051603002132095,0.8446884622480075,2.2818628996240298,0.33234635514491284,0.9876644513585693
9,subgenre-current,novela romántica,other,100,5gram_chars,tf,0,9,novela romántica,other,6.950966376683261,-2.683349309922143,-2.4813329003131592,0.8296857853662621,1.3942759764647135,1.0419408441000286,0.480074571293186,-0.829555649498751,-0.2958739910572194,-0.621282149477108,-0.6203252242805959,4.054539836609014,-2.8488689745033238,-0.3474769737927403,-1.7820970015042252,0.6436146837245124,0.498413926723241,2.285450071554262,-0.9295126526474984,0.25663096501753646,-2.0567296783134688,0.18155407568183216,0.5230867161962393,-0.005691825716381766,1.7223045083682518,1.3765163708659942,1.5982148293336536,1.4928162743688225,-3.6819841681982326,0.7278075117679736,0.42112596465181573,-1.5121584540089827e-13,0.9298990994745626,-3.503556916644402,0.6698871118763947,0.18501235416858436,2.2024197293419587,5.20088857167335,4.3144598997499966,4.351893154616215,-0.9454863843619999,-1.2927212051477794,4.099224273313516,0.5727648008432361,3.5950779260208447,1.9815838245846005,1.8065155874042758,-0.22798130155319019,-2.478204517225004,-0.9734190328793701,5.411060672762803,1.2540471496514316,0.7136050588625837,-2.5620556590765164,0.9225286950016696,-2.3322928551305107,-1.0524211333682012,-2.168586709128073,-6.342017373580739,-1.188581625818778,-0.006157057247325095,0.521483611457349,-2.8941011480689416,-1.568559527827381,1.7505713943353456,-1.0902733771492057,-3.9687476997178144,2.5089892376104532,3.6110269829428865,-1.8712279350739027,-1.7162634673617814,-2.173309150936158,8.147894319981766,0.3520319108545729,1.6960898866130611,0.033244294156366,1.1350451643273132,1.0013098065406556,0.12855671489208345,-1.9955330878008681,-4.20623284762153,3.90219274237649,0.05347132309767801,-1.3736642120709373,-3.646730940291792,-2.390621375913068,0.550012629753606,-1.7042038180239334,-1.502755316627831,-3.4798788437793164,-3.9626919097807765,-1.3412069338579362,0.16543458804113817,-3.3574503664256503,-1.4878631495060302,-2.378706701925658,0.4007269373171388,2.368664112993624,-4.698191150577261,2.034516276673107
