,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,mente,había,ament,aquel,mient,ombre,señor,usted,cuand,quell,estab,staba,sobre,porqu,orque,entre,hombr,contr,cione,parec,mento,antes,quier,esper,entra,todos,conte,algun,despu,tenía,conoc,hacer,"ente,",mismo,spera,inter,prend,nuest,acion,noche,tiene,resen,mujer,prese,empre,compa,prime,estro,ciend,joven,tiemp,rimer,tante,quien,padre,llega,donde,estra,mucho,enton,momen,tanto,tonce,puest,coraz,pensa,ancia,labra,siemp,iempr,desde,esent,habla,alabr,"ción,",preci,palab,lleva,traba,compr,decir,otros,senta,conve,graci,pregu,uerta,cabal,parte,tambi,amigo,cuent,rente,encon,taban,lante,puert,neces,hubie,aball,medio,racia,levan,mucha,puede,muert,llama,hecho,ració,forma,queda,cabez,menos,verda,gener,segui,ender,senti,acien,ahora,manos,madre,perso,fuerz,tener,estar,ciert,podía,sigui,ente.,excla,conse,ción.,sombr,grand,pobre,espon,haber,cuant,enera,lenci,volvi,cerca,respo,calle,mayor,conti,brazo,decía,nombr,corre,"ento,",hacía,recib,poder,segur,camin,extra,gente,espec,aunqu,estre,guard,últim,entar,"ones,",parti,dirig,frent,herma,estas,mejor,remos,sione,"ncia,",endid,rendi,escri,milia,famil,abras,mundo,quién,neral,mirad,vuest,entro,media,tació,fuera,misma,damen,apare,comen,mañan,dicho,serva,pront,epara,busca,posib,samen,ocupa,menta,senci,delan,plica,lando,consi,buena,trata,acaba,legar,porta,silen,insta,hacie,cient,estad,desgr,ierra,embar,halla,hacia,compl,poner,esgra,biert,"ados,",testó,presi,capit,despe,riend,cuerd,tarde,rable,maner,march,spira,trist,propi,hermo,confi,vista,falta,conde,almen,"ntes,",respe,tierr,"ante,",bando,sangr,tiend,nació,ballo,efect,rabaj,orden,dolor,cando,diend,princ,causa,raban,dient,entan,nunci,table,mando,alegr,olver,servi,endie,cuerp,ciuda,espos,recue,spect,"ores,",puebl,visto,asado,manda,amino,queri,escon,chach,guien,acerc,"idad,",tenid,nuevo,natur,volve,desco,pasar,cuart,peran
0,subgenre-current,novela romántica,other,300,5gram_chars_affix-punct,tf,0,0,novela romántica,other,-0.012217718925904078,-0.07832580714123091,-0.13674091971826574,0.04007939157511771,-0.05110075501737303,0.05503276138312013,0.46914515482502367,-0.16565711136752795,0.27159354490811116,-0.18404817907742488,-0.026905135008145988,0.024897010970978937,0.2640285468632981,-0.5382603382925747,-0.07942277461280443,-0.09573578064939803,0.009001015207186467,-0.08195305733569659,-0.025460295438783462,-0.12952807681203707,0.30647910748324075,0.4055805020677819,0.4544939669526632,-0.2863958165362202,-0.08525789011390929,-0.08457565980081345,-0.08699437081130194,-0.14884461285320927,0.22026514472290093,0.18391458616054956,-0.1957800899067434,-0.24467150811129562,0.5919046792921331,-0.04908929418527398,-0.3072415510590886,0.45008306265961256,-0.1430051104472521,-0.7994123251836717,0.08905024489244016,-0.17543679705103077,-0.0014743878088232971,-0.5652970075712662,-0.38222880019522487,-0.5980367131673392,0.14603515188035193,0.4508986570610876,-0.20526366459611287,-0.3660445820743524,0.13314253190503406,-0.23537867503429227,-0.5568929638465123,-0.20915870004454712,0.25499752402331355,0.23875320327422003,-0.2737158759847817,0.7194917307360663,-0.20926550616093714,-0.3570520576598804,-0.2025117864262619,-0.2827200889153026,0.04753522942403408,0.13782856754785142,-0.370669296181011,-0.05096209664213902,-0.16334348576546687,0.5922753888999491,-0.24364340504838752,-0.0004105752862693171,0.2690829125835368,0.2655567228719855,-0.015762213336699166,-0.4403347806530945,0.49399880661224294,-0.0242520715239838,0.004172630579895378,-0.46738389248980294,0.003358866787157369,-0.1509504284849135,0.37091736816678866,0.1797557697538822,-0.3187532376663926,-0.17694704833682026,-0.0880917941086546,-0.16989940513831284,-0.4368429472513806,-0.072173786770462,0.35853541167375425,-0.2575912998615971,-0.4178852291529518,-0.17573674495110894,-0.09233393689809367,0.23876818077441497,-0.10658144230022201,0.3896641775479977,-0.30612199467323536,-0.3839559721180088,0.04790570906042553,-0.2362184411043311,-0.4836617782282592,-0.16196322335799826,-0.18500761545509434,-0.3404739262640668,-0.06699558504990205,-0.04467003704027177,-0.13263135699661696,0.36167751453388153,-0.13628807887345623,0.12773189531753484,-0.03488331419094609,-0.1540334181830549,0.5365644044878469,0.10629824731795198,0.2644501845614214,0.3294716171420971,-0.21868669201409596,-0.17460506039192242,0.45007646890766856,0.1511770336828943,0.08757611611245,-0.49487747682169625,-0.11060849876577121,-0.6482251698731117,-0.6555534502760875,-0.3475376728026433,-0.290048335723117,-0.304475756341941,0.5163647903132281,-0.7631004732012334,0.6721636469580937,0.6044271123010241,-0.7310303412982087,0.2720947125346023,-0.24658520991153965,0.1156997390288701,0.6304250740524348,-0.15204413876648923,-0.2859201076254111,-0.06639992364216903,-0.2334864941160054,-0.18572021648241305,-0.24231257992712651,-0.05689529919823691,0.4297404406865676,-0.3605013922153696,0.37154463859737175,-0.02701586953757025,-0.05861867033658093,-0.004378938062998085,0.4965409793593943,-0.07970494408570707,-0.07086464693973914,-0.043232699162348676,0.6645627941135416,-0.1104999212874151,-0.6996616670529092,-0.33815619080819015,-0.1541655363237462,-0.04842642420032591,0.329372101607319,0.03997753777520203,-0.21193454497563582,-0.1611651134075444,-0.2777555113437997,-0.18287251772312987,0.1830030845905587,0.14972191196349482,0.15926216250175065,-0.3607128178431953,-0.21148141504184792,-0.18695002064991154,0.005497392261124327,0.4079079456592865,-0.30926848889526,-0.22674812406349645,0.26440569803450087,0.42206193278465226,0.13897799438702998,0.5438491306450055,0.21123684629605524,0.21683588442826443,0.07707193975505996,0.053663787381444235,0.04792008159348927,-0.3409995670111685,-0.18020147480414456,-0.1228734159101677,0.189212543394291,-0.14042738606913574,0.4998415997846032,0.47665674211892045,-0.20894048330661294,-0.40123921717452565,-0.32068439961850803,-0.22674026222314703,-0.19791026751768345,0.163157440770184,0.5112999568537978,0.02972006994952607,-0.3268293921121524,0.0474728219884589,0.2571046485375157,0.8171155787929535,0.3917888857535107,0.5428768358120577,-0.29869648980323404,-0.3054902415313207,-0.0887412849704653,0.022429595226757363,0.16938316004643367,-0.2975530919400248,-0.22311703336704172,0.18823739212081148,0.46140036277875973,0.7590198031509764,-0.20626104727367264,0.13945928408937164,0.09247795187954534,0.4429440978732882,0.3835353207631905,-0.2532399925245641,-0.20016728608965073,0.2402973719041757,-0.3704673098692831,-0.11526591768911311,0.33705501915617003,0.17240870865827732,-0.23353856809517393,0.011309292747897725,0.11055912798666975,-0.041955573747612315,0.308471339037885,-0.20160051587006086,0.19993370928818988,-0.08281127977288788,-0.14571298509570085,0.31020545811947,0.45579647981718385,-0.8249154546934346,0.3734997715106299,0.017858185877882134,0.4381259133498677,0.5213874849887223,0.13828115455512266,-0.11922650290024335,0.3352495188316581,-0.05883732447802021,0.26905537801794616,-0.2693091734715767,0.20584862188212094,-0.1578291983964205,-0.2527082138697564,0.21468867485417756,-0.4348120603141569,0.3344217209685249,0.25320206202524054,0.10865843929350263,-0.22633835425787519,-0.19356847032656346,0.06968032607690323,0.15435652242188214,-0.05748063868122626,0.14910672512772621,-0.06332145081473406,0.04677771323365164,-0.38181725062238026,0.5328706511252546,-0.3533221142473101,-0.2320830828704573,0.07386253938382012,0.26652244650975987,-0.18929316275299748,-0.07619498687850368,0.18657295444031097,0.13968637924665214,0.18441876464339765,0.09277454771526858,0.2788670158746883,0.053352337599988885,-0.2919121304178339,-0.1965971066423871,-0.1382285629459252,0.06265921410526726,-0.04417912057965774,0.07766703607214073,0.04065108674809479,-0.15195937694800957,-0.009792091397257584,-0.2076173520071965,-0.0024034692350842074,0.19559626627611246,0.10646855881052236,-0.3767904932694372,0.6376186834448956,0.10358409365639379,0.1881634798411359,0.02753820226228061,0.10756195754493869,0.3938582479079527,0.14559973116325525,-0.5318189343374796
1,subgenre-current,novela romántica,other,300,5gram_chars_affix-punct,tf,0,1,novela romántica,other,-0.007569096333401415,-0.12031693075455183,-0.028375244241742897,0.13290434549563646,0.04921075978005632,0.06019271374854614,0.4057972280578844,-0.10861263045235514,0.27193422371166887,-0.1207705386876531,-0.000593850757665694,0.055929035829805226,0.17285048774585024,-0.5502268512781834,-0.04095924143581982,0.10216684388324088,0.03559580501656444,-0.1243810981831624,-0.08433372052416685,-0.1359585326392228,0.33482840942287284,0.4760971401802212,0.3845182638187843,-0.3136667914681659,-0.09578769411793081,0.008922511836385694,-0.08864025123220323,-0.24615689195297916,0.2724867880010371,0.22410524665851306,-0.39926765210173637,-0.27113358780976754,0.5676997379201799,0.061095440780374655,-0.2574889043992632,0.26256488022090224,-0.08576025948740601,-0.953385817854506,0.03305126277021765,-0.1116223763859444,-0.08503750582942171,-0.5530750637880255,-0.4825960333951415,-0.5811447199958728,0.10107746920534123,0.5163498602604125,-0.2702735558416016,-0.4055904165929474,0.1103947825402321,-0.01792910467791864,-0.38253215723604606,-0.297798363445658,0.2974473211033189,0.14183671158504238,-0.3635842707733031,0.6012976418065717,-0.21327792223596764,-0.3253285585481081,-0.008846143865180182,-0.2822339085350106,-0.044167194112153474,0.23337560475476274,-0.3687678813871891,-0.06493513873169338,-0.3302395440381607,0.5012413122672055,-0.31435548224100107,0.0051092607160868955,0.1804379317089424,0.17725665001577795,0.07956114360618463,-0.5263649919743899,0.4747021729733564,-0.03687398592001316,-0.09358585850024093,-0.4666787691536385,-0.00357230601398259,-0.24026042165092185,0.3674275055280448,0.1387940734239566,-0.1797110135111779,-0.3417669184372281,-0.12349806072097683,-0.1215823031379905,-0.3782876076438654,-0.004172305669320472,0.2658363563960089,-0.23363559796892372,-0.43209744026956864,-0.01454581377858618,-0.047037913009042955,0.17318843099477596,-0.12123366931909253,0.344402976657594,-0.09827417181229564,-0.3323748209637224,0.07258417704030398,-0.4187044087395493,-0.3429590150229747,-0.12960500670548664,-0.19616595911850768,-0.38784726449960266,-0.16745491670965573,0.07242961428813512,-0.15353943107846438,0.266304523147429,-0.03916573805908452,0.02622311502247117,-0.21255441120000132,-0.1811746248568541,0.48331148735373447,0.039177754246200874,0.27473307591394314,0.20854876443571813,-0.3393381738900312,-0.3062952507112192,0.5661093263142836,-0.009875356975061204,0.11085847600316087,-0.4705740254008658,-0.12321602409703875,-0.5339184864717568,-0.5488933643073786,-0.35877553042128557,-0.20908934745821967,-0.2695292340734064,0.581003539273538,-0.8286562327191234,0.6860467224118354,0.629219081463302,-0.6144303369937487,0.33141688822586807,-0.14038580167820353,0.11794508661439303,0.7879096647254357,-0.10902207102602215,-0.24857594644867556,-0.009291256251823324,-0.024293859218284565,-0.27990837068338664,-0.2652262162891194,-0.134695590038988,0.3767765969593286,-0.32944674001491003,0.2710686030730914,-0.0625301327689029,0.08162686374794555,0.08582363786341916,0.4518820837124692,-0.024162088319122834,-0.07930880990218261,-0.17689585855261541,0.7146605440113063,-0.15156897259423946,-0.5767274543989689,-0.3004519762882241,-0.14698495398741115,-0.007008870927569855,0.3818058565114285,0.17187670494684604,-0.24320262286584576,-0.06559665635545713,-0.22291245845542232,-0.2349924681634342,0.22487213017530347,0.20643939841495113,0.136833147457593,-0.23047760630057904,-0.15398673680845834,-0.3670747761492976,0.08546369645454008,0.34663763758892097,-0.27094956469600284,-0.17480616555976866,0.1527164861917683,0.43794250718052474,0.11543709134166337,0.45370785742461184,0.2982945980012464,0.30429535394220814,0.18990138188556444,-0.06676234899682397,0.010411573225019972,-0.41816134204104505,-0.1039633859530922,-0.02665004322562427,0.26517278416211953,-0.14266723650590066,0.5719734321148788,0.5787170593679302,-0.14199225553015435,-0.4069679005532912,-0.1911870450648993,0.04371206755364678,-0.17009396565838628,0.3116986908240656,0.3272765496603262,0.01764820370339136,-0.4164666236778311,-0.08076099724714017,0.20907445761689886,0.7634675976472254,0.33595423238578065,0.5591260073138367,-0.0691584133839828,-0.3358901186454893,-0.1301958826762158,0.02619658898887057,0.2799926342456546,-0.07317004006254574,-0.19119620988022334,0.022993828817492297,0.4747679103120367,0.7594315254357425,-0.2717099910827666,0.11334548316552082,0.01804249048371446,0.4655213493334128,0.4150786384389061,-0.41548385000450433,-0.11983842389726418,0.2695711794699002,-0.30031653122627133,0.06995335097776509,0.3435044920017122,0.045026084473852875,-0.40798688045213827,0.17794644341666774,0.23076280086251283,-0.2723153689661704,0.024070772560874067,-0.2564768403271209,0.1431887452442575,-0.10501667183404884,-0.11636670928660595,0.18940553745103558,0.4565088398356713,-0.8294033707783759,0.3309961585282637,-0.0013906759797699744,0.21688835657190453,0.47873002493713707,0.047634207154202544,-0.24755648080322643,0.16000946553807796,-0.10608655445335456,0.22081174594630115,-0.08822971419411292,0.19457357128129665,-0.13973817410957312,-0.1376031436190345,0.007414391552947194,-0.2814580451512955,0.32803283190451954,0.2537820449067278,0.11586605475702218,-0.20995256368550103,-0.4480110731587867,0.09912534998942697,0.2642060829039399,-0.032836252831396295,-0.019894254537467352,-0.019904517891327016,0.03762581275146304,-0.5138952788106219,0.6364598751869631,-0.2908452911277762,-0.053298319885561704,0.3298686308607359,0.2793017212118048,-0.08720648603252718,-0.23517187327642058,0.28829700391734997,0.13032755271142463,0.2982342424885006,-0.05345484041372711,0.021808590895755833,0.06114950106991415,-0.2647980097464017,-0.15014502329385462,-0.11002908351721088,0.028774990904893574,-0.18778913119389667,-0.04349700086594829,-0.1159874671897628,-0.2856623062706987,-0.02460658907554343,-0.16926628779528374,0.1124102473681486,0.04321028714210971,0.1286153755039734,-0.3967913800728113,0.7356635258457673,0.03260422667449343,-0.008902444666421778,0.11720584943877893,0.06032271244900477,0.31286719115930706,0.11896206435897898,-0.4485700691367697
2,subgenre-current,novela romántica,other,300,5gram_chars_affix-punct,tf,0,2,novela romántica,other,-0.20909806514196316,0.0966808038125635,-0.081337814027377,-0.135314614486241,0.15984048150920727,-0.024493843841313923,0.2947293652203708,-0.11310653178447844,0.248387673744407,-0.0767694645551118,-0.020105958873460616,0.08057509804876944,0.2412639147497504,-0.5721552289216101,-0.28000247324750344,0.055832040586401566,-0.06956807184297314,0.05958297766199966,0.22800162358143328,-0.08165231143276463,0.20231860521409742,0.13465040965929334,0.35349767520710795,-0.19876928901035568,-0.05013473476420874,-0.21066513183069613,0.05864219310804611,-0.4394359495850517,0.25721380426528384,0.2367153816460859,-0.3153071625575672,-0.37490356948603243,0.4507427879575572,-0.32434284932720314,-0.10068094964937604,0.5482482930123393,0.13721000660831673,-0.7188797688812874,0.28482305377597866,-0.15258941146973531,-0.016896369884425888,-0.2857200597502547,-0.3913767178268616,-0.2620753356545317,0.09128960157962096,0.26332599862401673,-0.1011713199513457,-0.42170833885736725,0.11719592331079334,-0.3097953288869568,-0.17508034126613403,-0.13486497206837583,0.007273253553985004,-0.09801462210638767,-0.3184468557356285,0.5468947987726414,-0.30902999971713635,-0.2393793425334212,-0.18199070390972738,-0.3464624541828649,-0.053698679764461216,0.3376192814734903,-0.3890433635623233,-0.16763913971870859,-0.2913149070406843,0.12374507885191827,0.1451028920758869,-0.008464995634760303,0.06796375655072168,0.06625278772151849,0.08564905415452465,-0.24722028419452352,0.3949388174406379,-0.007809722469790198,0.09041420970294839,-0.662557315115528,0.0023061503598739985,0.011488058331309947,0.29505311788204447,0.1278603317402204,-0.08098138874502764,-0.2360778617416985,-0.2093665137594637,-0.20637401308216005,-0.424736790377076,0.10847083024493934,0.19408856939589386,-0.18459443603847225,-0.4580062823489015,-0.25813574640767734,-0.23860720833207996,0.24022253091920734,0.11894139764637329,0.22325017716590748,0.010568404098792505,-0.3991976723730045,-0.05626767438857938,-0.22675520740545058,-0.13853149199033835,-0.1503938693383734,-0.2658401627196527,-0.3720675699884357,0.16846372097726203,0.12344620560012043,-0.0576076549465899,0.31967119006555966,-0.2557657929877366,-0.041054733758500384,-0.0845295320624346,-0.3174473287110957,0.21286484314351234,0.43942167968196777,0.005270453430528038,0.27264987983901545,-0.39966158832586274,-0.23715847047801525,0.20481469918676623,-0.06624363291852747,0.2428791160477998,0.07755221000165913,0.0261247765026206,-0.713954424839964,-0.2952788132031287,-0.16934779290696272,-0.10231010140016933,-0.19400376156057933,0.17529062353046065,-0.46625311037712885,0.2104220206228165,0.34478375357782154,-0.38674904869780147,0.25909688327389646,-0.15316688339318152,0.016454606539940714,0.4744821793997502,-0.20692478565202127,-0.22370278475563118,0.057621305531571104,0.11769059977885976,-0.3940132049894898,-0.21985677053159675,-0.09988762128889866,0.17381792775683286,-0.24796319892282606,0.25557392408664664,-0.23290782114554,-0.04048977431092146,0.03266807178119671,0.47319313453771356,-0.04004513430706036,-0.041660459107593306,0.01552165472092601,0.4080426100898339,-0.1038163927475515,-0.5601461128769107,-0.15897297281513512,-0.26259270079743346,0.03152512418601319,0.209632221231714,-0.058822548678280684,-0.22611233272969306,-0.09436028007954603,-0.1485629580374407,0.06509844806462534,0.1854024257700241,0.28782539588782774,0.06695379333993737,-0.34666173831564895,0.04134223995910444,-0.08006435802382825,-0.053929781134068544,0.4644601059398639,-0.2650579766215915,-0.13683648136409643,-0.0736466552820379,0.4886759399894681,0.4252692834155846,0.2925938630256163,0.03551335970193245,0.03705858729288067,-0.004253608835832673,-0.20534292996430475,0.1286058613350477,-0.4665828095522897,-0.2541223661207046,-0.11366504548884718,0.2642565229271479,-0.24752451027017652,0.4383862726058089,0.3220489477048666,-0.017470370848921557,-0.04868777324739443,-0.21507733330019047,-0.009184035943578306,-0.2066476592296308,0.12530334104806007,0.5521661468999876,0.24548763881436753,-0.04076586408636865,-0.21343125609367608,0.11314818870124974,0.57550818430197,0.3763550389155312,0.7417406035137663,-0.26908672761010693,-0.39789591716989176,-0.04747581709379403,0.012293439633633496,0.1860122090593298,-0.12066049407948051,-0.033682523444423046,0.019107544225626244,0.6714345905039936,0.7822541394542499,-0.14832632976719762,0.002916745401596657,0.12041753083184883,0.5194582672004975,0.2780317944961172,-0.27905383570334674,-0.21162436848487093,-0.08189547398153438,-0.19970177736972325,0.07918221909849245,0.2921156882288809,0.15610997384432704,-0.30368720763676416,0.2963134435358761,0.18028888949145544,-0.026549388321622985,0.5180608847996133,-0.2373620518312171,0.020386393511601347,0.021520029997587398,0.025070743659553613,0.3503238228325034,0.17007313598058016,-0.6162934340317516,0.1554314844409899,-0.05965995341798502,0.41423207331324824,0.45294627961396794,-0.07577053152790439,-0.1476890569339903,-0.0951115595740598,-0.012835725043615298,0.2804360223844627,-0.4338761202090524,0.21175432671925337,-0.2584970956235398,-0.12424402643767951,0.282794972630338,-0.1561409958421179,0.24402325810614406,0.1548677916363649,0.057938498909834324,-0.0715038084793699,-0.3010297752292116,0.011359042377077161,0.29721609924328096,0.03332191912318405,0.3293558122505765,-0.10788238957408275,0.05841581074191657,-0.5241442301490172,0.5206033209040122,-0.1998251864539856,-0.03953269749081037,0.06376945144310792,0.0028314500531679,-0.2116396828169824,-0.02163086285340657,-0.03861687495723695,0.1842383454754854,-0.11393288329134629,0.3133259275871684,0.3162440537978339,0.03422530884660236,-0.1277031666664077,-0.19196009268370848,-0.04540391779227389,0.08092153538537297,-0.38267113024594496,0.19629806929279642,-0.22805712387474686,-0.28554302893615346,-0.06287399337927135,-0.16355430874412472,0.15870960517524274,0.05059703982666794,0.02966893699196138,0.020674700953715736,0.4539781118043808,0.09912992719021091,-0.0727182702913082,-0.13746759555458982,0.03705560881611916,0.13783449258237784,-0.07169502725886939,-0.3940456374964741
3,subgenre-current,novela romántica,other,300,5gram_chars_affix-punct,tf,0,3,novela romántica,other,-0.11259122245189634,-0.07625986262719864,-0.143749433857277,0.09537582920055288,0.029629433647085313,0.03879980151692647,0.38555696576756104,-0.203776828107196,0.18104069910348886,-0.1529605473499096,-0.024386080204185062,0.011948635483199355,0.2523207892733549,-0.5540568554287518,-0.06462788877484327,-0.008522606101390856,0.05887649140288537,-0.031262782654307764,-0.04776665497330912,-0.18038684141992561,0.3390235536541142,0.35282484414902526,0.3727320382265137,-0.3084088650318599,-0.09953323317736935,-0.023787790824639887,-0.10918420507904032,-0.1615081052623024,0.21373548023434985,0.22684931033800848,-0.303343410548497,-0.2890850974960704,0.614818837639524,-0.11172706744142741,-0.27874485881790567,0.44385488126730316,-0.12322824440404911,-0.8817963949217205,0.06418119752407153,-0.16245195083192307,-0.017010316068061915,-0.5322049811252991,-0.4621461013753758,-0.563796598519438,0.16984812454374448,0.3396031975093059,-0.14304051278315114,-0.43671481832889536,0.139023392050246,-0.013006276493773145,-0.55384586545897,-0.16693130402297618,0.24098908537409275,0.13127195869643715,-0.24340794541751914,0.7127225196119131,-0.2402464067166676,-0.3472236480074541,-0.08313488846978326,-0.3253429508979705,0.043265403241011455,0.24850224648524993,-0.39897753026637334,-0.01893515287865366,-0.2119505140299679,0.5258183836691985,-0.448948974343017,0.005730208915711077,0.24130645041119686,0.238748596006295,0.02591758067343497,-0.4691345236598582,0.5287152206035706,-0.0462557293201424,-0.09411107770380638,-0.5123905169003239,-0.013868503811647018,-0.15065295131993123,0.400553520585583,0.14519448425068468,-0.2708205555343016,-0.1438691221090518,-0.10761596936541803,-0.11429206802500139,-0.3987279195556523,-0.011255270932586353,0.30388248966163645,-0.27941226576133227,-0.45453545079833874,-0.12595644728811667,-0.17836530021936803,0.23228741365873729,-0.051998833064871755,0.4037510541276843,-0.16476894235899742,-0.4497822249864748,0.06667272874178054,-0.3657648133435164,-0.5895241964246193,-0.16378413707296036,-0.19299737434493447,-0.35904510928403743,-0.10349888975129168,0.0674428396857416,-0.15366650068788928,0.29286836858555765,-0.0877900542813797,0.07409247516072232,-0.0898503860599062,-0.2250305197570647,0.5142361317123321,0.11103774308094155,0.2945810363039797,0.4399914591391292,-0.3424631818422451,-0.31177308896892914,0.4904181327986682,0.13969133115268653,0.20272915121743373,-0.5910212705121906,-0.16364486710421897,-0.6240761204924505,-0.6527704157595315,-0.2492417040165584,-0.2869280437797648,-0.254285589276509,0.6199849958483159,-0.7977794791663508,0.6562967625154339,0.5985094269320468,-0.7395242870770069,0.34552225049224633,-0.24837078671358276,0.08923736920494302,0.6971365540577115,-0.219857730682269,-0.24495589749416197,0.04496217967005134,-0.166256707612831,-0.30765961137326103,-0.2161770364422789,-0.0771472114353057,0.36206927895510427,-0.3180259807461734,0.3271550806277592,-0.1243130567474664,-0.07631909202359774,0.054576809358506284,0.4239067544557484,-0.1266202618052756,-0.14208238376442126,-0.05895781992634387,0.7071813572945305,-0.1452848445732321,-0.6206907335275333,-0.4292963771192191,-0.17521774254843675,-0.07501344288440745,0.4000428900529005,0.041085055111457935,-0.24575187947902571,-0.05756680636910244,-0.2353634293388035,-0.21265516827735942,0.28650676460001584,0.15573396016513874,0.1583969224541037,-0.33141898511428186,-0.1811269935034782,-0.3886902710129064,0.05735736223713642,0.4070835787374612,-0.23001867337773985,-0.172728124178753,0.26154144189539136,0.43939974200810616,0.21300996815213058,0.4189939818295118,0.2507246959616515,0.25735119961996633,0.05908046645262681,-0.042066073998962755,0.09203190219766227,-0.45877603723424293,-0.1444063103541823,-0.0713228987645817,0.18397912803028044,-0.12141346475975301,0.4689265563252159,0.5465038604365029,-0.20848128198425164,-0.40357611606140525,-0.286289913230576,-0.05274309448451664,-0.2572761121491814,0.15320622764994862,0.47652691958821486,0.10136460179002643,-0.2502120496451654,0.07505999944020031,0.16712182008782184,0.8297464454111635,0.36550764503208133,0.5507446521622681,-0.15410055491945981,-0.3605820888830883,-0.12832356971314524,0.034856321321680206,0.28496921686882126,-0.21668340400410332,-0.19032213268947595,0.0862656340854927,0.5515593916488284,0.8686452488563227,-0.18262114322960213,0.150151731142334,0.06870694468071681,0.5222959147718669,0.3521943736685227,-0.2825857209482229,-0.19595210831427182,0.21901691335983592,-0.27469330794159974,-0.03767393240847389,0.4285374874582537,0.2058855443063473,-0.2770600326415984,0.09415860214640184,0.2745857095070847,-0.10443225726567218,0.1930753819627733,-0.19435144592529635,0.1148104604757785,-0.15796000522325793,-0.040905204581299426,0.4545608294888187,0.42784701774547607,-0.7630764880004703,0.25555278773741874,-0.1041173690874105,0.3953512065781652,0.5376377538441139,0.07871585499932976,-0.07384267744919565,0.19566950234979247,-0.0621524610860035,0.29708960379420446,-0.20100466305294518,0.17479132042620488,-0.0982664099741325,-0.2155134320699068,0.13051660545708943,-0.3458662036901368,0.37977381906461083,0.22895028466047776,0.0796651609151739,-0.15516335995345967,-0.29742454040724076,0.08510322354443117,0.23046357691042718,-0.023251900629658928,0.2404529099309834,-0.08543226673918536,0.12895050139213854,-0.5004544466109075,0.6257790086949917,-0.3292033120848026,-0.013892625078427256,0.21523080631206204,0.24744013000014864,-0.10986321052492048,-0.07066697007016232,0.2148581646833683,0.09548245159423907,0.17558524112366214,0.06802930359961368,0.21875729682666586,0.09527424005663247,-0.3315648071298459,-0.16348980839597543,-0.11916443203851346,0.06728984108102931,-0.14518769113427832,0.13642560347213828,-0.1146418282478639,-0.2804127294167324,-0.05409361629254353,-0.22751478994418406,0.07852121930599582,0.07132884799186942,0.10601472803413559,-0.33505995633591745,0.8681210231839729,-0.02379700213119429,0.11851265606530703,0.04519443717045882,0.09273421398090487,0.35689952891305127,0.17421246053874032,-0.48391646290591533
