,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,que,ent,e e,e l,con,a e,nte,a d,s d,est,o d,los,ado,aba,a c,e s,a l,ndo,ien,e a,o e,era,e d,por,a s,las,a p,par,sta,a a,n e,res,and,des,a m,o s,tra,o a,ero,n l,nto,per,ant,com,men,una,ara,e p,s p,e c,s c,r l,o l,ada,s a,e h,o q,end,ido,pre,s e,dos,ida,o p,lla,hab,rec,ier,ión,esp,aci,e m,o c,cia,n s,dad,nci,nta,n d,enc,ten,a q,ció,n a,s q,bre,e t,ran,tan,r s,s s,ntr,l c,uer,s m,ell,ste,a v,qui,s l,a t,sus,uel,s y,nos,tod,o m,man,ron,ont,bía,ora,más,eci,ros,omo,ras,tro,r e,tar,e n,n c,pro,ues,o y,a y,e u,ese,mos,cua,esa,pue,abí,str,cio,cer,ist,l p,ter,ene,r a,aqu,lle,les,tes,tos,nes,ven,ver,cas,car,n p,ert,rad,o t,ban,e q,one,o h,a h,ita,mbr,sin,cho,sto,ici,a n,tab,nde,ser,cha,esc,odo,ría,cie,y e,tre,ame,a u,e v,llo,emp,osa,ura,ble,n m,hac,all,tad,r d,das,ica,s h,y s,cor,mis,y a,ust,sen,ces,y l,l m,ios,l d,ace,ina,gra,ren,ari,l a,omb,der,s t,spe,rar,asa,ere,tie,bra,ían,bie,a r,y d,ndi,fue,n t,ano,ond,a i,l s,ner,nad,a f,sti,lan,rio,cab,uie,ece,e r,ast,ech,rta,ama,ion,obr,amo,n q,ami,lar,pas,int,mar,día,ale,abl,tas,sal,y c,eri,otr,are,mie,ijo,egu,o n,eso,art,nti,qué,eño,err,dor,omp,nda,uan,n u,ill,rab,ena,oso,gun,e y,e i,s o,anc,arr,sol,abe,cos,edi,o u,l e,ala,señ,aro,ó a,uch,r m,s v
0,subgenre-current,novela romántica,other,300,3gram_chars_word,zscore,0,0.0,-0.04888219684372755,0.01616721036445542,0.24253004221199398,-0.09764579573880681,-0.24906546779868208,0.4804587957802351,0.2445812853718609,0.2172661216346608,-0.20312423338917585,-0.4371052749474999,0.0250502978849131,0.1615396383996826,0.2290607800412009,0.2961545773456809,-0.0723313314863987,-0.3667813714483778,0.27147922363695526,-0.10493270163074728,0.35348643726379086,-0.4290854393013492,0.0986235193988799,0.12498174224747072,-0.5574308170230694,0.03750985051089482,-0.04128880793593874,-0.14252218177414516,-0.010107755913614368,-0.054248130825834094,-0.03948502332555274,0.08008674991161258,0.19548078835527288,-0.7664905762572272,0.11589165581127364,0.05957121206713826,-0.46017778379045476,0.09436091672688202,-0.14371934928320715,-0.1366655540106436,-0.4013356683271512,0.3167474640590372,-0.13986260518110932,-0.4819017454900524,0.02231446306855539,0.6625923635277728,-0.19635417314890377,-0.0006853897451435421,-0.024123825986350732,-0.5067770120989142,-0.5089799698778015,0.08012132464459731,0.0705315721416219,-0.18787456633972954,0.19774248752763612,-0.05717794250743914,-0.20611987837051696,-0.5633362602655302,0.20653527309114314,0.0790445366462845,0.14815812213708007,0.2362652356871921,0.26008424814593656,0.16687089560745386,-0.08867975026120839,0.14865958854108935,-0.28328283914506064,0.15768636402564196,0.10989486256719586,0.12024048215293728,0.1425077990581854,-0.19858957283379428,-0.2165122280839799,-0.20455994708649836,-0.43571172574194034,-0.1547693877843735,0.08199823578782459,0.09332980947032149,-0.04832182622421967,0.30274637922031816,0.006530306140075878,0.5615068823973213,0.3990538893773445,0.3742923263031111,-0.06955412013714779,-0.21681452231966514,-0.1812533473142171,-0.1013931357875336,0.18259081349279366,0.5042011925684557,0.13031711869780324,-0.4610437271848041,-0.4208060852147387,-0.04598455319807338,-0.3829197425417474,-0.13538280598579655,-0.42660615183327394,0.11443954488185945,-0.2021703345022346,-0.057367036726752946,0.5353319955112804,0.06318519453798013,0.09758507139325365,-0.31987635251323077,0.06326848757776607,0.2105270828596529,-0.4264604538032356,-0.5041851164574768,0.21157923505854284,-0.3050913937185311,-0.26631458651258944,-0.08070265853185914,-0.013324335138436408,-0.48595903227889886,0.27287973618448064,-0.7225767143810724,0.08255747613826764,0.26104770832689744,-0.11278811241885188,-0.039361505505698724,-0.054207699357116904,0.18479345233683972,0.3555535153056204,-0.232379148963234,0.18782621807595032,-0.5215390326584998,0.19786831135217503,0.06460144218448781,0.0566069338938016,-0.1832134086631107,-0.0507601187645898,0.06379746163487031,-0.14777041686281273,0.03808509167022189,-0.0061183773751863416,-0.23117663600314542,-0.0396741509623765,-0.09612820504243982,-0.05778273484133441,0.20490876563875574,0.3789956459455634,0.1818517682865783,-0.39617727892059124,-0.10450033303149907,0.4461474305125865,-0.17817630062401943,0.7554712960540011,0.2798340980268083,0.12414179574260131,-0.3746302103212651,0.15793826152446022,-0.08172114616218137,0.2117292174497872,0.10300088579656769,-0.16220844086687655,-0.32545595114655196,-0.16899005468010178,-0.17673420934681966,-0.14230445065269504,-0.08641898241038244,0.1506870467839369,-0.1329773623880656,-0.40355779150222704,-0.12348770310483677,0.12146530967244779,-0.17128124379267592,-0.346114200018483,0.3285921338450903,-0.22542011645478144,0.25497251360926926,0.7869684984118287,0.11744474534741797,0.046813906376406346,0.7034250617732138,0.2403303448992832,0.7994696457517932,-0.03665400842573768,-0.09820769380868705,-0.038722858762347954,-0.20834224460299408,0.010543271017811166,-0.1090218522944405,-0.07516723001582948,0.10315959203212749,0.28515458949369554,-0.25687097592877495,-0.04289126730627156,0.15454879807403815,-0.01757859343193839,0.2853633190975945,0.41883767394927635,-0.2810212386121057,-0.2627594020253697,0.42238636621649994,-0.38477174984449625,-0.2578157331497128,-0.03284883889290378,-0.5205545742384304,0.6294728776466072,-0.07359577253764543,-0.19593969883944776,0.10592543493275178,0.04594963983064467,0.17235686555646582,0.14060221551425525,0.2693271999032489,-0.07830155207712516,0.48555819196182937,0.21100004116006443,-0.12434823148946972,0.28249876675368024,0.5132061953885727,-0.3704511297901809,-0.47900292967245633,0.09521279230785082,-0.708626810261579,-0.19975924889898813,0.19931149676782983,0.029879521523583287,0.24209332328526278,-0.06477534242032576,-0.02988669263229815,-0.049772560034249146,-0.104971462264724,-0.7724908186956436,0.1856315156624747,0.14421580956118582,-0.6295289394095984,-0.12905965068812025,0.2595207131690431,-0.12329319619164623,0.14987207098705047,-0.19234180615975807,0.29161450754705825,0.019454247980264155,-0.08889267255688087,-0.153966456071306,0.3450435127555184,-0.31184199144999825,0.25445223688831464,-0.0037537037907661858,-0.04486684687668174,-0.031862061685954735,-0.06623177847794222,0.7638633755555169,-0.32243709811608695,-0.08160690181132951,0.18234763505106744,-0.19787996155073662,-0.11513190001259895,-0.2607360933414663,0.5994847184572694,0.3125345068585968,0.62995307440646,-0.16460090956195958,0.19942397481945903,0.271802680574307,0.4547725190481357,0.003058026395684449,0.18599572807545342,-0.07050613592903926,0.2448718905711133,-0.03129957952857332,-0.047181894610870224,-0.2007919988819527,-0.1164254143169284,0.4031378241566768,0.07300518646328051,0.45191264869990316,-0.12815201435780843,0.3346113902436971,0.6374529188683996,-0.2674057622230528,-0.1132193742301193,0.06857429454987606,0.6538354902342605,0.012623159206724126,0.34816268238999143,0.19613772517747538,0.06145063149932031,0.29131214405708733,0.290251326314082,0.21161123734464785,-0.13947724030232148,-0.21553762562153478,0.36277946477134626,0.013619932453170717,0.493312930786437,0.1701928708178956,-0.4046423903249547,0.09655455587580421,0.46486489338811443,0.1781162585823724,-0.28020857291670065,0.16239273352892306,-0.19162607443962876,-0.457686997542075,0.024207773009336832,-0.4081222855840078,0.24506695814327847,-0.5353961236085588,-0.03696910666225941
1,subgenre-current,novela romántica,other,300,3gram_chars_word,zscore,0,1.0,-0.11604253325971665,0.1486468885372362,0.26671323424591215,-0.13696686837912259,-0.13617014277052686,0.4872995708996879,0.19249780156573948,0.11218090755982227,-0.25907263490090293,-0.301348025210022,0.1331869290922149,0.05682594651483593,0.17238077257706316,0.38500542135747906,-0.041986228201183286,-0.37930124543999544,0.0942987987119567,-0.14104079425493732,0.25276883028150354,-0.18637409732533514,0.17338299506338947,-0.013267221605971387,-0.5092030801798018,-0.07295838791373299,-0.06854812312719594,-0.12274532029856744,-0.012575932870819685,-0.23923725825979,0.08501174961510237,0.034522976842850675,0.307522679173875,-0.9520965667786042,0.09161019755353056,0.019373645768510712,-0.5426441043297563,-0.04212959700833738,-0.13557328601125146,-0.055782300397330606,-0.47507944177009837,0.24209744342520234,-0.03980520484485225,-0.5633937844612611,0.06742038457427374,0.6884448380998802,-0.15400269758625737,0.003646055984373408,-0.32749223473243483,-0.3569122487472372,-0.4245125340104017,0.10061143767509481,0.17727620177291226,-0.19967455053834127,0.20534754312516104,0.10608032165102371,-0.2828027441037058,-0.47338954999979155,0.28898017775985774,0.02023396349013376,0.1529529661180225,0.12892466528110058,0.39076238431749777,0.06971980485759763,-0.28904507433690896,0.04129037943250219,-0.22313597955230724,0.12870131914836208,-0.030396404647374628,0.07282557966206896,0.06995196701422082,-0.18488612340106544,-0.1692599468888417,-0.15543736140842374,-0.3413540498862546,-0.35268698874095195,0.1412200334105531,-0.24154426591146033,-0.1370689726647087,0.2632194722307444,-0.11749977285572077,0.4308488492384852,0.5333147626580007,0.38936881476032337,-0.07149676257247703,-0.11577078944084554,-0.175311166576455,-0.13510581808274982,0.11915531940707842,0.466904138144853,0.15749279457177728,-0.4869394314960948,-0.4762441170472704,0.0915179548507983,-0.5385681339162267,-0.11837406438485557,-0.4281894542362793,0.16740815483446808,-0.09175328274357619,-0.20705404168022276,0.4620170503467182,0.0036765684796199252,0.2199129428632129,-0.3892594994987427,0.08829727965899747,0.17596831586617118,-0.41165458605590716,-0.3524640054306506,0.2137869845862565,-0.15614814558616086,-0.22774738062191122,-0.2296981497633045,-0.09696939373615045,-0.5423249956409357,0.24566381310153163,-0.6204352585557131,-0.05426383555118085,0.4138704757697812,-0.01375949415100651,-0.21436123593992723,-0.05218329077515861,0.28654581227598297,0.42457562115264086,-0.13091657970861675,0.1844543044927246,-0.4851439682216617,0.2713688478076502,0.117027135377548,-0.02005758975209563,-0.07556596590016168,-0.20936022342258323,0.15956509382104325,-0.2875354068715126,-0.1466614665039867,-0.10371091613399003,-0.14658352424955615,0.057399250875614996,-0.08971467345241158,-0.03121202706883435,0.07399259190100413,0.35257230675503176,0.2395729172555057,-0.24683396426892673,-0.1220384294574931,0.41795371603107767,-0.14150758335108918,0.7539981737783333,0.20937028348341846,0.19197971843608663,-0.0336166752632449,0.2757354267420791,-0.11450876384114744,0.005328226862719082,0.00676252706993178,-0.14659987466822436,-0.24801830365093724,-0.1995248434538571,-0.06669576732348947,0.002077434435586098,-0.1234324825757265,-0.058742739391524385,-0.20464283557808968,-0.26050017061520164,-0.22833665724973506,0.06725728668224466,-0.1298551347273899,-0.3728599632211561,0.17024458715900007,-0.41062597233005277,0.3189829684536982,0.7102966926113186,0.1154573269079252,-0.03150956764811275,0.5193025370913061,0.28026701619798833,0.7854411240945126,-0.12155380209677932,-0.2087020201780987,0.14286658673894276,-0.12910579297150554,0.0013081888261002681,-0.2855765279762291,0.07275686610675614,0.22964345949282816,0.2695903365699589,-0.5146262770841978,-0.008685640924235571,0.2772922430716785,-0.004320606603499047,0.08584306952703244,0.21780559269323824,-0.3215829814944993,-0.13661028030956812,0.38597502651273896,-0.33230614020623,-0.25078365593860497,-0.3082693301336273,-0.4377055854724454,0.5424859950302582,-0.033244387577817315,-0.10826165968066016,0.058941710062197665,0.010939845294170879,0.09834794673238953,0.08207146619260171,0.38464003051159856,0.08879140954127117,0.5254718717262193,0.22950539201644193,-0.18974984338390632,0.23695272586588528,0.6552064108119516,-0.38929606967643665,-0.3900122461201817,-0.12269587369067139,-0.5891321145882111,-0.2505449916270327,0.021387827231712356,-0.04831434804359076,0.2350599099765008,-0.16893918244146766,0.10537687657974437,0.12594106668326044,0.06664352246723079,-0.5657260413520974,0.09402005702169017,0.22466545242529898,-0.4579336292817201,0.129320529115185,0.27797968914530724,-0.10156826153811106,0.13241034484906006,-0.12136943099595301,0.6421092448453067,0.0072669523098794105,0.028210514048209127,-0.20660696416252744,0.41877069410603385,-0.26135588661086034,0.06533838077908469,-0.15121292846782197,0.2755810649085051,0.16728408133237194,-0.08692083847253117,0.6427415392632867,-0.33805806450902204,0.007583725398234063,0.20266685319715108,-0.20738407529596078,0.08966688289800305,-0.12808557878621368,0.5923780277908954,0.41556681218163816,0.47291693760493,-0.11685400767202682,0.10457092805291818,0.1693400774237675,0.6394059253583891,0.25783318440507363,0.02031357021027532,0.01770622775472512,0.4182465682964138,-0.14683821853367754,-0.031656019281173634,-0.10178511804029883,-0.011089183147978637,0.39242079462908747,0.031718430276049314,0.43453556146330385,-0.2161016330660437,0.409346888078783,0.6122306012015788,-0.13274885808300319,-0.06720623990979076,0.15081118829522494,0.3905704592228358,0.05907145674143539,0.4274427834044697,0.11785164672758144,0.3111650114384343,0.296102139622755,0.3345701199528112,0.23124704112379857,-0.12787319308236536,-0.26439856323212335,0.4530378172455777,-0.048254888853035235,0.23551717510496445,0.0886329484408553,-0.2473119098621352,-0.02265852107459019,0.4953743857977485,0.14482257781138363,-0.1901377774354747,0.17579291286333054,-0.22039650785027748,-0.3242819675890768,0.10311513185987665,-0.356570902108887,0.1625701696938266,-0.449772183145025,0.20086366119297117
2,subgenre-current,novela romántica,other,300,3gram_chars_word,zscore,0,2.0,2.7755575615628914e-16,0.08947776908262013,0.18251298323471055,0.010322376404327848,-0.19377532486133597,0.3439097999200131,0.18606878885977382,0.12141043536369164,-0.0725803066592412,-0.3022963430050542,-0.011804072996134937,0.14692920155272676,0.1522369023192696,0.27880700872453507,0.1522593439266925,-0.3890202563441175,0.29779574751434135,-0.08986557524871171,0.44009832244421065,-0.23653242227169877,-0.06871954932553265,-0.109176547057757,-0.4421099889741565,-0.11032942297188819,-0.10151634264213039,0.05482474235295363,-0.01818634965192369,0.08756263231970368,-0.11905259913486682,0.09455997489061782,0.04392266143107628,-0.6382016244076755,0.11885900988581241,0.09889147604367138,-0.43345772497291024,-0.061499737306622365,0.1374639867261126,-0.13990015925454236,-0.7369329995383092,0.15569149055374032,0.09809972792497279,-0.40181871442024286,0.010265355092741447,0.7128124499116175,-0.10146475323372948,0.0600573228314805,0.011166829804231084,-0.4483096464049642,-0.619316353787602,0.009736938047226557,0.08499901631729762,0.07296119451570122,0.13362470794754347,0.09004871166013884,-0.12772272519805264,-0.4568214405106771,0.3555073921539056,0.007268352896885925,0.14138134439798453,0.1489666678274643,0.022205364190037394,0.10385666957559826,-0.04499833029964935,0.01905540835498923,-0.03643922330652728,0.12019679186696744,0.055954802968965336,0.17695342514748824,0.2045404644641508,-0.09832393790612254,-0.0034610449663794226,-0.2791003291199665,-0.5392886414129603,-0.14784302669439647,-0.20677895801562202,0.22171170692067585,-0.031429868215230215,0.3906040952463674,-0.0015174899013389222,0.39753417633262456,0.5315477476551101,0.24372824905885057,0.09052622741329756,-0.23700068415042452,-0.23506204350854168,-0.1316808712461331,0.013850542688120429,0.42646578316195843,0.07434797337479343,-0.3417467103078876,-0.3404028088412068,0.04757611646360624,-0.538031029315942,-0.1455147383590265,-0.34098995649996383,0.20925738759856496,-0.1341130555612269,-0.02342063987442359,0.35886014707261005,0.19557348292007146,-0.02336187426746604,-0.19253794628135332,-0.009389718267239784,0.14294850707581505,-0.4000869890527324,-0.6265701806963098,0.06434061746029028,-0.19143099748720477,-0.205462329997236,0.14567991161840851,-0.02625515391094289,-0.4092017032086999,0.16911009313879538,-0.5821369633107069,-0.2960226584901613,0.4491338772385284,-0.10744278376375849,-0.060788376412796136,-0.18721062426934915,0.2015192086554324,0.20689767661426203,0.05164483545469535,0.21345191549339518,-0.49147544963528017,0.10377606597784886,0.07125343242902471,-0.04737457640762042,-0.14654377948380182,0.0429400893037494,0.1360615920900091,-0.012945294539912014,-0.029037975425851018,-0.03771891300333447,-0.21638689352644871,-0.0010425435573219108,-0.17715280978428669,-0.014377432619418288,0.020612408936058393,0.334445699084213,0.07838666727093115,-0.6752974337807995,-0.019903377439021257,0.5770825606860983,-0.17590246660089986,0.5576370215500536,0.41506114433026353,0.08425986247496413,-0.4807868242683842,0.040119925313315194,-0.10073349986292834,0.18949584676745493,0.07511959007878541,-0.1786178838905278,-0.2577169167204381,-0.02789643019988592,-0.08367192428127626,-0.1049850901108063,-0.00738009368035325,0.08263480047105282,-0.29934993197181214,-0.1682365127826673,-0.3002899229425584,0.05149562074076254,-0.020410527451438638,-0.2427145841024965,0.25864423504754475,-0.1381053656399339,0.24591661943826273,0.5206549283252203,0.08050972320291741,0.13572526416489022,0.5434112407658233,0.013154466973722748,0.7114537068598102,0.010365780765120427,-0.04269088693695474,-0.00890051841322001,0.034375487140120675,0.027567425498943025,-0.19895203239452744,-0.03642146016158836,0.12483623773946437,0.23602925669684774,-0.35594539735071634,-0.117245040005701,0.12742725129418395,-0.0342281186848997,0.1666581650532138,0.4116162279853812,-0.23744079995483852,0.030071130923429633,0.3573753159338562,-0.4776857011157742,-0.2559150947828988,-0.1217819539121106,-0.6222899502651641,0.4559993586106627,0.07796157684571506,-0.21073512344962075,-0.04963988056326128,0.0996650792058464,-0.014878699869539434,0.1950143451226629,0.07663919496519102,-0.17293727855500018,0.5272889036701931,0.009843407653354367,0.1873617034002471,0.3324848325911218,0.2696898476735438,-0.304830943105002,-0.36272718571279017,0.24295123780921804,-0.6649616934154166,-0.16529125084778248,0.3003481334130425,-0.15177119230865607,0.2828835555461979,-0.23236696305124954,0.032678944659618125,0.07537377377831413,-0.06526806468645527,-0.6556452188027325,0.16934409685195803,0.21134045011089164,-0.4056923588395028,0.11818721776443977,0.1628461879343779,-0.03154081238368381,0.19993740157383072,-0.14759103184108333,0.37268422564472903,-0.0940830053076281,-0.09289817525494358,-0.1954717484344972,0.372075833226197,-0.16395584386957596,0.02199574283780202,-0.06727312650092618,0.036448989651234075,-0.22145011507494064,-0.02957246511963946,0.6276854478891272,-0.4276805437684065,0.04156318288277544,0.2597794687921774,-0.2797918927700642,-0.05221948542149185,-0.48803065990697253,0.7855521108761532,0.4819434328207291,0.6029147528721932,-0.14069182177196982,0.06036502562136517,0.06045494290400865,0.3047639042754845,-0.08315588043740388,0.18681553129116057,-0.17375536715483297,0.4504047337587982,-0.07236044085750347,0.22309050811438516,0.14075187066769265,-0.1264817685355231,0.4255839309443491,0.10297226821009331,0.37797856486258863,-0.27379264963503813,0.3235529278701783,0.5002134865164338,-0.19194424047221637,0.01837489922799027,0.061311684350325135,0.5153634618373448,0.08591118182505264,0.4357896962710899,0.054615906023040166,0.5801227025941338,0.26608691599473533,0.3556233848633098,0.07647593332617761,-0.30942906555711114,-0.27557078112094835,0.46402938180813,-0.2345439836652585,0.45246173962874137,0.09035593323880521,-0.40686673263965767,0.08448457825672813,-0.019918237092026045,0.02316487427080183,0.1941240978894699,0.16527247275573065,-0.14374688167413718,-0.3171763054511722,0.14166100082814453,-0.23799962004555347,0.27172871255021214,-0.13152389817464602,-0.11651444350143511
3,subgenre-current,novela romántica,other,300,3gram_chars_word,zscore,0,3.0,-0.06052607025128767,0.06272733664099331,0.22969974310325075,-0.03321789851267254,-0.20813184950092506,0.4363733328613181,0.1642147644304835,0.13341258063504063,-0.1904932271195018,-0.3038972242512708,0.06028918563865216,0.15681438342182102,0.2251203315129868,0.3623419282928492,-0.03657586243011983,-0.3456665904389435,0.23638194472153756,-0.03447020131939822,0.40164938048534893,-0.30158588192278146,0.004440971569818486,-0.07599352785171085,-0.5462783123116591,-0.04291240007838993,0.014706763699390092,-0.07479709009779222,-0.012246049278253759,-0.000713089557353299,0.005201670448572358,0.07114030804882945,0.2722489778514867,-0.8169279419900172,0.18128665109238898,-0.017772066665716093,-0.47580422927287114,0.042005494301581875,-0.13688335830949594,-0.2050045751526713,-0.5779887064123795,0.2934316136300857,-0.09170292051276716,-0.6873991098158037,-0.02227324724345195,0.6197204447962912,-0.16358865005510773,0.03994768778708051,-0.06407611724085678,-0.536192914306296,-0.496231039127339,0.17706050012200786,0.15620355026101468,-0.1319028693080685,0.3188493590269572,-0.013110658704116769,-0.09937133359737477,-0.5366784725912852,0.22140211856684378,0.058032293422946364,0.09274669116603747,0.15111121368152186,0.29092508952289564,0.14578694876255494,-0.08883880291020373,0.16736670228513792,-0.2543080808579114,0.09993405780219033,-0.048309168301251544,0.027378842468276446,0.15035477609217351,-0.18113805719269804,-0.15045171749966343,-0.16204802823928197,-0.44334059941646886,-0.24871374061718537,0.11083120558071781,0.11115263285547211,-0.11774493419731254,0.2732740726357264,-0.04541013446497211,0.6734911892046822,0.5695569012978049,0.4976825430118368,-0.07329737851648016,-0.22643842977847714,-0.16026967579681703,-0.1776441449111154,0.1797481037887248,0.5180868547097259,0.19857391107348946,-0.46497175951343106,-0.43752754338845173,-0.027204934435397683,-0.5081880446279571,-0.13667055310373702,-0.43162209630242393,0.20996349289148925,-0.17251160991171607,-0.0039047548596335274,0.6064084310947009,0.12677198858518907,0.12849764748945353,-0.3166956515707909,0.15709983888002785,0.1725783413516286,-0.26287893575048343,-0.4575230488499814,0.25929915533024056,-0.24995163430645595,-0.2568757755961352,-0.12534103712093264,-0.099863656638804,-0.48918045696561674,0.33180330178633893,-0.7789481067336286,-0.09599372497431227,0.18205920219923838,-0.1345389246015884,-0.08583744056181102,-0.10318659285615532,0.3376599430629092,0.2954236838569397,-0.14036167791827156,0.18756136775619678,-0.5843854620876838,0.20429448884904905,0.029389669211503256,0.01872924837168541,-0.19355149378853004,-0.002317856137512073,0.018939227146622793,0.02574447017029908,0.10380258206756994,-0.10273833991154119,-0.2505200741266616,-0.020469897442887117,0.03394473356420455,-0.09394893893564729,0.17673423455417758,0.47396846281327315,0.19300874986596994,-0.3640505541241684,-0.0324465224714639,0.6145256235698033,-0.09723862107584781,0.7091537450547386,0.267454502392459,0.19819894225972867,-0.15047833260176524,0.22864566840150266,-0.12956755753084795,0.14672438591740306,0.12108966807786731,-0.05892259417638952,-0.32204081731714,-0.03262974674370322,-0.11066799442083747,-0.08332225915403044,-0.04880865985078968,-0.017114332265045107,-0.23125664887430608,-0.4514824388917571,-0.2356180405007695,0.10744995951580703,-0.11953002327634846,-0.3425202628769343,0.34141731585573976,-0.20355843833021783,0.27715084270744705,0.7606760262948382,0.028718007534159623,0.007699024099837401,0.5621858740916775,0.26334415862414884,0.8241742883455171,0.08421944651105247,-0.2499563078205789,-0.018278914547258787,-0.18516077732757197,-0.03385475762756432,-0.08515493488932255,-0.06438590860672531,0.1386162221660457,0.2662167966714191,-0.4988841811961024,-0.05244106840605617,0.16196026671156577,-0.022270998157100902,0.22791875691822755,0.43560515730354143,-0.2585088794641046,-0.21885214765927227,0.42089396751831254,-0.3514626260012186,-0.3225061992783633,-0.20514432091895832,-0.5509704190664374,0.6688030467491369,-0.012987356751248992,-0.09742914154136989,0.07730318428082893,0.019106644235768667,0.03658109916596342,0.11185409544412472,0.20806180148119646,-0.14583148703977786,0.5461727958801791,0.21650582904196417,-0.16189706738245574,0.2625555346956633,0.6277005810725487,-0.3592197888799464,-0.3477392794505665,0.12623760218822153,-0.7921221438983739,-0.19238437096040534,0.21993817482072425,-0.05304072291586361,0.23230991856918262,-0.07770122982344746,0.05144727875320874,0.04317989155832604,-0.06853756500066156,-0.8700337405992363,0.10023271386263953,0.18542955362771713,-0.5578248041877184,-0.0824935896328065,0.3069324202509513,-0.19030721995754743,0.07355648735510069,-0.14898372980861488,0.3164757192531416,-0.01939206725973646,-0.09003622170618245,-0.3387018689816888,0.35616232686691246,-0.16019872459392653,0.1628908332389517,-0.1068383300311499,0.07792786422483178,0.05003857760635154,-0.06735727535549574,0.8312338969665499,-0.366934702834773,-0.03642665319663288,0.164924040339324,-0.1728437195582877,0.007806736227627967,-0.30950177065744294,0.6298579838945723,0.31261280154691623,0.5793630217213677,-0.1280537425538289,0.15720362573730273,0.20990399716740388,0.49729634438312076,-0.026576467971017384,0.05836597704814421,-0.07319926941773523,0.36612057877712717,-0.01982254043636318,-0.13906905497003402,-0.16877449149242305,-0.07333565196929943,0.41400639496918457,0.0882811251205637,0.48023271613067026,-0.2048518113358184,0.4419148404006811,0.583770274546151,-0.1776406519018378,-0.16811838727804873,0.06840223453513086,0.5187778730691747,0.0025234513964205313,0.38149336990307525,0.24603988977054095,0.20953430485489435,0.3000069518296584,0.446695356157528,0.26906297770221427,-0.0636247897751189,-0.3054988903606581,0.33041171390798096,-0.08193399133769791,0.3052490953137626,0.16791176791134568,-0.41643614181347877,0.0205433809349024,0.36530222953993563,0.06971200953931639,-0.2204279602530932,0.1300533154238797,-0.13383686442666282,-0.39559272685825075,0.050734233443510704,-0.447845048413025,0.2290659110719044,-0.422414261664828,-0.05603895551626103
