,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a el, a la, a lo, a su, aque, bien, casa, como, comp, con , cons, cont, cuan," de ,", de a, de c, de e, de l, de m, de p, de s, de t, de u, desp, dijo, el a, el c, el d, el e, el m, el p, el r, el s, el t, ella, en e, en l, en s, entr, era , espe, esta, esto, fuer, habí, hace, homb, inte, la a, la c, la d, la e, la m, la p, la s, la v, las , lo q, los , mism, much, muy , más , no s, para, pero, por , porq, pres, pues, que , quie, se a, se d, se e, se h, se l, seño, sin , sobr, su c, sus , tan , toda, todo, una , uste, y co, y de, y la,", com",", con",", de ",", el ",", en ",", no ",", por",", que",", se ",. el ,. — ¿,.....,a con,a de ,a el ,a en ,a la ,a los,a par,a por,a que,a su ,a un ,"a, y ",a. — ,aba e,aban ,abía ,ación,ado d,ados ,ament,ando ,ante ,antes,aquel,ar a ,ar la,ar se,aron ,as de,as y ,asta ,cione,ción ,como ,con e,con l,contr,cuand,"de , ",de el,de es,de la,de lo,de qu,de su,de un,dijo ,do a ,do de,do el,do en,do la,do se,e con,e de ,e el ,e en ,e est,e hab,e la ,e las,e le ,e lo ,e los,e no ,e que,e se ,e su ,e sus,e un ,e una,el ca,el co,ella ,en el,en la,en qu,en su,encia,endo ,ente ,ento ,entre,eron ,es de,es qu,esta ,estab,había,hombr,idad ,iendo,iente,iento,iera ,iones,ión d,la ca,la co,la de,la ma,lo qu,los c,los d,los p,mbre ,mente,mento,mient,n de ,n el ,n la ,n las,n los,n que,n su ,ncia ,ndo l,ndo s,no de,"nte, ",ntes ,o a e,o con,o de ,o el ,o en ,o la ,o no ,o par,o por,o que,o se ,"o, y ",o. — ,obre ,ombre,on la,ones ,ontra,orque,os co,os de,os en,os qu,os y ,para ,parec,pero ,por e,por l,porqu,que a,que c,que d,que e,que h,que l,que m,que n,que p,que s,que t,quell,quier,r de ,r el ,r la ,r se ,ra de,ra qu,rque ,s con,s de ,s en ,s que,"s, y ",se de,se ha,señor,sobre,staba,taba ,te de,to de,todo ,uando,ue el,ue es,ue ha,ue la,ue no,ue se,uella,uestr,usted,y de ,ón de
0,subgenre-current,novela romántica,other,300,5gram_chars,zscore,0,0.0,0.4843767030128336,-0.45499266251767534,0.46619207637368765,-0.22826618219085876,-0.2011132904290094,-0.01296146958155045,0.04261439834065714,0.09625196964223512,0.4105316508069134,0.07301141008140047,-0.18984620168234892,-0.11586900852586637,0.10849316472405507,0.1346045722466784,-0.07697877071759836,0.5885458802016172,0.2520197496102413,-0.1770671178337724,-0.3924960291303654,0.43169936848025153,0.015553139852523046,0.14337147003536221,-0.04572649541896928,0.03764386493356395,0.17162499306588816,0.4927509323752327,-0.5293732519147307,0.5423744890771403,0.22488215308368956,0.2722331529777373,0.12480151554873357,0.035437436055171107,0.35393441313306434,0.23835021872126697,0.045238896989436644,0.11178516451958573,0.25033455916783903,-0.28866747996887154,0.19084823006591006,0.8281932952265609,-0.6515748399513568,-0.16687061647254692,-0.2632675798375146,-0.525488950751837,0.05930821461532154,-0.19729622685463258,-0.3294685789338342,0.4876215915792269,-1.1003429751527216,-0.08494496280052106,0.14860092228742378,0.6429171730524118,-0.28368394621238013,0.1641040554736386,0.0495315507977976,-0.0761900418709088,0.042819011782465916,0.13966585997682018,-0.12523736766251592,-0.4249886030101536,0.512237648445586,0.003294785080303439,0.2127042493362249,0.38012059682508037,-0.2164303990433481,-0.1093960175271268,-0.14764764780011083,-0.347218062499597,-0.5776665976610887,-0.26535479581872357,-8.326672684688674e-16,0.1778828504532487,-0.23216700519594885,0.15310482060548042,0.10132515146017895,-0.2118285647047209,-0.0948246082471401,-0.49119562797872757,0.158812915951459,0.17807066445966108,-0.17955614774695292,-0.3450118535070462,-0.4024895265870379,-0.5698256658062174,0.22749045890922276,-0.14809829621913523,0.028864839109606355,0.20897104822757026,-0.3473622535430725,0.07463640296688034,0.14601998987693843,0.6131758790547912,0.3629581074173598,0.09092739290715449,0.3192326852396587,-0.24464680010989837,0.24187568352219385,-0.1743631541717811,0.07039997444454704,-0.22045944273327792,0.5090207786207603,-0.27460292920700863,0.41887410597153785,0.4070223610375856,0.5478891061272225,-0.1913151541539347,0.04074775459002547,0.22719404703668009,0.1586312176118552,0.06793457336375949,0.5708560417372344,-0.1438263092913832,0.17367801222844156,0.08570194155815514,-0.09998324946560497,0.4292145689643322,-0.003887424827349696,0.3830651909881654,0.208731784984445,-0.19138506787347825,0.06381474795429565,-0.05365319320389089,0.2544290734911566,0.03772542407006929,0.2640225629388748,-0.1874518147971152,-0.15253216725816174,-0.41502841298114257,-0.15198274245763344,-0.10324921961062224,-0.10886578110392481,0.40933441578258056,-0.1992786095745305,0.1677966307371211,0.2999119427618072,0.13984046842902276,0.3364889330599369,-0.421778579061129,-0.1642379007913311,0.5777186077078583,0.11499616553217043,0.2165545339294427,-0.2781643939311344,-0.1720248062845346,-0.36070588798873726,-0.1381847520135775,-0.18616078656390345,0.00864742065826192,0.13582686639761996,0.18504166679684805,0.1057812762005457,0.4481685172386971,0.5234887675357628,0.11673798583506603,-0.08773248537032173,-0.19076518489877747,-0.5549521967212946,0.15337808295116995,-0.2956056467420814,-0.5011084911046246,-0.05141996651279718,-0.2568950144195816,-0.2989230231623685,0.4040687905546007,0.05070147392824956,-0.36776309835073,0.4311468905047198,-0.27614011908233754,-0.15223780813385956,-0.26239074558445086,-0.198109791191988,0.4259865147323083,-0.43223789240117283,-0.5868224905220509,-0.03379684066797641,-0.4074864731978679,0.17339923874168844,0.45848631043591354,0.4137770634264212,0.22934491000378615,0.30744893115104277,-0.2716599287886532,-0.21222951920501976,-0.37390001397706263,0.022756328509567325,-0.1474505888490657,-0.07729407678463476,-0.28642381658610483,-0.3995112971134438,-0.08652065399110137,0.04552201531952982,-0.3012229459134863,-0.33000702973964224,-0.24968430259214275,0.7230883480996342,0.003361895043318991,-0.019271141137713013,0.14453436446350115,0.26636459842617005,0.09400377114782718,0.13186847473336852,0.0381588169571133,-0.08103473390082783,0.2283356191987761,0.021393001332304623,0.19509857524782181,0.01553476191311215,-0.29996478010349875,-0.008440228510350922,-0.20930054998719708,0.09858556965031526,0.14083494595342727,0.27533396791673503,0.29197521931988574,0.1816774649267274,-0.08082023389570422,-0.399116851027969,0.10391356519626416,-0.03660239564588899,0.0621381420176971,-0.12018165696824543,-0.10473370565401821,0.30247735927331404,0.23952383133608923,0.5206168784320578,-0.3441006652669973,0.16130870666251718,0.15245459794224475,0.02668332008615426,0.059318956392691954,0.15134063160514402,-0.29423111189035484,0.3659687312927783,-0.09343378735754598,-0.0983629520782458,-0.20317621864089774,0.017012370516381457,-0.4623972384259927,-0.3963945243625108,-0.19385128473544866,0.36511368066724975,-0.1624779874986162,-0.3008631203329609,0.07861722852429413,-0.01075890478191896,0.1372554723891723,-0.34757525972995545,0.14801453884622962,-0.014783921023440005,-0.20978394623671864,-0.46656559310068135,-0.03344407694736515,0.10017653831506507,-0.35740382801085246,-0.1183476515800714,0.04954184312438896,0.20887756371860877,0.2833015363082387,-0.22198213246975637,-0.052281236480938464,-0.07251759817782677,0.2687236281827261,-0.18959328720663182,-0.2998315653371926,-0.3366094767865018,-0.3732381512606103,0.3257993236758029,0.10025934190044578,0.11012426770178031,0.2883722891532662,-0.33674190987703545,0.42785499347081263,0.13453842464227897,-0.3791693797794057,0.12109242803037562,0.029092218558089272,-0.010997300398341472,-0.25066720846445467,-0.09428030174835106,0.012214786483798229,-0.328738140537257,-0.465471101691194,0.03925743268283163,-0.10792808817059452,0.41786791477689594,-0.6638202280102276,0.11999377542610355,0.2620122686770408,0.6067694561482635,-0.3277938750437506,0.31569980757438254,-0.10270627851368908,-0.0868630160464638,0.36591916467232777,-0.25347730861549633,-0.19648008983243564,-0.5431815108382487,0.019645445875390244,-0.30147500204031435,0.2602914518164583
1,subgenre-current,novela romántica,other,300,5gram_chars,zscore,0,1.0,0.47002173653517976,-0.4368095727932838,0.5377079205631464,-0.10397235379799921,-0.1485654966679379,0.09004586687108951,-0.11994370927771814,0.1528198385186651,0.3746932922304471,0.12419999020927441,-0.005816969388154528,-0.2054985179914131,0.33531662221524466,0.05015756617109231,-0.13591814666739077,0.4379194958570481,0.3981466631247051,-0.13412430085163907,-0.6555877941374608,0.4506336136491041,0.0495997979025874,0.0786944556759231,0.007652967939949962,-0.04359597312645319,0.257476722577195,0.550528684358999,-0.6263075975626189,0.47112846734014796,0.2915889881829895,0.1438096640745613,-0.145037283152902,0.03182628163398944,0.34219300265532937,0.16578541523458934,0.018466824900198277,0.2767689220195441,0.03292656271067584,-0.5012605791668221,0.2778052613008315,0.4343993559362225,-0.43040080566494354,-0.06768677040942574,-0.34871396859934095,-0.24865382296973906,0.091760522025319,-0.10634349314947969,-0.4245088124314244,0.442099539686851,-0.8212105671139212,-0.06131861060710478,-0.15475306286448362,0.6040527569976394,-0.39636591900135815,0.16995569595464827,0.2185270509011786,-0.2565204874909231,-0.03988711094662995,0.385451394628875,-0.1062665656657679,-0.4865297805453641,0.7528302936926823,0.19456899328370814,0.20676685835710035,0.36840349339509343,-0.25341324281000455,-0.11825739306940186,-0.30210889928674955,-0.4866784641391287,-0.6968530974350082,-0.58605951902302,1.5265566588595902e-16,0.016324238139436027,-0.1963643779739323,0.08077043065995862,0.2146288127195131,-0.3858268616199888,-0.04568765054722712,-0.4623305007916552,0.13865521029361977,0.1680960707856075,-0.4071309109303052,-0.23222444098171355,-0.21654631946574643,-0.38620515874122346,0.38355175009235754,0.036806187824844586,0.08414091589859449,0.1640223854233821,-0.33609338976122904,-0.04881916133222159,-0.00287006000279829,0.9263902700239293,0.4003996851062205,0.05686199033452075,0.3051326358942876,-0.19170716526460288,0.27129010369100576,0.0420630425782496,-0.06965477877800783,-0.0274875871252145,0.506619871929512,-0.12112705334432997,0.33198491748082776,0.49279417114136154,0.47831351182074977,-0.13600245795018312,0.024138004285664795,0.09688296317274761,-0.2783399682607825,0.0347452865188369,0.559730261126157,-0.16058844933238348,0.054494305405423174,-0.063756258573698,-0.18737934386477287,0.40111254013404196,0.1304211187331964,0.24951520856205595,0.12242774038904028,-0.16999233240874212,0.17647151682945186,0.17003409523554425,0.12662335960134505,-0.05820968547548698,0.2984547090613136,-0.13435742725341568,0.011130740777858736,-0.14189172405359704,-0.19227729725405907,0.08183139958289468,-0.2558031476753803,0.2640973601068135,-0.04118978874948784,0.12235718361566858,0.32848195406417224,0.2084570382061625,0.6254078677602276,-0.2367553056594061,-0.19614465168983392,0.6039710713481106,0.0521059839305003,0.368831084762757,-0.14996938839669638,-0.18859748841771326,-0.16947961072997522,-0.17558094194903584,-0.15509176664849816,0.027774237863130633,0.19368532774821365,0.08589713720115863,0.05016744166793939,0.7062717434132161,0.2155382741067879,-0.08432280024193822,-0.002285115638288253,-0.0078008780308221545,-0.4529862587118084,0.2219839209800558,-0.21460380787718877,-0.24077884817872433,0.24048451305580237,-0.19672251596039592,-0.41841290782910295,0.41422411436536444,0.11036115108369629,-0.292545006823874,0.40508908528250726,-0.35053088105563507,-0.024538150559319554,-0.21399800828995563,-0.17623732303545925,0.24072292199977308,-0.2631856400012777,-0.6041240746805465,0.27809275792929017,-0.06795054226235916,0.3474255455703781,0.33080261665905747,0.3369316041303333,0.019358690300301636,0.17160251789575034,-0.19129057416889134,-0.02000961470516468,-0.3872838228241477,0.1323847947020024,-0.17964931066769793,-0.06821507577567745,-0.7016612488862832,-0.28060755482610866,0.02572947008456205,0.07357166215842365,-0.3926831714297857,-0.19939961110855117,-0.13882935774588975,0.8801423296131903,-0.07049241677929347,-0.18022654521623765,0.13676099087923918,0.4101532286316466,0.04388863251656342,0.04738043993266585,-0.03572041387259086,-0.18394822410112877,0.4167531213886604,0.05050985870543749,0.15413212014090516,0.1996010612394592,-0.5689925945399671,0.12126449632864283,-0.21370420466284354,0.043239222944401565,0.16494922729654424,0.43886745917565584,0.23266047262688463,0.06699370904869931,-0.16786809531092245,-0.26413921313636296,-0.00036738957889723145,0.06989238811843185,0.0615557870731434,-0.08940061747790981,0.0741136015690386,0.2683026715696902,0.32781473897411545,0.3564658896992216,-0.59445700415743,0.11376282158529619,0.26728331519880943,-0.2829091925783363,-0.06111356731945626,0.22105331919812454,-0.4324600919723218,0.17763632847134192,0.10464374187218631,-0.027429593929257,-0.3903606400774457,0.042862852231895024,-0.4777360833101857,-0.5532001637916366,-0.19447359963522576,0.26604904835019794,-0.22544170175724987,-0.4233523417118469,0.2776074414421937,-0.19824304056139178,0.11828061128208736,-0.1703397902152522,-0.01757651698481205,-0.10879775981641149,-0.24284732884560453,-0.3882547731341341,-0.22504551522433208,0.1003679827356607,-0.4801064960713073,0.09357368322208504,-0.23101374682510958,0.30717926250982,-8.262788507516078e-05,-0.3143569744691189,-0.18977517855817042,-0.11602655015617985,0.4240014606027279,-0.30472895599009653,-0.36658688113999927,-0.21278766571687424,-0.18533794252652103,0.3383923814742905,-0.08606426529221059,-0.07747364280210228,0.296094870675793,-0.42750790687903506,0.24154271235636143,0.34259146240626076,-0.5155707106491941,0.1695310725249712,-0.10029711186646041,-0.07704104848431906,-0.36683923013690306,-0.0616177105278228,-0.14435400131909087,-0.3384934175844851,-0.44566647644960045,0.02877460411034747,0.04543580804827821,0.461679015738358,-0.4907376434365212,0.3504644451781599,0.11920733510465828,0.6320075950177745,-0.5435072476077613,0.20879264388039992,-0.0063025937280871275,-0.17219346014858453,0.5771639777245379,-0.08323322255732547,0.002133507267513414,-0.6144002643920872,0.057262171461215566,-0.13656253903504173,0.352905680759093
2,subgenre-current,novela romántica,other,300,5gram_chars,zscore,0,2.0,0.16262123209080526,-0.34956925478556533,0.6137037218086109,-0.261140688738473,-0.08943042656353654,-0.1479191130522574,-0.05410088029659536,0.29025459057063635,0.2454801152104364,0.16475271799004804,-0.31616350543629235,-0.0013837660926807188,0.5029570467285909,0.17517005261285928,0.04017560280930234,0.5062218189937522,0.24424590362244716,-0.1199043685444438,-0.4854869465196118,0.42039432421585043,-0.03525263920228888,-0.1990875767981183,-0.1537400974207087,0.07851926633069291,0.23388757629229678,0.14802476500772865,-0.5028230532630231,0.5298545270087265,0.35588718326816904,0.10690784013108504,0.18746084810962618,0.04834349316667226,0.27276825722902137,0.36578591321241655,0.1986049694277496,0.23830622115989328,0.03539097491072932,-0.5637086196891015,0.19279083157310772,0.46786553245949947,-0.7955384307162302,-0.2277123668355362,-0.22063986011133424,-0.3465357848147403,0.04717983751546739,-0.2514575934919357,-0.18243108197733393,0.7273054144716641,-0.42344481447392285,0.06944551946093123,0.11295949887035249,0.6791214617608912,-0.6438637468823805,0.045878824630982744,0.12997595935960946,-0.10013762388004707,0.1475966798241483,0.06753526140339532,-0.07354460139418073,-0.45082176250997685,0.4925373967056743,0.014356781565732592,0.08222859084265999,0.2856411368517259,-0.29529032130659655,-0.2669488933810524,-0.32824972736334823,-0.5755840517463489,-0.20436548354952813,-0.30258411237410504,2.1094237467877974e-15,-0.09636210627802509,-0.24363115383545794,0.07926938450543106,0.186265957527827,0.17884131848997833,-0.06578280776788444,-0.4280346882795869,0.05044708664460251,0.3756533707387071,-0.1689883435973511,-0.317705484088386,-0.21081678653835217,-0.622961684822976,0.22545892907001724,-0.06202560954681462,0.29586543062799686,0.025734359985453287,-0.3710731032222534,0.18432508571679473,0.33984382610895536,0.9212095394097133,0.40760065881643887,0.05916715260789723,0.41232112073268357,-0.2277399996849393,-0.15027756413498172,-0.30487206480617657,-0.013270134532259656,-0.04359977342199316,0.6073656784673169,-0.33682388429139765,0.3485742204866139,0.33482775230956674,0.26831546965250597,-0.06046059361321274,0.031984204926411935,0.3244907707079422,-0.3398454996526963,0.07127427889666944,0.6330904226632654,-0.4157779816649321,0.14205133199957953,0.10218911154728266,0.008247744747708625,0.41926606139376993,-0.002110609600406217,0.2526804306337174,0.23313198594741452,-0.2987383660788882,0.22253614166272634,0.2090477569754122,0.28317593514980793,-0.04676074906380706,0.1780540305397445,-0.07587573502768612,-0.15707901106706246,-0.2032523787906664,-0.11494025239028129,-0.13363922046985502,0.05097026767363505,0.3489036738253054,-0.001431837997962676,0.24636253905893873,0.45064440055678046,0.3373242146975496,0.31498777720211496,-0.28723557044418463,-0.10931947003477553,0.7172258211263447,0.15882595367807315,0.21892251639553423,-0.27558695739232103,-0.05057639715411939,-0.43582490146943614,-0.24860444278738356,-0.2779060422285935,-0.11872173870640512,0.214872091532005,0.17311299054803622,0.14534117410062064,0.6808805733367235,0.2581925828383014,0.22900174324786565,-0.12717032695904534,-0.13985330652943345,-0.6199157533447917,0.17566267297528868,-0.4864751580033708,-0.293662575195621,0.02371641268756458,-0.08716805017336103,-0.22426515747468756,0.14798856918708223,-0.11585786461695803,-0.40982667825968994,0.40523817451802313,-0.22231277247869147,0.21486497503011986,-0.3465825525322765,-0.2761422337774656,0.23036253333322115,-0.43629061994271573,-0.44543004126024827,0.0701915032306932,-0.3319767803777296,0.3215339945642081,0.19326795137225475,0.36272095575840146,-0.12311609494946033,0.23752446520766918,-0.19871681499464763,-0.2811282257126645,-0.25344170116479353,0.12914680076109694,-0.38750622542439855,0.08983878933038016,-0.6568728614716834,-0.2692599083918922,-0.17584610693313923,0.029403009759993715,-0.16987123982643643,-0.22026051317475778,-0.14228076377603185,0.5933815985966607,0.11262066477822,0.12164991639365336,0.15945868320075818,0.3596997239627976,0.1350729839525413,0.13023680523678488,0.09872173817012495,-0.3657309050484071,0.21490976362144756,0.025361730367806826,0.26444229925704243,-0.09055235051804217,-0.4041877747344407,-0.03023010878585773,-0.24152901750042496,0.33561370806797935,0.06101777583086972,0.33514280751244485,0.19743264719869819,0.010624577612225267,-0.09915987045155675,-0.034308501275750525,0.010497439396771058,0.14834551823724412,0.19919246563570872,-0.09906684202757536,-0.2511735912681481,0.2978468716391773,0.09820665527525246,0.30274845552028407,-0.4361318146965242,0.11448783174464508,0.2864458378037733,-0.15903332033798329,0.0659338424932759,0.21549653597600527,-0.21013018669539385,0.061088099370966875,0.07965622332009908,-0.10074979504857998,-0.05257436841490978,0.09472006582429777,-0.31758912302761694,-0.4493315782434913,-0.12117062529222211,0.29538521871912626,-0.15719520728815944,-0.5196784856012839,0.05764492263350211,0.07617120965384434,0.10701945920839162,-0.22154356118885682,0.08144309226416224,-0.1047367094342728,-0.2855637823956241,-0.6456569066202934,-0.20479240085901013,0.11596825533564946,-0.5684464232086666,0.16944390226613618,0.007471410638570639,-0.04914243425385964,-0.00857442661516071,-0.5119669136910872,0.016832005132730837,0.09587135770928176,0.32508969681676747,-0.5363909426447416,-0.3938134306005445,-0.18929818418055483,-0.1369865181283016,0.2994980836218092,0.0761356489117191,-0.10475571368403203,0.20915276086024123,-0.30371551614765474,0.31977611879859225,0.3829873159268307,-0.5554740989002677,0.11170632929290239,0.14530765908424634,-0.18300026281075688,-0.10574113678352147,-0.003025374164352196,-0.040753250169082225,-0.09407652981446843,-0.3959567918654883,0.2612138533843801,-0.13040985347345177,0.27672761114379424,-0.484222922605134,0.23270656619306956,0.37225767787610353,0.7297092124375173,-0.2967101724643777,0.41971320323430583,-0.3784378229405861,0.12085419311302237,0.4193396441020675,-0.1301067314762195,-0.05530997724321987,-0.7010291137079798,0.280373679722765,-0.20489204423283092,0.359614862169089
3,subgenre-current,novela romántica,other,300,5gram_chars,zscore,0,3.0,0.48764247977011943,-0.6037997154651562,0.5281054991957824,-0.15440462047382575,-0.08676060347158365,-0.07646135418293223,0.1541821599488538,-0.0025598212359009,0.3165801090005595,0.2099862961939919,-0.07931810464417399,-0.16522820795684628,0.2708069176213049,0.015518333669727893,-0.2310275185517222,0.3715663426323371,0.3584533651998346,-0.012459891417102326,-0.754844074017121,0.46347475470064947,0.027275034219901823,-0.02737032987347418,-0.1054164102421844,0.02468629095468286,0.19820602597351197,0.4344658189869736,-0.5750812699750394,0.6609630649757601,0.16871789780408647,-0.009141590137958316,0.1877505496875699,0.004481467927327815,0.2639901771983848,0.3623874374611696,0.06270703185640662,0.30560611281997324,0.09151912763062832,-0.5502313919325501,0.2161197303923954,0.4228640566832691,-0.6878843818501459,-0.12003096858183068,-0.2718432787947172,-0.4236481653294366,-0.05885668734148283,-0.16453473851288986,-0.2547335997929152,0.7060875102379899,-0.7723718715744929,-0.025627774951153287,0.01967005542301503,0.6957378044434858,-0.47211696854371354,0.30875611375592166,0.13516857449002564,-0.017368460620898196,0.014881170225232693,0.2460376241547866,-0.123320796309974,-0.6027783079037453,0.7973167029231972,0.2403770003173727,0.21774887336084603,0.44339818665157876,-0.26470082209286044,-0.002040447834173925,-0.26441288564892307,-0.47410194259479804,-0.5491888917274332,-0.4703292132469137,-0.001748464217206147,0.011293746233311974,-0.32366172013306427,0.07297392827089086,0.26855171219397583,-0.28331094356523046,0.10197946954061231,-0.49682745118666427,0.29308334642456324,0.2480088986041079,-0.30224296996380084,-0.31945776181775565,-0.35416941502497085,-0.3382358116005591,0.5154623534226122,-0.0779525791567398,0.05670898810573305,0.06598058639124499,-0.5390040312210342,-0.04396394067808171,0.08120701063492611,0.8035325181564041,0.2563203561284355,-0.05067340527289742,0.39146848003151696,-0.034625277053918296,0.24596351854284118,-0.1953824314406854,-0.06344994865581806,-0.335521371983876,0.5434796909333393,-0.2650627194959838,0.4428205528732284,0.37798381224520294,0.528552301121741,-0.2137034326775004,-0.017647498995322558,0.1929888010443648,0.04941482819369433,-0.13348966249577235,0.6870601814688345,-0.12983302521331608,0.10651840209684166,0.045497739250161026,0.007643350546426328,0.421761130573606,0.07487510507506417,0.199266361973908,0.18225840461535286,-0.026703160376259277,0.1795263472138287,0.013410871105324684,0.3584413600246854,-0.06075849535687483,0.20765155972903324,-0.07547446628849785,0.12757112423503195,-0.3213556553151278,-0.27121526076695046,-0.027967214961081885,-0.1835018654022316,0.26505584094454193,0.11605896438282158,0.18330531446215909,0.3900038859978693,0.04528438851829711,0.5188387477475094,-0.4303466515327876,-0.16976061939395715,0.6491427060945758,0.017229438957667056,0.31074818450911057,-0.23155328809076023,0.0172540730683666,-0.2841821734841447,-0.08764803676412847,-0.16340903429098175,-0.04634368668007228,0.15826235163071617,0.12524549481162567,0.20267634526082684,0.6493016957114625,0.5017033642197941,0.1169762947113694,-0.013341194348197388,0.03577714190746886,-0.6273239030632942,0.17428894001372508,-0.3410421336683366,-0.29118635264493276,0.06910474389906548,-0.009311914189559484,-0.29055224181585854,0.4500784131900267,0.044753737799631016,-0.29223642347393985,0.3936151529099665,-0.050532627612640046,-0.059611370364785365,-0.2638141066878149,-0.20404027060816304,0.22672619031771146,-0.36362800907606607,-0.7412748267999396,0.3624002832864652,-0.23868798843198766,0.35533338310815493,0.4128258643474596,0.35542357501630395,-0.0092489352892004,0.30035748333771334,-0.2210323312677887,-0.11075254659726727,-0.3048598191784499,-0.024793166234540837,-0.23622699268452996,0.04675827629804713,-0.5182270413679683,-0.4108690740954887,-0.11710733345439892,-0.06982941291106488,-0.23673965011877912,-0.43108853240952894,-0.16260754539260897,0.7190352170183928,0.01067948566044881,-0.17887542433909248,0.17615166628930756,0.3322307915262791,0.24127438479915966,0.08749284326987695,-0.1088552255573366,-0.05260805204135842,0.3236598871094379,0.05264145272224993,0.10706477731101448,-0.005406186729997042,-0.593961727816745,-0.06015742827597864,-0.13972505138774977,0.1950575113106578,0.1536090291616537,0.34641216966926763,0.30086228886701094,-1.831710407657061e-05,-0.2486854391258228,-0.12201897868881956,0.10533014956721422,0.1318786521525577,0.19329271869103443,-0.058662223896835564,-0.11676504116707825,0.13744825075931036,0.2994961380689862,0.34918995586954055,-0.3340481003410939,0.20788592137150447,0.14787153851677753,-0.06348913761203978,-0.006135376532988512,0.06625127712743888,-0.2898001061034501,0.08607744933195258,-0.18648856966699068,0.07090587881841845,-0.15152066966611455,0.13190607300465876,-0.41589630991465054,-0.5165897929777062,-0.25748873224997487,0.337651636168956,-0.16865291635418306,-0.42714839421067663,0.19885255585271325,-0.04105801311415552,0.04925786178636109,-0.20997315003373618,0.06346511056492112,-0.08000898536045026,-0.30523043027145735,-0.359598452828556,-0.1619011381124106,0.14196119077915748,-0.47858976175752166,0.22388372791698474,0.08947007207359997,0.06700022543827414,-0.02204156886442718,-0.45247106680663923,-0.09989527116524902,-0.11193428139797038,0.4011872425850098,-0.5042802083891653,-0.23516215769792814,-0.29317688273029746,-0.24049743070128407,0.3451593858520573,-0.05360497385269619,0.035142061196136415,0.3798520850206949,-0.4513653438464068,0.24494871785196076,0.2352123194205199,-0.48497112785233004,0.21791303808552015,-0.0007406266201536726,-0.08440279651793495,-0.09268488211638512,0.011055426173926089,-0.18509920331832852,-0.36881570102827965,-0.47451173535675806,0.11462771120642339,-0.14697585113251185,0.3663618799224382,-0.4843005176555988,0.2828566453426904,0.2522573818667767,0.6920085632997409,-0.7034459680712267,0.5147528278597995,-0.15245207390233817,-0.2808362672091776,0.5397112822578883,0.01877817725118247,-0.05426010531171231,-0.5731810152857564,0.031652694044201735,-0.37248408093321156,0.2818372781540872
