label,num_works
"novela",404
"novela romántica",269
"novela sentimental",252
"novela histórica",244
"novela social",177
"novela de costumbres",133
"novela realista",122
"novela original",113
"novela naturalista",81
"novela mexicana",67
"memorias",56
"episodios",54
"novela política",51
"leyenda",44
"novela criminal",37
"novela cubana",35
"drama",29
"novela de la ciudad",27
"novela indigenista",27
"novela nacional",26
"historia",25
"novela gauchesca",21
"cuento",15
"novela argentina",15
"novela americana",13
"novela moralista",13
"novela policial",13
"novela de aventuras",12
"escenas",12
"novela abolicionista",12
"novela contemporánea",11
"cuadros",11
"novela de viajes",11
"novela de familia",10
"crónica",10
"novela regional",9
"ensayo",9
"novela fantástica",9
"Künstlerroman",9
"novela modernista",8
"novela militar",8
"páginas",8
"estudio",7
"romance",6
"relato",6
"narración",6
"novela científica",6
"novela humorística",6
"recuerdos",5
"novela anecdótica",5
"novela didáctica",5
"novela verista",5
"novela criolla",4
"novela satírica",4
"novela epistolar",4
"novela bonaerense",4
"novela psicológica",4
"tragedia",4
"novela biográfica",4
"novela filosófica",3
"esbozos",3
"novela jurídica",3
"confesiones",3
"apuntes",3
"perfiles",3
"novela clasicista",3
"novela porteña",3
"novela de misterio",3
"novela picaresca",3
"novela corta",3
"tradición",3
"novela de actualidad",2
"novela popular",2
"novela habanera",2
"Bildungsroman",2
"reflexiones",2
"boceto",2
"relación",2
"novela yucateca",2
"novela suriana",2
"novela de propaganda",2
"novela cómica",2
"novela doméstica",2
"novela romana",2
"fragmentos",2
"entretenimientos",2
"croquis",1
"cinematógrafo",1
"novela documentaria",1
"auto-novela",1
"novela tapatía",1
"apuntamientos",1
"lecturas",1
"novela patriótica",1
"panorama",1
"medallones",1
"novela india",1
"novela franco-argentina",1
"novela curiosa",1
"epopeya",1
"juguete",1
"novela espiritista",1
"capricho",1
"novela enciclopédica",1
"comedia de carácter",1
"novela de crímenes",1
"novela de horrores",1
"contornos",1
"novela en acción",1
"reseña",1
"novela mixteca",1
"impresiones",1
"novela de Tabasco",1
"bosquejo",1
"novela azteca",1
"novela analítica",1
"silueta",1
"novela camagüeyana",1
"novela festiva",1
"novela siciliana",1
"elegía",1
"notas",1
"novela kantabro-americana",1
"novela andaluza",1
