,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a e, a l, com, con, de , des, el , en , est, hab, la , las, le , lo , los, me , no , par, per, por, que, se , su , sus, tod, un , una,", qu",", y ",. — ,... ,a a ,a co,a de,a el,a en,a la,a qu,aba ,abía,ado ,ando,ante,ara ,ción,como,con ,de e,de l,de s,dos ,e co,e de,e el,e en,e es,e ha,e la,e lo,e se,e su,el c,en e,en l,ente,ento,era ,ero ,esta,ido ,ient,ión ,la c,las ,los ,ment,n de,n el,n la,ndo ,nte ,nto ,o a ,o de,o en,o qu,o se,omo ,os d,"os, ",para,por ,que ,s de,s qu,s y ,sus ,ue e,ue s,una 
0,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,0.0,-0.4839779485686735,-0.06938734661341994,-0.34025243834781177,-0.9393670395656056,-0.6415153318071801,-0.28543497678028484,-1.0026680982151697,-0.22734298404055936,0.2282485161894395,0.2493727892300599,0.2923108602888644,0.5774725112872076,-0.13594043020912094,1.001280054902876,-0.4230206965599759,0.4520980181969541,1.1750599906474306,0.2290341831187715,0.5705991281428907,0.07183714297457372,-0.17094781306621376,-0.2775112969175525,-0.29219047418315025,0.4111105204176792,-0.6218069595859957,0.6696596444061761,0.4302576828409007,-0.08546184909925744,-0.5104726959638742,-1.0824263488002617,0.519481427463569,0.286400994249641,0.7392103159032545,0.03661478080225955,-0.26782025639210305,0.7843971406546255,0.9916062480651672,0.2829563741088176,0.4441784903641145,0.4073156507393935,0.35026339960264063,-0.22483379733959247,-0.4086616202589504,-0.4448747858546648,0.3306689449480641,0.4281755972686015,-0.13218298261872147,-0.07138752705255977,-0.4094430266783493,0.1079228039523092,-1.4984411394312043,0.08169945893567254,-0.4673608083279715,-0.036961367443667764,0.5362056968511442,0.11213357730202644,-0.18267960235198155,0.034577404070504934,0.10132560849738144,0.08680156315679667,0.04591286252293292,-0.4937622960725903,0.9212054181230506,0.1656576222714581,0.6186446255790303,-1.6776433716091073,-0.13272319363670088,0.2256686530855389,-0.011768017932242358,-0.5089687460207737,1.1470125429260036,0.28015992017752744,-0.6949125225237582,0.5328009210705507,-0.5323058456750495,0.34114434562844825,-0.9171224973204628,0.9447328563649536,-0.08768097581549518,0.13658978191359514,0.20730440427422545,-0.7486230985867158,-0.06282567799514449,-1.0478208230737505,-0.13738122185552049,-0.3925925623821381,0.10980274324129848,0.4343507145982916,-0.17096107057998844,0.4870862000431992,-0.4136916084489236,-0.622855680043245,-0.010219283037380787,0.7431781228732617,0.1067835604803404,0.2274595285740285,0.2405900106992249,0.9801715719591868,-0.2047852200180396,0.2116550656330124
1,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,1.0,-0.5714078959645144,-0.6713225878818767,-0.478694461491431,-0.4989401654067303,-0.6415153318071818,0.08958289352554938,-1.137804935377,-0.2137856474008164,0.2777359922607228,0.3886675358610019,0.2346922577726809,0.5509246521344879,0.06524934178733477,1.3598113080471002,-0.6822001307637131,0.3659155530993966,0.8439745173200419,-0.08729747974665858,0.7034335020897776,0.006918838010314454,-0.12449370769911328,-0.5992647863305594,-0.4604124129635401,0.7149855294692373,-0.36129531143187,0.3734682744700364,0.6423744331306185,-0.20876087570178914,-0.24204376557766616,-0.8149765691218653,0.5174899856709297,-0.13901838603268235,0.6025458111537041,0.2880035525503493,-0.3874848542376013,1.0103232675365952,0.5830842485696928,0.17689380537132715,0.39127050376655337,0.3858012523045911,0.4405196064465089,-0.29299598161097884,-0.27141313421565383,-0.28884084184442016,0.4234017721010169,0.5434277920779924,0.2873891426606461,0.06267242894573455,-0.15684740155122598,0.17568584262455889,-1.0976469169606742,0.06811106012459267,-0.7802975476351022,0.11404575776726256,0.5549533757089642,0.0537203207515109,-0.1696988376099582,0.16380193776516516,0.4268758394679899,0.011735908203949652,0.15532428109219332,-0.2591982273995481,1.122506047486059,0.10599215435279884,0.19087957672991784,-1.510983570701775,-0.2913165448172603,0.035034566817683244,0.19692615292590546,-0.6613265997773037,0.8697708866733129,0.17594213916671253,-0.2343687490456772,0.5936603083580773,-0.8231538929180853,0.24833282664431944,-1.050922298477567,1.0089333585720217,-0.14772883787910265,0.044059321496149766,0.10729859001027743,-0.5744251818848656,-0.3135007453504346,-1.1087328149034574,-0.5431708209239616,-0.361069908623213,0.19356502922660224,0.5339073194988246,-0.3349533313538597,-0.049336737541129334,-0.2216546220309601,-0.7532968511116049,0.10353516450724533,0.8357883090302667,0.33498658113868496,0.254470332705351,0.5905750642356229,0.9601786472733658,-0.32389720704353064,0.4469518841034213
2,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,2.0,-0.5540011826473116,-0.16624195053944527,-0.2711268702480946,-0.5742078976455115,-0.6415153318071769,0.02119664063585837,-0.7629187496201194,-0.09456774071244747,0.16303455551734056,0.15324929205318066,0.617385937687743,0.6255754174011885,0.6082939388609613,0.7256178607096807,-0.4743094653143419,0.3901780614153731,1.1735957338963854,-0.07815152771406716,0.43600072924739225,0.2639863054387932,-0.2279530380563439,-0.40942879478016103,-0.16134190447326308,0.6314558440921357,-0.14240254838108646,0.4741905591757288,0.673212686116245,-0.1758270485976286,-0.5682850555421466,-1.0739726351384642,0.28232536887039233,0.34492939148556284,0.8919942343786486,-0.2630781681055842,-0.4506620349677616,0.7522139767774749,0.8756697864803452,0.059971430525417514,0.3008410419730604,0.07612668904220485,0.6544958066500347,-0.497826333282969,-0.6068589313847598,-0.10059131594684276,0.5079242649778009,0.4192558466273623,0.2189511906405665,-0.27632116054359096,-0.3230870132953691,-0.10686203127608808,-1.3655976943909376,-0.23150554300900394,-0.3725448883930263,-0.03596728880053969,0.8102805416315438,-0.16468970480198605,0.01741018355483069,-0.09536820791531153,0.0580063904385969,-0.3018145782598157,-0.03606240596301272,-0.8037068236196467,0.8005608815276292,0.4583180732878186,0.6404816245904178,-1.3654611333688318,-0.13239395068482573,-0.22415977865316414,0.1034567982676906,-0.20214578064266128,1.0074360934197808,0.1377881229595433,-0.6120214892053639,0.6237209696943495,-0.6179596719364321,0.4668926754949242,-0.7693127266943991,1.1043125897862347,0.1309281177285167,-0.049198667585194714,0.045681747543956465,-0.8748929423983629,0.0685690638147615,-1.1165207912335606,-0.31380878260189804,-0.12324956090591055,-0.11363159957930935,0.4410856680957033,-0.14750179154443924,-0.0468734233115469,-0.3176230251342055,-0.5133376856643208,0.01972540295942321,0.7277270855429626,-0.2492613954290633,-0.046521349007693565,0.4453850595671742,0.7081721204252643,-0.6760570334327868,0.5281744394220639
3,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,3.0,-0.7365639544915821,-0.5700390706030403,-0.2878996721571482,-0.43831999021290863,-0.64151533180718,0.27896595371351746,-0.7833349214436168,-0.13679107634299936,0.030205581264371676,-0.20993145482304945,0.2332744204712129,0.2719556522061383,-0.15617243567889222,0.6473801092712463,-0.5310371909574547,0.3791779688489595,0.9888815707042,-0.024645856079186512,0.6351474546197597,0.510399082508898,-0.20106992336360247,0.017196382288583334,-0.19682937803142164,0.7516142042811633,-0.867012173310427,0.6047321597762401,0.4623064674715434,-0.4172497822348055,-0.6059095278586384,-1.1582814847364948,0.18338928068317376,0.04153530306238373,1.1372470765497151,0.2878867861872849,-0.20554568221243907,0.9766705120965968,0.3663860216101328,0.13662428376607882,0.7137115845669977,-0.028052752925477487,0.43325907217895376,-0.5014724246820781,-0.25847864876083343,-0.2769032998412878,0.5289322359931452,0.5808889623850293,-0.019724265075380557,0.002143735208564493,-0.18176593088651893,-0.10448300210857793,-0.9314675460904976,0.2133195131652203,-0.6329880233425145,0.17956100545584713,0.4723324572788578,-0.11225415257316207,-0.0483001749663039,-0.05295171102055307,0.2429382350607593,0.2087264024038411,-0.17842084572428565,-0.6902919410061202,0.4474190678466923,0.2821322552828289,0.5053857717378665,-1.423619755590796,0.07546565944808009,-0.3773091935858432,0.15654838077344113,-0.6462420414451095,0.8067886177493976,0.3454007574966992,-0.544664924275204,0.35102998139928965,-0.6655368395721961,0.03949362839356085,-0.3836252181753325,0.985665715241974,0.17915480110996607,-0.08626045247626146,-0.12290361076131535,-0.7770916810077392,-0.19859524424071096,-0.9978793773179596,-0.25785147826678123,0.05589714679586888,0.06671852366843545,0.5839179609033256,-0.473775583714077,-0.12404159344068945,-0.2532579199856167,-0.5388394933436911,0.20735418114760185,0.7380529097757307,-0.143885102803203,0.004864372031259556,0.5785644992522666,0.6639783809629376,-0.1093452256667333,0.3766291402003279
4,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,4.0,-0.6283404344282502,-0.5697732274916167,-0.4385564223264145,-0.6539167382225451,-0.6415153318071776,-0.016960137921524676,-1.013177005491695,-0.3143927765605883,0.6003057758241004,-0.17336207628132005,0.3947586829470572,0.4463584714342417,0.2755311648000003,0.8610399968592635,-0.6450324375000334,0.5718126719817069,1.1708745882995415,-0.12925407899329522,0.5009379139245289,0.21623203555442272,-0.21979719359955568,-0.28234706799932885,-0.16751394422629906,0.6180244092245556,-0.3796263613227492,0.6973122934931747,0.4625361912515116,-0.10084513068430544,-0.2793743699454689,-1.1923090084338177,0.4334760826774845,0.31543577172468296,0.49938123470712,0.2784328091198625,-0.3045368133585329,0.8597636189338347,0.7430259241938514,0.3820628001533613,0.21235227428523573,-0.11007458455646912,0.7765801721992528,-0.2481487392809381,-0.4881314497409326,-0.40632079625104417,0.35041058256962604,0.3558284154143283,0.10488737132806658,-0.17013412477292886,-0.05514762124494743,0.022851072794113136,-1.1291361832447768,0.08753765077952069,-0.5892824670640695,-0.0016368505828285864,0.9486652141731328,0.16551983814809929,-0.23676594744748136,0.2482614135844016,0.35156203387453033,-0.053859793027173364,0.10869674270467122,-0.24804334576504736,0.7851764133899728,0.2602791085949603,0.5749993566136048,-1.5474026360752666,-0.3010313684385937,0.023003149186700652,0.23750820333707656,-0.2764123867419853,1.101771429850095,0.09480731669295417,-0.772667127562861,0.5276167464477057,-0.7080015809757456,0.3060512887199687,-0.8497160290092098,1.1268297759208048,-0.005802475524403383,0.12126001780996587,0.1587880901291444,-0.8148276030326804,-0.13934295324830082,-0.6365021548679958,-0.2503783042996477,-0.3201362705881237,0.13744523704210598,0.3763356554210383,-0.16840269417131526,0.3018943944960485,-0.4456737204367752,-0.5085676556770996,0.025598767994479358,0.632738811937729,-0.016600034072985492,0.21430669196638186,0.4743468653429339,0.9406376313922156,-0.3534132799147452,0.32275032836276885
5,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,5.0,-0.6672050457004739,-0.2385572756827869,-0.08637364950115932,-0.6544781638675174,-0.6415153318071734,0.0980999632551388,-1.1662258713644982,-0.4470425880924061,0.4296063002066379,0.11976590664425625,0.2694439358709492,0.4773400667485098,0.024142922718812243,0.6733004917645292,-0.594453470203641,0.1781885539733732,1.0689464651256564,-0.4362861994630773,0.5873338782948991,0.2566388738112184,-0.20370194623082405,0.0477292612774487,-0.21729334982791104,0.7148769381325952,-0.7820997043821796,0.3936292517042129,0.6460077624970544,-0.14692649151031345,-0.9432237431531919,-0.9192143040618592,0.5788161911045505,0.7967582220796154,0.8775538409125742,0.16454292988356567,-0.6585767636473767,0.6754271731261892,0.6464276100967691,0.3016795288552492,0.10299214377223652,0.26628723067469706,0.5817755139792353,-0.4320519806679377,-0.6836146443067033,-0.13042687874811246,0.047347078664645936,0.3307518247205714,-0.1284107764152549,-0.0819241004160619,0.003539606905388792,0.03653546245122019,-1.4235381055256493,0.08340635508377757,-0.657314826129479,-0.017349364091300834,0.6122065559175318,0.5276976136060125,-0.2611768658620086,0.18873711985230468,0.2281015950206133,0.09106993175262557,0.13950381370194953,-0.379455226324545,1.0852622015985838,0.10937616455648168,0.5837850934860926,-1.5494152726654358,-0.1770845878287648,-0.013516442291714892,0.1833323181408737,-0.42027379698238776,0.7936172699198425,-0.2026187486982696,-0.6858687478054364,0.5336952794373006,-0.7207925968007337,0.5995924532767216,-0.9348485719059094,1.091518167944859,-0.1435076484460548,-0.07036133784331157,0.2327686757159157,-0.8775966801741677,0.1619992473003966,-1.0887529414202897,-0.24704490856648964,-0.4182834591102321,0.020422662423988932,0.41112703781344095,-0.14564743091128318,0.15228363065198192,-0.23821299012412056,-0.3641916886102273,-0.003138961853643929,0.9119287011612348,0.31625070387964915,0.14644699993359522,0.6828625340418693,0.8699045494500647,0.07297967926021176,0.36758115288795024
6,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,6.0,-0.5281891396655113,-0.3661479412048599,-0.3494591096492832,-0.8501736746645676,-0.6415153318071823,-0.08770689147867511,-1.095821524425223,-0.3812138566637063,0.6794453188454181,0.0652750317433402,0.3957745604227077,0.3446295035002349,-0.14263022446639506,1.0068239751551664,-0.7219520210754166,0.4617060188901258,0.9488732576479574,0.01824891373817133,0.6496318951621288,-0.039455986568711736,-0.023036171493217683,-0.34395627394387185,-0.2303667675655852,0.6788751138349195,-0.3187096583285732,0.2575257752333135,0.5526609579257442,-0.09332477168658247,-0.0397265486190766,-1.2946647142222043,0.7690647490447402,0.14485705324190198,0.5602908143124689,0.14967908792848933,-0.3188614217936732,1.1438774800272729,0.7210186431151279,0.19244775057660854,0.1720227861191344,0.2624852578341457,0.017419510000011795,0.05810057748584169,-0.7564662917867624,-0.4166303921418969,0.3623596719799863,0.0966504775043211,0.12109549307557332,-0.10773396829433546,-0.07596219916888937,0.13240798691970124,-1.3421452963500369,-0.057525270694946624,-0.6979258813842998,-0.0447717836589205,0.7756230425567072,0.24582081846123205,-0.26450668365319224,0.20773847058818895,0.43613054462825895,0.11677084761631795,0.15321296437408022,-0.15757918426584366,1.0270426090655898,0.11814663620353615,0.5996301806759885,-1.644648246852246,-0.10824663054349797,0.0558449436662751,0.3087875952586848,-0.5182661392233736,1.1523685353905324,0.19059975204826168,-0.6947822808423005,0.3182891364947452,-0.7650744764419056,0.5469710214318324,-0.7021525935458199,1.3539704174934373,0.00833436425443862,0.3528006683422256,0.17525615134290473,-1.0109442781758984,0.10705253664492577,-1.2076430524661461,-0.4950248212210528,-0.3491606993759415,0.3570462497690648,0.08517839836486693,0.07811250877729903,-0.28095393915911565,-0.39081677829496014,-0.7150399246349499,0.12231986397154936,0.9968943371417996,0.1491476238999559,-0.16673108448438007,0.5747039358745327,0.9188212050143421,-0.17447802176500274,0.29909877193053275
7,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,7.0,-0.7272461458364798,-0.2109531212433779,-0.5862362038731859,-0.5391807267834275,-0.6415153318071809,0.06264748816164872,-1.22348142761459,-0.4297821831888025,0.5785157326576706,0.05345400538300693,0.3702291863127064,0.4566548808249764,0.3514659381208951,0.9238835626509034,-0.6953841639310413,0.30019225288916274,0.9086675842308728,-0.17032009061697398,0.24640817692264816,0.03825151299830937,-0.20531494444404566,-0.3313224776394423,-0.3869590439752715,0.1497890167186563,-0.18005784318250112,0.21864976595814425,0.5994243587673573,-0.1991100023541193,-0.14600917109811312,-1.569758094866028,0.5467954461764044,0.6989248454741317,0.294667327636568,-0.2159520626802688,-0.3202379774364068,1.1906985736173574,0.8786167068848771,0.07842337469649985,0.3710135973011703,0.039881672866349305,0.033056894894010536,-0.24091108087830604,-0.3891850681309438,-0.4688457058318072,0.3166262136458836,0.19028673804887952,0.4061168926170448,-0.38904422995999455,0.11503428164809518,-0.0889740105192629,-1.2969348725781091,0.02807271093876673,-0.35364393466808075,-0.4718612556769824,0.7591029774723212,0.35680367130159996,-0.03609035539333222,0.3414009407515345,0.13919234456909207,0.0286111774958189,0.07959836296950118,-0.4172349067457464,0.9411028762812726,0.3499724755461696,0.7296907471370659,-1.1818718442664813,0.10486956859361228,6.519011571753941e-06,0.24296952313374826,-0.01001528936150886,1.1437540529025148,-0.026528833464794288,-0.7791095941379924,0.4741088526072541,-0.8002004647812221,0.4833109172558115,-0.9678525924456564,1.15692356530181,0.14064507834504514,0.024441730324043426,0.2596307448886972,-0.7027012648573714,-0.12330468951204128,-0.8848105435667216,-0.1157591422532238,-0.14642395137763814,-0.13902375032939526,0.16698107482494715,-0.3363974496216477,-0.09345897029193023,-0.4509971591277857,-0.553098555918093,-0.025106041903890264,0.5369943796274776,0.07181684799319815,0.2451607768727269,-0.03762010814584893,0.8613649054460291,-0.2314788076277028,0.3569938224443421
8,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,8.0,-0.655279987303707,-0.3227914412052346,-0.269999084945436,-0.4498205689384924,-0.6415153318071756,-0.0035755225271691398,-0.8699335370672941,0.17647875971848515,0.22659012719901794,0.3762032801071461,0.4774804234163903,0.7071787071096743,0.1366693570311504,1.007354229018353,-0.4629177314068007,0.6981728869747754,0.8614419991818582,-0.34555655840462857,0.6797804329619558,0.10675344179531487,-0.020368934485079315,-0.2499755324511409,-0.5393563742815013,0.6409364993645537,-0.16090147742129424,0.8290758842422601,0.8143278635518258,-0.05081882321639919,-0.5319276807876532,-1.3078104422060977,0.2691900192816321,0.10034683112227304,0.41510069449813136,0.20592470965623794,-0.36770698612114816,1.0378779648061631,0.7379785995144034,0.4194080105131984,0.2670203448114337,0.19595111240130625,0.4924791441935403,-0.4844975003440246,-0.306307077166932,-0.4741101138874045,0.4709881261029851,0.26995178873218484,-0.06259694070457272,-0.12413426283189045,-0.22965445652687744,-0.0862382357491916,-1.4351590347972072,0.11214733849048604,-0.22034818034144585,0.08420668300294383,0.8224952455208554,0.055627211824837874,-0.28624036658322805,0.19756619473943196,0.3399464709945238,0.0147758318108544,-0.113686548655359,-1.035490883124516,0.9375524154639368,0.5004471300793363,0.6122719319893843,-1.3333983678135557,-0.2990891315466241,0.11422939240944158,0.10082301956439266,-0.5119867448886801,0.9380952730474332,0.3972909499613034,-0.7325027428230217,0.5583362396562943,-0.6158119343357109,0.463051362594984,-0.7284170202578557,0.9998352037803028,0.19048093346002448,-0.08367471300332385,0.2389018987045861,-1.0256755127571835,-0.1533991355576919,-0.7872900335176962,-0.12782967007097967,-0.361038102839597,-0.07068531112919396,0.2956593214215695,-0.4608790657921463,0.4579398845004545,-0.6186218462180255,-0.35903779419328674,0.21955007914914887,0.2533828094791395,0.04065655374833488,0.4111126238112818,0.5358029212395082,0.8093341772348268,-0.14598989790066905,0.5926043001088273
9,subgenre-theme,novela histórica,other,100,4gram_chars,zscore,0,9.0,-0.3244189066550012,-0.2521071796328973,-0.49038706964874895,-0.6588775653628396,-2.2204460492503127e-15,-0.06217549000469341,-1.098205697549188,-0.35921531629338577,0.4496727109046144,0.13895618921394998,0.2738631398045788,0.5298394960483049,0.24816387187304306,0.9587760278445112,-0.6813974739078668,0.2490333780138237,0.991962841221456,-0.020733768701589883,0.9172802577930572,0.11034893545130436,-0.13878487284358434,-0.2869177638525835,-0.3181475127670469,0.5355349181525679,-0.4196723419668432,0.6459203095815671,0.5856087834454745,-0.1737291460989282,-0.289173468199504,-0.9315613707662432,0.3420486856936917,0.7540865197636939,0.7235380799692286,0.12412337171479698,-0.4312229988596604,1.0791323777547492,0.5329199882398216,0.26977426408025584,0.1705982798386093,0.1339211496082531,0.6399218782926017,-0.3240190805105923,-0.3632937155485583,-0.28336013557995554,0.4710530540064671,0.3027650505097665,0.05433222192504655,0.1734669900964545,0.1881770478516364,0.33900648682353435,-1.4750944559483652,-0.01942971515978448,-0.7123531635722888,-0.004508462864923457,0.5752673831501581,0.1607418290711822,-0.371843868506182,0.2642352311375209,0.06877581002962851,0.0064131327110305844,0.15871754427771145,-0.5620196596319091,0.9247761138595444,-0.02426857887280298,0.507413135022185,-1.488321409480959,-0.25571609449830457,-0.15852207451100958,0.0281688149514685,-0.25837650137395474,1.1589773782527055,0.17200114718702236,-0.4171278848958533,0.5479215725638302,-0.7567934479258216,0.525643373852811,-0.5714889692288864,1.1397927491452933,0.111405947027587,-0.005076567428219603,0.26122119557924955,-0.7161306093851151,-0.16164225788096048,-1.0607594094764805,-0.5742231386450356,-0.245348800735512,-0.09512909169563427,0.3018756561365649,-0.20263612690779756,0.4066442044687841,-0.3495394761467774,-0.3620153451014729,-0.04484890533551722,0.4961708143213857,0.08907948648202685,0.7850245624612129,0.40422036509347065,0.8469300013111006,-0.2663383989844207,0.3834283234099799
