,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call, a el, a la, aque, como, con , cont, de a, de e, de l, de s, de u, el a, el c, el m, el p, el s, en e, en l, entr, era , esta, habí, la c, la m, la p, las , los , más , para, pero, por , que , sin , sus , todo, una ,", que",a con,a de ,a el ,a en ,a la ,a que,aban ,abía ,ación,ament,ando ,aquel,as de,ción ,como ,de el,de la,de lo,de su,do de,e con,e de ,e el ,e hab,e la ,e las,e los,e que,e se ,e su ,en el,en la,encia,endo ,ente ,es de,había,iendo,mente,n de ,n el ,n la ,n que,o con,o de ,o el ,o en ,o la ,o que,o se ,os de,para ,pero ,que e,que l,que n,que s,r de ,r la ,r se ,s de ,s que,ue se
0,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,0.0,-0.7755430363089,0.551147200980181,-0.13797497493723074,0.36222698811438425,0.5929062675862867,-1.2702213500182693,0.019803400912727698,-0.1833301296760468,-0.26252147264688963,0.09976749962324484,0.464212495817139,-0.6970723376573669,-1.1285973534257143,0.4284003515661626,0.7644692116690126,0.20321197583980066,0.6418682547371879,-0.043338327669824483,-0.6801237516438291,-0.0761393479778727,0.3285335109126166,0.2596611674964793,-0.4588370209121144,1.0718974298491624,-0.9578128941117209,0.5167205224182342,-0.6503861289643456,0.6323824046126276,-0.4459558146244493,0.4862024018277691,-0.5970770854221699,0.25771150352156313,-0.26356181700267056,0.32574153266848915,-0.38329902916322656,0.8841151864778402,-0.04013648566493,0.8928759443204957,0.4756382782341497,-1.0223313502986926,0.9190010045745096,0.07907629003891503,0.5181084353655732,-0.4281932162390789,0.5785233951317273,0.048366083187032616,0.2901369059307335,0.3185489939067185,-0.13998738936611654,1.1282890482411063,-0.05636359960766935,0.4020122601144994,-0.5021761987058391,-0.30551014696819295,-0.6191663415565305,0.013106460655970542,-0.5015648184472259,0.552293598027316,-0.339975700377666,-0.5094823062434937,-1.3803575517434727,0.0060202385030393435,0.4754289853929558,-1.032916481408086,0.2849916597710396,-0.5819042294866361,-0.42877028596342415,1.0896098001573136,-0.15538870296089424,0.41763519995318266,-0.27687347976435595,0.1992504796003252,0.6536882435944129,0.2798830189305599,-0.15016901962152018,0.7810793581243374,-0.7911788776501087,0.930019429648376,-0.1216326964556872,0.223902410523404,-0.7563603079621144,-0.45972986164091,-1.8342681901385445,-0.07984862531726256,0.4326619241423947,0.14461630695893102,0.12728478013682665,-0.4731010633538744,-0.479705668597388,-0.0869670202371724,1.4453926834688398,1.7761565716131815,0.6036709329412582,0.1719139946076904,0.09551420636498477,0.7573773470573282,0.34277560563226783,0.4841240921307706,0.3502455677887728,-0.2125970206235559
1,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,1.0,-0.9250486738513024,0.4923743052970866,-0.6196610320517242,0.4240026771133742,0.5875823790350279,-1.018076429773511,0.02611854212469758,-0.12599616744241202,-0.13482629845841118,-0.006743908931865938,0.7053415603903327,-0.4198983822280294,-0.8753098904335528,0.38068878629019787,0.003150694330941395,-0.1984537614315573,1.000494858043712,-0.10709236431594987,-0.2941578221644893,-0.4175129000502876,0.24971432183385545,0.2973764191063911,-0.2520997525062939,1.0901572816720395,-1.1239008624322375,0.5312508300881273,-0.7061178459035671,0.4351431936825347,-0.32302602550405857,0.444169631153218,-0.9072900101954012,0.5918273361023859,-0.5649825537932239,0.5502844425381757,-0.2333906577506293,0.8494867665468882,-0.24080182503102515,1.1162437960760911,0.37839625076804495,-1.1568286035113389,0.6583773444759476,0.20432497880450634,0.3485289545678797,-0.6709310607190223,0.5328005408542784,0.050416589504164916,-0.052749113976098834,0.22968669730823005,-0.6193369139138822,0.891949239969327,0.07202261176280897,0.5057082590736526,-0.3204629875880713,-0.1311281426813547,-0.4068860254918761,-0.041664220276940056,-0.3878155879677211,0.7965157193460273,-0.6702400306619152,-0.3103765701850084,-1.0776839548472037,0.04345273269161429,0.6448705812351907,-0.8216153539397977,0.2620774114933868,-0.9994012120423132,-0.4939259221767821,1.4435424327809965,-0.0243609350090824,0.5407228673151309,-0.4141827333157439,0.07251234218898273,0.7631151469618356,0.3004623711718111,-0.3761642271895552,0.4017095735330656,-1.3471570125668737,0.9355061946860334,-0.15858818538051242,0.07558130646398388,0.15843584135214078,-0.5381709582889588,-1.3258517812854962,-0.003837674189889007,0.2887950962281671,-0.3263865353789748,0.060723760279997374,-0.3010299376446103,-0.3459306190966596,0.14606772105375845,1.3346192708480162,1.5789150252218451,0.5483663427164622,0.2661913126619696,-0.022715575094761357,0.6583643431766071,0.3349603536527585,0.5565742718523298,0.3599089195203252,-0.2003644557351936
2,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,2.0,-0.93773369483192,0.4926824330120338,-0.2835861619205916,0.5011218351011242,0.6838087189212689,-1.0804517753559442,-0.12157367963834335,-0.35315335403101944,-0.3711360658470933,-0.15954250603193362,0.7407913796831762,-0.5940194371553477,-1.004258436077798,0.4605852709894253,0.5197692115845535,-0.29952992293850017,0.6910259573331411,0.28837971711898186,-0.4255481766572989,-0.023222971387966945,0.228500373829488,0.19762972784585955,-0.3170404615715932,1.4167043768436507,-0.8765303189834622,0.6905806489179896,-0.449706354655132,0.5540741734850712,0.21447699720933106,-0.04653688692237128,-0.9009789891006096,0.38591090106095455,-0.5052848626789015,0.3307385808596426,-0.049534707978736034,1.1821240991220074,-0.11954569085182297,1.2645246329416813,0.17236753622151302,-1.0815573274669128,0.3586512202549204,0.293922810770576,1.0982239705644758,-0.6348589247876159,0.3482720049503486,0.3917953717406881,0.43918142712845976,0.1309919878863694,-0.2868016613766825,0.8643512676766502,0.012788198497303841,0.5399604218781131,-0.5047552793457282,-0.4387856231251602,-0.4344203198449871,-0.2276159312377828,-0.3946622359510785,0.29744175504221826,-0.3819873387345669,-0.43662461447732936,-0.6863130612051787,-0.2518536109284073,0.4854957627638062,-0.8826280722580561,0.08926416563568446,-0.6845432211873116,-0.4729632595947211,1.2211926721663822,0.0914149606165598,0.2466731156095128,-0.24414280965113264,0.2346736582588643,0.30793729179221696,0.20631552134738554,-0.13617799285823706,0.8811076855580403,-0.9011576676146184,0.9508160510755272,0.1298646994766286,-0.15237199534864146,-0.839056544334664,-0.4496739169313239,-1.2078937884144103,-0.0999360357846942,0.2002047424849008,0.20870124322237665,-0.02039304675414955,-0.1523730611259214,0.0729936072192177,-0.4349385423061705,1.3797630231849192,1.6801933351062797,0.8673654055399711,-0.057633463011951686,0.1482216839470193,0.9762409206751184,0.27474317267145737,0.4908266053681844,0.09676414470006033,-0.15495271025455315
3,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,3.0,-0.8045512503052401,0.17275533897444412,-0.4429928562336295,0.6562125356686311,0.5344800664075195,-1.2307039014425492,-0.10430403726057558,-0.1688118380128424,-0.0671270940442214,-0.054312927278321765,0.1763138551768357,-0.22474286013520384,-1.5069934174282529,0.43037038370505865,0.9204823424319032,-0.3462377134102499,0.5003827296134434,0.15485272002984335,-0.4486219990343393,0.16706511977459548,0.44698070575388105,-0.10152986750939176,-0.07161147716242727,0.8087040457260417,-0.8934370247517082,0.22505055529250328,-0.5395631785052878,0.3562930893636056,-0.250640792920761,0.03271136107944417,-0.8165580840277655,-0.1344278126508902,-0.3441250876572357,0.5332088014331635,-0.7661169827055092,1.0844819158278678,-0.6266079991376269,1.6492004504774251,0.5479810672382446,-0.7781473887274883,1.0128026626552042,0.20089776220886324,0.6620860749931002,-0.4344270790368418,0.4689615329372753,0.13659306336899246,0.2641869441186087,0.32827405409316845,-0.44002296704809,0.9035043155114536,0.12907387289701674,0.7232914567857485,-0.3796292268605611,-0.3042139391787585,-0.2741722788427253,-0.06249001728715198,-0.6670771387920673,0.5168341691430848,-0.7544706841233776,-0.3680048540561769,-1.2978336248556774,0.02477328928915451,0.1188625227545167,-0.8560947086000628,-0.5146669923829824,-0.8466912050854034,-0.4742221426136441,0.9309408226250084,0.22211651822812886,0.3217521300981399,-0.42584606077641896,0.5943939609601245,0.6236848447684047,-0.09398377783084533,-0.3666171065057244,0.8390367568067671,-0.7244276824053666,0.8868427443115727,0.23684306134079525,-0.3828458214653104,-0.3026880293811408,-0.6177799501529019,-1.7922707338983517,-0.2587104610099365,0.13510427129290295,0.14026344165119686,0.14596127478945525,-0.030859102026954018,-0.21879752754458148,-0.19231958317469974,1.1188507816965731,1.3130978687040424,0.6907222104320481,0.3045682049852606,0.15183210691954846,0.3665373653060803,-0.02779889892750076,0.689184797959075,0.1814233800241794,-0.10342557994220257
4,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,4.0,-0.7663113650983873,0.2374079073025241,-0.4220240999826479,0.4714234637296964,0.7181108132470434,-1.3678556205729406,0.0023179267613628873,-0.3171983745415128,-0.273250678992913,-0.09178919777224004,0.17504510860800915,-0.5416429244546135,-1.1367673916699612,0.25398248468235096,0.3691017145286841,-0.02985552987872742,0.5184020303046444,0.10931984388167447,-0.4783242458595973,-0.479182458807683,0.6106573819210563,0.001947315237696534,-0.3285270150015467,1.4601313912730982,-1.0608538456426793,0.4272773976457481,-0.5131084119884042,0.5719870587793745,-0.3456573490096888,0.3491334285522596,-0.867142990976467,0.4685069993547089,-0.3274095152849361,0.7159148109271514,-0.32629356414869193,0.7737084657037776,0.018196903261530558,1.1295488206351771,0.448817924526392,-0.8427781836731381,0.6964466843974886,0.34942604527071164,0.9140773995726296,-0.7717341929285975,0.3499355610796211,0.023526864634974776,0.4390043637439995,0.5228702963555968,-0.41166964236296666,0.9724409483836228,-0.037211130974432405,0.5330274614759078,-0.4810271942786769,-0.34280192699937584,-0.5208756775690051,-0.10440214885826472,-0.16481698151902024,0.3556065118845213,-0.5339578852540012,-0.4772210915443061,-1.4876811221756203,-0.03183901615268225,0.3530647333424389,-0.8171495981417953,-0.03670460276294785,-0.5998912715051905,-0.5356769956289189,1.232969338528278,0.15114968967295328,0.6616430871484603,-0.5614042305589031,0.302869946798872,0.4656338352640215,0.026160101455368512,-0.3435897656778541,0.9372654377166392,-1.2263389293905005,0.902005604257496,0.12177402947357585,0.10116589531410992,-0.4167684587670677,-0.4727807898668388,-1.5988739550715818,-0.08454094267551948,0.2893840633482723,-0.02328807906081209,0.06256180203337491,-0.1757725715972811,-0.4960349607833972,-0.09190392136217662,1.0377512369009605,1.609370969678681,0.602666453883933,0.3070859070548191,0.030174566661578694,0.4510126254016949,-0.08638646040376541,0.5275499587070751,0.3676508011759865,-0.18668169306086968
5,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,5.0,-1.1135232699947106,0.526256884445576,-0.5922724458492445,0.28102180852428504,0.3676602819926689,-1.1456114855846349,-0.1011659609884803,-0.06549498281256994,-0.13172535919665018,0.008887183793517717,0.3161817407853273,-0.22838271463653914,-1.0959288084121348,0.347936479970814,0.4721250455044809,-0.2694394184647108,0.5735330490953623,0.0035732857050080336,-0.32218555653765435,-0.2106313186231905,0.2295670888887036,0.2099236678735692,-0.2758101509737311,1.231400005426419,-0.9686870990941172,0.5479279655862115,-0.6359437225658351,0.4727918657178813,-0.4295438547491186,0.4797821170441146,-0.3828183092882367,0.3209096589251579,-0.4405765328863687,0.6775988306162546,-0.4425726224653168,0.7734579902136045,-0.10882332990887812,0.7702440671586996,0.4800808451030138,-1.356135269891014,0.4121287775162279,0.19341059189768608,0.4284461304702414,-0.8493443057894674,0.4788014065185915,0.0277177007334688,0.28377825484867225,0.4194811789420195,-0.5775101415077013,1.00040499748201,-0.25323387970195443,0.34682828372433794,-0.34381291703605704,-0.15777678725054978,-0.4766261591844312,-0.048607001523446984,-0.2980223068647134,0.1433187213734457,-0.8337300612570329,-0.39694812979516536,-1.1276341508268592,0.13935203026115314,0.6759727338095455,-0.734146368094958,-0.1916539417165084,-0.3248782046014467,-0.4534468320712957,1.0677195570728188,0.18063998957271465,0.28904440344825844,-0.3427991531508021,0.07769892299586179,0.6008246231524701,0.20592111032327853,-0.1631470598241722,0.8597687421881142,-0.9105951708562671,0.7387930076362259,0.08463871485565166,0.2475962677369339,-0.4159366132217963,-0.4724121695689107,-1.5314630704325107,-0.15185950893975653,0.2899885904295112,-0.026053346701699898,0.2310513364153135,-0.054341926143291364,-0.4504079575018834,0.168143111101291,1.3137870596919965,1.4157242528091982,0.4938880271155062,0.030113423700008912,0.1663640651809004,0.658765806625722,0.5401061838569841,0.718624082050364,0.41919586690880783,-0.2912652523849344
6,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,6.0,-1.0527116635382578,0.3990679083529701,-0.5381480092374442,0.20170442636250874,0.4977402710064085,-1.3607969897499204,0.05084253548348672,-0.3827889500557433,-0.14441519296852684,-0.05467323257850332,0.4235214228069635,-0.6689451214578097,-1.0255752897947104,0.24499029786738505,0.5696074033212098,-0.03303150966429175,0.7516571144012522,0.06774686396782642,-0.5051542919965675,-0.15319486536881533,0.6000539957821618,0.22188862334171489,-0.4018322583718258,1.302362922715716,-0.6011324050061226,0.5462153015213139,-0.5649016047484101,0.931758682147292,-0.4900307830257835,0.08624337841617148,-1.0693537351249895,0.43532792542279664,-0.19008426996466188,0.6509279857894714,-0.5488454180414516,0.7364442110028442,-0.07815960943855016,1.1472425630241343,0.3767117218235163,-1.074907361839024,0.7778689399363693,0.5107775413122971,0.5428260734540455,-0.8075905823939444,0.5485522153402345,0.050721446334119465,0.33156469153540624,0.7702122302459559,-0.523165765435943,1.0438470984803774,-0.09504541966493407,0.263956630304901,-0.5016650774917838,-0.10329485110331127,-0.6154299808641501,-0.03458404529630177,-0.5534291215697936,0.2502558939449797,-0.6982439633449102,-0.5578856645945234,-1.4557281791864043,0.24910931100815265,0.4270001165342889,-0.8214188278864574,0.3246920510404105,-0.4683408680556205,-0.4721800956127292,1.2784628334016448,0.1948270243006518,0.5952484528467185,-0.3427048663487662,0.30186466512718435,0.6904146985596565,0.2304003154500083,-0.3432228115130723,0.8994618640477399,-1.1756912581070225,0.8115030448511406,0.2239029738075527,0.21683045555059266,-0.4342250117446522,-0.6329668283393997,-1.9200345247178991,-0.17929965203419673,0.2198419637364178,-0.3001523294542312,0.09376301079135617,0.042790424791611104,-0.4665927255859701,-0.15472837059368627,1.2943192329475797,1.455040656919162,0.3055038519117348,0.1309323103918949,-0.17107436893437988,0.4242502077850153,0.25524197230463064,0.6896482336939836,0.35451017245747685,0.01931528338075128
7,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,7.0,-0.8516456870117515,0.44098980399406257,-0.4445299024072796,0.2102166922512082,0.6144255974854702,-1.2953086868901706,0.456566817838811,-0.5714757874410298,-0.21028982147563516,-0.1655871140096673,0.218724431918204,-0.433437032692168,-1.142058838590548,0.08940270611686021,0.13100614075778186,0.1132675411917424,0.7617764502113434,0.32271500885960075,-0.5266817724057581,-0.25007017716289515,0.4539371926736109,0.21750835108986954,0.00034482356786330604,1.3431880767215811,-0.9511778506417524,0.44108551695812936,-0.8010762868762965,-0.289173459797768,-0.4142351024307456,0.0012929702295233492,-0.6231159949649678,0.32053821550272144,-0.20824539184157986,-0.012631935775550884,-0.4993980360695746,0.7578113671454615,-0.14569297329902056,1.0461145293093166,0.5041871546415446,-0.9075516249650996,1.1859302203237074,0.5168404779456413,0.5168974926352979,-0.8255746693352353,0.5828351651429756,-0.17198095448665274,0.4667337605729077,0.533498068591143,-0.4407719898734921,0.7838039667339434,-0.04064973527130733,0.2688163105966332,-0.8033508765546384,-0.19861803816584292,-0.6021152528387648,-0.2498954565080659,-0.3882313502621771,0.5138145288578654,-0.5220547326400339,-0.7162808918252458,-0.8225769846096391,0.08084631491202526,0.5524484777882688,-1.0837782636424036,0.630650517111116,-0.2874087725222668,-0.5868411049736579,1.308314363068033,0.3598260773263594,-0.2334349510286439,-0.5172047185913239,0.6452913083896317,0.5693505732095916,0.2314238686286335,-0.3210202882159541,1.05606781347847,-0.6773235935461006,1.1912937065355005,0.3512661002372548,-0.19284598662232252,-0.4522190246419877,-0.5118027726078417,-1.6241917826011525,0.18853133283960133,0.2499052090982015,-0.10283808414205052,-0.05161829380126382,-0.5216890448022704,-0.4042818330010274,-0.3928219156296866,1.0207369257698258,1.1770182256352577,0.6201485148899069,0.11206456821816813,0.58212148601596,0.3407244916742343,0.12434731417840228,0.4832129987241584,0.5081212755816933,-0.31354293305096537
8,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,8.0,-0.8963723266029602,0.3401829280109328,-0.8084101855815119,0.5470227907148448,0.3086673627249895,-0.7772442915463575,0.03888874105408502,-0.3475082022433338,-0.1908588234386096,-0.17536009837653702,0.5155971287191292,0.04314326805160193,-1.5340293906290667,-0.4718290165176966,0.3843248545630377,-0.1983590345611496,0.5961290730257115,0.2480967697715439,-0.2390693057096478,-0.022251622303881224,0.1199125488997672,0.19778995452004888,-0.3365428672172602,1.0866736284684464,-0.7535238272030876,0.7334431184465179,-0.4756001344795541,0.24080961650540944,-0.5201327746505844,0.1736492293059435,-0.8080881096035379,0.5121915436937372,-0.1635014359989274,0.6785311967706241,0.028460377064615905,1.13034521859602,-0.02246437554295369,1.2054953516600828,0.3754883432894383,-0.9566994973747608,0.7761423878378129,0.2458278785319645,0.7294098707230943,-0.6791958496818287,0.5153384290427178,0.06633954691484065,0.3785880434696055,0.2714064232050185,-0.8012541029574626,0.8229927689316334,0.0560357486787566,0.6182041261130038,-0.5812701902464618,-0.1903414815572761,-0.3998536092626603,-0.2616808785355229,-0.4976566933265991,0.423856628967992,-0.6656756675410009,-0.4550509054219548,-1.3476500002893292,0.14652307390633984,0.4793791206436277,-0.8351340535051224,-0.18027317646528615,-0.5157812786914875,-0.7139031755873264,1.1364900331750836,0.33088649984493723,1.030978988247875,-0.4049702784274667,0.3493223831026636,0.5928949058967241,0.20599508995828494,-0.3846997069945721,0.9559651779528878,-1.323490333554499,0.8049141285338091,0.11013696664056427,0.008320493931030295,-0.7251925040997238,-0.4862375922217387,-1.5442831721912993,-0.2663969123788585,0.08403229594843772,-0.05372190784324593,0.1054497433680458,-0.35365460334333104,-0.395331889438076,-0.007820518006862344,1.139865051124458,1.4693218639319177,0.6023653940107092,-0.059734883926221616,-0.09834729110681843,0.5894812243515261,0.005281475322831797,0.37242441019379796,0.2392122840841367,-0.23808228847839266
9,subgenre-theme,novela histórica,other,100,5gram_chars,zscore,0,9.0,-0.8784681240059073,0.4983353676011454,-0.5268488790563062,0.28948896707628285,0.6598344245923591,-1.4005627140105168,-0.02147705212969964,-0.21135296892514305,0.06500904239776112,-0.05436414583362082,0.16188405533600184,-0.3716446292649374,-1.0472813170193938,0.5430754220926981,0.5628227913365853,0.09585668023302844,0.7686320749648616,0.07657358200230735,-0.5494394029007399,-0.5626174226525766,0.091977563538852,-0.026093126677035783,0.21639965641486705,1.0309626199423432,-0.7621210088632056,0.6907198385807554,-0.7380024658374431,0.6370912068376324,-0.5868567903918056,0.1932763062863263,-0.8082840824469484,0.36409916990511904,-0.4902237591550728,0.2567854213132905,-0.33454449614906245,1.066610563930065,-0.1650270105300755,1.3077839163029783,0.4738702018774895,-1.0998831093224932,0.7293732290931649,0.1043152294297678,0.6790920368298261,-0.8875412661279691,0.37228666025754603,0.16605662778083866,0.0527670305257365,0.3462997303472999,-0.5203167818036819,0.7471761248106373,-0.26310374992423463,0.3585992226608621,-0.39853941086306105,0.01828711585946735,-0.5093062896981457,-0.19430246727031608,-0.39077477469819893,0.3454943470281549,-0.83917126480056,-0.4319686501730016,-1.103329162771013,0.18575956376463104,0.7360546938132229,-1.0748831457009858,-0.07512330396665358,-0.5828357679846206,-0.4400818438276287,1.0972625688244475,0.2465203445960215,0.3690771471075081,-0.4277054626277885,0.29952568755243475,0.4455084739070455,-0.02595474545883919,-0.3051745681889785,0.8747897612238204,-1.1174121032077178,0.7765958366813491,0.20396971275261627,0.18655949853010656,-0.40998717513190375,-0.6999902253138581,-1.8670215357197573,-0.03932103798905106,0.39434078178619,0.07258018570555058,0.09466736421758856,-0.6009989610802521,-0.5068458765358248,-0.049246241961945166,1.7453465219994588,1.7935605854099232,0.06686103741156574,0.15296039625732755,0.15337253896524186,0.8687392800110291,0.051250461379499616,0.3800771626547599,0.1279054918641515,-0.09265954919110253
