,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,de la,de el,o que,s que,a que,os de,que e,que s,mente,que l,de su,e los,as de,a con,en la,e que,es de,en el,iendo,ament,aquel,ación,de lo,do de,e con,o con,que n,ue se,n que,e hab,encia,e las,la ca,de un,iento,que a,mient,e est,ombre,ue no,que h,to de,iones,ndo s,ndo l,lo qu,ar se,ón de,s con,señor,os qu,cuand,n los,por l,quell,o por,que t,estab,con l,ra de,staba,que p,a los,orque,ue ha,de es,do se,do en,entre,el co,es qu,hombr,te de,el ca,con e,iente,ión d,en su,no de,contr,ue la,que d,cione,e una,ue es,uestr,por e,que m,on la,parec,se de,n las,los d,de qu,mento,a par,ar la,os co,los c,la co,que c,antes,ue el,a por,e sus,quier,do la,la de,se ha,uella,aba e,ontra,la ma,o par,los p,ado d,do el,os en,hasta,esper,entra,ra qu,en qu,da de,as qu,do co,e des,or la,ndo e,on el,s par,las c,conte,a est,e aqu,a com,ta de,ro de,e par,ieron,as co,o est,imien,el de,ado e,se en,a des,or de,ía de,en un,entos,ue de,no ha,no se,a una,a las,ue le,despu,r que,tenía,espué,n con,nte d,e tod,conoc,el pa,aba a,hacer,o hab,io de,s por,mismo,ado a,spera,y que,ndo a,razón,ia de,ellos,or el,n una,las p,en lo,inter,a cas,prend,a man,n sus,con s,de mi,nuest,na de,acion,o com,noche,entes,tiene,resen,mujer,ar de,lo de,ue lo,prese,do po,la vi,nto d,empre,compa,de co,prime,estro,on un,r los,ciend,las m,los m,ue me,tiemp,iempo,rimer,s los,sa de,ue en,os pa,tante,oment,on su,quien,os lo,ad de,padre,llega,los a,s com,ar lo,donde,e com,en es,una c,nte a,estra,r con,las d,n est,as pa,el se,enton,nte e,e pre,e por,o una,ue co,l que,do qu,con u,os se,o des,onces,una m,do lo,se le,tanto,s des,ntonc,tonce,puest,se co,ra el,rando,coraz,pensa,y con,que v,s ojo,tando,ancia,e hac,el pr,labra,er se,de aq,siemp,iempr,to qu,la es,esent,habla,alabr,a ver,ra co,ba de,an de,ba en,de se,preci,palab,uerte,no es,ara e,dad d
0,subgenre-theme,novela histórica,other,300,5gram_chars_word,tfidf,0,0,novela histórica,other,0.0005836956708094766,0.0016362650829562595,0.00030135381859519773,0.0013936690274597033,0.0024770327565480075,0.0029350796851741246,0.00037762237762237763,0.003010900287558067,0.0017265395344877139,0.007532448918887169,0.00047775331215639316,0.0018702178469996442,0.002138851920178891,0.0040638315533404815,0.00316387114050525,0.0009639433764075434,0.0018559530887201647,0.007184643810748692,0.003927051201289223,0.0030237131735548687,0.001833880052596798,0.0008153135462304866,0.0019533056423493306,0.005015282319343786,0.002983079452122426,0.0021484880901406493,0.00038687912718920477,0.000419238228351871,0.002602445026888786,0.0014903072503691694,0.0005689014736329313,0.007266525692355351,0.003120611745465242,0.002039837311736288,0.0016274839429014066,0.0027806440587202315,0.004454395420703314,0.00338998497044004,0.0027964651399561206,0.004677305383060184,0.0005619527024524348,0.0026172478691094377,0.003723849798850158,0.0002517482517482518,0.0033799324092519067,0.0016152661064425772,0.0012232804232804226,0.0039372977661355,0.004952653949530194,0.001079576785387365,0.0038077136240024616,0.008732896890876371,0.0011524549182692092,0.00032107684233274663,0.0006295540658700089,0.01067069837959776,0.007015777603291906,0.0027813505698875405,0.0009489796548423944,0.0005986292095838699,0.0027807792319070523,0.0,0.0052351369477310165,0.0017312794910231085,0.0029973955242850988,0.000797127031124402,0.0012279635505671952,0.0016640405153229404,0.004529712446396214,0.002753469825509358,0.00014771533613445385,0.0037534647770512608,0.0013156720979013061,0.003504535757618114,0.00045248868778280534,0.0006207179434277722,0.0017600576560815873,0.001981690143487091,0.002687516410294278,0.008751495531616738,0.030082563698071517,0.004130392053052092,0.002393772155913963,0.004708592474824986,0.0008956470075988837,0.0066628955616827,0.004175531670701928,0.0011754611237233593,0.0022743757813741545,0.007786890467732608,0.0028126939352047064,0.0012631243999665055,0.0006300156974101997,0.0013158155047151366,0.01332662253729207,0.000574307767703994,0.0006653892495837844,0.010225386105783194,0.0026338394297259525,0.003244231381311145,0.01932140867457667,0.0020311913311202644,0.0026384677156054276,0.0010884409707939118,0.0016011965192622723,0.004018068909739383,0.0021344916980425618,0.0006603607626625524,0.004543143569793057,0.0057969541695314505,0.0035484994892076823,0.004448771506834627,0.005891898392478018,0.0029604501222130052,0.0025680600374015533,0.0024440700075393624,0.002850180536332401,0.008278972381626745,0.0005473147542113056,0.0033408337352209727,0.00037728668031629435,0.000389136077122729,0.0014254184141068132,0.0005253443686736225,0.0032203698255699686,0.003170501348806973,0.0015483303765909502,0.0034818748316061475,0.001696255184460104,0.0007723456969184292,0.00165883672790178,0.004994187647315545,0.0022989146572549054,0.0006980427599156694,0.000767505413761318,0.0008838199161728577,0.005470325171587059,0.0001668520578420467,0.0035387542118465454,0.011437689688827518,0.01135498110970018,0.0024477249888556116,0.0,0.0017002461112645953,0.0019653022499322315,0.002192025358527378,0.004290468307671578,0.004317854043941072,0.010276932278474205,0.004432861166448674,0.0033845191790761826,0.0067166485926644535,0.002131051666467784,0.01104600454228213,0.0008824163029433515,0.0011156108276643983,0.0017789961442074068,0.0011812802582033348,0.0012256414401777907,0.001341713142612796,0.002751357748778504,0.004931788849035644,0.004003621304039624,0.0017003379771940485,0.001302772108405671,0.0011489595152655197,0.012504377456416256,0.0,0.004348469304765325,0.004686226481300401,0.004497747056432345,0.009738549033660995,0.0026952686648281897,0.01004865257291205,0.0003688917143462596,0.0002797202797202797,0.0005839822024471638,0.0023284143365812065,0.0018181997573955503,0.0029772204377755684,0.0017433060171729415,0.0015602634620212105,0.0021862313556140897,0.0016478227500264487,0.0020176974082259168,0.0,0.0011675679679448692,0.0028304938351371217,0.000852208307866109,0.0014911933040748255,0.0010408361960936824,0.004093383921220017,0.0014018678312681548,0.005796756139290101,0.002004662718960965,0.0,0.005591087223211713,0.0030673941279192028,0.0009742148379570744,0.003901491515006743,0.00416729820252411,0.0030203340683798057,0.0023702947704155285,0.010389022263203675,0.0003100460829493087,0.005525284399760037,0.004737649624313293,0.0051674676909654604,0.011395895240840557,0.0039986169659260665,0.00931360049888365,0.0006366898148148145,0.001000202024037147,0.0024273269614237484,0.001934924562145539,0.0006388888888888888,0.0023488593318823667,0.0026377429052644365,0.001822720242023742,0.0021114428924413346,0.004275377886330093,0.0030362780345695763,0.00022377622377622375,0.01312056728421939,0.0,0.011295091172199408,0.00070505393299511,0.002467992106487634,0.0073826975384749935,0.002327931764242797,0.00536479930305101,0.0023209248088587823,0.0020250878768833225,0.004922518040119953,0.0008505903844512713,0.003731222428196832,0.004183150057119801,0.0006033182503770737,0.005464887170398265,0.0016418354668911348,0.006358306455818233,0.005863429240082702,0.007355037871108193,0.00189506805588817,0.002333039117060172,0.003059776590621055,0.0025436029857488786,0.0031482408565305263,0.0027360625524210295,0.002330280081165875,0.0014318690205424828,0.02274587451777278,0.0015429672575124856,0.001502750865171969,0.005017344520430249,0.0017655897637819662,0.0023129486472571485,0.005354110640266963,0.0030103735053716436,0.0014064817296524615,0.002020924082421518,0.007314697529877795,0.00048077838981936945,0.004881240242218682,0.005990130591871757,0.0022053518494637757,0.001833858286230752,0.006059225167319901,0.0013697141453495353,0.0024623099024569167,0.007270665037895245,0.0014488090753419203,0.006461378950388865,0.0017584463169149742,0.0026819959717643534,0.002027475901057798,0.0023501194554546123,0.0027290485806528574,0.004196195271770878,0.0009162429165899765,0.003416948070854746,0.0008858743287449236,0.0023401416122004358,0.0016568707313827293,0.0002678571428571428,0.0026269194857479567,0.004039553339706433,0.0031962293130243275,0.01018879549084706,0.008852488414725988,0.002861382522282616,0.0009571856596225204,0.002441309654652163,0.003944124021208505,0.0022718518791563875,0.001697983936621124,0.006496534762336279,0.005588437505627733,0.0022424784970322353,0.0001714285714285714
1,subgenre-theme,novela histórica,other,300,5gram_chars_word,tfidf,0,1,novela histórica,other,0.0022118279288023215,0.0015100204753660316,0.0010727761687995743,0.001936972933784004,0.0009097554492291334,0.0035710690591247377,0.0008958627424172972,0.0012994529568721208,0.0035569860632231613,0.0057630823047490065,0.0012988414300631498,0.009036446343629646,0.002366232867755275,0.002175911262803391,0.003526557149889238,0.0009314637990264702,0.00025027808676307014,0.00274358581659378,0.0035808252048333744,0.0010929275721157392,0.0029193372632614826,0.00315532568773506,0.006493710907778435,0.004840294846575853,0.004461563156077662,0.0028998786553140476,0.0017403015211897462,0.0026963537372071845,0.0005075815233300157,0.0027974064212495,0.0027384154434349018,0.010238297311145486,0.001638302315814063,0.0,0.0009347224064502123,0.000806214755639098,0.0008338437351225075,0.0017311382310903208,0.003332451129963509,0.00235705501304055,0.001152336508296441,0.003270517534595697,0.00535903279188976,0.0013711943311498379,0.0009648210601177197,0.003696773078131224,0.0021046203469865963,0.00464595889619132,0.0031216105583392675,0.001415098174270807,0.003972417932114365,0.013509738183776035,0.0032910915824518167,0.0012202555406870016,0.0030432902798902556,0.008428714388095603,0.000573688769756305,0.0019225569096088678,0.0019189885347968474,0.001774297911540624,0.0032460537608443208,0.0002795660174401144,0.009644045821421976,0.0028223581803169203,0.0029541737474162422,0.00140922144519492,0.0029131607246196053,0.0038242551837054444,0.002319054624492478,0.001905829152225371,0.006079048716437307,0.003621691688567485,0.0,0.0016907207894398925,0.0015602879376854569,0.00031892917114657464,0.003144329771487036,0.0006692796410145339,0.002758575105398938,0.00551743454082102,0.026894944881160957,0.003958797846983965,0.0030165535655922587,0.004465077695792762,0.0016437048438750798,0.004530365939912882,0.000764920354943393,0.003886827900760889,0.004311133365484586,0.0033159856218035913,0.002674395813578545,0.0009974436137903128,0.0009628979391542617,0.0033148948779327153,0.009502831174227146,0.001076917013092225,0.004185000508313842,0.003986089276641719,0.003368821706136527,0.0008986893244848751,0.008376395959561725,0.005272890970516128,0.0040044411712955585,0.0017240869801279084,0.0025816898348124755,0.0011616010415162316,0.0012838740537028598,0.0008113718640034431,0.002422993218479243,0.0036477276023616284,0.002202704552988694,0.005506018194651559,0.006971529739509915,0.0020940876105725948,0.007848171130407774,0.0021078736405150825,0.008579108220419435,0.008719155389715533,0.0,0.0013845423722356183,0.0008433123060698238,0.000541149972115806,0.0016598639455782317,0.00224389356462935,0.0011260053870726574,0.0003033673778946305,0.0003228775038722606,0.0003337041156840934,0.0004807692307692307,0.000543513732247285,0.005507541427225567,0.0011557686794214973,0.0003780495008565184,0.00081275547564469,0.0023115903358501564,0.0018376347588657863,0.003860840016269237,0.0012609187733472328,0.004362437828168593,0.014291801597480704,0.009287221262294818,0.002988813614515396,0.0009131493506493506,0.00282434642388397,0.003178113106270328,0.0,0.00030803456832377844,0.007491206237171347,0.0056470944164673294,0.004809934921905399,0.002583793548476428,0.0065522024698944316,0.0025052416211904962,0.004074366055543963,0.010610759610603737,0.001490827850153655,0.00028058361391694733,0.001667658948357293,0.0013012259576430701,0.0022669625948940424,0.0014573791749189343,0.0038902009667312804,0.0015411642824465835,0.0015833817756695028,0.0030879043458361148,0.00444905042713966,0.013247395073689645,0.0009055827116027791,0.0048521354081736065,0.004084798782673388,0.0016924060438602468,0.006390326270068668,0.002168829980627818,0.006200849172743615,0.000492444482441704,0.0037506900353469156,0.002618671284180877,0.0034732800980729504,0.0005984092542400078,0.00251749968333627,0.0018814761648650582,0.0031358865961579655,0.000526395598206356,0.0021916510861374186,0.002691816438024076,0.0015983586577793412,0.0030889112552671422,0.0017440592221293974,0.0017275412645075547,0.0006711831648035273,0.0008012113471883585,0.005783680888193772,0.0011308397061227926,0.010465695071926597,0.0014560369019402633,0.0011794624065454595,0.0008908045977011495,0.0021284593207927757,0.0015687333710158627,0.002822756911777168,0.004994338706890868,0.000808138663126799,0.005996343212792034,0.014748174818099426,0.0036184709711201517,0.006563771934647329,0.004854254391067071,0.003198864197502767,0.008916644160493903,0.0018125224210685316,0.004459112477243242,0.004368610612139305,0.002998699624823057,0.00037611280802778054,0.0039514823169165885,0.00580408850048728,0.004979461882672146,0.0015277260740241432,0.001054945054945055,0.0032255282106500296,0.005963094109099949,0.002585145760614829,0.0018668702119891386,0.00975499541837267,0.0011479151731606152,0.004808583883247774,0.0012224521473337016,0.0050260293646393235,0.011114233779150476,0.0009982021982148411,0.0016878019070833445,0.006698136642543235,0.00259261659925763,0.012175199434943725,0.0019276292390199448,0.002702280032350939,0.0018045167742690856,0.0008636809761211673,0.004048044715703475,0.002783609464338679,0.0028779227997240034,0.007146818829064253,0.004344745479650697,0.0,0.0013753729646944334,0.0037216636330585284,0.003713345419175753,0.0019498220044007301,0.0011355789903798065,0.0010199658675608928,0.0008355182572418636,0.01024023952561771,0.0029061005443296716,0.0019428232243375552,0.003502155173146211,0.0032079098960062407,0.000789173566210025,0.0029665961701650615,0.007869439233061505,0.0002224694104560623,0.001734714645585123,0.003383177723484697,0.0018310316216687214,0.00198037800445467,0.003258056450483161,0.0020811255536843536,0.0017493228797412273,0.009675555750784564,0.002018442210854328,0.0055954412791318015,0.006390095462199737,0.0017321922870422975,0.008818168175187775,0.0018617647586114047,0.0033650013300143304,0.0024500605343580843,0.0031870279243166426,0.0035495445821270137,0.000896617322412873,0.001520656359896873,0.0033070012857722244,0.000578796439350388,0.0032252549858324104,0.0018129051274872936,0.0021919419124027386,0.0039917358364049,0.002221194926205369,0.00339641002598554,0.007253655538468766,0.005498645676039591,0.0027419985735460694,0.00501755845282681,0.00498053243289119,0.002637805179531615,0.0038740036049676693,0.0007330324912993685,0.00899380631028143,0.009508015532357634,0.0,0.0029700042070565664
2,subgenre-theme,novela histórica,other,300,5gram_chars_word,tfidf,0,2,novela histórica,other,0.003603393724096347,0.001215141438261322,0.0,0.002342547746889881,0.0006919586016224676,0.0020870727174404254,0.0021166094934295886,0.0037238066723163593,0.0003174603174603173,0.0063498706136924385,0.0014537806568323008,0.016994429850055046,0.0021951569691748833,0.004514133800308864,0.0014337184320967306,0.0023282636260239446,0.0003098034393990588,0.002336380044452674,0.0013414426406136804,0.002261474479567984,0.001208538306569695,0.0029547757401404496,0.003946485146254241,0.0010044841938923695,0.0005945289013097669,0.0033045540855936115,0.003154184639412589,0.002967198589488327,0.0006427126993778657,0.0025189499765770947,0.0016684002320803148,0.004018351106001368,0.002208654706594061,0.009492985639356976,0.0026732431250134974,0.003899751835319017,0.0007499967106049615,0.00030291577910625494,0.0035469619128514966,0.0015650628532831417,0.0061680361360593235,0.0003959276018099548,0.002801599748056481,0.002500931270078091,0.002346902902799371,0.0037278398382897438,0.0021405714132100117,0.003663007031672978,0.008437237190789364,0.001224543319357497,0.0035690460978320807,0.007961192100984078,0.00903907419046601,0.0027830817133203557,0.003440605433832092,0.01164338307965427,0.0003031145015029428,0.000534666608081513,0.0009268900678497395,0.0015565185186307258,0.001155179637441377,0.0005627267970125117,0.008572714899130689,0.0016481561214249946,0.003462766516120678,0.0005186625914605908,0.001700498517880199,0.0015725262812113275,0.0019098564874414348,0.0014566109714878525,0.002143691462738218,0.0,0.0010781906148903874,0.0034730306134855317,0.0,0.002868406018842798,0.006565883086815227,0.0015071857172608805,0.006205547253839994,0.005652393199181035,0.01432311524286525,0.01006392154846416,0.0007708430108749645,0.008157978609893273,0.0008676125524005283,0.009084014157868935,0.00016783216783216784,0.002718468630903034,0.0018278290229087784,0.007158373808009586,0.002974127268023085,0.0017057936287251723,0.0018275791342661199,0.0011259419592752925,0.006659501803048675,0.0020405162315415156,0.004123209404361773,0.00557684384786164,0.0029727377617116916,0.002186751317235088,0.018210189559967564,0.00206473256857803,0.00029694570135746604,0.004603964349554257,0.002740841278344403,0.0017881719044736096,0.004410862638765406,0.0020676686971753434,0.0011346610043589302,0.0025180001862864566,0.0009973597400778423,0.00266166557962634,0.003013839323866611,0.0006130896569845827,0.0033280084885953525,0.000959728714655163,0.003210486654419598,0.003598212692012384,0.0004475524475524474,0.0017101200039989716,0.0016670988280227958,0.0001666666666666667,0.0028607463030370255,0.0032194656121099364,0.002364116968114767,0.0019716356717924114,0.0022177239427239427,0.0008999303442717404,0.0009044850498338875,0.009317695504476848,0.0047126863678800795,0.0008360075600975858,0.002004184212744167,0.0009609711740037551,0.00583123681327481,0.0036584889463619295,0.0037274563049521535,0.0,0.0032540181207858544,0.01429744090753977,0.00901976266826264,0.0015353802433132632,0.0014046396499939379,0.0019237018808970384,0.0022066518563323228,0.0005001389274798555,0.002821438799974771,0.0014174387148207662,0.005086926789123349,0.0019964470533389025,0.0020832157397354546,0.011483999828229154,0.0011848195270982634,0.002289321283465908,0.004479553557803183,0.00047672016526299066,0.0035567110683616537,0.0017431211951259953,0.0038052232608243542,0.002584351072176526,0.0010753978240385798,0.002218421790648627,0.0008469934785185851,0.005047158724746394,0.0007070091882121954,0.002171313458373154,0.015712158377414152,0.0014803598095802046,0.0011400869046369186,0.0022058045210604955,0.006203927725344466,0.004709457617094281,0.0016878597609472892,0.0003072117969330022,0.0,0.0027814835931549826,0.002499985471487998,0.005526529259903653,0.0022869267298230335,0.0018852672165914945,0.002393368386866226,0.000972709063423349,0.003407293996256604,0.001873679233952086,0.004369127008651806,0.0033681394466909837,0.002141860180648515,0.0024373948833629187,0.0011257451394156035,0.002093528514678393,0.0034452104616601127,0.0063665510470746365,0.002112043179701647,0.007957995034225175,0.002646805233023605,0.0008589011378545197,0.0036161215385167246,0.0009470646312751575,0.002914755245251506,0.0022684785680099654,0.009293454997191624,0.0029728235830755734,0.005823497825059754,0.005981773611671586,0.0016551119662230774,0.004416702538691838,0.002826618736694227,0.006804667873026171,0.013324138898298392,0.005006057852654828,0.010576966812625684,0.0034194084010411795,0.0030211266552217743,0.0026764347284145133,0.004260489603728008,0.003077532912109589,0.0006975127189370391,0.005034900250987291,0.0023182550544803195,0.0030175857845099923,0.005471230255973125,0.0007607579645564052,0.0009060377358490567,0.01097288682327042,0.001992823750050981,0.0,0.0005499511353837306,0.006017127331719087,0.005617284833911319,0.0007007197348106438,0.0023275528053300653,0.0017668664502979953,0.0013072332498360437,0.005926295887228874,0.0011320542606410805,0.002743648188395423,0.00027700002137345906,0.0012007371748714035,0.0050358003339920545,0.0013656694771393817,0.00824721813229483,0.006917540225801606,0.0018382500121594308,0.001135106390334422,0.0008922000448531066,0.0015648791488946045,0.003536772915969561,0.0004785692563320779,0.00165078105827348,0.0006308358308358305,0.0024564438198678763,0.0276624711194791,0.0007749710283747514,0.002981562258290414,0.0029376534920674234,0.001693448952327253,0.0017415439076870008,0.0029126395015282316,0.005921112500648796,0.004038317109303065,0.00547767989437083,0.004458915354227968,0.0003033459595959594,0.0030297424348718544,0.001660152851085476,0.002866755825567058,0.0018942509987104643,0.009832781626440478,0.001411718906881446,0.003496787986080062,0.008080832068613207,0.0016153572169357582,0.005409337476311954,0.003574718786211715,0.002473130460059227,0.00216120735725714,0.009061498759997446,0.003492822848858849,0.0005361698291138037,0.0028622063493275985,0.0013413630533572881,0.005955885624625961,0.006817733390717385,0.0021892890809894856,0.00032388928875220824,0.0035319878304324944,0.0003257918552036198,0.0016502865152415822,0.0017199400193632591,0.005260339138326598,0.0016919087215305705,0.001225794649522163,0.006640751021370714,0.0003003337041156839,0.0047967357917692325,0.004194662125516098,0.008458795928983126,0.003576924513829698,0.0014358259070904166,0.0043250808715634935
3,subgenre-theme,novela histórica,other,300,5gram_chars_word,tfidf,0,3,novela histórica,other,0.006671588870105628,0.0018612147860788508,0.0016263428257021922,0.0018601828536832005,0.00033248081841432195,0.0032867905780004374,0.0021246966913160744,0.00032385243593354004,0.0030444398981696397,0.0046155253224396675,0.0003461033536221506,0.0053381175309963206,0.0031352403439986274,0.007034387187155584,0.004269535424768128,0.0015277745513095193,0.0010064782297087198,0.0025822724145101446,0.0012668215994531785,0.002834730126172063,0.001840012950309935,0.0012092832297641589,0.005753102911062995,0.00030542986425339375,0.0019490353186847823,0.0016338212846558034,0.0016286727087642416,0.0006678312713367696,0.000573778769267491,0.0018856815436830876,0.001779986620798762,0.000545121894911811,0.0018016022322826298,0.0020110385159950355,0.0,0.0018916223405746947,0.0014750832331718229,0.0018494625656881463,0.002454192457390244,0.0011773304874403312,0.004230451349763098,0.0009284801594845689,0.0031718911607906165,0.0013505196603990216,0.0032919899110177104,0.0009294125300213936,0.0009326001919487776,0.003462977871975076,0.002510709486608477,0.002285997058165634,0.0041126172878505375,0.014328339397030914,0.0027189986293605977,0.0037883901916099857,0.002055418553046652,0.005812394268365736,0.0,0.0019656818964511272,0.0004871513822920472,0.00254236208623083,0.0020315744397234356,0.002485924000034172,0.007471114427344764,0.001162826780704083,0.004008068719091927,0.0026818999676701347,0.0024415196404394155,0.0010923277664654412,0.0005005561735261402,0.0005079365079365079,0.0029581686479524943,0.0010434467249956932,0.001163533834586466,0.0019322068715250857,0.001713902288188002,0.000760974919015273,0.0015178362865035685,0.0007099503810030126,0.0037339850345332625,0.002448066746019686,0.02025588655179941,0.009508039440485496,0.0003281250000000001,0.0039495628554419345,0.0011070970680227415,0.012595190989671707,0.006031370459755063,0.005602728900292992,0.003847279842520879,0.007754624513026958,0.004271317309022431,0.0010095392908692142,0.004750485233087468,0.00033021079460707973,0.004995362169726229,0.001163659487377453,0.004870659985748362,0.008791713243550275,0.0052077891788231065,0.005875262319139165,0.017310550988862944,0.001610846825789511,0.00350953428050549,0.0014078721143629862,0.001940006402981115,0.006355577475826329,0.0020175837998760147,0.002999230808508876,0.004153007551705117,0.002380931042243937,0.0025070325339050224,0.0018473798235424108,0.010403099632874648,0.00301383553916414,0.00380683174297954,0.0023456528974047115,0.0025896138212807085,0.007591704262346309,0.001297680001435657,0.002530166051276789,0.0011071197143811059,0.0003865808135109993,0.000931822399565686,0.000640377181816199,0.0015465056881031015,0.002988449903349971,0.0072392059634111584,0.0005487956562085343,0.0002806335093081409,0.0016666416430626007,0.004736254123626387,0.0006428351580706148,0.0009563728622840493,0.0005697534297367446,0.005684739273874373,0.0016422422511173803,0.0031925352262763195,0.004154004861721537,0.003828533827955637,0.00966465952206829,0.016432494718219337,0.0018688728648858781,0.000996690165317617,0.002996357487356038,0.0020666165375842795,0.0014128440366972489,0.003994616559474306,0.0005741149606695819,0.012369312364128944,0.008394041694370693,0.004071741830939638,0.004995949689293059,0.0019379208153478627,0.006054366776510407,0.009195640332270901,0.0014088423627744992,0.0023391532805094747,0.00034054487179487227,0.0009348771362119529,0.003342480721695226,0.002110313838148162,0.0030791094722384567,0.000837864639528296,0.004347768496890966,0.0006433325447916818,0.0006357856976782811,0.014026248238815644,0.000412956510517486,0.0056672797651209205,0.0011225100017587767,0.004774109241690301,0.007422965357386732,0.0018584238919808855,0.00819913485486571,0.0005327332625863562,0.0026589922789058275,0.0005211715508211472,0.0020161011376586945,0.004228824645472053,0.0013107590737716469,0.0005722926453811016,0.001994180597484147,0.0015202944318809834,0.0008722716662082036,0.006145476967855133,0.0043198348908389484,0.004897737471946068,0.0006510268030006635,0.0,0.0031260866562738054,0.004195274630795819,0.0042566435035899675,0.0,0.014289941674603433,0.0011818255362910225,0.002858146441988159,0.00564488079574909,0.0026849837270850685,0.001752823038006442,0.0021595335760137037,0.0022523755080670464,0.0012902841674315823,0.0015993311526133344,0.011452796239153342,0.0032727301613150496,0.004167650490603665,0.0022909585457100475,0.0053806487556724465,0.019828293629492802,0.0009334653055948185,0.008168903028039019,0.004094123476217046,0.0016757441223935415,0.0022687346410768653,0.0036693090407793057,0.0053110327890429155,0.008031566829992138,0.0016627084955312948,0.0016718546233129902,0.000972312001723766,0.008656924890890703,0.005566010132794364,0.0008517881821552563,0.004108588332154577,0.0010035420019259503,0.003905129226622692,0.0014683222022860182,0.00921303774511556,0.004316652636155863,0.0007521505488724083,0.0034944946870785355,0.002449029962787142,0.0016344411969108402,0.004218939290904515,0.0030611941872400726,0.0014476109229043758,0.0016429202593747944,0.0013732094630589829,0.0010611122502744324,0.0009666069802150493,0.014818363299632962,0.005972856329542627,0.0013497331034854018,0.0012760446918548217,0.0025659474825214523,0.001076902677352792,0.0026703481733884853,0.0009402081616025057,0.0017383200512371176,0.0023538005070629408,0.0023411205743257687,0.014346917849662527,0.0037306166536427987,0.0016282723124828385,0.00524841050277209,0.0006702127181753664,0.0029293187278548443,0.0037509096861472807,0.004818041452276032,0.005007196125964087,0.0026013898682950365,0.004517319990163717,0.002201603615994348,0.0019551878553756615,0.0020240665917809434,0.0011594437683635289,0.0017254647102231061,0.0019441144745341089,0.0002976190476190476,0.0036386491116311825,0.0012930206091600626,0.0018544703336819668,0.00999457624313748,0.0015864470013923384,0.0014472801913106082,0.0015860635056377092,0.008579975663567998,0.0008870342292212827,0.0009820612684012494,0.0014579340613255145,0.00217510787440668,0.002904786051419349,0.004999517343169502,0.0003168121655871585,0.0017524668738903596,0.0036937980557229873,0.0026131554804356715,0.002084219532850754,0.00871659944439351,0.005555222134318754,0.0017075893418888896,0.0045513998179247525,0.000603528416028416,0.00509241395982708,0.0030604221716147356,0.0,0.011335849981566115,0.0014251370053300402,0.0013071656163642724,0.0016289241357680452
