,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,a el,a la,a las,a los,a mi,a que,a quien,a su,a sus,a un,casa de,con el,con la,con los,con que,con su,con un,con una,de el,de la,de las,de lo,de los,de mi,de que,de su,de sus,de un,de una,de y,el de,el día,el mismo,el mundo,el que,el señor,en el,en la,en las,en los,en que,en su,en sus,en un,en una,es que,la cabeza,la casa,la de,la mano,la noche,la puerta,la que,la vida,lo que,los ojos,los que,más que,no es,no me,no se,para que,por el,por la,por qué,que a,que el,que en,que era,que es,que había,que la,que le,que lo,que los,que me,que no,que se,que yo,se a,se de,se en,se había,se le,todos los,uno de,y a,y con,y de,y el,y en,y la,y las,y los,y no,y por,y que,y se,y su,yo no
0,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,0,novela histórica,other,-0.14264494335206135,0.6006456897431155,0.1256768568385861,-0.06208226857803911,0.15406769881988192,-0.34203492206465214,-0.37108267755950214,0.1626764790570978,-0.42100578504893194,-0.17583648775029098,-0.3773449911237765,-0.44078592341531586,0.09046606979878694,-0.36675147546518005,0.15828945671063538,-0.476273279598683,0.6451069304598983,-0.20052939288185162,-0.68874572011354,0.054141520919602955,0.2079196525498218,0.2421122524489857,-0.36383932216780723,-0.41778117939208215,-0.22181285644516366,-0.10333971595400326,0.20360727026734743,-0.046702848256908985,0.22428340743900838,-0.2662685495560785,-0.31388574333403224,0.15524884015995633,-0.3455887193681373,0.44721289598942726,0.31832265297892204,0.17073581479088554,-0.11252787803238218,0.024601914290612592,-0.44645429002723774,0.4462586790230211,-0.3376906115714472,-0.15195052778518764,0.22514739734052464,0.2106134724132604,-0.00981917339787236,-0.296132865983618,0.29489222401590953,-0.2847038885288192,-0.06042749634029421,-0.2579446034821968,-0.007046129310983876,-0.3366051444665675,-0.22024434693212136,0.3255084893504604,0.2693563025882463,0.2474203148949604,-0.06712195781180547,-0.08564538855661122,0.2013202269411727,0.2516066431107782,0.16021880531308402,-0.1913823868077934,-0.21563927383245007,0.7943725192509602,0.46700155331027127,0.2407613620331559,0.24431863939334028,0.19171326168899322,0.1776692272702763,0.25820594937263,-0.20534976877030142,0.5876022361773567,0.19251582754312507,0.1732321469600947,0.14706175805182775,0.29331149901212206,-0.13567044059722136,-0.12662845841322815,-0.08561452108314149,-0.4721882342923186,0.17559410125273084,-0.24436741026243608,0.2768577825956463,0.03626499032651298,0.11165740482896497,-0.25050267551862915,0.49409788422543327,-0.5242538996362922,0.12347019829829595,0.17158212025394828,0.4111123514876388,-0.72578946212621,0.3796716073709031,-0.49194262328365457,-0.24746511846146507,-0.35082154307045665,-0.339644787563663,0.24309645529086144,0.2571336499029614,-0.23947276491374692
1,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,1,novela histórica,other,-0.19393513179027644,0.4810262687630284,0.350427269357801,-0.09283794190153805,0.029574576179640988,-0.24643798867777308,-0.39594519369272646,0.11366580440353402,-0.3639889526647686,-0.21008543016519615,-0.24773598752641135,-0.12799054239640167,0.09544873365748821,-0.27846270239122084,0.02455397048662633,-0.5738641968384415,0.46347821726598193,0.11519893305263817,-0.5421901042893529,-0.06807208845070603,0.3719977668847603,0.23438623001027087,-0.5470554196727992,-0.31540277543988027,-0.1132438223677088,-0.05429661355938026,0.2648965976705976,0.03970392149608981,0.30531932433742676,-0.6072745522916719,-0.06836237833762929,0.24739539845893985,-0.28498244860777633,0.34753867259243243,0.24027651595112048,0.3108233796070965,-0.17815056328006407,-0.27872786137938493,-0.5030506343321968,0.5781763425429053,-0.3964947127678205,-0.17701702522715856,0.22385175972447738,0.21718027129187467,-0.22552882614504838,-0.12231384478342792,0.43447415547800006,-0.4185013998404094,-0.16343849280543693,-0.18277281765098471,-0.04070230168177008,-0.23376747991052074,-0.17475846741861517,0.011816787005606094,0.15438468581275755,0.1152863521218489,-0.2152596412186929,0.21914956517944806,0.30106342179598466,0.23972174456510154,-0.06501772674482237,-0.3195101321182765,-0.3307952642556482,0.6393136898306139,0.3181019496142351,0.36618454302433795,0.06170534606195871,0.04522477997099153,0.3265985689800597,0.12941496871802993,-0.0070529433576651535,0.7106069219188388,0.19770775195371304,0.030827135422669683,0.14756721637458392,0.3894090032957072,0.03133880751730056,-0.3902365480287013,-0.04692043448917499,-0.374993298560909,0.0789424102799201,-0.04583146713125963,0.19118048887658146,0.09909544643364465,0.03860558436770628,-0.12667511238943224,0.39201200638214717,-0.5760539636336348,0.20238658260428907,0.18169242228021498,0.5250805857497155,-0.802515324572778,0.3069327592973019,-0.12494978525890307,-0.2802661156763603,-0.19701661799745962,-0.2585398270178691,0.3824380963137358,0.3775563053433087,-0.14702283894701274
2,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,2,novela histórica,other,-0.2514891801207044,0.39582370015097273,0.195145937698858,-0.1790751795278996,0.24819910639382942,-0.30425614802722317,-0.43886352272711365,0.16995832602448285,-0.23886566522058217,-0.1043628143805208,-0.2494950973107925,-0.2559015221324332,-0.028530250137370053,-0.21582306997930523,-0.12161760359175056,-0.256037590186128,0.5941641374168863,0.05182231998290088,-0.6616931885620696,0.06805100548213187,0.15108272919679022,0.17501429554805495,-0.4758382263444096,-0.3431014487417869,-0.14710164692189995,-0.35979056532982856,0.00031269393828654846,-0.18012692780972067,0.19288376808017454,-0.43415772910545614,-0.01938040825255475,0.39279552838470017,-0.46232052971811505,0.4838351737777463,0.14401085871451036,0.2744340073682444,-0.044271358142944105,-0.334877467270375,-0.41524873764531794,0.7741072797383729,-0.11020388138745728,0.18269398182682758,0.3514352923121023,0.07595168708491133,-0.30361876688520134,-0.11239992996523793,0.49450332701335936,-0.3001220607172889,0.10987646101628425,-0.2553992624107479,0.07616666913600562,-0.445035346915207,-0.3507053487243344,0.2182183544678615,0.2776126373573828,0.07247174776373398,-0.16121872471672624,0.1707204276592809,0.3646251236685292,0.018439860197416377,0.020440266276968547,-0.18688584737155617,-0.4124680843870554,0.6729192886079612,0.37861063283144475,0.21176814379586964,0.1795506772239039,0.05581844297731641,0.2361065684685966,0.20798502612363537,0.09595257810634829,0.5642183318132451,0.3247685068881383,0.1635143361560017,0.1556280092676185,0.20001976139723932,-0.03481801560494998,-0.4851083045853264,0.0612874061797067,-0.3220471684702751,0.27048500004530945,-0.17288434364153882,0.20565658410030646,0.203281406066356,0.05473603842838181,-0.03532513395152999,0.5812638656264223,-0.5692701211602343,0.188261080208926,0.2978028244702818,0.25853600103916813,-0.6514533059712344,0.2273774425281236,-0.2001595008893084,-0.1958802136297956,-0.34648010446691463,-0.3433635195276741,0.05969105988526695,0.195073871355171,-0.17225552638068503
3,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,3,novela histórica,other,-0.19744945833837346,0.3385436943388725,0.09364682170225874,-0.05767320586451985,0.19990019472679688,-0.19993510392149633,-0.03909053142353432,-0.16295935534938188,-0.1941907668556283,-0.11914402525079366,-0.2580272581119748,-0.38093514917830484,0.18858966124755788,-0.3577648754617248,0.051171269747484316,-0.07624172969250059,0.47235292975137383,-0.15472508929113832,-0.18840915625644367,-0.11444192218510957,-0.024430391718835737,0.3311887820841106,-0.2423515947652059,-0.13961983398008987,-0.2888356355339585,-0.34164935565392407,0.1026588266955793,-0.40291208542611834,0.24657359916492094,-0.5887379634716907,-0.10331620433457916,0.19441568925879513,-0.4265639549478757,0.44062311818215993,0.23683102690054142,0.19015551863601987,0.15821082670447548,-0.062021244068655,-0.38771714128875046,0.413826298843362,-0.12217129820761025,0.09997646732579954,0.09152765853566741,0.2802521313550477,-0.13101903636147502,-0.032751937718209306,0.45976551850776637,-0.27338865080659563,-0.23237723200172566,-0.20623177534720216,-0.2506844360000894,-0.3540089058147741,-0.07644374456916897,0.23525737353738202,-0.05989379235051935,0.12663886155329485,-0.08586611218577345,0.30061872009665647,0.1282471073360204,-0.07518416487424862,-0.1266208678985109,-0.19593269803237712,-0.02128074248450218,0.6095159567323456,0.3219707365467601,0.3076050801327592,0.11328819444753933,0.029785263446649224,-0.11150421370611863,0.35886875656592054,0.2033090641782661,0.47654610556479415,0.3528124772126202,0.05903940296830601,0.09105445642209631,0.565985916813818,0.0473103875006788,-0.2101493384918842,-0.2440900445153342,-0.4593043238874893,0.414516813553946,-0.16167936961645996,0.07801312279897299,0.2720593696156056,0.02566481435699186,0.21841872516139452,0.16464772151210127,-0.5322196398859195,0.24947524456346223,0.3736922654257075,0.4049881928892657,-0.23079501237733635,0.25686994430489507,-0.3821972433410594,-0.10817749892619033,-0.24128505039747195,-0.4428956838497714,-0.008844466423349517,0.30585174635996193,-0.2600539549927034
4,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,4,novela histórica,other,-0.13728335458865845,0.17736030366766312,0.2937396856922204,0.03087563715961932,0.2068010411167266,-0.2590179209102876,-0.18587353149093697,-0.024558274327350613,-0.2920252923597424,-0.2857127755274381,-0.30043463393460884,-0.2628179256453862,0.0659150608996075,-0.1874588358831398,-0.07597163119611113,-0.1909282865332196,0.5543900978191135,-0.04648264911562566,-0.6095329881702627,0.005706954783986959,0.12457180957861236,0.37508154159355384,-0.23328968914217602,-0.3854564093723258,-0.07813262322924754,0.005014875310105499,0.26248848474735365,-0.03073835429746822,-0.11069239553202612,-0.4778696535248684,-0.39624776001387796,0.017935887141847538,-0.20316465819932075,0.5944479877113505,0.2698828165675452,0.1406977696289322,-0.08392957623976799,-0.06969809307565655,-0.25002701633151203,0.3753449230681207,-0.2566336595174998,0.024815953476991184,0.26758114746091377,0.36008101128808434,-0.30422115246026754,-0.163721913445522,0.4827565529322335,-0.23020932353623452,0.008075619200927628,-0.40257118607118814,-0.04203587840430103,-0.3173197167640538,-0.0783796504044411,-0.08224461637160459,-0.0848132352040112,0.14710474625706654,-0.1724461675492218,0.19186669951030147,0.32784090170786057,0.23209646095446182,0.11475978423263422,-0.23274464305875456,-0.10584704009592377,0.6279960164465281,0.32913108833928595,0.14098936456580452,-0.010784584875138975,-0.017246952620700466,0.20757272951992606,0.3200816832846297,0.1637771436565202,0.6499342871246521,0.13097357951436003,0.11936109085582104,0.09595428855292955,0.2823420815685408,-0.04154252841385507,-0.32799836842591523,-0.0070901756963049345,-0.5049842300264673,0.33632205837935125,-0.43334288515224884,0.03485032975786797,0.10244564373103214,-0.15247362400658748,0.1067668936893267,0.46316401556639264,-0.5209002330905174,-0.146473920368039,0.3835388883851794,0.43923959984219213,-0.5436266724817945,0.0960454507885291,-0.5306953532882762,-0.12410493287506197,-0.08533161872012658,-0.17340180511684333,0.23122835274590542,0.0329362905865086,-0.45362276267362456
5,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,5,novela histórica,other,-0.14608829074681745,0.4699247057779358,-0.031093916003196238,-0.07467267687185941,0.2679109242562364,-0.3057838861529891,-0.13547253859932515,0.20856161665795575,-0.4503152483966167,-0.22317773578152592,-0.13856959603608013,-0.30888160964301387,-0.06042258305541923,-0.3288459386686815,-0.08039737214950654,-0.28192906423324415,0.5054044607260144,-0.0783895379297642,-0.4836718135243579,0.12476692208616066,0.3751686711486372,0.40239952029143244,-0.25042194519851485,-0.3147739085274892,-0.003246163625068646,-0.2674951678199957,0.23423701271892872,-0.04596813615753363,0.22282430324933072,-0.4214809409245992,-0.33584477764786175,0.05397228669598379,-0.36872225545954196,0.6110928754658078,0.4359873136136605,0.24205759944276153,-0.13992417520930014,-0.2533501124827362,-0.5509542979373637,0.6568188594880046,-0.3552338897391538,0.07185054311668376,0.30098033510125566,0.0823329342429053,0.007457718377006817,-0.25740078267616345,0.38397363965487075,-0.26090364750466083,-0.1590376804911197,-0.30386601763909266,0.08212196791564298,-0.4030404173366323,-0.43798427915890864,0.0763145094570566,0.18263925784447796,0.1994100453970345,-0.12144794742449137,0.006395275517880994,0.3748829478394768,0.41760153016359775,0.04409688662261647,-0.30567404017268784,-0.29895989505254295,0.5999567795282369,0.5439767739598265,0.09718768845274162,-0.00989844362684214,0.2472669347783776,0.20642775539274158,0.23194114910137792,0.12404493736931117,0.5992759526096525,0.1956293738895721,0.10580451748350359,0.39127740720253257,0.32853608047984506,-0.033689800788129005,-0.35906576562766873,-0.21657316907432256,-0.3730315495946081,0.150429617986503,-0.11669459535562961,0.2655492275121316,0.1557792780055013,0.04980647737020488,-0.110543602156402,0.4667253521215186,-0.4058540745677248,0.11819825442462896,0.33303424256605607,0.4081150940848034,-0.7641423999808317,0.37163405237262415,-0.5235914915882878,-0.33881336688096747,-0.02016619852057737,-0.4474917795435144,0.2869144539034699,0.07633051943471789,-0.23175016156933032
6,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,6,novela histórica,other,-0.25804265554377165,0.2666482071776589,0.3005122871935988,0.048133727123868875,-0.06382795751271861,-0.4806633966974676,-0.261988661008697,0.09687957881802439,-0.0918120957029239,-0.12679630284549498,-0.409121334826652,-0.17392621026235827,0.23944907410699107,-0.2591257510929743,0.016040533505342985,-0.3344574095691108,0.46457048681563756,-0.17224118063686877,-0.39479994339490826,-0.13831119931720495,0.1454259174404392,0.3085701967534197,-0.22895607615191257,-0.46087343836662076,-0.2636015246630768,-0.05077031513100091,0.1295106856711257,-0.16942724224358702,0.0014010466206217514,-0.40274204418300136,-0.27778375623070356,0.26980370433081263,-0.48576371627303055,0.4964466888478768,0.4629670974802592,0.23722363322706547,-0.09033849601354395,-0.031120274897402503,-0.38247921646586663,0.43170349083571263,-0.1624668088506021,-0.20607604172317195,0.5376950261327149,0.21345462767955262,-0.15272569704544975,-0.16464367666774427,0.49077885847526287,-0.3031319045194932,-0.2010559101336606,-0.3591791464530192,0.17075866718350718,-0.09392547385966153,-0.15262249826643587,0.25384444840849163,0.04195837659119556,0.23045359386029485,-0.20433779258524695,0.18320616046873184,0.3825525060128866,0.1344256997147208,-0.0603935266157462,-0.4175070607859085,-0.22387615765087276,0.8048657120469977,0.40203795852709834,0.28025271525670525,0.07498991452053229,0.23318750138271055,0.19227279366458702,0.1939225943453898,0.3151599785058578,0.3475508479658941,0.046315438788743085,0.25316537786751503,-0.06206850262559334,0.2738484535999226,-0.026995359065256214,-0.23036711882661104,0.20658743133247975,-0.44805523380967366,0.17930837943863587,-0.2813872669759847,0.04058027395519963,0.19997342035334742,0.02013607140099964,0.0300426277558465,0.2965634774344104,-0.4949951064493748,0.09599031580126256,0.14066683068434938,0.49360170736160536,-0.7124429791419976,0.39739460311926705,-0.3383263328422706,0.06918970814719852,-0.195944688487032,-0.3769512256994107,0.08625177876580893,0.04205737760331251,-0.243686244921145
7,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,7,novela histórica,other,-0.3750030032214523,0.46865503718964074,0.108635566140574,-0.15638578802111652,0.06642675704016004,-0.40284232019301036,-0.4220393596456621,0.1508698156921099,-0.22273729988442256,0.029679109756708594,-0.08824069330921669,-0.11712165008946654,-0.11957083042793665,-0.17109541789751398,-0.21462828025524017,-0.43291605856177173,0.6212227899895086,0.1254926595967994,-0.585506485029354,0.042409431141158555,0.28190874996190257,0.22731501044274835,-0.3081240514453325,-0.21579140970215396,-0.07245265832237796,-0.24517492835046462,-0.09432796673464489,-0.33531248689820137,0.21300910282882196,-0.532110484629069,-0.3446077694415738,0.08143645583504239,-0.33448158982833076,0.35826698921653544,0.41576118806854956,0.10461182765036196,-0.05457495361725209,-0.26407865655524765,-0.49612138851840604,0.6930456823170075,-0.3269648554250144,0.38657782442257616,0.07347065218742097,0.2022648047475752,-0.01892424525902875,-0.025989947121010354,0.7036542526599967,-0.3149494143619064,0.08102283988079942,-0.38604439304536475,0.21542753456540087,-0.15772959426674743,-0.08922378950829701,-0.00484268560446699,0.059793663518357965,0.29950421508054936,0.05297131884002487,-0.11789022494012918,0.17841844587698608,0.24813206085633524,0.06492014129077786,-0.36780103305452605,-0.35184603191159064,0.47738401187554486,0.19808216775534482,0.40766990123617663,0.10958730874757484,0.36711929713180297,-0.04242003836485783,0.28652895522628286,0.0072863360395082274,0.4350211806989109,0.3747914835664386,0.12081772789198325,0.12876265688028735,0.34409177164770843,0.037419995547755935,-0.23324701795551422,-0.28523062087048523,-0.22564458117000924,0.13344655943782985,-0.2963591607377392,0.2279686129795789,0.30343851989597553,-0.08081210663117602,-0.22308335407988478,0.35076621923908996,-0.20511037584754516,0.15839424135920596,0.13938645471265523,0.4621351983818251,-0.5368059990988157,0.33626642915083593,-0.33527118936991285,-0.28681334750824994,-0.13047380966019334,-0.35942861932233816,-0.02507288410129946,0.13689826137015693,-0.12515652994902526
8,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,8,novela histórica,other,-0.023468375818635277,0.31470791127452813,0.04367440265239957,-0.20631960149452844,0.21533457345236173,-0.5361872348044555,-0.11111835138984463,0.26986917062503635,-0.2181953109013484,-0.4399220990168486,-0.20145491727029324,-0.5447379230785202,0.3064978283007647,-0.014888850748010003,-0.02468073439199043,-0.2840401909016159,0.5630756932511175,0.020653972863569563,-0.3808197165273286,-0.12534642675212487,0.3441840128296513,0.09126127680429066,0.0018265164511309336,-0.49489474219542673,-0.10986612966277459,-0.252574934511199,0.4045662731832013,-0.17380224778949144,0.06422333926694257,-0.30968963652295595,-0.16730817201002524,0.22300240009476652,-0.3998166646228707,0.3730274558806793,0.21063936889666846,0.15651460232344902,0.09146086606890323,0.09097134099856471,-0.5013723724505322,0.6670634908139175,-0.16404694899761701,-0.039719574511161454,0.23578143261117301,-0.02040831474329228,-0.1824288268507077,-0.22670015256310397,0.44294428726605317,-0.22317661126365537,0.0443362445105706,-0.3074067188262525,-0.14119271879466275,-0.2901917656694675,-0.2480357473176017,0.20177578861208192,0.010541406040073583,0.19050506459503744,-0.10054540774472676,0.046114666461973756,0.15381505251745678,0.3752938393626258,-0.004202164242869549,-0.45175635428112726,-0.28034775773902354,0.41393438345096417,0.27536200525106425,-0.07690465147210998,0.039119795968943806,0.0077980541852523365,0.4619343845263684,0.2917087385657144,0.07427962295482188,0.5931344074134319,0.2694930162892282,0.19760604062935758,0.04327739006886247,0.441191725856459,-0.11471316582813744,-0.19468904762911637,0.2429970625568995,-0.3098685087099382,0.18599506780228953,-0.2406591249187022,0.3506925185575004,0.3172672103740252,0.20994860571632246,-0.33161964531781857,0.36629245171752683,-0.40086999236676624,-0.06077329108488251,0.21652116915426456,0.4290953417289116,-0.6524415422317531,0.2855613452480056,-0.43423790836383874,-0.08340810089820903,-0.2680618507229617,-0.32278080063667003,0.07290120760160801,0.1486039620234946,-0.043851603814787414
9,subgenre-theme,novela histórica,other,100,2gram_words,zscore,0,9,novela histórica,other,-0.2628342122390459,0.3042118425250212,0.06544425972479793,-0.1268165869275631,0.2303970829836977,-0.08091859877767899,-0.26452522499654474,0.10136086871556091,-0.3048194021140498,-0.15614333715597073,-0.3666571789088817,-0.23605741840006042,0.366466807501185,-0.36488917315558345,-0.39266558591869044,-0.44645348471217505,0.7169890178055308,0.06053680364702829,-0.5474579132552664,-0.03770537518616773,0.27777450506173756,0.24863781299860482,-0.37229511328454507,-0.3787314644896339,0.0511534557655737,-0.11144647651254305,0.0589641536959023,-0.3335240797209662,0.2090969457007082,-0.5879326552506218,-0.09800031782603072,0.24165823004580989,-0.5373817173864235,0.4850804911012515,0.1466232841250614,0.08697052559550697,-0.11656926255895811,0.1618806010448803,-0.5269627694790372,0.2500830136060107,-0.258095547874736,-0.14983013789975413,0.26613923030959397,-0.11015668012841312,-0.1496243661972648,-0.02628995690704941,0.3350104016314974,-0.24435128558363178,0.0052420012135172556,-0.26311136540655555,0.35715578565499695,-0.3955420768834609,-0.10394161154791703,0.43427854753485995,0.13067735939237607,0.3500924745291243,-0.07703188365284963,0.02382045573869737,0.2758030838272798,-0.04465625828144279,-0.06220351633501217,-0.22796966631684482,-0.2849171633553567,0.6202273217585068,0.311289824420789,0.27001312295323054,-0.017844588448553092,-0.01845073768317604,0.09115515614949743,0.42031537212414904,-0.12074641604352909,0.6354649769409721,0.12574490510964342,0.053180734081222036,0.1811167525468061,0.332654256445156,-0.10199606902063871,-0.14482847016870995,0.03941785522840875,-0.2670615240371187,-0.0765121689416219,-0.020685692383205695,0.10892593241069547,-0.003677078825423355,-0.054609901449166595,0.04852548313049429,0.4066188910027964,-0.2517199380062871,0.004274742710121654,0.32051781908010135,0.2935928973664437,-0.8705209160487131,0.3306030627630445,-0.2680097678552873,-0.09894408042329558,-0.18070623318260215,-0.09742667871817468,0.1801261318609677,0.059214701612279846,-0.15776361320590276
