,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl, a e, a l, com, con, de , des, el , en , est, hab, la , las, le , lo , los, me , no , par, per, por, que, se , su , sus, tod, un , una,", qu",", y ",. — ,... ,a a ,a co,a de,a el,a en,a la,a qu,aba ,abía,ado ,ando,ante,ara ,ción,como,con ,de e,de l,de s,dos ,e co,e de,e el,e en,e es,e ha,e la,e lo,e se,e su,el c,en e,en l,ente,ento,era ,ero ,esta,ido ,ient,ión ,la c,las ,los ,ment,n de,n el,n la,ndo ,nte ,nto ,o a ,o de,o en,o qu,o se,omo ,os d,"os, ",para,por ,que ,s de,s qu,s y ,sus ,ue e,ue s,una 
0,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,0,novela histórica,other,0.013110226026157766,0.012575203712817205,0.005541510891382312,0.013036311086941414,0.0,0.007665684302660461,0.024028940451106845,0.007608004550413109,0.009361059537127991,0.004300927918687896,0.0077581966413206626,0.01587464562288302,0.008980621549794345,0.00762252542693609,0.014752172337373765,0.017445519025268492,0.02069921669955897,0.005122000297507673,0.005562160446677479,0.008033131780184053,0.003128215108712793,0.011057443634757223,0.0104869442616704,0.008670606734490726,0.005442883448519263,0.008816168816021241,0.01712792438654158,0.003255159219592828,0.008616768430245822,0.01092167728664726,0.00982234825835321,0.0131818829576472,0.004018232409905816,0.007577485561787872,0.006487144293390006,0.012073277255184041,0.008352873920151556,0.007964590482324839,0.028827205024483965,0.0043604837746626865,0.008316518389016534,0.007650611893294769,0.006198253782619273,0.00435855245768438,0.009059127196519518,0.006768189230924777,0.007426452197803202,0.01204600560047262,0.010071470859207215,0.009996960175106517,0.011610050908110174,0.007789467989439425,0.0074407415218989605,0.01222050231046861,0.008556621105341635,0.016458025707253746,0.002633547506884519,0.011353721523984011,0.0026631614955399,0.010613811378718965,0.007996690054546203,0.012357832494284703,0.009900911427753487,0.0100765711744523,0.008824556693421227,0.04302870406625664,0.026573898391055645,0.01479115389120148,0.006746171763308482,0.012387398980655374,0.007115131433117111,0.0039674126815021585,0.005405748284340627,0.013345527130876833,0.010629724925801737,0.005502531776179309,0.019993172351207962,0.009467633678757139,0.004605753995232945,0.003913048451408567,0.005738214751750888,0.012623113475985463,0.016277512484369913,0.008880451948699969,0.010104924495942223,0.0026952592888936,0.006714735286279099,0.007664774504493035,0.01751178626203622,0.013170639101821473,0.00954836845519038,0.008561879265737073,0.004542318351925729,0.010703566415982788,0.007343272757762317,0.005997231547163228,0.00975476865626829,0.00347737294144211,0.011272718850838907,0.018288350711878742
1,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,1,novela histórica,other,0.012874411366247306,0.021607263021359558,0.0023128311579705347,0.005296039571156078,0.0,0.0067982058516530865,0.030891972146825476,0.011920534068939483,0.012505198718196721,0.006679433674199332,0.007971845700613248,0.01180065876744002,0.01688247257730159,0.0016870928656014367,0.01742750618768484,0.02451461626537527,0.015230185512998443,0.0016776599974778175,0.005543470535734245,0.0068175811522157995,0.007429920959409974,0.008140960512927828,0.005790347791906281,0.00913838291894279,0.010825838089727112,0.00999386090389303,0.02048229562114988,0.007661176810074358,0.007117388947043956,0.013909021879987478,0.010447145852229856,0.015839581971353114,0.004267154680928382,0.013683699456417519,0.00826561645672944,0.009394187370362959,0.013485815169351125,0.0037169732210589864,0.03876174574704012,0.008212329692626417,0.010519579840941009,0.007845384012311362,0.007544558463216965,0.0053726577311356315,0.008091861534683482,0.015455642390463195,0.00860436099290191,0.010044608840319888,0.011651422293990769,0.0038303738655908683,0.015502543948915905,0.006563620556761872,0.005919362183737434,0.00790566651941024,0.006922690673551406,0.006548663291068517,0.00463050583291804,0.004110160761975999,0.007882656835437306,0.005539873609658923,0.0012738229373384451,0.01313192252625574,0.010828951421281012,0.00720336110337233,0.009251560373832166,0.019679210325100845,0.014592037749453361,0.010384326042453847,0.009514212489076967,0.008023617195048566,0.009059514730943208,0.011952865673617691,0.005024807706884211,0.017496328955177626,0.021431477984643434,0.004835374631299131,0.030601190153523864,0.007864765737545442,0.004597757887732611,0.0072675434760889664,0.00699148446340594,0.00906497866512619,0.007591574970486983,0.005609857401272895,0.005795660132038718,0.004417088126204853,0.005502170665691169,0.015576922787258569,0.0169281069612145,0.003616830817191397,0.005852366740985255,0.011878778467189812,0.0033494971189975725,0.0050210619114259445,0.016797356594252202,0.004580601407664633,0.003024607667252101,0.007814318180269427,0.00788934604145885,0.02119412440880192
2,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,2,novela histórica,other,0.009088806218707548,0.022950156633220073,0.0068022550504246194,0.005019625564963776,0.0,0.011068411079777563,0.029808720275112027,0.01003027527486214,0.007995794924327468,0.009323844487490712,0.008674195865944898,0.017118820594885516,0.018676653320155452,0.0029093915482092786,0.02199036804076704,0.020299174424898852,0.01845510991404412,0.007123492390481599,0.010570670198880772,0.013949846880015061,0.0042707840817086075,0.008924751895320996,0.008372002280147976,0.0067440883307054176,0.005023719136006264,0.01904306703027092,0.02757207455425443,0.007669129468565355,0.007738671899255481,0.009333436084365213,0.01054493035699725,0.015708105794871516,0.0074210746123516,0.0096499084545957,0.006816989720354194,0.005927351818396823,0.009257244564021043,0.0038765198712988353,0.044664184320794505,0.0037129639700013415,0.00764703676772649,0.009088262285144024,0.005398299132003581,0.007390650744663772,0.009452238074592743,0.014812379600523267,0.00799067198485148,0.004138870172366959,0.011801847860917739,0.005139549554253533,0.019107662896313726,0.006687878661586626,0.002528647101997322,0.005421409478726193,0.0030234971250219468,0.006250243044188092,0.006582087380672135,0.011477443831857493,0.00930523346968843,0.0070736863197057905,0.003275741828601503,0.009985492659802342,0.012561639279707939,0.007397190105674358,0.007721991801928094,0.020115755387548475,0.02738202384871514,0.009932002149567187,0.0050721167043258665,0.007843176677608924,0.003886269846428029,0.0073952406631651365,0.0035382609393753697,0.013750172381675325,0.014970270468993213,0.006166402090156782,0.016941792122530563,0.005214826178308144,0.0020495989623317743,0.008778929512555366,0.00762578093680377,0.002544966965965531,0.013733963959815215,0.010191295299615662,0.012021929301972472,0.005143376890476851,0.005271400570117973,0.014414292125874976,0.014966529027354274,0.00658277927883392,0.008007773356125588,0.006208427002534519,0.003173230583593437,0.005409894382926829,0.006888658263223262,0.0063655657117000445,0.007310646411469558,0.005104792687151555,0.006637997038018569,0.023973600179172945
3,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,3,novela histórica,other,0.005908085664409177,0.018292825835848868,0.0039771883296349266,0.007072062006943524,0.0,0.00707801836938175,0.024141055263568093,0.01868874187820744,0.006009972246600914,0.0072712545001036594,0.015468905935490409,0.01432612101049109,0.01201600264279516,0.007275092932307129,0.016265723178412708,0.02176514676112626,0.009659966148481825,0.004115691203757589,0.005968017353054884,0.008362567097376785,0.0036670508951992795,0.010695819772914858,0.009343530338264162,0.008226807393147711,0.00549786749832181,0.011712027320875056,0.027478520284677344,0.007755832259085196,0.009758167393284485,0.01383490803073454,0.0065447698067868905,0.016009249469687282,0.014369953178505293,0.010937273957299178,0.0037759072980206227,0.016894830088666896,0.004415881143911706,0.005152169027042832,0.024351577016817814,0.005702310543698005,0.0028457148439534887,0.007484124834706866,0.003844117105391941,0.0033830185216627722,0.003646367470078278,0.01579804582406299,0.0036817534928333382,0.00495189690810063,0.014578184198373485,0.008146826585989945,0.025327636513000108,0.01318933412075616,0.004799385543738454,0.008176288706457863,0.007355437143458088,0.014304788339868708,0.001412855711539922,0.010101944793815145,0.010391174397545755,0.00953747569863868,0.004155045089230501,0.012602738569799933,0.01181319673615162,0.008318888937003822,0.007621777374426238,0.03778827399370534,0.02420198408408536,0.008015891327985735,0.006780661096814007,0.01359606454288566,0.008400309270334408,0.0037676330114991365,0.006314375119774302,0.011368899329099425,0.014806018585292081,0.006689553342476027,0.018335044362454974,0.009856904059371835,0.0041430268537904465,0.003892499336687044,0.006859260018039009,0.007899422972027852,0.012252806500842105,0.0064924652157717245,0.01014930052857615,0.005291615163248222,0.0057492485026237735,0.005147225974483746,0.026503285128744978,0.005669809921385214,0.010723957259884183,0.004070492692805748,0.005662519995479912,0.008338121781913834,0.012967196052454192,0.0058887266460616,0.004795549164540193,0.004432403418176845,0.005864400680344028,0.0200301455308232
4,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,4,novela histórica,other,0.008933624112530984,0.014682496977652533,0.0028001291635592236,0.006469818444922153,0.0,0.012660757401974063,0.016989985758274085,0.00977886197805915,0.00926653243793362,0.008597292675219291,0.011110496903234948,0.015206789664049368,0.009880089421499752,0.010702925997026259,0.010281522045998222,0.02432557883673212,0.006919199162458259,0.005170757329744491,0.011006375295122097,0.007969236255582258,0.004482121405720134,0.012664708104480633,0.008359906226176736,0.009319446165594998,0.005991690146122045,0.020887629739620106,0.007566494230960445,0.008567604653124785,0.008644645647101802,0.010193730443754103,0.012219234554229613,0.019155575236472176,0.005779709472200376,0.021908935373943637,0.005285227522934092,0.011187424383867859,0.01028100623365956,0.006999444188236861,0.02906470306192599,0.008215034064121657,0.006672943527601771,0.011402758901718631,0.005368228717122311,0.006799971411040143,0.010519689721952165,0.006906456310943729,0.007580524793722374,0.012034111825257971,0.007006963685058193,0.00645413557915434,0.01359877517280679,0.006933341237969268,0.005315792178935738,0.011776854296502375,0.008625517360503607,0.015754047021670953,0.00957687705155023,0.004148101267525867,0.0027594404863079377,0.009045393790803378,0.0037661032701633147,0.009475958185291886,0.012462269603273854,0.006298631221174432,0.009420955295266082,0.02477154513870705,0.021833784665082356,0.014013327185950917,0.00817046122057601,0.006002416083770173,0.0057257514015477936,0.006250448356144388,0.009167275337236757,0.010263573958843713,0.014280826426542001,0.005909610576915738,0.03304862876214107,0.009580622477007588,0.004692550459907408,0.010250284541958532,0.0062688313334912605,0.011043004239587349,0.004845778139471018,0.01567253279658588,0.005972592544719733,0.0025521932854995384,0.008700007695118597,0.00840647336241936,0.016174510976803596,0.008643019736304276,0.007988104293764689,0.004827965132310554,0.006542958971272138,0.009151174352835694,0.00814810689099507,0.007984223488999256,0.00509264493562932,0.014469741162443048,0.007963342505758187,0.01636110493452212
5,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,5,novela histórica,other,0.012500837966952342,0.020697692923823178,0.00542302448032382,0.005904037613447124,0.0,0.003739214292470773,0.030249935915188285,0.014074130642535952,0.009350036612828296,0.005374762732710718,0.01712090535410927,0.020342129647335012,0.012351249042870225,0.00888856445668073,0.008689380775167697,0.025235011104589453,0.007204846924306061,0.004059589045784721,0.007847784393189143,0.007797773550735565,0.005000824519960126,0.007508834846867341,0.005377934293057608,0.008606200161143992,0.0020017536412042787,0.01720180297153523,0.028175455317662773,0.008749521056243279,0.004439886218428521,0.0072791014338065806,0.007249259172324299,0.010059321763788789,0.009655179459112227,0.021951555038798632,0.013218510239183837,0.009522930332216127,0.010297564957028028,0.006825104881152971,0.03705016230395982,0.006297363381141262,0.005536038959848854,0.0062232529029880215,0.009525853096895595,0.00511400101014019,0.009204981348927617,0.016044242128509897,0.008294734804401429,0.010279619400288134,0.008290531714368516,0.009196329018122824,0.018730054961223645,0.006882580487776428,0.004898785097014493,0.012830382671978936,0.004585482245657777,0.014082330301160854,0.01048783946949552,0.010141249155475778,0.0021917103279549908,0.010805864444476988,0.007444039716679754,0.01497436994102703,0.010596032382372184,0.0038136230611611347,0.008884461861710193,0.02295619474265278,0.022430999728587062,0.006543847884773959,0.004208433666463114,0.00946344897487883,0.00541983411112034,0.007423580036191842,0.005899391952551404,0.017540845878102538,0.008267317613651614,0.008309414168157664,0.02214397005877257,0.008302386606037512,0.004184202460482911,0.007116736966635124,0.005524177315304738,0.008274380546330265,0.008731276481556595,0.010585396658483315,0.009179800821910328,0.004550527428007135,0.006493964965093601,0.010586969705731142,0.005815919472377499,0.007758517483383284,0.005375814385354304,0.006014310835951249,0.0035086524655222194,0.009913303226357742,0.005293365715601362,0.007446559959849852,0.005711130945750721,0.008488469661176152,0.005159874543027573,0.022999418560850984
6,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,6,novela histórica,other,0.012964775188742167,0.013227859733927929,0.008260425514364308,0.009250884723796142,0.0,0.008053215759897118,0.021502384923378387,0.009241270435185932,0.011380776824729232,0.007580536748085655,0.009335651729372492,0.02062696490120029,0.016477117058737913,0.010538806536290269,0.016793220418764996,0.015942811084744633,0.011516947674649614,0.006207766028900246,0.008684453233339424,0.0064125282092033645,0.007299124435256248,0.014427431581930904,0.004407958954958407,0.008677443737491018,0.006759276477677695,0.013275003124326367,0.01954563049076664,0.011327810185730185,0.01111161701306961,0.009085033440160145,0.005747965631651899,0.018857923918945148,0.005525283989523483,0.013574818370251922,0.008286736148897278,0.0078114379958166445,0.004445120139063476,0.005104565167401472,0.032691646702693644,0.006163086882903869,0.004161589637913486,0.011572095911380373,0.008224112873609114,0.00594903330983571,0.006807773651124881,0.012786245646322292,0.0066931421939312626,0.008325432485656243,0.00713207953673459,0.006209122018877098,0.01584299194542397,0.006956423904105899,0.004462528636359666,0.006310853076028588,0.008399626816286174,0.009787268265077321,0.003368941351326803,0.00936405351844118,0.004725998536582162,0.01106375658711951,0.0030804908117342566,0.006662935856954224,0.012905613714597777,0.004962419123256992,0.007499133934847413,0.03905269577943287,0.029761120936711304,0.008221556321177803,0.010814286914556707,0.005040211941452639,0.0072318154449117576,0.009171698254104285,0.009270646200098077,0.014623437979870145,0.015937555400946685,0.00988555931863529,0.019566414941905794,0.011330881152559518,0.0058487852870415845,0.010013636843171756,0.006225537943654784,0.009948098211819485,0.01116001207685689,0.004212819058859871,0.008690776739046634,0.007479208033767607,0.006848855570381515,0.009987087146406275,0.010817900458810936,0.004292382173393477,0.012827877489961705,0.007425159904417836,0.005112334884138175,0.007437839334739988,0.00878374422330932,0.006818876583157231,0.005715691877283146,0.010679465193600317,0.007763868489702013,0.010625187430763435
7,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,7,novela histórica,other,0.015204615081786147,0.005861698522827576,0.004536371699441915,0.006859859179100655,0.0,0.009157347904819394,0.0317479975943725,0.009798697458274516,0.007032587927424954,0.00400420664398928,0.014026756615899647,0.011702537569465796,0.01444826681884072,0.005952882184849003,0.007795094803471928,0.015005008576548028,0.011530401774645292,0.005222411578937087,0.008508947822813848,0.007406601050913449,0.005037541545881224,0.005800836011603144,0.008124064054229049,0.007787899638076654,0.006893028390063031,0.021156035591345917,0.025868507998851698,0.009753452927022717,0.011525663479773712,0.018183282402371364,0.0035586054327461022,0.02073008338653743,0.0063622431700525416,0.010057085611122625,0.010507039547776917,0.02223856933156894,0.009794040006020716,0.0049144218216186945,0.029892132516629897,0.004149569218555935,0.0064952155519345444,0.007909337659856621,0.007327142546419145,0.007248590206618147,0.010130259310765657,0.013199763012760582,0.006815691987592874,0.011532129586591559,0.007421234362673979,0.004269647871876036,0.007802093116486605,0.00630243082114797,0.004193575220157908,0.009594446228809811,0.010955584769483788,0.007986641712453694,0.00545096363043644,0.008105217392339449,0.0037161776495287175,0.009029615119994418,0.006361588599110778,0.009689194165954703,0.009763328554633436,0.009516529440509727,0.004078731506029582,0.04620811125500833,0.024705782977249947,0.0065702938454453115,0.006661673478220936,0.006107969660253525,0.005326935301875891,0.0069406434753204556,0.010574409220389915,0.005100075308333517,0.012695777695583913,0.007134800485783221,0.0299525053539302,0.005436152010703176,0.005618155792261633,0.008958695823442086,0.005022298584879548,0.012559933922711286,0.011838011013102265,0.008288522286494963,0.011504569123418677,0.002393788502794811,0.007504401774479246,0.014300561714342014,0.007863460276875083,0.004802163394831602,0.0070770102182520405,0.007083748787394498,0.002715800662567101,0.004315541772543754,0.009185266340568368,0.009122627105808627,0.004705023925941173,0.016018600592787383,0.006902616407886612,0.025772548994082822
8,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,8,novela histórica,other,0.010606278293212543,0.011534615271186507,0.0037640229720234254,0.010945310962709077,0.0,0.0073086727216499885,0.031012779138504875,0.009605085964037462,0.010239320884141407,0.006401336175215282,0.013013520893606488,0.01204638953403118,0.010980426538900561,0.013717628213494797,0.0165756979632814,0.0262204034500404,0.017795605487249497,0.006816892366587246,0.007225766876738453,0.003967404132407642,0.0063501738487674415,0.006884588570285333,0.0056459880756065456,0.0030872838020684114,0.004229647605240492,0.016411373808069007,0.03259151220723381,0.011604224155594286,0.00884992659955452,0.007200787359397007,0.003821598774219088,0.009126991901029327,0.006221292753502758,0.004259864951102515,0.011392050334467774,0.01381948115522018,0.005102875056554342,0.002761668541829859,0.037223657021561087,0.011506600604879303,0.006521684519262425,0.0075272681663756695,0.0073709927530789705,0.004948004527138976,0.008912511750886374,0.02075827991831562,0.004847146686771085,0.012620577847351114,0.009521585796453097,0.0035899818727408504,0.01545124537855203,0.004350603412734486,0.002921381698275213,0.00948331578466238,0.004363671117205255,0.007764364536634148,0.005312764086633377,0.006505087105336651,0.005737487345580446,0.007362341409421926,0.0029904589496898486,0.012711293445010124,0.015503518941612088,0.010389888153182928,0.005934419816201636,0.025161774731794418,0.02380919677896207,0.007550117042877289,0.010130776007794336,0.007391332648224917,0.0035874482956761568,0.006489483980099939,0.006425724276226141,0.009984082185076662,0.023793116190540375,0.006514982893876491,0.018415801428812655,0.007526984181594169,0.008187007822453077,0.0073560318739302934,0.00536741611991853,0.007125935774548078,0.011408071628372367,0.00868787996994269,0.005182020971161866,0.0064143382165262035,0.007645563643130155,0.01031996524501285,0.022819028898150462,0.006509177967409789,0.009220149359316173,0.011715953109763507,0.005769105495021409,0.008972951654644087,0.002722478363614032,0.006871413117582821,0.0048241256812744365,0.007727056565980786,0.0051032760052743525,0.03200161189110821
9,subgenre-theme,novela histórica,other,100,4gram_chars,tf,0,9,novela histórica,other,0.009729423543415673,0.010674128494396315,0.005194998610756457,0.004714603389414604,0.0,0.007001157218686727,0.026577091948044983,0.009412126696685336,0.009357604440989981,0.008238750382391127,0.019039260466101715,0.012929361352839312,0.010813680823348947,0.011428213875826357,0.015485010891390878,0.023153028011743734,0.015461301270676214,0.007046954200343692,0.008158493725234018,0.0073251848793233106,0.0032794594001186233,0.009341568021746892,0.01157684464302079,0.009967416151891593,0.009957674551860096,0.010686196907103058,0.025016806155469633,0.007330304295521099,0.00599636605854396,0.006851621477069775,0.005198052591413641,0.02459564187722217,0.007023601110635366,0.0151357456743079,0.00852645604026795,0.012387528712172444,0.004616654617664131,0.005365765258439023,0.030449041186926002,0.011626135490817719,0.007631079652984208,0.010763014270721622,0.008759113299468515,0.006929267456674072,0.005568162199706941,0.015727337379422963,0.005738965989137332,0.003256289187228707,0.00611913558365661,0.007107418214489268,0.009186009696437953,0.005369923322009608,0.008043027682031904,0.008694151385624155,0.0044446534836111665,0.018888908578566833,0.0032305839345679738,0.010270235313721307,0.010271250325727335,0.007120072602228659,0.0020969735299870514,0.01338420477563679,0.015395563718305234,0.005110261740157757,0.00877377873255059,0.02995462723625948,0.020852079722150092,0.011853924002166373,0.0077162731069752,0.008110244407903488,0.006420847577383471,0.005089568253069606,0.008946121315583524,0.01036925801685926,0.022238624021755096,0.012769865966520348,0.01217068929416449,0.006644201612962583,0.004136994415012884,0.006105548730941014,0.0037712062474832397,0.011978735530299657,0.0039386725823767725,0.007362291071654985,0.011311261524443238,0.004648507977178253,0.005238754866459302,0.007929168501747701,0.017876302666091342,0.004736396780538614,0.012530475392722324,0.007338335293516793,0.004864056824070825,0.007198296970861179,0.0104910912556694,0.008338686607454241,0.005488808211582134,0.010775684087654959,0.006880117682659977,0.01937564574735253
