,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,cv_call
0,subgenre-theme,novela histórica,other,50,1000,0,2,-0.30149743656576944,-0.38539639103034795,-0.5869036863102611,-0.9777339025047602,0.4606937423076524,1.1281972127752675,-1.3250173409326067,0.43174903087617816,-0.5617835602083613,-0.3667834297288642,-0.4281132268691608,-1.1142425077411389,0.4247249193230949,0.058812907959200286,-0.9726219641943524,-0.9212020305526823,1.0565702333516396,0.24778035188294895,-1.4650872794928376,-0.1500231291287744,0.12636588913499486,-1.5397010549834051,0.4380095778147181,0.3754015235428401,0.24333704828796066,-0.7335999269219653,-1.057298051736757,-0.7006389237515931,1.172616449901064,-0.5522502162603531,0.11335187444921126,1.1939956020564009,0.5200622634830928,0.0281714522302788,0.542556181149865,1.1821076515917155,1.5530581058582176,0.8852149379598744,0.21231666520921974,-1.1863110532435672,0.4395977389201041,0.6958501403214743,1.4161676523068965,0.08554618404511942,-1.3482520435564407,-1.208713801107694,0.2832183764491998,0.42578595672025693,0.2843206860152724,0.5854723966708517,0.0
1,subgenre-theme,novela histórica,other,50,1000,0,2,-0.03245986038690407,-1.1690994057291226,-0.2480074958489032,-0.8365441404725247,0.35955709920718315,0.7815181566868453,-1.0257512086573457,0.14283500200922286,-0.5335624753943673,-0.3618719184590218,-0.3437800221852745,-1.2448694779470602,0.20059611465901175,0.1417412888829324,-0.5865532018160808,-0.9029497891594452,0.8326211735896384,0.27261338663854273,-1.3878753409807818,0.021505774436166192,0.3665816981065651,-1.3402628829751315,0.17428023487719124,0.3160898606706489,0.4049383416503826,-0.2517829096805723,-0.8311549394569314,-0.7559548494376889,1.3100053249395316,-0.7459554641597805,0.3917353144347511,1.3874486193951958,0.4599027227975535,-0.07186420974541533,-0.179501600717812,1.2420445220856795,1.7060115469159118,0.865134560073014,0.21894638366327246,-1.1988482586797276,0.8049164253105328,1.1522320510393411,1.6056286679018812,0.08953933748037539,-1.1674931077535842,-1.2379635288072988,-0.05176793709710503,0.3773382012794838,0.017843895468381117,0.4261470558421899,1.0
2,subgenre-theme,novela histórica,other,50,1000,0,2,-0.18017325127113173,-1.2147925164315792,-0.53268972322711,-0.969888638355852,0.2665906205249796,1.3777163303931066,-0.8308843152241085,0.6473590021845875,-0.5811700055422371,-0.3811999849342109,-0.2716692981479849,-1.0747729546273952,0.4424944474841479,0.14947297916142832,-0.5861801529972913,-0.945942546047953,0.8969098351906075,0.2889586901632883,-1.34932885588402,-0.2798245566452666,0.2808647610228222,-1.8545836802516218,0.3636376593314757,0.3925692079277162,0.18735972906141693,-0.9750607732198476,-1.066021819446033,-0.7121675541088175,1.163251117000166,-0.4216482300507323,0.24843068479597816,1.4626085880709905,0.26440880186470433,0.0012953555947327932,0.44532389224323293,0.9798740636538152,1.8469047175124125,0.8394884721875878,0.35086272767789195,-0.8950061137570751,0.8291150815680808,0.7312277292145403,0.9279109686591313,0.09797137372419362,-1.3535456145856604,-1.2193829157144034,-0.02486413093586837,0.4357023336038839,0.2845224371012021,0.2908220118598128,2.0
3,subgenre-theme,novela histórica,other,50,1000,0,2,-0.12897586134696476,-1.386719066306386,-0.3126407678790489,-0.9336280175738833,0.4540912713801765,1.2204447603061956,-1.2196770658567708,0.4289787936003504,-0.6290004581669548,-0.3504506589696139,-0.10111247782551143,-1.1408004419792732,0.3838684394634148,0.052546875769479966,0.1790682888111061,-1.0410780512388034,0.9342068841691312,0.1997850819657021,-1.3534986556567663,-0.2360168126297291,-0.05315071711545827,-1.4742972495001752,0.15779688987556714,0.3915926618114291,0.2816546318428627,-0.5922091450608168,-0.9869148296667888,-0.6997612129799177,1.1494159014828602,-0.8311147391926801,0.047006702218198165,1.248368046909156,0.4426893912017598,0.012073728076050831,0.4767649607139236,0.9075653589576428,1.5548019739436056,0.8917622819627262,0.19429147274557929,-1.0798447971834448,0.6630778083276732,0.7480514434364915,1.4748262835154364,0.11395278850845975,-1.2492400350684365,-0.882059907779019,-0.19052078025904987,0.3980874582193474,0.29729083725455396,0.4788209721369897,3.0
4,subgenre-theme,novela histórica,other,50,1000,0,2,-0.0677051203114189,-1.3324199140780728,-0.4227363051320319,-0.3166105974740769,0.4428839046100063,1.0893704121206893,-0.913869332301252,0.4804845409928718,-0.6126103667685182,-0.2784782757808297,-0.33396852246997605,-0.9542937439340315,-0.2394676861318569,0.16369813567850705,-0.4622358985877722,-0.36743128120812696,1.1381981351932444,-0.4042646295321565,-1.4634401009151905,-0.13094923353871174,0.08391127780525565,-1.85950531570722,-0.44124025067108136,0.44637844375431657,0.14437608171894994,-0.30662965819565,-0.9726675960626514,0.032764682661349714,1.0097687427636417,-0.6260457609250829,0.2868658114962914,1.427536498128848,0.285421943897654,-0.0268012969146556,0.5543094666620367,1.1301762958561727,1.9955332369539256,0.765215147679362,-0.02734386673108499,-1.1706675793027137,0.6661467439433342,0.8752961820870515,1.394054158678896,0.05866863118719288,-1.388871626308111,-1.3522869625537206,-0.09698680460439738,0.4568058281695817,0.2502456814974908,0.3498241710397688,4.0
5,subgenre-theme,novela histórica,other,50,1000,0,2,-0.4879557200939562,-1.159497690006149,-0.35616798232831426,-0.9066402739358448,0.5537782198271408,1.075170679945728,-1.006260522030501,0.6300536109941629,-0.6503116947013512,-0.4506389051664066,-0.4568546710062215,-1.19983068443358,0.2786717539491034,-0.039144260195896605,-0.16722502415805127,-0.98555050737102,0.6532765431314653,0.2400477263124108,-1.4008347990213006,0.03124220706841996,0.5631522111474148,-1.5660000068734528,-0.0697937321445517,0.4472774848975702,-0.30930159005885793,-0.5229232516285583,-1.0706617886502854,-0.8633014183718576,1.1393816883134429,-0.5902193453380387,0.33588114261381025,1.2074187005446184,0.3583989317392141,-0.023217897770361904,0.5415736818510158,1.1386077592166373,1.7588871333931508,0.6442379389019969,0.27545038855747983,-1.1230961436541531,0.42919510582221454,0.9894960756796809,1.4401975463720087,-0.001857379491804557,-0.6537243653763111,-1.2105792975844594,-0.02788557752494737,0.44647868898414783,0.29459114140374765,0.17109300713989695,5.0
6,subgenre-theme,novela histórica,other,50,1000,0,2,-0.10835806276597948,-1.1810525859356702,-0.3955231564574623,-0.9133149619044341,0.5405556305976917,1.0497336947803555,-1.0616282094036489,0.5265604448989655,-0.6797781775269138,-0.3005219989656747,-0.38043054518689545,-0.9731291705659152,0.3016262213024635,0.2371360069114301,-0.4261560479720746,-1.0800629323853168,1.0104259115690948,0.21558086481066788,-1.2184941764069035,-0.2196140561186367,0.13851390937231234,-1.6220387914818164,0.17116423391093888,0.4519331319597011,0.1934725301755416,-0.31539993221183005,-0.9976212959995472,-0.6233061322357617,1.0721280910630573,-0.913273316041078,0.3969816124765958,1.263026761902016,0.22951272540445375,-0.1716251129924819,0.560639510136329,1.3164269828752269,1.6341843589506777,0.7818265258982883,0.21259016208663373,-1.0191169697335098,0.5268781457505138,0.4926284424376995,1.474851807556241,0.05445895177287206,-1.2041479338543732,-1.4093147571255082,0.4080177633842968,0.14747200831048146,0.5755927968423334,0.2779605187603045,6.0
7,subgenre-theme,novela histórica,other,50,1000,0,2,-0.278388345811519,-1.259026441595882,-0.39306228669224585,-0.8219996825962129,0.3662598920138023,1.0567883343233004,-1.1189197864310394,0.5021900665756749,-0.6339630812731879,-0.3072657373661227,-0.3814586874393723,-0.2465004284732292,0.5325195518474942,0.21426311954076493,-0.24118499014052364,-0.9783717595657024,1.1504603328727123,0.3957608262731985,-1.3511218340715525,-0.0748061282044686,0.036973660738363716,-1.5908016882939953,0.4866693566827351,-0.6809685767319769,0.3936168907903807,-0.4516402874076617,-1.0509449501627441,-1.0463606139227464,1.0589462334792479,-0.6166921224344314,0.4044644320203776,1.0591763920160624,0.5090365174375895,-0.16852011292962402,0.5517679051642003,0.99962954350607,1.4328874180489168,0.8027520388548808,0.2991900451898243,-0.8646940023375697,0.5298150211597793,1.0496356947019712,1.5173781631406682,0.055438354773985135,-1.2694161904167125,-1.1979675733515331,0.10127174916128866,0.3716728350963591,0.0700993182273004,0.4367563293527128,7.0
8,subgenre-theme,novela histórica,other,50,1000,0,2,-0.4734667200298819,-1.1387984408944316,-0.021312196652080208,-0.8353117049634854,0.40127535374968104,0.3458895683814654,-1.1403522715860348,0.7612823839605959,-0.5719047224193555,-0.4956626998442819,-0.42389367641166464,-1.040885232008662,0.3390242261605721,0.05198114356252055,-0.6182985262944147,-0.9164581827535032,0.9430061640496104,0.24314208527617076,-1.1356478127950138,0.09569244304787716,0.10194272289464353,-1.2117963319832612,0.04748027474455248,0.4673932237868583,0.3512663770135808,-0.47278349905801503,-0.9799161155670116,-0.7090447098468394,1.3319727327414346,-0.5357658889045367,0.26509880542650194,1.6213007159526729,0.2563957260660145,0.15438648132040744,0.6176487445600324,1.2408098521182642,2.0433147949570607,0.8022563031150687,0.2351914993635017,-1.1840616654112046,0.667984155286651,0.8679589471033969,0.931215916474922,0.12069804689737496,-1.39020477442198,-1.191322785986555,0.05400697494307105,0.3754400171416094,0.302868783158758,0.10395869629900037,8.0
9,subgenre-theme,novela histórica,other,50,1000,0,2,0.03433572009629415,-0.9889078952995002,-0.4985739165991915,-1.0194887434268372,0.5314099034835853,1.2065426229321856,-1.2287261005658807,0.5220556428372591,-0.7174870175386893,0.1468978524543858,-0.4845156665176945,-1.1308381278411457,0.4647109327119631,0.10194709529342276,-0.6981603008619855,-1.1133326620074755,0.94476432073992,0.1624947566598517,-1.321021920214617,0.09619761879361492,0.09639010661955956,-1.3634439659651043,-0.08249424801611238,0.5420866724713662,-0.01606860022275668,-0.26283590433748205,-1.0588249738292328,-0.7137448378162189,1.102493675411882,-0.5713379460365651,0.3361468296840081,1.0170410442427271,0.4919264130026574,0.07696661455876751,0.6253711800121458,1.0468073542986744,1.8247153583495173,0.8347609549228225,0.17703915817973706,-1.1379078178530238,0.6923832310196275,0.6137395098750701,1.4317152673202769,0.08270579177984695,-1.465871373884761,-1.4337383073430985,-0.0324140278544518,0.3957581347824213,0.27484100639936115,0.2856380321703594,9.0
