,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,que,ent,e e,e l,con,a e,nte,a d,s d,est,o d,los,ado,aba,a c,e s,a l,ndo,ien,e a,o e,era,e d,por,a s,las,a p,par,sta,a a,n e,res,and,des,a m,o s,tra,o a,ero,n l,nto,per,ant,com,men,una,ara,e p,s p,e c,s c,r l,o l,ada,s a,e h,o q,end,ido,pre,s e,dos,ida,o p,lla,hab,rec,ier,ión,esp,aci,e m,o c,cia,n s,dad,nci,nta,n d,enc,ten,a q,ció,n a,s q,bre,e t,ran,tan,r s,s s,ntr,l c,uer,s m,ell,ste,a v,qui,s l,a t,sus,uel,s y,nos,tod,o m,man,ron,ont,bía,ora,más,eci,ros,omo,ras,tro,r e,tar,e n,n c,pro,ues,o y,a y,e u,ese,mos,cua,esa,pue,abí,str,cio,cer,ist,l p,ter,ene,r a,aqu,lle,les,tes,tos,nes,ven,ver,cas,car,n p,ert,rad,o t,ban,e q,one,o h,a h,ita,mbr,sin,cho,sto,ici,a n,tab,nde,ser,cha,esc,odo,ría,cie,y e,tre,ame,a u,e v,llo,emp,osa,ura,ble,n m,hac,all,tad,r d,das,ica,s h,y s,cor,mis,y a,ust,sen,ces,y l,l m,ios,l d,ace,ina,gra,ren,ari,l a,omb,der,s t,spe,rar,asa,ere,tie,bra,ían,bie,a r,y d,ndi,fue,n t,ano,ond,a i,l s,ner,nad,a f,sti,lan,rio,cab,uie,ece,e r,ast,ech,rta,ama,ion,obr,amo,n q,ami,lar,pas,int,mar,día,ale,abl,tas,sal,y c,eri,otr,are,mie,ijo,egu,o n,eso,art,nti,qué,eño,err,dor,omp,nda,uan,n u,ill,rab,ena,oso,gun,e y,e i,s o,anc,arr,sol,abe,cos,edi,o u,l e,ala,señ,aro,ó a,uch,r m,s v
0,subgenre-theme,novela histórica,other,300,3gram_chars_word,tfidf,0,0,novela histórica,other,0.0012685285395834405,0.0012325349777302858,0.00395045101020204,0.0005185185185185184,0.007212002766085539,0.002023633325531234,0.0007690363029628881,0.005445524067515984,0.0009611616502419504,0.001271410005651497,0.0023824620103953865,0.002855851960464561,0.00384386359198221,0.005526920590282778,0.0,0.0005977771465891716,0.0025523626847629615,0.0009424762894444126,0.0026043314482632235,0.0008672992156001006,0.003102042516422412,0.002132439854881267,0.001652512462546833,0.0016716595834984115,0.000464210791523934,0.004775180603713734,0.002393735929383211,0.0020321487649989423,0.0028711502459155946,0.004107574653101969,0.00459194586483208,0.006983666434403367,0.0023994101087032814,0.0005890433096315452,0.0035487811606193164,0.0010440270828805786,0.004835974299156201,0.015099517520543882,0.004601740043821216,0.0031655198749181257,0.0073760374722373935,0.002153895342418257,0.002055195711433555,0.001056923193765299,0.0015425689746904913,0.0038397935846503617,0.0007855959554524924,0.0021251773165251635,0.006070687719020874,0.0009660010714414197,0.0005607120152574697,0.006315588736886617,0.005052637237008631,0.007524560997546353,0.007100314208618917,0.001734609453181749,0.001300395792244119,0.002318289839353968,0.0027865296123969112,0.0019435176984710276,0.0020095487587747656,0.00530707978942271,0.0029089156609110956,0.00025111607142857146,0.005057505988131979,0.0002790178571428572,0.0025183252303907005,0.0015195840941130683,0.0017039642822658664,0.006477237633631389,0.002028275688189805,0.001286638453070444,0.002023701298701298,0.0013871439496265692,0.0009239607529451835,0.0024371437945284393,0.0024605818865129107,0.0038140813201514604,0.003684473026650664,0.0011934404236053882,0.0031433231223053537,0.0,0.002371808759791217,0.0021895792586478784,0.002409545841783004,0.0016349643858415792,0.001996061698384688,0.0031294239711147243,0.0018889298073325861,0.001823834163644446,0.002321469609806493,0.00588596540888884,0.00214050025417696,0.007546514505484447,0.0,0.004362624775308849,0.006239172228858713,0.003564639516741736,0.0010620675062605676,0.0017364499811156448,0.011425730634907245,0.0029743929234956053,0.0,0.0005110199118407044,0.00026231419411250367,0.0,0.010924817487244163,0.004364912606376943,0.011428449599774602,0.0034368775505185818,0.003409377333268551,0.0024696094273944573,0.004382475973080243,0.0,0.005264047722545878,0.0007411522301228184,0.005479331625914884,0.0055673060168863605,0.0024457614017632996,0.0009535224220270583,0.0019749278616989375,0.0018166750077010432,0.004178121836256448,0.006334748847540852,0.002496703929642727,0.0009226105953356295,0.004140152342210736,0.0008378229089423267,0.002742496011043473,0.0006237901877041404,0.001590072724896922,0.006351127014684889,0.0023073476416997254,0.0066096713213156825,0.0016889040094134392,0.003058564482683964,0.0003063213589529379,0.0017304555028088795,0.002401883695052576,0.015039507738284767,0.01035197805036031,0.0006515610102494836,0.0016633120888690392,0.0026455814250408794,0.002736098686319423,0.002365592610353207,0.0022232927742286547,0.004892979181412104,0.003369540039903307,0.0011309754754878,0.007612706907743025,0.0036769094703864376,0.004154642753416071,0.00032705878170603847,0.00401088154711132,0.00427542348322776,0.0012910524188917726,0.0034817710824981457,0.001739315911567607,0.0006348235098235095,0.008532074032040062,0.0020873856716993973,0.0011618293442786317,0.014667391288212215,0.0014059817962943839,0.009190047239872373,0.006155080806944294,0.0014773742499832856,0.008979547068819628,0.0013834944863528459,0.005440202252339595,0.002799671397155158,0.0021345093844601357,0.0033033544763201115,0.0007672327672327671,0.0015267385062877597,0.0038090951940548488,0.0016467035017324627,0.0038444544613364107,0.001880460590841379,0.0023079677423530408,0.00031746031746031757,0.000956718145523117,0.003349305461335419,0.0031148867923734874,0.003422190156828133,0.005351374951913666,0.00393658508564388,0.002271756448091772,0.0033554059017010247,0.008386796352479025,0.0029020255483205625,0.0020590869206810725,0.0036710431743533557,0.002191443376845773,0.003190782553951345,0.0021789773825556867,0.0008829752536397828,0.007536116110421019,0.002375898548082944,0.0021699329886129444,0.009438836608681797,0.0013521031913201515,0.0006322413644665834,0.0030734416940736836,0.003843422752351827,0.006460860471092986,0.004680209024274558,0.007039436676753248,0.0015042266375599707,0.007829015226209234,0.014514851674660482,0.0002517482517482518,0.0024002073960813198,0.001943349175329426,0.007308608552335731,0.007831487177898278,0.001513347535554803,0.0006289703419348144,0.0011607353040086093,0.0030090237757649913,0.00239924490081447,0.001403394532610795,0.003027810972103031,0.0018715462847638637,0.0017156044554941941,0.002899594139267264,0.0025195387756241842,0.0012205309928345692,0.00248677515915659,0.01076886518426848,0.0052847893071363075,0.0006377551020408165,0.0009628923016467745,0.002437845701103469,0.0005430513337204135,0.0004731796085143019,0.000527746601820676,0.0030719236831566626,0.0005098141498447207,0.0010101787952661561,0.0014733992111646773,0.0029755709816385945,0.004276329111266543,0.0007126696832579185,0.0011919407752741082,0.0013624791295806457,0.0021340059924919363,0.0007511827399421803,0.0004033608020826694,0.007046999479284472,0.002522032567780952,0.0007068712537462539,0.0013536854808443124,0.004011819696549317,0.002976508748584848,0.012995701076491015,0.0022772910271622667,0.0020484840345875686,0.0009765036812537673,0.0,0.0036926283520423947,0.004833675831265359,0.003235110372090106,0.0027366336923765706,0.009762678688234798,0.0018604991131262088,0.002099961268087325,0.0028392041417177167,0.011987078927780996,0.0017311953800361096,0.027929444338436138,0.005519168650403219,0.00315621007542554,0.0020440614370325393,0.00036581352370826056,0.001199395476705502,0.002615374372591064,0.02028031840569993,0.007038400500888454,0.0035236113267027485,0.00022321428571428568,0.005579084119646593,0.003617690777434058,0.0019337390913923569,0.0008398873853419308,0.0002797202797202797,0.002429459531253046,0.00421101275101307,0.01514993922527177,0.0013418822368075562,0.00186319100678209,0.0024715595260003153,0.000994418444877174,0.0007898132104905727,0.0034082129520669156,0.003464945569906121,0.00365076783304835,0.0010638155607009894,0.001086213139155972
1,subgenre-theme,novela histórica,other,300,3gram_chars_word,tfidf,0,1,novela histórica,other,0.001045194844398327,0.004515808689452648,0.00032338911795618057,0.0025085306049410865,0.0027709021644818847,0.0010427001648427759,0.0020487248289381378,0.0029251681296840336,0.0013073238568269867,0.0005455877455877455,0.0010240301271422024,0.005626617806941915,0.003109168670903934,0.003350096817916793,0.0008286099190069902,0.0025632072472108456,0.0013317235629743969,0.0012807912063426763,0.003417553408841113,0.007301881044317525,0.003492117123156514,0.0003265306122448982,0.0015809778456837285,0.001945883292590279,0.0020558543392600677,0.00435868799942292,0.0013593462282103297,0.00031986531986531974,0.003531208435521186,0.007373383826844187,0.002041583995906882,0.010544857694197147,0.0024980047773475005,0.0002673350041771094,0.012409269881926574,0.001781469390799495,0.0029822461469998264,0.009705687441318967,0.007966464864588116,0.0018838414145796979,0.0015241447139196518,0.002359858802806716,0.0017823296001842853,0.0006298045753450033,0.002463208373025845,0.0010053581095631715,0.0014005737001994132,0.002214455954675182,0.00230894105894106,0.001249673080191306,0.0011319345966620054,0.0024799808647358564,0.001353755793110638,0.004508095847462994,0.0,0.0011282710450892242,0.0005782008854552488,0.0024821839775366113,0.003465829477506768,0.0008935445449400009,0.0016707228297792465,0.001666680427209004,0.005299027101280671,0.0030481750107128752,0.011717455262801808,0.0001668520578420467,0.004100943413362592,0.0011964193258645792,0.0028744168247113694,0.009017949752720363,0.00030413967896367227,0.003372956026761675,0.0008449521612295066,0.0017135193293329049,0.0003017241379310349,0.00032908268202385885,0.0007705503042348294,0.010457133256912032,0.002849788154909974,0.0008707696221142692,0.0041152144855270524,0.0005000000000000001,0.0028637013626377815,0.006489255019013967,0.0010973429874218837,0.0006001667129758266,0.004833269850896654,0.002722609152559139,0.0,0.0019887400012459687,0.0011831853647487791,0.0023358418112994967,0.003258116344719332,0.009932363161422259,0.0007535513437611339,0.008043935101428224,0.0032988011139567105,0.004272867801902555,0.004044516621639413,0.003652604508341159,0.004231668769242547,0.0014905634449424929,0.0030729873089162286,0.0005899951552125462,0.0050448515898371005,0.0011095519063418643,0.009145619163095264,0.0032382863877298764,0.018749587184276148,0.006452312151952766,0.004212492266134788,0.0006183894230769227,0.0036847104613895,0.0029648935236534515,0.004839936589165927,0.0039806925090244746,0.0012429112788385711,0.012241164441656934,0.002693556278691417,0.001699606027870925,0.0016067839045055625,0.0014179684892134986,0.004171133731679297,0.003529505856771695,0.0025809318241453998,0.004372667119570958,0.004976536932248612,0.0004197532159733345,0.0011246245500910574,0.0020158326954805568,0.002135796908356995,0.002013808835016009,0.0024403744883908017,0.0032346166848859804,0.0011106558007818513,0.0028671654429566072,0.002732809404154433,0.0021494342206147764,0.0011693454620240618,0.009431994131404647,0.009065768804672776,0.0037414445157169306,0.0020622401300579352,0.0032206639244611733,0.003104863963927758,0.00031250000000000006,0.0021960165551558604,0.00559309104803704,0.005196606584739094,0.00031420532617941504,0.00635941225807174,0.0017992372260053893,0.00586500794525981,0.0008000000000000001,0.0025277405909232627,0.001556252622897669,0.0028693463559031174,0.0013008437585674832,0.003298424874662995,0.0031136696351763095,0.009285699770616513,0.0,0.002772511191523534,0.018942263438130005,0.001580405849962765,0.014193185323636273,0.002514853153983648,0.002572622619827067,0.0038266246067212993,0.005921790007399183,0.0017380252787926648,0.0024639782076153766,0.0009022556390977445,0.0016063931566801348,0.001767638363703107,0.00031385152222960974,0.001953672614784657,0.002342433924689062,0.0010967242609006866,0.0010163471908678418,0.0016086366376835278,0.0006423104956268219,0.00408626458649094,0.0005735720239749136,0.0025101852108705123,0.00750559053161222,0.0028449210172705173,0.0016666665668839487,0.0005311940213022708,0.0026422461609778634,0.00505166860903256,0.0009500289097376265,0.0040992950971431115,0.004428230994004755,0.0014520100072429735,0.0008207242888990666,0.00260116952740628,0.0017387198877720444,0.0037169512454130697,0.002246143266803245,0.0028771118443414036,0.002694336502563338,0.001979225131761655,0.0011227856526537746,0.0006035318892828622,0.0006379455807905182,0.003153834977677529,0.0017879443438018965,0.01200007544208205,0.001674702791026268,0.008669416391866046,0.0197188255508254,0.005403517779755337,0.0003240740740740743,0.0015299866424866423,0.004046528704934838,0.004277368282467489,0.0012418239440298263,0.0023954379434005294,0.0,0.004013933160844595,0.0016892132949968544,0.0,0.00587656420209561,0.007097661514321157,0.0036335709336562717,0.0027986722167593885,0.0035816286844015687,0.0009291956601026482,0.0027636421613582256,0.013365578896482141,0.004017967095107747,0.0034632622805696577,0.0010388120692053165,0.0017009623312121338,0.0030140556122439975,0.002198134448998947,0.0014261984079407136,0.0009511582143227887,0.004881599669028142,0.0036418800994196874,0.003831910909217233,0.0029412147158474834,0.007563786213742358,0.0014960622843397963,0.001363713209867056,0.0017897932521679827,0.002116138059135433,0.0015901304325205846,0.0044453985382929585,0.005718976571998458,0.001506264154065364,0.0008192978498491412,0.0021935873445991616,0.0013701083736481334,0.003058228090485927,0.007547654848649407,0.0023696392977419502,0.003107031246931464,0.002120014098370061,0.00026951756377593716,0.002521535948708347,0.003181822072993941,0.004527795656662664,0.004003658277061439,0.00727296207281962,0.0015628181278850755,0.0005490813533897395,0.0,0.013315596266117868,0.0008354218880534668,0.027261844511276397,0.004026478406891464,0.0026088646441433574,0.003234074838528766,0.005223368622380415,0.0012927090623617626,0.002055067714998161,0.007101635005028004,0.004232430618149649,0.0036938675882796004,0.004316047679015998,0.004150404622193509,0.002695979998742524,0.0004682817182817183,0.004076077360981054,0.0032319317316574707,0.004349869497515091,0.002187992024417085,0.011605592795196124,0.0021133710317961713,0.0005958039943985716,0.004565060572126298,0.007309332821193841,0.0013204649164505098,0.002814284290102575,0.000993426216640502,0.005848161905183608,0.0012348141531073288,0.001739670929198681
2,subgenre-theme,novela histórica,other,300,3gram_chars_word,tfidf,0,2,novela histórica,other,0.0006132324132603152,0.0016682405272106656,0.0002500694637399278,0.0023426786432882464,0.006948829604310432,0.003731489768769275,0.002341463414634146,0.0015703497809541561,0.0012145363408521304,0.0016598647203178549,0.0027661436514620345,0.0036765961209810462,0.000904253641095746,0.0011306212590525286,0.004018239092271688,0.0009205836139169471,0.0017096914307464922,0.000506456195903474,0.002810910297082675,0.0016016989139375315,0.0005927298293983103,0.0011646032622393983,0.000453058258621726,0.0018489712034967221,0.0,0.004705046680136395,0.0015513922872438337,0.0,0.0016369621019078576,0.011581647800141067,0.00258953083772617,0.010507674645594711,0.0011407092907092908,0.0013344354720889384,0.017013561610103343,0.0019920546677081362,0.003534776893372332,0.006123430634891311,0.012099805205788676,0.0013596151863415292,0.005458943488362663,0.002967796338456071,0.001543189148809549,0.0009593549866814544,0.0012657500178086234,0.007656429658194484,0.001053174673661187,0.00224298741105429,0.004920217828538126,0.0006167701658402458,0.0009013519078477449,0.0032630122110207703,0.0015435483180398666,0.002611579599942268,0.0012645900548518912,0.0005454327721392255,0.0005601851851851848,0.0033615037968651733,0.0021155813223029283,0.0026509247785020044,0.0015934935833257842,0.0016019620177199854,0.006135212674290441,0.0010977848321876837,0.004025537266319397,0.001632864477320777,0.0017932259459491134,0.0005922077922077922,0.00567130726639877,0.004020669108843224,0.0001714285714285714,0.005057713367956628,0.0003160571221007349,0.0027969750884246575,0.0010891914420672409,0.0009105983530535958,0.0015079754286705658,0.00434474868533664,0.005989193635233092,0.0010259765752797224,0.0007227815637641106,0.0005594405594405594,0.003260578836029554,0.0027816811362321213,0.002133379132034822,0.001463906942773966,0.004670286235138782,0.00032267027579345497,0.001533193298951552,0.0034985921168374317,0.001929582051169904,0.0035708991388996914,0.002539625919400484,0.003330597373158265,0.0012034654531339539,0.007856000177994652,0.0013767403566489367,0.004665966900027307,0.0012033046218942486,0.0021319159934443262,0.0009166655594570671,0.004422133765019328,0.0008615914551861728,0.0011308606799520708,0.0015175976619832363,0.0,0.016992573127043286,0.001938755615842797,0.018329103822980197,0.005037308292388845,0.004061354530490344,0.0023973461770458696,0.003995194994975566,0.0018357343883497858,0.0018463934755578075,0.0017107180830288262,0.0007518796992481202,0.012103895030252854,0.001142563381817921,0.0007352941176470587,0.0014350207904274854,0.001971398971590274,0.0010853878998388522,0.008127231308655095,0.0004505773021684031,0.0013380221254698202,0.004597891837626645,0.0010134274905372422,0.0012890407510050385,0.0008070578707984139,0.0004967788209903264,0.005173000463109822,0.0012423478307276436,0.005332075916588845,0.003558311774232198,0.0011780440435710327,0.004886769425602498,0.0006125233238759808,0.0036208215189699345,0.014023105340690121,0.014638499456739453,0.0011711083747211013,0.002112181121201411,0.000969595314624087,0.0004439746300211417,0.002678487810842727,0.0001568627450980391,0.005815545545773355,0.0017651983897097356,0.0017719506370822164,0.010812663908167828,0.0012549528807025063,0.0034002541458169775,0.0009652932246363764,0.002348691601822287,0.0066612830201793405,0.001782908543800868,0.0003087003087003085,0.002324021289784138,0.00159374041465254,0.00432397118410001,0.0005423292987407731,0.001966899412058182,0.010314969992554683,0.002359458639152238,0.009449994707445465,0.004517098957096562,0.002390486873635965,0.00025000000000000006,0.0025539643757356203,0.0022146193276752968,0.0006404120457921985,0.001526704623512742,0.003733378603719691,0.00029341293047433387,0.002000542332852648,0.00187714277823975,0.00029296875,0.007645943142802942,0.001346718613233212,0.00428753615984362,0.0009815050731294826,0.003986294572279005,0.0021683426971696087,0.0026531282614715513,0.005821127157801729,0.007674148379322903,0.003553685666524906,0.0011014100296358358,0.0042592196791783185,0.0077776188150249555,0.002277727181124986,0.0027896588619590818,0.003828454592917907,0.0032514403012964144,0.00032882718304713183,0.0007904779779779783,0.0,0.009075744148694376,0.0032366244805450126,0.0013476853899454515,0.0045257730443368765,0.0016944524075484585,0.0021336685215391947,0.0009063013754170326,0.003015544165375665,0.00307452786523846,0.0010996500620937134,0.01847998614687489,0.0019383294395145631,0.0072904318072302965,0.017685047705667357,0.0012539370412190107,0.0024769738335312015,0.001242756520688734,0.005495368617356593,0.008546566736380646,0.0018928838347156635,0.001979639972948243,0.003323045456294056,0.0042986043938140085,0.003959918373533044,0.0015526482606018671,0.0139190106740207,0.0003235918697542722,0.0012277858439973905,0.0038912966774648167,0.006190962018130951,0.0006212894323031989,0.0023056824412147243,0.006977119361092739,0.003323930100764294,0.0019371416937810399,0.002020232411856058,0.0022239714705770187,0.0024441672552592826,0.0018706796427309864,0.0002500694637399278,0.0046271212325566,0.0022012838884327797,0.0005093215937227374,0.0016650497847736816,0.0035301839227244638,0.0037883149492597508,0.0017384918049642953,0.0010906399782639406,0.004555052835417335,0.004211161606313224,0.0005602444644541858,0.003882550755344871,0.009935715576094668,0.0015313529702973858,0.0014886297118937544,0.007002711066938398,0.0028510129917854793,0.0020551974896730607,0.008212131486521902,0.0028560833073435154,0.006576448572162613,0.0009551205190804746,0.0006126608593522426,0.005945942317414283,0.007582417727612284,0.002617016522979881,0.0016634115349700885,0.012054534156887287,0.0034949976051989657,0.0016810885572885986,0.0026457130974798164,0.010003000177035624,0.0013436435513272595,0.019931442471641164,0.0033237011155161492,0.004894672721083274,0.0022863482251623884,0.003493571527458996,0.0024787973608654235,0.0033618207749476214,0.008047576763705743,0.006516264586940181,0.0014532981127658344,0.0015771369898177458,0.0027951712502970287,0.00629767374388826,0.0018131900281720098,0.000816688343173326,0.00402569716856497,0.004045664440586876,0.005103377691485319,0.01057808637833231,0.001353146025517231,0.0,0.006633284612180548,0.0001683501683501678,0.0016048866692554395,0.003993902333251333,0.0016750389320322478,0.00022624434389140267,0.0033534549934921497,0.003669884704637259
3,subgenre-theme,novela histórica,other,300,3gram_chars_word,tfidf,0,3,novela histórica,other,0.00039616817410799876,0.0036874378099581075,0.0032656858322044294,0.0003031145015029428,0.0009032985550468235,0.0050285723422621754,0.0032483652087767255,0.0013861000279793284,0.0,0.0,0.0024615306046745955,0.007172377980966992,0.005128055650068746,0.001868417288347858,0.009809945342208574,0.003689029528854356,0.002938014854649447,0.00031265031265031274,0.001657258878249023,0.003991447031562043,0.0022624604103589118,0.0006989595875397486,0.003028156588312716,0.002313264543950882,0.0034856629092318387,0.005996233395690229,0.0024887943925790868,0.0005190952910641452,0.0031809808728845658,0.0025600814504559716,0.001079840380330913,0.006417598553788552,0.0018368125441809654,0.0019417690562964786,0.01415660448208746,0.0021694462590165164,0.002682078974122264,0.009199849503508538,0.003507994353286656,0.0010997596610145882,0.008549331764932186,0.0002805836139169473,0.00042725195124554443,0.0009000299249268697,0.0020749077849205985,0.006921095114009758,0.0019056221990215215,0.003787266454705811,0.006036111803223181,0.0005768541843383679,0.0008696755388027071,0.003482972945730784,0.004005701812516786,0.006548685573241481,0.0060846545463874345,0.0,0.0005115089514066496,0.0014141414141414141,0.0019950049597020677,0.000577013013258816,0.00725306191108924,0.0017345488893639146,0.0024552736668869563,0.0022361146578357425,0.0001593035102343246,0.0022033263880760156,0.0032174771928749246,0.0017355360076065482,0.0034836708916048315,0.003952491247786047,0.0020827786242702206,0.007049329414557583,0.0,0.006374953111806918,0.0010209094415818498,0.0021377489152842977,0.002634345126242194,0.004598114530949764,0.0007889449729811065,0.003583804198026694,0.0005023218508445887,0.0003131538806130949,0.00022228396776882464,0.004642009252449001,0.0033450062716597795,0.0005239335317460312,0.0019011242975806985,0.0026582685849700026,0.004253325819108562,0.004459115538495195,0.0024319212581911743,0.0023116307388834105,0.004381020855289262,0.007177860289268896,0.0017965161277290922,0.006548076378225427,0.005386046150637598,0.0031518202910094124,0.0013957851920137093,0.0035025302805374707,0.0008076199401426669,0.0022407600134801047,0.00031560382437575426,0.0004927355362444658,0.008411105020751819,0.0008049375762695953,0.015427169552965756,0.0008277327104925418,0.02108464340285478,0.005985976998569077,0.004947207507841344,0.00129645728383473,0.008369567536869132,0.0012095492933586465,0.004512619304887979,0.0032528287430432967,0.0002841716396703609,0.013213508604190731,0.00030759639681833935,0.00040044493882091214,0.001398383534700172,0.006004334978253459,0.0009684830011071145,0.01297170098584768,0.002415497160661783,0.004143558731765842,0.0037823746243077407,0.0012611010538059824,0.0,0.0008520885431138278,0.0004865551858167383,0.001308405928632585,0.0019382695316266753,0.007383676496383861,0.0006076195773081206,0.0005246585751240044,0.001396534080648506,0.0,0.0033056894251528783,0.008694150116230832,0.01710594453252582,0.00027149321266968317,0.0028708592239256427,0.0010515888751526923,0.0005728881305714598,0.0007999353587588883,0.002176725930049123,0.0015025058776709137,0.0020012401726450845,0.0014926215904495915,0.008827219722168536,0.006019199986708695,0.0017791080237348248,0.0,0.001994954408798816,0.0025749274774649247,0.001424574868183891,0.0025644409145717433,0.0015635808543205648,0.0010781209891332249,0.0037261062674336454,0.000534449726433431,0.002921807625407757,0.01500775177412399,0.0038191997174057777,0.001180487224291369,0.0042542130840550335,0.0036552539448296197,0.0021409705936733118,0.005922453025356821,0.004688188183655376,0.0012276706442601731,0.0021232485115762582,0.0026290572530453097,0.0,0.0015860350454281308,0.00027642636001769125,0.0009326726901777907,0.003979914055504113,0.00032317636195752585,0.001479898765760479,0.0028082325675134077,0.0009621667215664897,0.006456075647444503,0.00440680254659886,0.0054581066584789735,0.003395843509665676,0.0015799236324598649,0.0013950532838922244,0.001820789866608759,0.01060454548029675,0.0014569378269140795,0.008684969739499497,0.0013421608978942384,0.002772067778778583,0.003958968394266077,0.002337524186813716,0.00030777780152606483,0.0013284301542233288,0.0031050672404587063,0.0026711300468010594,0.003447561260889251,0.0020353068390550305,0.001290768009813671,0.00026785714285714276,0.0060155202043535635,0.0019442966788635965,0.0038080154615194213,0.015961608694648858,0.0,0.0009489278705330775,0.020018461890040324,0.0005198180636777127,0.0028462328199165437,0.0028331948436112297,0.004189803550698807,0.0036866097454803736,0.00249415402738999,0.0003279503105590063,0.0012575864346050685,0.0015690221135050185,0.0007984067546996609,0.00361144006549435,0.0073303592076244106,0.004951756996490472,0.0012381737962076265,0.005607148138742544,0.00312118089629714,0.0,0.003732837859733927,0.009831588748654063,0.004626225365047202,0.007287528507711223,0.0015332022522312832,0.0002500694637399278,0.0012573830380291772,0.003301070231311532,0.000825593395252838,0.006640299407602196,0.005293496495664598,0.0024117288624250833,0.001535369326422397,0.003624518269484831,0.0019278180217039418,0.0012760416666666666,0.0007879857654461016,0.007011607441482234,0.0008494949494949494,0.0,0.0007395382395382395,0.004560503964665013,0.001370695037654632,0.0001668520578420467,0.0007521966437308885,0.006733201453078792,0.0040055466130769005,0.005125894495851014,0.0009278444842470231,0.002020606833933969,0.0004094116134838463,0.002280758737262552,0.005795438168981624,0.0015637196953104066,0.0028873697986872325,0.0009234633042334286,0.0052219796981030795,0.0024234965973695334,0.0025940234325956325,0.0008644930576059323,0.013539057260414007,0.0013377497527568925,0.03258130039144725,0.0019512065711672364,0.0015176502640717278,0.0025859114933941335,0.0010092127820443386,0.0010270774976657326,0.003480753564150607,0.010249118322100707,0.0064751933979418485,0.0035100625029095968,0.0008735828523533079,0.003521863344778557,0.0008756087065416728,0.002232095267934228,0.00399870713390031,0.0021824062251673214,0.006158226052870848,0.0006220326672335607,0.0015611468372158982,0.004412072295020383,0.0009957157100407882,0.00945533694288701,0.005950054693409673,0.0007181697612732098,0.0036765846103211574,0.0010265352694481893,0.003304772850220148,0.005528909916597102,0.001154217967943458
