,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl, a e, a l, a s, aqu, car, cas, com, con, cor, cua, de , des, dij, el , ell, en , ent, era, es , esp, est, fue, hab, hac, la , las, le , lle, lo , los, man, me , mi , mis, más, no , otr, par, pas, per, por, pre, pro, pue, que, qui, rec, res, sal, se , ser, señ, si , sin, su , sus, tan, ten, tie, tod, tra, un , una, ver, y a, y c, y d, y e, y l, y s, yo ,", co",", de",", en",", po",", qu",", se",", y ",. — ,... ,....,? — ,a a ,a ca,a co,a de,a el,a en,a es,a la,a lo,a ma,a pa,a po,a qu,a re,a se,a su,a un,a ve,a y ,aba ,aban,abía,ació,ada ,ado ,ados,amen,ando,ante,aque,ar l,ar s,ara ,as c,as d,as p,"as, ",ban ,bre ,bía ,cia ,ción,como,comp,con ,cont,cuan,dad ,das ,de a,de c,de e,de l,de m,de s,de u,desp,do a,do d,do e,do l,do s,"do, ",dos ,e a ,e co,e de,e di,e el,e en,e es,e ha,e la,e le,e lo,e no,e pa,e qu,e re,e se,e su,e un,el a,el c,el d,el m,el p,el s,ella,en e,en l,en s,enci,endo,enta,ente,ento,entr,era ,ero ,es d,"es, ",espe,esta,esto,estr,habí,idad,ido ,iend,ient,ione,ión ,la c,la m,la p,la s,las ,les ,lla ,los ,mbre,ment,mien,mos ,más ,n de,n el,n la,n lo,n qu,n su,n un,ncia,ndo ,nes ,nos ,nte ,ntes,nto ,ntra,o a ,o co,o de,o el,o en,o es,o ha,o la,o po,o qu,o se,o un,o y ,obre,ombr,omo ,on l,ones,os a,os c,os d,os e,os p,os s,"os, ",os. ,para,pero,por ,pres,pues,que ,quel,quie,qué ,r a ,r de,r el,r la,r lo,r se,ras ,reci,res ,ron ,ría ,s a ,s co,s de,s en,s pa,s qu,s se,s y ,se a,sin ,sta ,sus ,taba,tar ,"te, ",tes ,to d,"to, ",todo,tos ,tro ,ue a,ue e,ue h,ue l,ue n,ue s,uest,una ,y de,ían 
0,subgenre-theme,novela histórica,other,300,4gram_chars,tfidf,0,0,novela histórica,other,0.16435628432520943,0.21239703115080133,-0.30014579935692043,0.5226997817592515,-0.29830220792067297,-0.16819870919677504,-0.42000202094569566,-0.16500167620003714,-0.7683080400187713,0.03651207123203293,-0.1494656393319158,0.10466878507091637,-0.35507069437737737,-0.2873967148281636,0.4512981954052398,-0.23155232087302435,-0.0842791686455382,0.031058947045668528,0.23886549146095104,-0.9879776646947456,0.31957823905413163,-0.24442929889605913,0.02789383984768129,0.5494204629396603,0.22405976259353177,0.1624992226082977,-0.0050476551947515325,-0.41234777258295807,0.27000837005476863,-0.08985987787542388,-0.28333750024028226,0.32408282204787137,-0.02880688476544707,-0.15893500375459235,0.0881722710544357,0.585759508590151,0.139244911715951,0.16665521941388162,0.7465954818315255,0.4976389041455197,-0.05449994184522222,-0.2648341885604829,0.4884392489573771,-0.48488282982110326,-0.1428695161096447,0.10131195571818175,0.13386517668123138,-1.0068642764818545,0.44020388776618175,0.12520783199416996,-0.09800099577739474,0.038556103890004884,-0.21515028870728792,-0.08748572278328515,-0.24236785999500204,0.6913832709018275,0.6955016807523614,-0.4535191371558575,0.7314204370560118,-0.07375101939877626,0.8651902652080712,0.2461965566670664,-0.2736883160619371,0.35586907013802593,-0.04705679050033701,-0.15249829908576845,-0.51739503917799,0.03883537096851919,-0.14597251540242842,-0.1430465252073259,0.09102242708288544,-0.05993379114226022,-0.22048071846815648,0.46244391847011707,-0.028279631687620245,0.38214850987422844,-0.015865487480079182,-0.4431561875648217,-0.6384966715490323,0.6788826601058683,0.07548272410314846,-0.3521974366520396,0.709973197226242,-0.28493069689405714,0.33526589696393877,0.15911585586473798,-0.011105485731461417,0.19114833398223408,0.23264598677016324,0.4249353509447304,0.005466933336166713,1.036648955898584,0.14676887330272914,-0.23120951667812806,-0.14059491602740337,-0.3376406238731342,0.20164175775642534,-0.28808237479960835,0.15224048407227664,-0.03229441309768316,0.1323625619852309,0.16798514545015397,-0.1150394633302439,0.2300576679921249,0.2521981496359822,0.15953160649786313,0.3271586518451415,-0.5226709985298221,0.07387688346879884,-0.17611712222729964,0.2575660860802682,0.29555831891771156,0.1377315758435702,0.5057387659195995,-0.295163316677453,0.4703061821826917,0.3110249797933252,0.22836869990407505,0.47282914374753304,-0.07729138526051932,0.1618905753812937,0.22996809171658256,-0.029467924975937587,0.05079896804591422,-0.3756051573690238,0.4283834346731144,0.02971599075110376,-0.14938032567052317,-0.029306027968682646,0.2983890602803097,0.6350642411459917,0.121043729958705,0.4317499643344176,0.11560341116103273,-0.053057717301252416,0.24297708442884758,0.3467199250065236,0.31769099079152685,0.5099248807794725,0.52761058729786,-0.08295155173201874,0.1235773545795984,0.28154438797793074,-0.032370402949790045,0.15156326183985003,-0.01919269815603647,0.6866068504115637,0.02459521858117117,0.06985748589067292,-0.18328399432968667,0.38008716448649094,-0.3259497474668206,-0.07579638765514773,-0.03220660395556124,0.162078552335857,0.49786729694328324,0.3361396002652445,0.33227611902477516,0.3742816573921552,-0.09460705226184363,0.4043983482903498,0.10825327655044847,0.038938802650491766,0.11825562250484412,-0.34129885928728043,-0.6932691302056921,-0.018251124194044843,0.5436921721528035,0.6585605441378473,0.1029718082540853,0.38618272018482014,0.8988183420648963,-0.050503352911863475,-0.33977240994575475,0.33118724351691947,-0.32027326666689243,0.48898509808696927,0.19884710337402367,-0.6358095064727153,0.05131868616512769,-0.20853963952622123,-0.03737931832976338,-0.05591886271925178,0.20094471339331027,-0.47494162780119975,0.1111229487428459,0.0807317287811633,0.05534942655605579,0.23013768768616116,0.6549558081865166,0.4520789529345863,-0.4184532030393957,-0.11661815996028402,0.03231926629413939,-0.13783242945336938,-0.09461550022212084,0.9871278410873705,-0.17066230572869162,0.12064623643038891,0.24989446311464333,0.0585832688523267,0.09525957295073484,0.014532045563506707,-0.24127288325352492,0.08981657487811956,-0.07871599940257823,0.16550783180053752,0.19023592225189445,-0.7659736264451984,-0.026192260995694827,-0.06813489564161851,-0.24521290428880782,-0.1878431140155471,0.3530310369975788,-0.042828255808119,-0.11546842644909883,-0.12869020447146495,0.23407545375701844,-0.31872536305388416,0.17943578384118997,0.10432955733491106,-0.5748109720894917,-0.33647289059804864,0.33584362933149403,0.5674701996667189,-0.17132576350923423,-0.09272806275410231,-0.4455304866280353,0.2846209360006462,0.10813622033332981,0.6877050975904728,0.11135473623094216,0.2094017432352825,-0.3372590205043928,-0.37900354291244887,0.23014393176352876,0.055417951012912636,-0.046206074804790886,-0.28170885102693294,-0.22821921741283702,0.4363458456603314,0.23226763191063665,-0.2607840681224969,-0.012198813099958017,-0.21221121135319798,-0.023751972926711606,-0.12324248222661371,0.012751760034182047,1.0466389737623236,-0.2179944425942415,-0.23839040134939088,-0.5136125583287101,0.06325629575785863,-0.2555837266363644,-0.004007374167060096,0.29103326950827213,0.05691737120708096,0.9196992393017376,-0.3944050410347061,-0.46837736369253047,0.063959192180428,0.6254078163763519,0.1976507264150711,0.30813712434162377,0.04408506750957253,-0.5053385413922746,-0.31019777690092987,0.13801506766557858,0.19563323206462857,0.3174951206754464,-0.34617556755558937,0.3434838238448301,-0.1886083672178156,-0.7330121145181189,-0.06939714498094957,0.852005475198574,0.19800062078182212,-0.2743017681887176,-0.45014341973714256,0.4640514669478345,0.48446323701685234,-0.028214421600940787,-0.10396710067840931,0.20091338332616854,-0.04944920097403738,-0.6180853059818359,-0.09969745538760683,-0.15186957225550235,0.13176054759144118,-0.30421148513159824,-0.5748130769367045,0.21297970924345033,0.23185757407354035,0.8024495314174462,-0.14161617390642356,-0.20820683274444196,-0.41046899606916964,-0.2538496570729152,-0.5292060306584998,-0.6525506880271703
1,subgenre-theme,novela histórica,other,300,4gram_chars,tfidf,0,1,novela histórica,other,0.24928156557219627,0.35118227267268654,-0.04244082637324842,0.3410201941238179,-0.13334634318948968,-0.3440759836020697,-0.27662319097907284,0.06037203240269856,-0.5983460119305972,-0.0491006225037805,-0.06310120558785814,0.06870377877276437,-0.18218898867553018,-0.2346279359673783,0.3518949608324039,-0.31897964731209016,-0.0519935318298147,0.0443044706878489,0.17533473386972748,-0.9610387031912951,0.28347817806407755,-0.48281446326991384,0.07501794548844698,0.49195843024181973,0.19222555670120056,0.21919716365979972,0.09013584760709187,-0.26698030320455163,0.21808257041397666,-0.1033775723737338,-0.2545555847853712,0.2756106693913245,-0.0539957386385006,-0.006105666544123006,0.3042187032986786,0.4295278146770399,0.48850617094850457,0.09054317213254515,0.6541131944393859,0.4946500407359957,-0.06255220533446154,-0.3032882192581655,0.6255167495366013,-0.4099307736222845,-0.10878726405481287,0.13259593025087435,0.3793677752745429,-1.067258445542603,0.29825279720792175,-0.32502348295590267,0.21812974524922668,0.16715063296855054,-0.1808255168059042,-0.13603217506108,-0.3279698685875446,0.6247387935972775,0.8126072223287879,-0.2653725242387387,0.6393744098880426,-0.24681710176396782,0.5660709047033753,0.29942164589131404,-0.07687515362348374,0.21961640916784547,-0.22831590835295673,0.016363857122502518,-0.4737248227238107,-0.039887707328488176,-0.07847390543068378,0.013497295839054,0.08637958556089964,0.2361462940927511,-0.05796030196372303,0.2813577511732007,-0.06912689085680578,0.2979796402747459,-0.2064020650391087,-0.4058402039846315,-0.7085155108344012,0.6819390493142283,0.12978046446849378,-0.4897388423473407,0.6621992519397899,-0.5728525919402296,0.33998509614701866,0.12152263229909954,0.05944923758694326,0.244121116969575,0.13314918031329015,0.3586344402639343,-0.2444226378337873,0.9351403826830048,0.16085291941101354,-0.2534959447138362,-0.12724777347110733,-0.6913284788370161,0.13005724749739636,-0.0728180371920776,0.2304830134709881,-0.19087689652186451,0.11759458059293848,0.09751080360090886,-0.04461125971974039,0.32729553174356196,0.2846451790530423,-0.011353649551160028,-0.1253204139778939,-0.8937237335697867,-0.16319810353717357,-0.19138704744209756,0.3595191378839519,0.19701927268691657,0.23536210875390268,0.6025882804389593,-0.3471579714795352,0.42454568660617464,0.4663196146825662,0.13618307072060554,0.43878112261390406,0.018538192092085043,0.12671255168372036,0.25147722765580816,-0.2366292998100865,0.2920779048423758,-0.23173190616963396,0.4083221693540361,0.2698211018410412,-0.030731338496152005,0.06680049523235404,-0.03988817831801553,0.794641959795205,0.0064550353846851705,0.41783651129128685,0.17726126137056392,0.14293224741779292,0.27130489085335086,0.33919293061422834,0.3457185491086486,0.5490550242448573,0.6436306832547983,-0.014682845566804686,-0.04160606522437482,0.19724496259182284,-0.11341166127305027,0.20763306780550952,-0.06349226620891585,0.7873742354087401,0.3285324880819829,0.16669233995871158,0.18083347583153048,0.27959901713077717,-0.2036440092289994,-0.042779349863308,-0.028801413698978262,0.2169255616854412,0.3319365484687633,0.38340710799764227,0.15919432892880475,0.10758647302111646,-0.0610699103139023,0.25881230273002126,-0.10945488516573676,-0.011256129981912277,0.298350005518599,-0.24829355059620534,-0.3515094437547351,-0.1945832068094064,0.6529825786371695,0.7296516851182435,0.13210780927955484,0.321320808699914,0.617360106100624,-0.3418876984039222,-0.42552437780741725,0.1629902986870368,-0.2553302016740514,0.4060163480162551,0.2237250688597968,-0.604168768938598,0.1456069415276749,-0.22482783128542394,-0.22470591935898737,0.06638503387345956,0.3561027263054102,-0.402804615175728,0.31256960323355354,0.3917573548286325,0.10025235726461315,0.3736081056023077,0.4277296942540987,0.43329678545889816,-0.5090985994533572,-0.284299451307393,0.03645090871061715,-0.04393569324802013,-0.06374675184401968,1.1142838227435543,0.0280820484255537,0.21405267326285157,0.3153939595356178,0.15080607700362234,0.013190509133410522,-0.058303484710582276,-0.2723737814040197,0.16373027524147513,-0.17852693969064648,-0.013051458706201391,0.48055190634542533,-0.5785555265093896,0.033081645603796284,-0.3642142159298064,-0.3593679466179637,-0.2264432068334101,0.15584812227314193,0.11050187516316429,-0.07731743300907862,-0.08923667011614156,0.14132387382493122,-0.5260829480085812,0.1930632777193519,-0.007232715657200767,-0.27720696388048394,-0.38119355701689867,0.5373405024183765,0.6218840666694762,-0.1755597587244993,-0.0027693128675658485,-0.5504471734971699,0.31781075544669296,-0.10317605739661351,0.5309424304891961,-0.03121473044960149,0.10609206057790099,-0.6014866003813292,-0.16670005857705872,0.06815023722754937,-0.059994267125473455,0.02187332393741198,-0.13747980823021183,-0.15640898641411388,0.35188267345980434,0.35363586680664616,-0.42796341960102846,-0.046782580710809596,-0.30803874241704404,-0.20088177520872655,-0.3297871268317391,0.05767892093615548,0.6362724951675204,-0.360585027727338,-0.35282029428170225,-0.4838302407206526,0.08779857719950102,-0.1687484997901709,-0.05353890574293452,0.26147795958448017,-0.0814735273958288,0.9742801264354448,-0.5310914510435052,-0.47804459599516863,0.11162332856103291,0.6574476313118944,0.3143442606750191,0.2872063222228867,0.1363235611289427,-0.30356429313918154,-0.42622688330134395,0.2508390202938005,0.4575219075582456,0.3080276132950568,-0.11207871295117433,0.36060508716185663,-0.2544549968908282,-0.4390038070761914,-0.09192054205687616,0.8528839345941579,0.02377192737119488,-0.216760976879729,-0.3987863469117987,0.680631917144678,0.5052076856774768,0.078866153684793,-0.026550399365715405,0.22049126860090795,-0.3289271949191911,-0.38606453818082703,-0.10279249053148556,-0.2479685275554152,0.06995319896077873,-0.172244301126689,-0.5525255449536759,0.24261276213929078,0.34376470734543063,0.8875063522760318,-0.13655526774920285,-0.44777908929222654,-0.165635729056552,-0.10961199202574792,-0.5338203258236721,-0.3809411712636308
2,subgenre-theme,novela histórica,other,300,4gram_chars,tfidf,0,2,novela histórica,other,0.15931099804477095,0.26661662022185006,-0.19458834962934418,0.2889563542500109,-0.058853793869767496,-0.03315891579401059,-0.14634946916826563,-0.14905682967754094,-0.6240682230433057,0.056190347892937795,-0.06860877656383321,0.12655095164615493,-0.3227440030401279,-0.30726564835243303,0.4331583427540715,-0.26422360852248,0.002079337968879963,0.12794307551192896,0.2064720202772865,-0.9866605448487225,0.33429851450347386,-0.3157707686493475,0.07908396626963254,0.9244419320199817,0.20977772607258968,0.22450692016169266,0.22641137565054476,-0.07931067614025979,0.346004169397509,-0.009655713329946157,-0.29613827195787207,0.4258231083695605,0.05087451514912597,0.027858003752255125,0.3264653283036104,0.6503701256619377,0.4339407556479776,0.08454949038667933,0.4865346701856128,0.4687351425986139,-0.14007970087270794,-0.4885400822618972,0.7553293218134015,-0.3679319603688024,-0.1758599040284549,-0.12822182741571103,0.36510967260607974,-0.9099998308199098,0.10443044755271892,-0.16596843720387489,-0.09011564891599518,-0.02150642238670486,-0.247527869878425,-0.05527331129440714,-0.22965972784763525,0.7236957297244572,0.6686892045965158,-0.8334826045800574,0.5701325984112542,0.09169997467304336,0.6394818008924742,0.3223426943954478,-0.1414228368703298,0.35042208287036614,0.046762758466193086,-0.06124284877564268,-0.5009618641827881,0.10016796049181831,0.1085775429092155,-0.08971276965738963,0.09110713298107775,-0.018634268219928064,-0.06148383987265871,0.2575080237774636,-0.09211946934573771,0.02995984728300268,-0.05361625517340232,-0.4287737107766654,-0.6512865600207094,0.3922944588511009,-0.1788968878555194,-0.32875891274951236,0.9104911552964801,-0.29621266400474033,0.43059711069546264,-0.03658993592719717,0.027891563790915716,0.18115150218549628,0.1927723437313007,0.3303154131284596,0.027080702558820988,0.9434633919514404,0.11636146945246773,-0.11865937522992635,-0.048616932103800733,-0.4000797900376363,-0.09394546626210126,-0.08433532105793898,0.26581453322840853,0.23327772706989533,0.29883646140067704,0.10552247428297021,-0.19450299337721422,0.16518696460081983,0.2324423598702223,0.12317073261030509,0.018266595983972976,-0.7740135262141153,-0.05554705746522873,-0.24015633689865282,0.30051562024279066,0.17526368941341358,0.1466201728902196,0.46562422313657226,-0.31095289609546195,0.5024856499693755,0.4235463045849091,0.14259540664541473,0.4147655489878349,-0.10086562628981917,0.12699678121271166,0.06410093755410891,0.1342962520058541,0.14569685246230304,-0.19963455338963923,0.5771488644522939,-0.030516618877421423,0.10169904985494366,0.1310359084768961,-0.00606796985814196,0.8677821419477053,0.20823253684265822,0.06328759244544191,0.041985782378827344,0.2480111780787986,-0.002949295436499022,0.16045693964399996,0.17614780737881908,0.5391020016362298,0.3886217066357697,-0.10066587872137096,-0.03885391413714827,0.1827442290752987,-0.15928336772287915,-0.004093879866741446,0.004715505732411113,0.7588790624444036,0.04065564803378885,0.2833165391150256,0.13164845824450208,0.2716356836971979,-0.14885548742259133,0.06091417091963018,0.14588481031112716,0.1338369005057859,0.46338421189261914,0.5602734609876979,0.43116684020833307,0.4567352650503226,-0.09994721876503579,0.4187830741646775,-0.1893715706973207,-0.11538327111277695,0.15937270839141687,-0.3565038775585695,-0.24983176268774948,-0.3004904335858867,0.570890514532029,0.6320043630028447,0.020727933223863258,0.33897033812153465,0.6727452236242573,-0.1614678199414598,-0.30358488325666455,0.3328578318430927,-0.33239003785772947,0.22556206511604965,0.20578731732558245,-0.583663954681999,0.07571234302040823,-0.13605390612186563,-0.33056304382371093,-0.0765901952283902,0.14074342377578097,-0.27690659008331364,0.07245432417322056,0.4065677604822616,0.08328964858881399,0.23621478497311932,0.2286126054814562,0.43020505419096877,-0.4704467337779422,-0.22999187544594396,-0.07508009914822014,-0.1023345977713546,-0.10457564865407339,1.1597638544188085,0.05500420124122021,-0.19224889026417596,0.3172428804529752,0.09290269975704601,0.04341846779792744,0.0873913731953832,-0.401514533227611,0.16396234466756676,-0.09394859119359206,0.06591919175288112,0.3854430307670943,-0.21070769980975684,0.0781485109988559,-0.29766091756859087,-0.3604762529974006,-0.3426455426087265,0.3953395941341167,0.04122337706693717,0.07219024149216961,-0.18002927779852543,-0.1109707236160857,-0.2892138949317549,0.1511560385817406,0.21278553570956618,-0.4532871864124347,-0.24214366879543175,0.4578343547548755,0.6401998201691953,-0.13121402352834596,-0.20565807920790846,-0.57199957151499,0.2336624594308015,0.09572344903928953,0.43283656343484456,0.030250675320030965,0.11938349190063394,-0.461058691759932,-0.17603577434503914,0.17548677271747204,0.11709456146834807,-0.27690913842942755,-0.10228084918315192,-0.3691537711849081,0.29278577352771507,0.12676341846584874,-0.28639078832304765,0.1275588335743909,-0.2885389329480957,-0.44099814388925007,0.05850840998154732,-0.1143391883105809,0.849319461290334,-0.48082365982756614,-0.33182081816510517,-0.48974346831071036,0.004285553181800898,-0.25005274420328133,-0.11783609919320144,0.2763707175125012,-0.09206234188061066,0.9704605952271249,-0.649902969016464,-0.6152284707195749,-0.002011517007286981,1.0723206953376674,0.08088935605698201,0.31949067815902016,0.24958894843757945,-0.1562100566605627,-0.21043506898608644,0.23876384921568572,0.42937734503798164,0.10465852867469726,-0.15056018050955666,0.49327967828352787,-0.26491227282101926,-0.7416813212112019,-0.0687334040223153,0.7996199855928523,0.16946546934363133,-0.16808622136164347,-0.49612918511221726,0.5450928589863205,0.5562307837311912,-0.14662987167670766,-0.2719168998006206,0.06368120198523822,0.05919246701746805,-0.44457708599028106,-0.180839621353246,-0.13843136624069066,-0.21774158302739022,-0.21527370909733234,-0.6201034762718205,0.25409838830438225,0.26598669084348014,0.6426922257143742,0.10126989049485491,-0.5142091911759077,-0.2866655461441522,-0.1407631526048559,-0.5079055682041811,-0.3966559195164608
3,subgenre-theme,novela histórica,other,300,4gram_chars,tfidf,0,3,novela histórica,other,0.07709553358838221,0.12014834226570519,-0.32848557467607803,0.45384565244732117,-0.1299859403162546,-0.09087106319922146,-0.30568832419938463,0.12910332036509164,-0.3865736138634252,0.2589040053687953,-0.2072397950495113,0.3038879131288022,-0.34778626664880374,-0.2177578121810487,0.30673843606544576,-0.2131929627381939,-0.08740071447767538,0.1570847694794889,0.16810613057473336,-1.14657980506086,0.26711317597049156,-0.3824191797478008,-0.19767729880072069,0.4387958752176552,0.14729005629356864,0.10375468727696466,0.05459647666463448,-0.3326958309062217,0.23097353245028615,-0.040234405926969065,-0.2325050943441189,0.3969620856732683,-0.0845062397420564,-0.11360049436181648,0.17096996485561597,0.5741425576400535,0.4219661839919116,0.05418427470150828,0.6817004654021653,0.5603603262361625,-0.0032419462268361175,-0.1264903865735393,0.9291200688971093,-0.4405860388576008,-0.1638992911218517,-0.008536214100282487,0.07266728699997439,-0.723411857145669,0.36417015208308784,-0.17121179755138688,0.18637055078207124,0.09440202058496085,-0.7863207370620868,-0.002350040929757613,-0.26418298872032864,0.5506124059289363,0.6653669890357492,-0.34044132921770603,0.8506473584508223,-0.01945978095722155,0.7628087641131818,0.0902253095797056,-0.024629526332184463,0.43114083712073586,-0.3127948081121323,0.06388195491229874,-0.5241570593460461,0.1727352453285731,0.050427513230416256,-0.08300629918539197,0.06708127486652671,-0.15263511551458198,-0.3340991434958088,0.25892039558823604,0.1292313844369473,0.2664337040196882,-0.1965591894352437,-0.4330364236577039,-0.6632039749337703,0.5551822393053417,0.08470094792489548,-0.3226922686275292,0.40624161843025824,-0.25050548491864766,0.6227505446850855,0.16242119025319457,0.12755589291907457,0.38206604842195935,0.15814936276227887,0.26001420693866606,-0.016572604122115284,1.148381581549279,0.0861517990023633,-0.42344087436503747,-0.12336720039387711,-0.586617594508895,0.317760999370287,-0.22057889593261923,0.2877683271665956,-0.06905803731048032,0.38223245659559874,0.1905129494602036,-0.06649870014000073,0.06163164311041529,0.15733599018722857,0.10873800713153525,0.08881428768595519,-0.643864867284297,0.016128497499379817,-0.17070898557754025,0.24289683329850714,0.23130129875023797,0.2144440025775214,0.3574653630737776,-0.42422924311778815,0.5119819745606182,0.30666390943463157,0.35497437891555234,0.27931571782909087,0.02022404997617084,0.19088619520605432,0.016903667515283653,-0.1567304577449866,0.09962117048783346,-0.2754893244043295,0.2445532418731976,0.07888560696514298,-0.09409309549651426,0.34098990190778516,0.05708410186774389,0.7924969770023362,0.26551474485452403,0.19396768467657305,0.23673914445362512,0.09700327306023801,0.09721427241903725,0.09687161986170194,0.12271414755193395,0.6909450417667886,0.18318478985252123,-0.12042815474639758,0.11549440989203234,-0.012555473997586946,-0.0934879368141787,0.20594813824228209,0.029247878441098392,0.9034792731036794,0.24273768699808107,-0.20722023486979405,-0.11565630770924401,0.36603406790935006,-0.3215210143472504,0.11764336276652458,-0.016809763329359607,0.1086359471812903,0.4956251767419278,0.4203551854655971,0.20811147902538638,0.34961986291880454,0.010523594243183361,0.2595062482443668,-0.07960266195820263,-0.16994126535620396,0.2386430897151928,-0.36073424585505093,-0.494027556270501,0.17851880176762414,0.610583938174379,1.0783590179832458,0.10929199866189855,0.14043929993878201,0.7545568713722303,-0.15393641996099228,-0.3594384335602303,0.46150040478436866,-0.21452230607235712,0.22690944488750003,0.3156816749649807,-0.5926878057605991,0.018858946310822425,-0.08600862588318563,-0.20456143105717334,-0.0028346186069824536,0.14649043488759228,-0.3383034008343007,0.07149719641299125,0.1756661465187813,-0.04135547704071653,0.08010395036020847,0.6121229565214992,0.3000897576621466,-0.5057876777704148,-0.3325530203642911,-0.0490347969375298,-0.19493579434423866,-0.14123284924052842,1.0493727032839077,0.15342581062914404,-0.017391609325131858,0.17606424524868045,0.2553294804333081,-0.1479692609459326,0.02528296595220953,-0.1470785273792564,0.04790681929720437,-0.05327318212482116,0.21355538212584976,0.28035534606358287,-0.2945719909999249,0.11283941397246457,-0.17465388122372075,-0.48363431594814155,-0.2140143067853828,0.3778521335078412,0.1330576074098675,0.24575506211088244,-0.0035307226088231555,0.1968452716755266,-0.48126360458463757,0.1908459663747308,0.06922137401616145,-0.4191127532710925,-0.3475517269408388,0.267669837407098,0.47304344293211403,-0.3910433324096856,-0.10834419368903746,-0.47470522699235956,0.03742290673848651,-0.15210781174002636,0.4355254214170773,0.2957269559098949,0.13720929090936,-0.48185216204753334,-0.3157702264606253,0.31666526566400344,0.01916654601830379,-0.018093317931354283,-0.18950284293517314,-0.0556718467647148,0.3110030656220168,0.12019984115782288,-0.23921333401656802,0.005559719499078898,-0.2967046918211998,-0.45220297695581474,-0.32379296263011215,-0.13753649198299814,0.7339015720498095,-0.32861601764207055,-0.33822938196513436,-0.5678017506005423,-0.042521582700456126,-0.3044266632314162,-0.05483923886504981,0.30221281555660817,0.025305823493733455,0.8298292245039521,-0.3259746293639683,-0.26181656646418006,0.08445943643277222,0.5821938234364717,0.22737839229543727,0.2069469209359692,0.17252609206996503,-0.20366777886589787,-0.25730288470729434,0.1754033643465996,0.3535685204617549,0.12159557782025554,-0.19877519757086753,0.3295933368614064,-0.24147200715068373,-0.5594212723354285,-0.2004692142086948,0.975284268239292,0.21983935365687146,-0.035642411429795226,-0.38757556467205717,0.6016045099743845,0.4039117462024527,-0.031627140710813996,0.040535012232764775,0.04541700092492446,-0.024614270468113365,-0.4558441374860978,0.12123298463144438,-0.2384175379364494,-0.16463922095854233,-0.6125915849303896,-0.5290651506911925,0.29466765596671857,0.39362292725159675,0.813439151398778,-0.1623696705677868,-0.4303171803804585,-0.46338851670565795,-0.006751226712419678,-0.4630569462336595,-0.5666980706733346
