,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,cv_call
0,subgenre-theme,novela histórica,other,70,,0,3,0.09609272596490467,0.20448505598723649,0.12939131672292944,-0.18410255382257795,-0.9624674006842984,-0.641452136338061,0.7514267106738319,0.14123934779506064,-0.5118067051969016,0.5056971327876736,0.042289468827706005,-0.1815080971698619,-0.7217995143395759,0.4074993167123581,-0.4917888466124758,-0.8558214777165187,0.16086302771613506,0.69063749305394,0.5607577542254544,-0.1361456298660159,-0.3161367990486288,0.0918256022464626,0.3111305257282363,0.16319503967157453,0.15524318444873594,0.3996610219020407,0.5878580678075258,-0.5111817786742359,-0.3158548451526553,-0.16868791934244798,-1.3485696182008151,0.9683022601638792,-1.111557905432662,0.8116988248414412,0.8978110141587838,-0.6825509605148397,0.4225284945594716,-0.07836785700810782,-0.8292368007158073,0.26016860977121664,-0.039045525256056826,-2.1082110822471307,0.3707862643351708,-0.29134337595548865,0.6937236452146961,0.4290001744535368,-0.12875277468608398,1.2387866510476175,-0.6691397866964146,-0.6610319019896307,0.31427685150087753,0.04656517237871194,0.060587083102695824,0.2298096098683524,-0.2848306916635461,-0.03178801035410707,-0.14181306591498488,-0.8562696773370798,-0.06921500411150286,-1.0559566607600972,1.6184752057503948,-1.0542365707103178,0.5732166039918646,-0.9697399405908278,0.8621801105928862,0.16549164578341766,1.51893718665085,0.18896767552622146,0.3906773628492041,-0.8289310215561314,0.0
1,subgenre-theme,novela histórica,other,70,,0,3,0.025920459875640185,-0.6849447635823832,0.11234466015195244,-0.05316495545694677,-0.9255416623448328,-0.6219502088662691,0.4652827249156247,0.22626130575721598,-0.33325089185712303,0.6035450095817714,0.05887135962327202,0.051487163682782895,-0.3573440788292672,0.18696242973863691,-0.978982173753324,-1.109731766495105,0.0063406723130808714,0.97080034135357,0.6481767457999659,-0.06774981229242652,-0.8059806528105987,-0.021612718051980208,0.7706822777083843,-0.007355923777126144,-0.14036482394279245,0.486181671506389,-0.11158605559173454,-0.33682379293051123,-0.38837310083034665,-0.07153196724704912,-1.2306481669207368,0.5207472904023711,-0.941246985175774,0.9625356510660528,1.0767341780193531,-0.6761284678829674,0.29382744070375794,-0.209900839974816,-0.6895720577251493,0.13887560495209852,-0.12107297636717697,-1.6972794599938188,0.2823112287648069,-0.26810608394700114,0.6094804258066608,0.6366021426660767,-0.11769906377654045,1.3518122118849454,-0.6221414218394906,-0.6093605842492208,0.6780048962585844,0.39708411464326654,0.17690788919480113,0.1929644459852472,-0.4954172563480485,-0.12103122688485828,-0.013026377518166543,-0.669339939702154,-0.14491660294474892,-1.1126921137050434,1.8868048926918304,-0.9901311736525252,0.4254127526615285,-0.7366271012682781,0.8827882514708002,0.12773793977117,1.870974484930021,0.20661966067265292,0.5343332132483591,-0.4667235090114836,1.0
2,subgenre-theme,novela histórica,other,70,,0,3,0.060793704477827684,0.3811757367679398,0.11461573611774994,-0.22164739378043116,-0.7832112867564106,-0.5365719954140539,0.6922482957124096,0.008928736093657888,-0.5205585984121572,0.7158671980333466,0.14585963074594346,-0.15507128417761293,-0.5960530305467291,0.6230767360781895,-0.9125491465757508,-0.9216335684694108,0.14711334475316984,0.8078888642306267,0.5737054710995486,-0.1125645272176733,-0.2782259464216422,0.2432544512905909,0.8018409496406932,0.0897490376547439,-0.22250371737829897,0.22503408849693549,0.5396346699472432,-0.4359245341293824,-0.4267295940225039,0.012816618498485172,-1.1731291392922774,0.9957698341784126,-0.9759189475196891,1.242601043280655,0.9260786635072203,-0.7465905240007793,0.6533469496168632,-0.5416065702748152,-0.8210123530080584,0.04530474019805518,-0.23375435074503345,-2.2386912156477816,0.2926841999746015,-0.1949073115054097,0.2526330374601884,0.4510284283673355,-0.01420291064758587,1.1675585455042972,-0.9454752686161878,-0.567562074621425,0.6380983671262264,0.2453264635758709,0.1089021376378715,0.20752585216410624,-0.24256703825840206,-0.05237425388309983,-0.09751695220071407,-0.5871269703602375,-0.026518052248900668,-1.104116036031987,1.7895615377099716,-0.9233215365657552,0.37807247649513054,-0.8300512145254327,0.8053344804210097,0.4981319499943331,0.8358592686094767,0.2565923990328745,0.31445270428489897,-0.7095122721890288,2.0
3,subgenre-theme,novela histórica,other,70,,0,3,0.16464196307274676,0.2591080645588105,0.12390467110128715,-0.10389920265133044,-0.9321318296403304,-0.8333079901829152,0.7286068426658397,0.15855256818765304,-0.7093071752049385,0.1448224049282488,0.18686057345190832,-0.1165190047215995,-0.7555563000543947,0.3499093374477528,-0.35454923853165365,-0.9320919354899284,0.14633511097356672,0.7335319114970047,-0.01910361575750084,0.05790380114240563,-0.6066153903821221,0.01406016216440972,0.7128789576257604,0.019023998689659767,-0.23447714617130866,0.4174133700104923,0.5615592628012707,-0.3571192643345529,-0.455050329904093,0.08659059384740754,-1.115847944905164,0.7522625420241118,-1.0471192554372626,0.9891500868261623,0.8573855666175642,-0.7859599337590467,0.7301946111818279,-0.13697380186408947,-0.7563698395960591,0.20885915852462225,-0.119970992936048,-1.809548070799661,0.3556148075280257,0.020516342341068264,0.3639759282170396,0.5351072561935825,0.07637455945052081,1.3130631545520968,-0.721994633954789,-0.5733807594843774,0.6279192040870613,0.1619397981871699,-0.03896760642239065,0.3157836735422065,-0.5078120131788958,-0.1017290224454718,0.049455890544682315,-0.7231598039134387,0.07329192523309852,-1.0092542014190855,1.73271376260343,-0.8860343495903882,0.5073182163341952,-0.7443592674354147,0.7147252050980434,0.030326017256844726,1.7336994057160502,0.14285283775945248,0.336768783578812,-0.7729500227154728,3.0
4,subgenre-theme,novela histórica,other,70,,0,3,0.06100205931637405,0.2535205413161085,0.1304860369262195,-0.031254681343038965,-0.9060932855852016,-0.6481222343669694,0.06093929494718284,0.062496016712633,-0.3930428362076027,0.2992447224436037,0.09993987388499986,-0.058286161215823876,-0.5638150068355554,0.2744526763071955,-0.7362217677368571,-0.8960397912271871,0.16880212674153106,0.5636936509982831,0.426074242315109,-0.04459797654756517,-0.8512546388419111,0.09323350448421264,0.638653664824134,-0.39244106846439103,-0.16567581528841793,0.4179558964324875,0.5703742415485289,-0.4423810083186381,-0.3955608868719116,0.07238213777097738,-1.2299803885673046,1.0076579579309557,-0.1263203231948989,1.0734255556569412,1.0595348981454389,-0.6980979436744127,0.6400773150714761,-0.132724462991505,-0.8303602496113505,0.08701169397725031,-0.16266089720954174,-2.037934858240366,0.3645438003144392,-0.2429551828919809,0.6266871123170902,0.528038446638851,-0.4391846308513562,1.1199457937031474,-0.4602583146329856,-0.055066478591672165,0.6456439072590913,-0.01459032343624139,-0.2641325963244755,0.217132915892954,-0.04224863412507592,-0.1597599839236095,-0.1288264130262372,-0.7636326190153461,-0.5188007502198253,-1.0590607205855251,1.937214454382857,-0.8321673647981161,0.5965170405080238,-0.8199355087438196,0.7954369828965894,0.24255873805136674,1.6970060717324016,0.25530802421510795,0.3924032203345653,-0.8104841925831343,4.0
5,subgenre-theme,novela histórica,other,70,,0,3,0.07488214322648383,0.4050624311074736,0.0965401921286338,-0.15655485959332205,-0.8956214756438012,-0.4467138752126442,0.5994204416421935,0.12545811453954145,-0.17730032616698674,0.4819089085392561,0.06465534640719366,-0.0723531799366573,-0.5658532739156438,0.6715441573824376,-0.7358155006129521,-0.8992308464833177,0.15797938450639,0.8147079841410229,0.5200807030743151,0.03185484703593884,-0.7851255618598297,0.12016666628613208,0.5849395341920127,0.11216164925581476,-0.15380818564890494,0.4682682299102809,0.5973897169357094,-0.3996729914554722,-0.3953235990047115,-0.19918396952771675,-1.1154423275352578,1.1973588937230466,-0.9084747251480518,1.1456627697373776,0.4199718603327127,-0.6644678157801999,0.33668410835804513,-0.4150751860112168,-1.014283941431727,0.010668103655305298,-0.2344270646899252,-2.0322736502658274,0.3865516521177795,-0.2365588037692677,0.2846972594278279,0.7465352003731305,-0.2399455529058789,1.0735755941020682,-0.5857883983339873,-0.7235649547402703,0.7066257340682288,0.3134787222773589,-0.10133088939655374,0.08122033629191626,-0.3637904246722069,-0.012096182024642285,-0.4268471852871467,-0.741809081559972,-0.035174149772255935,-1.0116636403916446,1.8625631585053155,-1.0014230213619522,0.07182830383838525,-1.0094929551430978,0.9125153448433979,0.22059340359062932,1.7138906750195282,0.2413053300984823,0.426844039272726,-0.7590740703455447,5.0
6,subgenre-theme,novela histórica,other,70,,0,3,0.1465388208201383,0.295227372516532,0.1064663099905782,-0.22419981266262312,-0.6841148940761571,-0.64094583127448,0.5625770588121527,0.026226149356442914,-0.347506334198713,0.28460083734807584,0.22867225833314095,0.2455155187977321,-0.5868440236324619,0.3701753819990565,-1.0612348698407903,-0.6264333291388123,0.17709842802327486,0.6028900294382997,0.5158990276555667,-0.010412599557606586,-0.5927014635900832,-0.12760241755535967,0.4360032456622396,0.2112957397541385,-0.06320665457733632,0.34778989223414103,0.5417088746460051,-0.4172182601210069,-0.4236448380837885,0.17721279903289558,-1.233190266443262,1.0985954641843665,-0.9650902095812804,1.0272815064774397,0.952384002100721,-0.7877109105692355,0.6081408672273902,-0.24577109229297245,-0.7735425696838953,0.06025669537617516,-0.1803187505806246,-1.854999788224745,0.12971669672650551,-0.3257175488706953,0.4862585784820943,0.5076757299719208,-0.015660656502718858,1.1649654709231148,-0.6967475974875956,-0.6935660912997965,0.4507337090630298,0.13236203015645542,0.1271379567595473,0.20559568260795116,-0.26253743908398136,0.2380634504426229,-0.16888040748814406,-0.6619614596054182,-0.03105947890294346,-0.9575235808708438,1.6894006971238262,-0.8995594373971574,0.2318543350437977,-0.8162842972780849,0.9134923699377128,0.2409930684225973,1.5756180900662706,0.13598511737908026,0.27408427992173473,-0.5473258197573452,6.0
7,subgenre-theme,novela histórica,other,70,,0,3,0.11392604159756416,0.26124277648401856,0.13171870071823127,-0.16733424442633762,-0.7998109551171162,-0.6232043061892799,0.9903351523058376,0.12778458808869206,-0.5869112507080639,0.6985290665826537,0.08838327347353635,-0.11849576050665753,-0.6361500502054147,0.43777997452020345,-0.9096770051900519,-0.8421818991614956,0.181922385017056,0.6267735411631872,0.5756674317264089,-0.08422297290516148,-0.8046966730415586,0.07877686957089239,0.4144363358981913,0.11363974910660135,-0.2712596778055218,0.3383059811733101,0.5619829623243462,-0.4610503564612295,-0.3699425758873197,-0.10278833913831294,-1.141438133866616,0.9250633555203122,-0.9367950237308976,1.0631439891910557,0.8427646676681635,-0.6817675145428804,0.5908837710595343,-0.13461144136721565,-1.0113415010946505,0.09711845399483934,-0.10015375983620704,-2.0620658371198517,0.3441845825015583,-0.2736025473320779,0.4350340584032159,0.6389975818486021,-0.03878579208110133,1.2165520247312216,-0.5000671018037851,-0.8226715356380897,0.5100411265775436,0.53046805354286,0.7571221725509985,0.22785278338542936,-0.05603959873251765,-0.09336267217193198,-0.19908634393328836,-0.6480273150942331,-0.14056565460142728,-1.0901113046727338,1.8506758334564224,-0.7882948460945047,0.5781965273350648,-0.801281934406226,-0.19482737150274146,0.3231621268843811,1.7415054477152712,0.2967961181028407,0.08954943355468553,-0.8148120183874661,7.0
8,subgenre-theme,novela histórica,other,70,,0,3,-0.0011294326590573984,0.6421708088818506,0.11348456034320055,-0.3877621460607029,-0.8694703421020349,-0.7188357868800481,0.5506430401950906,-0.020562971501546803,-0.0588257019559293,0.03610452902702593,0.03595651440646065,0.06499833235493391,-0.5331489468704771,0.5047679198872829,-0.3381202827988685,-0.7675804061403435,0.1750270854510173,1.0839757043100715,0.4229069935847082,0.04895185044990124,-0.7808315860382506,-0.056729249176237485,0.9607341663211176,-0.07015977272348697,-0.062190048331277774,0.3153104289660003,0.5344253157899146,-0.5227376763121614,-0.3862114564014826,-0.22739785883231525,-1.166769749528727,0.9803605422549182,-0.8795764635159234,0.3849043084685945,0.872573052337266,-0.695123045831747,0.4783317108184556,0.23385882884809694,-1.16955456372875,0.06828528581320167,-0.2464161611212065,-1.677915557520517,0.3321041192230547,-0.29300479857115314,0.4533190229837826,0.7037479944443866,-0.05492164048278601,1.007025017658829,-0.5807368004288567,-0.4722453690349966,0.5235174308982461,0.5953156576598044,0.028642432283098845,0.15431253847519047,-0.2310340353296281,0.15334488238046698,-0.2296682589743627,-0.6966658515775923,-0.02309150221444437,-0.8003722773008857,2.251863674807033,-0.972556115898664,0.21986062762431927,-0.854606244458122,0.8459003274090668,0.4417717167941391,1.1240904564699157,0.1728692004893278,0.2391267225181176,-0.6197417369721892,8.0
9,subgenre-theme,novela histórica,other,70,,0,3,0.08140416797975976,0.2592615106098585,0.08576808083681085,0.10160695066133817,-0.9163053233630404,-0.7026761107893992,0.8363749676392697,0.20019814351134385,-0.3354837502580766,0.5834527353128574,0.19401518389992975,-0.05554982187484904,-0.7097336807514034,0.5726444216218574,-0.6171337117491461,-0.8445022047125899,0.1620438841674806,0.5457499216049596,0.6125746027161736,-0.13262147350408954,-1.177209403968507,-0.13924362153272568,0.4634393129656856,-0.014416881660155713,-0.18779974041229455,0.35725679593200466,0.6305420353967136,-0.6044428876703271,-0.18261426727935046,-0.09590049893705714,-1.0797531403786236,0.8985652701282779,-1.0158417689080237,0.925991093929106,0.8944662649093956,-0.8541506139060563,0.32654155091524856,0.001974943807552823,-0.98076380055145,0.1142161598893692,-0.15310496619120095,-2.007642441078697,0.2548801581220177,-0.3315854553722221,0.5262516082778024,0.19838841568698712,-0.10249281880483424,1.1925587931368284,-0.30619849565099266,-0.8073339228921824,0.5838326360225952,0.4973784341719532,0.1457686898491759,0.24339970898836874,-0.2182856868190038,-0.1105147558104758,0.4281564712463113,-0.2626435763141695,-0.23285325374237276,-0.9566168915784932,1.8332510985675408,-1.1903296970922441,0.38005119733209225,-1.0055023588208802,0.92553912840024,0.2486496951475867,1.7069525451658272,0.16473259128621515,-0.09569506325404632,-0.7632896664389957,9.0
