,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,cv_call
0,subgenre-theme,novela histórica,other,100,50,0,0,-1.1017339439682619,0.5356158482206698,-0.17279124936885154,-2.865569717277122e-05,0.09058491987396003,-0.5692885356391789,-1.9969067389088484,0.04148809962190629,1.0376371513767977,0.3277270034206489,-0.3438596353521408,0.5723951232173965,-0.4859969293764807,-0.6054470535602773,-0.0047212862552940115,-0.7022958879428585,-0.558279676670776,-1.058483920420977,0.7213213143014667,-0.2260040222339157,1.590229973648906,0.2140824885491517,-0.8108867888326197,0.08599495274620232,0.27707251816174033,-0.010754438053649036,-0.22658074963537894,-0.97965745093219,-0.4145162968512626,0.03557148983979316,0.08136455880622129,0.4388124586822159,0.356338838603525,-0.11560330530593517,0.03716559623905224,-0.6088373903791706,-0.009120671470933862,0.038357381910165626,-0.3644646027447052,0.3369090024971021,-0.4984286157924828,-0.3436240122715221,-0.4688064858354343,0.609789254654919,-0.7059935191598762,0.2624283607285193,0.4351474486315981,0.3029137508429843,-0.016598514288089537,-0.0014566624515364452,-0.3212826117494452,0.9509759103982048,0.13292644590214134,-1.9914669846509867,0.08440340204947874,0.009552992724728615,1.0583983520799896,0.2190373277789588,0.3611187315162545,0.3286638087494019,-0.7906390203237812,0.11272379533691936,-0.5019409651050661,-0.37603047217168417,-0.5162491674873823,-0.202818938332642,0.4480078579443924,0.7042660170480124,-0.7566550505476911,0.24740259648072144,0.9598814236496728,0.16236577199798746,0.12454737618036114,0.5273945310296454,-0.5733834704339675,0.5279887152839392,0.17489652091859662,0.5550608995725034,0.7484846242404072,-0.6396650352716654,0.8555129434197005,0.29686120668044125,0.5716727965363785,-0.4286895701971853,-0.2384853817689089,0.08762532093585779,0.09381887762008156,0.5869988755625614,-0.08406062164564156,0.5176633091974115,-0.2985981293586075,-0.0799070383754274,0.5697302211843756,-1.0745928222081165,-0.9571781187624748,1.4280976280296434,-0.053793360358330586,0.0011297963924718586,-0.18057180009641044,0.37373104155683545,0.0
1,subgenre-theme,novela histórica,other,100,50,0,0,-0.91936795534227,-0.1259915004587325,-0.0605011033161305,-6.607962706125893e-05,0.07867562186793765,0.24307865167459594,-1.4110325458653117,-0.07933533655185229,1.0817176997917706,-0.07810792735278149,0.13168075007686808,0.9174461427951538,-0.8404021385390986,-0.4091557061844791,-0.002629539947538446,-1.1607741480012783,-0.540419758685901,-0.9632431966233734,-0.00013489009017860965,0.22640420565328126,1.5900385607941387,0.015486671155665916,-0.7181284224372853,0.11833728354460585,0.11775311350210227,-0.006400663066374387,-0.20537154710535255,-0.9875585590159056,-0.4989471258346924,-1.0003967136659364,0.08874816470150045,0.5356052095441612,0.19249872499644796,-0.09096344560340897,0.2277392126589786,-0.4535979927000212,-0.0015898692058061055,0.03831564940767468,-0.4564652962879468,0.7225135384116927,-0.4725651393659121,-0.31922837776723706,-0.27071471740624864,0.7565141008072079,-0.5987850108609865,0.264151779864196,0.40572938068464504,0.6902815183133125,0.10696417631647036,-0.0004721877026068252,-0.3058243208024663,0.8130938788537342,-0.3583020082665058,-1.6817613514178658,0.08031334081653745,0.05891873603231487,1.071448745151747,0.16449901525315705,0.112225006997213,0.5084230213814015,-0.6072318416159442,0.13559645790190128,-0.5020144323964462,-0.4105133117582926,-0.5173683645533615,0.0654100282409838,0.7455119759112281,0.2952101774679282,-0.7420230024253317,0.5379425673296166,0.9361156869445753,-0.2228214481515849,0.12445457975072514,0.25109265602740577,-0.4866343852635722,0.5592462799174072,0.19344663468428444,0.5259769485636158,0.9231385232361928,-0.2752258875870503,0.5427325888694379,0.2327788828786393,0.7944372322085123,-0.3773825050052749,-0.16022011193683575,-0.7396447089874525,0.07764749019085265,0.5850625839936067,0.1218217781347945,0.733055921361299,-0.5562280079964288,-0.03892234958863103,0.6582224419030267,-1.0689483924866041,-1.1284822294931462,1.410422186803584,-0.2266588224970909,0.16238443417136966,-0.07023296452909855,0.5555855777888397,1.0
2,subgenre-theme,novela histórica,other,100,50,0,0,-1.0736194158292438,0.5156188295928638,-0.22012429368761965,-6.393544661022512e-05,0.01781354616895171,-0.3978101832103619,-2.1733156883865656,-0.08954792941404444,1.1429748927272616,0.1972115399362034,-0.26245078374248865,0.6484308786025221,-0.7064723512453834,-0.5472649581722004,-0.0038967646743880975,-1.0757879987511991,-0.5425266958202443,-0.9082528479923068,0.7034642450250533,0.07969186808518516,1.5724507410651574,0.12300824863601816,-0.633728777915593,0.1057154044945367,0.38249206381563616,-0.012946300849329044,-0.22714304031077134,-0.999855586344132,-0.5883135246130526,-0.396918521025192,0.08828631654012012,0.7540316449348846,0.3954243758291887,-0.11345120442746888,-0.00013844579024688148,-0.39050503923496,-0.009623815047079232,0.02860002185933226,-0.2663546256453017,0.5865423346390612,-0.4564533809297298,-0.5880608936733424,-0.044585700281512215,0.8360774499725683,-0.8405099906467165,0.25992535151773266,0.3359573107754359,0.7596373926786707,0.08096887961768026,-0.0015936153125480446,-0.2947934035491346,0.4543453758849211,-0.2083763786622164,-1.5911095457558615,-0.0012571946415609186,0.009528687209581744,1.1288865480872834,0.21182750654491367,0.4841778075002072,0.3323233673123241,-0.5617968075996043,0.08268175187500262,-0.321262264904214,-0.26946538488343097,-0.5251589625439389,-0.5146984440105685,0.28329587304332465,0.2948382391318042,-0.6468954601106421,0.32309245379724183,0.8355701666908011,0.16234767796298538,0.11850869790601315,0.3216785703489655,-0.6379147495988512,0.4128639654048184,0.2438143993040901,0.4883867804585035,0.839877004245863,-0.49872729077832,0.46780867619552796,0.3825511833035283,1.1870533334310935,-0.4870892197677095,-0.22898327690176554,-0.7842334904330097,0.09884701988692894,0.7875322471470765,0.2581268023698906,0.3345056408617771,-0.3266570564504309,-0.0630035639450254,0.5671979006159654,-1.1336090865897936,-0.99365312661438,0.9259633720847336,-0.07801003418408446,0.2533840097708386,-0.07718143413601332,0.53864908980458,2.0
3,subgenre-theme,novela histórica,other,100,50,0,0,-1.085230499957598,0.5165707839801,-0.935042825322138,0.017012909822093133,0.04470238495473239,-0.2556140441043609,-1.6031824313715857,-0.09472958258446193,1.0947913812839232,0.4103068595493737,-0.07796298451325218,0.7751393911918439,-0.6487491418898101,-0.2546225619416557,-0.005413296419740667,-0.7923591656939316,-0.8885832833406264,-1.0409555955731609,0.6586306955537928,0.2178630205907513,1.7021222026316556,0.16469875974167186,-0.7173686555606403,0.06897806850697374,0.042497740403733664,-0.00876677304375652,-0.3487223340555009,-0.003037727068496618,-0.4983965487690087,-0.4067743290795845,0.08777794107486789,0.5316080727485354,0.20763198676623612,-0.11372963540487648,-0.00012484068544880967,-0.6040350182521337,0.005751332429048238,0.030252574113340275,-0.652203365202875,0.26336746648014553,-0.4665472442704413,-0.4267843607672919,-0.07225231152197771,0.1601838756924663,-0.7181673761116102,0.2733904453406259,0.3051511182769468,0.7306109213650803,0.039377686171493884,-0.0020603848897639693,0.04897616242643143,0.5763347021516985,-0.4220017727646932,-1.5798282876788547,0.07576048266268909,0.07238094831392249,1.0940615699876728,0.320374719320761,0.34605509866047834,0.3110658132119997,-0.843346792892102,0.0019425033669971169,-0.5829725671482425,-0.7245476167874656,0.009118846391462404,-0.17319439635639114,0.6077174741353686,0.6770134167816759,-0.6596852576543862,0.2112045542581008,0.5497316606332578,0.006688245139764425,0.016735578402919178,0.5002799668409685,-0.7354914578854096,0.4712301361573662,0.2918947595144285,0.49484029673924396,0.7287891408776072,-0.5839598698557777,0.4894374990069469,0.2098233732657292,0.6682557459014404,-0.4950942409024714,-0.21290595477803875,-0.7968082169805984,0.11452522527879368,0.6726906652647642,0.29910034461596263,0.2480776122520655,-0.1110128185137718,-0.0899559410254956,0.5403386880331493,-1.0376985695038627,-1.078283104565794,1.462937755608578,-0.010964654681108823,0.10686324675301764,-0.045400974480932325,0.4750039676789494,3.0
4,subgenre-theme,novela histórica,other,100,50,0,0,-0.22329086139567547,0.5582344503661173,-0.28807890195105745,-4.938672829324855e-05,0.053967788121112026,-0.14392481612473074,-2.021810173144151,-0.13127008413370414,1.0539198863129489,0.4912605345229603,-0.3224247332251674,0.10673362525672364,-0.696937349254032,-0.7514859577052249,-0.005272619463586553,-0.9322678825532856,-0.4082646735255289,-0.8071416545001447,0.7438581549940172,-0.14966578315594886,1.40984619288147,0.10373728162437514,-0.7378784433838467,0.04784645513084435,0.16404318408359492,0.019194606006602825,-0.2980816570160105,-0.9778234368680679,-0.6298736422232127,-0.3608058015912313,0.08778170043562449,0.5430123437303241,0.02993444578049018,-3.705334290478429e-05,0.05327247399723856,-0.02146135856481719,-0.01583975315604375,0.037280523437857836,-0.6907140468829588,0.41772754701594345,-0.5406989473066091,-0.3558264994059148,-0.015719046511737944,0.8321323333274518,-0.7268189967420527,0.2922695394402963,0.3738461837668776,0.8060969549973581,0.07299405401693662,0.00146237806746404,-0.2561056250705677,0.6151187595958371,-0.5528567111029596,-1.6957831592481694,0.08166041760551374,0.009538710355977604,1.3837329773720946,0.2715794051319553,0.6165869718718809,-0.1683770085457289,-0.8028900538291671,0.008672397733107634,-0.477388996761621,-0.2926442369031916,-0.5188819437667109,-0.09740333831715142,0.5138195262459992,-0.1469754727048762,-0.5751689255668899,0.6289188584411427,0.6202593855403771,0.16246700051656435,0.1244599237148368,0.20808626920748047,-0.5506133904889849,0.6314585805532924,-0.2783435402199881,0.5765437735292013,0.7309038006985621,-0.4933634592029295,0.9147393557028926,0.3330849854904961,1.0715723603267917,-0.018155783186542103,-0.23905859945136396,-0.8009513854799853,0.0799150881669751,0.6727379981941854,0.19795485221583808,0.5517067258938686,-0.23449575085776386,-0.08447188111865557,-0.0049380002485555855,-0.9617345095687608,-0.4525578740396611,1.3067768566978055,-0.17627751139021375,0.256992085708286,-0.04249331695596978,0.3615196534646307,4.0
5,subgenre-theme,novela histórica,other,100,50,0,0,-0.9782849189234492,0.5933210717386219,-0.28487543086303513,-5.3698670994803496e-05,0.04748666968160351,-0.1844124550288133,-1.8833085237517009,-0.06857048967588916,1.1424373232477312,0.09714215762523913,-0.1814331592348848,0.3783856364065417,-0.7442187993691588,-0.573590716179487,-0.0039902181524989365,-1.024648058476371,-0.08285047666334702,-1.008510883548084,0.7737362058594713,0.0736210684404337,1.6394866636755054,0.020756157354201752,-0.2950010922129631,0.07881301089287637,0.3183226303353913,-0.005631247010442378,-0.21208690712808886,-0.9804831328519288,-0.5498115751188053,-0.702432798257325,0.08828184397260969,0.7223698756557609,0.4481961531311793,-0.10139833234566901,0.3448709549271785,-0.4949317328230113,-0.009035496040893176,0.03923425523887278,-0.5123086598055908,0.4258615388921724,-0.4375025925111273,-0.3253770363800917,-0.24107924002356496,0.8235039887159613,-0.8112210902738825,0.2403900426717158,0.3771978277058144,0.8069835260318983,0.032414684078317615,-4.3662448422915834e-05,-0.12605066669352052,0.7700837402202569,-0.3104453081817533,-1.6287086284094598,0.08165960803615407,0.009535739700280887,1.1066613333140167,0.007281333202213594,0.4783060337079339,0.4381236045806429,-0.7741778321127484,0.13055171365793192,-0.3955180014532869,-0.16235195262679947,-0.5129133985770882,-0.4407194401259293,0.5146360572305673,0.3906283888595816,-0.6082882527923741,0.5290686871348583,0.7926270007159322,0.16290403716271964,0.12454212279261355,0.12789453218055047,-0.5361886883980406,0.5959427671794844,0.1411441485146291,0.07591517057833343,0.3202238565679043,-0.6424850455222268,0.7732278034759359,-0.17393441702754034,0.8821887570105912,-0.2848793616177578,-0.17431811116931387,-0.8116342063139677,0.10714032456848192,0.6080939553157493,0.0890705444027989,0.5508902339885662,-0.3793316155767288,-0.06319845163584238,0.597528626578504,-0.8810498079106849,-1.1287902374618168,1.6410438462357182,-0.13705724707465658,0.13538074846321818,-0.1054941149774974,0.6167745443921119,5.0
6,subgenre-theme,novela histórica,other,100,50,0,0,-0.9825121070091384,0.5295145891380986,-0.3143698087145126,0.02136771897683739,0.03770667123927437,-0.11635495932167772,-1.7507858019767557,-0.09341553126215003,1.0562334589699776,0.25531999008126066,-0.01601139419734382,0.5554926715965872,-0.3931951159940422,-0.822285667758283,-0.004983345773487167,-0.8611467011007021,-0.5590662486149109,-0.9364899147203632,0.7088189633993607,-0.03868415058291745,1.472000465074406,-0.0016356341278311855,-0.7090214177401212,0.09854394549216117,0.7040353582012104,-0.004152981513157354,-4.682948638739893e-05,-0.9937737220661804,-0.514569730481198,-0.4369914319761722,0.08791465892814049,0.5701578492705401,0.3082191048323729,-0.10698877881023787,0.05961627503521135,-0.6377189953905813,-0.009675342136448216,0.03871766290943443,-0.8993240307952228,0.4889980903669496,-0.4831422167279145,-0.4290779118309286,-0.045882891506178164,0.8933708666263581,-0.4288138248180736,0.032431917320429764,0.3627398963194163,0.7204595710178109,0.060549414851501365,-2.4788198413075822e-05,-0.5176649690999624,0.578516018837422,-0.18467919982508005,-1.1553655322841925,0.08159496207015425,0.009540631826209152,1.3150144788300715,0.23191343151186486,0.4744341132819778,0.34232649948866634,-0.8847324570255171,0.2759266444902497,-0.16531178879306546,-0.4176703279851978,-0.5164321369179887,-0.1666627873143049,0.2646344341568393,0.3058296658251948,-0.6058462218784256,0.3634025908014428,1.0197776846417443,0.16248171223375948,0.12550448644359044,0.3655137436886128,-0.5959315697700411,0.5833882304754971,0.1817605409986627,0.2147372681549944,0.6806150568729679,-0.6038948810735164,1.0338150637588008,0.2183257368204891,0.8290394560950591,-0.2487916628181113,-0.11011692486052246,-0.8041099265512871,0.08958714811307343,0.5849776614343997,0.11219251963424606,0.02951959776147336,-0.23341306354411284,-0.10365199908025198,0.5420465223037224,-0.8975292538248149,-1.0775492339569268,1.4961813745167083,-0.2369034947866427,0.19327819024040901,-0.16998792758081374,0.5767320756659153,6.0
7,subgenre-theme,novela histórica,other,100,50,0,0,-0.9778085335116908,0.5666185949249596,-0.18102095400257745,-6.230465989279092e-05,0.17651129074656186,-0.2794847541663403,-1.4980296712953505,-0.08343970037895428,-0.1353584028906058,0.5307473159499302,0.2110821153497124,0.4298491938940784,-0.6400733928192932,-0.42092009430829397,-0.0013414533673305818,-1.255180664060905,-0.5792444189287154,-1.091361784072765,0.7737186382267508,0.037404616057923286,1.5547091455741129,0.34838905558223937,-0.6858232076023242,0.15902982813627914,0.4305635152289299,-0.011746974341582913,-0.1591198694979208,-0.9794058733901388,-0.6503914534614377,-0.5145204694568577,0.08974496664406739,0.7227505738602706,0.3736915923386839,-0.1024585123441786,-0.00013491448534811828,-0.5810657636634741,-0.009637667084262504,0.04067573128857108,-0.335747359147173,0.5503841449843534,-0.4568774517443026,-0.8518262891927522,-0.3858767508706653,0.8311885603047546,-0.954285750982198,0.2654463594288856,0.06090500006974765,0.7120013165033171,0.13580781925316365,-0.0017700230958552136,-0.4274420025470742,0.9236019581984064,-0.39362722092159536,-1.463336805049681,0.042642800834246514,0.009529810718447142,1.0632698092961836,0.2573986792588749,0.3687964656688773,0.4445848855597404,-0.3375590401132227,0.09357082432011024,-0.0570225982900798,0.10701988364147816,-0.5169158006900926,-0.13926672749693106,0.6621581833736818,0.7984402476197086,-0.5137986479129777,0.2127866482398945,0.8408405104062201,0.12266520960152995,0.10560593926999837,0.3324563767726125,-0.5472265262709439,0.4787421258047429,0.22341317109227346,0.6242322796735155,0.5656352768816375,-0.6004343855883078,0.8994537961677475,0.1882826822061842,0.8887746515336993,-0.4383108596384411,-0.23908138524864864,-0.7931988002364408,0.10266794590835968,0.5451970760072561,-0.0689936612892421,0.3642448597717686,-0.299142257485604,-0.04666599499419709,0.5869168303603453,-0.921706418829145,-0.7731154653826565,1.4391120196095906,-0.19837658247542614,0.2133853849717684,0.04750030860654659,0.4404985024189572,7.0
8,subgenre-theme,novela histórica,other,100,50,0,0,-0.9776007646725864,0.6201084999655221,-0.11814656582661068,1.0913269029249257e-06,-0.19305528031210484,-0.3477829054051374,-1.4731095351973509,-0.08543245139186499,1.097428822987676,0.3288101633407373,-0.016665585234029594,0.7550453157780251,-0.908730783330618,-1.0239984859957836,-0.005192444034511526,-0.6091211138463938,-0.7212052888307141,-1.1060663163095514,0.7738480501310872,-0.14559435882779542,1.8088185787118776,-0.0010882140325377317,-0.5210858199322673,0.014784773591060488,0.15155517769841662,0.005359044681325583,-0.2449900433575416,-0.9806735180085852,-0.6904044296072634,-0.4626595402800384,-0.001968645078292128,0.5498901304454118,0.23738944880590995,-0.12064960302909422,0.057871326997323065,-0.537138720466939,-0.09622843134863897,0.03992183654642208,-0.5710177060533504,0.6773041520110961,-0.5222686628948079,0.2027516148339389,-0.23923396957443,0.7565718636312841,-0.4953986624696997,0.2661172386971493,0.16209607258890865,0.8443905125429101,0.14930704599302042,-0.0015107570277239038,-0.33290270696476226,0.2866732482582241,-0.6435656547566113,-1.2492581579478972,-0.041666315648577576,0.009573486542167086,0.5976491244157429,0.2109660918584262,0.6012752943739544,0.4867401941055448,-0.8368222890527709,0.043851595483032864,-0.29876929776426797,-0.1381785318900862,-0.507427189823086,-0.2017953801121484,0.5076356826255648,0.33667506552393495,-0.5356399159950839,0.10918092592277688,0.6116467497474704,0.5413709657431516,0.10574602502306438,0.22050389338090895,-0.5820305558036443,0.4483508139165848,0.21326081539678665,0.4015484594028701,0.8198807109818712,-0.4973019773029024,0.7244478559356056,0.2849994136076045,1.1465956943001687,-0.3641521506017844,-0.2177361686779979,-0.7771126744384568,0.11433876619815675,0.514986902581738,0.3546934611780688,0.5313758883796945,0.015641282147187442,-0.0931088253733998,0.5972171601837131,-1.1955471231864876,-0.8360920107731697,1.1200709966405689,-0.248786473815909,0.3251823781208695,-0.017573044398819588,0.17437550213188674,8.0
9,subgenre-theme,novela histórica,other,100,50,0,0,-1.137889611551424,0.6172033311007024,0.022510351269435847,-5.82674049638613e-05,0.02762764004948504,-0.2292909675360556,-1.6667174549154895,-0.08932140975015067,0.997830262626962,0.14500944326960705,0.21824576423301534,0.5304439534751713,-0.7095943117515575,-0.5657419147959128,-0.0061929192763792214,-0.25129241432254723,-0.5607754416282509,-0.5112563157660658,0.7737268795820014,0.12411719425203616,1.6790130164288422,0.0275429226064907,-0.7235687781004936,0.10212819034289328,0.03930667385890025,-0.015431490170542168,-0.02416456630344396,-0.9722293926273732,-0.8281646192461991,-0.6978017633518478,0.0877776614062319,0.6012572706698835,0.390211531083114,-0.12663037412769212,0.036608464364991836,-0.585826092759942,-0.00557294112607003,0.032178767619105424,-0.5219003823743602,0.2844525570468611,-0.5054844157102879,-0.16746564181662107,0.05799148957367185,0.7721484182294025,-0.7258484596689269,0.27076616066713066,0.298436814424458,0.9910896187504044,0.07365057686522355,-0.002077463142377149,-0.4169857070426874,0.6496530276760516,-1.0117807093553075,-1.599622567696249,-0.04962989535304839,0.009532592131648523,1.194133863224926,0.406950776994695,0.5993676508878131,0.3835780055891022,-0.7209339748268543,0.2606046771852204,-0.5631766970972106,-0.3717740318809597,-0.5148082004854724,-0.2510540283648781,0.10618898036061117,0.7150287289609866,-0.6352509120156288,0.2415629618691036,0.7426183483956256,0.1623505849491624,0.10565595210603708,0.4961965100549994,-0.18894598522686,0.4920461890080784,0.19513629414017386,0.3904383750283728,0.9051691620602677,-0.6672362730330111,0.8755421498640299,0.4002621209120403,0.7030218121504741,-0.5488272468360035,-0.2923297339731529,-0.7887340471804505,0.15290104493972098,0.8941415960894793,0.18089363783017,0.5800915617961436,-0.40345215843555615,-0.05154043343722129,0.5046176000678282,-1.232752471813276,-0.9111791297185476,1.5111632204836156,-0.3711465307385727,0.28286630323448303,0.023192232759865497,0.4210593097879674,9.0
