,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,o de,a de,s de,e la,de l,e el,de e,a el,ente,ando,e de,o qu,a la,para,ment,os d,a co,n la,a qu,esta,s qu,ento,e ha,e lo,de s,la c,e su,ción,el c,n el,a en,en l,ante,ient,ue e,en e,o en,e es,como,o se,e se,e co,n de,ue s,abía,as d,a ca,e en,o co,ue l,habí,e qu,el p,do e,s co,cont,r la,enci,entr,a su,e un,ncia,es d,endo,la m,iend,pero,r se,a es,ella,aban,amen,os p,os a,aque,la p,o la,taba,todo,os c,ar l,ntes,quel,o es,do d,do l,o el,n su,de a,el m,do a,r de,a se,do s,ació,s en,idad,e no,a un,ombr
0,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,0,novela histórica,other,-3.616255095112397,-0.35433876858596847,3.7576261117775864,-2.120145863128556,-2.5538112563380153,0.25943456852274593,-0.24953661064670385,-2.761530034531379,0.7146010305114814,-1.446386472724111,0.17652192058894656,1.6823867548031792,2.067270293475122,-2.699909440467163,1.6246133525725988,-0.11980970252004042,3.919819597977172,-0.04799040265210763,-0.1442262447091487,1.7041958015430652,-2.6557694929908955,-6.155085651333664,0.2715087987216016,2.30343613539166,3.2458552733166144,-1.825836161447338,-1.3607079559662836,1.3385732617912147,-1.7094035854548082,-0.24265492870202365,1.4959895236201213,0.6665815968115769,-0.0014199230372540228,3.730166918654106,-1.988021595741067,2.4011143267058657,-3.382972359629065,0.8527336935898795,1.0687685630289678,-1.1691051628889682,1.5330041011693822,-0.9333453981744739,-3.209625732352432,-3.3396370842582748,1.6754795122058788,0.5981143170889389,-0.40138485251580747,-1.610878011176407,1.5180284287203527,2.837992855064453,1.1684818078532366,0.799739666712231,5.650304759768883,0.893548786938581,-0.22031466890508966,-1.015043906854297,1.104381160362518,2.544389670324893,-0.5302341094355079,-3.3110678258991086,1.911920010959367,-3.7947663339152555,-1.0757188413871361,-2.4102878109010053,7.216797421076857,-0.8882308798283773,-1.2976119583306165,0.7436969129647579,1.7721981985926192,0.7739620327077716,-2.2018189950617852,-0.7874146644694626,-2.905878721957251,2.4363361470868448,-0.5416517433882859,-2.0174762311818917,-0.5409268314675479,-3.1678319374791144,-2.9519823521230606,-3.2396355172327382,0.21862345929288907,1.3823362521833573,0.49280465031636567,-0.8528177084635509,-0.3083208930288919,0.057748803604361854,-1.8382584399647293,1.6538995118773414,2.506050785506254,2.186134017918924,2.3864144068014,-1.5710417554165943,2.0110243012800453,-0.7186458653232037,1.3563856598160697,0.36256604507278034,0.9785563396719468,2.813749955736977,0.9417381252212245,-0.9138144245057269
1,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,1,novela histórica,other,-3.0041504468575404,-0.15710521799063848,2.726857415269741,-1.6546564907101606,-3.00861775989904,-0.7134515633839662,-0.357697720928182,-1.8481758951529388,-0.0614065300290898,0.4101349230199567,0.6234290337526236,-0.21771091048171165,1.4701611630570461,-0.9460964019314861,1.8753511773918339,-1.0592228252850293,1.4504279529107231,-0.9162540414372211,0.8460725577737591,2.1254464448483015,-1.433393287142855,-5.406040985163921,-2.5286795531818598,2.591152562199664,2.5723032655247122,-0.8229703413793032,-1.580753067896084,1.2066127915490723,-0.9042835556580817,-0.9023666931171705,0.1464031961599197,-0.040930436336680476,-0.08325689286911064,2.071100713699466,-1.1180275688165242,2.760265353003268,-2.701822121257125,0.10837651900398004,0.11830589334866826,-2.420119956511482,0.38704851399180384,1.30813112240941,-2.865990198411275,-4.1733645175790235,2.2161559680581977,2.403073467053756,-1.486883867711481,-0.19616966542901704,1.4826390590027758,3.5179470227896634,2.0502926312607404,-0.29322930132497227,6.276553665675787,0.6154312080378359,-0.6327909975622665,0.5589061457658211,1.6508626002435953,0.33946593738174613,-0.37855420274239737,-2.3809941977303124,2.0601258887673843,-1.4885993228525818,-0.7695440845461299,-2.6080694606293275,4.405832677271455,-3.141298758802835,-1.4466154473792443,1.1462090498464743,0.229683361219867,0.26336277417333864,-2.344159568283181,-0.6541744486062413,-1.2525285281286163,0.9040735387331478,0.17565681117958531,-1.335000182416028,0.9139517979557104,-2.931472155833024,-1.0417572440486498,-3.3956840485458843,-0.6296576909440517,1.5612799922257752,0.1071294418262192,0.33661501725239784,-0.3138317734768896,0.3336758667128268,-2.5009289048758068,-0.1740687717422995,0.884630361102333,4.038294631751404,1.44090029908605,-2.078026214422506,1.9172128863943683,0.5491381511385423,0.4088990486866626,0.4666873784500001,1.0883566588222031,1.8382383402537839,1.5990320437338026,-1.1728207030863156
2,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,2,novela histórica,other,-2.467230993679952,-1.2029727276587452,2.3524758083668766,-2.0205414636794106,-1.5595668858316991,0.5700296568656222,-1.3692089772217597,-2.600660412561217,-0.26369427131591333,-1.4627313417831145,0.34051047352926883,1.2838122176718296,1.4603002141990766,-2.7757955169967947,1.5158495282945246,0.22357180859362208,2.338738751241098,0.05923850372848627,0.23859539443560873,-0.15096694922867743,-2.175353890966416,-5.3822874246521035,1.2382700379173155,2.776238492611483,0.5930272925456412,-2.7666760013183747,-1.1578769371904885,0.2805879262799451,-0.6043426936518056,-0.4921348756329473,1.9110823909689358,0.35432713240725133,0.30296981634103626,2.0575503017768972,-1.2527771695507146,2.9198105565429624,-3.001863000353092,-0.26001534075668276,1.2911388395477568,-0.7137070857334226,-0.26053827184644796,-0.6523437235982641,-1.501837893684133,-4.615363416425623,1.1030785850782308,1.3668963677506252,-0.8799755426070279,-1.7911138660791197,1.4013061699906193,1.5961162842551242,1.139648081097693,0.45475424253149177,4.144972413214238,-1.0752900564962222,0.8789518763489106,-0.44891162602664214,2.0745986055022336,2.269011255741651,0.03521108528353767,0.2956798582698106,1.645191022265353,-1.5240658529250444,-2.924790130093088,-2.274196010542028,5.4269465882207015,-1.3305394955694712,-0.870685486234123,0.10548054008912727,2.7001560226728856,0.773450070245291,-1.1414043402623661,-0.07252765542450157,-3.397721145985549,1.5470941656713406,-1.1147651881659353,-1.3938413647828916,-0.6741118423702346,-1.6610467050269582,-1.2802032278098874,-2.7464035695889804,-0.6466672393919815,0.9861844131187943,0.5854470125561153,-0.759329766373614,-0.6755844030974892,0.17682992600936193,-1.9149969260597668,2.337323757092647,2.819049097203421,1.5780851234704925,2.900453041362383,-2.0076538642909783,0.08045696363934998,-1.915273463748223,1.2308658662698393,-0.6687535763292178,-0.3105863554827414,3.6333814416954184,1.963051243189591,-2.3510382177723654
3,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,3,novela histórica,other,-2.880065221961015,-0.010537127111030387,2.9062382137445253,-2.094157236712004,-1.7592593438437243,0.6547423893171773,-1.4593868288009948,-3.1962746779374855,1.9103576133251208,-0.5084789862056376,-0.015645213853602513,2.5557765076824044,1.2350845616982316,-0.7849930073918205,0.12066646650166035,1.4696058386602213,3.816260051961592,-1.7871847206603477,-0.7349900694986093,1.4432411839212573,-3.2489664288490876,-4.645008539470192,0.8800697133891764,1.2594921912832624,1.5045938091393447,-1.7247375692125306,-1.1041612682831987,1.4027121451133429,-1.3676558668449075,0.40016337967377735,1.5290480683214147,-1.1327663295833341,0.6407790294553393,1.3712722986006867,-0.2895246127646365,2.2723531716861984,-2.203600808711112,-0.3529401376358554,1.6054777466717418,-1.3940413709927197,-0.15479452369429358,-0.9673572360465119,-2.058667426659004,-3.0051217475416285,0.18707604254853671,0.38584939067518387,1.0400353896048227,-3.4118489156093803,-0.9113294863679413,3.039504988193368,-0.4901256728881185,0.47729236657577623,5.624231401418485,1.1035627764684541,0.8682546438735557,-0.9616623086796254,1.2754311280483677,2.719461780243816,0.40252706350252776,-2.570719615197629,1.3496658479950225,-2.018454644295101,-0.008800573554726299,-1.3159394654548409,5.251428477850877,-1.9629829746730916,-1.299850608487441,0.2184679930547362,1.0105034254931002,-0.012169315240133871,-1.5870402912387778,-1.7022388343130062,-3.306990838086459,1.7886992178654182,-0.5912884830440936,-0.4421754481346376,1.5590774709774513,-0.7649992789413265,-2.7113513367299635,-2.6694035677132844,0.4015763331107878,1.703319475509284,0.23344593908419498,-0.030033961704362344,-0.09504915327490615,-0.5529090776789443,-3.164755123708948,1.8017229906929066,3.5278012624556228,3.9463357817937097,1.8594876142152743,-0.8191817954513598,2.4181632794533487,0.7374113745160387,0.795443855606341,-1.1518378081434908,1.6434105376728332,2.2906136792829876,0.7538285237053937,-0.5276195842508535
4,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,4,novela histórica,other,-2.92599047795905,0.33281249126927603,2.89140374098373,-2.2867461609190665,-1.943028586995848,-0.33789657349840097,-0.9356170688550458,-0.2175638498950161,2.192222116301285,-1.642568260081597,-0.2870983799887288,0.9877629146158782,0.8363792166573112,-3.9769490277063224,0.8795215610980285,0.40458420635545145,2.404392644129354,0.6116945801410785,-0.3251128338573519,0.6999655094799029,-1.502860095042684,-5.682709782907189,0.6083552784079975,2.578494317922758,3.6249692994469944,-0.675155341642462,-0.7909699527070821,1.54359422369006,-1.930859209036759,-1.0551871772314527,1.7405293464339553,0.22253478845570673,-0.4077455632751299,2.1055141581698145,-1.038133082778443,2.175483231700974,-3.7360779979522123,-0.5306184819206705,0.3287676507277033,0.14579726485469768,0.9422686650008809,0.10474962147620204,-1.105225492553135,-1.7362024735608124,1.4478248392390036,1.6531130338654458,-0.43420340205161123,-1.2538327169847916,1.5100196870464235,2.027013400248214,1.2728006346801712,0.09044682336208432,4.685225679225075,-0.198426916294131,1.3743634388048864,-0.7928320464285328,2.626816467634866,1.774000498803939,1.093297341762225,-3.244511030802249,1.9029755941537405,-0.8357739699605222,-0.28701893051488536,-2.2378771139928606,6.052432651781384,-1.381461488134314,-1.552819479740523,-1.028660041372615,0.642842062920598,1.671256305841296,-1.561995387339564,0.4014210084738208,-3.3819254503296077,1.2688880298156457,-0.4452217401612051,-1.5462766248897513,1.0112504987501392,-2.061346395252612,-2.230814422750787,-2.7266124408771764,1.0903737822443746,0.4122518033851419,0.44583943501315026,1.5426901461731237,-0.7454378131023268,-0.6286220529639255,-0.4015633484790737,1.5572029104369198,1.4675579210801186,1.2873003952955226,1.536236199676314,-0.9480610160709206,1.0092745524551938,-0.1261486646022716,-0.0010169106710877784,-1.092887889092315,0.3504066691786223,2.8693479365599286,1.9279675612546527,-0.43512183667031445
5,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,5,novela histórica,other,-2.570793478822398,-0.573557999705578,3.8023498436452767,-1.441976842288808,-2.3980754120006367,0.1664580298289513,-0.5565184188115886,-2.723300957677359,-0.17695866089386758,-0.03389353812718232,0.36986371463937395,2.078759644704011,1.2206072947135915,-2.327960113965374,2.3043676532898143,0.856884914344727,3.615517924381492,-0.20783436571547576,0.6216526682779824,0.3992786331020941,-2.6624034366517746,-5.38735640081699,0.40753276837772034,2.393385957505533,2.249827761923454,-0.9290149780176424,-2.5109378270434366,1.4763606660469462,-1.885777570429866,-1.6988847871154915,0.926740176812328,-0.17851474421355906,1.1518206628241758,2.283716908996009,-2.633505303757623,2.160008362247072,-4.461219523186198,1.2167668166865733,-0.3957090944185282,-1.8314139956701023,1.144950003085448,-2.010904318632992,-2.048885419490219,-5.538199073258905,1.3214259609883379,-0.13317733082979766,-0.5195897223046178,-0.5687725975276727,0.6906764862258985,2.6874212044565597,1.1019917889596997,1.0253880299517384,4.676918882542863,0.6685451464960792,1.0765003452337183,-0.9627124335505828,0.21628671895774332,1.481795948514545,0.004089440151680002,-2.9139182843067575,2.455858944480414,-2.1792582484113057,-0.6378323570492261,-1.2104613466225271,7.411582146129438,-0.9798472436491208,-0.019717129515777643,0.8029025252289248,0.20833148566226978,1.084289626204662,-2.7035318064114584,-1.1794079122963286,-2.2066709974292564,1.4095412955535926,-0.6785433390392788,-1.30042609422022,0.23214931690818874,-3.0785295579525638,-2.791346518041832,-3.716581285966039,-0.5300889724459728,1.5638090665336728,0.007055017511885087,-0.38802732190143807,-0.9354876508645382,0.07214728439726592,-1.5635437897785591,0.8654924893759963,2.2402946318542973,2.323235839400279,1.806227428919695,-1.8619084872298597,2.337464297353425,0.7531911574920689,1.7429125122541338,-0.08303763377136164,1.2086760008360695,1.9504679154894946,1.4330509529830184,-1.1843606080688165
6,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,6,novela histórica,other,-2.57144866502672,-1.2762788481525824,3.0152643313837624,-2.630987714278797,-1.6620957327240813,1.2020582885866329,-0.0512232521738234,-1.8662759000542692,-0.21302485115002057,-0.08962414894375303,0.5707677201407488,1.463553677051964,0.857925517277569,-2.253981030334911,2.2235356335324266,1.0373623901382114,2.5692492274911496,0.18773029372195182,-0.20862356443790198,2.7278432836244795,-3.4479621994735066,-4.410068391229148,-0.5893683559016161,3.613572275985651,2.7354289965909864,-1.1771549872084979,-0.8748487872433355,1.6344028663087808,-1.2953453222469458,-0.03252044091220263,1.5317922386783884,1.3793111617571787,0.813837019821479,2.2693982793502645,-1.8666508560776318,2.125735379465284,-2.6953454868768585,1.9987207860562375,0.7710492119452983,-0.46373854845066287,3.1477225681264267,-0.21547754012203768,-2.3085505645597655,-3.572133748154031,2.1371630492988256,1.7596399743274236,-0.046778503315065834,-1.7792652958710482,-0.6455041682803371,1.6420139690413746,1.9184640387397023,0.33379196777034537,5.170072620941546,0.9750262317890677,1.1306049038567654,-0.602437939345922,1.963276994074512,2.2862658032666303,1.3548188056935686,-2.351370013423761,1.661061150007245,-2.4925357675786692,-1.4566065255460607,-1.562433319469688,5.430041310706814,-1.1939697022637281,-0.033220228303139976,0.6912791720481213,-1.6602094993502545,1.024124547798615,-1.854580900561638,-0.5069189280977247,-3.9875736657201486,1.7071992021371853,0.06996149436412935,-0.2635423543570461,1.4568599364091162,-1.992184222275407,-2.0996677525017535,-4.700901319880892,-0.8598694187837665,0.6812015138613168,0.6502686038294305,0.7118322812357629,-0.2343352772738898,-0.8744600058541097,-2.251725075891128,0.2162484798515667,2.6679768925614855,2.508864162920551,-0.35126454310538424,-2.5303248155615004,2.1405704892052224,1.0123550443137503,0.7842118252646468,0.3084963872450732,2.243220070556868,2.993164432716112,0.8459662792657294,0.147062460461175
7,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,7,novela histórica,other,-1.6943398025665504,-0.2639014870164741,0.627360215483561,-1.612219185043092,-1.5168592250321349,-0.7893132243521689,-2.30976919109088,-3.715331977006967,-0.14372949479340147,0.7047784970686541,1.7165952350985771,-0.6479720448497478,1.4950429414224504,-3.5745667771460194,0.7043464137567612,0.056315918940948353,1.9474098794979007,0.7420372721722647,-1.9152368079769797,0.1663257574764736,-1.577469736954909,-5.597230082407837,1.0925689191560541,1.549732741308206,0.2711051216146399,-1.4930069492416866,-1.9504363548090575,1.0516320445386773,-0.8400706809648535,0.4749559749969088,2.0781935119281054,-1.3631036718519227,-0.30680410031352445,0.6879781840770443,-0.6113304828118433,2.2656910934397296,-3.7471910406466544,0.740819035424167,1.1868498422373592,-0.7412915139002132,0.44793527967284563,-0.6341261317989051,-2.988311875042637,-0.4381854164626996,1.4226747630411594,2.356535540442725,1.0385464520600656,0.15526790801956525,1.0880726697554146,1.1491499982897186,1.056242424376763,1.8956240108796096,5.131977880646506,-0.13360234348582903,-1.2275292462402108,-0.23988783103378036,-0.36114378707974626,2.1047330377093796,0.15428692216730716,-0.21769544279929282,2.583958666331602,-1.4340483214330095,-1.1723687771040312,-2.332820985570431,3.4340241502959095,-0.04492922195181105,-2.7283457731919976,0.6883631386016306,-0.4003939275462809,0.3048647149208703,-2.6057428171209667,-1.3367450253244655,-1.3922225332643157,1.2655797577202819,0.09553304743225309,-1.4903174867968636,-0.2135890762370657,-1.8823364735794077,-2.06705938191904,-2.011510417776473,-0.5994925786577199,0.8906897625283667,0.5351007645168394,-0.813793950500082,-1.3722340986275916,0.8433963237946374,-0.9604684749795503,1.6884879041157799,1.8564877242725737,2.03540826176952,0.7227300924835605,-1.1464242699240275,2.005906453126493,-1.025529044548993,1.1086235454827698,-0.5975482610997779,1.3276611364849091,2.7084835046344624,1.0014503051912707,-1.898512077442318
8,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,8,novela histórica,other,-2.7684747326665082,-0.42516501392290706,3.3791797930663403,-1.4471893815773091,-2.611673430624,-1.2066289715802658,-1.760657269477485,-1.9015245862307717,0.486529575935728,-1.3546425945245568,1.1235621450574564,0.25014417369281094,1.012578866521165,-2.4846663930867185,0.16797339998218064,-0.6057427013099135,4.25928191718322,0.9769047055378701,0.6185394479998072,1.134303351868736,-1.6276726638458174,-5.877924770156673,0.03299130874224465,2.5981211978953587,3.4842866033763196,-0.9811095951864726,-1.5791456347517956,2.2794541775420094,-0.984547751831033,1.235460075187067,-0.4421256700848817,-0.17540333979451495,-1.3568252574333344,2.6223553417928747,-0.9655254317401489,2.637216629089994,-2.018761300185131,-0.18832443858333203,1.068104209742248,0.6836236314394899,-0.3630006452275274,-1.6373177558442693,-2.0525068325330715,-3.8960846842145056,0.7144625314198196,0.9334800037537936,-1.4567754357845493,0.08554614139055516,0.6154162709913238,2.4684358666792168,0.29711743087239517,1.64428356801064,5.752746422063515,1.3052729214414436,-0.3009030617247781,-0.5677613829235253,0.8570506151062252,-0.06342367111553227,-0.9278602587506919,-1.5771103951198606,2.2574059346286175,-0.6266308944206829,-1.1431429924241172,-1.435012659839168,5.103336464055224,-2.422761977793382,-1.2434138175828484,-1.3947406603848047,1.8596117628918503,2.2811843946478465,-1.6320817992021346,-0.7237376945279972,-3.153919036748533,2.2350023392265994,-0.8232865779990939,-1.8618245346751667,-1.7422507179986382,-1.7616192523967227,-1.5555031112108844,-1.948838053626159,1.2166555709648335,1.9009002455035549,-0.13088072627064218,-0.40777109793193533,0.31227309006101855,-0.5323836020637969,-2.270463161247543,0.07708384127816803,2.9132394480140262,1.2387033296622942,1.2126485777120393,-1.0984371425995207,1.4859500073646301,-0.14521876570988645,1.1578856736784564,-1.1694481691698355,0.6703833926080378,2.2612638801528426,0.9333774261788115,-1.3028837712249213
9,subgenre-theme,novela histórica,other,100,4gram_chars_word,tfidf,0,9,novela histórica,other,-3.311871923644855,-0.6198155693775833,-0.4404084661519425,0.31714677457745655,-0.5636331120772002,-0.0385101620283792,0.3512357807680284,-3.1584015900923323,0.7719606501651097,-1.899511123928443,-0.004580694638292471,-0.1843298094433935,1.0024540940830318,-1.7325501782291794,2.390976054779893,-1.6647762718085315,0.44492392742295905,2.4197927762790465,-0.3915147192379995,1.3708313478956544,-1.936592334520713,-5.893024055273468,0.050669575032253666,0.784200454577868,1.5135175980145958,-2.648008578522264,-1.0311985035747617,-0.30517657648291785,-0.9450165936854118,-2.967816678698046,1.6382208733021928,1.339886240269401,0.07216342205581316,0.7834076032514783,-2.4825892584641007,2.770957450159499,-1.7991371003939234,1.4147633639688266,-0.23458110530285303,0.47754124083246596,0.9432535798805681,-1.160856358261545,-1.5768105076434615,-2.4697876635186873,1.0574417510460452,0.8990995226651188,-2.263359363990963,-1.1090650872226744,1.9101883451131776,1.2010212913081673,0.8468451953973085,1.0712559891836047,2.9083007561043273,-0.7342960016781497,1.7084449360257459,0.34225638824922444,0.4260546833210359,2.580480644138426,0.0229625203761199,-0.5959188045971096,-0.04624581806884065,-2.161846177388028,-2.5340700734440005,-0.728307564919185,3.802197739094602,-1.141225373410424,-0.30009375096445345,-1.1041366778871649,-0.9442079888128065,0.7469100541856353,-1.3713725689395972,-0.5888837360764563,-3.344475717556896,2.417286605662606,-1.0003935253685747,-0.9118554476827078,0.7047459319533687,-0.13412419439526047,-1.6656632154431168,-1.6170039267080916,-0.6126386801725833,1.4332791360541544,-0.02152694960099355,-0.1857203588728884,-0.010811465933128428,1.0133062659907814,-1.6645940365685716,0.36909529437647093,2.1714495761627304,2.3540922664150146,2.380861367384782,-0.12432680337941537,-0.016915435938229972,-1.3134565432096532,0.041981605011257805,-0.977304250314448,1.2929747260154212,2.0748396961478512,2.8406887359120687,-1.714511854203825
