,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,a el día siguiente,a el extremo de,a el fin de,a el lado de,a el llegar a,a el mismo tiempo,a el otro día,a el pie de,a el salir de,a el través de,a el ver a,a el ver la,a el ver le,a el ver que,a el ver se,a la cabeza de,a la casa de,a la hora de,a la luz de,a la puerta de,a la vista de,a lo largo de,a los ojos de,a los pies de,a uno de los,cada uno de los,de el lado de,de la calle de,de la casa de,de la casa y,de lo que se,de un momento a,de uno de los,dirigiendo se a el,el centro de la,el corazón de el,el día en que,el fondo de el,el fondo de la,el fondo de su,el lado de el,el lado de la,el lado de su,el lugar en que,el mismo tiempo que,el momento en que,el nombre de el,el resto de la,en el centro de,en el corazón de,en el fondo de,en el momento en,en el seno de,en la calle de,en la casa de,en la puerta de,en los brazos de,en que se hallaba,en una de las,en uno de los,la calle de el,la casa de el,la casa de la,la hora de el,la hora de la,la hora en que,la idea de que,la luz de el,la luz de la,la mano de el,la mayor parte de,la noche de el,la primera vez que,la puerta de el,la puerta de la,la verdad es que,la vida de el,la voz de el,los ojos de el,más de lo que,más de una vez,no es más que,no hay más que,para que no se,poco más o menos,por la primera vez,puerta de la calle,que a el fin,qué es lo que,rayos de el sol,se acercó a el,se dirigió a el,se dirigió a la,un cuarto de hora,un momento a otro,y a el fin,y a el ver,y dirigiendo se a,y se dirigió a,y se puso a
339,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,3,9,novela histórica,novela sentimental,0.0044633400677123935,0.009180304805931487,0.005446978201212671,0.016810536922822628,0.010132336692629314,0.031202197130426428,0.004890319041730177,0.00746657918914229,0.009729798850281506,0.015274556900338394,0.005086870187640328,0.013926402591172622,0.005010536151556227,0.007990942484928274,0.0038222128455887615,0.02844987876733277,0.008694324756908295,0.006786105413933802,0.0070782129623199585,0.00702896148770489,0.004567033736814469,0.005073183906384372,0.00494193310157073,0.008849919778760398,0.04210015232424772,0.0058325022823161035,0.005326435284444728,0.003960384280917049,0.006504009225680204,0.00614726248686709,0.01066409620733753,0.0302026496358359,0.013793599368841104,0.012303799340389493,0.024539049704626958,0.007269051814272065,0.008144362325076608,0.0033559153981802623,0.01603648132971759,0.005067325110957353,0.010850961632300822,0.012951913001058666,0.02242691313628423,0.012612468351068915,0.03357941990061274,0.018254051949999087,0.003009870722694249,0.0015535474007192566,0.013429596389370442,0.007497963861875015,0.006718250728119806,0.021071435899264915,0.006352035501534789,0.0033545239916497015,0.006076925749598786,0.0056525437522240395,0.004952121272661131,0.009247204931318578,0.015895543773855766,0.02033401058639273,0.007980646229628465,0.017179318305205436,0.0040475881903723355,0.005480232097313095,0.006935573790741568,0.03051074895217773,0.005379826880098582,0.010991365018883275,0.006088952929946105,0.010274767044089514,0.01087569361366578,0.00657558166975032,0.009285373555587896,0.005327499261146953,0.012815373576335927,0.007470965740704534,0.002515709549678984,0.008086055080938778,0.0031146675034821963,0.007456430477288152,0.008435527542275719,0.0092664900930274,0.002798899631679088,0.00672999865942451,0.002035701658114929,0.0036173444445845803,0.0037859986387729304,0.00909327636208325,0.011621347434431,0.006018742808544883,0.021646275322896334,0.00815823999006182,0.004669015810000291,0.0075762424167230506,0.028216499985160536,0.003740142956127077,0.005039912406074688,0.004704310435250689,0.0035593630738284276,0.0019224562367485675
340,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,0,novela histórica,novela sentimental,0.005652182473233069,0.012000396653922323,0.0030697925678774387,0.0065385675283597755,0.008059164466395558,0.042407071675398325,0.002052403479300182,0.005756654328478225,0.009622883737704709,0.010549620669306673,0.0149253718641809,0.022757813037229072,0.0019370491093676917,0.0043086953431301245,0.001407840153162318,0.03084185969814992,0.00938193700093041,0.0033312914455556684,0.012419557394940413,0.007617866495961679,0.007202835168906839,0.006646611105433311,0.007828267638318388,0.011421990716235548,0.04128112586131793,0.004429652110878343,0.003203898521286309,0.005781956819262899,0.0038133321697638627,0.007524181630976005,0.01030279050742104,0.04853075114318055,0.01633186130009023,0.02614281598172677,0.021895239954209847,0.007018926732637118,0.007154338552507359,0.004301330427471662,0.020796636493820082,0.0051674053199540744,0.005175565851448123,0.007646468341540318,0.005465296687404886,0.0055739140441449266,0.02477699662571981,0.0065967614462289085,0.0057719296712286025,0.005090963881986877,0.005715751844679837,0.003567934199703413,0.0121055191032253,0.004319340458213806,0.007257403146831296,0.0028876915897204356,0.006580143241357239,0.008265259547039418,0.008928723768443359,0.0047504160199910665,0.006986303836546204,0.007603567474581938,0.004229312758166075,0.02130833804165143,0.003935904697589987,0.012181602709881244,0.008975449485277185,0.019514491296371037,0.005551652380781205,0.00554122044399822,0.011111104460331762,0.01659911477167705,0.02671541507288519,0.008464100231190944,0.00673080097449965,0.007825195000939079,0.005576807173303419,0.01026656878454854,0.0028969532515257202,0.0052043901526867675,0.006276580349251535,0.010654744305407226,0.0027093935646626565,0.00677106187702737,0.00685689820147293,0.008033190221632413,0.0028191381216608057,0.009200388377795412,0.005524304002918098,0.011208804472848532,0.00403847895079737,0.006545716337385765,0.025536933911717324,0.0066551690920924325,0.006604009916560478,0.0032862412635499536,0.03468750773961876,0.008515994419358797,0.00837524280392022,0.007512245430222684,0.005246207049220008,0.0038334098455563626
341,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,1,novela histórica,novela sentimental,0.008331246893805802,0.017882641903498944,0.0049460543549618005,0.017756716470477187,0.010047652743639066,0.018195563180984125,0.00431012352791254,0.005497346569433072,0.013818815722974368,0.018323677197956984,0.01928377256384218,0.010455823596166128,0.0034789652810244564,0.0020402422055566735,0.00280317676786479,0.032208450606294896,0.005644491037085156,0.004220255240162778,0.011280131087697895,0.005490545678512257,0.006271690448557257,0.0038106485338370065,0.010532602790223835,0.006375172537134156,0.03309532859019342,0.0022442048297008584,0.007383243850536068,0.007405264912923507,0.0043706466038570665,0.010375339596120125,0.011555205054076843,0.0326424372493112,0.024609607398798014,0.02200546741467531,0.02053874540942053,0.005792363086220103,0.004876084276852126,0.002783970742585401,0.009534236995412655,0.004428242278087486,0.0024956635443113984,0.004497751118079878,0.00528374010887049,0.007464419888478976,0.012910495820750404,0.006372972565787454,0.005058675521166759,0.005991014472429631,0.014244045100693633,0.005847798308584586,0.012635529795906505,0.008705958160460653,0.0065774467925552,0.003604610704866164,0.004772842687031552,0.0041854278435659005,0.009366106912268914,0.013049563391419394,0.007080563756425262,0.004227359326811168,0.004315427408735371,0.020102550534144035,0.004936037764098025,0.007866308366809103,0.009742892714138546,0.01164972253849209,0.012668673937579712,0.006001149266092418,0.008490967041631513,0.016102765564212876,0.032357698314212736,0.007987633551260566,0.014179109001892808,0.014938708805338851,0.007076460887291003,0.013632540613846786,0.005223881221584768,0.00863746793968866,0.005727952594360495,0.009022867526538596,0.01099848335414414,0.00787084667822612,0.003035922165622685,0.006994650947016812,0.0021196853884429493,0.005662206524168616,0.0029671347142433027,0.017632774602233496,0.015861935516945678,0.007351566535538227,0.022605620886042913,0.007295405893313227,0.0055048517490624655,0.003315011423397783,0.03297264104324279,0.0064942558163509365,0.0063070573353590205,0.0056993164510874715,0.01229639183586296,0.005335244498911621
342,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,2,novela histórica,novela sentimental,0.009789685057936665,0.010869754055455856,0.004325079686550213,0.02030235788553809,0.013545823397309283,0.022491667233556504,0.00307350607428702,0.006185542077813864,0.010741988468847987,0.016301925471144788,0.009774139437434779,0.02744271800378271,0.0025041215258519295,0.005125592506993261,0.003000820551460873,0.020627384637600967,0.006802097197551275,0.0067024092495903,0.008212191902586059,0.00604232448354,0.004748348536142489,0.004185431521463202,0.007329374325177142,0.007490521938135553,0.03831955071048064,0.0034514575443874516,0.007255419847841789,0.0021800190089676006,0.00833729006233549,0.005014755553786689,0.011132841661098193,0.040285732670740176,0.018648014950853792,0.023864081818135548,0.026167572156754387,0.005464943234076971,0.00833113917519653,0.004321641595506313,0.018003323482761506,0.006634524039778213,0.006128148912962624,0.009600475180650804,0.005413641828043137,0.005936433544377147,0.016820515145605088,0.007732852611302467,0.004614544514738765,0.00607465333349318,0.01807202094185192,0.008906364586487803,0.011041969531587136,0.005694504137430713,0.007389757953248958,0.0023234123079397553,0.003964566034576895,0.008205713728311982,0.012367053942867015,0.008201283946485177,0.008020525240140155,0.009438977484729697,0.005204742154850883,0.020374941999078546,0.0043452226819652735,0.0075145866602508585,0.0058314797199313755,0.016341917051267526,0.009043170695621819,0.014611775564073264,0.009150277162841829,0.01617728049882757,0.016218908902912724,0.0062183482325991095,0.008432122052753914,0.014707854603924783,0.0038402685772414118,0.014685335297277972,0.007815207865417825,0.010409761565423286,0.002684134860934923,0.005895162604575259,0.015659973867260035,0.008492581716193985,0.0038961597808478644,0.003360622973007299,0.0031979961199943173,0.005039769306591605,0.0038892550079237705,0.013530982270912258,0.007135854154620662,0.006437898384655806,0.015255832632869067,0.003948992339752995,0.008876350278505167,0.002418011478273571,0.030510628385553257,0.0076257093371647445,0.009802492597863557,0.009429549491345385,0.007775939891700187,0.003238373587911609
343,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,3,novela histórica,novela sentimental,0.010984299808500369,0.015423265456345666,0.0030965143190908955,0.011402988677115778,0.012143709418685878,0.016323596648843523,0.005877717689940389,0.0040916558639834295,0.010060540120060349,0.011642326997693778,0.012977195634056903,0.027576965910044802,0.005478062424352239,0.003854265064992941,0.002891599018189852,0.022819634911083502,0.003989295382526049,0.0038117885696195702,0.010748644820771003,0.004024018655343948,0.00450850792040936,0.003135325252521732,0.007172311723602091,0.01341965387191059,0.03933963496287643,0.0026489689555645652,0.007126359139593444,0.003937835902137411,0.0025612702952930843,0.011143021855931716,0.012995551808086366,0.02376813750431809,0.021541921389444846,0.020475421655039468,0.01884126767970697,0.004582998692662571,0.0069200165854057406,0.005476188370402734,0.027731306632133444,0.0037736368768692278,0.006975065502227585,0.006607933202923525,0.007502872994066134,0.005342565385789329,0.011375967422725976,0.0137732847349573,0.0015169468821305944,0.006045683206310913,0.015156717809763964,0.004278429080830454,0.013640348236900779,0.008851085127691727,0.005903531749490047,0.0038179632238235944,0.008947314088290572,0.00849716360897864,0.004713027817122811,0.006507908450820528,0.013456030817699357,0.0056084615039074205,0.0048868777485502925,0.02201077950406899,0.0038802218692893012,0.015771462854477006,0.007505188952853622,0.01251129297962715,0.00772141308300892,0.009702476344164808,0.01218388321964933,0.025965451040161795,0.03147390300877249,0.004137385284960403,0.012344494299525133,0.015569456624973802,0.00911739159354079,0.011311441786347989,0.0046140393253094065,0.010864851462188303,0.0030166218012465523,0.003949683587639579,0.012691974771839993,0.004543414931833781,0.004522039006352421,0.004800458885317501,0.003459109885223288,0.007214406783855203,0.0038086320992311564,0.012518612077229227,0.010097591545828295,0.008423542434747288,0.02602659688113303,0.012634222507886947,0.001997619532922439,0.002747223508590972,0.025976436941629148,0.00694015305772337,0.009222789189700474,0.008433686016599317,0.004057288409163424,0.002510161851235222
344,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,4,novela histórica,novela sentimental,0.007531357405241424,0.008806131198147977,0.005884560683695527,0.010110345365110159,0.009829704690583925,0.014413799957269678,0.006529967472169132,0.0071296651758090135,0.0065425687718551175,0.013008621678355177,0.01824740380340193,0.01581655350542339,0.005546065637938334,0.011043828750481648,0.0009071087401785752,0.024505775749283365,0.002960459675845457,0.0067491951198838055,0.010221783786630386,0.00659372526506773,0.011442931519575473,0.005359507774010307,0.006919435041098658,0.014405973404446302,0.03133615589314957,0.00366108778294107,0.00896580092535538,0.004228331794280709,0.0042877551846827264,0.005644599060197371,0.018972475951215022,0.021024624404219868,0.02034726041761322,0.017603209850854496,0.03155322002853751,0.0044687582234747775,0.004145209315053128,0.0072280051201276795,0.018188011769514983,0.0052407781990390645,0.007012160329697109,0.009724783591006661,0.009112811134561912,0.004436681447037915,0.012909694506058646,0.00820341735929237,0.006221165441079736,0.0035609950535273114,0.01573988908449211,0.009348050883200615,0.009368195859403065,0.013027047684641793,0.007925976572282958,0.003074050643708227,0.009179291871105168,0.00668837783260902,0.0075416827184813,0.00578081831278403,0.01021372460458349,0.011108505231866963,0.003924764808142301,0.019563388907602272,0.0015247452902140326,0.009604240396266511,0.008547265805712696,0.01962394751877187,0.010629385212385753,0.006132291502386625,0.008655145738288603,0.015942987840132792,0.03590007627827896,0.003652259345651202,0.009986531460978587,0.014992502649646793,0.006933818786234218,0.008034001538510194,0.004627395592356792,0.01049801125498035,0.0033975716416793983,0.009760700625939865,0.011240384422946186,0.008125963555374111,0.006956441063476013,0.00939872277851972,0.003957398410158632,0.007914815056523559,0.0049499436511907515,0.015392047812865127,0.005365322917418438,0.00940979543145864,0.02073067986595459,0.006723306524249772,0.007676158483119583,0.005950334856153755,0.02552742693982214,0.005626751592779799,0.011138465612178261,0.0032626519832917437,0.005026056000041647,0.006117226595138207
345,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,5,novela histórica,novela sentimental,0.008342635689512155,0.015073899424056713,0.002921961354801217,0.018093099742895566,0.01883801525837806,0.02204677974214835,0.0016617273472788918,0.00427462797803777,0.007361991976112372,0.012199817182615069,0.009884240708485495,0.0067469496780413205,0.0050807942266059255,0.008804207573140705,0.0016915417655873255,0.030304213977962437,0.004762352376796937,0.00751903809060229,0.012218279660879662,0.008469101457318755,0.00814972832790257,0.008394273625296968,0.006051390098111437,0.012820526705680733,0.0208015204572943,0.004830700632216133,0.010376778008855881,0.0032396149787971267,0.005539624048893568,0.0076603945426052325,0.007571780793259263,0.047468897284449085,0.017149060968319082,0.031148206155039358,0.021300273591851403,0.006870725874055149,0.0069658963114530605,0.009400684457925086,0.01218904735143719,0.009419117491977854,0.007282247596237337,0.007352663602303617,0.004466760352632329,0.005144552113957062,0.01988377966463049,0.0059538572215856135,0.005783507651955232,0.006326994772831438,0.006660734796070581,0.005188370339157324,0.0074547769977670875,0.011151375571889855,0.007371450438054938,0.004820344390895515,0.008537162834824273,0.00545403371380881,0.004476508349367023,0.011773094688380786,0.017810773226307655,0.004334940208702121,0.005803366265777157,0.01948541309365718,0.0038444640124940138,0.006677933292061538,0.005869786643285273,0.015126959555718831,0.0057539570147281185,0.007629246523249997,0.004146641222946441,0.009915294043135542,0.02771615928594168,0.005179171824347288,0.005124156554734807,0.016314058821128602,0.0031907074752929514,0.010598615844792476,0.009251584132045224,0.008015466236834993,0.005198920972429888,0.010313870639639762,0.007207069981206774,0.008927338130321347,0.006881650952628337,0.003719862765307563,0.0038220487787381336,0.004651216814002639,0.004672729348783147,0.011893981238346823,0.005766104551323785,0.006921000034734773,0.030635112369959038,0.005252918968051297,0.006586448315559576,0.005360679774180664,0.0368785075312353,0.015262588629832366,0.007881818110974236,0.006989887251849642,0.006130065593132089,0.008531751957554139
346,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,6,novela histórica,novela sentimental,0.014657219776377258,0.008648980591645962,0.00436339663486954,0.01918498388473191,0.009306882772229356,0.02772703503589409,0.003680480341182211,0.00966480602001404,0.006662710936995956,0.010343526394710298,0.014067051503529653,0.020322234761259456,0.0026426774638785805,0.0028182824691498306,0.0050342746546258145,0.026367654206496043,0.006675166932118176,0.0042195722368888345,0.009663262523644973,0.01279464748418169,0.008825054958825388,0.006015927149935887,0.004308214909277393,0.014434815497958753,0.02295238177132002,0.009900038235828313,0.002868547293809506,0.0059727290620126315,0.005398397833142219,0.007814309361191093,0.013129082093405367,0.047141346232128026,0.011542768743933927,0.021784956231525075,0.013924018474727781,0.005448392122588598,0.0038667858601542167,0.005044409959402755,0.017381869766823394,0.0066239923159185235,0.005432140696747489,0.009064312044958348,0.009343182461854548,0.002297553217461805,0.014633175749837664,0.005437624458486737,0.006773847335291843,0.008468474915099505,0.010526137689289207,0.008822501167384054,0.015770387178783467,0.004388393718362729,0.002846373018044988,0.0022361166142399855,0.006051634446542285,0.005896195492357003,0.00923519443742796,0.012369611292733175,0.011907752976686774,0.007627163218512311,0.009011619192514466,0.016460893350364603,0.008492691241298946,0.006276574234425653,0.006966471158219327,0.024977722380790282,0.006445981320184932,0.014301466659186803,0.010170992985154233,0.018243396416594494,0.020446024965183152,0.005455190183128242,0.013243662346026785,0.007134781271242224,0.008722071272289177,0.01227560942137728,0.0017820407594921791,0.004183699381262641,0.005289433186237853,0.005726977082359123,0.011639307368207948,0.007588719033874628,0.004632496442232543,0.009673648828174843,0.006045856473166376,0.006271346906864024,0.002468100538481724,0.00702653788745752,0.004916756406230078,0.011596898499782361,0.015818424383815765,0.006243191855421694,0.011204561462773096,0.004704244985094649,0.04124553825719914,0.0099845636582562,0.005313829799671371,0.0056368532711962415,0.005848522684386226,0.004182645821946951
347,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,7,novela histórica,novela sentimental,0.01469422418423782,0.011286465844766044,0.0013566049219110442,0.010797984486859695,0.011062583771489505,0.017715977972539362,0.0022619265116608812,0.0059298633268916965,0.006262506007032435,0.005934225782901212,0.0101684014117709,0.011052208576190074,0.005249719385484859,0.004254502018048811,0.003787184243324917,0.04230819266808379,0.007115697201286033,0.00576405200153953,0.011140106977159281,0.0064607767916228945,0.004960558780666883,0.004880183974733547,0.004426938873479967,0.012929162852465903,0.023405178663843187,0.00393992851635488,0.006554092253892998,0.002835842584517721,0.008446869640722202,0.006615704613739923,0.008993952644715949,0.061649022720898186,0.011956394000241469,0.012433607779764533,0.024058111948722795,0.005679423208921692,0.005058115592244291,0.005686316403573399,0.02228385441569688,0.0020833713986938883,0.007477717900288076,0.005099648584663206,0.006224915437054732,0.011745380313145988,0.007628604087208911,0.00753657319984468,0.0049952851652181,0.005061718041265009,0.014832001461975686,0.008639467769215103,0.010315666762041946,0.010460108226973446,0.005500848694295782,0.005695427164966831,0.0032276542085543213,0.005027102995424,0.006987775785094055,0.006186384313988688,0.011720299449292409,0.018382848110142472,0.0046738342462895365,0.008695158613755418,0.001860743954337508,0.010631502738155845,0.0061754528064082385,0.016602718342399198,0.00838306301455596,0.016217911260773668,0.006109942441992577,0.04267333814528935,0.009164225487520702,0.0044055036181236676,0.005203280067386778,0.006403912648190765,0.007791480205147261,0.00465675512628092,0.005153154789205138,0.005510185756487791,0.008568896119515529,0.009547290237957938,0.006958702358097697,0.0111049013583656,0.005372374707874691,0.007958951692258374,0.004585027990315837,0.005336313913756385,0.0035591448656765775,0.010807796395197704,0.008871397961228116,0.006854349305419308,0.034576002936282456,0.006645590341348547,0.005113896421551623,0.010965541331676836,0.05410095610746058,0.010000850344005661,0.005402881073562681,0.008075112156618096,0.0043804722608852455,0.004676124235299671
348,subgenre-theme,novela histórica,novela sentimental,100,4gram_words,tfidf,4,8,novela histórica,novela sentimental,0.009478263770458274,0.008324930217075052,0.003677412189479328,0.012950561190398191,0.0074665912797139385,0.030395932311892603,0.003043304245862302,0.01007116959071403,0.005875983751916085,0.013964964131884089,0.0180513146586842,0.014494098535529496,0.006045783544196952,0.009493002956667513,0.0030646316673686074,0.04069907538205249,0.0060688452877102365,0.008762148526859496,0.006723894402059639,0.00583277931938569,0.007577050468528178,0.00869303535835986,0.004309226518214083,0.014329918883630322,0.0220583900126071,0.00675109281237135,0.006029469421004284,0.0016507192647991797,0.0055553926622965545,0.008564963114241769,0.006368031533444659,0.04058293326791987,0.02440054229090582,0.016127256671409063,0.016949566743128697,0.004231206954995975,0.004990903684712443,0.004264469832017103,0.020332673611002626,0.011106078778703359,0.010526848342417105,0.009316614598876118,0.008551174105174806,0.006500054391036335,0.022668228034048204,0.0065338653956626734,0.005548296257265335,0.00654028947806506,0.009805959021791565,0.005206638086078261,0.010419142758200741,0.00676179683904764,0.007438551062327218,0.0030744222036370333,0.006434022810421237,0.005374825166483849,0.012861102436120266,0.009645306438838682,0.0070326649182065335,0.005684082859552651,0.004535233105606348,0.02450629848328212,0.004364241138267802,0.022352791912778735,0.0062773408152391455,0.015197463457327925,0.0028941614170236813,0.01156933361536161,0.010357893805773734,0.0094796156608132,0.022273744164339037,0.009729609593574162,0.00840630009016274,0.00877375979821471,0.0103172150955622,0.00988145066727435,0.008744719191287427,0.006440986362202883,0.0026059138870415106,0.006368896298349674,0.006480272764287348,0.003140286140041626,0.005566899394275655,0.005942267650808875,0.004255528312763475,0.003948967823340547,0.002045581499537411,0.007444440378332955,0.0042885973127117566,0.011724457517710759,0.03894697169029612,0.005151353582759419,0.004894870907858959,0.004157857571916298,0.028225614854719052,0.012996585192677863,0.008313797322671719,0.006503015958898227,0.005070275322408216,0.0005438961950489269
