,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,a el,a la,a las,a los,a mi,a que,a quien,a su,a sus,a un,a una,a usted,a ver,a y,casa de,como el,como la,como si,como un,como una,con el,con la,con las,con los,con que,con su,con sus,con un,con una,de aquel,de aquella,de el,de la,de las,de lo,de los,de mi,de no,de que,de ser,de su,de sus,de un,de una,de y,dijo el,el alma,el amor,el cielo,el corazón,el de,el día,el fin,el general,el hombre,el joven,el mismo,el mundo,el otro,el que,el señor,el y,en aquel,en el,en la,en las,en los,en mi,en que,en su,en sus,en un,en una,entre los,era el,era un,es el,es la,es que,es un,hasta el,iba a,la cabeza,la calle,la casa,la ciudad,la de,la joven,la mano,la misma,la muerte,la noche,la puerta,la que,la vida,la y,las manos,le dijo,le había,lo mismo,lo que,los dos,los ojos,los que,me ha,más de,más que,no era,no es,no había,no hay,no le,no lo,no me,no se,para el,para que,pero no,por el,por la,por las,por los,por qué,por su,por un,por una,que a,que de,que el,que en,que era,que es,que estaba,que ha,que había,que la,que las,que le,que lo,que los,que me,que no,que nos,que por,que se,que su,que te,que ya,que yo,se a,se con,se de,se en,se ha,se había,se la,se le,se lo,se y,si no,sin embargo,sobre el,sobre la,su casa,sus ojos,toda la,todas las,todo el,todo lo,todos los,un hombre,un momento,una de,uno de,volvió a,voy a,y a,y como,y con,y de,y el,y en,y la,y las,y le,y lo,y los,y me,y no,y por,y que,y se,y si,y sin,y su,y sus,y un,y yo,ya no,yo no
0,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,0,novela histórica,other,-0.02310497015071696,0.12236918880114007,0.008712604134556103,-0.06387001730545648,0.04288476439142408,-0.0531499244026687,-0.11260132572540374,-0.019953739775824136,-0.09254593244857054,-0.12191179156104746,0.0227158154693397,0.0013526111048794446,0.04905348239773985,-0.010025867265788396,-0.11133885386718528,-0.011307096006209006,0.0840768847781996,0.10636718656594106,-0.0055494286936712675,-0.03844238977480294,-0.20305247252657135,0.050402960564857026,0.07628355152354507,-0.09626738145112071,-0.02200214655201259,0.034492923283251535,0.18406822103263612,0.14231485748926365,-0.015401533859578924,0.18367432370738254,0.03886261053963369,-0.23458560236195614,0.07035125644160121,0.06369469029569658,0.05166551723146425,-0.05617238797323613,-0.09565621055125842,0.12775065606599287,-0.1416887503616872,0.17265446414881166,-0.05725839954341061,0.07833316743323836,0.05991924666779032,0.037086506481026085,-0.22351052007408267,-0.22638973408147278,-0.10650386012108118,-0.09585110957602089,-0.05202273468441938,-0.12514834586522366,-0.012122961959275452,-0.03586396436736041,-0.03796083355213113,-0.06463156500583835,-0.11654700747418019,-0.05247842196999436,-0.1765585518907922,0.18630614993764769,-0.03164393751147578,0.10863929716194923,0.0042418473850620395,-0.18595393268469124,-0.08458812446238248,-0.03694652789106413,-0.04034553929127201,-0.13249277755098943,0.014369638011571765,0.03505188984730029,-0.11816949866196622,-0.015223974693665663,0.06782592763247458,0.08361767547892238,-0.010041764003934629,-0.05951946724585835,0.11525685029159573,0.042516822622052905,0.07585079668732891,0.07459881531741783,-0.06740365093875772,0.042390671059878156,-0.022077015673733238,0.25765014181829715,0.16223250138922657,0.0836214461897361,-0.07450747577554509,0.013642451475143215,0.08577649869179105,-0.10866443531822942,-0.07577183680491101,-0.05069583793076979,-0.24745221263178452,0.03502444578073983,-0.04823648146142948,0.01027649301753113,0.10623465354633212,-0.22761253806267723,-0.15953005003742282,0.0721374234644823,0.07516112120136724,0.03871963049731224,0.016630862837651025,-0.07913548509451251,0.019964710900139522,0.04362370024273514,0.1790455472787166,-0.004043682520252019,0.012880324430960152,0.04478235786426695,0.03215816982360237,-0.03430112738695069,-0.1013093978866364,0.14992754950047993,0.021117117960395324,-0.0006303031620508576,0.12154802837199437,-0.15464794664500897,-0.06284709112335415,-0.02206285093597228,-0.05680124843180689,0.2001799046418103,0.05235576621664456,0.09329615032008737,0.15616148443225242,0.006164732983200758,0.10168980699314126,-0.04286774216970457,0.09101228032302229,0.051672482507489736,0.07897506951213877,0.03693031887526454,-0.11646767606729799,0.10150525676532623,0.09434680627029159,-0.10397946757575828,-0.10779119097525847,0.11302785850756623,0.19190009281196171,-0.019074401786351437,0.11414337379282619,-0.010711257472199111,0.024868379600319873,-0.05155136655258688,-0.08292682956474003,-0.0996261999129372,-0.09044408669616759,0.05790469765815935,0.12021291438503115,-0.11431327253512832,-0.06082467037655817,-0.09878142924569872,-0.09879099377708515,0.004068364636639474,-0.15205857135316583,-0.03142465055848743,0.06645795585499699,-0.12750352313731786,0.03502340159388191,0.040066809108042375,-0.03660978864968934,-0.019241491559037198,0.11958657701882193,-0.06431798020129996,0.03975751496719234,-0.03247644410619366,0.11286968475696835,0.010137582566623528,-0.06602102302051033,0.018738139889210984,0.13374789451301844,-0.1355082747514203,-0.05577270266476799,0.011942749557584516,0.15337098789821924,-0.07763117487097847,0.034605476421691886,0.038841875669439106,0.11829160229698299,-0.09647984128666169,-0.09321924646388925,-0.019801438225184112,0.07439776583578452,0.007334537085676376,-0.0810532090436767,0.10953797706224719,0.010279121698870016,0.1303180128039187,-0.15566499734114125,-0.005505933374871247,-0.03727551300577331,-0.09959663155020634,-0.04908201548774725,0.09606510802951602,-0.16630191133036593,-0.09188454418948619,0.022676549850649364,0.09339323062300911,-0.05148403981706393,0.09377619167803916,-0.017882810729952427,0.020213042426360656
1,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,1,novela histórica,other,-0.027743324546718705,0.08732880787119075,0.08901318035837169,-0.0929427062107863,-0.002207190791009341,-0.074067773338664,-0.05945178364498905,-0.02901507058565919,-0.1196930015872812,-0.1156515109090505,-0.043556787289946844,0.036067782257044524,0.015328873857798223,0.007774495985249388,-0.0915129676735492,0.024407580299382763,0.10380546001796447,0.1288536720354853,-0.030216008851199724,0.0013605607677751718,-0.17937867119505527,0.09013955923273653,0.07227596978432016,-0.05376117199103839,0.035517403407916065,-0.023303683705810617,0.14642880729140834,0.1505090857903318,0.023979235104270056,0.08825493775514495,0.07844073559439206,-0.15715235079178239,-0.0018035226053122833,0.10629622714589561,0.07895863613586072,-0.07726173841801219,-0.046574749839445935,0.057718736935536634,-0.10370993793388995,0.15836657030408563,-0.08020441038630367,0.08351944343543341,0.11244251897319987,0.055767718963596016,-0.22486594509853067,-0.17747328067968432,-0.07660573769974532,-0.04664925330761557,0.02267470315254069,-0.07135878794452895,0.07151389362463086,-0.005484891183402819,-0.10934826086049482,-0.05005924848183896,-0.11073296201579123,-0.07561604583307928,-0.08455452450984283,0.15198977480046832,0.03891760321037075,0.11783424757235185,-0.018325504049384392,-0.1489157161536146,-0.10196116396407671,-0.0621145531851054,-0.11117719891081056,-0.16208591626953978,0.010649216891090227,0.012579184307986284,-0.15884313217418172,-0.07656892532960126,0.041080603531398426,0.039886816737396705,0.03433331771511474,-0.019656150591358182,0.09078899693427654,0.03914607008843915,0.015016727462801971,0.0526006668838598,-0.04680950091470131,0.04722576316475899,-0.014175214035742623,0.2555095490597421,0.15621148940891127,0.08610915406269426,-0.054632821558143835,-0.01784260822863914,0.1002360736483879,-0.08669720873333676,-0.052166661311295784,-0.07193349107804198,-0.27928567013538325,0.0035167397393038036,-0.08023993860859419,0.04566597943475938,0.03132921013606597,-0.20891042473065746,-0.0951393309119642,0.10283078727612666,0.10571296005072621,-0.00977377521689543,0.013076351278205476,-0.06757209840877154,-0.02194560056543863,0.02795666134538705,0.23322427317064603,0.004591526086171381,-0.002880008055239476,0.0701370834907226,0.03499309031756835,-0.009711732171262635,-0.08309254679947861,0.11741340967960084,0.018298933162278708,-0.004578177720924111,0.06322265616273537,-0.137791921374556,-0.06756329835836174,0.00047899441755299213,-0.0880117533408502,0.15101478024386314,0.06755835892652133,0.033747919815456266,0.13932863883786767,-0.003424519423495004,0.08504045908281015,-0.01737942119310554,0.08357185608507023,0.023999088647265614,0.06109574302756804,-0.046648273251165065,-0.09356818847620825,0.061026340583660035,0.07794105610660261,-0.11938626601713585,-0.05340805743574817,0.1622158168198336,0.17690524887146952,0.016443730675500288,0.05458003589861417,0.006949224047044373,0.025220990448789494,-0.05616599283017571,-0.048430092965464175,-0.09627929101859065,-0.10372650864823553,0.03975096005674485,0.06606426721124832,-0.08524219253960018,-0.0019085836277464782,-0.07738553623764749,-0.1197161580279017,-0.012410117181501184,-0.06814720844195561,-0.058929094818613935,0.06851591854442968,-0.11843296541811583,0.06438327059989216,0.04943916326116011,-0.050162328180344225,0.008161808794536773,0.08622450564375768,-0.08184553750659553,0.052383046261300775,-0.060861190759107786,0.10310815087938979,-0.0531788455575721,-0.05818682405140903,0.045546746178464256,0.09292299902875936,-0.10335891957284822,-0.07342434468364764,0.009621103018400412,0.15155894689913416,-0.06519706122820063,-0.055530009119208204,0.038419167275410004,0.08566141032680213,-0.02545691049453252,-0.09620734166206946,0.03867398438442617,0.036511496456689316,-0.0159282812814195,-0.08091600968166907,0.09083359542630154,0.053780593244071334,0.13589797782706872,-0.1262400540914445,0.020782825265991713,-0.04033421163754462,-0.11093350399898155,-0.0917236321312877,0.1113973922557989,-0.13565192609780674,-0.07388191413234534,0.09227875428446293,0.0804976424623195,-0.10166129833222289,0.07265318268073225,-0.05086963401793734,0.06435007888669894
2,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,2,novela histórica,other,-0.02677641301387758,0.04954096295613872,-0.010905055840785237,-0.0829070521082931,0.06857420212218948,-0.0409089170780592,-0.16938959046476063,-0.033582838838784074,-0.053987572830381664,-0.02402143541553516,0.04069697832293315,0.0137452363645688,-0.02944033996173221,-0.04268764403645045,-0.11206310853230651,0.04032442508005777,0.04450975552202559,0.06715841739577845,0.010934797500297258,-0.03494903956911456,-0.16808293231901675,-0.019958617102179707,0.01893543117924898,-0.043011949196011486,-0.01278670357256674,0.05186805506632302,0.23631537835009964,0.12350866312701746,0.018299202832267387,0.17597717352453335,0.07731997496056175,-0.2159656770156492,0.10187361410941591,0.07564739801353561,0.05858702002419298,-0.037231448436658356,-0.13179679148834786,0.11103135533685038,-0.11950911958798122,0.13252401284799303,-0.10582564906928998,-0.02025981552921053,0.030958147075671603,0.0940224387499434,-0.1743424249820012,-0.2161329582624211,-0.10146010399219596,-0.0394619486300867,0.006429583332047446,-0.08711005511863511,0.020856547669686313,-0.023143885580739033,-0.08747587107467064,-0.06402601963229768,-0.07765684678266715,-0.05504953191869503,-0.19853090039357876,0.1499717388846843,-0.035336352169022575,0.06473133731858365,-0.022169243753164487,-0.1992946429861271,-0.10081049868060812,-0.016297172123819995,-0.07231577016929519,-0.11336315024626831,0.019254965484870573,0.057250464676751225,-0.13475885263517146,0.004975725403627951,0.09647964181281084,0.10269832098825891,-0.0871725712316605,-0.12619712747868805,0.09650942884495257,0.05524999545033295,0.027338618258021516,0.06959243050660077,-0.005871213782780965,0.057084999870856135,0.015922142854655846,0.2727984162955268,0.1526309123641147,0.11342243814270167,-0.03881771424811002,-0.008855734521993286,0.08936644762307247,-0.1079589913898853,-0.07760606996066524,0.023327142357568678,-0.26673410200920444,0.0019726636801102766,-0.046356111597254626,0.015664457004555835,0.07343719053825552,-0.2108385717140729,-0.15841746163133705,0.046896084749125315,0.07122266073521988,0.05035135900121378,0.014827446075596168,-0.02913184136269516,0.06820722413765051,0.029127113461324027,0.15235105649359976,0.044195875300750954,0.021316738411595548,0.09997117126823896,0.06576282367648661,-0.019470241910007943,-0.06969116641861733,0.14901569755668398,0.01008992319064371,-0.017065234171051838,0.05698792573874161,-0.14002890376370433,-0.04609164056422663,-0.029387176837375094,-0.08687868227046394,0.19353708863418,0.03511324766306299,0.05376676927131206,0.15723870665885142,0.005431692611372899,0.048817418669877634,-0.05546865602248556,0.08252289301075375,-0.01770251010112637,0.09010107135467649,0.027891272255486474,-0.1122676489056031,0.11477958512117839,0.0645075423598321,-0.09983563936065774,-0.08756063677416392,0.11105704526891239,0.16320931732163882,0.019613429993332387,0.09060367388057984,-0.011958569577281003,0.009864643752677218,-0.021328709707442217,-0.07382675673970993,-0.09614228194504633,-0.14228364111103955,0.08011237501901429,0.13614369615302996,-0.06885902111272531,-0.04576149389699173,-0.05201927463444382,-0.023824084335324888,0.03835662029574847,-0.15956143304288786,-0.0786059103409779,0.01297019622796168,-0.14309612986523176,0.004014808938485298,0.038421499876341185,-0.03091077397409872,-0.023093014508057126,0.055190500902337555,-0.03872696375157915,-0.003104216349018519,-0.021560076518640923,0.10779019305062901,-0.00716771043464573,-0.06777807072504151,0.1087492585378011,0.13671402851191317,-0.1395262596066958,-0.06275418127395704,0.052717775542987386,0.15669892606797262,-0.08096824454304627,0.024415035008612918,0.002389372202635156,0.15073202168699776,-0.07103377873736694,-0.12472042607489342,0.00718733825127035,0.11849789235816804,-0.009100245389919617,-0.07409150249992452,0.07743808171880029,-0.01704958055936755,0.17017467434280598,-0.10921762571690788,0.013383818629581344,0.0006034009560583614,-0.10298307580702608,-0.015942721290265305,0.030695924669877167,-0.11051809993853508,-0.08672087340945207,-0.015607494739841299,0.057976372101289336,-0.051604537570220224,0.048963256697316354,-0.012497961189812805,-0.021022683897958108
3,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,3,novela histórica,other,-0.019416040297651767,0.15525783806779966,-0.05017039772894413,-0.05182530652676491,0.02646305748109989,-0.04082784287728207,-0.1349383276102169,-0.038292911236146934,-0.05194595831869171,-0.07248841101938946,0.022074254105174815,0.025642465474148026,-0.022995320675485063,-0.0846157208048105,-0.05116413960942306,0.04462230471546903,0.05826927873484068,0.0905655795648795,0.010215577617563386,-0.007854812799775273,-0.17112630161252435,0.07475912775124767,0.04906607361975007,-0.15311774129307967,0.046519346738183094,0.07205560143710685,0.11645018714935361,0.15234733776715512,-0.011017011339590637,0.17053464174398247,-0.01390035708909618,-0.09720209717082064,0.03057509206559151,0.042050520043945175,0.09152686277495631,-0.031574421808572936,-0.09045965922663646,0.12199212072290716,-0.14204908687723466,0.11851789198919244,-0.06377442951856237,0.03048305960956461,-0.03013793895892084,0.015527864468031893,-0.25989907415043834,-0.18669476172424676,-0.09619779698075746,-0.019137548517986703,-0.04792385181564083,-0.04620658905524332,0.020546476515375243,-0.0023495326636109384,-0.05372063348424061,-0.024823502662615515,0.002315156649807887,-0.04389480758782185,-0.1759831572865886,0.16916429279090575,-0.004631509722832616,0.041366740855814106,0.08023435755880537,-0.19763472708117288,-0.009754656138727062,-0.020080933927987026,-0.030674161701862743,-0.11596868385709468,-0.04142943567593415,0.005353914943761959,-0.06830147956072821,0.02902651598509856,0.011165044100635483,0.10027957016916421,-0.00017385575984428525,-0.043956744463058486,0.061283462045469236,0.03295960193223999,0.0924749149826849,0.09016436295033148,-0.0312171470185006,0.03360542162054993,0.03117978461403238,0.22271317220145118,0.16605178080032534,0.09568108931599859,-0.07114759835791644,-0.05618237423336746,0.019001765961705247,-0.17458144969559225,-0.016960341410115338,-0.0540793835929243,-0.18000202953081088,0.05964055223454069,-0.07555589765833128,-0.005898423842456438,0.07259502776872212,-0.2253140680705573,-0.24793989374014672,-0.10651129896190278,0.09373693913976418,0.06070743277334487,0.019740162766536146,-0.08357969112355564,0.06987399519198458,0.02209541863339106,0.16368897623109596,-0.05875106272910804,0.1077193493383917,0.054496857869278076,0.012829228578885077,-0.07161296444793551,-0.0412857957200845,0.1457775958771488,0.006965816741837539,-0.0025168000658519485,0.05804310324194163,-0.07856142423156562,0.016551844960357078,-0.03075525216148109,-0.05817246295914869,0.147287812193984,0.0038120557421286866,0.05996272583298505,0.10701396637806976,0.035500244466104516,0.07420643119469678,-0.03573795478885376,0.09712811358074208,0.08881764731924957,0.09287048461797916,0.02671912858548707,-0.14850668399967906,0.10495871425999705,0.09249211046717253,-0.059348606707016666,-0.0403550669084323,0.09824491049661306,0.15477536650119603,0.042848486079362154,0.06801655721915498,-0.016376902632506518,0.06637813824670356,-0.02321052833372786,-0.07482242127919461,-0.11594199937933095,-0.08744994614000191,0.08960184692273904,0.07725894354614396,-0.08300009534090882,-0.06977725943378799,-0.0910155957450145,0.030131957563377016,0.05882595768888436,-0.0854018882742053,-0.07978973349658376,0.031279221074361256,-0.08933284421373204,0.045309109772603426,0.04256536289029855,-0.060554580038202944,-0.037655044041930666,0.06528062088885028,-0.06816057659205797,0.03499216067501221,-0.03528884741462904,0.04062355393530981,0.03127389765754962,-0.026301851296201197,-0.0014230689753235576,0.07743211280925152,-0.1298643814403722,-0.06446870539940674,-0.016760082234956546,0.1766225124610657,-0.03251796311159205,0.00854434292758445,0.03766932543691244,0.07580930356799995,-0.04692933551994245,-0.0997171069283522,0.03328803742083372,0.08771113274611876,0.009880073183068255,-0.015653555042856832,0.12304442629983638,0.027362998174100026,0.13941907762888608,-0.0977456908742522,0.00446289329008575,-0.031883840079946164,-0.045570470879400804,-0.08639364453492118,0.04919278544339108,-0.1746068307891739,-0.05049569277859882,0.011701526534157253,0.08067056300489972,0.0015935524686360638,0.069720245627312,-0.11738042793690157,-0.02556821919073757
4,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,4,novela histórica,other,-0.014430419585240816,0.07271266482441313,0.01521739172838916,-0.04864928587960228,0.06145566110335794,-0.04624200263801728,-0.13329696374345323,-0.027709209442771148,-0.06237917324255013,-0.12084709678149912,0.04979741009626702,-0.021403874065605795,0.04098687997731842,-0.025294729999127935,-0.09030569527411383,0.012658961538422008,0.06838730139535891,0.07876583155514894,-0.0032377932299873183,-0.026733621418254375,-0.22812057681384093,0.04319375845207567,0.06531775614706596,-0.06940308099119079,-0.013159843817728965,0.019828574237040444,0.18597084576487433,0.11075763518125288,-0.011305058632842365,0.16999850200661593,0.051390187141859375,-0.25224839902077806,0.07265530259257234,0.06942958650828504,0.0305998310100858,-0.045573262028789016,-0.10557531750695108,0.11028294536603675,-0.10098801651654937,0.1513970164552027,-0.0556217199036003,0.03764041803685143,0.03910914926971618,0.025656433496657846,-0.21913203564445585,-0.17902424381822762,-0.12870739071766707,-0.07743468599779953,-0.0654927318262997,-0.09829318436936786,-0.030249406015971755,-0.0026665584007983835,-0.09148160823816702,-0.05856522987978299,-0.1277472112059259,-0.03732159396516451,-0.12974793791478353,0.20315763407685125,-0.028351572007637334,0.10351958352011265,0.011803615383682006,-0.20639434895470282,-0.12195205221925079,-0.050483735400041196,-0.07103394829473864,-0.1164572097950111,-0.004097430988778665,0.05996401801281321,-0.07175947497838152,0.02742730353269227,0.0802097022468508,0.11265687205498345,-0.07950346076646538,-0.05983870899715944,0.08150320995983547,0.052084503981935495,0.04385117260094187,0.10654777881884596,-0.0988492664275773,0.049379183285309894,0.006276771288092564,0.25551989317848334,0.14531337907269437,0.09837024502601752,-0.0557038601008831,0.003904002487762445,0.07448063234354206,-0.11911607099185062,-0.09291239682933712,-0.058196964165404076,-0.22678692811110085,0.07206761567979703,-0.029935391388683064,0.04610258497800553,0.05251719458845602,-0.21333928688875242,-0.17449044580893877,0.09457383617849785,0.07286098332478744,0.03169803848877996,-0.029977198811621544,-0.04481230815685932,0.014593720144294716,-0.026784098555608968,0.13538191635771996,-0.01753014771276468,0.058586368024705626,0.024969306093668625,0.05950151910407177,-0.050417200017585616,-0.09273095047016945,0.16793570271360636,0.024559383096609155,-0.0105045039240066,0.12433433775712013,-0.09282928098827373,-0.03572053242878866,-0.0352522285209796,-0.05422981646412035,0.1646437844946766,0.05950701393323357,0.1334220577012022,0.12048687570324912,0.04777722101668839,0.07083521575867248,-0.021290072625585715,0.07613268092034947,0.05177560525642628,0.07286119623820704,0.008083602099022917,-0.10741667564689003,0.12621524438174142,0.052758345994661345,-0.10675064181613751,-0.10463470774446455,0.12024300094661805,0.1772037068205154,-0.000731217834912784,0.08927959699053159,-0.08153461197646654,0.034424219929215634,-0.036561493758130045,-0.10178656224369316,-0.12421765711943725,-0.10289680342046666,0.03531547062591897,0.10553548884861433,-0.10431240472983824,-0.07384660212250901,-0.10962227161862516,-0.0427703361686897,0.05003658724228446,-0.17639067648287177,-0.057869144062752446,0.059117030373387315,-0.11690742937315612,0.03619885817739345,0.07301508254232818,-0.0812490139722862,-0.005076319976951092,0.09759678280667561,-0.05128555671388578,0.015853120904054253,-0.0016196301092702191,0.12911479780005175,0.006823725770548371,-0.03863216508893388,0.02218556255767353,0.16159211799006704,-0.18589586755717732,-0.028672566926947966,-0.022402905371555322,0.14394425357013196,-0.10300932245641917,0.04077050805601701,0.02958219156506015,0.13850955545997684,-0.06603724991564788,-0.1344888656912259,-0.0212250305804737,0.08558953182364254,0.028321783912827213,-0.10375818466884379,0.10543387546168045,0.04750577191080266,0.12498272201413439,-0.14951713099691172,0.00138278079904261,-0.03164742370325007,-0.06627567355623429,0.02130885630266315,0.09327598855368327,-0.09780911628718252,-0.0955044665092514,-0.017806582760289236,0.07360748334849199,-0.034202472751501324,0.09140425233201445,-0.05285415951139473,-0.02058849266328334
5,subgenre-theme,novela histórica,other,200,2gram_words,zscore,0,5,novela histórica,other,-0.008017919027796057,0.09346246056776807,-0.022941074869487082,-0.014784581465777278,0.04301849373491011,-0.08735944305093635,-0.07701946725667945,-0.004811747859085605,-0.13084500195141624,-0.11008783151154528,0.03244035654130325,0.05524821955342038,0.053916602954249965,0.034118785546610686,-0.06587037291084265,0.026480227520161662,0.05849696988224267,0.10006003407293286,0.01181840226915716,-0.016628891822529433,-0.14063172729705747,0.026813120845557797,0.12127091414968226,-0.08904001018832365,-0.02804173125086345,-0.008920870147434774,0.16583498206779626,0.15951487262733255,-0.03157302346493577,0.153104151420795,0.051652078853770864,-0.20912437442419735,0.07378301542848474,0.05161092972394871,0.0503420232492158,-0.02649720257541696,-0.047868250336583935,0.08042190325601496,-0.1191389928852347,0.13911683444655168,-0.09432091415383198,0.061914492274203384,0.05521784301658181,0.013257549066491632,-0.19473451557852686,-0.1764656061337851,-0.0761358095644461,-0.0550273712571373,-0.12173705660734925,-0.09970756034113684,-0.061801958829390144,-0.05849821231821497,-0.01860453235502126,-0.07889651919162143,-0.10445676632056355,-0.04094364310560235,-0.1582706487927822,0.18775485636969708,-0.0423412708731656,0.10745510920703231,-0.008785421432929135,-0.17577478867892846,-0.1094521084297856,-0.043331952232053,-0.06562354126468549,-0.14574265574859852,0.02826273844354007,0.025830343091417882,-0.08683612656427958,0.011050399185426399,0.08932941148402929,0.062149976590047756,0.01453088265033192,-0.06632958005368579,0.15078143619806122,0.07951711020657518,0.06529988745604991,0.062354563881372706,-0.11423827979903022,0.0377645476962994,-0.012147610506617987,0.31849429280959735,0.1506143959744874,0.07943437286847477,-0.053150051058477386,-0.012422508166018389,0.005157029498282678,-0.04349736489115037,-0.08972568342189662,-0.07972588481008125,-0.25315031042034164,0.07379724268203051,-0.035771537538291744,-0.013390981613514385,0.05618848364901688,-0.24296603245575393,-0.11964493137990441,0.032767822516741305,0.07884977917697396,0.03639474467300797,0.016900993997010408,-0.09582994384205921,0.010747471469154588,0.024671425512590266,0.1494123524028339,0.0077453346418593465,0.0183367760693237,0.052157467962305575,0.013009027837109463,-0.07261779492372007,-0.043328924399177585,0.09533047121874832,0.03987828207354493,-0.0033335685597877945,0.08065253237443147,-0.13957210648105642,-0.058539308086331066,-0.003767231527322317,-0.12775088675586713,0.12718725355295446,0.03485148233897365,0.10269255583878299,0.17428907887482473,0.007214310451519806,0.09346102713841091,-0.030984319221995238,0.05239221586523964,0.060016889899596276,0.07902276020191408,0.0728582198485239,-0.10675221838510189,0.06578739548166486,0.07121927318408221,-0.1079704016252508,-0.050081369461704904,0.1611448813828021,0.20984111230002334,-0.05188587705472641,0.05470826669782213,0.046840724985685936,0.02681145558364153,-0.05693487161673599,-0.036612078885575404,-0.12732354967997123,-0.09523101735954975,0.08479866753599036,0.15534548081558672,-0.15275428421641266,-0.07804237413867994,-0.08514233197876594,-0.03141036472343413,-0.014046448226230393,-0.12443403480623201,-0.041778905067058704,0.04555248691967735,-0.17688746699010846,0.06273654962817145,0.06992871128559994,-0.052395273181471726,0.009413228203074506,0.08722108743543049,-0.043841148690960535,0.007495399175404836,-0.028718234094363176,0.0802550140697377,0.025504938738519188,-0.10657943193070284,0.05858959719023367,0.16151566390728367,-0.10021291793367114,-0.028222352185303202,-0.028509239736796855,0.0916800941325711,-0.026760013190347914,0.025059325449573053,0.07117334575765806,0.09621188025044898,-0.07069930198604613,-0.0415392333667635,-0.0034368654267187757,0.06678382179585361,-0.013125407941158478,-0.08486872625185497,0.10754630367849163,-0.005261504412970618,0.10215608237910712,-0.04490357767919754,0.025188644092271395,-0.06583970000530531,-0.018370900961149635,-0.08533264196586797,0.07182345432800095,-0.13335811333157402,-0.024238675129012954,-0.0024090107912712916,0.12165266300133218,-0.10694193693596565,0.056569920697827195,0.011610068821138422,-0.024585396356132775
