,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call,class1_cl,class2_cl,que,ent,con,est,los,ado,aba,ndo,era,por,las,par,sta,res,and,des,tra,ero,per,ant,com,men,una,ara,ada,end,ido,pre,dos,ida,lla,hab,rec,ier,esp,aci,cia,dad,enc,ten,ció,bre,ran,tan,uer,ell,ste,qui,"os,",sus,uel,nos,tod,man,ron,ont,bía,ora,más,eci,ros,omo,ras,tro,tar,pro,ese,mos,cua,esa,pue,str,cio,cer,ist,ter,ene,aqu,lle,les,tes,tos,nes,ven,ver,cas,car,rad,ban,one,ita,"es,",sin,cho,sto,ici,tab,ser,cha,esc
0,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,0,novela histórica,other,0.010570940756049209,0.004205934892620272,0.015192714081815476,0.008321190995984454,0.009048638095530035,0.009670602761078367,0.01637716485661235,0.005499450272741414,0.006679917081580441,0.013157352306504617,0.01589221572496908,0.00863686024275938,0.010335109858068264,0.005391661596505199,0.005432737442615752,0.002324392655649149,0.0082557043928457,0.009108813939292615,0.009852022141591931,0.00057120266445636,0.010581606159644638,0.008649740424258496,0.013562612868106508,0.005676172653578466,0.02327418184844017,0.0040093932356949245,0.010978734397342538,0.007169592431553923,0.0058584177441138,0.015503606734689108,0.007084895297643527,0.00498915174433817,0.008050593798139116,0.0021719736291711403,0.023879739732823497,0.007580733179819369,0.010655763156811226,0.0048110650715702434,0.005494619414834774,0.00524959683416321,0.006745605151600579,0.004948596555467856,0.00708178763403167,0.007057197360979301,0.009722370383041702,0.01940256670836748,0.011865202300267686,0.00544531750546075,0.006273749331599735,0.005490395360799347,0.008049330859031915,0.0132130564390121,0.008636488337151233,0.006473308063273323,0.045300839371400566,0.017598627622841423,0.009555617229953586,0.010460590577086848,0.014747620409648677,0.003549312976722421,0.011863393432901295,0.007721861918374373,0.011784554352229705,0.02076050230072947,0.005927220062115951,0.010191588904120556,0.010204504757891348,0.006790135346257086,0.004253224340158552,0.0044348495105278754,0.008377101371020764,0.016141866834444588,0.010315927154913156,0.004252169240486161,0.013186015672401831,0.009926673593244976,0.02392064632083267,0.0035806162654347653,0.007311630415595547,0.011396669441975532,0.009973358318138125,0.004589948631479385,0.0037535881094088114,0.00725963598753685,0.008233672980708873,0.01236094183422029,0.03845633977830708,0.004078626977394314,0.009436739238923885,0.00506682271356422,0.016512974974238998,0.0038167825696957167,0.005221683326953637,0.020811207657637446,0.007828050654194514,0.018718991016801047,0.005957723276553112,0.007688759466931757,0.02268250975121938,0.0038360942066914382
1,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,1,novela histórica,other,0.0036475338945404804,0.003805482933941354,0.007843124161507505,0.008905266369311689,0.011687217567702485,0.007311563173378571,0.013015600098072372,0.004567529432053584,0.00468917516144655,0.009183263858435466,0.00686061140132833,0.012913135728317348,0.01644064501096492,0.015239846031573185,0.006690579834078882,0.004353356561488031,0.008111530088989283,0.017040663554707416,0.0048898867260448575,0.009387444743635096,0.008917123800021293,0.007906154940860341,0.015140646453310353,0.005041996923593804,0.019841522521216348,0.004947446893965901,0.016230273997213662,0.0052345047683573665,0.011342711113327233,0.013832018349772436,0.01638715852257849,0.00393930047625232,0.015904625980329257,0.00263286164264269,0.012318911733169386,0.0030955936280099676,0.00788248752916972,0.0053372771800161345,0.006846550718912625,0.008977742520572084,0.007545371533604467,0.00953359421186079,0.007305160987812398,0.008689752306249413,0.018648081768040836,0.018961357596406776,0.004360644328074599,0.008144268321494834,0.0033433084536611704,0.004390666787417857,0.00474029760225255,0.00994956396359625,0.007952064939178114,0.01385033516246482,0.03338236111338685,0.01573575369059717,0.006804928547711542,0.014179728974572063,0.01578714361318502,0.0041139803555466595,0.008834806922280532,0.013059714771061654,0.007494198867985319,0.02648105759323132,0.004941819501410209,0.005672314380426326,0.00802783930612645,0.006207386629621554,0.010041883859474935,0.003661875158006027,0.008901975166463218,0.00941842393983892,0.006532275955171793,0.006730967546850981,0.014226894415632813,0.0035679511923085356,0.03991641528971225,0.010135492696423437,0.004899477913556241,0.011817603515298881,0.004637463603991594,0.003271492713100283,0.005850388496386279,0.002641418954388494,0.005910892427357394,0.008183351623200616,0.03292287455788716,0.007357337063702263,0.010386535740690293,0.004786511752117389,0.020559083076828893,0.00434499072126024,0.008945535689371762,0.0165993218185359,0.013901102216822121,0.019155796084484675,0.01349924313928224,0.008103576815842806,0.010124679713673757,0.0024892988882716325
2,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,2,novela histórica,other,0.010572863852514117,0.00489090295275446,0.019260414078881925,0.010181906516871293,0.011841106542811565,0.0040068083878428565,0.015905114366234378,0.00392938456696066,0.008907689762736034,0.008108769625878254,0.006660135309173746,0.013128507070715252,0.012855157639008831,0.012299125232695447,0.004132487626016668,0.0042981903473435215,0.004994870082491377,0.017083275640596536,0.004712818540587492,0.0024160657709306117,0.01593215223890441,0.00728406689745466,0.02008958998472635,0.004494994299104433,0.01116820872791869,0.005188116979198866,0.014974892810303779,0.006463841905250753,0.011497575798538242,0.01297150711222864,0.009150495280099839,0.006744017627605492,0.007354743387096368,0.0014403453951980021,0.014180149423536726,0.004585424807697329,0.006327958690894883,0.005946242303716011,0.00523623026782025,0.011821837880338465,0.006776619483864576,0.004199373678092723,0.004089515125081522,0.005767253291572353,0.01734235646316046,0.02922373273631097,0.0036214440167164574,0.006760819014802875,0.0023434739680749193,0.005734956902457253,0.0037495867788743115,0.006743686450239752,0.006348965381238101,0.007734966920989731,0.048511520632887016,0.016383161860087307,0.0071818297048933935,0.007447392298497257,0.01534036601150735,0.004123761231621951,0.002422272975114107,0.019385958820976337,0.02154212445625934,0.029139720526228326,0.0060482331135402415,0.003640514943539135,0.005895978888484517,0.005215491178291854,0.006224220764236811,0.004507531786586419,0.00970496767361705,0.01966230640223024,0.01202186042019568,0.004094642405093124,0.015517221387668865,0.008809743084484064,0.02962009928947021,0.006011366406829318,0.0029818412367676322,0.007995450256887922,0.009573534641687798,0.003415432673245455,0.007701401245774071,0.0045141643598907875,0.007647046752085046,0.012194471104395463,0.03613368045074512,0.005450825157318016,0.01137536893439186,0.005899993110807919,0.008567419830837973,0.0017910729391621516,0.004001067686768248,0.018953164433578026,0.015165983049540534,0.023524370254509607,0.010874846628211435,0.008924029359529231,0.009088710856289189,0.0022991028330833934
3,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,3,novela histórica,other,0.00531098958442527,0.003763871918645527,0.009518224163546857,0.006141301490864718,0.010378787626843413,0.012247991662304458,0.01226652233246251,0.003391338137949533,0.011774493456990854,0.008384883592308864,0.006025162104842489,0.015621831817545897,0.012302557297394056,0.010286041779411425,0.013793518958395446,0.007876950519953674,0.0059098441867174245,0.010633542909409628,0.0022763404235361913,0.007430518267514596,0.008467597365130539,0.009022769583840747,0.015904225263716466,0.004893251656714503,0.012334266665548757,0.006554133723726623,0.01866960745354053,0.004366331945931502,0.01750357615147396,0.013190906036598888,0.008194071272892319,0.005812142625036889,0.01489485350012496,0.004797064593620133,0.015786827747825215,0.0038629480485680807,0.009291733178938034,0.007099642852157029,0.007212097229790727,0.010155953467655555,0.006832513025766564,0.005694687613044561,0.00866799721232641,0.004781697305521518,0.021369552953132306,0.02141535809530407,0.010126197456802877,0.008340484869883273,0.007099014641076306,0.003367435241831059,0.005131817881525269,0.009063911570497699,0.0038679686470185987,0.008443085785232635,0.03981075036753738,0.0156537039706516,0.00458780244221264,0.010137875393197215,0.010781007683396439,0.0025700761032571573,0.006817472618568334,0.012013181485170235,0.007750598136217076,0.028268931850273696,0.008369062749780975,0.0069394733832000375,0.005965127257046979,0.0030953326820419035,0.003683966490397631,0.0038122615261772454,0.009362406979486721,0.019216901872716706,0.007199611929661699,0.005589940143364136,0.014183280363559543,0.007919770514018869,0.03429629347645642,0.005494576865538972,0.004141151643475924,0.009985841258378864,0.006663354188038499,0.002404501666109951,0.0039695611843316055,0.007541286290202046,0.01025287778685277,0.007773436063124955,0.05087690657323923,0.004978306843851239,0.011076881410654629,0.004957390835298427,0.01170881955833703,0.005299607040140069,0.007246071412366186,0.018903649345205383,0.007208623985250304,0.014294400022582669,0.007979037922983384,0.010545268284934201,0.01280437543818747,0.008318810069668116
4,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,4,novela histórica,other,0.007658804094031567,0.004095116613291184,0.008577029418686951,0.01035968740503388,0.004703924995486729,0.005454232315477171,0.010807030412788703,0.005283706093451992,0.010276335189983613,0.007515078049772231,0.010292165847254632,0.008640613742677607,0.011750450004022051,0.011109758312387722,0.008696912035389054,0.005326439009490403,0.010336371438983267,0.020467937362649933,0.004498992293834098,0.008473936319065168,0.011962978597351001,0.007706106031690563,0.011758257710153402,0.00899582772053671,0.01702802751530434,0.0054089169863162905,0.021352283523899084,0.009426422421211089,0.009424999163751011,0.011084724647658797,0.014340152850464817,0.0056600402365445425,0.007854325941711924,0.006971853435124671,0.012853707873726543,0.005860266195581913,0.010223281768055413,0.005848015977498338,0.005069834757632623,0.005763999633888475,0.0049413468766363045,0.001894192799744928,0.005192773203398909,0.004237716465184871,0.031379371241253055,0.022357726020871185,0.011539297132950975,0.007809701261034936,0.005299734486058737,0.0029953211235149435,0.0061171594914359905,0.006739556964597994,0.007584735435474718,0.005368604678253295,0.0400555132533854,0.014388566832208415,0.0025134513097019367,0.005205105295033243,0.01308824497748117,0.007399486004488528,0.005819947522708775,0.013421686365360685,0.010785747300177426,0.02312025347671801,0.006596540853830254,0.011819296094996014,0.008946465737356081,0.005537317306699471,0.005195485820504343,0.0055313121147423094,0.008063651968843446,0.01753200558423953,0.008838206376146714,0.005336143919419778,0.013087658301312088,0.003958508322131179,0.04928796241374593,0.005062843761767563,0.004582156794007255,0.008396712632337659,0.004811958294314516,0.0041038785583066666,0.0058220254340927945,0.003890870369585545,0.012315147996080553,0.009217649110851451,0.035372204195445324,0.003690254679421842,0.005271263940839287,0.00713422284777661,0.005157214063347473,0.0060819463402496,0.0045580210784244134,0.02292343645003682,0.018411288109058503,0.012092237577319963,0.011060081840603309,0.009800696883988692,0.01907006731948761,0.0032694834491556277
5,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,5,novela histórica,other,0.0071789431411991116,0.003178261229781024,0.010099884207019372,0.008174577273397569,0.007036697559239606,0.008953707414620114,0.019937584651473557,0.007035894129850381,0.003231774912405936,0.0048136060878348425,0.013680927591705127,0.008137784422584149,0.010062428009704959,0.011064055889296678,0.0015894531488143567,0.006251120837304766,0.005488619335464494,0.01861619259148449,0.005140863327722349,0.005165497225589089,0.010007340456869808,0.008484921510249743,0.01589035724817822,0.005719487013716956,0.015294967741343736,0.0052966206537098885,0.018133871362440844,0.00438087577487652,0.010424148390340377,0.010497625999584781,0.009812049953307145,0.008018513966383086,0.010337862066349648,0.004049382752655626,0.019115209159292955,0.005305179032820073,0.01939318088760733,0.00653313171991856,0.0050272210344464,0.007590616193264137,0.010598400203255151,0.003754406502376054,0.0015080647572529293,0.004802220889108766,0.021093652688126793,0.0237511861054525,0.015605850723095607,0.010444825335154645,0.004214898892711431,0.0058383718344038,0.004379529620363806,0.006780441123846455,0.007063224701482,0.005074802745245449,0.035287137244451955,0.009759127683055422,0.004079878205609071,0.008117819707446298,0.014486182856991697,0.004247029569311992,0.005309736537478397,0.00898922744331054,0.012793858384023294,0.023507802189430486,0.003874758680856535,0.010243668562256355,0.009812290450637329,0.004622867996042515,0.008697681661115406,0.005036264198123398,0.015624296198775325,0.01270973503723195,0.008800073445444177,0.0039731286552501435,0.010232436355650286,0.006170288715255448,0.0482475662741504,0.006371281395419195,0.006647387290304594,0.009639558340413305,0.00986772478470271,0.003901111151914847,0.001612054534948579,0.006938453819840669,0.015111952451956009,0.012042242172976824,0.042622496724428506,0.00948140448531169,0.005285885416243809,0.004323382380251339,0.0062255167369173045,0.003795183539089611,0.004947918203135432,0.015928611435306415,0.010822737553466471,0.024857033318302416,0.007213245266858952,0.007601461808466124,0.01678388195612485,0.004296307155998506
6,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,6,novela histórica,other,0.006432758869530933,0.006773524073932818,0.013752296673414278,0.011487967262208965,0.005061769887071977,0.005010934755299713,0.01630483530224413,0.005068838935932597,0.0073692371132260005,0.009245615220838449,0.0134191203838021,0.013727205391567038,0.016526371160006905,0.012968723752121474,0.007670728816365456,0.0041965780808310175,0.011279509164630773,0.014808204906923144,0.0029846838481200413,0.0022309947652808487,0.005654266416613417,0.005132653938995531,0.01850001563220681,0.005076251266262042,0.022998470166314205,0.005817812636270525,0.014137567584721159,0.0067281141711387875,0.011110014025359485,0.015965080028192757,0.010495520893659347,0.006061738777201504,0.009807055129040272,0.0051134917818535,0.023822210106842878,0.002594501047484685,0.012290224031076616,0.006227919024262743,0.003306448875370444,0.007984686935464672,0.006511105476236807,0.00403262695016353,0.002303107579935966,0.005475440952712318,0.01095792581544292,0.017634131896224568,0.0089245098330638,0.010828678421312701,0.0046456631206688815,0.005605826231634938,0.008315564977638802,0.009897625961426435,0.007026565549518135,0.01179204398818,0.030988501519489425,0.009819789887656891,0.007755387779842527,0.008223592365412634,0.012468557293270642,0.005934552057908804,0.004355595625173033,0.006998443338781323,0.010774322833388012,0.025621888851789267,0.006941921566323061,0.004627131564894303,0.004883214359585004,0.005119844238201172,0.008687746793944892,0.00802398499043115,0.011339002829222587,0.019671713051063796,0.007444172597276894,0.004782923540581804,0.011961647257405707,0.005816401823655487,0.036923150518145834,0.008078811210501222,0.004656716392759292,0.004054030471354654,0.006970058471407483,0.005696069559371403,0.00286022499804276,0.003899330482506574,0.006488838098512356,0.014215898873011118,0.03590692358930218,0.007527402112942943,0.012343798356051344,0.00715079682399387,0.009837931383501496,0.006283523657810147,0.0038932657303020306,0.017687995938948625,0.0220181196680328,0.0251629779530017,0.008913138880715543,0.008022538896628644,0.016758394810335097,0.0033149693716824254
7,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,7,novela histórica,other,0.006933317622644981,0.004737309585724597,0.014606900029082394,0.006809499474493814,0.00801080708526503,0.007640334379820068,0.024835833043514888,0.005405198037960761,0.007492987278598949,0.006259945391379916,0.012404076744663685,0.005902854431107359,0.012169803608726968,0.003960333410576321,0.007093574812367344,0.0043496054508839884,0.00631265659000962,0.019756397299813922,0.008508295255716525,0.010969715622960272,0.00422680457657868,0.009816309544098253,0.014166485199554232,0.0040393174983267555,0.015728844033853846,0.0034316680817846335,0.014628406242976781,0.004434315454260721,0.004312928020542494,0.013814181903844733,0.008875284177368341,0.007714368967955499,0.01013515219306454,0.0015007354919817461,0.009577885998362068,0.006173506523846914,0.009069095825008488,0.005777555632597521,0.005658943958617855,0.011446378169830669,0.0028621047467757986,0.006990732210235591,0.004506110694286412,0.004363357509676866,0.019749234770340136,0.01171516359669425,0.014491466839666935,0.006234355617855344,0.005214360101017935,0.005281275773371523,0.009428081198326478,0.005251335324726297,0.009770280163038386,0.009803995378412164,0.038109428833995485,0.014752179599071692,0.002084533262851295,0.008690413776992752,0.008625936420044762,0.003963956648651588,0.008953526165088852,0.011136402985033126,0.012059226261034407,0.031416409003859856,0.005425887644803802,0.009027803168097115,0.005796803066259354,0.004411451314781859,0.0057502833311546195,0.009185989682051055,0.01606796980985693,0.01451681653151718,0.00659018444461257,0.003263989993212095,0.007855114771299488,0.00470881137503933,0.058014328855415194,0.008810235206939916,0.0038609830298914874,0.003781964404661468,0.01106497834272353,0.002248315473761808,0.0037620835616278357,0.005176205771744635,0.006387137141235304,0.006750296101570686,0.05238438776750286,0.003998560648646261,0.011593416223839699,0.010168863289140621,0.012284824585503264,0.004837484276424826,0.008521804230231364,0.014387736554676114,0.019103008059542004,0.02574365597936075,0.006729620066438209,0.007367615779568813,0.013076325499146347,0.003203584486907667
8,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,8,novela histórica,other,0.0072343120428271235,0.006711892243169711,0.005463269354090932,0.011083736786369544,0.009381229815845372,0.007402100174426987,0.011251574457105134,0.007040689605201528,0.008792040837761672,0.007644734417053074,0.010016835027060167,0.012210289593103538,0.01328867489466658,0.01990576082704361,0.006439313187317002,0.00270611308307183,0.012601661568134715,0.010067166216803057,0.004687054438942782,0.0033042683525872575,0.009424509091885877,0.008519395548084173,0.016598821941172747,0.007347657004477126,0.01942329003621748,0.0071180788155392905,0.024451639820744275,0.0037222073061405434,0.013657547181814238,0.009121222300145764,0.011539505765455774,0.006136242834560609,0.007692217686639536,0.003291690191008728,0.019483624233192394,0.004717496909034981,0.008528741637440952,0.0075274378590189685,0.006227034073079999,0.004504269191314078,0.006459792198416082,0.004985659071190796,0.005782934418648609,0.0071262239444689944,0.028991433103460657,0.027925335919229265,0.013159732061642943,0.01419377402690123,0.006049693370233322,0.0033695309132340512,0.0061465836498826995,0.004391695205487213,0.00765003439224377,0.007175044606244574,0.034254178511994714,0.006582248848451909,0.006303758139741587,0.0053775133352998074,0.007675660065397982,0.003113969000589205,0.004760362417036575,0.0119158736184194,0.011565818713948926,0.02439940181262117,0.003661189333062898,0.008641155795400271,0.0035890643572196778,0.0035228980394995794,0.010569422218589322,0.003208960297416909,0.01162228571984044,0.00715001741238409,0.005076179344280502,0.009649952337954052,0.009244015740375448,0.005693850433805076,0.048519545349527876,0.008281203535523536,0.005396327354931063,0.013405078120820741,0.005824130216998127,0.001559283957529797,0.001295073886442053,0.005605324703705039,0.012505873158664603,0.012812784125953134,0.04196865156498724,0.0058108571484962335,0.005063929021719881,0.011386762284375747,0.012445244189780026,0.004480846407155222,0.001191458369649691,0.013625168934984435,0.018146511535437223,0.01808263519393088,0.006153515626612427,0.005141720910429526,0.01937253556494085,0.004674950113241774
9,subgenre-theme,novela histórica,other,100,3gram_chars_affix-punct,tfidf,0,9,novela histórica,other,0.008713408059051363,0.004908078400617442,0.004999979621148026,0.006756928221543754,0.0040815446919905286,0.008595503497075949,0.01952545123660024,0.007516210842931062,0.01517381817524311,0.010512864324352547,0.007787967264070153,0.007226156280240821,0.015329577468475684,0.00916012694995594,0.004919038195168815,0.003096334658369538,0.021889103181458994,0.012896461766236203,0.006384859120084825,0.0020697923845577064,0.0032211810191284823,0.008272950995757047,0.015706178365702508,0.0069400152451745455,0.013172909892364668,0.006120864338066213,0.018707150312128037,0.0029484351639690407,0.012565492975907066,0.021416297705196277,0.007424085671707789,0.009525196327109447,0.011584269219289713,0.007222619418638268,0.018697937826010903,0.0032624521754823755,0.010335864588246074,0.0032074738385421174,0.0026518018775014847,0.006556145226340292,0.0062607777172913,0.0024348402381440845,0.005152764595393199,0.008773118568985145,0.017679534192186663,0.018599955750645172,0.017319187231629566,0.006969671077199733,0.00787056716482605,0.006284014730239452,0.0026946334549469153,0.006226916202760593,0.007748554444095032,0.006342964000083352,0.03278468364522781,0.011815698152360839,0.006472510751552153,0.005873166098654004,0.005042079185340593,0.0027379093847882978,0.01329338333965589,0.009030224144473195,0.011523971375406693,0.024920477142475757,0.004342096239327509,0.00993322651068174,0.0016171960079635896,0.007257668525630933,0.010933540500230026,0.00286678715230048,0.004991900058207634,0.013759483630286076,0.0033107966387128517,0.008406115668479226,0.010494310169587604,0.007708976068451403,0.03752183723541427,0.007483722521811214,0.007817081620828528,0.012870931024781745,0.010173410201555759,0.0032441206449303566,0.008084884260799207,0.006165576178443449,0.020366362331399913,0.01329932001903667,0.039981871786957696,0.004779604712200458,0.015315376372861893,0.0068386452839512045,0.013617362917859855,0.0059698984660336366,0.003364439511386285,0.018883300181421318,0.01405613110759961,0.019006859823379563,0.007087892978127388,0.005503187806503253,0.015623989419066498,0.0023879673139946345
