,subgenre_level,class1,class2,mfw,token_unit,normalization,data_repetition,cv_call," , ", a , al, ca, co, cu, de, di, el, en, es, ha, in, la, le, lo, ma, me, mi, mu, no, pa, pe, po, pr, pu, qu, re, sa, se, si, so, su, ta, te, to, tr, un, ve, vi, y , — ,", a",", c",", e",", p",", s",", y",. —,...,a a,a c,a d,a e,a l,a m,a p,a q,a s,a t,a v,"a, ",a. ,aba,aci,ada,ado,an ,and,ant,ar ,ara,as ,ba ,bre,cia,ció,com,con,da ,dad,de ,des,do ,dos,e a,e c,e d,e e,e h,e l,e m,e p,e s,e t,"e, ",el ,ell,en ,enc,end,ent,er ,era,ero,es ,esp,est,hab,ida,ido,ien,ier,ión,l c,la ,las,le ,lla,lo ,los,man,me ,men,mo ,n a,n d,n e,n l,n s,na ,nci,ndo,no ,nos,nta,nte,nto,ntr,o a,o c,o d,o e,o l,o m,o p,o q,o s,"o, ",o. ,on ,or ,os ,"os,",par,per,por,pre,que,qui,r l,r s,ra ,ran,re ,rec,res,ro ,s a,s c,s d,s e,s l,s m,s p,s q,s s,s y,"s, ",s. ,se ,sta,ste,su ,sus,ta ,tan,te ,ten,to ,tod,tra,ue ,uel,uer,un ,una,us ,ía ,ón 
0,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,0.0,-1.219608519950002,0.029691457705661176,-0.575422337362509,-0.5289029373916371,-0.09413733352622833,0.2869293998082859,1.5543122344752194e-15,0.03423103444182274,0.04990720663802023,-0.3582167041393341,0.1739773443380268,0.061963009729755776,0.019191409739537483,0.04204091038231467,-0.03907705142055562,0.1296801160527934,0.44408052120032104,0.2473177406004226,-0.2891153447837396,0.3327410307526164,0.4901971656896231,-0.2382763404710112,0.27230573399849123,-0.27465440136641983,0.09499098432334764,-0.5138892422362462,-0.09042168105883276,-0.4172796190535969,-0.18071433019797525,0.2104298698409468,0.03884505623050427,0.15492525061343146,-0.006769427573157238,0.3676642339894651,-0.032542532472459314,0.09038736248493162,0.18395272482452246,0.34103403528374,0.024690812081090474,0.4171022645757574,0.2401202989538593,-0.6350962238274905,0.05260694360762352,0.5499754562315096,0.17395304012405155,-0.1373603940146645,-0.3368884390778593,-0.4354320935809983,-0.35587201122641376,0.4766655474777926,0.4574254849220896,-0.008162221422230331,0.5251480945093867,0.2473701600306346,0.33433435886338514,0.4601860272376207,-0.1813142010464616,0.3074924532612657,0.040879472176514775,-0.1663109749297551,-0.13654927274163375,0.34774641158341346,-0.06071410476220662,-0.2482030407117092,0.5985053917480461,0.26754442254685684,-0.02067521361675645,-0.1894522220129159,-0.5978504588489552,0.15072829836793675,-0.3036300393520015,0.10473356882600447,0.3370550067958705,0.3918016834571781,-0.904502039104602,-0.18792852854165495,-0.03664516361365072,0.041812077644350576,-0.4414682101113755,-0.05724506887306757,-0.021469388655030563,0.0034392726027534515,-0.3608478294790387,0.07489052504711602,-0.1865509021420068,-0.11175156425000554,-0.2840523802918835,-0.12752453248551454,0.7168733017252054,0.08421176070437264,-0.04499390221376187,-0.3925208916020101,0.3513612424524528,0.07188691445077633,-0.22536101579006096,-0.0027869414502595946,-0.2893545261454478,0.7476132133688049,0.09263705138493757,0.5250244646596143,-0.218678709276376,0.3056577169256716,-0.6736015018180828,-0.12135864059777612,0.11300653050942874,0.24105218263664815,-1.267391256064864,-0.0341679593035622,0.2417389201267925,1.0535490611893703,-0.29825341432385755,0.06604768416438422,0.1578646040787952,0.18806364580376975,-0.34609289094591666,-0.015900930554486048,0.3079985330371159,0.07605262745211873,0.14138936690051165,0.23661267335195316,0.058080229643307724,-0.013703719024992622,0.03431025860868181,0.35390762627559497,-0.06255653793423466,-0.4780393299427609,-0.8857645435183075,0.4150418350925511,-0.01700646963809593,-0.13065863302829486,0.2377890038058449,0.1186126191152218,-0.008125770607384621,0.499796400478026,-0.151807509105647,0.8809240547287267,0.3692381914798677,-1.2639939051761029,-0.4249700675483144,0.060255986242392034,0.2234363219987643,-0.1056150316210518,0.28364297645542624,0.4235232235936259,0.5486780975612537,-0.20009766681453267,0.18583909354989747,0.20403620637545009,0.36401756436223776,0.3383449868560658,0.3126147550461829,-0.5314529023103123,-0.09145530057012656,0.20591808296916286,0.09935880435337063,0.3383749415425368,0.1800419637659425,-0.03530792518075132,0.1881347951501725,0.5395686339650689,0.28989032226553,-0.039385582593940205,-0.20050253171306165,-0.6949607683092551,-0.32900942536740885,-0.3191117997553947,0.2280153752800761,0.1221922308461726,-0.025547999209321715,-0.06170630611927086,0.7194719868100975,-0.25325713688683793,-0.5209263672539717,-0.026200943884530425,-0.6074271254559536,-0.11816970450471966,0.18164280634091,0.55480524864284,0.4240039025889666,-0.003494899079547253,-0.30074711705631096,0.5910777414052228,0.13024342464331146,-0.5020250928471515,0.4544978601894281,0.3637708855628001,0.21462886086053035,0.4059313197729426,-0.18336967126463144,-0.6607732227092195,-0.454709895432249,-0.1530189119190548,0.06960974177877988,0.3307851393227592,-1.30914935696413,0.4703481796539507,0.2415658636285628,0.1305430151111615,0.6789579665436174,0.4788707930332773
1,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,1.0,-1.4082291231362367,-0.2623238674058906,-0.6578341320276175,-0.6350212901578374,0.1347573145838809,0.5088364411090781,-1.5820678100908479e-15,0.0350004167492622,0.1865400504500068,-0.21644803246951852,0.06552403558896852,0.06052314724547558,0.06885644991975218,0.1805005167389831,-0.10329668473864008,0.3645716467569348,0.4096653336537679,0.10304205223062107,-0.1746771243530904,0.36486732690799495,0.4679944119843571,-0.4788552762916852,0.24032794659849985,-0.14844426755619886,-0.12606735768561286,-0.7544484812072948,-0.12458699138100683,-0.5375183356679973,-0.2576783989532424,0.12313671510681515,0.15671639392603376,0.4869180822217263,-0.24441258538858415,0.5470700083271188,0.16263059103837174,0.16865242037326994,-0.1024466783448634,0.2902126159118739,0.14247706090416198,0.411763547390009,0.5328121568436919,-0.6054641091191925,0.10453002479019943,0.6862793882292155,-0.1394170362514892,-0.3804674736083746,-0.5301741475154561,-0.43104105421736,-0.322448237730117,0.3258255867498141,0.3306827060651666,-0.01677222339984841,0.2354784450033727,0.17645292876754518,-0.13647099219799558,0.4600822138937389,-0.4900277980921691,0.08918393103478332,0.2523449358038489,0.10749248945332636,0.09950162274091877,0.3707583429099696,-0.14555622375170862,-0.5974756769692381,0.4963940332127957,0.4713399679959856,-0.003341245857258937,0.0871865721452479,-0.8385564317976044,0.06344377027971343,-0.36476107840616895,0.12127190240151492,0.3280046782203039,-0.021465662241943826,-0.8138213575051971,-0.15751177616180032,0.1255380673245231,-0.013781038276183448,-0.124068329363159,-0.04024334321447818,-0.22311784244830632,-0.3283623693280148,-0.062201033956879585,0.0632133452878754,-0.550203962386866,-0.5044576016997989,-0.2898731030904744,-0.13453831869438926,0.6306896717363762,0.019407254701181032,0.13356971145364216,-0.3709771121107031,0.3553042434969481,-0.13755819523923268,0.09340843250783597,-0.037922201687114375,-0.29609935696560463,0.6769400909732379,0.2776482692779116,0.4963472123918522,-0.2798816816658463,0.3195193367629787,-0.356671899673248,-0.1547720756657741,-0.21230414929764568,0.13300293571362126,-1.0029479409392337,-0.09486282742071143,0.3221444704934041,0.635042578864732,-0.19022561347083627,-0.031666340763915536,-0.2941119790495498,0.11526793901968314,0.020362826419030783,0.18856313950221945,0.09562980199250268,0.01709455733075578,0.13294431029426595,0.4259699118815543,0.07314590293577203,-0.19366173581176205,-0.010467106329176985,0.11926308527449668,0.2363969660954572,-0.6877697038765449,-0.9729356040131794,0.5738239731951577,-0.05463062430849655,-0.11646564446402477,0.4258302432823513,0.017423632536246236,0.030541308218410976,0.5909095583599806,-0.4330657061731206,0.9285163680260896,0.11391782267213064,-0.9537162268279732,0.020114746437348355,-0.08802853970546308,0.4334093850662273,-0.14361089097579305,0.07555042646047593,0.4456237190034673,0.5589732942350425,-0.2075626604412536,0.1303388858507152,0.20286045373627526,0.22797457551741826,0.30028389287626456,0.22030927239289366,-0.4303866031231463,-0.13500822474806656,0.005285921083956424,-0.17672280452770078,0.3832723813444559,0.25118143585846703,-0.516679804716373,0.016090556443117812,0.14894311419854167,0.4753358707693496,-0.07938286367804058,-0.197145463219498,-0.7197301581211171,0.013642906009676605,-0.004727323983638801,-0.08392586066667422,0.12826178458353502,-0.02748381408467919,-0.010887033785594996,0.38766230776813065,0.025385048572190247,-0.047255937487627575,0.16091767159902104,-0.6378121815846244,0.024076252892140108,0.2929685379149888,0.3964313629279905,0.16953419232070654,-0.0275507369886301,-0.2401351374322549,0.3983313395629264,0.3824948827519024,-0.9379154986381673,0.5252674727362668,0.25278111149269794,0.4341233349360469,0.4519243826346591,-0.052326950102049435,-0.6678206548145469,-0.3084516229257204,0.03188517797289705,0.053954872706849136,-0.2269741420622353,-0.956381887015562,0.3629884608167875,0.2582432941541536,0.3782466047938752,0.6088580478990622,0.5199535134845932
2,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,2.0,-1.1294945865952903,0.007324376633516927,-0.4640577236829724,-0.2384585374061541,-0.051891758753108363,0.2743567598300958,2.664535259100376e-15,0.03061844879448583,-0.040562515203425235,-0.3229145334237509,0.048983045300866834,0.23631396037632,-0.01032993519921932,0.15972482696608026,0.029016949848991388,0.11500766798051988,0.4067593049465619,0.16188654961412352,-0.2400529430512883,0.4473081457802748,0.4231485284365724,-0.014767273850337825,0.3595046465763592,-0.2371177061205896,0.06241943826342777,-0.3789934732120556,-0.19691485796898006,-0.25281936639549896,-0.2833203136770175,0.15995213888134874,0.13411694331832869,0.6414412985041065,0.014617697017251019,0.39254463754225455,-0.16308343403220382,0.2712596407143017,0.07001315967842647,0.31738344081245073,0.21411791676290196,0.4944670043801549,0.13090572829340874,-0.7466064436840849,0.05370154610767797,0.5783183793186095,-0.059517942897218234,0.035080091326278214,-0.363451454887348,-0.5268408763541161,-0.21568438756838504,0.296130945531557,0.6531405862458592,0.09934897053988799,0.3079753188606027,0.18016596444329516,0.2932276874431936,0.4206637836813778,-0.1676103042910828,0.2626465171542085,0.2510584988357416,-0.37782984365782224,0.041881916830618586,0.3454520152466961,-0.035787717862701296,-0.4609359578125434,0.6667493650157179,0.23979201404925754,0.08433201710160443,-0.04265319720392646,-0.8970758308719109,-0.2177365257816344,-0.2179663242351808,0.08766435803236516,0.22150183815307375,0.12719194989707086,-0.8465556203132045,-0.17589331156656662,0.2352080318553995,-0.08421691307657153,-0.3257819246326912,-0.21708081756356531,-0.14116415464634913,-0.2945663942231236,-0.2710425396777489,0.16472115806641374,-0.26955697350580765,-0.14864675208996614,-0.4162052085780568,-0.175578860654112,0.7469355596946691,0.30478689545692816,0.00357627947189898,-0.4282562902987608,0.5537302473261518,-0.1556445785637921,-0.17198188449871374,-0.07594977845139594,-0.3927384213071592,0.5310777747836256,0.08829976762717331,0.4802392555274633,-0.2716169421990975,0.3775605408524356,-0.4621474843496505,-0.2984770321481497,-0.30501685741715123,0.03990415793057722,-1.1711024377744206,-0.07917861843607543,-0.04361786879975171,0.8792882879232359,-0.1802980941008228,0.004391735845414857,-0.19056503408449374,0.25391419572144625,-0.3823743877329437,0.1222561789607739,0.19982516978519535,0.1400698269071261,-0.07471729627800339,0.19411239786967205,0.06466714916463301,0.1460719089488961,-0.0624299486340858,0.3208241504091629,-0.2592370129751329,-0.5813657048325416,-0.8453395397908876,0.07092320851529478,0.1310447822005525,-0.12710157199725736,0.3260068504494757,0.10184642123684397,-0.015246092553434896,0.5024331826522783,-0.08848446984426195,1.1096217409771016,0.03787770702939108,-1.0515870315542488,-0.08662747800227266,0.019205755886319453,0.3738930053610585,-0.03497306612427309,0.09272960650124906,0.35357137558090523,0.5716605502291794,-0.18760706506733693,0.190829657123076,0.2097829551809831,0.26066113237725985,0.4643650412679282,0.3115730728388557,-0.6931659500661715,-0.012386273882596057,0.08760048631449135,0.004461371317155072,0.18186692855874972,0.1505005064313374,-0.2167498174440852,0.1400426419787033,0.2336205277881951,0.4207496751881521,-0.16749372197700652,-0.10490236117516573,-0.4940888032616333,-0.1016077727269975,0.0044091777374604115,0.1167703110716043,-0.06786856958975973,0.01771840325390484,-0.16254558114413675,0.7992031785569809,-0.1872422627950474,-0.2475860531981995,0.21236152792125906,-0.8011968347474959,-0.2644231473271452,0.5290626573671379,0.4343081261306788,0.2604682649775435,0.2318081162076653,-0.2845048328266364,0.3308655699977248,0.08022614905504166,-0.4942934107227985,0.5248537361489825,0.6280771884316043,0.4481550497262612,0.22196603960193384,-0.4000242277505016,-0.6238126910136694,-0.3527819371344008,-0.014946937809472429,0.09649580299079652,0.08900512088325607,-0.8758440647674812,0.36298775138230377,0.23874510945759875,0.2294870769446287,0.4248978388297151,0.4785427139509526
3,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,3.0,-1.1375693781078782,0.006287924978790715,-0.7659428657638472,-0.7276167381142565,0.18066852458114485,0.656877146544073,1.6653345369377348e-16,-0.14367305375926692,0.061618471208837726,-0.03275861360511287,-0.07993928576845337,-0.2431016413489548,0.21554035148452427,0.1028798348161749,-0.02468016113412061,0.35951107822822514,0.7071233981230586,0.1927122266721951,-0.2975772554366428,0.35559934508893976,0.5062658116449044,-0.15358714249273567,0.3593072594207133,-0.0828210821070206,0.17143499749510402,-0.4919352823582242,-0.14804294835357532,-0.21080830976314255,-0.4260818000456297,-0.08678863370354789,0.0998727743483501,0.6040970133700289,0.033319796435205114,0.35460849241757564,-0.1569764531433601,-0.12748495013849653,0.1919309081605126,0.3742419941712449,-0.07031714232481813,0.5809357084974558,0.1862727819128338,-0.7030981008191273,-0.2027331822612508,0.2510229423428158,0.20564722135519606,0.07197529771361298,-0.575989845736192,-0.6088356161508106,-0.3404874395106322,0.4407404046204928,0.16696339224422635,0.21647815554721656,0.6439707964449879,0.355758675685693,0.2181251442076468,0.4544172452099477,0.06337267184009747,0.1551621861832041,0.32333113006286546,-0.19427194977806533,-0.059072312947479826,0.3355930462075561,0.062246541434436926,-0.01263761298086305,0.3296151741684811,0.16905088582848754,0.09360579525561102,0.16821299306941487,-0.5440055034270095,-0.1232057035299797,-0.4826159768185719,-0.11211376281650534,0.22650341720845524,0.5600550794440811,-0.3202580879546494,-0.18198365617368767,0.15677353468126726,-0.014535146903896429,-0.16097114826393696,-0.2816291453209381,-0.29531115914236794,-0.23016880497744885,0.10533319404100368,0.18279166512133066,-0.2299815986905053,0.13004971584659356,-0.0485851273857997,-0.23501464140949166,0.5129033253868979,0.19704148919460512,0.06151828500170901,-0.34830526819325386,0.5055458109384439,-0.3485527660513921,-0.35717829015659097,-0.1979842822725475,-0.14073731526123778,0.2574017950695,0.4617681869325738,0.5518496844476493,-0.2387128247569349,0.034398362963086286,-0.5291087376706523,-0.23080169432163405,-0.5240332942407814,0.27325612951121786,-1.1513175502853459,-0.05549031300543708,-0.24733529011167704,0.8022853988928091,-0.3866593531097035,0.05232082697071322,-0.21102113856660487,0.2426514943505367,-0.5899543963815604,0.22259132279966845,0.057049582039074585,-0.09862146596855843,0.07388456770786908,0.3401360936225967,0.13922283187182066,0.35369244730796834,0.02177606686263514,0.16379418296196938,0.12559065057096902,-0.4342966015219119,-0.11758227607039898,-0.09637811317453784,0.07476660983242281,0.25380987971452146,0.2970528564456449,0.2621881077090791,0.11357977220214445,0.5896914008260407,-0.23829415327970946,0.41400833632465056,0.2381134884979447,-1.1057174006030341,-0.08918619921735382,0.2452518453501953,0.4173357693952797,-0.4565878578413057,0.1319349412660364,0.5646038034990689,0.5756958533224011,0.017810287598644392,0.3552362885485625,0.4230621866051382,0.06741420971608306,0.33243327057683786,-0.08532371027630775,-0.3561890630425495,-0.0044307100212208905,-0.01950840715318694,-0.2112103588815142,0.6120277776197719,0.5218004173004976,-0.3871642643625149,0.2332564027256722,0.6412707878448555,0.19798582259710154,-0.2972688679683333,-0.32722428480011884,-0.3140649663150855,-0.050971708936284665,-0.20529220152626754,0.0385686959953401,-0.1304777277691967,-0.1305312635471339,-0.011906512826025284,0.502628650733663,-0.29855180912714924,-0.01459563886787743,-0.048509903320120985,-0.6061142900130227,-0.12663656518177827,0.2361064727620517,0.4388513964768651,0.11756468765820945,0.2369038450507498,-0.2982219777031517,0.6655492273873362,0.04937679648263232,-0.4293599956661729,0.5872408964084439,0.3147926828530387,0.07361400212004704,0.10796037064877496,-0.2505593465021185,-0.4700867218035267,-0.5049593187418935,-0.5393201201449064,0.1119382882091724,0.3434054066737938,-1.1654513239866422,0.3381685959877581,0.1840140107324413,0.3718696545834262,0.438095717962128,0.5784946685614692
4,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,4.0,-1.2627467184527008,0.04239763306259753,-0.6384472021642513,-0.548817591007013,-0.09946699405222932,0.44534543553999495,-2.5535129566378604e-15,0.023533872905958486,0.13414116515400404,-0.3430170189478532,0.2646660843147057,0.15590496855118308,-0.06471835374941365,0.055538968526671166,0.07866131929230298,0.2299621302742923,0.5573768592902211,0.3479144862573329,-0.1777862328084503,0.5927844874102342,0.7173530990931009,-0.06930137701041728,0.2479952987612466,-0.28414076640360925,-0.08145033764422432,-0.2510961852520883,-0.2774237811000352,-0.3875972969480704,-0.11932517130167725,0.18729601782059685,0.08557969995138076,0.5087757962744598,0.17869901802464105,0.3784321739042664,-0.07353862112827314,0.07496251643346494,0.15608086943867322,0.3064573951032839,0.09805004825961916,0.5749691928532732,0.2227474081182736,-0.7793057383022123,0.17416864783789598,0.573238351657121,0.026271427844284517,-0.462181069818741,-0.2714968303338048,-0.4022054284725557,-0.41781334508688206,0.6083553418523026,0.5339670815187785,-0.06969839334358374,0.5549355134955649,0.3426767227910752,0.021832306042915358,0.5445216090105446,-0.1331350164897336,0.4168232776876605,0.32078544829668143,-0.4785559841579154,0.005713183792752596,0.3552680813328389,0.0007914229953563945,-0.4700881268267679,0.646313700252123,0.25030993674424923,0.22774058692562696,0.036252596257514536,-0.8184882708514472,-0.14999486776784282,-0.22911633377654014,0.3006978997174604,0.180367579981721,0.1682827817793503,-0.5097726237256452,-0.05577408832667041,0.13763778478412006,-0.3841181755171552,-0.3053621263318152,-0.17595773663579145,-0.18206680037999656,-0.28569694963961023,-0.3629488535425639,0.09013433695943013,-0.14426910143584232,-0.26290421136767633,-0.14474154114759707,-0.16623448384664635,0.7694734225185473,0.06822555018272547,-0.0048916461964495506,-0.3360441005872669,0.5687007792977541,-0.09007135357148444,-0.1482825004025347,0.06286749489141963,-0.21356789190963973,0.6381288718526801,0.087166504003428,0.7399292430729228,-0.11096891563303374,0.4249568468106423,-0.265050641934351,-0.2875368800100551,-0.4092473528658598,0.11064416095365147,-1.275681478237076,-0.02650516558898605,-0.28642904130172403,0.804905099643798,-0.2034821542257812,0.1948004329312898,0.03320425047387493,0.19423003454503365,-0.32264545123857674,0.05230039703616796,0.17943373993458364,0.14627829684614255,-0.09150198520539288,0.3553391793921233,0.12960100868486102,0.17937959553329474,0.1096263927845346,0.1744667717544418,-0.20814238237153948,-0.5979507178867669,-0.7903411265838427,0.2456894319162057,-0.025339695210581745,-0.026926553458508477,0.3316971925435524,-0.0057980029476609185,0.10434318519027748,0.8045037900989122,-0.0008707494557751437,1.0632885288069065,0.2113747724843129,-1.1386465201943554,-0.17209555541743154,-0.03241637281236853,0.2644378312698196,0.011002186370830613,0.14089144887690236,0.3043835665097714,0.8025840017841086,-0.1145644017958392,0.012251291297695031,0.16036608841025973,0.4390389360813573,0.3638730006871601,0.26606035400690703,-0.4830213250155514,-0.07970240000826934,0.09752596365495284,0.05722386690297133,0.0845326698533054,0.0770625997028428,-0.3779571908696529,0.017499294342238292,0.3786650758137355,0.3837992871323035,-0.13457353604232258,-0.20834454505056052,-0.4842222999382996,-0.1686732307528242,-0.13036893591715693,0.00620220976012742,-0.16102353817963333,0.11279035792304568,-0.034978138660642366,0.5392943641647762,-0.00890496501004623,-0.17923613870475466,-0.004952476083649904,-0.5074660694604289,-0.30838334499190045,0.5952421148081097,0.3862257837829827,0.2605005337213547,0.2461277421510268,-0.2574762486948229,0.4657867023700686,0.17128205813400071,-0.3913249831560944,0.5135336886030368,0.611053641923696,0.43283608908868987,0.20751376808792574,-0.038798222303921485,-0.8857047014964183,-0.34308163517627377,-0.19752837548271707,-0.030351614510241712,0.4236320587980037,-1.0948307600992768,0.4400956029797633,0.09223954462600832,0.2640195918480404,0.19127670375287664,0.4883049385185148
5,subgenre-theme,novela histórica,other,200,3gram_chars,zscore,0,5.0,-0.9932688693307758,0.11454351387552912,-0.4128614478585685,-0.31851520714622816,-0.14031646261256697,0.19787966714743205,-3.885780586188048e-15,-0.06319136006843246,-0.042914626161114716,-0.4816072530554715,0.14832580912054286,0.07752467735226876,0.3589846855491913,0.11994285909462453,-0.10310107123365904,0.09390075901329364,0.533435639266158,-0.05489749656312182,-0.3021749883697783,0.684452033415005,0.6656119051041635,-0.19038176348181185,0.2371738573039127,-0.375279092776676,-0.02479087926602025,-0.4708783509172004,-0.08454073537716382,-0.4336447447543095,-0.10608385936201747,0.2743783104466761,0.12115408114866055,0.6351680059443723,-0.031683471149827946,0.12907129471103762,0.14403143610741287,-0.14255060634337546,0.0647850104263396,0.3190688659375939,0.13588741705193846,0.5129191707259911,0.1301238664967891,-0.7488139666506112,-0.03187579629649534,0.4708673097615044,0.11478814212454864,-0.16516283009652594,-0.2438387008096899,-0.8431790184577896,-0.3077280401523207,0.5715317186530541,0.3939764827381727,0.08125642880614165,0.7413428744255044,0.19700036323189207,-0.07733948294909337,0.5221515239501987,-0.13523063506875935,0.26142680516941896,0.37484863104512856,-0.21054462871489976,0.05228213988470004,0.3811778224608372,-0.0713481962820447,-0.4723635542993469,0.5783286633743918,0.18168709310167214,0.07177013785083662,0.07636140635453048,-0.8060510507756898,-0.05524700812103472,-0.29860673425343753,0.16472855207704268,0.3536602867621679,0.12105070425698056,-0.7649127460320155,0.09030714394241746,-0.11849247851916808,-0.2528862998959424,-0.3999266213381821,-0.176936704306776,0.049545710454249436,-0.03822080116101029,-0.2319564560256626,0.16806047076184175,-0.6332483881806865,-0.06939927597291701,-0.4234906420583556,-0.2574133993509166,0.6104861255721534,0.2546184867693956,0.08104455743335802,-0.5066545670919838,0.2758791099551614,-0.20101004861849875,-0.26741189014411515,0.0023745761999877657,-0.40297881869626173,0.6135106277247427,0.0893768775459482,0.3244615680005287,-0.1896386408429151,0.2432746906956449,-0.3842916719073578,-0.2334805487818146,-0.2843556147170699,0.16155460672062755,-1.0426127098315319,0.16299758105824652,0.07134369107598043,1.1175326808577464,-0.2623255008328477,-0.017929484900716386,0.24712676888733004,-0.02756476138158942,-0.4027215952841322,0.12148308876033626,0.10661111259535766,0.049174343236316864,-0.020893148232775938,0.3350531108367115,0.03653421716966865,0.043419183494557034,-0.18375039935478465,0.31011709281941663,-0.10599258212289593,-0.624223115967937,-0.8161670878151367,0.11847092701895895,-0.0015971801052201695,-0.1501157091696106,0.3313391329733684,0.04711950155336542,0.0506493183877908,0.7990477791198858,0.014147483840384528,0.9921046054301316,0.18542904369648955,-1.1771512364326766,-0.18131639920167344,0.09025511167202076,0.3768986005489279,-0.25571998759674514,0.1517394514495144,0.3046100946857974,0.42660491140372936,-0.08861468539120831,0.1920839532109921,0.25785309499982306,0.18898901511382565,0.09704281988136856,0.062489278024822716,-0.5932128145572639,0.034418307572072926,0.029070974358709426,-0.15170411463113706,0.2407581627629455,0.043436789685852406,-0.3149551841593689,0.16207995464009067,0.5575853012209415,0.2814494467396528,0.0011677119191063625,-0.08500585929384771,-0.496728276574791,-0.1844470050348504,-0.006723737573438582,0.04988200972885398,-0.13571412016415074,0.21775402356471396,0.026262907491143076,0.8338253036187454,-0.06521252613413236,-0.29673452352871565,-0.036777395432540966,-0.653710037307492,0.033391482875119734,0.381195071616014,0.6136765068868153,0.19283730121591064,0.19268634560903045,-0.18808523164698396,0.7101128582050918,0.146888684768452,-0.6682797073351068,0.5670791821128593,0.7322733456136361,0.4065279600911347,0.4333345866965215,-0.2547664309813174,-1.0215913717035898,-0.4536866078485641,-0.023706974853791918,0.17093123995693615,0.085734502015135,-1.0494362255357048,0.37381873551028266,0.3123828114340082,0.4355210527204096,0.29264858435970714,0.2123809265475825
