,classifier,feature_type,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,KNN,MFW,18000,1.0,0.7655211121485631,0.14200088496358582,1.0,0.7612767175444091,0.14955560554319333
1,KNN,MFW word n-grams,54000,1.0,0.6929442715357748,0.16462129878125964,1.0,0.7115271134270724,0.1739214924083374
2,KNN,MFW character n-grams,162000,1.0,0.783385880278037,0.1483079065678779,1.0,0.7880439554269474,0.14644771919467867
3,KNN,all,234000.0,1.0,0.747283754654125,0.15164336343757445,1.0,0.7536159287994764,0.15664160571540311
4,SVM,MFW,18000,1.0,0.8583350970017637,0.12089305752637709,1.0,0.855358274091957,0.12764423798953664
5,SVM,MFW word n-grams,54000,1.0,0.7972809247155652,0.1496002618261679,1.0,0.7946738230360829,0.15736445146159145
6,SVM,MFW character n-grams,162000,1.0,0.8407700545238672,0.1288297415139833,1.0,0.8376939147388202,0.13589077410704223
7,SVM,all,234000.0,1.0,0.8321286920803987,0.13310768695550942,1.0,0.82924200395562,0.14029982118605677
8,RF,MFW,18000,1.0,0.8403644568938687,0.12979927792100482,1.0,0.8378115952559557,0.1373275924013898
9,RF,MFW word n-grams,54000,1.0,0.7685953937130408,0.1501055594651611,1.0,0.7650134086974123,0.15845335657893206
10,RF,MFW character n-grams,162000,1.0,0.8166049440352273,0.1376536617890993,1.0,0.8143612772482268,0.14345096370149785
11,RF,all,234000.0,1.0,0.8085215982140456,0.13918616639175507,1.0,0.8057287604005317,0.14641063756060657
