,y_true,true_abs,true_rel,false_abs,false_rel
nh0001,novela romántica,9,0.9,1,0.1
nh0003,novela romántica,30,1.0,0,0.0
nh0005,novela romántica,40,1.0,0,0.0
nh0006,novela romántica,40,1.0,0,0.0
nh0007,novela romántica,50,1.0,0,0.0
nh0009,novela romántica,20,1.0,0,0.0
nh0011,novela naturalista,100,1.0,0,0.0
nh0012,novela naturalista,100,1.0,0,0.0
nh0013,novela naturalista,100,1.0,0,0.0
nh0016,novela romántica,40,1.0,0,0.0
nh0017,novela romántica,40,1.0,0,0.0
nh0019,novela naturalista,100,1.0,0,0.0
nh0021,novela romántica,28,0.9333333333333333,2,0.06666666666666667
nh0022,novela naturalista,100,1.0,0,0.0
nh0024,novela romántica,60,1.0,0,0.0
nh0025,novela romántica,60,1.0,0,0.0
nh0026,novela romántica,50,1.0,0,0.0
nh0028,novela naturalista,90,0.9,10,0.1
nh0029,novela naturalista,100,1.0,0,0.0
nh0030,novela naturalista,100,1.0,0,0.0
nh0031,novela naturalista,100,1.0,0,0.0
nh0032,novela naturalista,100,1.0,0,0.0
nh0033,novela naturalista,100,1.0,0,0.0
nh0034,novela naturalista,100,1.0,0,0.0
nh0035,novela romántica,50,1.0,0,0.0
nh0037,novela romántica,50,1.0,0,0.0
nh0038,novela naturalista,100,1.0,0,0.0
nh0039,novela naturalista,100,1.0,0,0.0
nh0040,novela romántica,27,0.9,3,0.1
nh0041,novela romántica,20,1.0,0,0.0
nh0043,novela romántica,10,1.0,0,0.0
nh0045,novela romántica,50,1.0,0,0.0
nh0049,novela romántica,60,1.0,0,0.0
nh0050,novela romántica,40,1.0,0,0.0
nh0053,novela romántica,47,0.94,3,0.06
nh0054,novela romántica,30,1.0,0,0.0
nh0055,novela romántica,49,0.98,1,0.02
nh0056,novela romántica,40,1.0,0,0.0
nh0057,novela naturalista,100,1.0,0,0.0
nh0058,novela naturalista,100,1.0,0,0.0
nh0059,novela naturalista,100,1.0,0,0.0
nh0060,novela naturalista,100,1.0,0,0.0
nh0061,novela romántica,45,0.9,5,0.1
nh0063,novela romántica,50,1.0,0,0.0
nh0064,novela romántica,30,1.0,0,0.0
nh0065,novela romántica,40,1.0,0,0.0
nh0069,novela romántica,20,1.0,0,0.0
nh0071,novela romántica,27,0.9,3,0.1
nh0072,novela romántica,60,1.0,0,0.0
nh0073,novela romántica,40,1.0,0,0.0
nh0074,novela naturalista,100,1.0,0,0.0
nh0076,novela naturalista,100,1.0,0,0.0
nh0080,novela naturalista,100,1.0,0,0.0
nh0082,novela romántica,18,0.9,2,0.1
nh0085,novela romántica,20,1.0,0,0.0
nh0087,novela romántica,10,1.0,0,0.0
nh0088,novela naturalista,100,1.0,0,0.0
nh0090,novela naturalista,90,0.9,10,0.1
nh0092,novela romántica,30,1.0,0,0.0
nh0094,novela romántica,30,1.0,0,0.0
nh0095,novela romántica,39,0.975,1,0.025
nh0096,novela romántica,30,1.0,0,0.0
nh0097,novela romántica,30,1.0,0,0.0
