,classifier,feature_type,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,KNN,topics,144000,1.0,0.8264694470380745,0.14651916223849842,1.0,0.829778253453596,0.14618230419639167
1,SVM,topics,144000,1.0,0.848572433603071,0.1428661595273284,1.0,0.8474762027408881,0.1489578057160742
2,RF,topics,144000,1.0,0.8322318121693123,0.1525435678317822,1.0,0.8361222544667319,0.1497944493751568
