,y_true,true_abs,true_rel,false_abs,false_rel
nh0002,novela realista,100,1.0,0,0.0
nh0008,novela realista,90,0.9,10,0.1
nh0010,novela realista,100,1.0,0,0.0
nh0011,novela naturalista,70,1.0,0,0.0
nh0012,novela naturalista,80,1.0,0,0.0
nh0013,novela naturalista,63,0.9,7,0.1
nh0015,novela realista,100,1.0,0,0.0
nh0019,novela naturalista,80,1.0,0,0.0
nh0022,novela naturalista,50,1.0,0,0.0
nh0023,novela realista,100,1.0,0,0.0
nh0027,novela realista,90,0.9,10,0.1
nh0028,novela naturalista,70,1.0,0,0.0
nh0029,novela naturalista,90,1.0,0,0.0
nh0030,novela naturalista,80,1.0,0,0.0
nh0031,novela naturalista,90,1.0,0,0.0
nh0032,novela naturalista,90,1.0,0,0.0
nh0033,novela naturalista,80,1.0,0,0.0
nh0034,novela naturalista,80,1.0,0,0.0
nh0036,novela realista,100,1.0,0,0.0
nh0038,novela naturalista,90,1.0,0,0.0
nh0039,novela naturalista,90,1.0,0,0.0
nh0044,novela realista,99,0.99,1,0.01
nh0046,novela realista,100,1.0,0,0.0
nh0047,novela realista,100,1.0,0,0.0
nh0048,novela realista,100,1.0,0,0.0
nh0052,novela realista,100,1.0,0,0.0
nh0057,novela naturalista,90,1.0,0,0.0
nh0058,novela naturalista,90,1.0,0,0.0
nh0059,novela naturalista,60,1.0,0,0.0
nh0060,novela naturalista,46,0.92,4,0.08
nh0062,novela realista,100,1.0,0,0.0
nh0067,novela realista,98,0.98,2,0.02
nh0068,novela realista,100,1.0,0,0.0
nh0074,novela naturalista,80,1.0,0,0.0
nh0075,novela realista,100,1.0,0,0.0
nh0076,novela naturalista,45,0.9,5,0.1
nh0080,novela naturalista,60,1.0,0,0.0
nh0088,novela naturalista,84,0.9333333333333333,6,0.06666666666666667
nh0089,novela realista,100,1.0,0,0.0
nh0090,novela naturalista,81,0.9,9,0.1
nh0109,novela naturalista,69,0.9857142857142858,1,0.014285714285714285
nh0114,novela naturalista,79,0.9875,1,0.0125
nh0127,novela realista,100,1.0,0,0.0
nh0133,novela realista,100,1.0,0,0.0
nh0135,novela realista,90,0.9,10,0.1
nh0136,novela naturalista,79,0.9875,1,0.0125
nh0148,novela realista,100,1.0,0,0.0
nh0155,novela naturalista,80,1.0,0,0.0
nh0163,novela naturalista,60,1.0,0,0.0
nh0164,novela naturalista,90,1.0,0,0.0
nh0165,novela realista,100,1.0,0,0.0
nh0174,novela realista,100,1.0,0,0.0
nh0175,novela realista,100,1.0,0,0.0
nh0177,novela naturalista,90,1.0,0,0.0
nh0179,novela naturalista,100,1.0,0,0.0
nh0189,novela naturalista,67,0.9571428571428572,3,0.04285714285714286
nh0190,novela naturalista,60,1.0,0,0.0
nh0191,novela naturalista,80,1.0,0,0.0
nh0192,novela naturalista,100,1.0,0,0.0
nh0193,novela naturalista,90,1.0,0,0.0
nh0194,novela naturalista,80,1.0,0,0.0
nh0198,novela realista,100,1.0,0,0.0
nh0202,novela realista,100,1.0,0,0.0
nh0204,novela realista,97,0.97,3,0.03
nh0205,novela naturalista,54,0.9,6,0.1
nh0206,novela naturalista,63,0.9,7,0.1
nh0208,novela realista,100,1.0,0,0.0
nh0210,novela realista,100,1.0,0,0.0
nh0214,novela realista,90,0.9,10,0.1
nh0217,novela naturalista,100,1.0,0,0.0
nh0221,novela realista,100,1.0,0,0.0
nh0223,novela naturalista,90,1.0,0,0.0
nh0229,novela naturalista,90,1.0,0,0.0
nh0230,novela realista,100,1.0,0,0.0
nh0232,novela realista,100,1.0,0,0.0
nh0235,novela realista,100,1.0,0,0.0
nh0239,novela realista,100,1.0,0,0.0
nh0254,novela naturalista,50,1.0,0,0.0
nh0255,novela naturalista,60,1.0,0,0.0
nh0256,novela naturalista,80,1.0,0,0.0
