,classifier,feature_type,mfw,norm,subgenre_level,class_1,class_2,num_runs,top_acc,mean_acc,sd_acc,top_f1,mean_f1,sd_f1
0,SVM,word,3000,tfidf,currents,novela romántica,other,100,1.0,0.9294117647058823,0.0605625302411,1.0,0.9271531780053452,0.06375027915659848
1,SVM,word,3000,tfidf,currents,novela realista,other,100,1.0,0.8671428571428571,0.12164686261335912,1.0,0.8737698412698413,0.1150567780242093
2,SVM,word,3000,tfidf,currents,novela naturalista,other,100,1.0,0.8277777777777776,0.1169309176658288,1.0,0.8231738816738815,0.12831306148241334
3,SVM,word,3000,tfidf,currents,novela romántica,novela realista,100,1.0,0.91,0.09181836550983666,1.0,0.9035873015873015,0.10020817837055856
4,SVM,word,3000,tfidf,currents,novela romántica,novela naturalista,100,1.0,0.9044444444444446,0.09688990825151841,1.0,0.8977489177489179,0.10856786416126811
5,SVM,word,3000,tfidf,currents,novela realista,novela naturalista,100,1.0,0.8628571428571429,0.1383872118664267,1.0,0.8668809523809523,0.1304549404836729
