author-name,work-title,work-type,bibacme-work-id,cligs-idno,num-pages,num-words
"Gómez de Avellaneda, Gertrudis","Dolores",novela,W941,nh0168,-,26730
"Larrosa de Ansaldo, Lola","El lujo",novela,W485,nh0172,-,39528
"Campos, Rubén M.","Claudio Oronoz",novela,W1085,nh0173,-,63347
"Rabasa, Emilio","El cuarto poder",novela,W225,nh0174,-,39206
"Olascoaga, Manuel J.","El sargento Claro, o la guerra de Chile",novela,W560,nh0176,-,49116
"Díaz Olazábal, Rodolfo","Buenos Aires cosmopolita",novela,W217,nh0177,-,32168
"Ancona, Eligio","El filibustero",novela,W1185,nh0180,-,101221
"Ancona, Eligio","Los mártires del Anáhuac",novela,W1186,nh0181,-,126730
"Ancona, Eligio","Memorias de un alférez",novela,W1189,nh0182,-,124274
"Rivera y Río, José","Los dramas de Nueva-York",novela,W273,nh0183,-,175143
"Almazán, José Pascual","Un hereje y un musulmán",novela,W646,nh0184,-,73430
"Pelliza de Sagasta, Josefina","Margarita",novela,W898,nh0195,-,69250
"Cuéllar, José Tomás de","Historia de Chucho el Ninfo",novela,W1126,nh0197,-,63808
"Rabasa, Emilio","La gran ciencia",novela,W224,nh0198,-,39710
"Varela, Luis Vicente","La huella del crimen",novela,W1254,nh0200,-,45322
"López Portillo y Rojas, José","Los precursores",novela,W790,nh0202,-,146259
"Riva Palacio, Vicente","Monja y casada, virgen y mártir",novela,W268,nh0203,-,144648
"Varela, Luis Vicente","Clemencia",novela,W1255,nh0206,-,49802
"Guerrero y Pallarés, Teodoro","Anatomía del corazón",novela,W967,nh0207,-,136402
"Sánchez Mármol, Manuel","Antón Pérez",novela,W162,nh0208,-,55622
"Sánchez Mármol, Manuel","Previvida",novela,W163,nh0209,-,38884
"Zayas Enríquez, Rafael de","El teniente de los gavilanes",novela,W32,nh0210,-,62052
"Sánchez Mármol, Manuel","Juanita Sousa",novela,W166,nh0212,-,32314
"Zentella, Arcadio","Perico",novela,W37,nh0214,-,22593
"Ancona, Eligio","La Mestiza",novela,W1188,nh0216,-,79401
"Méndez de Cuenca, Laura","El espejo de Amarilis",novela,W758,nh0217,-,180344
"Campo, Estanislao del","Camila o la virtud triunfante",novela,W120,nh0219,-,23008
"Puig y de la Puente, Francisco","La campana de la tarde; o, Vivir muriendo",novela,W345,nh0220,-,46047
"Iglesia, Álvaro de la","La alondra",novela,W925,nh0221,-,49828
"Mateos, Juan Antonio","Sacerdote y caudillo",novela,W745,nh0227,-,190317
"Guiteras y Font, Eusebio","Irene Albar",novela,W981,nh0228,-,40281
"Parra, Porfirio","Pacotillas",novela,W585,nh0232,-,138974
"Segale, Atenógenes","Auras de Abril",novela,W168,nh0233,-,27043
"Rivera y Río, José","Pobres y ricos de México",novela,W278,nh0234,-,75198
"Morales, Vicente","Gerardo",novela,W771,nh0236,-,55996
"Pizarro, Nicolás","La coqueta",novela,W645,nh0237,-,51132
"Castera Cortés, Pedro","Los maduros",novela,W1097,nh0240,-,17444
"Morales, Vicente","Silveria de Epinay",novela,W767,nh0241,-,24560
"Heredia, Nicolás","Un hombre de negocios",novela,W932,nh0242,-,42098
"Márquez, José de Jesús","Los Hermanos del Silencio",novela,W673,nh0243,-,27840
"Roa Bárcena, José María","La quinta modelo",novela,W284,nh0244,-,31596
"Guerrero y Pallarés, Teodoro","La nube negra",novela,W976,nh0245,-,41403
"Tovar, Pantaleón","Ironías de la vida",novela,W149,nh0246,-,206900
"Cabral, José Victoriano","Amelia de Floriani o el castillo del diablo",novela,W111,nh0247,-,172938
