author-name,work-title,work-type,bibacme-work-id,cligs-idno,num-pages,num-words
"Alegría, Adolfo Isaac","El libro de Satanás",novela,W1173,-,292,55772
"Alva, Manuel","La Trinitaria",novela,W1182,-,41,7831
"Ancona, Eligio","El Conde de Peñalva",novela,W1187,-,439,83849
"anónimo","El Licenciado D. Tadeo Cristóbal",novela,W1192,-,38,7258
"anónimo","La Venganza de los Difuntos",novela,W1193,-,96,18336
"anónimo","Las Botitas de María",novela,W1195,-,74,14134
"anónimo","Dn. Braulio",novela,W1196,-,175,33425
"Arriaga, Alberto F.","Una Cana al Aire",novela,W1200,-,121,23111
"Arriaga, Alberto F.","Lances de Amor",novela,W1201,-,320,61120
"Avendaño de Pérez de León, Jacoba","Los Plagiarios",novela,W1211,-,351,67041
"Saavedra, Osvaldo","Grandezas chicas",novela,W1219,-,282,53862
"Solari, Benjamin T.","El país de los pinares",novela,W1235,-,144,27504
"Sorda, Lima","El sol que nace y el sol que se pone",novela,W1236,-,225,42975
"Pélissot, Felisberto","Camila O'Gorman",novela,W1240,-,251,47941
"Ugarte, Manuel","La novela de las horas y de los días",novela,W1249,-,232,44312
"Urraco, Antonio","Los abrojos de una flor, o el desengaño",novela,W1252,-,128,24448
"Pardo Pimentel, Nicolás","Matilde o una víctima",novela,W1287,-,38,7258
"Torrado y Quiroga, Ramón","Estephoro el Pirata",novela,W1288,-,80,15280
"una Señorita cubana","Elena y Ricardo",novela,W1289,-,200,38200
"Enríquez, Juan M.","Escenas de la vida andaluza",novela,W1292,-,96,18336
"Lanuza, Cayetano","El Calcalista",novela,W1293,-,184,35144
"Bunge, Carlos Octavio","La madrina de Lita",novela corta,W85,-,24,4584
"Bunge, Carlos Octavio","El último grande de España",novela corta,W86,-,34,6494
"Bunge, Carlos Octavio","El capitán Pérez",novela corta,W87,-,53,10123
"Rodríguez Galván, Ignacio","La hija del oidor",novela corta,W290,-,23,4393
"Rodríguez Galván, Ignacio","Manolito el Pisaverde",novela corta,W291,-,41,7831
"Rodríguez Galván, Ignacio","La procesión",novela corta,W292,-,55,10505
"Rodríguez Galván, Ignacio","Tras un mal vienen ciento",novela corta,W293,-,49,9359
"Rodríguez Galván, Ignacio","El visitador",novela corta,W294,-,20,3820
"Franquelo, Carlos","La amante del muerto",novela corta,W325,-,26,4966
"Rodríguez Émbil, Luis","Gil Luna, artista",novela corta,W334,-,56,10696
"Rodríguez Émbil, Luis","El velo de la diosa",novela corta,W335,-,31,5921
"Labastié, Luis","El cuento del tío",novela corta,W473,-,22,4202
"Lavalle Cobo, Jorge","Voces perdidas",novela corta,W487,-,206,39346
"Pacheco, J. R.","El criollo",novela corta,W570,-,43,8213
"Payno, Manuel","María",novela corta,W590,-,28,5348
"Payno, Manuel","El doctor",novela corta,W591,-,16,3056
"Payno, Manuel","La víspera y el día de una boda",novela corta,W592,-,32,6112
"Payno, Manuel","¡¡Loca!!",novela corta,W593,-,39,7449
"Payno, Manuel","El Monte Virgen",novela corta,W594,-,32,6112
"Payno, Manuel","Pepita",novela corta,W595,-,34,6494
"Payno, Manuel","Alberto y Teresa",novela corta,W596,-,20,3820
"Payno, Manuel","La Esposa del Insurgente",novela corta,W597,-,33,6303
"Payno, Manuel","Aventura de un Veterano",novela corta,W598,-,46,8786
"Payno, Manuel","El Lucero de Málaga",novela corta,W599,-,36,6876
"Payno, Manuel","El Cura y la Ópera",novela corta,W600,-,24,4584
"Payno, Manuel","El Rosario de Concha Nácar",novela corta,W601,-,58,11078
"Payno, Manuel","Trinidad de Juárez",novela corta,W602,-,43,8213
"Pesado, José Joaquín","El inquisidor de México",novela corta,W641,-,43,8213
"Pesado, José Joaquín","El amor frustrado",novela corta,W642,-,40,7640
"Navarro, Mariano","Ángela",novela corta,W709,-,26,4966
"Lacunza, José María","Netzula",novela corta,W780,-,41,7831
"López Portillo y Rojas, José","Nieves",novela corta,W791,-,133,25403
"López Portillo y Rojas, José","El primer amor",novela corta,W792,-,161,30751
"López Portillo y Rojas, José","El Espejo",novela corta,W793,-,41,7831
"López Portillo y Rojas, José","En Diligencia",novela corta,W794,-,47,8977
"López Portillo y Rojas, José","Adalinda",novela corta,W795,-,21,4011
"López Portillo y Rojas, José","El Arpa",novela corta,W796,-,31,5921
"López Portillo y Rojas, José","Un Pacto con el Diablo",novela corta,W797,-,33,6303
"López Portillo y Rojas, José","La Fuga",novela corta,W798,-,63,12033
"López Portillo y Rojas, José","El Brazalete",novela corta,W799,-,29,5539
"López Portillo y Rojas, José","La Suerte del Bueno",novela corta,W800,-,12,2292
"López Portillo y Rojas, José","El proscripto",novela corta,W801,-,29,5539
"López Portillo y Rojas, José","El rector y el colegial",novela corta,W802,-,19,3629
"López Portillo y Rojas, José","Pía",novela corta,W803,-,21,4011
"López Portillo y Rojas, José","Luz de rayo",novela corta,W804,-,17,3247
"López Portillo y Rojas, José","Sor María Margarita",novela corta,W805,-,25,4775
"López Portillo y Rojas, José","La horma de su zapato",novela corta,W806,-,29,5539
"López Portillo y Rojas, José","El dolor y la honra",novela corta,W807,-,32,6112
"López Portillo y Rojas, José","Egoísmo trágico",novela corta,W808,-,83,15853
"López Portillo y Rojas, José","El billete de lotería",novela corta,W809,-,40,7640
"López Portillo y Rojas, José","El pro y el contra",novela corta,W810,-,89,16999
"López Portillo y Rojas, José","Un drama de tres horas",novela corta,W811,-,66,12606
"López Portillo y Rojas, José","Tres desenlaces ilógicos",novela corta,W812,-,27,5157
"López Portillo y Rojas, José","Tres desenlaces ilógicos",novela corta,W813,-,21,4011
"López Portillo y Rojas, José","Tres desenlaces ilógicos",novela corta,W814,-,50,9550
"Castellanos, Jesús","La manigua sentimental",novela corta,W1001,-,20,3820
"Castillo, Florencio M. del","Amor y desgracia",novela corta,W1100,-,55,10505
"Castillo, Florencio M. del","La corona de azucenas",novela corta,W1101,-,74,14134
"Castillo, Florencio M. del","¡Hasta el cielo!",novela corta,W1102,-,57,10887
"Castillo, Florencio M. del","Dos horas en el Hospital de San Andrés",novela corta,W1104,-,48,9168
"Castillo, Florencio M. del","Culpa",novela corta,W1105,-,64,12224
"Covarrubias y Acevedo, Manuel","La Capilla de los Alamos",novela corta,W1120,-,123,23493
